1c#tos#t1#t1009064/e  -0.867 0.355  -0.867 0.288  -0.734 0.229  -0.541 0.229  -0.347 0.229  -0.154 0.229  0.039 0.229  0.169 0.165  0.362 0.165  0.555 0.165  0.748 0.165  0.915 0.229  1.082 0.292  1.092 0.348  1.037 0.529  0.966 0.657  0.851 0.734  0.784 0.861  0.591 0.861  0.461 0.924  0.331 0.987  0.138 0.987  -0.055 0.987  -0.226 0.933  -0.361 0.833  -0.519 0.798  -0.614 0.663  -0.749 0.599  -0.857 0.482  -0.867 0.299  -0.930 0.169  -0.930 -0.024  -0.930 -0.217  -0.930 -0.410  -0.920 -0.593  -0.804 -0.670  -0.678 -0.737  -0.656 -0.909  -0.526 -0.972  -0.361 -1.000  -0.203 -1.036  -0.045 -1.071  0.120 -1.099  0.313 -1.099  0.506 -1.099  0.699 -1.099  0.829 -1.036  0.903 -0.916  1.029 -0.849  1.156 -0.783
1c#tos#t1#t1009064/g  0.657 1.121  0.383 1.076  0.106 1.121  -0.196 1.075  -0.416 0.961  -0.580 0.755  -0.759 0.614  -0.804 0.338  -0.667 0.128  -0.485 -0.011  -0.220 -0.066  0.056 -0.112  0.285 -0.021  0.595 0.025  0.760 0.208  0.931 0.393  0.931 0.714  0.697 0.801  0.467 0.892  0.238 0.984  0.360 1.155  0.535 1.121  0.837 1.075  0.875 0.939  0.635 0.725  0.396 0.511  0.156 0.297  -0.083 0.084  -0.329 -0.112  -0.510 -0.262  -0.667 -0.469  -0.567 -0.523  -0.246 -0.523  0.056 -0.477  0.377 -0.477  0.565 -0.610  0.745 -0.751  0.794 -1.024  0.611 -1.162  0.347 -1.253  0.026 -1.253  -0.295 -1.253  -0.570 -1.299  -0.845 -1.253  -1.081 -1.113  -1.215 -0.901  -1.155 -0.614  -0.853 -0.569  -0.577 -0.523  -0.302 -0.477
1c#tos#t1#t1009064/i  0.086 -0.009  0.009 -0.062  -0.019 -0.164  -0.019 -0.294  -0.019 -0.423  -0.019 -0.553  -0.019 -0.683  -0.019 -0.813  -0.019 -0.942  -0.019 -1.072  -0.019 -1.202  -0.019 -1.332  -0.019 -1.461  -0.019 -1.591  -0.019 -1.661  -0.016 -1.531  -0.014 -1.401  -0.012 -1.271  -0.009 -1.142  -0.007 -1.012  -0.005 -0.882  -0.003 -0.752  -0.000 -0.623  0.002 -0.493  0.004 -0.363  0.007 -0.233  0.009 -0.104  0.011 0.026  0.014 0.156  0.016 0.285  0.018 0.415  0.021 0.545  0.023 0.675  0.025 0.804  0.028 0.934  0.030 1.064  0.032 1.194  -0.038 1.252  -0.072 1.155  -0.177 1.163  -0.177 1.292  -0.164 1.409  -0.034 1.409  0.086 1.400  0.138 1.322  0.191 1.245  0.160 1.147  0.135 1.041  0.005 1.041  -0.072 1.094
1c#tos#t1#t1009064/m  -0.961 0.908  -1.073 0.845  -1.073 0.668  -1.130 0.505  -1.130 0.329  -1.130 0.153  -1.130 -0.023  -1.130 -0.199  -1.130 -0.375  -1.130 -0.552  -1.073 -0.552  -1.069 -0.377  -1.017 -0.213  -1.005 -0.049  -0.905 0.060  -0.788 0.120  -0.679 0.187  -0.605 0.289  -0.429 0.289  -0.309 0.345  -0.133 0.345  -0.069 0.233  -0.004 0.122  0.109 0.058  0.109 -0.118  0.109 -0.294  0.109 -0.471  0.109 -0.647  0.122 -0.724  0.109 -0.674  0.109 -0.498  0.109 -0.322  0.159 -0.167  0.278 -0.040  0.294 0.120  0.390 0.200  0.477 0.289  0.615 0.327  0.750 0.402  0.926 0.402  1.103 0.402  1.166 0.289  1.286 0.233  1.403 0.174  1.460 0.054  1.512 -0.101  1.572 -0.252  1.572 -0.428  1.572 -0.604  1.572 -0.668
1c#tos#t1#t1009064/n  -0.806 1.225  -0.806 1.082  -0.904 1.037  -0.932 0.922  -0.928 0.781  -0.869 0.663  -0.869 0.520  -0.869 0.378  -0.869 0.235  -0.869 0.092  -0.869 -0.051  -0.806 -0.167  -0.806 -0.310  -0.806 -0.453  -0.744 -0.533  -0.744 -0.675  -0.744 -0.818  -0.720 -0.736  -0.657 -0.609  -0.618 -0.475  -0.618 -0.332  -0.535 -0.261  -0.493 -0.136  -0.456 -0.030  -0.329 0.008  -0.259 0.095  -0.179 0.158  -0.053 0.175  0.025 0.252  0.109 0.346  0.236 0.385  0.305 0.472  0.448 0.472  0.591 0.472  0.700 0.438  0.813 0.409  0.886 0.316  0.951 0.213  1.013 0.133  1.056 0.033  1.076 -0.090  1.139 -0.169  1.202 -0.249  1.202 -0.392  1.204 -0.532  1.264 -0.615  1.264 -0.757  1.210 -0.846  1.202 -0.980  1.264 -1.097
1c#tos#t1#t1009064/o  -0.049 1.078  -0.118 0.987  -0.163 0.871  -0.323 0.871  -0.484 0.871  -0.601 0.827  -0.667 0.733  -0.808 0.713  -0.808 0.553  -0.873 0.457  -1.008 0.395  -1.028 0.250  -1.084 0.146  -1.084 -0.015  -1.153 -0.106  -1.153 -0.267  -1.072 -0.396  -0.991 -0.534  -0.857 -0.598  -0.729 -0.667  -0.642 -0.786  -0.481 -0.786  -0.342 -0.837  -0.188 -0.855  -0.028 -0.855  0.064 -0.924  0.225 -0.924  0.359 -0.861  0.513 -0.845  0.649 -0.786  0.755 -0.697  0.885 -0.647  0.987 -0.588  0.987 -0.428  1.056 -0.336  1.114 -0.233  1.194 -0.153  1.194 0.008  1.194 0.168  1.125 0.260  1.056 0.352  0.932 0.388  0.863 0.512  0.708 0.526  0.547 0.526  0.387 0.526  0.226 0.526  0.066 0.526  -0.095 0.526  -0.256 0.526
1c#tos#t1#t1009064/p  -0.318 1.100  -0.318 0.884  -0.318 0.669  -0.385 0.521  -0.385 0.305  -0.385 0.089  -0.385 -0.126  -0.385 -0.342  -0.385 -0.557  -0.385 -0.773  -0.385 -0.989  -0.453 -1.137  -0.453 -1.352  -0.453 -1.568  -0.456 -1.562  -0.461 -1.346  -0.467 -1.131  -0.472 -0.915  -0.477 -0.700  -0.483 -0.484  -0.488 -0.268  -0.494 -0.053  -0.499 0.163  -0.504 0.378  -0.510 0.594  -0.515 0.809  -0.520 1.025  -0.583 1.032  -0.367 1.032  -0.152 1.032  0.064 1.032  0.280 1.032  0.495 1.032  0.697 1.018  0.764 0.870  0.939 0.829  1.087 0.762  1.170 0.629  1.170 0.413  1.170 0.198  1.145 -0.007  1.102 -0.205  0.950 -0.320  0.764 -0.390  0.614 -0.455  0.466 -0.523  0.291 -0.563  0.103 -0.591  -0.110 -0.570  -0.318 -0.523
1c#tos#t1#t1009064/q  0.680 1.272  0.557 1.172  0.496 1.011  0.496 0.788  0.496 0.565  0.496 0.343  0.399 0.180  0.373 -0.027  0.434 -0.224  0.434 -0.447  0.434 -0.670  0.373 -0.878  0.373 -1.101  0.373 -1.323  0.373 -1.546  0.395 -1.335  0.417 -1.113  0.439 -0.891  0.461 -0.670  0.483 -0.448  0.506 -0.227  0.528 -0.005  0.550 0.217  0.572 0.438  0.594 0.660  0.616 0.882  0.469 0.781  0.369 0.904  0.147 0.904  -0.076 0.904  -0.299 0.904  -0.507 0.843  -0.730 0.843  -0.891 0.781  -1.114 0.781  -1.214 0.658  -1.284 0.506  -1.284 0.283  -1.284 0.061  -1.223 -0.137  -1.100 -0.237  -0.986 -0.376  -0.854 -0.508  -0.692 -0.569  -0.495 -0.630  -0.272 -0.630  -0.050 -0.630  0.128 -0.676  0.335 -0.692  0.557 -0.692
1c#tos#t1#t1009064/r  -0.363 1.526  -0.503 1.526  -0.581 1.465  -0.581 1.325  -0.581 1.185  -0.581 1.046  -0.546 0.912  -0.509 0.778  -0.502 0.640  -0.439 0.515  -0.436 0.376  -0.436 0.237  -0.436 0.097  -0.436 -0.042  -0.436 -0.182  -0.436 -0.322  -0.436 -0.461  -0.436 -0.601  -0.436 -0.741  -0.436 -0.880  -0.436 -1.020  -0.366 -1.090  -0.363 -1.227  -0.363 -1.366  -0.363 -1.255  -0.363 -1.115  -0.363 -0.976  -0.291 -0.909  -0.291 -0.769  -0.222 -0.658  -0.191 -0.526  -0.145 -0.397  -0.145 -0.258  -0.056 -0.173  0.004 -0.073  0.144 -0.073  0.218 -0.007  0.320 0.073  0.450 0.116  0.582 0.145  0.654 0.214  0.754 0.274  0.839 0.363  0.978 0.363  1.118 0.363  1.258 0.363  1.397 0.363  1.526 0.352  1.598 0.285  1.671 0.218
1c#tos#t1#t1009064/s  0.813 0.630  0.756 0.731  0.667 0.801  0.566 0.858  0.521 0.972  0.413 1.023  0.262 1.030  0.160 1.087  0.008 1.097  -0.086 1.201  -0.244 1.201  -0.403 1.201  -0.557 1.197  -0.606 1.087  -0.671 0.950  -0.728 0.849  -0.728 0.690  -0.728 0.532  -0.671 0.397  -0.622 0.288  -0.531 0.189  -0.396 0.126  -0.272 0.086  -0.158 0.042  -0.039 0.002  0.120 0.002  0.278 0.002  0.437 0.002  0.538 -0.055  0.642 -0.110  0.671 -0.256  0.704 -0.397  0.756 -0.504  0.756 -0.663  0.731 -0.797  0.642 -0.865  0.584 -0.967  0.506 -1.103  0.363 -1.139  0.205 -1.139  0.046 -1.139  -0.055 -1.196  -0.214 -1.196  -0.372 -1.196  -0.530 -1.196  -0.557 -1.064  -0.652 -0.968  -0.697 -0.854  -0.785 -0.784  -0.842 -0.683
1c#tos#t1#t1009064/t  -0.635 0.488  -0.797 0.488  -0.799 0.328  -0.641 0.324  -0.480 0.324  -0.323 0.344  -0.169 0.378  -0.007 0.378  0.155 0.378  0.317 0.378  0.478 0.378  0.640 0.378  0.802 0.378  0.845 0.428  0.730 0.542  0.616 0.657  0.501 0.771  0.387 0.885  0.273 1.000  0.158 1.114  0.044 1.229  -0.071 1.343  -0.198 1.335  -0.198 1.173  -0.198 1.011  -0.198 0.850  -0.198 0.688  -0.198 0.526  -0.253 0.419  -0.308 0.311  -0.308 0.150  -0.308 -0.012  -0.301 -0.168  -0.253 -0.281  -0.353 -0.381  -0.320 -0.496  -0.253 -0.590  -0.253 -0.752  -0.253 -0.914  -0.253 -1.075  -0.231 -1.228  -0.191 -1.369  -0.035 -1.374  0.023 -1.479  0.184 -1.480  0.269 -1.588  0.431 -1.588  0.593 -1.588  0.700 -1.533  0.839 -1.479
