3#app#app08#app0854/1  -0.304 1.316  -0.304 1.390  -0.304 1.464  -0.233 1.468  -0.159 1.468  -0.153 1.400  -0.153 1.326  -0.153 1.252  -0.153 1.178  -0.153 1.103  -0.153 1.029  -0.153 0.955  -0.153 0.881  -0.153 0.807  -0.153 0.733  -0.116 0.674  -0.064 0.622  -0.011 0.569  -0.002 0.499  -0.002 0.425  -0.002 0.351  -0.002 0.277  -0.002 0.203  -0.002 0.129  -0.002 0.055  -0.002 -0.019  -0.002 -0.093  -0.002 -0.167  -0.002 -0.241  -0.002 -0.316  -0.002 -0.390  -0.002 -0.464  0.026 -0.527  0.078 -0.579  0.130 -0.631  0.150 -0.697  0.150 -0.772  0.150 -0.846  0.150 -0.920  0.150 -0.994  0.150 -1.068  0.150 -1.142  0.150 -1.216  0.160 -1.288  0.184 -1.359  0.207 -1.429  0.231 -1.499  0.254 -1.570  0.278 -1.640  0.301 -1.710
3#app#app08#app0854/0  -0.353 0.478  -0.497 0.478  -0.600 0.382  -0.655 0.261  -0.655 0.117  -0.692 -0.012  -0.793 -0.113  -0.806 -0.252  -0.806 -0.395  -0.727 -0.507  -0.655 -0.620  -0.621 -0.730  -0.504 -0.757  -0.490 -0.895  -0.389 -0.996  -0.260 -1.032  -0.116 -1.032  0.027 -1.032  0.171 -1.032  0.315 -1.032  0.453 -1.007  0.581 -0.943  0.710 -0.881  0.854 -0.881  0.856 -0.739  0.951 -0.635  1.007 -0.514  1.007 -0.371  1.007 -0.227  1.007 -0.083  0.981 0.050  0.880 0.152  0.856 0.285  0.783 0.399  0.682 0.501  0.580 0.602  0.478 0.704  0.377 0.806  0.275 0.907  0.141 0.931  0.028 1.004  -0.083 1.082  -0.227 1.082  -0.371 1.082  -0.515 1.082  -0.657 1.080  -0.759 0.978  -0.861 0.877  -0.957 0.773  -0.957 0.629
3#app#app08#app0854/0  -0.795 0.252  -0.917 0.252  -0.930 0.143  -0.930 0.021  -0.930 -0.101  -0.930 -0.223  -0.930 -0.345  -0.930 -0.467  -0.911 -0.581  -0.825 -0.667  -0.738 -0.753  -0.649 -0.832  -0.527 -0.832  -0.418 -0.885  -0.308 -0.940  -0.193 -0.968  -0.071 -0.968  0.051 -0.968  0.173 -0.968  0.295 -0.968  0.417 -0.968  0.505 -0.887  0.592 -0.801  0.678 -0.714  0.764 -0.628  0.831 -0.534  0.831 -0.412  0.831 -0.290  0.831 -0.168  0.831 -0.046  0.831 0.076  0.805 0.194  0.766 0.310  0.728 0.425  0.695 0.542  0.693 0.663  0.638 0.772  0.584 0.882  0.491 0.929  0.385 0.968  0.299 1.054  0.181 1.064  0.059 1.064  -0.063 1.064  -0.185 1.064  -0.307 1.064  -0.429 1.064  -0.551 1.064  -0.659 1.051  -0.659 0.929
3#app#app08#app0854/%  -0.779 0.830  -0.876 0.904  -0.876 0.690  -0.876 0.475  -0.779 0.357  -0.573 0.348  -0.397 0.442  -0.298 0.615  -0.298 0.829  -0.449 0.981  -0.647 1.023  -0.861 1.023  -0.869 1.030  -0.655 1.045  -0.440 1.061  -0.226 1.076  -0.012 1.091  0.202 1.107  0.377 1.080  0.280 0.905  0.280 0.690  0.173 0.518  0.080 0.325  0.012 0.122  -0.075 -0.074  -0.207 -0.240  -0.303 -0.432  -0.401 -0.622  -0.490 -0.800  -0.583 -0.993  -0.485 -1.054  -0.287 -0.972  -0.089 -0.889  0.109 -0.807  0.307 -0.724  0.505 -0.642  0.473 -0.720  0.473 -0.935  0.569 -1.053  0.740 -1.096  0.955 -1.096  1.107 -0.944  1.244 -0.786  1.244 -0.572  1.122 -0.422  0.908 -0.422  0.697 -0.444  0.493 -0.512  0.300 -0.605  0.184 -0.711
3#app#app08#app0854/o  -0.090 0.406  -0.090 0.249  -0.238 0.239  -0.395 0.239  -0.552 0.239  -0.675 0.155  -0.786 0.044  -0.898 -0.068  -0.924 -0.214  -1.034 -0.262  -1.091 -0.362  -1.091 -0.519  -1.034 -0.653  -0.922 -0.763  -0.764 -0.763  -0.651 -0.869  -0.519 -0.929  -0.361 -0.929  -0.204 -0.929  -0.046 -0.929  0.101 -0.906  0.213 -0.794  0.357 -0.763  0.514 -0.763  0.644 -0.696  0.760 -0.596  0.916 -0.592  1.027 -0.480  1.139 -0.369  1.246 -0.256  1.246 -0.099  1.246 0.059  1.246 0.216  1.151 0.334  1.040 0.446  0.928 0.557  0.817 0.668  0.689 0.740  0.545 0.773  0.434 0.884  0.286 0.907  0.129 0.907  -0.029 0.907  -0.186 0.907  -0.344 0.907  -0.493 0.872  -0.634 0.802  -0.777 0.740  -0.924 0.731  -0.924 0.573
3#app#app08#app0854/f  0.847 1.077  0.821 1.187  0.736 1.273  0.650 1.358  0.565 1.444  0.467 1.500  0.346 1.500  0.225 1.500  0.141 1.440  0.087 1.331  0.002 1.245  0.002 1.124  -0.031 1.011  -0.085 0.903  -0.123 0.788  -0.161 0.673  -0.167 0.553  -0.167 0.432  -0.167 0.311  -0.167 0.190  -0.167 0.069  -0.167 -0.052  -0.167 -0.173  -0.167 -0.294  -0.143 -0.409  -0.089 -0.518  -0.083 -0.637  -0.083 -0.758  -0.083 -0.879  -0.083 -1.000  -0.083 -1.121  -0.083 -1.242  -0.083 -1.363  -0.083 -1.484  -0.083 -1.483  -0.107 -1.364  -0.136 -1.247  -0.165 -1.130  -0.195 -1.012  -0.224 -0.895  -0.253 -0.777  -0.283 -0.660  -0.312 -0.543  -0.336 -0.425  -0.296 -0.320  -0.194 -0.276  -0.076 -0.269  0.013 -0.191  0.134 -0.191  0.255 -0.191
3#app#app08#app0854/#  -0.571 1.547  -0.755 1.341  -0.593 1.019  -0.571 0.638  -0.571 0.249  -0.571 -0.141  -0.571 -0.530  -0.571 -0.920  -0.388 -1.126  -0.349 -1.262  -0.233 -0.890  -0.117 -0.518  -0.001 -0.146  0.115 0.225  0.231 0.597  0.348 0.969  0.464 1.340  0.355 1.547  0.345 1.168  0.345 0.779  0.345 0.389  0.345 -0.000  0.418 -0.359  0.528 -0.703  0.528 -1.093  0.695 -1.373  0.391 -1.129  0.087 -0.886  -0.217 -0.643  -0.521 -0.399  -0.825 -0.156  -1.121 0.091  -0.915 0.287  -0.592 0.447  -0.257 0.579  0.111 0.631  0.501 0.631  0.890 0.631  1.280 0.631  1.593 0.608  1.266 0.398  0.938 0.187  0.611 -0.023  0.283 -0.234  -0.045 -0.445  -0.372 -0.655  -0.700 -0.866  -0.863 -0.944  -0.518 -0.836  -0.205 -0.652
3#app#app08#app0854/'  0.223 1.635  0.223 1.565  0.223 1.494  0.223 1.424  0.206 1.361  0.156 1.311  0.106 1.261  0.056 1.211  0.006 1.161  -0.035 1.107  -0.035 1.037  -0.035 0.966  -0.035 0.896  -0.035 0.825  -0.035 0.755  -0.035 0.684  -0.035 0.614  -0.035 0.543  -0.035 0.473  -0.035 0.402  -0.035 0.332  -0.035 0.261  -0.035 0.191  -0.035 0.120  -0.035 0.050  -0.035 -0.021  -0.035 -0.091  -0.035 -0.162  -0.035 -0.232  -0.035 -0.303  -0.035 -0.374  -0.035 -0.444  -0.035 -0.515  -0.035 -0.585  -0.035 -0.656  -0.035 -0.726  -0.035 -0.797  -0.035 -0.867  -0.035 -0.938  -0.035 -1.008  -0.035 -1.079  -0.035 -1.149  -0.035 -1.220  -0.035 -1.290  -0.035 -1.361  -0.035 -1.431  -0.035 -1.502  -0.035 -1.572  -0.035 -1.643  -0.035 -1.713
3#app#app08#app0854/s  0.769 0.588  0.769 0.703  0.769 0.817  0.769 0.932  0.725 1.001  0.616 1.016  0.535 1.097  0.438 1.139  0.324 1.139  0.209 1.139  0.095 1.139  -0.020 1.139  -0.134 1.139  -0.249 1.139  -0.333 1.109  -0.333 0.994  -0.333 0.880  -0.333 0.765  -0.333 0.651  -0.333 0.536  -0.313 0.430  -0.232 0.349  -0.167 0.256  -0.116 0.154  -0.065 0.052  0.012 -0.032  0.098 -0.101  0.213 -0.101  0.218 -0.210  0.279 -0.299  0.356 -0.382  0.356 -0.496  0.356 -0.611  0.356 -0.725  0.356 -0.840  0.329 -0.927  0.216 -0.930  0.135 -1.011  0.043 -1.065  -0.068 -1.075  -0.148 -1.156  -0.244 -1.203  -0.358 -1.203  -0.473 -1.203  -0.587 -1.203  -0.702 -1.203  -0.746 -1.133  -0.793 -1.065  -0.907 -1.065  -1.022 -1.065
3#app#app08#app0854/  0.443 1.366  0.517 1.366  0.592 1.366  0.667 1.366  0.625 1.318  0.572 1.265  0.558 1.196  0.552 1.123  0.518 1.056  0.485 0.989  0.451 0.923  0.403 0.866  0.351 0.813  0.327 0.748  0.327 0.673  0.327 0.599  0.302 0.534  0.249 0.481  0.197 0.429  0.144 0.376  0.091 0.323  0.038 0.270  -0.015 0.217  -0.018 0.144  -0.018 0.069  -0.018 -0.006  -0.063 -0.062  -0.116 -0.115  -0.156 -0.177  -0.189 -0.244  -0.223 -0.310  -0.249 -0.379  -0.249 -0.454  -0.249 -0.528  -0.256 -0.600  -0.309 -0.653  -0.362 -0.706  -0.364 -0.780  -0.364 -0.854  -0.364 -0.929  -0.393 -0.997  -0.427 -1.064  -0.460 -1.131  -0.489 -1.199  -0.513 -1.270  -0.537 -1.341  -0.560 -1.412  -0.584 -1.483  -0.595 -1.556  -0.595 -1.631
3#app#app08#app0854/0  0.026 0.670  -0.118 0.668  -0.248 0.603  -0.378 0.538  -0.396 0.405  -0.487 0.297  -0.537 0.173  -0.593 0.051  -0.678 -0.059  -0.699 -0.196  -0.801 -0.298  -0.818 -0.436  -0.818 -0.581  -0.818 -0.726  -0.724 -0.832  -0.606 -0.914  -0.476 -0.979  -0.357 -1.058  -0.254 -1.160  -0.109 -1.160  0.036 -1.160  0.180 -1.154  0.309 -1.089  0.439 -1.024  0.583 -1.019  0.688 -0.921  0.790 -0.818  0.871 -0.707  0.871 -0.562  0.871 -0.417  0.871 -0.272  0.871 -0.126  0.871 0.019  0.871 0.164  0.871 0.309  0.825 0.435  0.722 0.537  0.620 0.640  0.517 0.743  0.405 0.833  0.276 0.898  0.150 0.969  0.048 1.071  -0.089 1.093  -0.234 1.093  -0.379 1.093  -0.524 1.093  -0.669 1.093  -0.814 1.093  -0.959 1.093
