2#app#app18#app1853/A  -0.401 -1.334  -0.439 -1.515  -0.582 -1.591  -0.582 -1.582  -0.582 -1.363  -0.582 -1.145  -0.582 -0.926  -0.582 -0.707  -0.582 -0.489  -0.582 -0.270  -0.574 -0.054  -0.476 0.142  -0.401 0.343  -0.401 0.561  -0.401 0.780  -0.401 0.998  -0.257 1.157  -0.221 1.361  -0.196 1.554  -0.040 1.617  -0.040 1.634  0.098 1.554  0.140 1.378  0.140 1.159  0.212 1.013  0.321 0.903  0.321 0.684  0.321 0.466  0.352 0.260  0.501 0.103  0.501 -0.115  0.560 -0.310  0.682 -0.478  0.682 -0.696  0.682 -0.915  0.545 -0.891  0.357 -0.779  0.170 -0.666  -0.017 -0.554  -0.205 -0.441  -0.401 -0.412  -0.344 -0.251  -0.126 -0.251  -0.040 -0.118  0.131 -0.071  0.349 -0.071  0.501 -0.004  0.606 0.110  0.824 0.110  1.043 0.110
2#app#app18#app1853/Q  -0.166 1.323  -0.204 1.511  -0.353 1.435  -0.434 1.243  -0.593 1.083  -0.728 0.914  -0.800 0.761  -0.916 0.651  -0.916 0.425  -1.101 0.386  -1.103 0.162  -1.103 -0.063  -1.103 -0.289  -0.998 -0.470  -0.916 -0.662  -0.811 -0.844  -0.652 -1.003  -0.473 -1.115  -0.247 -1.115  -0.022 -1.115  0.204 -1.115  0.397 -1.082  0.467 -0.927  0.584 -0.819  0.687 -0.636  0.772 -0.446  0.772 -0.221  0.772 0.005  0.749 0.221  0.590 0.380  0.584 0.603  0.516 0.761  0.397 0.867  0.253 0.948  0.027 0.948  0.022 0.728  0.022 0.503  0.022 0.278  0.022 0.052  0.022 0.194  0.209 0.164  0.281 0.011  0.397 -0.099  0.397 -0.325  0.582 -0.365  0.584 -0.588  0.658 -0.740  0.772 -0.851  0.921 -0.927  0.959 -0.740
2#app#app18#app1853/u  -0.984 0.761  -1.155 0.761  -1.206 0.882  -1.206 0.913  -1.206 0.781  -1.206 0.952  -1.206 0.843  -1.116 0.761  -0.984 0.722  -0.984 0.551  -0.824 0.539  -0.762 0.430  -0.762 0.259  -0.754 0.096  -0.583 0.096  -0.541 -0.033  -0.541 -0.204  -0.513 -0.348  -0.342 -0.348  -0.319 -0.496  -0.221 -0.569  -0.050 -0.569  0.121 -0.569  0.243 -0.451  0.346 -0.322  0.346 -0.151  0.346 0.020  0.346 0.191  0.346 0.362  0.346 0.534  0.346 0.705  0.346 0.646  0.346 0.475  0.346 0.304  0.346 0.133  0.346 -0.039  0.346 -0.210  0.346 -0.381  0.346 -0.552  0.346 -0.723  0.450 -0.791  0.621 -0.791  0.792 -0.791  0.963 -0.791  1.134 -0.791  1.284 -0.740  1.405 -0.619  1.556 -0.569  1.677 -0.519  1.677 -0.348
2#app#app18#app1853/i  -0.049 0.941  0.041 0.941  0.131 0.941  0.221 0.941  0.311 0.941  0.236 0.941  0.146 0.941  0.056 0.941  -0.034 0.941  -0.049 1.016  -0.049 1.106  -0.049 1.196  -0.049 1.286  -0.049 1.241  -0.049 1.151  -0.049 1.061  -0.049 0.971  -0.049 0.881  -0.049 0.791  -0.049 0.701  -0.049 0.611  -0.049 0.521  -0.049 0.431  -0.049 0.341  -0.049 0.251  -0.049 0.161  -0.049 0.071  -0.049 -0.019  -0.049 -0.109  -0.049 -0.199  -0.049 -0.289  -0.049 -0.379  -0.049 -0.469  -0.049 -0.559  -0.049 -0.649  -0.049 -0.739  -0.049 -0.829  -0.049 -0.919  -0.049 -1.009  -0.049 -1.099  -0.049 -1.189  -0.049 -1.279  -0.049 -1.369  -0.049 -1.459  -0.049 -1.549  -0.041 -1.631  0.049 -1.631  0.139 -1.631  0.229 -1.631  0.319 -1.631
2#app#app18#app1853/c  0.222 1.045  0.222 0.925  0.222 0.806  0.222 0.852  0.222 0.971  0.222 1.091  0.222 1.211  0.222 1.311  0.222 1.192  0.222 1.072  0.130 1.045  0.010 1.045  -0.110 1.045  -0.229 1.045  -0.330 1.026  -0.330 0.906  -0.330 0.786  -0.402 0.697  -0.486 0.612  -0.571 0.527  -0.606 0.422  -0.606 0.303  -0.606 0.183  -0.606 0.063  -0.606 -0.056  -0.606 -0.176  -0.606 -0.296  -0.606 -0.415  -0.606 -0.535  -0.562 -0.611  -0.442 -0.611  -0.330 -0.618  -0.330 -0.737  -0.330 -0.857  -0.240 -0.887  -0.120 -0.887  -0.016 -0.924  0.068 -1.009  0.153 -1.094  0.244 -1.163  0.364 -1.163  0.483 -1.163  0.572 -1.089  0.657 -1.004  0.741 -0.920  0.847 -0.887  0.967 -0.887  1.050 -0.850  1.050 -0.731  1.050 -0.611
2#app#app18#app1853/k  -0.651 1.613  -0.651 1.849  -0.651 1.600  -0.651 1.351  -0.651 1.103  -0.651 0.854  -0.651 0.605  -0.651 0.356  -0.651 0.107  -0.651 -0.142  -0.651 -0.391  -0.651 -0.640  -0.651 -0.889  -0.571 -1.058  -0.408 -1.144  -0.408 -1.209  -0.408 -0.960  -0.408 -0.711  -0.408 -0.462  -0.408 -0.213  -0.408 0.036  -0.408 0.027  -0.272 -0.087  -0.165 -0.229  -0.061 -0.434  0.131 -0.573  0.363 -0.615  0.539 -0.791  0.777 -0.815  0.806 -1.036  0.806 -1.285  0.806 -1.068  0.806 -0.819  0.806 -0.571  0.806 -0.322  0.806 -0.073  0.806 0.176  0.806 0.425  0.806 0.674  0.806 0.923  0.761 1.127  0.563 1.076  0.506 0.884  0.321 0.821  0.271 0.592  0.095 0.416  0.078 0.174  -0.153 0.156  -0.165 -0.081  -0.165 -0.330
2#app#app18#app1853/B  -0.689 0.533  -0.490 0.598  -0.490 0.604  -0.490 0.341  -0.490 0.077  -0.490 -0.186  -0.490 -0.449  -0.490 -0.713  -0.490 -0.976  -0.490 -1.240  -0.305 -1.217  -0.388 -0.967  -0.471 -0.717  -0.555 -0.467  -0.638 -0.217  -0.721 0.033  -0.804 0.283  -0.888 0.532  -0.843 0.777  -0.657 0.964  -0.463 1.131  -0.226 1.195  -0.019 1.330  0.245 1.330  0.508 1.330  0.705 1.264  0.705 1.001  0.568 0.794  0.382 0.608  0.195 0.422  -0.032 0.334  -0.096 0.135  -0.221 0.135  -0.091 0.268  0.106 0.334  0.370 0.334  0.633 0.334  0.705 0.143  0.905 0.079  0.990 -0.149  1.104 -0.365  1.104 -0.629  1.073 -0.861  0.905 -0.956  0.792 -1.173  0.564 -1.259  0.301 -1.259  0.037 -1.259  -0.091 -1.124  -0.290 -1.060
2#app#app18#app1853/r  -0.167 0.559  -0.278 0.670  -0.388 0.780  -0.498 0.890  -0.517 0.781  -0.517 0.625  -0.517 0.469  -0.517 0.313  -0.517 0.157  -0.517 0.001  -0.517 -0.155  -0.517 -0.311  -0.517 -0.467  -0.517 -0.622  -0.517 -0.778  -0.517 -0.934  -0.517 -1.090  -0.462 -1.190  -0.306 -1.190  -0.167 -1.208  -0.167 -1.364  -0.167 -1.520  -0.167 -1.405  -0.167 -1.249  -0.167 -1.093  -0.167 -0.937  -0.167 -0.782  -0.167 -0.626  -0.167 -0.470  -0.167 -0.314  -0.167 -0.158  -0.167 -0.002  -0.167 0.154  -0.167 0.310  -0.167 0.466  -0.123 0.603  -0.013 0.713  0.097 0.824  0.217 0.909  0.373 0.909  0.529 0.909  0.685 0.909  0.841 0.909  0.997 0.909  1.153 0.909  1.232 0.833  1.232 0.677  1.271 0.559  1.426 0.559  1.582 0.559
2#app#app18#app1853/o  -0.119 0.922  -0.256 0.922  -0.380 0.908  -0.380 0.770  -0.408 0.661  -0.545 0.661  -0.640 0.619  -0.640 0.481  -0.697 0.400  -0.834 0.400  -0.901 0.329  -0.901 0.192  -0.901 0.054  -0.901 -0.083  -0.901 -0.221  -0.901 -0.358  -0.901 -0.496  -0.901 -0.633  -0.901 -0.771  -0.897 -0.904  -0.760 -0.904  -0.622 -0.904  -0.485 -0.904  -0.347 -0.904  -0.210 -0.904  -0.072 -0.904  0.065 -0.904  0.203 -0.904  0.340 -0.904  0.456 -0.851  0.553 -0.754  0.650 -0.657  0.664 -0.525  0.664 -0.388  0.796 -0.382  0.925 -0.373  0.925 -0.236  0.925 -0.098  0.925 0.039  0.925 0.177  0.925 0.314  0.925 0.452  0.925 0.589  0.878 0.707  0.781 0.805  0.684 0.902  0.664 1.031  0.664 1.169  0.541 1.183  0.403 1.183
2#app#app18#app1853/w  -0.847 0.793  -0.847 0.626  -0.948 0.562  -1.078 0.525  -1.078 0.359  -1.078 0.193  -1.078 0.027  -1.086 -0.131  -1.252 -0.131  -1.309 -0.241  -1.264 -0.362  -1.098 -0.362  -1.078 -0.508  -0.997 -0.593  -0.831 -0.593  -0.665 -0.593  -0.616 -0.476  -0.563 -0.362  -0.397 -0.362  -0.276 -0.254  -0.159 -0.136  -0.041 -0.019  0.076 0.099  0.077 0.265  0.077 0.431  0.077 0.526  0.077 0.360  0.077 0.194  0.077 0.028  0.077 -0.138  0.077 -0.304  0.185 -0.362  0.308 -0.406  0.308 -0.572  0.453 -0.593  0.619 -0.593  0.785 -0.593  0.951 -0.593  1.001 -0.477  1.037 -0.326  1.155 -0.209  1.232 -0.075  1.232 0.092  1.232 0.258  1.232 0.424  1.232 0.590  1.232 0.756  1.232 0.922  1.232 1.088  1.232 1.255
2#app#app18#app1853/n  -0.877 0.552  -0.710 0.552  -0.566 0.552  -0.734 0.552  -0.877 0.576  -0.877 0.744  -0.877 0.839  -0.877 0.672  -0.877 0.504  -0.877 0.336  -0.877 0.168  -0.877 0.001  -0.805 -0.095  -0.637 -0.095  -0.554 -0.179  -0.554 -0.347  -0.554 -0.515  -0.554 -0.683  -0.554 -0.850  -0.554 -1.018  -0.554 -0.944  -0.554 -0.777  -0.421 -0.742  -0.254 -0.742  -0.231 -0.597  -0.231 -0.429  -0.231 -0.261  -0.231 -0.094  -0.231 0.074  -0.231 0.242  -0.231 0.410  -0.205 0.552  -0.038 0.552  0.130 0.552  0.298 0.552  0.466 0.552  0.634 0.552  0.783 0.509  0.902 0.390  1.020 0.271  1.171 0.229  1.338 0.229  1.387 0.109  1.387 -0.059  1.387 -0.226  1.387 -0.394  1.387 -0.562  1.387 -0.730  1.542 -0.742  1.710 -0.742
