2#apa#apa09#app0950/f  1.106 1.209  1.044 1.332  1.011 1.449  0.873 1.449  0.743 1.409  0.613 1.365  0.483 1.322  0.357 1.270  0.242 1.194  0.134 1.113  0.058 0.999  -0.017 0.884  -0.044 0.749  -0.070 0.615  -0.092 0.481  -0.031 0.359  0.030 0.236  0.064 0.107  0.064 -0.030  0.113 -0.154  0.184 -0.272  0.254 -0.389  0.305 -0.512  0.305 -0.649  0.305 -0.787  0.282 -0.918  0.218 -1.038  0.104 -1.114  -0.011 -1.190  -0.145 -1.215  -0.280 -1.238  -0.415 -1.260  -0.551 -1.274  -0.664 -1.243  -0.698 -1.110  -0.731 -0.977  -0.714 -0.843  -0.688 -0.708  -0.661 -0.574  -0.634 -0.439  -0.607 -0.305  -0.580 -0.170  -0.576 -0.033  -0.482 0.015  -0.359 0.076  -0.237 0.137  -0.107 0.168  0.030 0.168  0.168 0.168  0.305 0.168
2#apa#apa09#app0950/o  0.362 0.997  0.204 0.997  0.045 0.997  -0.113 0.997  -0.241 0.923  -0.354 0.811  -0.466 0.699  -0.578 0.587  -0.690 0.475  -0.764 0.335  -0.835 0.193  -0.906 0.051  -0.963 -0.094  -0.963 -0.252  -0.963 -0.411  -0.963 -0.569  -0.903 -0.714  -0.832 -0.855  -0.761 -0.997  -0.681 -1.124  -0.522 -1.124  -0.364 -1.124  -0.205 -1.124  -0.047 -1.124  0.108 -1.113  0.220 -1.001  0.332 -0.889  0.458 -0.795  0.590 -0.707  0.722 -0.619  0.854 -0.531  0.986 -0.443  1.118 -0.355  1.157 -0.217  1.157 -0.059  1.157 0.100  1.117 0.242  1.005 0.354  0.893 0.466  0.781 0.578  0.669 0.690  0.527 0.732  0.369 0.732  0.210 0.732  0.054 0.717  -0.096 0.667  -0.247 0.617  -0.397 0.567  -0.548 0.517  -0.698 0.467
2#apa#apa09#app0950/x  -0.802 0.228  -0.962 0.387  -1.121 0.546  -1.281 0.706  -1.201 0.766  -0.975 0.766  -0.750 0.766  -0.525 0.762  -0.324 0.661  -0.122 0.560  0.005 0.414  -0.012 0.192  -0.113 -0.009  -0.214 -0.211  -0.344 -0.391  -0.504 -0.551  -0.663 -0.710  -0.831 -0.849  -1.056 -0.849  -1.281 -0.849  -1.224 -0.732  -1.064 -0.573  -0.905 -0.413  -0.723 -0.295  -0.502 -0.251  -0.281 -0.207  -0.060 -0.163  0.161 -0.118  0.382 -0.074  0.603 -0.030  0.824 0.014  1.045 0.059  1.266 0.103  1.487 0.147  1.708 0.191  1.854 0.245  1.652 0.346  1.451 0.447  1.237 0.497  1.015 0.474  0.801 0.403  0.588 0.332  0.374 0.261  0.220 0.119  0.120 -0.082  0.019 -0.284  0.005 -0.506  0.140 -0.648  0.342 -0.749  0.544 -0.849
2#apa#apa09#app0950/y  -0.416 1.264  -0.416 1.146  -0.416 1.028  -0.416 0.910  -0.416 0.792  -0.416 0.674  -0.311 0.661  -0.204 0.706  -0.099 0.759  -0.006 0.829  0.078 0.913  0.161 0.996  0.188 1.103  0.188 1.221  0.255 1.231  0.360 1.178  0.429 1.103  0.429 0.985  0.429 0.867  0.429 0.749  0.429 0.631  0.429 0.513  0.429 0.394  0.429 0.276  0.429 0.158  0.429 0.040  0.428 -0.077  0.413 -0.195  0.398 -0.312  0.384 -0.429  0.369 -0.546  0.354 -0.663  0.340 -0.780  0.325 -0.897  0.310 -1.014  0.217 -1.075  0.111 -1.128  0.005 -1.181  -0.100 -1.234  -0.206 -1.287  -0.311 -1.339  -0.417 -1.391  -0.500 -1.308  -0.583 -1.224  -0.657 -1.137  -0.657 -1.019  -0.657 -0.901  -0.657 -0.783  -0.657 -0.665  -0.657 -0.547
2#apa#apa09#app0950/z  -0.322 1.089  -0.418 1.136  -0.514 1.184  -0.465 1.198  -0.361 1.221  -0.260 1.255  -0.158 1.289  -0.054 1.307  0.053 1.307  0.135 1.268  0.183 1.172  0.225 1.075  0.225 0.968  0.219 0.863  0.143 0.788  0.067 0.712  -0.008 0.636  -0.084 0.561  -0.160 0.485  -0.235 0.409  -0.311 0.334  -0.258 0.258  -0.171 0.199  -0.070 0.166  0.032 0.132  0.129 0.091  0.204 0.015  0.280 -0.061  0.348 -0.142  0.396 -0.238  0.444 -0.334  0.444 -0.441  0.444 -0.548  0.444 -0.655  0.444 -0.762  0.413 -0.864  0.379 -0.965  0.345 -1.067  0.283 -1.151  0.205 -1.223  0.116 -1.282  0.027 -1.342  -0.062 -1.401  -0.155 -1.402  -0.251 -1.354  -0.349 -1.319  -0.439 -1.295  -0.473 -1.194  -0.507 -1.092  -0.541 -0.990
2#apa#apa09#app0950/u  -0.622 0.941  -0.668 0.850  -0.713 0.760  -0.758 0.669  -0.804 0.578  -0.849 0.487  -0.895 0.396  -0.940 0.306  -0.985 0.215  -1.031 0.124  -1.076 0.033  -1.086 -0.058  -1.041 -0.148  -0.996 -0.239  -0.950 -0.330  -0.905 -0.421  -0.855 -0.508  -0.765 -0.553  -0.674 -0.599  -0.583 -0.644  -0.492 -0.689  -0.401 -0.735  -0.302 -0.745  -0.201 -0.745  -0.099 -0.745  0.002 -0.745  0.103 -0.743  0.194 -0.698  0.285 -0.653  0.376 -0.607  0.467 -0.562  0.558 -0.516  0.615 -0.438  0.661 -0.347  0.706 -0.256  0.751 -0.165  0.797 -0.075  0.842 0.016  0.888 0.107  0.933 0.198  0.978 0.289  1.024 0.379  1.064 0.471  1.064 0.573  1.064 0.675  1.064 0.776  1.064 0.878  1.064 0.979  1.064 1.081  1.064 1.182
2#apa#apa09#app0950/l  0.353 1.172  0.320 1.237  0.288 1.302  0.255 1.367  0.223 1.432  0.176 1.411  0.124 1.360  0.075 1.307  0.064 1.235  0.054 1.163  0.044 1.091  0.033 1.018  0.023 0.946  0.013 0.874  0.003 0.802  -0.008 0.730  -0.018 0.657  -0.028 0.585  -0.039 0.513  -0.049 0.441  -0.059 0.369  -0.064 0.296  -0.064 0.223  -0.064 0.150  -0.064 0.077  -0.064 0.005  -0.064 -0.068  -0.064 -0.141  -0.064 -0.214  -0.064 -0.287  -0.064 -0.360  -0.064 -0.433  -0.064 -0.506  -0.064 -0.579  -0.064 -0.652  -0.064 -0.725  -0.064 -0.797  -0.064 -0.870  -0.064 -0.943  -0.064 -1.016  -0.064 -1.089  -0.064 -1.162  -0.064 -1.235  -0.064 -1.308  -0.064 -1.381  -0.064 -1.454  -0.064 -1.527  -0.064 -1.599  -0.064 -1.672  -0.064 -1.745
2#apa#apa09#app0950/u  -0.462 1.453  -0.496 1.351  -0.531 1.249  -0.565 1.147  -0.599 1.045  -0.633 0.943  -0.667 0.841  -0.701 0.739  -0.735 0.636  -0.737 0.529  -0.737 0.422  -0.737 0.314  -0.737 0.206  -0.737 0.099  -0.737 -0.009  -0.737 -0.117  -0.737 -0.224  -0.737 -0.332  -0.737 -0.439  -0.681 -0.524  -0.605 -0.600  -0.529 -0.676  -0.452 -0.752  -0.376 -0.828  -0.300 -0.904  -0.224 -0.980  -0.131 -1.016  -0.024 -1.016  0.084 -1.016  0.161 -0.942  0.237 -0.866  0.313 -0.790  0.389 -0.714  0.465 -0.638  0.541 -0.562  0.617 -0.485  0.672 -0.394  0.720 -0.298  0.768 -0.201  0.816 -0.105  0.864 -0.009  0.912 0.088  0.946 0.190  0.980 0.292  1.014 0.394  1.048 0.496  1.082 0.598  1.116 0.700  1.150 0.802  1.184 0.904
2#apa#apa09#app0950/s  -1.026 -0.030  -1.148 -0.091  -1.270 -0.153  -1.393 -0.214  -1.399 -0.347  -1.399 -0.484  -1.377 -0.568  -1.280 -0.471  -1.171 -0.403  -1.034 -0.403  -0.954 -0.297  -0.879 -0.183  -0.803 -0.069  -0.727 0.045  -0.650 0.157  -0.520 0.201  -0.390 0.244  -0.260 0.287  -0.130 0.330  -0.024 0.412  0.073 0.508  0.170 0.605  0.266 0.702  0.391 0.753  0.521 0.796  0.651 0.840  0.781 0.883  0.915 0.902  1.038 0.880  1.099 0.758  1.160 0.635  1.208 0.511  1.175 0.379  1.142 0.246  1.109 0.113  1.076 -0.020  1.042 -0.152  0.977 -0.267  0.880 -0.363  0.773 -0.448  0.659 -0.524  0.545 -0.600  0.431 -0.676  0.317 -0.752  0.193 -0.747  0.063 -0.704  -0.067 -0.661  -0.197 -0.617  -0.279 -0.540  -0.279 -0.403
2#apa#apa09#app0950/q  0.316 1.207  0.448 1.272  0.316 1.338  0.119 1.338  -0.078 1.338  -0.256 1.292  -0.396 1.152  -0.501 0.991  -0.563 0.804  -0.604 0.614  -0.603 0.417  -0.464 0.277  -0.317 0.155  -0.120 0.155  0.061 0.178  0.123 0.365  0.185 0.552  0.185 0.750  0.187 0.946  0.312 1.062  0.249 0.874  0.187 0.687  0.185 0.490  0.158 0.296  0.115 0.104  0.072 -0.089  0.029 -0.281  -0.014 -0.474  -0.056 -0.667  -0.097 -0.859  -0.136 -1.053  -0.175 -1.246  -0.218 -1.438  -0.306 -1.615  -0.341 -1.803  -0.318 -1.902  -0.230 -1.726  -0.142 -1.549  -0.066 -1.368  -0.023 -1.176  0.019 -0.983  0.062 -0.791  0.105 -0.598  0.148 -0.405  0.197 -0.215  0.285 -0.039  0.373 0.138  0.461 0.314  0.550 0.490  0.579 0.681
2#apa#apa09#app0950/u  -0.478 0.769  -0.478 0.882  -0.478 0.995  -0.495 1.037  -0.545 0.936  -0.596 0.835  -0.646 0.734  -0.697 0.632  -0.748 0.531  -0.780 0.426  -0.780 0.313  -0.780 0.200  -0.780 0.087  -0.780 -0.027  -0.780 -0.140  -0.780 -0.253  -0.780 -0.366  -0.780 -0.479  -0.780 -0.592  -0.780 -0.705  -0.724 -0.795  -0.644 -0.875  -0.564 -0.955  -0.484 -1.035  -0.385 -0.995  -0.284 -0.944  -0.183 -0.894  -0.081 -0.843  0.020 -0.793  0.121 -0.742  0.202 -0.663  0.282 -0.583  0.362 -0.504  0.442 -0.424  0.522 -0.344  0.602 -0.264  0.682 -0.184  0.762 -0.104  0.841 -0.024  0.921 0.056  1.001 0.136  1.031 0.237  1.031 0.350  1.031 0.463  1.080 0.565  1.130 0.666  1.181 0.767  1.231 0.868  1.282 0.969  1.332 1.071
