1c#apb#apb38#app3887/g  0.365 1.154  0.278 1.274  0.220 1.312  0.146 1.442  -0.028 1.378  -0.173 1.266  -0.286 1.121  -0.379 0.960  -0.448 0.788  -0.503 0.611  -0.510 0.428  -0.340 0.383  -0.174 0.454  -0.024 0.563  0.107 0.695  0.224 0.839  0.322 0.996  0.337 0.932  0.344 0.746  0.357 0.561  0.378 0.376  0.399 0.191  0.401 0.006  0.389 -0.180  0.377 -0.365  0.362 -0.551  0.335 -0.734  0.270 -0.908  0.191 -1.074  0.069 -1.215  -0.052 -1.355  -0.205 -1.461  -0.359 -1.565  -0.540 -1.603  -0.711 -1.565  -0.776 -1.417  -0.776 -1.231  -0.701 -1.063  -0.617 -0.897  -0.524 -0.737  -0.405 -0.594  -0.287 -0.451  -0.159 -0.317  -0.015 -0.198  0.128 -0.080  0.278 0.030  0.435 0.129  0.592 0.228  0.760 0.309  0.928 0.389
1c#apb#apb38#app3887/u  -1.524 -0.779  -1.595 -0.894  -1.434 -0.875  -1.315 -0.761  -1.198 -0.643  -1.076 -0.531  -0.953 -0.418  -0.843 -0.294  -0.741 -0.163  -0.639 -0.032  -0.539 0.100  -0.443 0.236  -0.346 0.371  -0.290 0.526  -0.237 0.684  -0.185 0.842  -0.192 0.956  -0.309 0.839  -0.396 0.701  -0.460 0.548  -0.523 0.394  -0.581 0.238  -0.638 0.082  -0.691 -0.073  -0.622 -0.225  -0.533 -0.360  -0.402 -0.462  -0.247 -0.495  -0.083 -0.486  0.063 -0.407  0.209 -0.328  0.327 -0.210  0.444 -0.093  0.554 0.032  0.661 0.159  0.762 0.290  0.851 0.430  0.897 0.583  0.846 0.554  0.816 0.391  0.792 0.227  0.791 0.064  0.850 -0.092  0.999 -0.165  1.157 -0.217  1.316 -0.203  1.475 -0.157  1.613 -0.064  1.745 0.037  1.870 0.146
1c#apb#apb38#app3887/i  -1.210 -0.847  -1.146 -0.939  -1.018 -0.848  -0.878 -0.778  -0.746 -0.696  -0.629 -0.590  -0.516 -0.482  -0.405 -0.371  -0.306 -0.249  -0.216 -0.120  -0.142 0.017  -0.074 0.159  -0.029 0.290  -0.139 0.235  -0.237 0.113  -0.314 -0.024  -0.384 -0.164  -0.452 -0.306  -0.515 -0.449  -0.567 -0.595  -0.539 -0.749  -0.449 -0.871  -0.329 -0.963  -0.172 -0.963  -0.016 -0.954  0.139 -0.927  0.289 -0.889  0.424 -0.808  0.558 -0.727  0.669 -0.616  0.777 -0.502  0.859 -0.368  0.935 -0.231  0.969 -0.086  0.898 0.055  0.827 0.195  0.756 0.335  0.685 0.475  0.615 0.615  0.544 0.756  0.473 0.896  0.402 1.036  0.331 1.176  0.260 1.316  0.190 1.457  0.119 1.597  0.048 1.737  -0.003 1.658  -0.114 1.553  -0.221 1.441
1c#apb#apb38#app3887/l  -1.064 -1.267  -0.949 -1.250  -0.820 -1.188  -0.722 -1.078  -0.625 -0.968  -0.519 -0.867  -0.413 -0.766  -0.308 -0.663  -0.209 -0.555  -0.110 -0.447  -0.012 -0.338  0.081 -0.224  0.173 -0.110  0.266 0.003  0.345 0.127  0.420 0.253  0.496 0.378  0.563 0.508  0.621 0.643  0.680 0.777  0.736 0.913  0.790 1.049  0.843 1.186  0.845 1.332  0.800 1.460  0.683 1.421  0.564 1.336  0.448 1.246  0.333 1.155  0.225 1.056  0.128 0.947  0.031 0.837  -0.067 0.728  -0.140 0.600  -0.213 0.473  -0.285 0.346  -0.352 0.216  -0.383 0.073  -0.413 -0.071  -0.443 -0.214  -0.457 -0.359  -0.448 -0.505  -0.439 -0.652  -0.406 -0.790  -0.327 -0.914  -0.241 -1.031  -0.123 -1.118  -0.005 -1.205  0.138 -1.231  0.283 -1.253
1c#apb#apb38#app3887/a  0.610 0.861  0.566 1.014  0.445 1.099  0.301 1.099  0.161 1.024  0.021 0.948  -0.110 0.858  -0.241 0.767  -0.371 0.675  -0.502 0.584  -0.613 0.472  -0.719 0.352  -0.824 0.233  -0.929 0.113  -1.016 -0.020  -1.101 -0.155  -1.185 -0.290  -1.243 -0.437  -1.287 -0.590  -1.306 -0.738  -1.202 -0.859  -1.066 -0.908  -0.907 -0.908  -0.763 -0.851  -0.626 -0.770  -0.489 -0.690  -0.357 -0.601  -0.238 -0.495  -0.119 -0.390  0.001 -0.285  0.111 -0.171  0.212 -0.047  0.312 0.076  0.413 0.200  0.505 0.330  0.596 0.460  0.597 0.566  0.518 0.428  0.488 0.274  0.477 0.116  0.518 -0.038  0.571 -0.184  0.704 -0.272  0.841 -0.351  0.990 -0.406  1.143 -0.449  1.301 -0.464  1.456 -0.451  1.605 -0.394  1.753 -0.337
1c#apb#apb38#app3887/r  -1.487 -0.907  -1.540 -0.946  -1.448 -0.930  -1.357 -0.874  -1.262 -0.827  -1.171 -0.773  -1.090 -0.702  -1.010 -0.632  -0.930 -0.562  -0.857 -0.484  -0.784 -0.406  -0.712 -0.328  -0.640 -0.249  -0.569 -0.170  -0.498 -0.090  -0.428 -0.010  -0.369 0.079  -0.311 0.168  -0.253 0.258  -0.194 0.347  -0.134 0.434  -0.074 0.522  -0.017 0.612  0.033 0.706  0.083 0.800  0.145 0.887  0.210 0.971  0.270 1.012  0.365 0.963  0.453 0.904  0.544 0.849  0.638 0.798  0.727 0.741  0.790 0.656  0.854 0.571  0.892 0.471  0.925 0.370  0.940 0.267  0.933 0.160  0.926 0.054  0.883 -0.043  0.840 -0.141  0.796 -0.238  0.754 -0.336  0.712 -0.434  0.671 -0.532  0.630 -0.631  0.627 -0.734  0.694 -0.795  0.796 -0.825
1c#apb#apb38#app3887/t  -1.476 -1.267  -1.349 -1.289  -1.152 -1.154  -0.979 -0.976  -0.813 -0.792  -0.657 -0.600  -0.504 -0.405  -0.350 -0.210  -0.195 -0.017  -0.041 0.177  0.098 0.382  0.233 0.590  0.359 0.803  0.466 1.027  0.567 1.253  0.645 1.488  0.604 1.652  0.463 1.447  0.339 1.234  0.247 1.004  0.165 0.770  0.087 0.535  0.016 0.297  -0.046 0.057  -0.108 -0.183  -0.172 -0.422  -0.236 -0.662  -0.251 -0.909  -0.217 -1.144  -0.044 -1.289  0.197 -1.266  0.426 -1.171  0.625 -1.024  0.807 -0.858  0.968 -0.670  1.102 -0.461  0.913 -0.323  0.704 -0.190  0.495 -0.056  0.287 0.078  0.078 0.211  -0.131 0.345  -0.340 0.479  -0.549 0.612  -0.784 0.585  -0.590 0.468  -0.347 0.435  -0.099 0.438  0.147 0.470  0.393 0.502
1c#apb#apb38#app3887/k  -1.358 -0.915  -1.190 -0.767  -1.014 -0.625  -0.846 -0.474  -0.701 -0.300  -0.556 -0.126  -0.411 0.048  -0.266 0.222  -0.123 0.396  0.020 0.572  0.157 0.752  0.283 0.940  0.380 1.142  0.452 1.357  0.482 1.579  0.463 1.803  0.340 1.801  0.238 1.602  0.174 1.385  0.118 1.165  0.070 0.944  0.022 0.723  -0.023 0.501  -0.069 0.280  -0.117 0.059  -0.177 -0.160  -0.236 -0.378  -0.302 -0.595  -0.380 -0.807  -0.457 -1.020  -0.531 -1.233  -0.568 -1.292  -0.472 -1.088  -0.361 -0.891  -0.236 -0.702  -0.110 -0.514  0.015 -0.326  0.141 -0.138  0.305 0.018  0.477 0.165  0.510 0.071  0.386 -0.117  0.276 -0.315  0.247 -0.538  0.323 -0.736  0.522 -0.818  0.747 -0.829  0.955 -0.756  1.138 -0.625  1.266 -0.440
1c#apb#apb38#app3887/i  -1.374 -0.916  -1.423 -0.984  -1.315 -1.080  -1.204 -1.018  -1.094 -0.918  -0.975 -0.830  -0.856 -0.742  -0.744 -0.645  -0.648 -0.532  -0.552 -0.419  -0.457 -0.305  -0.365 -0.189  -0.272 -0.073  -0.194 0.053  -0.128 0.185  -0.089 0.328  -0.146 0.426  -0.227 0.302  -0.306 0.176  -0.385 0.051  -0.451 -0.081  -0.500 -0.221  -0.517 -0.364  -0.467 -0.498  -0.358 -0.598  -0.226 -0.639  -0.084 -0.596  0.054 -0.543  0.192 -0.486  0.321 -0.414  0.447 -0.335  0.569 -0.251  0.689 -0.163  0.805 -0.072  0.919 0.023  1.051 0.090  1.127 0.090  1.084 0.138  1.020 0.272  0.957 0.407  0.894 0.541  0.831 0.675  0.768 0.810  0.705 0.944  0.642 1.078  0.579 1.213  0.515 1.347  0.452 1.481  0.389 1.616  0.349 1.668
1c#apb#apb38#app3887/n  -1.819 -0.326  -1.728 -0.317  -1.572 -0.209  -1.412 -0.107  -1.251 -0.005  -1.091 0.097  -0.931 0.200  -0.769 0.297  -0.601 0.387  -0.434 0.477  -0.261 0.555  -0.080 0.597  -0.083 0.439  -0.165 0.267  -0.254 0.100  -0.365 -0.054  -0.477 -0.207  -0.599 -0.353  -0.721 -0.498  -0.826 -0.656  -0.897 -0.768  -0.783 -0.616  -0.660 -0.472  -0.535 -0.329  -0.407 -0.189  -0.267 -0.060  -0.128 0.069  0.012 0.198  0.152 0.326  0.292 0.455  0.437 0.576  0.593 0.686  0.766 0.757  0.869 0.707  0.818 0.525  0.727 0.358  0.632 0.194  0.516 0.043  0.416 -0.116  0.368 -0.295  0.477 -0.435  0.653 -0.496  0.839 -0.501  1.025 -0.464  1.204 -0.403  1.381 -0.332  1.526 -0.211  1.669 -0.086  1.823 0.025  1.921 0.167
1c#apb#apb38#app3887/s  -1.782 -0.941  -1.659 -0.839  -1.518 -0.697  -1.372 -0.559  -1.215 -0.434  -1.059 -0.309  -0.908 -0.177  -0.761 -0.041  -0.613 0.095  -0.466 0.231  -0.305 0.351  -0.144 0.470  0.017 0.590  0.174 0.715  0.327 0.845  0.480 0.974  0.644 1.089  0.811 1.200  0.947 1.229  0.974 1.032  0.956 0.834  0.916 0.637  0.875 0.441  0.831 0.246  0.742 0.066  0.632 -0.100  0.496 -0.245  0.319 -0.341  0.132 -0.408  -0.064 -0.451  -0.259 -0.435  -0.453 -0.386  -0.598 -0.249  -0.727 -0.097  -0.796 0.087  -0.772 0.276  -0.705 0.129  -0.600 -0.042  -0.470 -0.194  -0.331 -0.336  -0.150 -0.421  0.036 -0.489  0.237 -0.497  0.437 -0.505  0.637 -0.493  0.836 -0.471  1.035 -0.449  1.224 -0.384  1.411 -0.312  1.599 -0.240
