1b#tos#t1#t1020062/C  0.794 0.951  0.794 0.837  0.759 0.758  0.708 0.843  0.696 0.951  0.601 0.970  0.536 1.047  0.422 1.047  0.308 1.047  0.194 1.047  0.080 1.047  -0.034 1.047  -0.141 1.029  -0.242 0.999  -0.352 0.981  -0.412 0.904  -0.457 0.809  -0.488 0.703  -0.539 0.601  -0.575 0.498  -0.654 0.417  -0.690 0.309  -0.701 0.197  -0.701 0.083  -0.701 -0.031  -0.701 -0.145  -0.701 -0.259  -0.701 -0.373  -0.701 -0.487  -0.646 -0.558  -0.535 -0.586  -0.508 -0.679  -0.412 -0.696  -0.412 -0.810  -0.370 -0.882  -0.304 -0.930  -0.190 -0.930  -0.096 -0.978  0.018 -0.978  0.132 -0.978  0.238 -1.014  0.349 -1.026  0.463 -1.026  0.573 -1.013  0.668 -0.950  0.753 -0.875  0.833 -0.794  0.942 -0.782  1.023 -0.701  1.083 -0.641
1b#tos#t1#t1020062/F  -0.639 0.939  -0.797 0.837  -0.677 0.834  -0.450 0.834  -0.222 0.834  0.006 0.834  0.233 0.834  0.461 0.834  0.689 0.834  0.916 0.834  1.128 0.872  1.166 0.933  0.939 0.916  0.712 0.899  0.485 0.882  0.258 0.865  0.031 0.848  -0.168 0.805  -0.372 0.781  -0.535 0.717  -0.535 0.489  -0.535 0.261  -0.535 0.034  -0.535 -0.194  -0.535 -0.422  -0.535 -0.649  -0.535 -0.877  -0.535 -1.105  -0.535 -1.332  -0.535 -1.560  -0.534 -1.785  -0.485 -1.563  -0.436 -1.340  -0.386 -1.118  -0.337 -0.896  -0.287 -0.674  -0.238 -0.451  -0.366 -0.371  -0.476 -0.371  -0.248 -0.371  -0.020 -0.371  0.207 -0.371  0.435 -0.371  0.663 -0.371  0.812 -0.233  0.902 -0.024  0.788 0.028  0.693 -0.102  0.723 -0.323  0.775 -0.529
1b#tos#t1#t1020062/G  0.204 1.269  0.204 1.210  0.060 1.315  -0.109 1.361  -0.324 1.361  -0.466 1.223  -0.655 1.139  -0.822 1.008  -0.947 0.850  -1.031 0.659  -1.120 0.508  -1.214 0.335  -1.216 0.121  -1.260 -0.087  -1.260 -0.301  -1.177 -0.469  -1.122 -0.629  -0.965 -0.727  -0.808 -0.835  -0.612 -0.880  -0.402 -0.898  -0.194 -0.926  0.008 -0.894  0.109 -0.705  0.303 -0.619  0.400 -0.456  0.563 -0.332  0.616 -0.170  0.626 0.034  0.661 0.214  0.616 0.143  0.649 -0.067  0.753 -0.188  0.753 -0.403  0.753 -0.618  0.753 -0.832  0.743 -0.990  0.670 -0.788  0.597 -0.586  0.524 -0.384  0.452 -0.182  0.379 0.021  0.238 0.126  0.023 0.126  0.142 0.126  0.356 0.130  0.566 0.172  0.781 0.172  0.995 0.172  1.210 0.172
1b#tos#t1#t1020062/H  -0.741 1.112  -0.988 1.112  -1.041 0.917  -1.041 0.670  -1.041 0.423  -1.084 0.183  -1.084 -0.065  -1.084 -0.312  -1.084 -0.559  -1.084 -0.806  -1.020 -0.989  -0.834 -0.834  -0.654 -0.664  -0.474 -0.495  -0.294 -0.325  -0.115 -0.155  0.065 0.014  0.245 0.184  0.425 0.354  0.605 0.523  0.785 0.693  0.964 0.863  1.144 1.032  1.213 1.136  1.102 0.985  1.102 0.737  1.060 0.508  1.017 0.268  1.017 0.020  1.017 -0.227  1.017 -0.474  0.983 -0.713  0.906 -0.849  0.682 -0.745  0.458 -0.641  0.233 -0.537  0.009 -0.433  -0.215 -0.329  -0.440 -0.225  -0.664 -0.121  -0.895 -0.046  -0.994 -0.175  -0.757 -0.132  -0.510 -0.132  -0.262 -0.132  -0.015 -0.132  0.232 -0.132  0.479 -0.132  0.727 -0.132  0.931 -0.089
1b#tos#t1#t1020062/I  -0.156 1.191  -0.290 1.191  -0.403 1.132  -0.447 1.043  -0.421 1.043  -0.288 1.043  -0.154 1.043  -0.020 1.043  0.114 1.043  0.248 1.043  0.381 1.043  0.515 1.043  0.616 1.045  0.484 1.064  0.351 1.083  0.218 1.092  0.140 1.037  0.099 0.944  0.041 0.868  0.041 0.734  0.041 0.600  0.041 0.466  0.041 0.333  0.041 0.199  0.041 0.065  0.041 -0.069  0.041 -0.203  0.041 -0.337  0.017 -0.460  -0.008 -0.584  -0.008 -0.718  -0.058 -0.802  -0.107 -0.887  -0.065 -0.979  -0.129 -1.000  -0.253 -0.950  -0.374 -0.950  -0.487 -1.021  -0.607 -1.077  -0.607 -1.127  -0.473 -1.127  -0.339 -1.127  -0.206 -1.127  -0.072 -1.127  0.062 -1.127  0.196 -1.127  0.330 -1.127  0.464 -1.127  0.597 -1.127  0.731 -1.127
1b#tos#t1#t1020062/J  -0.247 0.890  -0.374 0.881  -0.499 0.856  -0.511 0.769  -0.383 0.769  -0.256 0.769  -0.168 0.810  -0.040 0.810  0.082 0.833  0.196 0.890  0.314 0.930  0.442 0.930  0.570 0.930  0.697 0.930  0.825 0.930  0.726 0.958  0.602 0.989  0.488 0.983  0.396 0.941  0.359 0.850  0.315 0.742  0.315 0.614  0.315 0.487  0.315 0.359  0.315 0.231  0.315 0.104  0.315 -0.024  0.315 -0.152  0.315 -0.279  0.315 -0.407  0.334 -0.516  0.355 -0.622  0.355 -0.750  0.315 -0.868  0.275 -0.979  0.207 -1.038  0.159 -1.119  0.032 -1.119  -0.096 -1.119  -0.207 -1.135  -0.311 -1.159  -0.439 -1.159  -0.566 -1.159  -0.694 -1.159  -0.806 -1.122  -0.902 -1.055  -0.975 -0.953  -1.066 -0.863  -1.131 -0.755  -1.211 -0.677
1b#tos#t1#t1020062/K  -0.753 1.208  -0.904 1.316  -1.022 1.176  -1.013 0.920  -0.969 0.672  -0.969 0.413  -0.969 0.155  -0.969 -0.104  -0.915 -0.350  -0.861 -0.586  -0.808 -0.836  -0.807 -1.095  -0.807 -1.353  -0.664 -1.196  -0.505 -0.992  -0.345 -0.788  -0.186 -0.584  -0.027 -0.380  0.132 -0.176  0.291 0.027  0.450 0.231  0.609 0.435  0.768 0.639  0.911 0.817  0.864 0.769  0.953 0.939  0.907 0.939  0.810 0.745  0.590 0.703  0.484 0.507  0.251 0.422  0.116 0.238  -0.093 0.157  -0.292 -0.002  -0.487 -0.168  -0.622 -0.343  -0.460 -0.214  -0.255 -0.057  -0.050 0.100  0.156 0.258  0.222 0.259  0.125 0.184  0.288 0.006  0.450 -0.187  0.665 -0.330  0.808 -0.541  0.944 -0.759  1.150 -0.910  1.349 -1.067  1.457 -1.217
1b#tos#t1#t1020062/N  -0.602 0.938  -0.855 0.938  -0.883 0.740  -0.855 0.494  -0.855 0.240  -0.855 -0.013  -0.833 -0.264  -0.805 -0.514  -0.805 -0.768  -0.805 -1.021  -0.805 -1.275  -0.728 -1.106  -0.693 -0.855  -0.658 -0.604  -0.623 -0.353  -0.588 -0.102  -0.553 0.149  -0.518 0.400  -0.483 0.651  -0.465 0.887  -0.718 0.887  -0.840 0.887  -0.660 0.739  -0.543 0.524  -0.357 0.353  -0.208 0.170  -0.068 -0.041  0.073 -0.252  0.214 -0.463  0.379 -0.637  0.555 -0.782  0.715 -0.954  0.780 -0.919  0.810 -0.667  0.840 -0.416  0.870 -0.164  0.900 0.088  0.930 0.339  0.960 0.591  0.990 0.843  1.015 1.090  0.817 1.035  0.817 0.781  0.817 0.528  0.843 0.277  0.867 0.027  0.867 -0.227  0.867 -0.480  0.867 -0.734  0.867 -0.987
1b#tos#t1#t1020062/O  -0.083 1.096  -0.194 1.047  -0.304 0.998  -0.385 0.905  -0.513 0.831  -0.609 0.707  -0.700 0.579  -0.745 0.430  -0.792 0.301  -0.855 0.180  -0.874 0.029  -0.910 -0.115  -0.910 -0.274  -0.910 -0.433  -0.910 -0.592  -0.855 -0.729  -0.762 -0.817  -0.665 -0.889  -0.567 -0.957  -0.425 -0.999  -0.279 -1.054  -0.120 -1.054  0.039 -1.054  0.198 -1.054  0.358 -1.054  0.504 -0.999  0.633 -0.970  0.744 -0.889  0.854 -0.840  0.884 -0.693  0.909 -0.544  0.969 -0.443  1.019 -0.304  1.019 -0.145  1.005 0.008  0.862 0.048  0.854 0.199  0.804 0.343  0.694 0.434  0.645 0.545  0.596 0.655  0.462 0.716  0.413 0.854  0.275 0.875  0.124 0.910  -0.030 0.931  -0.189 0.931  -0.340 0.882  -0.469 0.814  -0.469 0.655
1b#tos#t1#t1020062/P  -0.219 1.046  -0.423 1.063  -0.423 0.911  -0.423 0.690  -0.423 0.470  -0.423 0.249  -0.423 0.029  -0.423 -0.192  -0.423 -0.413  -0.423 -0.633  -0.423 -0.854  -0.423 -1.074  -0.423 -1.295  -0.423 -1.515  -0.345 -1.708  -0.315 -1.794  -0.294 -1.575  -0.274 -1.355  -0.253 -1.136  -0.232 -0.916  -0.212 -0.697  -0.191 -0.477  -0.170 -0.258  -0.149 -0.038  -0.129 0.182  -0.108 0.401  -0.087 0.621  -0.067 0.840  -0.285 0.842  -0.423 0.925  -0.338 1.080  -0.183 1.194  0.037 1.199  0.257 1.199  0.463 1.151  0.632 1.010  0.792 0.908  0.940 0.791  1.106 0.693  1.106 0.473  1.106 0.252  1.059 0.078  0.953 -0.066  0.753 -0.126  0.577 -0.215  0.404 -0.326  0.185 -0.332  -0.022 -0.387  -0.203 -0.483  -0.372 -0.432
1b#tos#t1#t1020062/Q  -0.138 1.073  -0.300 0.970  -0.517 0.950  -0.697 0.818  -0.856 0.710  -0.959 0.548  -1.125 0.425  -1.164 0.223  -1.212 0.005  -1.215 -0.220  -1.154 -0.435  -1.040 -0.606  -0.907 -0.780  -0.759 -0.923  -0.587 -0.980  -0.365 -1.007  -0.144 -1.031  0.082 -1.031  0.287 -0.980  0.461 -0.929  0.683 -0.925  0.752 -0.758  0.839 -0.569  0.984 -0.423  0.991 -0.201  1.043 -0.026  0.991 0.148  0.920 0.303  0.786 0.455  0.729 0.662  0.542 0.773  0.427 0.913  0.258 0.970  0.057 1.032  -0.151 1.073  -0.314 0.970  -0.497 0.928  -0.359 0.751  -0.215 0.577  -0.072 0.403  0.072 0.228  0.215 0.054  0.048 -0.056  0.034 -0.165  0.196 -0.288  0.346 -0.437  0.505 -0.597  0.674 -0.744  0.834 -0.870  0.991 -0.980
