1c#apa#apa04#app0445/b  -0.232 1.526  -0.284 1.647  -0.353 1.543  -0.369 1.374  -0.446 1.219  -0.474 1.053  -0.474 0.879  -0.474 0.706  -0.474 0.533  -0.474 0.360  -0.474 0.187  -0.500 0.020  -0.578 -0.135  -0.595 -0.304  -0.595 -0.477  -0.513 -0.451  -0.474 -0.294  -0.425 -0.170  -0.353 -0.069  -0.353 0.105  -0.353 0.278  -0.232 0.330  -0.185 0.483  -0.062 0.606  0.010 0.749  0.133 0.799  0.306 0.799  0.479 0.799  0.531 0.678  0.616 0.590  0.679 0.432  0.737 0.272  0.804 0.127  0.858 -0.024  0.858 -0.197  0.858 -0.370  0.858 -0.543  0.815 -0.698  0.737 -0.839  0.656 -0.978  0.533 -1.101  0.376 -1.139  0.324 -1.260  0.151 -1.260  0.099 -1.381  -0.074 -1.381  -0.232 -1.366  -0.299 -1.260  -0.472 -1.260  -0.595 -1.139
1c#apa#apa04#app0445/e  -1.010 0.283  -0.847 0.283  -0.684 0.283  -0.520 0.283  -0.357 0.283  -0.194 0.283  -0.052 0.231  0.063 0.115  0.221 0.102  0.385 0.102  0.516 0.180  0.636 0.283  0.800 0.283  0.915 0.398  0.981 0.534  0.981 0.698  0.947 0.827  0.789 0.838  0.673 0.954  0.532 1.008  0.369 1.008  0.205 1.008  0.042 1.008  -0.117 0.996  -0.232 0.881  -0.373 0.827  -0.467 0.757  -0.503 0.609  -0.619 0.494  -0.734 0.378  -0.829 0.254  -0.829 0.091  -0.829 -0.072  -0.829 -0.236  -0.829 -0.399  -0.775 -0.550  -0.702 -0.696  -0.605 -0.803  -0.449 -0.821  -0.333 -0.937  -0.190 -0.984  -0.049 -1.040  0.066 -1.155  0.225 -1.165  0.389 -1.165  0.540 -1.216  0.686 -1.289  0.836 -1.346  0.999 -1.346  1.162 -1.346
1c#apa#apa04#app0445/w  -0.997 0.520  -1.116 0.520  -1.183 0.467  -1.183 0.347  -1.183 0.227  -1.183 0.108  -1.183 -0.012  -1.183 -0.132  -1.183 -0.251  -1.183 -0.371  -1.104 -0.411  -0.984 -0.411  -0.864 -0.411  -0.745 -0.411  -0.625 -0.411  -0.624 -0.292  -0.572 -0.225  -0.452 -0.225  -0.438 -0.120  -0.438 0.000  -0.438 0.120  -0.438 0.239  -0.412 0.334  -0.293 0.334  -0.196 0.278  -0.111 0.194  -0.065 0.093  -0.065 -0.027  0.011 -0.115  0.095 -0.200  0.180 -0.284  0.265 -0.369  0.367 -0.411  0.486 -0.411  0.606 -0.411  0.726 -0.411  0.845 -0.411  0.936 -0.341  1.021 -0.257  1.105 -0.172  1.190 -0.087  1.275 -0.003  1.359 0.082  1.425 0.174  1.425 0.294  1.425 0.414  1.425 0.533  1.425 0.653  1.425 0.773  1.425 0.892
1c#apa#apa04#app0445/i  0.334 -0.467  0.334 -0.561  0.299 -0.620  0.205 -0.620  0.180 -0.689  0.170 -0.773  0.076 -0.773  0.027 -0.818  0.027 -0.912  0.027 -1.006  0.027 -1.100  0.027 -1.194  0.027 -1.288  0.027 -1.382  0.022 -1.298  0.018 -1.205  0.014 -1.111  0.009 -1.017  0.005 -0.923  0.000 -0.829  -0.004 -0.735  -0.009 -0.641  -0.013 -0.547  -0.018 -0.453  -0.022 -0.359  -0.027 -0.266  -0.031 -0.172  -0.036 -0.078  -0.040 0.016  -0.045 0.110  -0.049 0.204  -0.054 0.298  -0.058 0.392  -0.062 0.486  -0.067 0.580  -0.071 0.673  -0.076 0.767  -0.080 0.861  -0.085 0.955  -0.089 1.049  -0.094 1.143  -0.098 1.237  -0.103 1.331  -0.107 1.425  -0.112 1.519  -0.116 1.612  -0.121 1.706  -0.125 1.800  -0.067 1.835  0.027 1.835
1c#apa#apa04#app0445/l  0.063 1.694  0.063 1.622  0.063 1.549  0.063 1.477  0.063 1.405  0.063 1.333  0.063 1.261  0.063 1.188  0.063 1.116  0.041 1.053  -0.010 1.002  -0.061 0.951  -0.092 0.892  -0.092 0.819  -0.092 0.747  -0.092 0.675  -0.092 0.603  -0.092 0.531  -0.092 0.458  -0.092 0.386  -0.092 0.314  -0.092 0.242  -0.092 0.169  -0.092 0.097  -0.092 0.025  -0.092 -0.047  -0.092 -0.119  -0.092 -0.192  -0.092 -0.264  -0.082 -0.332  -0.031 -0.383  0.020 -0.434  0.063 -0.488  0.063 -0.561  0.063 -0.633  0.063 -0.705  0.063 -0.777  0.063 -0.849  0.063 -0.922  0.063 -0.994  0.063 -1.066  0.063 -1.138  0.063 -1.210  0.063 -1.283  0.063 -1.355  0.063 -1.427  0.063 -1.499  0.063 -1.572  0.063 -1.644  0.063 -1.716
1c#apa#apa04#app0445/d  0.525 -0.360  0.372 -0.208  0.220 -0.055  0.054 0.065  -0.161 0.065  -0.377 0.065  -0.593 0.065  -0.750 -0.076  -0.823 -0.218  -0.996 -0.322  -1.054 -0.502  -1.175 -0.596  -1.175 -0.811  -1.075 -0.927  -0.878 -1.005  -0.677 -1.068  -0.462 -1.068  -0.246 -1.068  -0.031 -1.068  0.100 -0.983  0.241 -0.910  0.241 -0.694  0.241 -0.479  0.241 -0.263  0.241 -0.047  0.241 0.168  0.241 0.384  0.241 0.599  0.241 0.815  0.241 1.030  0.241 1.246  0.241 1.461  0.279 1.661  0.383 1.833  0.383 1.764  0.383 1.548  0.383 1.333  0.383 1.117  0.383 0.902  0.383 0.686  0.383 0.471  0.317 0.282  0.241 0.098  0.241 -0.117  0.241 -0.333  0.241 -0.548  0.326 -0.729  0.383 -0.921  0.451 -1.068  0.525 -1.210
1c#apa#apa04#app0445/e  -0.650 0.062  -0.500 0.062  -0.349 0.062  -0.199 0.062  -0.049 0.062  0.101 0.062  0.249 0.066  0.355 0.172  0.461 0.278  0.609 0.285  0.759 0.285  0.909 0.285  1.017 0.387  1.123 0.493  1.139 0.637  1.139 0.787  1.139 0.937  1.008 0.956  0.858 0.956  0.708 0.956  0.558 0.956  0.408 0.956  0.257 0.956  0.107 0.956  -0.024 0.911  -0.130 0.805  -0.236 0.699  -0.343 0.592  -0.449 0.486  -0.555 0.380  -0.650 0.269  -0.650 0.119  -0.715 -0.004  -0.821 -0.110  -0.873 -0.239  -0.873 -0.389  -0.873 -0.539  -0.873 -0.689  -0.869 -0.837  -0.763 -0.944  -0.657 -1.050  -0.509 -1.056  -0.426 -1.124  -0.426 -1.274  -0.282 -1.280  -0.132 -1.280  0.018 -1.280  0.168 -1.280  0.318 -1.280  0.468 -1.280
1c#apa#apa04#app0445/r  -0.423 -1.309  -0.423 -1.391  -0.423 -1.473  -0.423 -1.449  -0.423 -1.367  -0.399 -1.309  -0.317 -1.309  -0.235 -1.309  -0.230 -1.232  -0.230 -1.150  -0.230 -1.068  -0.230 -0.986  -0.230 -0.904  -0.230 -0.822  -0.230 -0.740  -0.230 -0.658  -0.230 -0.576  -0.230 -0.494  -0.230 -0.412  -0.230 -0.331  -0.230 -0.249  -0.230 -0.167  -0.230 -0.085  -0.230 -0.003  -0.203 0.068  -0.145 0.126  -0.087 0.184  -0.038 0.245  -0.038 0.327  -0.038 0.409  0.008 0.472  0.066 0.530  0.124 0.588  0.155 0.657  0.155 0.739  0.155 0.821  0.155 0.903  0.155 0.985  0.218 1.004  0.300 1.004  0.348 1.038  0.348 1.120  0.353 1.197  0.435 1.197  0.517 1.197  0.598 1.197  0.680 1.197  0.762 1.197  0.844 1.197  0.926 1.197
1c#apa#apa04#app0445/e  -0.420 0.334  -0.279 0.334  -0.139 0.334  0.001 0.334  0.141 0.334  0.281 0.334  0.421 0.334  0.561 0.334  0.701 0.334  0.841 0.334  0.972 0.357  1.071 0.456  1.170 0.555  1.223 0.673  1.223 0.813  1.152 0.882  1.012 0.882  0.872 0.882  0.732 0.882  0.592 0.882  0.452 0.882  0.338 0.818  0.239 0.719  0.140 0.620  0.041 0.521  -0.058 0.422  -0.162 0.334  -0.302 0.334  -0.420 0.312  -0.420 0.171  -0.449 0.061  -0.589 0.061  -0.693 0.025  -0.693 -0.115  -0.693 -0.255  -0.693 -0.395  -0.728 -0.521  -0.827 -0.620  -0.926 -0.719  -0.967 -0.842  -0.967 -0.982  -0.905 -1.097  -0.806 -1.196  -0.707 -1.295  -0.572 -1.309  -0.432 -1.309  -0.292 -1.309  -0.152 -1.309  -0.012 -1.309  0.128 -1.309
1c#apa#apa04#app0445/d  0.146 -0.302  0.080 -0.169  -0.118 -0.169  -0.184 -0.035  -0.383 -0.035  -0.581 -0.035  -0.743 -0.125  -0.884 -0.266  -0.920 -0.449  -0.920 -0.648  -0.920 -0.847  -0.842 -0.968  -0.777 -1.101  -0.653 -1.177  -0.512 -1.234  -0.314 -1.234  -0.117 -1.230  0.024 -1.090  0.164 -0.949  0.279 -0.798  0.279 -0.599  0.279 -0.401  0.279 -0.202  0.279 -0.003  0.279 0.196  0.279 0.394  0.279 0.593  0.330 0.784  0.393 0.972  0.412 1.168  0.412 1.367  0.473 1.551  0.546 1.733  0.444 1.830  0.359 1.671  0.297 1.482  0.279 1.287  0.279 1.088  0.216 0.904  0.146 0.722  0.146 0.523  0.146 0.324  0.146 0.125  0.146 -0.073  0.146 -0.272  0.146 -0.471  0.146 -0.670  0.146 -0.868  0.190 -1.057  0.279 -1.234
1c#apa#apa04#app0445/c  0.680 1.268  0.572 1.268  0.464 1.268  0.415 1.209  0.381 1.135  0.273 1.135  0.165 1.135  0.085 1.069  0.009 0.993  -0.068 0.917  -0.144 0.841  -0.220 0.764  -0.296 0.688  -0.373 0.612  -0.449 0.536  -0.525 0.460  -0.601 0.383  -0.677 0.307  -0.754 0.231  -0.810 0.140  -0.858 0.044  -0.906 -0.053  -0.907 -0.160  -0.907 -0.268  -0.907 -0.376  -0.907 -0.484  -0.899 -0.583  -0.791 -0.583  -0.683 -0.583  -0.582 -0.613  -0.486 -0.662  -0.390 -0.710  -0.283 -0.716  -0.175 -0.716  -0.068 -0.716  0.040 -0.716  0.148 -0.716  0.256 -0.716  0.359 -0.690  0.462 -0.656  0.564 -0.622  0.666 -0.588  0.773 -0.583  0.881 -0.583  0.989 -0.583  1.097 -0.583  1.204 -0.583  1.312 -0.583  1.397 -0.527  1.473 -0.451
