1c#tos#t1#t1052060/b  -0.290 2.025  -0.452 1.993  -0.400 1.812  -0.344 1.641  -0.344 1.448  -0.344 1.254  -0.344 1.061  -0.344 0.867  -0.344 0.674  -0.306 0.484  -0.290 0.292  -0.290 0.098  -0.269 -0.092  -0.208 -0.275  -0.182 -0.465  -0.182 -0.658  -0.182 -0.852  -0.182 -1.045  -0.159 -1.216  -0.136 -1.269  -0.165 -1.078  -0.194 -0.887  -0.223 -0.695  -0.252 -0.504  -0.281 -0.313  -0.310 -0.121  -0.339 0.070  -0.368 0.261  -0.397 0.453  -0.225 0.482  -0.084 0.567  0.102 0.601  0.290 0.621  0.482 0.613  0.655 0.526  0.791 0.458  0.922 0.334  0.952 0.145  0.952 -0.048  0.929 -0.236  0.840 -0.407  0.693 -0.523  0.560 -0.655  0.484 -0.820  0.347 -0.892  0.197 -0.998  0.013 -1.021  -0.106 -1.171  -0.271 -1.216  -0.398 -1.324
1c#tos#t1#t1052060/d  0.479 0.221  0.268 0.221  0.248 0.411  0.040 0.414  -0.171 0.414  -0.369 0.346  -0.554 0.255  -0.705 0.122  -0.871 0.036  -0.919 -0.160  -1.090 -0.274  -1.141 -0.439  -1.141 -0.650  -1.025 -0.821  -0.904 -0.947  -0.782 -1.090  -0.614 -1.193  -0.422 -1.276  -0.213 -1.283  -0.009 -1.269  0.172 -1.223  0.188 -1.013  0.205 -0.803  0.221 -0.593  0.238 -0.383  0.254 -0.173  0.270 0.037  0.287 0.246  0.303 0.456  0.319 0.666  0.336 0.876  0.352 1.086  0.368 1.296  0.385 1.506  0.401 1.716  0.325 1.654  0.363 1.482  0.363 1.272  0.363 1.061  0.363 0.850  0.363 0.640  0.363 0.429  0.363 0.219  0.363 0.008  0.363 -0.203  0.363 -0.413  0.372 -0.623  0.402 -0.829  0.423 -1.037  0.440 -1.244
1c#tos#t1#t1052060/g  0.475 0.600  0.524 0.764  0.524 0.977  0.475 1.170  0.308 1.257  0.110 1.319  -0.102 1.335  -0.315 1.335  -0.529 1.335  -0.717 1.242  -0.848 1.122  -0.897 0.920  -0.897 0.707  -0.897 0.494  -0.803 0.338  -0.680 0.197  -0.537 0.061  -0.323 0.061  -0.115 0.093  0.087 0.159  0.272 0.252  0.345 0.438  0.426 0.632  0.426 0.746  0.426 0.533  0.426 0.320  0.426 0.107  0.426 -0.107  0.426 -0.320  0.426 -0.533  0.426 -0.746  0.426 -0.960  0.377 -1.124  0.264 -1.262  0.100 -1.311  -0.070 -1.393  -0.248 -1.458  -0.461 -1.458  -0.603 -1.387  -0.603 -1.174  -0.598 -0.963  -0.469 -0.797  -0.295 -0.681  -0.098 -0.625  0.051 -0.505  0.260 -0.478  0.375 -0.380  0.585 -0.372  0.756 -0.245  0.965 -0.233
1c#tos#t1#t1052060/i  0.281 0.121  0.178 0.172  0.184 0.074  0.220 -0.035  0.225 -0.149  0.225 -0.265  0.225 -0.380  0.225 -0.495  0.225 -0.611  0.225 -0.726  0.253 -0.835  0.281 -0.943  0.281 -1.058  0.281 -1.174  0.300 -1.286  0.337 -1.395  0.337 -1.508  0.303 -1.397  0.269 -1.287  0.235 -1.177  0.202 -1.067  0.168 -0.956  0.134 -0.846  0.100 -0.736  0.067 -0.626  0.033 -0.515  -0.001 -0.405  -0.035 -0.295  -0.068 -0.185  -0.102 -0.075  -0.136 0.036  -0.170 0.146  -0.203 0.256  -0.237 0.366  -0.271 0.477  -0.305 0.587  -0.338 0.697  -0.372 0.807  -0.406 0.918  -0.440 1.028  -0.473 1.138  -0.503 1.247  -0.422 1.329  -0.394 1.432  -0.394 1.548  -0.312 1.582  -0.220 1.638  -0.105 1.638  0.003 1.608  0.112 1.582
1c#tos#t1#t1052060/j  0.343 0.536  0.452 0.522  0.452 0.399  0.452 0.276  0.452 0.152  0.452 0.029  0.452 -0.094  0.452 -0.218  0.452 -0.341  0.452 -0.464  0.416 -0.573  0.416 -0.696  0.416 -0.819  0.393 -0.937  0.379 -1.057  0.319 -1.148  0.232 -1.185  0.154 -1.258  0.032 -1.266  -0.084 -1.294  -0.208 -1.294  -0.305 -1.232  -0.408 -1.166  -0.450 -1.053  -0.454 -0.932  -0.438 -0.810  -0.423 -0.688  -0.407 -0.565  -0.392 -0.443  -0.376 -0.321  -0.361 -0.198  -0.345 -0.076  -0.330 0.046  -0.314 0.169  -0.299 0.291  -0.283 0.414  -0.268 0.536  -0.252 0.658  -0.237 0.781  -0.221 0.903  -0.206 1.025  -0.190 1.148  -0.175 1.270  -0.159 1.392  -0.144 1.515  -0.130 1.634  -0.006 1.634  0.117 1.634  0.236 1.608  0.343 1.561
1c#tos#t1#t1052060/k  -0.147 2.326  -0.241 2.224  -0.241 2.029  -0.241 1.835  -0.241 1.640  -0.241 1.445  -0.241 1.250  -0.241 1.055  -0.241 0.860  -0.264 0.668  -0.287 0.475  -0.287 0.280  -0.287 0.086  -0.287 -0.109  -0.287 -0.304  -0.287 -0.499  -0.287 -0.694  -0.241 -0.878  -0.241 -1.072  -0.225 -1.265  -0.194 -1.455  -0.172 -1.446  -0.099 -1.266  -0.025 -1.086  0.049 -0.905  0.123 -0.725  0.196 -0.545  0.270 -0.364  0.344 -0.184  0.418 -0.004  0.492 0.177  0.565 0.357  0.639 0.537  0.515 0.507  0.461 0.326  0.271 0.320  0.226 0.170  0.078 0.087  -0.098 0.043  -0.183 -0.118  -0.360 -0.193  -0.392 -0.193  -0.239 -0.290  -0.123 -0.442  0.000 -0.571  0.164 -0.675  0.341 -0.753  0.459 -0.830  0.591 -0.893  0.739 -0.939
1c#tos#t1#t1052060/p  -0.362 0.766  -0.422 0.866  -0.390 0.669  -0.362 0.472  -0.362 0.270  -0.362 0.068  -0.362 -0.134  -0.362 -0.336  -0.362 -0.538  -0.241 -0.690  -0.241 -0.892  -0.241 -1.094  -0.238 -1.295  -0.189 -1.491  -0.180 -1.692  -0.062 -1.814  -0.093 -1.615  -0.124 -1.415  -0.155 -1.215  -0.186 -1.016  -0.217 -0.816  -0.248 -0.617  -0.279 -0.417  -0.310 -0.218  -0.341 -0.018  -0.372 0.181  -0.404 0.381  -0.435 0.581  -0.466 0.780  -0.482 0.981  -0.368 1.068  -0.172 1.080  -0.060 1.248  0.141 1.249  0.343 1.249  0.545 1.249  0.723 1.191  0.846 1.075  0.974 0.965  1.027 0.801  1.027 0.599  0.913 0.468  0.846 0.284  0.728 0.145  0.546 0.063  0.473 -0.090  0.316 -0.199  0.185 -0.314  -0.002 -0.383  -0.180 -0.441
1c#tos#t1#t1052060/r  -0.316 1.344  -0.462 1.373  -0.608 1.402  -0.596 1.284  -0.556 1.174  -0.505 1.035  -0.450 0.897  -0.386 0.762  -0.376 0.615  -0.376 0.466  -0.307 0.338  -0.255 0.204  -0.255 0.055  -0.233 -0.092  -0.204 -0.238  -0.195 -0.386  -0.195 -0.536  -0.195 -0.685  -0.189 -0.832  -0.106 -0.956  -0.075 -1.096  -0.075 -1.245  -0.075 -1.394  -0.075 -1.543  -0.042 -1.484  -0.191 -1.484  -0.195 -1.339  -0.195 -1.190  -0.195 -1.041  -0.218 -0.897  -0.255 -0.757  -0.255 -0.608  -0.255 -0.459  -0.255 -0.309  -0.170 -0.196  -0.065 -0.090  0.020 0.030  0.087 0.163  0.166 0.283  0.245 0.400  0.352 0.501  0.501 0.501  0.582 0.612  0.725 0.622  0.842 0.666  0.893 0.802  1.042 0.802  1.191 0.802  1.280 0.862  1.429 0.862
1c#tos#t1#t1052060/w  -1.057 0.470  -1.057 0.648  -1.199 0.684  -1.270 0.790  -1.167 0.687  -1.157 0.513  -1.058 0.366  -1.041 0.191  -0.992 0.021  -0.930 -0.144  -0.897 -0.318  -0.855 -0.477  -0.791 -0.628  -0.738 -0.784  -0.705 -0.947  -0.589 -1.021  -0.525 -0.876  -0.448 -0.731  -0.346 -0.591  -0.263 -0.439  -0.205 -0.286  -0.169 -0.114  -0.152 0.060  -0.152 0.237  -0.099 0.402  -0.099 0.580  -0.078 0.737  0.099 0.737  0.168 0.628  0.226 0.461  0.274 0.295  0.298 0.127  0.370 -0.031  0.434 -0.185  0.434 -0.362  0.481 -0.528  0.594 -0.660  0.677 -0.754  0.843 -0.709  0.904 -0.566  1.020 -0.451  1.021 -0.274  1.073 -0.118  1.073 0.059  1.189 0.175  1.246 0.323  1.339 0.462  1.383 0.621  1.446 0.772  1.446 0.950
1c#tos#t1#t1052060/x  1.127 1.111  1.031 0.948  0.926 0.777  0.785 0.632  0.672 0.463  0.621 0.269  0.574 0.073  0.483 -0.109  0.341 -0.245  0.249 -0.398  0.249 -0.601  0.092 -0.675  -0.097 -0.728  -0.187 -0.909  -0.272 -1.073  -0.465 -1.116  -0.493 -1.291  -0.493 -1.494  -0.563 -1.414  -0.568 -1.211  -0.573 -1.009  -0.578 -0.806  -0.583 -0.603  -0.588 -0.400  -0.593 -0.198  -0.598 0.005  -0.603 0.208  -0.608 0.411  -0.613 0.613  -0.618 0.816  -0.623 1.019  -0.628 1.221  -0.806 1.246  -0.815 1.179  -0.637 1.120  -0.468 1.061  -0.322 0.950  -0.148 0.878  -0.099 0.681  0.063 0.588  0.150 0.427  0.255 0.301  0.417 0.236  0.508 0.054  0.585 -0.133  0.654 -0.323  0.778 -0.441  0.925 -0.544  1.029 -0.718  1.127 -0.846
1c#tos#t1#t1052060/y  -0.660 0.771  -0.803 0.771  -0.927 0.753  -0.838 0.699  -0.725 0.626  -0.597 0.562  -0.482 0.525  -0.482 0.382  -0.409 0.262  -0.300 0.189  -0.182 0.111  -0.060 0.060  0.016 -0.018  0.115 0.084  0.213 0.187  0.312 0.290  0.411 0.393  0.509 0.496  0.608 0.599  0.707 0.702  0.805 0.805  0.904 0.908  1.003 1.011  0.923 1.038  0.895 0.923  0.792 0.836  0.736 0.713  0.655 0.617  0.563 0.529  0.518 0.394  0.495 0.255  0.495 0.112  0.379 0.035  0.263 -0.044  0.190 -0.167  0.129 -0.294  0.092 -0.430  -0.031 -0.504  -0.140 -0.589  -0.204 -0.716  -0.269 -0.843  -0.342 -0.966  -0.418 -1.087  -0.497 -1.205  -0.575 -1.325  -0.639 -1.452  -0.690 -1.585  -0.785 -1.682  -0.838 -1.796  -0.838 -1.939
