3#app#app31#app3166/8  0.621 0.336  0.710 0.509  0.691 0.711  0.621 0.892  0.567 1.048  0.471 1.198  0.272 1.226  0.062 1.226  -0.111 1.137  -0.306 1.100  -0.454 0.952  -0.603 0.803  -0.714 0.639  -0.714 0.429  -0.714 0.219  -0.661 0.042  -0.473 -0.052  -0.285 -0.146  -0.097 -0.240  0.091 -0.334  0.278 -0.428  0.466 -0.522  0.655 -0.588  0.799 -0.686  0.746 -0.874  0.572 -0.960  0.394 -1.068  0.189 -1.088  -0.010 -1.137  -0.210 -1.178  -0.420 -1.178  -0.631 -1.178  -0.841 -1.178  -1.051 -1.178  -1.065 -0.988  -0.971 -0.801  -0.868 -0.619  -0.720 -0.471  -0.546 -0.353  -0.371 -0.236  -0.196 -0.120  -0.074 0.050  0.074 0.183  0.270 0.254  0.386 0.429  0.529 0.579  0.697 0.705  0.836 0.855  0.954 1.025  1.155 1.048
3#app#app31#app3166/:  0.251 0.621  0.322 0.693  0.394 0.765  0.466 0.837  0.478 0.933  0.478 1.035  0.478 1.137  0.478 1.238  0.443 1.305  0.342 1.305  0.251 1.294  0.251 1.192  0.251 1.091  0.163 1.077  0.061 1.077  0.023 1.014  0.023 0.912  0.023 0.811  0.023 0.709  0.023 0.607  0.023 0.506  0.023 0.404  0.087 0.329  0.159 0.258  0.231 0.186  0.222 0.098  0.182 0.005  0.142 -0.089  0.102 -0.182  0.062 -0.275  0.022 -0.369  -0.018 -0.462  -0.058 -0.555  -0.099 -0.649  -0.139 -0.742  -0.179 -0.835  -0.219 -0.929  -0.259 -1.022  -0.299 -1.116  -0.339 -1.209  -0.379 -1.302  -0.419 -1.396  -0.479 -1.381  -0.551 -1.309  -0.623 -1.237  -0.611 -1.200  -0.510 -1.200  -0.432 -1.225  -0.432 -1.326  -0.432 -1.428
3#app#app31#app3166/4  -0.560 0.608  -0.560 0.696  -0.560 0.518  -0.560 0.339  -0.608 0.208  -0.693 0.115  -0.697 -0.062  -0.824 -0.189  -0.786 -0.326  -0.607 -0.326  -0.428 -0.326  -0.250 -0.326  -0.071 -0.326  0.069 -0.420  0.231 -0.459  0.374 -0.423  0.374 -0.244  0.374 -0.065  0.374 0.114  0.374 0.292  0.374 0.471  0.374 0.650  0.374 0.829  0.374 1.008  0.374 1.186  0.374 1.365  0.374 1.544  0.374 1.629  0.374 1.450  0.374 1.271  0.374 1.093  0.374 0.914  0.371 0.736  0.291 0.576  0.241 0.409  0.241 0.230  0.170 0.068  0.107 -0.096  0.107 -0.275  0.076 -0.450  0.033 -0.623  -0.011 -0.797  -0.026 -0.973  -0.098 -1.135  -0.160 -1.300  -0.160 -1.478  -0.160 -1.657  -0.160 -1.836  -0.160 -2.015  -0.160 -2.193
3#app#app31#app3166/&  1.141 -0.818  1.012 -0.718  0.784 -0.718  0.555 -0.718  0.327 -0.718  0.098 -0.718  -0.110 -0.670  -0.263 -0.563  -0.392 -0.388  -0.483 -0.197  -0.563 -0.002  -0.563 0.226  -0.563 0.455  -0.563 0.683  -0.507 0.898  -0.371 1.078  -0.263 1.262  -0.101 1.387  0.072 1.522  0.273 1.588  0.502 1.588  0.730 1.588  0.840 1.469  0.736 1.283  0.574 1.122  0.413 0.960  0.283 0.775  0.124 0.628  -0.056 0.491  -0.160 0.289  -0.336 0.148  -0.463 -0.002  -0.544 -0.197  -0.664 -0.376  -0.664 -0.605  -0.653 -0.829  -0.562 -1.019  -0.371 -1.110  -0.146 -1.119  0.082 -1.119  0.311 -1.119  0.339 -0.918  0.314 -0.705  0.138 -0.585  -0.022 -0.517  -0.251 -0.517  -0.347 -0.618  -0.118 -0.618  0.110 -0.618  0.339 -0.618
3#app#app31#app3166/4  -0.473 0.833  -0.354 0.900  -0.354 1.086  -0.437 1.190  -0.473 1.040  -0.571 0.952  -0.625 0.800  -0.711 0.650  -0.804 0.502  -0.830 0.327  -0.830 0.141  -0.714 0.003  -0.548 -0.045  -0.393 -0.119  -0.250 -0.224  -0.070 -0.238  0.116 -0.238  0.253 -0.357  0.439 -0.357  0.582 -0.461  0.584 -0.312  0.569 -0.127  0.553 0.058  0.538 0.244  0.522 0.429  0.507 0.615  0.491 0.800  0.479 0.986  0.407 1.142  0.360 1.308  0.360 1.122  0.360 0.936  0.360 0.750  0.360 0.564  0.360 0.378  0.360 0.191  0.324 0.011  0.265 -0.165  0.241 -0.348  0.162 -0.515  0.122 -0.692  0.102 -0.873  0.019 -1.040  -0.104 -1.178  -0.192 -1.341  -0.235 -1.517  -0.235 -1.703  -0.235 -1.889  -0.235 -2.075  -0.116 -2.142
3#app#app31#app3166/:  -0.013 1.292  -0.013 1.374  -0.013 1.456  0.045 1.480  0.127 1.480  0.176 1.446  0.176 1.364  0.176 1.282  0.176 1.200  0.176 1.118  0.176 1.036  0.176 0.954  0.176 0.872  0.176 0.790  0.189 0.713  0.247 0.655  0.305 0.597  0.363 0.539  0.364 0.457  0.364 0.375  0.364 0.293  0.364 0.211  0.349 0.132  0.312 0.059  0.276 -0.014  0.239 -0.088  0.202 -0.161  0.166 -0.235  0.129 -0.308  0.092 -0.382  0.055 -0.455  0.019 -0.528  -0.018 -0.602  -0.055 -0.675  -0.091 -0.749  -0.128 -0.822  -0.165 -0.895  -0.202 -0.969  -0.238 -1.042  -0.275 -1.116  -0.312 -1.189  -0.348 -1.263  -0.385 -1.336  -0.462 -1.345  -0.544 -1.345  -0.578 -1.296  -0.578 -1.214  -0.578 -1.132  -0.578 -1.050  -0.578 -0.968
3#app#app31#app3166/2  -0.927 0.679  -0.842 0.764  -0.826 0.879  -0.809 0.983  -0.725 1.019  -0.685 1.124  -0.590 1.186  -0.469 1.186  -0.348 1.186  -0.254 1.121  -0.148 1.084  -0.054 1.021  0.032 0.936  0.130 0.882  0.188 0.818  0.188 0.697  0.188 0.576  0.173 0.461  0.087 0.376  0.002 0.290  -0.084 0.205  -0.150 0.105  -0.204 -0.003  -0.281 -0.094  -0.367 -0.180  -0.452 -0.265  -0.538 -0.351  -0.623 -0.436  -0.709 -0.522  -0.725 -0.636  -0.612 -0.651  -0.526 -0.736  -0.407 -0.740  -0.286 -0.740  -0.165 -0.740  -0.044 -0.740  0.077 -0.740  0.198 -0.740  0.319 -0.740  0.440 -0.740  0.560 -0.740  0.681 -0.740  0.802 -0.740  0.923 -0.740  1.044 -0.740  1.165 -0.740  1.286 -0.740  1.376 -0.814  1.486 -0.842  1.505 -0.943
3#app#app31#app3166/&  1.582 -0.661  1.536 -0.661  1.390 -0.562  1.244 -0.661  0.998 -0.661  0.753 -0.661  0.508 -0.661  0.301 -0.570  0.069 -0.537  -0.133 -0.434  -0.303 -0.317  -0.396 -0.165  -0.443 0.033  -0.501 0.220  -0.501 0.466  -0.501 0.711  -0.402 0.915  -0.367 1.125  -0.204 1.265  -0.042 1.385  0.188 1.422  0.433 1.422  0.678 1.422  0.689 1.188  0.590 1.042  0.461 0.926  0.267 0.802  0.094 0.629  -0.110 0.529  -0.256 0.430  -0.402 0.331  -0.522 0.190  -0.671 0.033  -0.875 -0.066  -0.985 -0.252  -1.097 -0.393  -1.097 -0.638  -1.010 -0.847  -0.811 -0.959  -0.566 -0.959  -0.320 -0.959  -0.084 -0.938  0.119 -0.835  0.293 -0.720  0.392 -0.574  0.392 -0.329  0.211 -0.264  -0.031 -0.277  -0.256 -0.364  -0.303 -0.562
3#app#app31#app3166/2  -0.323 0.492  -0.323 0.642  -0.323 0.792  -0.293 0.912  -0.183 0.953  -0.132 1.052  0.018 1.052  0.147 1.103  0.261 1.192  0.411 1.192  0.561 1.192  0.711 1.192  0.797 1.127  0.744 0.999  0.645 0.888  0.577 0.753  0.506 0.622  0.400 0.515  0.294 0.409  0.175 0.321  0.040 0.254  -0.084 0.172  -0.187 0.064  -0.255 -0.071  -0.322 -0.205  -0.455 -0.274  -0.589 -0.341  -0.698 -0.443  -0.830 -0.488  -0.952 -0.557  -1.058 -0.663  -1.163 -0.769  -1.152 -0.908  -1.002 -0.908  -0.852 -0.908  -0.701 -0.908  -0.551 -0.908  -0.401 -0.908  -0.254 -0.885  -0.112 -0.838  0.031 -0.790  0.178 -0.768  0.328 -0.768  0.473 -0.736  0.615 -0.689  0.758 -0.641  0.906 -0.628  1.056 -0.628  1.207 -0.628  1.357 -0.628
3#app#app31#app3166/:  0.117 1.460  0.031 1.460  -0.056 1.460  -0.069 1.460  0.018 1.460  0.104 1.460  0.117 1.386  0.117 1.300  0.134 1.220  0.195 1.159  0.256 1.098  0.318 1.037  0.329 0.960  0.313 0.875  0.296 0.791  0.279 0.706  0.262 0.621  0.245 0.536  0.228 0.451  0.211 0.366  0.194 0.281  0.177 0.196  0.160 0.111  0.143 0.026  0.126 -0.059  0.109 -0.143  0.092 -0.228  0.075 -0.313  0.058 -0.398  0.041 -0.483  0.024 -0.568  0.007 -0.653  -0.010 -0.738  -0.027 -0.823  -0.044 -0.908  -0.061 -0.993  -0.078 -1.077  -0.095 -1.162  -0.138 -1.216  -0.224 -1.216  -0.311 -1.216  -0.377 -1.167  -0.439 -1.106  -0.500 -1.045  -0.539 -0.993  -0.452 -0.993  -0.366 -0.993  -0.329 -1.043  -0.329 -1.129  -0.329 -1.216
3#app#app31#app3166/1  0.113 1.249  0.113 1.321  0.099 1.388  0.048 1.439  -0.004 1.490  -0.012 1.438  -0.012 1.366  -0.012 1.293  -0.012 1.221  -0.012 1.148  -0.012 1.076  -0.012 1.003  -0.012 0.931  -0.012 0.858  -0.012 0.786  -0.012 0.713  -0.012 0.641  -0.012 0.568  -0.012 0.496  -0.012 0.423  -0.012 0.351  -0.012 0.278  -0.012 0.206  -0.012 0.133  -0.012 0.061  -0.012 -0.012  -0.012 -0.084  -0.012 -0.157  -0.012 -0.230  -0.012 -0.302  -0.012 -0.375  -0.012 -0.447  -0.012 -0.520  -0.012 -0.592  -0.012 -0.665  -0.012 -0.737  -0.012 -0.810  -0.012 -0.882  -0.012 -0.955  -0.012 -1.027  -0.012 -1.100  -0.012 -1.172  -0.012 -1.245  -0.012 -1.317  -0.012 -1.390  -0.012 -1.462  -0.012 -1.535  -0.012 -1.607  0.040 -1.627  0.113 -1.627
3#app#app31#app3166/;  0.069 1.277  0.069 1.357  0.020 1.417  -0.022 1.479  -0.022 1.541  -0.022 1.461  0.033 1.403  0.069 1.338  0.069 1.258  0.069 1.178  0.069 1.098  0.069 1.018  0.069 0.938  0.069 0.858  0.069 0.778  0.069 0.698  0.069 0.618  0.069 0.538  0.069 0.458  0.069 0.378  0.069 0.298  0.069 0.218  0.069 0.138  0.094 0.068  0.151 0.012  0.160 -0.064  0.160 -0.144  0.129 -0.211  0.072 -0.268  0.069 -0.347  0.069 -0.427  0.069 -0.507  0.069 -0.587  0.069 -0.667  0.069 -0.747  0.069 -0.827  0.069 -0.907  -0.010 -0.908  -0.022 -0.976  -0.022 -1.056  -0.054 -1.123  -0.111 -1.179  -0.113 -1.258  -0.179 -1.272  -0.204 -1.327  -0.248 -1.363  -0.328 -1.363  -0.386 -1.385  -0.397 -1.454  -0.477 -1.454
