1c#tos#t1#t1007061/a  0.700 0.646  0.700 0.468  0.700 0.680  0.635 0.827  0.529 0.971  0.447 1.101  0.235 1.101  0.024 1.101  -0.188 1.101  -0.400 1.101  -0.539 1.002  -0.702 0.869  -0.730 0.669  -0.827 0.516  -0.925 0.402  -0.990 0.217  -0.990 0.006  -0.990 -0.206  -1.055 -0.353  -1.120 -0.550  -1.120 -0.762  -1.077 -0.956  -0.875 -0.979  -0.795 -0.847  -0.646 -0.784  -0.510 -0.693  -0.340 -0.628  -0.244 -0.476  -0.087 -0.336  -0.015 -0.166  0.174 -0.072  0.190 0.126  0.245 0.284  0.419 0.321  0.501 0.451  0.560 0.636  0.505 0.513  0.375 0.382  0.314 0.195  0.245 0.012  0.245 -0.200  0.258 -0.407  0.316 -0.595  0.468 -0.710  0.608 -0.849  0.790 -0.898  0.951 -0.979  1.149 -1.041  1.333 -1.109  1.545 -1.109
1c#tos#t1#t1007061/d  0.392 2.070  0.308 1.950  0.350 1.819  0.350 1.647  0.392 1.492  0.392 1.320  0.392 1.148  0.392 0.975  0.392 0.803  0.392 0.631  0.392 0.458  0.405 0.289  0.460 0.127  0.476 -0.043  0.476 -0.216  0.476 -0.388  0.476 -0.560  0.517 -0.722  0.489 -0.883  0.476 -0.912  0.476 -0.739  0.476 -0.567  0.476 -0.395  0.476 -0.223  0.392 -0.134  0.350 -0.003  0.210 0.050  0.083 0.164  -0.037 0.231  -0.193 0.248  -0.298 0.315  -0.470 0.315  -0.643 0.315  -0.731 0.231  -0.853 0.124  -0.939 0.001  -0.946 -0.170  -0.946 -0.342  -1.029 -0.431  -0.992 -0.595  -0.955 -0.746  -0.848 -0.855  -0.702 -0.935  -0.573 -0.981  -0.442 -1.022  -0.270 -1.022  -0.098 -1.022  0.065 -0.981  0.220 -0.939  0.350 -0.897
1c#tos#t1#t1007061/f  0.910 1.485  0.786 1.514  0.688 1.568  0.536 1.568  0.383 1.568  0.233 1.559  0.125 1.489  0.050 1.368  0.043 1.218  -0.005 1.113  -0.040 0.996  -0.040 0.844  -0.040 0.691  -0.040 0.539  -0.040 0.386  -0.040 0.234  0.006 0.095  0.043 -0.046  0.043 -0.198  0.084 -0.334  0.125 -0.469  0.125 -0.621  0.125 -0.774  0.167 -0.885  0.167 -1.037  0.167 -1.190  0.153 -1.337  0.095 -1.447  0.043 -1.548  -0.012 -1.569  -0.056 -1.423  -0.100 -1.277  -0.144 -1.131  -0.188 -0.985  -0.232 -0.839  -0.276 -0.693  -0.321 -0.547  -0.365 -0.401  -0.409 -0.255  -0.453 -0.110  -0.497 0.036  -0.555 0.163  -0.659 0.115  -0.541 0.081  -0.389 0.081  -0.236 0.081  -0.084 0.081  0.068 0.081  0.221 0.081  0.373 0.081
1c#tos#t1#t1007061/g  0.366 0.683  0.502 0.591  0.731 0.591  0.777 0.773  0.823 0.956  0.782 1.174  0.580 1.231  0.371 1.277  0.143 1.277  -0.085 1.277  -0.313 1.277  -0.488 1.134  -0.626 0.970  -0.704 0.788  -0.720 0.581  -0.602 0.436  -0.381 0.409  -0.152 0.409  0.046 0.379  0.258 0.363  0.440 0.409  0.623 0.454  0.474 0.500  0.271 0.430  0.229 0.228  0.183 0.046  0.183 -0.182  0.274 -0.354  0.320 -0.563  0.366 -0.746  0.320 -0.928  0.229 -1.065  0.129 -1.253  -0.034 -1.373  -0.195 -1.484  -0.419 -1.510  -0.647 -1.510  -0.776 -1.377  -0.868 -1.240  -0.914 -1.058  -0.914 -0.830  -0.789 -0.688  -0.628 -0.573  -0.499 -0.456  -0.307 -0.368  -0.110 -0.295  0.103 -0.231  0.321 -0.185  0.549 -0.185  0.777 -0.185
1c#tos#t1#t1007061/h  -0.409 2.035  -0.455 1.912  -0.445 1.748  -0.363 1.612  -0.363 1.443  -0.317 1.293  -0.281 1.132  -0.271 0.965  -0.271 0.796  -0.271 0.627  -0.271 0.458  -0.271 0.289  -0.271 0.119  -0.271 -0.050  -0.271 -0.219  -0.271 -0.388  -0.271 -0.558  -0.298 -0.722  -0.317 -0.889  -0.317 -1.058  -0.409 -1.135  -0.409 -1.088  -0.409 -0.919  -0.409 -0.750  -0.409 -0.581  -0.409 -0.411  -0.317 -0.299  -0.317 -0.130  -0.317 0.039  -0.317 0.208  -0.267 0.327  -0.178 0.408  -0.067 0.466  0.056 0.512  0.226 0.512  0.338 0.420  0.422 0.334  0.550 0.245  0.606 0.127  0.606 -0.043  0.641 -0.204  0.653 -0.370  0.653 -0.539  0.653 -0.709  0.653 -0.878  0.699 -1.028  0.745 -1.151  0.848 -1.265  1.000 -1.313  1.160 -1.334
1c#tos#t1#t1007061/i  -0.228 0.083  -0.169 0.028  -0.126 -0.033  -0.220 -0.081  -0.228 -0.188  -0.228 -0.302  -0.228 -0.416  -0.228 -0.531  -0.228 -0.645  -0.228 -0.760  -0.228 -0.874  -0.228 -0.989  -0.228 -1.103  -0.228 -1.217  -0.183 -1.321  -0.119 -1.379  -0.021 -1.395  0.093 -1.395  0.124 -1.294  0.187 -1.200  0.205 -1.095  0.199 -0.981  0.192 -0.866  0.186 -0.752  0.179 -0.638  0.173 -0.524  0.166 -0.409  0.160 -0.295  0.153 -0.181  0.147 -0.067  0.141 0.047  0.134 0.162  0.128 0.276  0.121 0.390  0.115 0.504  0.108 0.619  0.102 0.733  0.095 0.847  0.089 0.961  0.082 1.076  0.076 1.190  0.069 1.304  0.063 1.418  0.056 1.533  0.050 1.647  0.010 1.726  -0.064 1.686  -0.119 1.626  -0.064 1.567  -0.009 1.507
1c#tos#t1#t1007061/j  0.420 0.819  0.348 0.751  0.318 0.641  0.313 0.506  0.348 0.381  0.384 0.277  0.384 0.137  0.384 -0.003  0.384 -0.144  0.456 -0.254  0.456 -0.394  0.456 -0.534  0.456 -0.674  0.420 -0.806  0.384 -0.910  0.384 -1.050  0.305 -1.111  0.241 -1.218  0.146 -1.290  0.006 -1.290  -0.134 -1.290  -0.274 -1.290  -0.354 -1.195  -0.461 -1.137  -0.567 -1.053  -0.630 -0.968  -0.679 -0.854  -0.724 -0.752  -0.683 -0.620  -0.629 -0.491  -0.575 -0.361  -0.521 -0.232  -0.467 -0.103  -0.413 0.027  -0.359 0.156  -0.305 0.285  -0.251 0.414  -0.197 0.544  -0.143 0.673  -0.089 0.802  -0.035 0.931  0.019 1.061  0.073 1.190  0.127 1.319  0.181 1.448  0.235 1.578  0.248 1.663  0.170 1.585  0.205 1.481  0.241 1.356
1c#tos#t1#t1007061/k  -0.434 2.256  -0.517 2.152  -0.486 1.993  -0.486 1.804  -0.486 1.614  -0.486 1.425  -0.434 1.247  -0.434 1.058  -0.434 0.868  -0.434 0.678  -0.434 0.489  -0.408 0.304  -0.382 0.118  -0.382 -0.072  -0.373 -0.259  -0.330 -0.438  -0.330 -0.628  -0.330 -0.818  -0.330 -1.007  -0.330 -1.197  -0.330 -1.074  -0.233 -0.925  -0.099 -0.791  0.035 -0.657  0.169 -0.523  0.304 -0.389  0.438 -0.254  0.572 -0.120  0.706 0.014  0.840 0.148  0.841 0.227  0.669 0.185  0.483 0.175  0.309 0.137  0.230 0.019  0.040 0.019  -0.128 -0.033  -0.226 -0.125  -0.382 -0.158  -0.328 -0.294  -0.278 -0.434  -0.120 -0.520  0.064 -0.554  0.252 -0.560  0.408 -0.667  0.558 -0.762  0.696 -0.814  0.865 -0.864  0.989 -0.970  0.919 -1.022
1c#tos#t1#t1007061/m  -1.130 0.792  -1.097 0.733  -1.025 0.568  -1.005 0.365  -0.953 0.167  -0.953 -0.043  -0.953 -0.253  -0.953 -0.463  -1.000 -0.627  -0.991 -0.804  -0.953 -0.750  -0.894 -0.599  -0.894 -0.389  -0.894 -0.179  -0.789 -0.004  -0.774 0.201  -0.657 0.295  -0.657 0.505  -0.557 0.614  -0.465 0.733  -0.255 0.733  -0.126 0.617  -0.046 0.456  -0.007 0.270  -0.007 0.060  0.052 -0.091  0.052 -0.301  0.052 -0.511  0.052 -0.721  0.052 -0.795  0.102 -0.593  0.117 -0.390  0.273 -0.302  0.347 -0.110  0.347 0.100  0.441 0.246  0.571 0.394  0.702 0.510  0.748 0.674  0.958 0.674  1.168 0.674  1.234 0.529  1.234 0.319  1.234 0.109  1.322 -0.065  1.352 -0.263  1.352 -0.473  1.352 -0.683  1.392 -0.884  1.529 -1.040
1c#tos#t1#t1007061/p  -0.140 1.221  -0.140 1.014  -0.095 0.817  -0.095 0.610  -0.095 0.402  -0.073 0.199  -0.049 -0.005  -0.049 -0.212  -0.049 -0.420  -0.049 -0.627  -0.049 -0.835  -0.084 -1.034  -0.095 -1.239  -0.095 -1.446  -0.095 -1.653  -0.118 -1.851  -0.140 -1.790  -0.231 -1.673  -0.243 -1.466  -0.257 -1.260  -0.271 -1.053  -0.285 -0.846  -0.298 -0.639  -0.312 -0.432  -0.326 -0.225  -0.340 -0.018  -0.354 0.189  -0.367 0.396  -0.478 0.493  -0.590 0.619  -0.641 0.780  -0.602 0.948  -0.430 1.006  -0.254 1.085  -0.057 1.130  0.150 1.130  0.357 1.130  0.565 1.130  0.726 1.083  0.824 0.948  0.952 0.815  0.998 0.654  0.900 0.487  0.770 0.333  0.676 0.220  0.489 0.169  0.355 0.033  0.183 -0.053  0.042 -0.119  -0.140 -0.144
1c#tos#t1#t1007061/q  0.223 0.724  0.349 0.706  0.349 0.898  0.433 1.006  0.395 1.182  0.307 1.320  0.166 1.395  -0.025 1.386  -0.213 1.353  -0.334 1.222  -0.512 1.150  -0.601 0.991  -0.616 0.806  -0.616 0.614  -0.608 0.430  -0.416 0.430  -0.224 0.430  -0.067 0.514  0.077 0.591  0.223 0.678  0.223 0.722  0.223 0.530  0.097 0.415  0.058 0.229  0.013 0.080  -0.071 -0.077  -0.113 -0.262  -0.155 -0.444  -0.274 -0.572  -0.322 -0.751  -0.322 -0.942  -0.384 -1.120  -0.406 -1.306  -0.406 -1.498  -0.364 -1.648  -0.234 -1.709  -0.051 -1.689  0.068 -1.571  0.180 -1.418  0.237 -1.262  0.281 -1.091  0.357 -0.920  0.396 -0.741  0.517 -0.614  0.517 -0.422  0.517 -0.230  0.433 -0.073  0.378 0.101  0.223 0.197  0.097 0.263
