1b#apa#apa09#app0967/W  -1.044 0.988  -1.044 0.871  -1.044 0.754  -1.044 0.637  -1.044 0.520  -1.044 0.403  -1.044 0.286  -1.044 0.169  -1.044 0.052  -1.044 -0.064  -1.044 -0.181  -1.044 -0.298  -1.039 -0.413  -0.957 -0.496  -0.868 -0.564  -0.751 -0.564  -0.689 -0.474  -0.637 -0.369  -0.585 -0.265  -0.505 -0.179  -0.422 -0.097  -0.340 -0.014  -0.252 0.057  -0.135 0.057  -0.061 -0.022  0.004 -0.119  0.069 -0.216  0.134 -0.314  0.199 -0.411  0.282 -0.493  0.368 -0.571  0.473 -0.624  0.577 -0.676  0.672 -0.699  0.725 -0.595  0.777 -0.490  0.829 -0.385  0.881 -0.281  0.934 -0.176  0.980 -0.069  1.008 0.044  1.037 0.158  1.065 0.271  1.093 0.385  1.122 0.498  1.179 0.599  1.244 0.696  1.309 0.794  1.373 0.891  1.438 0.988
1b#apa#apa09#app0967/I  -0.336 1.658  -0.314 1.592  -0.292 1.526  -0.269 1.459  -0.247 1.393  -0.225 1.327  -0.203 1.260  -0.181 1.194  -0.159 1.128  -0.137 1.061  -0.115 0.995  -0.093 0.929  -0.071 0.862  -0.048 0.796  -0.026 0.730  -0.004 0.663  0.018 0.597  0.040 0.531  0.062 0.464  0.084 0.398  0.084 0.328  0.084 0.258  0.084 0.188  0.084 0.118  0.084 0.049  0.084 -0.021  0.084 -0.091  0.084 -0.161  0.084 -0.231  0.084 -0.301  0.084 -0.371  0.084 -0.441  0.084 -0.511  0.084 -0.581  0.084 -0.651  0.084 -0.720  0.084 -0.790  0.084 -0.860  0.084 -0.930  0.084 -1.000  0.084 -1.070  0.084 -1.140  0.084 -1.210  0.084 -1.280  0.084 -1.350  0.084 -1.419  0.084 -1.489  0.084 -1.559  0.084 -1.629  0.084 -1.699
1b#apa#apa09#app0967/T  0.576 0.796  0.576 0.647  0.576 0.497  0.576 0.348  0.576 0.198  0.576 0.049  0.576 -0.101  0.576 -0.250  0.536 -0.393  0.489 -0.535  0.441 -0.676  0.394 -0.818  0.363 -0.962  0.363 -1.112  0.363 -1.261  0.363 -1.411  0.358 -1.544  0.275 -1.419  0.192 -1.295  0.109 -1.171  0.026 -1.046  -0.056 -0.922  -0.139 -0.798  -0.222 -0.673  -0.305 -0.549  -0.388 -0.425  -0.471 -0.300  -0.554 -0.176  -0.637 -0.052  -0.719 0.073  -0.802 0.197  -0.885 0.321  -1.009 0.369  -1.131 0.397  -1.131 0.546  -1.029 0.633  -0.896 0.700  -0.762 0.767  -0.621 0.813  -0.474 0.842  -0.328 0.871  -0.181 0.900  -0.035 0.930  0.112 0.959  0.258 0.988  0.405 1.009  0.555 1.009  0.704 1.009  0.854 1.009  1.003 1.009
1b#apa#apa09#app0967/H  -0.541 0.361  -0.594 0.571  -0.646 0.781  -0.693 0.991  -0.780 1.120  -0.845 0.969  -0.845 0.752  -0.845 0.536  -0.845 0.320  -0.845 0.103  -0.845 -0.113  -0.845 -0.329  -0.845 -0.546  -0.845 -0.762  -0.845 -0.978  -0.845 -1.121  -0.845 -0.904  -0.845 -0.688  -0.810 -0.480  -0.713 -0.287  -0.572 -0.125  -0.368 -0.095  -0.152 -0.095  0.065 -0.095  0.279 -0.110  0.489 -0.162  0.699 -0.215  0.911 -0.246  1.128 -0.246  1.062 -0.043  0.993 0.162  0.925 0.368  0.857 0.573  0.788 0.778  0.720 0.983  0.623 1.171  0.522 1.199  0.522 0.983  0.522 0.766  0.522 0.550  0.522 0.334  0.522 0.117  0.522 -0.099  0.522 -0.315  0.522 -0.532  0.522 -0.748  0.522 -0.964  0.522 -1.181  0.522 -1.397  0.522 -1.613
1b#apa#apa09#app0967/A  -0.390 0.568  -0.555 0.515  -0.555 0.297  -0.593 0.084  -0.646 -0.127  -0.699 -0.338  -0.719 -0.553  -0.719 -0.771  -0.719 -0.988  -0.586 -1.074  -0.518 -0.892  -0.476 -0.678  -0.433 -0.465  -0.390 -0.251  -0.330 -0.042  -0.270 0.167  -0.211 0.376  -0.151 0.586  -0.091 0.795  -0.012 0.996  0.085 1.191  0.229 1.352  0.383 1.506  0.537 1.660  0.691 1.621  0.813 1.444  0.911 1.249  0.892 1.037  0.856 0.823  0.820 0.608  0.784 0.393  0.747 0.179  0.704 -0.034  0.661 -0.248  0.619 -0.461  0.595 -0.676  0.595 -0.894  0.504 -1.090  0.430 -1.290  0.356 -1.327  0.202 -1.173  0.048 -1.019  -0.106 -0.866  -0.260 -0.712  -0.414 -0.558  -0.568 -0.404  -0.719 -0.249  -0.661 -0.089  -0.444 -0.089  -0.226 -0.089
1b#apa#apa09#app0967/Q  -0.059 0.467  -0.117 0.619  -0.326 0.619  -0.531 0.606  -0.674 0.454  -0.740 0.255  -0.806 0.056  -0.822 -0.151  -0.822 -0.361  -0.822 -0.571  -0.822 -0.780  -0.742 -0.932  -0.543 -0.999  -0.343 -1.054  -0.138 -1.013  0.068 -0.972  0.274 -0.931  0.457 -0.847  0.605 -0.699  0.753 -0.550  0.902 -0.402  1.008 -0.236  1.008 -0.027  1.008 0.183  1.008 0.393  0.957 0.593  0.880 0.787  0.802 0.982  0.724 1.177  0.594 1.338  0.410 1.428  0.211 1.495  0.055 1.458  -0.039 1.271  -0.106 1.073  -0.167 0.872  -0.227 0.671  -0.287 0.470  -0.347 0.269  -0.408 0.068  -0.468 -0.133  -0.556 -0.296  -0.573 -0.296  -0.431 -0.424  -0.315 -0.598  -0.195 -0.770  -0.047 -0.918  0.101 -1.067  0.250 -1.215  0.398 -1.363
1b#apa#apa09#app0967/U  -0.255 0.377  -0.342 0.464  -0.429 0.551  -0.516 0.638  -0.603 0.725  -0.690 0.811  -0.767 0.834  -0.822 0.724  -0.877 0.614  -0.932 0.504  -0.987 0.394  -0.963 0.279  -0.924 0.162  -0.885 0.045  -0.846 -0.071  -0.807 -0.188  -0.768 -0.305  -0.715 -0.414  -0.647 -0.516  -0.578 -0.619  -0.510 -0.721  -0.442 -0.823  -0.374 -0.926  -0.305 -1.028  -0.223 -1.103  -0.100 -1.103  0.020 -1.089  0.130 -1.034  0.240 -0.979  0.350 -0.924  0.460 -0.869  0.508 -0.764  0.537 -0.645  0.567 -0.526  0.597 -0.406  0.627 -0.287  0.657 -0.168  0.687 -0.048  0.716 0.071  0.759 0.185  0.814 0.295  0.869 0.405  0.924 0.515  0.978 0.626  0.978 0.749  0.978 0.872  0.978 0.994  0.978 1.117  0.978 1.240  0.978 1.363
1b#apa#apa09#app0967/A  -0.968 -0.004  -0.968 0.235  -0.964 0.474  -0.857 0.687  -0.674 0.779  -0.499 0.623  -0.342 0.450  -0.342 0.210  -0.342 -0.029  -0.342 -0.268  -0.342 -0.507  -0.342 -0.746  -0.384 -0.943  -0.498 -0.818  -0.498 -0.579  -0.498 -0.340  -0.498 -0.101  -0.448 0.129  -0.364 0.353  -0.280 0.577  -0.196 0.801  -0.112 1.025  -0.028 1.249  0.141 1.418  0.321 1.561  0.560 1.561  0.709 1.394  0.842 1.195  0.911 0.976  0.911 0.737  0.911 0.498  0.902 0.260  0.863 0.024  0.824 -0.212  0.784 -0.448  0.741 -0.683  0.683 -0.915  0.625 -1.147  0.541 -1.370  0.431 -1.557  0.275 -1.375  0.119 -1.194  -0.036 -1.012  -0.192 -0.831  -0.348 -0.649  -0.498 -0.465  -0.408 -0.317  -0.169 -0.312  0.058 -0.236  0.285 -0.160
1b#apa#apa09#app0967/L  0.581 0.581  0.557 0.678  0.533 0.775  0.509 0.872  0.485 0.969  0.460 1.065  0.436 1.162  0.410 1.258  0.339 1.328  0.269 1.399  0.215 1.363  0.171 1.273  0.126 1.184  0.081 1.095  0.049 1.001  0.017 0.906  -0.015 0.811  -0.046 0.717  -0.078 0.622  -0.109 0.527  -0.141 0.433  -0.172 0.338  -0.204 0.243  -0.235 0.149  -0.276 0.060  -0.347 -0.011  -0.417 -0.081  -0.455 -0.172  -0.486 -0.267  -0.518 -0.362  -0.549 -0.456  -0.581 -0.551  -0.596 -0.648  -0.596 -0.748  -0.596 -0.848  -0.582 -0.939  -0.493 -0.984  -0.403 -1.028  -0.314 -1.073  -0.221 -1.100  -0.121 -1.100  -0.021 -1.100  0.078 -1.100  0.178 -1.100  0.276 -1.111  0.371 -1.142  0.466 -1.174  0.560 -1.205  0.655 -1.237  0.750 -1.269
1b#apa#apa09#app0967/M  -0.781 0.166  -0.865 -0.001  -0.961 -0.160  -1.076 -0.300  -1.076 -0.488  -1.076 -0.675  -1.076 -0.863  -1.076 -1.050  -1.040 -1.086  -0.956 -0.918  -0.898 -0.741  -0.852 -0.559  -0.807 -0.377  -0.762 -0.196  -0.716 -0.014  -0.671 0.168  -0.617 0.347  -0.534 0.515  -0.450 0.682  -0.366 0.850  -0.224 0.960  -0.056 1.043  -0.041 0.873  -0.010 0.689  0.020 0.504  0.051 0.319  0.082 0.134  0.079 -0.048  0.019 -0.226  -0.040 -0.404  -0.046 -0.590  -0.018 -0.661  0.065 -0.494  0.149 -0.326  0.233 -0.158  0.357 -0.019  0.489 0.113  0.622 0.246  0.754 0.378  0.887 0.511  1.029 0.630  1.196 0.714  1.346 0.686  1.425 0.532  1.425 0.344  1.425 0.157  1.425 -0.031  1.396 -0.214  1.337 -0.391  1.278 -0.569
1b#apa#apa09#app0967/T  0.300 0.161  0.257 0.033  0.214 -0.096  0.174 -0.225  0.174 -0.360  0.174 -0.496  0.174 -0.632  0.174 -0.767  0.174 -0.903  0.174 -1.038  0.174 -1.174  0.116 -1.179  0.016 -1.088  -0.085 -0.997  -0.185 -0.906  -0.285 -0.815  -0.386 -0.723  -0.486 -0.632  -0.586 -0.541  -0.686 -0.450  -0.787 -0.359  -0.887 -0.267  -0.987 -0.176  -1.088 -0.085  -1.188 0.006  -1.219 0.128  -1.219 0.263  -1.120 0.338  -0.999 0.398  -0.868 0.429  -0.734 0.448  -0.600 0.467  -0.465 0.486  -0.331 0.505  -0.197 0.524  -0.063 0.545  0.068 0.578  0.200 0.611  0.331 0.644  0.464 0.668  0.600 0.668  0.735 0.668  0.871 0.668  1.006 0.668  1.142 0.668  1.277 0.668  1.413 0.668  1.549 0.668  1.684 0.668  1.820 0.668
1b#apa#apa09#app0967/H  -0.339 0.686  -0.430 0.867  -0.513 0.993  -0.553 0.794  -0.592 0.595  -0.632 0.396  -0.672 0.197  -0.675 -0.005  -0.675 -0.208  -0.675 -0.411  -0.675 -0.614  -0.675 -0.817  -0.686 -1.017  -0.776 -1.199  -0.843 -1.386  -0.843 -1.413  -0.843 -1.210  -0.843 -1.007  -0.843 -0.805  -0.843 -0.602  -0.760 -0.450  -0.579 -0.359  -0.385 -0.324  -0.182 -0.324  0.011 -0.263  0.204 -0.199  0.400 -0.155  0.602 -0.155  0.805 -0.155  0.821 0.014  0.801 0.215  0.781 0.417  0.761 0.619  0.741 0.821  0.721 1.023  0.700 1.225  0.680 1.426  0.670 1.424  0.670 1.221  0.670 1.018  0.664 0.816  0.631 0.616  0.597 0.416  0.564 0.216  0.530 0.016  0.502 -0.185  0.502 -0.388  0.502 -0.591  0.502 -0.793  0.502 -0.996
1b#apa#apa09#app0967/E  -0.417 -0.013  -0.417 -0.251  -0.417 -0.489  -0.417 -0.727  -0.417 -0.965  -0.430 -1.151  -0.536 -0.938  -0.583 -0.711  -0.583 -0.473  -0.583 -0.235  -0.583 0.003  -0.583 0.241  -0.583 0.479  -0.554 0.710  -0.448 0.923  -0.297 1.104  -0.128 1.272  0.083 1.371  0.308 1.447  0.541 1.481  0.779 1.481  1.017 1.481  1.077 1.304  1.018 1.090  0.850 0.922  0.682 0.754  0.513 0.585  0.345 0.417  0.177 0.249  0.008 0.081  -0.191 -0.013  -0.240 -0.177  -0.007 -0.130  0.227 -0.084  0.460 -0.037  0.696 -0.013  0.892 -0.025  0.690 -0.151  0.488 -0.277  0.286 -0.404  0.085 -0.530  -0.117 -0.656  -0.319 -0.782  -0.527 -0.898  -0.739 -1.004  -0.689 -1.176  -0.453 -1.202  -0.220 -1.248  0.014 -1.295  0.247 -1.342
1b#apa#apa09#app0967/J  0.037 0.537  0.196 0.529  0.311 0.414  0.408 0.283  0.498 0.148  0.589 0.012  0.658 -0.133  0.698 -0.291  0.737 -0.449  0.777 -0.607  0.793 -0.768  0.793 -0.931  0.711 -1.059  0.576 -1.128  0.413 -1.128  0.250 -1.128  0.098 -1.083  -0.048 -1.010  -0.164 -0.903  -0.254 -0.768  -0.344 -0.632  -0.449 -0.522  -0.597 -0.490  -0.703 -0.366  -0.809 -0.243  -0.915 -0.119  -1.021 0.005  -1.127 0.128  -1.233 0.252  -1.339 0.376  -1.445 0.500  -1.364 0.537  -1.201 0.537  -1.038 0.537  -0.875 0.537  -0.712 0.537  -0.549 0.537  -0.386 0.537  -0.223 0.537  -0.060 0.537  0.103 0.537  0.265 0.537  0.428 0.537  0.591 0.537  0.754 0.537  0.917 0.537  1.076 0.570  1.234 0.610  1.392 0.649  1.550 0.689
1b#apa#apa09#app0967/O  -0.058 0.600  -0.207 0.600  -0.356 0.600  -0.505 0.600  -0.654 0.600  -0.769 0.518  -0.874 0.412  -0.979 0.307  -1.085 0.201  -1.104 0.061  -1.104 -0.088  -1.104 -0.237  -0.999 -0.342  -0.893 -0.448  -0.769 -0.530  -0.646 -0.613  -0.522 -0.695  -0.398 -0.778  -0.274 -0.861  -0.130 -0.899  0.014 -0.935  0.159 -0.972  0.303 -1.008  0.448 -1.044  0.586 -1.058  0.692 -0.953  0.797 -0.847  0.902 -0.742  1.008 -0.637  1.113 -0.531  1.191 -0.418  1.155 -0.274  1.119 -0.129  1.083 0.015  1.047 0.160  1.010 0.304  0.947 0.433  0.841 0.538  0.720 0.615  0.575 0.651  0.431 0.687  0.286 0.724  0.142 0.760  -0.003 0.796  -0.150 0.810  -0.299 0.810  -0.448 0.810  -0.597 0.810  -0.746 0.810  -0.895 0.810
1b#apa#apa09#app0967/L  0.038 1.751  0.011 1.669  -0.016 1.588  -0.043 1.507  -0.070 1.425  -0.097 1.344  -0.124 1.262  -0.151 1.181  -0.172 1.098  -0.193 1.015  -0.214 0.931  -0.235 0.848  -0.255 0.765  -0.276 0.682  -0.297 0.599  -0.318 0.515  -0.339 0.432  -0.375 0.355  -0.413 0.278  -0.452 0.201  -0.490 0.125  -0.528 0.048  -0.505 -0.033  -0.478 -0.115  -0.451 -0.196  -0.424 -0.277  -0.397 -0.359  -0.370 -0.440  -0.342 -0.522  -0.305 -0.598  -0.266 -0.675  -0.228 -0.752  -0.190 -0.829  -0.151 -0.905  -0.065 -0.905  0.021 -0.905  0.106 -0.905  0.192 -0.905  0.278 -0.905  0.364 -0.905  0.449 -0.905  0.535 -0.905  0.621 -0.905  0.707 -0.905  0.793 -0.905  0.870 -0.869  0.946 -0.830  1.023 -0.792  1.100 -0.754  1.177 -0.715
1b#apa#apa09#app0967/L  0.111 1.244  0.111 1.336  0.111 1.428  0.111 1.520  0.111 1.582  0.111 1.490  0.101 1.400  0.060 1.318  0.019 1.236  -0.023 1.153  -0.064 1.071  -0.105 0.989  -0.146 0.907  -0.187 0.824  -0.228 0.742  -0.242 0.653  -0.242 0.561  -0.242 0.469  -0.242 0.377  -0.242 0.285  -0.242 0.193  -0.262 0.104  -0.285 0.015  -0.307 -0.075  -0.329 -0.164  -0.352 -0.253  -0.374 -0.342  -0.396 -0.432  -0.418 -0.521  -0.418 -0.613  -0.418 -0.705  -0.418 -0.797  -0.407 -0.884  -0.342 -0.949  -0.277 -1.015  -0.200 -1.050  -0.108 -1.050  -0.016 -1.050  0.076 -1.050  0.166 -1.036  0.256 -1.014  0.345 -0.991  0.434 -0.969  0.523 -0.947  0.613 -0.924  0.702 -0.902  0.791 -0.880  0.863 -0.827  0.928 -0.762  0.993 -0.697
