2#app#app25#app2596/2  -0.362 0.902  -0.362 1.073  -0.357 1.240  -0.187 1.240  -0.025 1.249  -0.013 1.408  0.158 1.408  0.329 1.408  0.481 1.390  0.502 1.240  0.650 1.217  0.650 1.046  0.650 0.875  0.650 0.704  0.628 0.543  0.507 0.422  0.481 0.261  0.384 0.131  0.313 -0.011  0.241 -0.110  0.144 -0.184  0.068 -0.278  -0.025 -0.357  -0.106 -0.447  -0.277 -0.447  -0.447 -0.447  -0.618 -0.447  -0.763 -0.511  -0.868 -0.638  -0.893 -0.785  -1.064 -0.785  -1.205 -0.755  -1.174 -0.616  -1.013 -0.592  -0.892 -0.471  -0.731 -0.447  -0.560 -0.447  -0.389 -0.447  -0.218 -0.447  -0.047 -0.447  0.124 -0.447  0.144 -0.598  0.297 -0.616  0.468 -0.616  0.481 -0.773  0.641 -0.785  0.650 -0.946  0.814 -0.953  0.985 -0.953  1.156 -0.953
2#app#app25#app2596/^  -1.165 -0.882  -1.301 -0.882  -1.437 -0.882  -1.552 -0.873  -1.456 -0.777  -1.360 -0.681  -1.264 -0.585  -1.168 -0.488  -1.033 -0.486  -0.897 -0.486  -0.769 -0.478  -0.769 -0.342  -0.769 -0.206  -0.749 -0.090  -0.613 -0.090  -0.477 -0.090  -0.350 -0.067  -0.254 0.029  -0.158 0.125  -0.062 0.222  0.039 0.306  0.175 0.306  0.311 0.306  0.419 0.334  0.419 0.470  0.419 0.606  0.419 0.742  0.419 0.878  0.419 1.014  0.471 1.098  0.607 1.098  0.743 1.098  0.815 1.034  0.815 0.898  0.815 0.762  0.815 0.626  0.815 0.490  0.815 0.354  0.815 0.218  0.815 0.082  0.815 -0.054  0.815 -0.190  0.815 -0.326  0.815 -0.462  0.703 -0.486  0.567 -0.486  0.431 -0.486  0.419 -0.610  0.419 -0.746  0.419 -0.882
2#app#app25#app2596/0  0.109 1.009  -0.042 1.009  -0.149 0.902  -0.283 0.859  -0.343 0.768  -0.435 0.708  -0.559 0.643  -0.666 0.536  -0.773 0.429  -0.880 0.322  -0.987 0.215  -1.094 0.108  -1.096 -0.042  -1.096 -0.193  -1.096 -0.345  -1.096 -0.496  -1.096 -0.647  -1.096 -0.799  -0.945 -0.799  -0.794 -0.800  -0.687 -0.907  -0.554 -0.949  -0.402 -0.949  -0.251 -0.949  -0.100 -0.949  -0.042 -0.856  0.052 -0.799  0.194 -0.756  0.329 -0.689  0.410 -0.588  0.471 -0.497  0.605 -0.454  0.712 -0.347  0.819 -0.240  0.925 -0.133  1.041 -0.045  1.164 -0.017  1.184 0.126  1.291 0.233  1.314 0.375  1.230 0.491  1.106 0.557  0.955 0.557  0.804 0.557  0.652 0.557  0.501 0.557  0.367 0.600  0.260 0.707  0.110 0.708  -0.042 0.708
2#app#app25#app2596/=  -1.170 0.464  -1.346 0.464  -1.379 0.608  -1.267 0.672  -1.090 0.672  -0.914 0.672  -0.738 0.672  -0.561 0.672  -0.385 0.672  -0.208 0.672  -0.032 0.672  0.145 0.672  0.291 0.643  0.291 0.466  0.465 0.464  0.642 0.464  0.818 0.464  0.995 0.464  1.171 0.464  1.348 0.464  1.524 0.464  1.387 0.464  1.224 0.408  1.066 0.329  0.908 0.250  0.751 0.171  0.593 0.092  0.435 0.014  0.277 -0.065  0.119 -0.144  -0.039 -0.223  -0.196 -0.302  -0.354 -0.381  -0.512 -0.460  -0.670 -0.539  -0.828 -0.618  -0.985 -0.697  -1.143 -0.776  -1.023 -0.789  -0.847 -0.789  -0.670 -0.789  -0.494 -0.789  -0.318 -0.789  -0.141 -0.789  0.035 -0.789  0.212 -0.789  0.388 -0.789  0.565 -0.789  0.741 -0.789  0.918 -0.789
2#app#app25#app2596/1  0.743 1.522  0.743 1.447  0.743 1.372  0.741 1.298  0.688 1.245  0.636 1.192  0.583 1.139  0.530 1.086  0.520 1.015  0.520 0.940  0.520 0.865  0.520 0.790  0.520 0.716  0.520 0.641  0.474 0.585  0.421 0.532  0.368 0.479  0.315 0.426  0.262 0.373  0.209 0.320  0.156 0.267  0.103 0.214  0.050 0.161  -0.003 0.108  -0.056 0.055  -0.109 0.002  -0.162 -0.051  -0.215 -0.103  -0.268 -0.156  -0.321 -0.209  -0.370 -0.264  -0.370 -0.339  -0.370 -0.414  -0.370 -0.488  -0.370 -0.563  -0.370 -0.638  -0.370 -0.713  -0.370 -0.788  -0.370 -0.863  -0.378 -0.935  -0.431 -0.988  -0.484 -1.041  -0.537 -1.094  -0.590 -1.146  -0.593 -1.220  -0.593 -1.295  -0.593 -1.370  -0.666 -1.372  -0.741 -1.372  -0.815 -1.372
2#app#app25#app2596/0  -0.164 0.737  -0.164 0.576  -0.254 0.452  -0.367 0.339  -0.481 0.225  -0.580 0.101  -0.652 -0.043  -0.724 -0.186  -0.751 -0.341  -0.817 -0.435  -0.946 -0.467  -0.946 -0.628  -0.946 -0.788  -0.946 -0.949  -0.858 -1.022  -0.697 -1.022  -0.555 -1.040  -0.555 -1.201  -0.410 -1.217  -0.249 -1.217  -0.164 -1.141  -0.123 -1.022  0.031 -1.015  0.031 -0.854  0.163 -0.826  0.226 -0.728  0.271 -0.586  0.385 -0.472  0.530 -0.435  0.617 -0.362  0.617 -0.201  0.617 -0.040  0.617 0.120  0.617 0.281  0.617 0.442  0.660 0.585  0.774 0.698  0.812 0.843  0.812 1.004  0.812 1.164  0.810 1.323  0.650 1.323  0.489 1.323  0.422 1.230  0.363 1.128  0.226 1.103  0.226 0.943  0.120 0.826  -0.004 0.737  -0.164 0.737
2#app#app25#app2596/^  -1.446 -1.223  -1.446 -1.096  -1.446 -0.969  -1.382 -0.868  -1.291 -0.778  -1.201 -0.688  -1.111 -0.598  -1.021 -0.507  -0.931 -0.417  -0.831 -0.351  -0.703 -0.351  -0.576 -0.351  -0.574 -0.225  -0.574 -0.098  -0.484 -0.061  -0.357 -0.061  -0.284 -0.006  -0.284 0.121  -0.270 0.243  -0.180 0.333  -0.090 0.423  -0.000 0.514  0.090 0.604  0.180 0.694  0.270 0.784  0.360 0.874  0.451 0.964  0.541 1.054  0.648 1.102  0.776 1.102  0.879 1.078  0.879 0.950  0.879 0.823  0.879 0.695  0.879 0.568  0.879 0.441  0.879 0.313  0.848 0.199  0.758 0.108  0.668 0.018  0.588 -0.076  0.588 -0.204  0.588 -0.331  0.588 -0.459  0.588 -0.586  0.517 -0.642  0.389 -0.642  0.298 -0.678  0.298 -0.805  0.298 -0.933
2#app#app25#app2596/0  -0.080 0.783  -0.186 0.677  -0.315 0.627  -0.392 0.555  -0.439 0.424  -0.545 0.318  -0.548 0.170  -0.687 0.159  -0.798 0.065  -0.904 -0.041  -1.010 -0.147  -1.017 -0.294  -1.112 -0.405  -1.173 -0.529  -1.173 -0.679  -1.137 -0.814  -1.031 -0.920  -0.887 -0.934  -0.737 -0.934  -0.587 -0.934  -0.437 -0.934  -0.287 -0.934  -0.137 -0.934  0.012 -0.934  0.137 -0.873  0.243 -0.767  0.349 -0.661  0.482 -0.622  0.607 -0.559  0.713 -0.454  0.818 -0.348  0.900 -0.224  0.967 -0.090  1.046 0.036  1.152 0.142  1.169 0.284  1.169 0.434  1.169 0.584  1.093 0.703  0.977 0.783  0.836 0.804  0.730 0.910  0.592 0.939  0.442 0.939  0.320 0.872  0.207 0.783  0.057 0.783  -0.093 0.783  -0.236 0.777  -0.236 0.627
2#app#app25#app2596/=  -1.470 0.709  -1.301 0.709  -1.132 0.709  -0.963 0.709  -0.794 0.709  -0.625 0.709  -0.456 0.709  -0.286 0.709  -0.117 0.709  0.052 0.709  0.221 0.709  0.390 0.709  0.559 0.709  0.728 0.709  0.897 0.709  1.066 0.709  1.217 0.666  1.337 0.546  1.276 0.459  1.123 0.388  0.969 0.317  0.816 0.246  0.662 0.175  0.509 0.105  0.355 0.034  0.202 -0.037  0.048 -0.108  -0.105 -0.179  -0.259 -0.250  -0.412 -0.321  -0.566 -0.391  -0.719 -0.462  -0.873 -0.533  -1.027 -0.604  -1.180 -0.675  -1.193 -0.715  -1.024 -0.715  -0.855 -0.715  -0.686 -0.715  -0.517 -0.715  -0.348 -0.715  -0.178 -0.715  -0.009 -0.715  0.160 -0.715  0.329 -0.715  0.498 -0.715  0.667 -0.715  0.836 -0.715  1.005 -0.715  1.174 -0.715
2#app#app25#app2596/x  -1.325 1.110  -1.126 1.099  -0.982 0.955  -0.839 0.811  -0.695 0.667  -0.542 0.545  -0.384 0.499  -0.341 0.314  -0.197 0.170  -0.054 0.026  0.090 -0.118  0.180 -0.284  0.272 -0.396  0.369 -0.502  0.490 -0.584  0.557 -0.721  0.709 -0.773  0.745 -0.940  0.745 -1.143  0.933 -1.140  0.929 -0.937  0.896 -0.736  0.862 -0.535  0.829 -0.335  0.795 -0.134  0.762 0.067  0.729 0.267  0.695 0.468  0.662 0.669  0.628 0.869  0.595 1.070  0.561 1.270  0.478 1.140  0.387 0.959  0.369 0.760  0.244 0.608  0.100 0.464  -0.044 0.320  -0.188 0.176  -0.200 -0.020  -0.398 -0.033  -0.542 -0.177  -0.572 -0.368  -0.747 -0.396  -0.763 -0.584  -0.949 -0.602  -0.972 -0.795  -1.116 -0.939  -1.310 -0.961  -1.325 -1.149
2#app#app25#app2596/^  -1.483 -1.084  -1.330 -1.084  -1.178 -1.084  -1.098 -1.011  -1.098 -0.859  -1.098 -0.707  -0.954 -0.700  -0.801 -0.700  -0.714 -0.635  -0.714 -0.482  -0.714 -0.330  -0.577 -0.316  -0.424 -0.316  -0.330 -0.258  -0.330 -0.105  -0.330 0.047  -0.330 0.199  -0.330 0.351  -0.279 0.453  -0.127 0.453  0.025 0.453  0.054 0.576  0.054 0.728  0.097 0.837  0.250 0.837  0.402 0.837  0.438 0.953  0.438 1.105  0.474 1.221  0.627 1.221  0.779 1.221  0.823 1.113  0.823 0.961  0.802 0.817  0.695 0.709  0.587 0.601  0.479 0.494  0.438 0.359  0.438 0.206  0.438 0.054  0.438 -0.098  0.438 -0.250  0.438 -0.403  0.438 -0.555  0.438 -0.707  0.438 -0.859  0.438 -1.011  0.518 -1.084  0.670 -1.084  0.823 -1.084
2#app#app25#app2596/0  0.296 0.747  0.144 0.747  -0.009 0.747  -0.161 0.747  -0.271 0.645  -0.401 0.592  -0.479 0.518  -0.529 0.387  -0.637 0.279  -0.745 0.172  -0.788 0.038  -0.850 -0.089  -0.943 -0.202  -0.956 -0.349  -1.063 -0.457  -1.098 -0.595  -1.098 -0.747  -1.098 -0.899  -1.003 -0.956  -0.851 -0.956  -0.699 -0.956  -0.547 -0.956  -0.394 -0.956  -0.242 -0.956  -0.090 -0.956  0.062 -0.956  0.214 -0.956  0.346 -0.906  0.453 -0.799  0.561 -0.691  0.694 -0.646  0.760 -0.560  0.819 -0.432  0.915 -0.320  0.915 -0.168  0.915 -0.016  0.915 0.137  0.915 0.289  0.915 0.441  0.915 0.593  0.807 0.700  0.760 0.833  0.760 0.985  0.680 1.057  0.528 1.057  0.376 1.057  0.223 1.057  0.092 1.008  -0.014 0.899  -0.014 0.747
