1d#tos#t2#t2014063/#  -0.629 0.690  -0.936 0.452  -0.545 0.434  -0.119 0.434  0.307 0.434  0.733 0.434  0.676 0.336  0.283 0.170  -0.109 0.004  -0.501 -0.162  -0.834 -0.367  -1.205 -0.549  -0.820 -0.590  -0.394 -0.590  0.032 -0.590  0.458 -0.590  0.884 -0.590  1.280 -0.575  1.023 -0.236  0.766 0.104  0.509 0.443  0.251 0.783  -0.006 1.123  -0.263 1.462  -0.501 1.311  -0.465 0.887  -0.421 0.467  -0.373 0.052  -0.373 -0.374  -0.309 -0.792  -0.309 -1.218  -0.309 -1.644  -0.285 -1.800  -0.212 -1.381  -0.138 -0.961  -0.065 -0.542  0.009 -0.122  0.083 0.297  0.156 0.717  0.230 1.137  0.304 1.556  0.093 1.650  0.115 1.251  0.139 0.831  0.219 0.422  0.267 0.000  0.267 -0.426  0.310 -0.845  0.331 -1.267  0.395 -1.678
1d#tos#t2#t2014063/$  0.618 0.988  0.550 0.988  0.300 0.988  0.050 0.988  -0.182 0.954  -0.366 0.805  -0.525 0.679  -0.525 0.428  -0.525 0.178  -0.342 0.076  -0.114 0.016  0.103 -0.018  0.343 -0.027  0.480 -0.140  0.614 -0.292  0.618 -0.539  0.618 -0.789  0.548 -1.026  0.375 -1.128  0.184 -1.206  -0.066 -1.206  -0.309 -1.160  -0.515 -1.089  -0.553 -0.851  -0.499 -0.607  -0.445 -0.362  -0.392 -0.118  -0.338 0.126  -0.284 0.371  -0.230 0.615  -0.176 0.859  -0.122 1.104  -0.069 1.348  -0.015 1.592  -0.022 1.710  -0.022 1.460  -0.006 1.211  0.011 0.961  0.028 0.711  0.045 0.462  0.063 0.212  0.080 -0.038  0.097 -0.287  0.114 -0.537  0.131 -0.786  0.149 -1.036  0.160 -1.286  0.160 -1.536  0.136 -1.782  0.069 -1.983
1d#tos#t2#t2014063/%  -0.396 0.541  -0.607 0.440  -0.839 0.389  -1.037 0.457  -1.155 0.648  -1.099 0.844  -0.978 1.021  -0.736 1.047  -0.533 1.097  -0.447 0.931  -0.295 0.788  -0.371 0.566  -0.500 0.389  -0.472 0.479  -0.266 0.625  -0.059 0.771  0.147 0.917  0.353 1.063  0.560 1.209  0.583 1.097  0.363 1.022  0.257 0.833  0.178 0.593  0.110 0.351  0.019 0.131  -0.146 -0.061  -0.194 -0.296  -0.239 -0.544  -0.363 -0.759  -0.447 -0.993  -0.653 -1.086  -0.699 -1.328  -0.468 -1.232  -0.235 -1.133  -0.003 -1.035  0.230 -0.936  0.463 -0.837  0.696 -0.738  0.928 -0.640  0.818 -0.679  0.732 -0.875  0.479 -0.875  0.413 -0.688  0.490 -0.482  0.598 -0.303  0.830 -0.268  1.032 -0.319  1.071 -0.533  1.020 -0.735  0.868 -0.875
1d#tos#t2#t2014063/+  -0.989 0.062  -1.176 0.062  -1.275 -0.081  -1.204 -0.153  -1.017 -0.153  -0.830 -0.153  -0.643 -0.153  -0.456 -0.153  -0.323 -0.283  -0.171 -0.367  0.016 -0.367  0.204 -0.367  0.391 -0.367  0.578 -0.367  0.765 -0.367  0.942 -0.358  1.032 -0.260  1.022 -0.312  0.938 -0.145  0.855 0.023  0.771 0.190  0.687 0.357  0.604 0.525  0.520 0.692  0.436 0.859  0.353 1.027  0.269 1.194  0.185 1.361  0.102 1.528  -0.034 1.476  -0.183 1.363  -0.333 1.251  -0.345 1.070  -0.345 0.883  -0.262 0.730  -0.238 0.553  -0.238 0.366  -0.238 0.179  -0.189 0.013  -0.056 -0.120  -0.023 -0.293  -0.023 -0.480  -0.023 -0.667  -0.023 -0.854  -0.023 -1.041  -0.023 -1.228  -0.023 -1.415  -0.023 -1.602  -0.023 -1.790  0.084 -1.869
1d#tos#t2#t2014063/  0.674 1.491  0.609 1.478  0.576 1.412  0.543 1.347  0.511 1.281  0.499 1.211  0.499 1.138  0.481 1.083  0.440 1.050  0.440 0.977  0.440 0.903  0.440 0.830  0.408 0.780  0.339 0.757  0.269 0.734  0.261 0.665  0.228 0.599  0.199 0.532  0.175 0.463  0.152 0.393  0.129 0.324  0.106 0.254  0.083 0.185  0.060 0.115  0.036 0.046  0.006 -0.020  -0.027 -0.086  -0.060 -0.151  -0.094 -0.216  -0.135 -0.277  -0.176 -0.338  -0.216 -0.399  -0.257 -0.460  -0.298 -0.521  -0.325 -0.587  -0.340 -0.658  -0.354 -0.730  -0.369 -0.802  -0.391 -0.871  -0.423 -0.937  -0.443 -1.007  -0.455 -1.079  -0.467 -1.151  -0.479 -1.223  -0.491 -1.295  -0.494 -1.368  -0.508 -1.428  -0.581 -1.428  -0.610 -1.471  -0.610 -1.545
1d#tos#t2#t2014063/;  0.283 1.584  0.208 1.584  0.133 1.584  0.091 1.551  0.091 1.477  0.091 1.402  0.091 1.327  0.091 1.252  0.091 1.177  0.091 1.102  0.091 1.027  0.091 0.952  0.091 0.878  0.091 0.803  0.091 0.728  0.091 0.653  0.091 0.578  0.091 0.503  0.091 0.428  0.091 0.353  0.091 0.278  0.091 0.204  0.091 0.129  0.091 0.054  0.091 -0.021  0.091 -0.096  0.091 -0.171  0.091 -0.246  0.091 -0.321  0.091 -0.395  0.091 -0.470  0.091 -0.545  0.091 -0.620  0.091 -0.695  0.091 -0.770  0.091 -0.845  0.084 -0.917  0.031 -0.970  -0.022 -1.023  -0.074 -1.076  -0.101 -1.140  -0.117 -1.198  -0.192 -1.198  -0.267 -1.198  -0.328 -1.233  -0.381 -1.286  -0.452 -1.294  -0.527 -1.294  -0.602 -1.294  -0.677 -1.294
1d#tos#t2#t2014063/>  -0.718 1.225  -0.832 1.197  -0.946 1.168  -0.994 1.121  -0.896 1.073  -0.783 1.062  -0.697 0.983  -0.599 0.918  -0.501 0.852  -0.385 0.845  -0.267 0.845  -0.155 0.809  -0.044 0.772  -0.006 0.679  0.099 0.626  0.215 0.617  0.299 0.562  0.356 0.464  0.474 0.464  0.592 0.464  0.652 0.406  0.751 0.388  0.804 0.323  0.804 0.205  0.804 0.233  0.804 0.122  0.800 0.007  0.689 -0.031  0.577 -0.068  0.492 -0.108  0.468 -0.223  0.445 -0.339  0.418 -0.449  0.300 -0.449  0.195 -0.462  0.195 -0.579  0.195 -0.697  0.138 -0.776  0.028 -0.820  -0.081 -0.863  -0.191 -0.905  -0.261 -0.952  -0.261 -1.070  -0.261 -1.188  -0.261 -1.306  -0.323 -1.362  -0.441 -1.362  -0.558 -1.362  -0.566 -1.472  -0.566 -1.590
1d#tos#t2#t2014063/?  -0.492 0.742  -0.609 0.742  -0.725 0.742  -0.739 0.640  -0.739 0.590  -0.739 0.707  -0.720 0.804  -0.616 0.816  -0.549 0.866  -0.433 0.866  -0.378 0.927  -0.324 0.989  -0.208 0.989  -0.091 0.989  -0.037 0.927  0.080 0.927  0.196 0.927  0.312 0.927  0.371 0.870  0.407 0.769  0.512 0.742  0.556 0.670  0.556 0.554  0.556 0.438  0.556 0.322  0.513 0.249  0.458 0.187  0.433 0.096  0.411 0.002  0.371 -0.075  0.302 -0.124  0.192 -0.161  0.125 -0.228  0.098 -0.334  0.063 -0.435  0.063 -0.552  0.063 -0.668  0.063 -0.784  0.024 -0.862  -0.053 -0.892  -0.025 -1.005  0.004 -1.118  0.032 -1.231  0.060 -1.344  0.088 -1.456  0.116 -1.569  0.066 -1.660  -0.006 -1.748  -0.043 -1.859  -0.122 -1.911
1d#tos#t2#t2014063/@  0.340 -1.384  0.236 -1.457  0.141 -1.539  -0.035 -1.539  -0.109 -1.436  -0.233 -1.382  -0.347 -1.280  -0.468 -1.213  -0.541 -1.081  -0.553 -0.912  -0.644 -0.792  -0.644 -0.615  -0.644 -0.438  -0.644 -0.261  -0.644 -0.084  -0.644 0.093  -0.644 0.269  -0.644 0.446  -0.644 0.623  -0.541 0.727  -0.489 0.852  -0.489 1.029  -0.379 1.160  -0.221 1.205  -0.096 1.257  -0.023 1.361  0.154 1.361  0.279 1.309  0.352 1.205  0.495 1.141  0.495 0.964  0.599 0.851  0.650 0.687  0.650 0.510  0.702 0.385  0.702 0.208  0.702 0.031  0.702 -0.146  0.676 -0.296  0.599 -0.396  0.499 -0.503  0.374 -0.555  0.249 -0.503  0.134 -0.403  0.081 -0.248  0.029 -0.123  0.029 0.054  0.081 0.179  0.133 0.304  0.236 0.377
1d#tos#t2#t2014063/_  -1.104 0.134  -1.178 0.134  -1.251 0.134  -1.325 0.134  -1.399 0.134  -1.405 0.066  -1.405 -0.008  -1.341 -0.017  -1.267 -0.017  -1.193 -0.017  -1.119 -0.017  -1.045 -0.017  -0.971 -0.017  -0.897 -0.017  -0.823 -0.017  -0.750 -0.017  -0.676 -0.017  -0.602 -0.017  -0.528 -0.017  -0.454 -0.017  -0.380 -0.017  -0.306 -0.017  -0.232 -0.017  -0.159 -0.017  -0.085 -0.017  -0.011 -0.017  0.063 -0.017  0.137 -0.017  0.211 -0.017  0.285 -0.017  0.359 -0.017  0.433 -0.017  0.506 -0.017  0.580 -0.017  0.654 -0.017  0.728 -0.017  0.802 -0.017  0.876 -0.017  0.950 -0.017  1.024 -0.017  1.097 -0.017  1.171 -0.017  1.245 -0.017  1.319 -0.017  1.393 -0.017  1.467 -0.017  1.541 -0.017  1.615 -0.017  1.689 -0.017  1.762 -0.017
1d#tos#t2#t2014063/`  0.040 1.199  -0.052 1.199  -0.143 1.199  -0.235 1.199  -0.326 1.199  -0.418 1.199  -0.476 1.166  -0.476 1.074  -0.476 0.983  -0.526 0.942  -0.618 0.942  -0.709 0.942  -0.733 0.874  -0.733 0.783  -0.733 0.691  -0.673 0.624  -0.609 0.560  -0.544 0.495  -0.479 0.430  -0.415 0.366  -0.350 0.301  -0.285 0.236  -0.220 0.171  -0.156 0.107  -0.091 0.042  -0.026 -0.023  0.038 -0.087  0.129 -0.089  0.221 -0.089  0.297 -0.104  0.297 -0.195  0.297 -0.287  0.297 -0.378  0.297 -0.470  0.297 -0.561  0.297 -0.653  0.297 -0.744  0.297 -0.836  0.297 -0.927  0.297 -1.019  0.297 -1.110  0.376 -1.145  0.463 -1.174  0.549 -1.203  0.636 -1.232  0.723 -1.261  0.810 -1.290  0.897 -1.319  0.983 -1.348  1.070 -1.377
