2#apb#apb40#app4068/S  -1.080 -0.810  -1.201 -0.906  -1.276 -1.011  -1.171 -0.899  -1.069 -0.783  -0.972 -0.664  -0.874 -0.545  -0.776 -0.426  -0.671 -0.313  -0.562 -0.205  -0.453 -0.096  -0.344 0.013  -0.235 0.122  -0.129 0.234  -0.022 0.345  0.084 0.456  0.191 0.567  0.293 0.683  0.387 0.804  0.481 0.926  0.576 1.048  0.653 1.181  0.728 1.316  0.796 1.454  0.809 1.428  0.785 1.275  0.758 1.124  0.729 0.972  0.700 0.821  0.671 0.670  0.644 0.518  0.617 0.366  0.590 0.215  0.562 0.063  0.540 -0.089  0.518 -0.242  0.497 -0.394  0.495 -0.548  0.493 -0.702  0.459 -0.850  0.322 -0.906  0.170 -0.883  0.018 -0.854  -0.132 -0.822  -0.278 -0.774  -0.421 -0.715  -0.556 -0.644  -0.687 -0.562  -0.814 -0.476  -0.841 -0.484
2#apb#apb40#app4068/w  -0.973 -0.182  -0.888 -0.014  -0.768 0.132  -0.655 0.284  -0.550 0.440  -0.462 0.608  -0.377 0.777  -0.297 0.949  -0.342 0.965  -0.471 0.827  -0.587 0.678  -0.690 0.519  -0.792 0.360  -0.893 0.199  -0.979 0.031  -1.066 -0.137  -1.149 -0.306  -1.193 -0.490  -1.200 -0.670  -1.105 -0.828  -0.916 -0.841  -0.735 -0.793  -0.557 -0.729  -0.396 -0.631  -0.234 -0.533  -0.100 -0.400  0.026 -0.260  0.134 -0.105  0.226 0.060  0.302 0.233  0.298 0.063  0.289 -0.126  0.322 -0.310  0.382 -0.487  0.502 -0.634  0.650 -0.731  0.837 -0.762  1.022 -0.731  1.180 -0.637  1.279 -0.479  1.276 -0.294  1.242 -0.109  1.183 0.071  1.114 0.247  1.035 0.419  0.966 0.594  0.922 0.778  0.910 0.964  1.051 1.042  1.230 0.982
2#apb#apb40#app4068/a  0.829 0.807  0.791 0.968  0.802 1.133  0.755 1.258  0.589 1.224  0.435 1.147  0.281 1.071  0.134 0.984  0.002 0.873  -0.129 0.763  -0.261 0.652  -0.392 0.541  -0.517 0.422  -0.639 0.301  -0.760 0.179  -0.882 0.058  -1.003 -0.064  -1.098 -0.207  -1.189 -0.353  -1.280 -0.499  -1.310 -0.665  -1.299 -0.831  -1.206 -0.966  -1.034 -0.979  -0.871 -0.939  -0.711 -0.876  -0.558 -0.800  -0.417 -0.701  -0.277 -0.601  -0.137 -0.501  -0.001 -0.396  0.135 -0.291  0.269 -0.184  0.363 -0.039  0.456 0.105  0.543 0.253  0.620 0.407  0.692 0.563  0.665 0.532  0.604 0.371  0.552 0.207  0.504 0.042  0.456 -0.123  0.495 -0.288  0.541 -0.454  0.643 -0.590  0.753 -0.723  0.875 -0.841  1.021 -0.931  1.168 -1.021
2#apb#apb40#app4068/r  -1.513 -0.844  -1.621 -0.910  -1.540 -0.826  -1.444 -0.735  -1.338 -0.653  -1.233 -0.572  -1.132 -0.485  -1.034 -0.395  -0.935 -0.305  -0.837 -0.215  -0.739 -0.124  -0.640 -0.034  -0.542 0.056  -0.444 0.146  -0.345 0.236  -0.255 0.334  -0.166 0.433  -0.078 0.533  0.011 0.633  0.100 0.732  0.193 0.827  0.288 0.922  0.382 1.016  0.476 1.110  0.595 1.169  0.701 1.178  0.766 1.062  0.754 0.932  0.731 0.801  0.708 0.670  0.657 0.548  0.596 0.429  0.535 0.311  0.473 0.192  0.411 0.075  0.347 -0.043  0.284 -0.160  0.220 -0.277  0.174 -0.402  0.130 -0.528  0.132 -0.653  0.185 -0.773  0.311 -0.815  0.440 -0.800  0.569 -0.766  0.697 -0.729  0.815 -0.667  0.933 -0.606  1.052 -0.545  1.170 -0.483
2#apb#apb40#app4068/z  -0.783 0.648  -0.813 0.790  -0.772 0.933  -0.659 1.046  -0.512 1.106  -0.361 1.159  -0.211 1.214  -0.060 1.269  0.099 1.272  0.244 1.218  0.324 1.104  0.315 0.944  0.259 0.798  0.181 0.659  0.096 0.524  -0.017 0.411  -0.130 0.297  -0.243 0.184  -0.356 0.071  -0.473 -0.038  -0.569 -0.126  -0.444 -0.026  -0.311 0.063  -0.176 0.149  -0.041 0.236  0.104 0.302  0.250 0.369  0.403 0.413  0.561 0.436  0.704 0.401  0.799 0.274  0.799 0.114  0.799 -0.046  0.746 -0.194  0.679 -0.340  0.612 -0.485  0.539 -0.627  0.465 -0.769  0.392 -0.912  0.304 -1.045  0.203 -1.169  0.103 -1.293  -0.010 -1.407  -0.123 -1.520  -0.262 -1.599  -0.411 -1.640  -0.518 -1.526  -0.565 -1.373  -0.577 -1.214  -0.585 -1.054
2#apb#apb40#app4068/e  -1.286 -0.441  -1.298 -0.491  -1.130 -0.472  -0.958 -0.442  -0.789 -0.399  -0.621 -0.356  -0.452 -0.312  -0.285 -0.264  -0.121 -0.205  0.043 -0.147  0.207 -0.088  0.362 -0.008  0.516 0.073  0.657 0.172  0.785 0.290  0.857 0.441  0.868 0.606  0.782 0.758  0.686 0.899  0.538 0.990  0.389 1.081  0.221 1.087  0.048 1.069  -0.125 1.050  -0.283 0.989  -0.431 0.896  -0.578 0.803  -0.725 0.711  -0.829 0.571  -0.930 0.430  -1.029 0.287  -1.011 0.114  -0.992 -0.059  -0.879 -0.184  -0.750 -0.301  -0.620 -0.417  -0.460 -0.475  -0.291 -0.519  -0.122 -0.562  0.046 -0.605  0.218 -0.629  0.392 -0.644  0.565 -0.659  0.739 -0.674  0.912 -0.690  1.086 -0.690  1.259 -0.672  1.432 -0.654  1.606 -0.637  1.779 -0.619
2#apb#apb40#app4068/T  -0.904 -0.063  -0.972 0.038  -0.851 0.111  -0.729 0.183  -0.607 0.255  -0.485 0.326  -0.359 0.392  -0.233 0.456  -0.107 0.521  0.018 0.586  0.142 0.655  0.265 0.724  0.389 0.793  0.511 0.865  0.629 0.943  0.746 1.022  0.857 1.110  0.928 1.220  0.847 1.314  0.720 1.280  0.622 1.177  0.524 1.075  0.441 0.961  0.364 0.842  0.288 0.723  0.222 0.599  0.177 0.465  0.131 0.331  0.085 0.197  0.048 0.061  0.030 -0.080  0.013 -0.220  -0.005 -0.361  -0.017 -0.501  -0.017 -0.643  -0.017 -0.784  0.000 -0.923  0.043 -1.058  0.120 -1.175  0.131 -1.158  0.007 -1.091  -0.124 -1.037  -0.259 -0.994  -0.397 -0.982  -0.523 -1.037  -0.589 -1.161  -0.587 -1.302  -0.519 -1.426  -0.465 -1.555  -0.531 -1.673
2#apb#apb40#app4068/h  0.779 1.881  0.734 1.960  0.662 1.845  0.601 1.722  0.542 1.598  0.491 1.471  0.440 1.344  0.389 1.216  0.338 1.089  0.282 0.964  0.219 0.842  0.155 0.721  0.091 0.599  0.028 0.477  -0.036 0.356  -0.100 0.234  -0.165 0.114  -0.232 -0.006  -0.298 -0.126  -0.365 -0.246  -0.431 -0.366  -0.498 -0.487  -0.565 -0.606  -0.632 -0.726  -0.700 -0.845  -0.753 -0.971  -0.798 -1.101  -0.756 -1.116  -0.662 -1.017  -0.569 -0.915  -0.477 -0.814  -0.392 -0.706  -0.311 -0.595  -0.231 -0.484  -0.150 -0.373  -0.076 -0.258  -0.001 -0.142  0.073 -0.027  0.170 0.070  0.262 0.049  0.276 -0.088  0.273 -0.224  0.251 -0.359  0.228 -0.494  0.207 -0.630  0.187 -0.766  0.216 -0.898  0.315 -0.988  0.432 -1.059  0.556 -1.117
2#apb#apb40#app4068/o  0.241 0.538  0.097 0.433  -0.045 0.327  -0.157 0.188  -0.269 0.050  -0.381 -0.088  -0.492 -0.227  -0.596 -0.371  -0.701 -0.515  -0.805 -0.659  -0.898 -0.809  -0.962 -0.975  -0.975 -1.135  -0.866 -1.270  -0.688 -1.279  -0.511 -1.288  -0.339 -1.268  -0.177 -1.194  -0.015 -1.120  0.147 -1.046  0.295 -0.950  0.433 -0.838  0.571 -0.726  0.709 -0.614  0.818 -0.476  0.915 -0.327  1.011 -0.177  1.030 -0.005  1.030 0.173  1.022 0.349  0.939 0.507  0.857 0.664  0.774 0.822  0.648 0.942  0.504 1.046  0.360 1.150  0.198 1.199  0.020 1.199  -0.158 1.199  -0.311 1.112  -0.464 1.021  -0.586 0.900  -0.671 0.744  -0.682 0.575  -0.559 0.460  -0.411 0.362  -0.242 0.339  -0.064 0.346  0.114 0.353  0.292 0.360
2#apb#apb40#app4068/r  -1.286 -1.204  -1.392 -1.258  -1.411 -1.142  -1.369 -1.035  -1.303 -0.936  -1.237 -0.836  -1.167 -0.740  -1.089 -0.649  -1.012 -0.558  -0.935 -0.467  -0.858 -0.376  -0.777 -0.289  -0.685 -0.212  -0.593 -0.136  -0.502 -0.059  -0.410 0.017  -0.318 0.093  -0.229 0.173  -0.143 0.255  -0.057 0.338  0.029 0.421  0.115 0.504  0.201 0.587  0.288 0.668  0.376 0.749  0.465 0.829  0.553 0.909  0.643 0.987  0.742 1.053  0.842 1.120  0.874 1.016  0.867 0.897  0.859 0.778  0.809 0.669  0.759 0.561  0.710 0.452  0.659 0.344  0.602 0.239  0.545 0.134  0.488 0.030  0.432 -0.076  0.378 -0.183  0.325 -0.289  0.295 -0.400  0.363 -0.488  0.474 -0.521  0.592 -0.501  0.711 -0.489  0.830 -0.489  0.949 -0.489
2#apb#apb40#app4068/n  -0.068 1.046  0.074 1.167  0.163 1.325  0.302 1.247  0.313 1.062  0.304 0.877  0.215 0.713  0.126 0.548  0.037 0.384  -0.060 0.224  -0.169 0.072  -0.278 -0.079  -0.388 -0.231  -0.500 -0.381  -0.622 -0.523  -0.744 -0.664  -0.866 -0.806  -0.991 -0.945  -1.124 -1.077  -1.256 -1.210  -1.296 -1.202  -1.173 -1.061  -1.050 -0.921  -0.926 -0.780  -0.792 -0.650  -0.657 -0.520  -0.522 -0.391  -0.386 -0.262  -0.257 -0.127  -0.131 0.011  -0.005 0.149  0.122 0.287  0.244 0.428  0.356 0.578  0.469 0.728  0.581 0.877  0.732 0.986  0.885 0.998  0.944 0.832  0.973 0.647  0.955 0.461  0.936 0.275  0.907 0.090  0.861 -0.091  0.817 -0.273  0.774 -0.455  0.716 -0.630  0.620 -0.791  0.497 -0.931  0.338 -1.014
