2#apb#apb17#app1746/.  -0.559 -0.864  -0.559 -0.776  -0.559 -0.688  -0.559 -0.599  -0.570 -0.521  -0.658 -0.521  -0.746 -0.521  -0.835 -0.521  -0.902 -0.542  -0.902 -0.631  -0.902 -0.719  -0.902 -0.807  -0.871 -0.864  -0.782 -0.864  -0.694 -0.864  -0.605 -0.864  -0.529 -0.835  -0.467 -0.772  -0.404 -0.710  -0.342 -0.647  -0.279 -0.585  -0.217 -0.522  -0.168 -0.449  -0.119 -0.375  -0.069 -0.302  -0.020 -0.228  0.029 -0.154  0.078 -0.081  0.127 -0.007  0.176 0.066  0.225 0.140  0.274 0.213  0.323 0.287  0.372 0.360  0.421 0.434  0.470 0.508  0.519 0.581  0.568 0.655  0.617 0.728  0.666 0.802  0.715 0.875  0.764 0.949  0.813 1.022  0.862 1.096  0.911 1.169  0.960 1.243  1.009 1.317  1.058 1.390  1.107 1.464  1.156 1.537
2#apb#apb17#app1746/,  -0.113 1.552  -0.133 1.572  -0.082 1.521  -0.030 1.469  0.021 1.418  0.047 1.351  0.068 1.282  0.089 1.212  0.111 1.143  0.132 1.074  0.153 1.004  0.173 0.934  0.187 0.863  0.200 0.792  0.213 0.720  0.227 0.649  0.240 0.578  0.253 0.506  0.267 0.435  0.274 0.363  0.265 0.291  0.255 0.219  0.246 0.147  0.236 0.075  0.226 0.003  0.217 -0.069  0.207 -0.141  0.185 -0.209  0.160 -0.278  0.136 -0.346  0.112 -0.415  0.087 -0.483  0.063 -0.551  0.038 -0.620  0.008 -0.685  -0.026 -0.749  -0.061 -0.813  -0.095 -0.877  -0.130 -0.941  -0.164 -1.005  -0.199 -1.069  -0.239 -1.128  -0.291 -1.180  -0.342 -1.231  -0.393 -1.282  -0.445 -1.334  -0.496 -1.385  -0.557 -1.424  -0.619 -1.462  -0.681 -1.499
2#apb#apb17#app1746/;  0.572 1.249  0.481 1.218  0.436 1.128  0.403 1.034  0.375 0.938  0.344 0.843  0.402 0.803  0.494 0.831  0.549 0.914  0.598 1.001  0.580 1.087  0.551 1.163  0.485 1.112  0.445 1.020  0.404 0.929  0.364 0.838  0.324 0.746  0.283 0.655  0.243 0.563  0.203 0.472  0.162 0.380  0.122 0.289  0.081 0.197  0.041 0.106  0.001 0.014  -0.040 -0.077  -0.080 -0.168  -0.120 -0.260  -0.110 -0.243  -0.077 -0.153  -0.091 -0.085  -0.090 -0.154  -0.119 -0.250  -0.148 -0.345  -0.178 -0.441  -0.212 -0.535  -0.247 -0.628  -0.283 -0.722  -0.323 -0.813  -0.377 -0.897  -0.431 -0.981  -0.485 -1.065  -0.534 -1.152  -0.582 -1.240  -0.629 -1.328  -0.673 -1.418  -0.715 -1.509  -0.756 -1.600  -0.800 -1.689  -0.845 -1.778
2#apb#apb17#app1746/:  0.014 1.229  -0.057 1.277  -0.128 1.324  -0.192 1.378  -0.233 1.334  -0.167 1.284  -0.095 1.237  -0.014 1.212  0.069 1.191  0.150 1.165  0.229 1.134  0.309 1.102  0.354 1.052  0.336 0.969  0.318 0.886  0.299 0.802  0.281 0.719  0.263 0.635  0.244 0.552  0.226 0.468  0.207 0.385  0.189 0.301  0.171 0.218  0.152 0.134  0.134 0.051  0.116 -0.032  0.097 -0.116  0.079 -0.199  0.061 -0.283  0.042 -0.366  0.024 -0.450  0.006 -0.533  -0.013 -0.617  -0.031 -0.700  -0.050 -0.784  -0.068 -0.867  -0.086 -0.950  -0.105 -1.034  -0.123 -1.117  -0.141 -1.201  -0.160 -1.284  -0.178 -1.368  -0.243 -1.393  -0.329 -1.393  -0.381 -1.360  -0.422 -1.326  -0.384 -1.249  -0.325 -1.188  -0.260 -1.134  -0.184 -1.096
2#apb#apb17#app1746/$  0.674 0.215  0.459 0.246  0.242 0.246  0.025 0.246  -0.172 0.167  -0.100 0.012  0.091 -0.089  0.283 -0.190  0.467 -0.304  0.577 -0.478  0.463 -0.647  0.276 -0.757  0.065 -0.806  -0.148 -0.844  -0.364 -0.863  -0.578 -0.899  -0.776 -0.865  -0.628 -0.714  -0.534 -0.518  -0.441 -0.323  -0.348 -0.127  -0.254 0.069  -0.161 0.265  -0.068 0.461  0.026 0.656  0.119 0.852  0.212 1.048  0.305 1.244  0.399 1.440  0.492 1.635  0.585 1.831  0.627 1.682  0.620 1.465  0.573 1.254  0.521 1.043  0.449 0.839  0.377 0.634  0.297 0.433  0.202 0.238  0.107 0.043  0.006 -0.149  -0.102 -0.337  -0.211 -0.525  -0.330 -0.706  -0.453 -0.884  -0.572 -1.065  -0.679 -1.254  -0.784 -1.444  -0.885 -1.636  -0.950 -1.842
2#apb#apb17#app1746/#  -0.012 0.598  -0.160 0.575  -0.354 0.210  -0.552 -0.154  -0.733 -0.526  -0.933 -0.888  -1.040 -1.124  -0.774 -0.807  -0.508 -0.489  -0.242 -0.171  0.023 0.146  0.289 0.464  0.555 0.781  0.820 1.099  1.086 1.416  1.019 1.365  0.834 0.994  0.655 0.621  0.499 0.238  0.359 -0.152  0.253 -0.552  0.159 -0.955  0.077 -1.361  -0.123 -1.161  -0.352 -0.816  -0.581 -0.471  -0.809 -0.126  -1.038 0.220  -0.774 0.375  -0.362 0.424  0.049 0.467  0.461 0.514  0.874 0.524  1.288 0.518  1.695 0.468  1.586 0.359  1.180 0.274  0.775 0.189  0.370 0.103  -0.035 0.018  -0.440 -0.067  -0.846 -0.152  -1.251 -0.237  -1.628 -0.382  -1.259 -0.458  -0.845 -0.458  -0.432 -0.429  -0.020 -0.391  0.392 -0.343  0.802 -0.291
2#apb#apb17#app1746/&  0.609 0.508  0.470 0.658  0.236 0.616  0.021 0.508  -0.192 0.396  -0.399 0.273  -0.439 0.083  -0.213 0.012  0.027 0.025  0.267 0.052  0.385 -0.006  0.157 -0.082  -0.076 -0.146  -0.308 -0.210  -0.539 -0.277  -0.766 -0.355  -0.862 -0.522  -0.674 -0.666  -0.434 -0.679  -0.193 -0.682  0.047 -0.669  0.215 -0.568  0.253 -0.330  0.290 -0.092  0.328 0.146  0.365 0.384  0.403 0.622  0.440 0.860  0.477 1.098  0.515 1.336  0.552 1.574  0.572 1.808  0.554 1.623  0.506 1.388  0.443 1.155  0.380 0.923  0.317 0.690  0.246 0.460  0.170 0.232  0.094 0.003  0.008 -0.222  -0.084 -0.444  -0.176 -0.667  -0.271 -0.888  -0.368 -1.109  -0.466 -1.329  -0.569 -1.546  -0.677 -1.762  -0.777 -1.981  -0.868 -2.204
2#apb#apb17#app1746/!  0.592 1.514  0.539 1.567  0.523 1.532  0.521 1.458  0.486 1.392  0.451 1.326  0.417 1.260  0.382 1.194  0.348 1.128  0.326 1.057  0.305 0.985  0.283 0.914  0.261 0.843  0.239 0.771  0.215 0.701  0.188 0.631  0.161 0.562  0.134 0.492  0.107 0.423  0.083 0.352  0.060 0.281  0.036 0.211  0.018 0.139  0.012 0.064  0.005 -0.010  0.016 -0.083  0.032 -0.156  0.021 -0.226  -0.007 -0.296  -0.035 -0.365  -0.063 -0.434  -0.090 -0.503  -0.118 -0.573  -0.146 -0.642  -0.173 -0.711  -0.201 -0.780  -0.229 -0.850  -0.256 -0.919  -0.284 -0.988  -0.312 -1.057  -0.340 -1.126  -0.367 -1.196  -0.422 -1.234  -0.494 -1.254  -0.566 -1.273  -0.641 -1.274  -0.608 -1.236  -0.544 -1.205  -0.470 -1.205  -0.395 -1.205
2#apb#apb17#app1746/?  -0.600 0.690  -0.555 0.773  -0.477 0.842  -0.383 0.883  -0.285 0.919  -0.188 0.955  -0.090 0.988  0.011 1.012  0.112 1.035  0.213 1.058  0.315 1.075  0.419 1.084  0.522 1.094  0.623 1.085  0.719 1.046  0.740 0.952  0.730 0.854  0.672 0.768  0.615 0.681  0.554 0.597  0.485 0.520  0.416 0.443  0.347 0.365  0.273 0.292  0.198 0.220  0.123 0.149  0.048 0.078  -0.019 -0.002  -0.085 -0.082  -0.151 -0.162  -0.223 -0.236  -0.248 -0.330  -0.180 -0.378  -0.106 -0.417  -0.126 -0.519  -0.145 -0.621  -0.164 -0.722  -0.183 -0.824  -0.203 -0.926  -0.222 -1.028  -0.241 -1.130  -0.261 -1.232  -0.280 -1.334  -0.299 -1.436  -0.368 -1.464  -0.445 -1.526  -0.506 -1.590  -0.423 -1.527  -0.341 -1.465  -0.336 -1.506
2#apb#apb17#app1746/  1.096 1.275  1.066 1.236  1.030 1.176  0.987 1.121  0.944 1.066  0.901 1.011  0.858 0.957  0.815 0.901  0.774 0.846  0.732 0.790  0.690 0.734  0.648 0.678  0.606 0.622  0.564 0.567  0.519 0.514  0.473 0.461  0.428 0.408  0.382 0.356  0.337 0.303  0.291 0.250  0.246 0.197  0.199 0.146  0.150 0.096  0.101 0.046  0.053 -0.004  0.004 -0.054  -0.044 -0.104  -0.093 -0.154  -0.142 -0.204  -0.191 -0.253  -0.241 -0.302  -0.291 -0.350  -0.341 -0.399  -0.391 -0.447  -0.441 -0.496  -0.491 -0.544  -0.542 -0.593  -0.594 -0.638  -0.647 -0.684  -0.700 -0.729  -0.753 -0.775  -0.806 -0.820  -0.858 -0.866  -0.909 -0.914  -0.959 -0.962  -1.010 -1.010  -1.060 -1.058  -1.110 -1.107  -1.159 -1.156  -1.118 -1.137
2#apb#apb17#app1746/'  0.567 1.600  0.522 1.548  0.499 1.482  0.475 1.416  0.452 1.350  0.428 1.284  0.405 1.218  0.381 1.152  0.357 1.086  0.334 1.020  0.308 0.955  0.280 0.892  0.251 0.828  0.223 0.764  0.195 0.700  0.166 0.636  0.138 0.572  0.109 0.508  0.081 0.444  0.052 0.380  0.024 0.316  -0.004 0.252  -0.026 0.186  -0.047 0.119  -0.068 0.052  -0.089 -0.015  -0.109 -0.081  -0.130 -0.148  -0.151 -0.215  -0.172 -0.282  -0.193 -0.348  -0.213 -0.415  -0.225 -0.484  -0.236 -0.553  -0.248 -0.622  -0.259 -0.691  -0.271 -0.760  -0.282 -0.829  -0.294 -0.898  -0.300 -0.968  -0.306 -1.038  -0.313 -1.107  -0.319 -1.177  -0.326 -1.247  -0.332 -1.316  -0.322 -1.384  -0.295 -1.448  -0.267 -1.512  -0.240 -1.577  -0.212 -1.641
