1d#tos#t2#t2018065/!  0.313 1.756  0.313 1.679  0.313 1.601  0.313 1.523  0.313 1.445  0.313 1.367  0.313 1.289  0.313 1.211  0.313 1.133  0.313 1.055  0.313 0.977  0.300 0.903  0.266 0.833  0.231 0.763  0.196 0.694  0.161 0.624  0.126 0.554  0.091 0.485  0.083 0.409  0.083 0.331  0.083 0.253  0.083 0.175  0.083 0.097  0.083 0.019  0.062 -0.055  0.037 -0.129  -0.009 -0.161  -0.009 -0.239  -0.009 -0.317  -0.043 -0.360  -0.075 -0.424  -0.097 -0.498  -0.120 -0.573  -0.143 -0.647  -0.166 -0.722  -0.189 -0.796  -0.212 -0.870  -0.235 -0.945  -0.239 -1.022  -0.288 -1.051  -0.331 -1.086  -0.352 -1.143  -0.377 -1.196  -0.377 -1.274  -0.377 -1.351  -0.388 -1.327  -0.423 -1.284  -0.395 -1.235  -0.317 -1.235  -0.239 -1.235
1d#tos#t2#t2018065/#  -0.392 1.613  -0.472 1.189  -0.531 0.776  -0.531 0.339  -0.531 -0.098  -0.531 -0.535  -0.531 -0.972  -0.531 -1.409  -0.393 -1.167  -0.223 -0.765  -0.053 -0.362  0.117 0.041  0.287 0.443  0.457 0.846  0.627 1.248  0.781 1.572  0.714 1.142  0.645 0.720  0.643 0.284  0.643 -0.153  0.643 -0.590  0.643 -1.027  0.505 -1.326  0.392 -1.395  0.147 -1.033  -0.098 -0.671  -0.343 -0.309  -0.588 0.053  -0.833 0.415  -1.077 0.777  -0.810 0.578  -0.372 0.578  0.036 0.509  0.462 0.440  0.899 0.440  1.308 0.371  0.931 0.283  0.504 0.189  0.078 0.095  -0.349 0.001  -0.776 -0.092  -1.203 -0.186  -1.499 -0.251  -1.061 -0.251  -0.658 -0.331  -0.244 -0.389  0.189 -0.374  0.609 -0.337  0.965 -0.458  1.402 -0.458
1d#tos#t2#t2018065/$  0.704 0.872  0.361 0.860  0.010 0.917  -0.362 0.888  -0.584 0.676  -0.475 0.384  -0.192 0.206  0.201 0.162  0.526 0.053  0.792 -0.193  1.015 -0.423  0.970 -0.817  0.785 -1.088  0.489 -1.214  0.089 -1.214  -0.286 -1.126  -0.552 -0.986  -0.761 -0.706  -0.756 -0.358  -0.627 0.021  -0.498 0.400  -0.369 0.779  -0.241 1.158  -0.112 1.537  -0.184 1.637  -0.184 1.237  -0.184 0.836  -0.184 0.436  -0.184 0.036  -0.317 -0.293  -0.362 -0.689  -0.362 -1.090  -0.362 -1.490  -0.312 -1.431  -0.226 -1.040  -0.140 -0.649  -0.055 -0.258  0.031 0.133  0.117 0.524  0.202 0.915  0.288 1.306  0.329 1.466  0.304 1.068  0.304 0.668  0.349 0.275  0.260 -0.089  0.260 -0.490  0.231 -0.886  0.127 -1.258  0.127 -1.658
1d#tos#t2#t2018065/%  0.963 1.071  0.778 0.977  0.677 0.743  0.589 0.511  0.406 0.326  0.238 0.127  0.095 -0.112  -0.095 -0.316  -0.301 -0.494  -0.412 -0.727  -0.581 -0.945  -0.732 -1.168  -0.862 -1.370  -0.892 -1.313  -0.860 -1.035  -0.828 -0.757  -0.796 -0.480  -0.764 -0.202  -0.732 0.076  -0.700 0.353  -0.668 0.631  -0.636 0.909  -0.811 0.883  -0.909 0.702  -0.909 0.423  -0.862 0.190  -0.710 0.309  -0.526 0.480  -0.394 0.657  -0.347 0.890  -0.488 1.029  -0.500 0.972  -0.264 0.821  -0.028 0.671  0.207 0.520  0.443 0.370  0.678 0.219  0.914 0.069  1.050 -0.053  0.790 -0.100  0.683 -0.347  0.589 -0.533  0.449 -0.735  0.584 -0.940  0.863 -0.942  1.049 -0.849  1.221 -0.650  1.277 -0.427  1.104 -0.286  0.963 -0.147
1d#tos#t2#t2018065/(  0.663 1.305  0.609 1.273  0.545 1.251  0.459 1.251  0.378 1.237  0.309 1.197  0.223 1.197  0.137 1.197  0.067 1.180  0.067 1.094  0.067 1.008  0.009 0.980  -0.077 0.980  -0.149 0.966  -0.149 0.880  -0.149 0.794  -0.149 0.708  -0.164 0.626  -0.203 0.549  -0.258 0.517  -0.258 0.431  -0.258 0.345  -0.281 0.262  -0.308 0.180  -0.312 0.095  -0.312 0.009  -0.312 -0.077  -0.312 -0.163  -0.312 -0.249  -0.312 -0.335  -0.312 -0.422  -0.303 -0.506  -0.276 -0.588  -0.230 -0.644  -0.204 -0.703  -0.204 -0.789  -0.173 -0.868  -0.119 -0.930  -0.042 -0.968  -0.041 -1.054  0.004 -1.121  0.064 -1.182  0.121 -1.245  0.159 -1.293  0.245 -1.293  0.284 -1.341  0.355 -1.383  0.392 -1.446  0.468 -1.456  0.554 -1.456
1d#tos#t2#t2018065/)  -0.583 1.472  -0.583 1.390  -0.557 1.319  -0.492 1.281  -0.410 1.281  -0.329 1.281  -0.328 1.200  -0.328 1.118  -0.277 1.073  -0.200 1.047  -0.137 1.011  -0.107 0.948  -0.034 0.911  -0.010 0.845  -0.004 0.766  0.054 0.708  0.117 0.690  0.117 0.608  0.141 0.533  0.178 0.460  0.181 0.379  0.181 0.297  0.223 0.242  0.296 0.205  0.308 0.131  0.308 0.049  0.308 -0.032  0.308 -0.114  0.299 -0.192  0.245 -0.251  0.245 -0.332  0.245 -0.414  0.245 -0.495  0.245 -0.577  0.245 -0.659  0.245 -0.740  0.224 -0.818  0.198 -0.896  0.168 -0.972  0.132 -1.045  0.117 -1.123  0.115 -1.204  0.057 -1.261  -0.000 -1.319  -0.077 -1.332  -0.134 -1.389  -0.192 -1.447  -0.250 -1.505  -0.319 -1.547  -0.392 -1.583
1d#tos#t2#t2018065/:  0.086 1.661  0.086 1.586  0.086 1.512  0.086 1.437  0.086 1.363  0.086 1.288  0.086 1.214  0.086 1.139  0.086 1.065  0.086 0.991  0.032 0.969  -0.013 0.940  -0.018 0.870  -0.092 0.870  -0.112 0.816  -0.112 0.741  -0.111 0.667  -0.103 0.593  -0.095 0.519  -0.087 0.445  -0.078 0.371  -0.070 0.297  -0.062 0.223  -0.054 0.149  -0.046 0.075  -0.037 0.001  -0.029 -0.073  -0.021 -0.147  -0.013 -0.221  -0.004 -0.295  0.004 -0.370  0.012 -0.444  0.020 -0.518  0.028 -0.592  0.037 -0.666  0.045 -0.740  0.053 -0.814  0.061 -0.888  0.070 -0.962  0.078 -1.036  0.086 -1.110  0.086 -1.184  0.086 -1.259  0.064 -1.324  0.012 -1.377  -0.041 -1.430  -0.094 -1.482  -0.112 -1.549  -0.112 -1.624  -0.112 -1.698
1d#tos#t2#t2018065/<  1.110 1.451  1.077 1.351  0.997 1.270  0.975 1.166  0.913 1.113  0.831 1.037  0.772 0.948  0.695 0.911  0.581 0.911  0.513 0.826  0.450 0.731  0.348 0.708  0.245 0.672  0.151 0.609  0.053 0.551  -0.049 0.500  -0.150 0.449  -0.236 0.376  -0.318 0.298  -0.420 0.247  -0.527 0.208  -0.635 0.172  -0.680 0.100  -0.782 0.088  -0.782 -0.026  -0.817 -0.114  -0.925 -0.150  -0.984 -0.221  -1.022 -0.238  -0.908 -0.238  -0.849 -0.292  -0.758 -0.329  -0.662 -0.373  -0.548 -0.373  -0.477 -0.441  -0.409 -0.526  -0.307 -0.575  -0.193 -0.575  -0.144 -0.665  -0.108 -0.773  -0.009 -0.827  0.093 -0.878  0.195 -0.928  0.296 -0.979  0.397 -1.011  0.478 -1.092  0.569 -1.128  0.595 -1.236  0.658 -1.318  0.704 -1.386
1d#tos#t2#t2018065/=  -0.471 0.844  -0.641 0.802  -0.763 0.765  -0.588 0.765  -0.413 0.765  -0.238 0.765  -0.063 0.765  0.112 0.765  0.287 0.765  0.459 0.745  0.625 0.690  0.800 0.686  0.975 0.686  1.150 0.686  1.246 0.607  1.127 0.553  0.963 0.492  0.799 0.431  0.635 0.369  0.472 0.308  0.308 0.246  0.144 0.185  -0.020 0.123  -0.184 0.062  -0.348 0.000  -0.512 -0.061  -0.676 -0.123  -0.840 -0.184  -1.004 -0.246  -1.168 -0.307  -1.262 -0.417  -1.262 -0.592  -1.370 -0.659  -1.295 -0.659  -1.120 -0.659  -0.945 -0.659  -0.769 -0.659  -0.594 -0.659  -0.419 -0.659  -0.244 -0.659  -0.069 -0.659  0.106 -0.659  0.281 -0.659  0.456 -0.659  0.631 -0.659  0.806 -0.659  0.981 -0.659  1.156 -0.659  1.331 -0.659  1.427 -0.738
1d#tos#t2#t2018065/>  -0.578 1.431  -0.689 1.431  -0.779 1.411  -0.779 1.300  -0.779 1.189  -0.696 1.162  -0.585 1.162  -0.504 1.089  -0.426 1.011  -0.358 0.925  -0.308 0.826  -0.225 0.759  -0.132 0.716  -0.054 0.638  0.025 0.560  0.068 0.490  0.169 0.475  0.219 0.376  0.311 0.341  0.396 0.272  0.495 0.222  0.539 0.154  0.644 0.142  0.732 0.087  0.767 0.010  0.767 -0.101  0.863 -0.115  0.895 -0.182  0.785 -0.182  0.767 -0.275  0.697 -0.317  0.591 -0.337  0.493 -0.388  0.431 -0.473  0.368 -0.539  0.263 -0.574  0.162 -0.619  0.063 -0.669  -0.036 -0.718  -0.125 -0.755  -0.174 -0.855  -0.224 -0.954  -0.301 -1.029  -0.393 -1.090  -0.494 -1.123  -0.511 -1.218  -0.511 -1.329  -0.558 -1.392  -0.645 -1.416  -0.645 -1.527
1d#tos#t2#t2018065/?  -0.599 0.151  -0.722 0.151  -0.846 0.151  -0.870 0.250  -0.896 0.348  -0.896 0.471  -0.863 0.581  -0.846 0.697  -0.722 0.697  -0.628 0.767  -0.569 0.861  -0.454 0.896  -0.330 0.896  -0.234 0.962  -0.124 0.995  -0.000 0.995  0.123 0.995  0.217 0.924  0.329 0.896  0.444 0.886  0.527 0.846  0.642 0.838  0.692 0.735  0.692 0.611  0.642 0.508  0.593 0.434  0.543 0.360  0.479 0.300  0.444 0.212  0.399 0.107  0.298 0.052  0.245 -0.019  0.245 -0.142  0.196 -0.246  0.096 -0.308  0.096 -0.431  0.096 -0.555  0.096 -0.678  0.096 -0.802  0.096 -0.926  0.196 -0.950  0.229 -1.040  0.214 -1.143  0.177 -1.261  0.141 -1.379  0.105 -1.497  0.068 -1.616  0.047 -1.736  0.047 -1.860  0.047 -1.983
