3#apa#apa09#app0956/b  0.156 1.283  0.156 1.401  0.156 1.519  0.156 1.638  0.089 1.689  0.020 1.640  0.008 1.524  -0.036 1.414  -0.080 1.304  -0.124 1.195  -0.168 1.085  -0.211 0.975  -0.253 0.864  -0.269 0.747  -0.286 0.630  -0.303 0.513  -0.319 0.396  -0.336 0.279  -0.353 0.162  -0.370 0.045  -0.386 -0.072  -0.386 -0.190  -0.386 -0.309  -0.386 -0.427  -0.386 -0.545  -0.386 -0.663  -0.372 -0.778  -0.319 -0.884  -0.266 -0.990  -0.191 -1.080  -0.107 -1.163  -0.024 -1.247  0.076 -1.291  0.195 -1.291  0.313 -1.291  0.427 -1.286  0.427 -1.168  0.427 -1.050  0.427 -0.931  0.427 -0.813  0.402 -0.701  0.349 -0.595  0.297 -0.489  0.216 -0.403  0.156 -0.310  0.168 -0.199  0.267 -0.133  0.365 -0.067  0.464 -0.002  0.562 0.064
3#apa#apa09#app0956/i  -0.342 0.464  -0.431 0.553  -0.504 0.603  -0.504 0.478  -0.504 0.352  -0.504 0.227  -0.504 0.101  -0.504 -0.024  -0.504 -0.150  -0.504 -0.275  -0.504 -0.401  -0.504 -0.526  -0.504 -0.652  -0.504 -0.777  -0.504 -0.903  -0.476 -1.017  -0.387 -1.105  -0.287 -1.178  -0.175 -1.234  -0.063 -1.290  0.058 -1.312  0.171 -1.283  0.260 -1.194  0.349 -1.106  0.437 -1.017  0.504 -0.912  0.560 -0.800  0.616 -0.688  0.604 -0.567  0.575 -0.445  0.547 -0.323  0.519 -0.200  0.491 -0.078  0.463 0.044  0.434 0.166  0.406 0.289  0.378 0.411  0.350 0.533  0.322 0.655  0.293 0.778  0.265 0.900  0.237 1.022  0.209 1.144  0.180 1.267  0.152 1.389  0.075 1.478  -0.029 1.547  -0.134 1.617  -0.238 1.686  -0.342 1.756
3#apa#apa09#app0956/g  0.352 1.079  0.269 1.162  0.167 1.218  0.061 1.265  -0.056 1.265  -0.156 1.222  -0.244 1.146  -0.342 1.082  -0.439 1.017  -0.485 0.924  -0.485 0.807  -0.467 0.708  -0.362 0.678  -0.274 0.627  -0.169 0.680  -0.064 0.732  0.040 0.784  0.073 0.881  0.174 0.885  0.257 0.802  0.266 0.687  0.303 0.576  0.340 0.464  0.377 0.353  0.414 0.242  0.445 0.130  0.445 0.013  0.445 -0.104  0.445 -0.221  0.445 -0.338  0.445 -0.455  0.430 -0.571  0.407 -0.686  0.384 -0.801  0.361 -0.916  0.304 -1.012  0.222 -1.095  0.139 -1.178  0.056 -1.261  -0.029 -1.341  -0.133 -1.393  -0.242 -1.430  -0.359 -1.430  -0.430 -1.354  -0.482 -1.249  -0.534 -1.144  -0.578 -1.038  -0.578 -0.920  -0.578 -0.803  -0.578 -0.686
3#apa#apa09#app0956/i  -0.156 0.323  -0.249 0.415  -0.306 0.424  -0.306 0.293  -0.306 0.162  -0.306 0.032  -0.306 -0.099  -0.306 -0.230  -0.306 -0.361  -0.306 -0.492  -0.306 -0.622  -0.306 -0.753  -0.306 -0.884  -0.306 -1.015  -0.306 -1.146  -0.209 -1.179  -0.078 -1.179  0.053 -1.179  0.172 -1.151  0.265 -1.059  0.380 -1.007  0.507 -0.975  0.634 -0.944  0.761 -0.912  0.888 -0.880  0.833 -0.772  0.766 -0.659  0.700 -0.547  0.634 -0.434  0.567 -0.321  0.501 -0.208  0.435 -0.096  0.368 0.017  0.302 0.130  0.236 0.242  0.170 0.355  0.103 0.468  0.037 0.581  -0.029 0.693  -0.096 0.806  -0.162 0.919  -0.228 1.032  -0.295 1.144  -0.361 1.257  -0.427 1.370  -0.494 1.483  -0.560 1.595  -0.607 1.713  -0.626 1.825  -0.757 1.825
3#apa#apa09#app0956/n  -0.973 0.699  -0.973 0.579  -0.973 0.459  -0.973 0.339  -0.973 0.219  -0.973 0.099  -0.973 -0.021  -0.973 -0.142  -0.973 -0.262  -0.973 -0.382  -0.973 -0.502  -0.973 -0.622  -0.973 -0.742  -0.973 -0.862  -0.900 -0.909  -0.780 -0.909  -0.660 -0.909  -0.540 -0.909  -0.429 -0.894  -0.376 -0.787  -0.322 -0.679  -0.268 -0.572  -0.215 -0.464  -0.161 -0.357  -0.107 -0.250  -0.054 -0.142  0.000 -0.035  0.054 0.073  0.113 0.176  0.197 0.261  0.282 0.346  0.367 0.431  0.452 0.516  0.537 0.601  0.622 0.686  0.707 0.771  0.792 0.856  0.877 0.940  0.940 0.893  0.994 0.786  1.047 0.678  1.101 0.571  1.155 0.463  1.171 0.347  1.171 0.227  1.171 0.107  1.171 -0.013  1.171 -0.133  1.171 -0.253  1.171 -0.373
3#apa#apa09#app0956/k  -0.455 1.113  -0.534 1.270  -0.609 1.428  -0.609 1.547  -0.609 1.371  -0.609 1.195  -0.609 1.019  -0.609 0.843  -0.609 0.667  -0.609 0.491  -0.615 0.316  -0.649 0.143  -0.684 -0.030  -0.718 -0.202  -0.753 -0.375  -0.764 -0.550  -0.764 -0.726  -0.764 -0.885  -0.743 -0.718  -0.618 -0.594  -0.494 -0.469  -0.382 -0.333  -0.277 -0.193  -0.171 -0.052  -0.065 0.089  0.056 0.211  0.214 0.290  0.371 0.368  0.529 0.447  0.690 0.517  0.857 0.573  1.024 0.628  1.137 0.553  1.215 0.396  1.162 0.260  1.037 0.136  0.913 0.011  0.788 -0.113  0.664 -0.238  0.539 -0.362  0.415 -0.487  0.290 -0.611  0.166 -0.736  0.041 -0.860  0.008 -1.023  0.114 -1.154  0.267 -1.229  0.438 -1.271  0.609 -1.314  0.780 -1.357
3#apa#apa09#app0956/y  -0.462 1.001  -0.520 1.117  -0.607 1.186  -0.675 1.102  -0.716 0.979  -0.722 0.857  -0.681 0.734  -0.647 0.611  -0.589 0.540  -0.460 0.541  -0.344 0.599  -0.239 0.671  -0.148 0.762  -0.056 0.853  0.035 0.945  0.135 1.023  0.251 1.081  0.366 1.048  0.471 0.980  0.529 0.865  0.565 0.742  0.587 0.615  0.608 0.487  0.629 0.360  0.645 0.232  0.645 0.103  0.645 -0.026  0.645 -0.155  0.645 -0.284  0.645 -0.414  0.645 -0.543  0.612 -0.667  0.572 -0.789  0.503 -0.895  0.412 -0.986  0.321 -1.077  0.229 -1.169  0.121 -1.230  -0.004 -1.261  -0.130 -1.292  -0.255 -1.289  -0.380 -1.258  -0.505 -1.226  -0.555 -1.136  -0.555 -1.007  -0.555 -0.878  -0.552 -0.750  -0.460 -0.658  -0.369 -0.567  -0.278 -0.476
3#apa#apa09#app0956/d  0.026 -0.164  -0.020 -0.032  -0.198 -0.032  -0.376 -0.032  -0.554 -0.032  -0.722 -0.076  -0.881 -0.156  -1.030 -0.252  -1.179 -0.351  -1.295 -0.467  -1.295 -0.645  -1.222 -0.801  -1.124 -0.949  -1.020 -1.089  -0.842 -1.089  -0.664 -1.089  -0.497 -1.034  -0.332 -0.968  -0.166 -0.901  -0.001 -0.835  0.115 -0.705  0.222 -0.563  0.329 -0.421  0.422 -0.274  0.422 -0.096  0.436 0.082  0.458 0.258  0.480 0.435  0.502 0.612  0.524 0.788  0.547 0.965  0.554 1.142  0.554 1.320  0.554 1.498  0.554 1.676  0.554 1.514  0.554 1.336  0.513 1.165  0.457 0.996  0.422 0.823  0.422 0.645  0.422 0.467  0.422 0.289  0.422 0.111  0.422 -0.067  0.422 -0.245  0.422 -0.423  0.422 -0.601  0.422 -0.779  0.422 -0.957
3#apa#apa09#app0956/e  0.014 0.116  -0.133 0.116  -0.098 0.116  0.049 0.116  0.196 0.116  0.343 0.116  0.489 0.116  0.635 0.123  0.766 0.188  0.897 0.254  1.028 0.320  1.028 0.467  1.028 0.613  1.028 0.760  1.028 0.907  0.901 0.927  0.755 0.927  0.608 0.927  0.461 0.927  0.314 0.927  0.167 0.927  0.021 0.927  -0.111 0.865  -0.243 0.799  -0.374 0.733  -0.505 0.668  -0.637 0.602  -0.768 0.536  -0.833 0.413  -0.880 0.274  -0.926 0.135  -0.972 -0.004  -1.000 -0.147  -1.000 -0.294  -1.000 -0.440  -0.947 -0.571  -0.865 -0.693  -0.784 -0.815  -0.703 -0.938  -0.621 -1.060  -0.496 -1.100  -0.349 -1.100  -0.202 -1.100  -0.056 -1.100  0.091 -1.100  0.238 -1.100  0.385 -1.100  0.531 -1.100  0.678 -1.100  0.825 -1.100
3#apa#apa09#app0956/v  -1.096 1.015  -1.017 0.936  -0.938 0.856  -0.858 0.777  -0.779 0.698  -0.778 0.587  -0.778 0.475  -0.778 0.363  -0.778 0.251  -0.778 0.139  -0.763 0.031  -0.713 -0.069  -0.663 -0.169  -0.613 -0.269  -0.563 -0.369  -0.513 -0.469  -0.463 -0.569  -0.461 -0.680  -0.461 -0.792  -0.450 -0.900  -0.371 -0.979  -0.292 -1.058  -0.213 -1.137  -0.134 -1.195  -0.055 -1.116  0.024 -1.037  0.103 -0.958  0.178 -0.876  0.220 -0.772  0.261 -0.668  0.303 -0.565  0.344 -0.461  0.386 -0.357  0.427 -0.253  0.469 -0.149  0.510 -0.045  0.552 0.058  0.593 0.162  0.635 0.266  0.676 0.370  0.718 0.474  0.760 0.578  0.801 0.682  0.874 0.764  0.953 0.844  1.033 0.923  1.112 1.002  1.125 1.108  1.125 1.220  1.125 1.332
3#apa#apa09#app0956/i  -0.207 0.188  -0.293 0.274  -0.379 0.360  -0.466 0.327  -0.552 0.240  -0.604 0.140  -0.604 0.018  -0.604 -0.104  -0.604 -0.226  -0.604 -0.348  -0.604 -0.469  -0.604 -0.591  -0.557 -0.702  -0.503 -0.811  -0.448 -0.920  -0.406 -1.032  -0.406 -1.154  -0.333 -1.204  -0.212 -1.204  -0.090 -1.204  0.028 -1.186  0.137 -1.131  0.246 -1.077  0.355 -1.022  0.449 -0.946  0.535 -0.860  0.588 -0.760  0.588 -0.638  0.568 -0.518  0.540 -0.400  0.513 -0.281  0.485 -0.162  0.458 -0.043  0.431 0.076  0.403 0.195  0.376 0.313  0.348 0.432  0.321 0.551  0.293 0.670  0.266 0.789  0.239 0.907  0.211 1.026  0.184 1.145  0.156 1.264  0.129 1.383  0.102 1.501  0.074 1.620  0.047 1.739  0.019 1.858  -0.008 1.977
