1b#ced#cypl9614_s_jd/F  -0.327 0.775  -0.228 0.991  -0.195 1.180  -0.161 0.935  -0.124 0.690  -0.096 0.442  -0.058 0.195  -0.033 -0.054  -0.030 -0.304  -0.030 -0.555  -0.030 -0.805  -0.063 -1.053  -0.085 -1.302  -0.101 -1.551  -0.129 -1.798  -0.167 -1.880  -0.183 -1.630  -0.199 -1.380  -0.214 -1.130  -0.230 -0.880  -0.245 -0.630  -0.261 -0.380  -0.277 -0.130  -0.292 0.120  -0.308 0.370  -0.324 0.620  -0.426 0.841  -0.586 1.030  -0.622 1.171  -0.380 1.204  -0.131 1.220  0.117 1.237  0.368 1.237  0.618 1.241  0.866 1.270  0.837 1.101  0.719 0.880  0.602 0.659  0.485 0.437  0.368 0.216  0.209 0.025  0.017 -0.134  -0.189 -0.276  -0.316 -0.488  -0.307 -0.623  -0.070 -0.642  0.180 -0.642  0.430 -0.636  0.678 -0.609  0.926 -0.576
1b#uqb#re/F  -0.798 -1.284  -0.795 -1.468  -0.790 -1.463  -0.758 -1.280  -0.731 -1.096  -0.699 -0.913  -0.680 -0.730  -0.695 -0.545  -0.706 -0.359  -0.751 -0.179  -0.752 0.004  -0.722 0.187  -0.742 0.372  -0.759 0.548  -0.767 0.723  -0.643 0.775  -0.458 0.756  -0.273 0.738  -0.089 0.766  0.095 0.795  0.280 0.789  0.465 0.774  0.650 0.756  0.835 0.737  1.021 0.719  1.206 0.704  1.391 0.688  1.575 0.662  1.464 0.685  1.288 0.623  1.121 0.542  0.956 0.456  0.791 0.370  0.626 0.284  0.461 0.199  0.296 0.113  0.131 0.027  -0.034 -0.059  -0.199 -0.145  -0.364 -0.230  -0.529 -0.316  -0.694 -0.402  -0.658 -0.479  -0.476 -0.517  -0.292 -0.533  -0.110 -0.569  0.075 -0.563  0.260 -0.565  0.445 -0.569  0.528 -0.526
1b#uqb#re/F  -0.639 -1.695  -0.707 -1.621  -0.658 -1.439  -0.578 -1.269  -0.534 -1.092  -0.549 -0.905  -0.586 -0.720  -0.633 -0.538  -0.679 -0.355  -0.717 -0.170  -0.763 0.012  -0.818 0.191  -0.812 0.380  -0.832 0.562  -0.881 0.736  -0.901 0.892  -0.720 0.848  -0.533 0.824  -0.345 0.824  -0.156 0.824  0.032 0.830  0.221 0.837  0.409 0.837  0.597 0.837  0.786 0.844  0.973 0.846  1.152 0.786  1.336 0.810  1.305 0.760  1.149 0.653  0.994 0.546  0.839 0.440  0.684 0.333  0.528 0.226  0.373 0.119  0.218 0.013  0.063 -0.094  -0.093 -0.201  -0.248 -0.308  -0.403 -0.414  -0.559 -0.521  -0.433 -0.519  -0.246 -0.544  -0.059 -0.565  0.127 -0.538  0.314 -0.510  0.501 -0.490  0.683 -0.445  0.866 -0.427  0.930 -0.429
1b#uqb#re/F  -0.653 -1.698  -0.684 -1.684  -0.643 -1.500  -0.650 -1.318  -0.660 -1.138  -0.603 -0.958  -0.555 -0.776  -0.512 -0.592  -0.512 -0.403  -0.482 -0.218  -0.466 -0.030  -0.466 0.158  -0.571 0.295  -0.620 0.478  -0.684 0.641  -0.546 0.701  -0.357 0.702  -0.169 0.720  0.019 0.737  0.204 0.768  0.383 0.828  0.569 0.857  0.757 0.872  0.946 0.872  1.135 0.872  1.324 0.872  1.497 0.888  1.410 0.854  1.244 0.763  1.079 0.671  0.914 0.580  0.748 0.489  0.583 0.398  0.417 0.307  0.252 0.216  0.087 0.124  -0.079 0.033  -0.244 -0.058  -0.410 -0.149  -0.575 -0.240  -0.740 -0.331  -0.906 -0.421  -0.744 -0.436  -0.555 -0.436  -0.373 -0.472  -0.194 -0.532  -0.007 -0.545  0.182 -0.545  0.363 -0.593  0.547 -0.623
1b#uqb#re/F  -0.937 -1.379  -0.802 -1.320  -0.696 -1.140  -0.647 -0.950  -0.576 -0.758  -0.484 -0.572  -0.416 -0.374  -0.419 -0.176  -0.497 0.018  -0.595 0.202  -0.676 0.395  -0.738 0.593  -0.725 0.801  -0.586 0.839  -0.380 0.804  -0.175 0.762  0.029 0.720  0.236 0.701  0.445 0.701  0.654 0.701  0.863 0.697  1.072 0.689  1.281 0.686  1.490 0.686  1.633 0.765  1.543 0.756  1.378 0.642  1.186 0.558  0.995 0.473  0.804 0.388  0.613 0.303  0.422 0.219  0.231 0.134  0.040 0.049  -0.151 -0.035  -0.342 -0.120  -0.533 -0.205  -0.724 -0.289  -0.915 -0.374  -1.106 -0.459  -1.062 -0.520  -0.855 -0.493  -0.648 -0.487  -0.441 -0.515  -0.239 -0.538  -0.059 -0.594  0.105 -0.722  0.308 -0.773  0.516 -0.783  0.577 -0.706
1b#uqb#re/F  -0.268 0.786  -0.368 0.605  -0.423 0.384  -0.471 0.162  -0.516 -0.061  -0.548 -0.287  -0.524 -0.510  -0.495 -0.733  -0.509 -0.961  -0.521 -1.188  -0.500 -1.414  -0.495 -1.636  -0.476 -1.460  -0.459 -1.234  -0.468 -1.007  -0.457 -0.780  -0.427 -0.554  -0.379 -0.332  -0.354 -0.107  -0.354 0.121  -0.343 0.348  -0.325 0.575  -0.297 0.801  -0.204 1.005  -0.076 1.184  0.127 1.285  0.345 1.349  0.566 1.340  0.787 1.284  1.005 1.221  1.222 1.159  1.324 1.038  1.159 0.883  0.983 0.738  0.808 0.593  0.633 0.447  0.457 0.302  0.282 0.157  0.107 0.011  -0.069 -0.134  -0.244 -0.279  -0.419 -0.425  -0.595 -0.570  -0.413 -0.604  -0.185 -0.600  0.041 -0.585  0.263 -0.535  0.486 -0.566  0.707 -0.616  0.879 -0.600
1b#uqb#re/F  -0.628 -1.511  -0.677 -1.570  -0.593 -1.415  -0.560 -1.242  -0.541 -1.064  -0.559 -0.887  -0.587 -0.710  -0.641 -0.541  -0.700 -0.374  -0.660 -0.200  -0.682 -0.023  -0.709 0.154  -0.731 0.331  -0.719 0.509  -0.691 0.640  -0.522 0.698  -0.347 0.717  -0.169 0.708  0.010 0.707  0.189 0.707  0.368 0.707  0.546 0.720  0.723 0.748  0.900 0.767  1.079 0.767  1.245 0.820  1.398 0.911  1.401 1.015  1.230 0.962  1.088 0.854  0.945 0.746  0.802 0.638  0.659 0.530  0.517 0.422  0.374 0.315  0.231 0.207  0.088 0.099  -0.054 -0.009  -0.197 -0.117  -0.340 -0.225  -0.482 -0.333  -0.625 -0.441  -0.748 -0.551  -0.589 -0.628  -0.426 -0.702  -0.260 -0.768  -0.083 -0.788  0.095 -0.801  0.270 -0.782  0.362 -0.717
1b#uqb#re/F  -0.403 -2.058  -0.350 -1.896  -0.302 -1.732  -0.275 -1.564  -0.259 -1.394  -0.270 -1.224  -0.276 -1.054  -0.255 -0.884  -0.243 -0.714  -0.259 -0.544  -0.271 -0.373  -0.278 -0.202  -0.284 -0.031  -0.284 0.140  -0.292 0.311  -0.322 0.478  -0.407 0.627  -0.451 0.790  -0.523 0.930  -0.379 1.009  -0.216 1.063  -0.047 1.084  0.124 1.090  0.293 1.065  0.462 1.054  0.632 1.060  0.804 1.060  0.971 1.034  1.128 0.974  1.075 0.953  0.939 0.849  0.803 0.745  0.667 0.641  0.531 0.538  0.395 0.434  0.259 0.330  0.122 0.226  -0.014 0.122  -0.150 0.019  -0.286 -0.085  -0.422 -0.189  -0.558 -0.293  -0.694 -0.396  -0.555 -0.436  -0.394 -0.493  -0.229 -0.541  -0.061 -0.560  0.103 -0.609  0.267 -0.657  0.432 -0.700
1b#uqb#re/F  -0.625 -1.659  -0.553 -1.563  -0.565 -1.373  -0.594 -1.185  -0.611 -0.996  -0.611 -0.805  -0.611 -0.614  -0.611 -0.423  -0.603 -0.233  -0.596 -0.042  -0.596 0.148  -0.654 0.329  -0.714 0.507  -0.704 0.691  -0.607 0.848  -0.434 0.928  -0.248 0.950  -0.059 0.930  0.128 0.914  0.318 0.934  0.507 0.911  0.693 0.873  0.871 0.804  1.021 0.698  1.198 0.668  1.385 0.706  1.399 0.808  1.219 0.855  1.062 0.746  0.905 0.638  0.748 0.529  0.592 0.420  0.435 0.312  0.278 0.203  0.121 0.095  -0.036 -0.014  -0.192 -0.123  -0.349 -0.231  -0.506 -0.340  -0.663 -0.449  -0.819 -0.557  -0.775 -0.687  -0.604 -0.720  -0.415 -0.693  -0.226 -0.666  -0.037 -0.643  0.153 -0.621  0.343 -0.611  0.532 -0.592  0.708 -0.606
1b#uqb#re/F  -0.909 -1.467  -0.786 -1.329  -0.690 -1.166  -0.742 -0.981  -0.764 -0.789  -0.793 -0.599  -0.814 -0.408  -0.804 -0.215  -0.796 -0.022  -0.791 0.171  -0.792 0.363  -0.804 0.556  -0.830 0.738  -0.706 0.788  -0.513 0.788  -0.320 0.788  -0.127 0.788  0.066 0.788  0.259 0.795  0.452 0.806  0.645 0.812  0.837 0.798  1.030 0.785  1.223 0.774  1.414 0.749  1.506 0.801  1.338 0.708  1.170 0.613  1.002 0.518  0.834 0.423  0.666 0.328  0.497 0.233  0.329 0.138  0.161 0.044  -0.007 -0.051  -0.175 -0.146  -0.343 -0.241  -0.511 -0.336  -0.679 -0.431  -0.847 -0.527  -0.702 -0.599  -0.510 -0.578  -0.326 -0.596  -0.150 -0.677  0.039 -0.700  0.232 -0.701  0.423 -0.672  0.615 -0.658  0.801 -0.613  0.691 -0.589
1b#uqb#re/F  -0.355 0.637  -0.436 0.492  -0.452 0.258  -0.456 0.021  -0.465 -0.215  -0.442 -0.449  -0.409 -0.683  -0.359 -0.914  -0.355 -1.150  -0.328 -1.384  -0.396 -1.336  -0.485 -1.118  -0.516 -0.886  -0.548 -0.653  -0.575 -0.419  -0.581 -0.183  -0.578 0.051  -0.612 0.285  -0.617 0.521  -0.603 0.757  -0.542 0.981  -0.401 1.169  -0.201 1.262  0.020 1.245  0.252 1.201  0.487 1.182  0.719 1.141  0.950 1.093  1.174 1.037  1.367 0.909  1.420 0.799  1.223 0.668  1.026 0.538  0.829 0.408  0.632 0.278  0.435 0.148  0.238 0.018  0.041 -0.113  -0.156 -0.243  -0.354 -0.373  -0.551 -0.503  -0.748 -0.633  -0.591 -0.683  -0.355 -0.696  -0.120 -0.713  0.112 -0.754  0.338 -0.807  0.571 -0.771  0.804 -0.737  0.952 -0.683
