1b#tos#t3#t3067063/B  0.262 1.353  0.117 1.248  0.045 1.015  -0.088 0.804  -0.173 0.579  -0.206 0.335  -0.289 0.099  -0.387 -0.131  -0.445 -0.372  -0.533 -0.602  -0.655 -0.820  -0.739 -1.054  -0.773 -1.297  -0.891 -1.429  -0.809 -1.193  -0.727 -0.957  -0.646 -0.720  -0.564 -0.484  -0.483 -0.248  -0.401 -0.012  -0.319 0.225  -0.238 0.461  -0.156 0.697  -0.075 0.934  0.007 1.170  0.182 1.256  0.403 1.162  0.652 1.159  0.882 1.111  1.096 1.003  1.182 0.816  1.182 0.566  0.974 0.493  0.797 0.338  0.555 0.288  0.333 0.191  0.083 0.191  -0.083 0.191  0.167 0.191  0.405 0.143  0.456 -0.097  0.456 -0.347  0.456 -0.597  0.433 -0.844  0.252 -0.984  0.082 -1.150  -0.132 -1.261  -0.382 -1.261  -0.559 -1.141  -0.706 -1.019
1b#tos#t3#t3067063/D  0.130 1.310  0.011 1.210  -0.044 1.039  -0.145 0.880  -0.229 0.711  -0.314 0.541  -0.399 0.372  -0.483 0.203  -0.554 0.029  -0.585 -0.158  -0.697 -0.310  -0.796 -0.471  -0.874 -0.643  -0.930 -0.823  -0.921 -0.910  -0.837 -0.740  -0.754 -0.570  -0.671 -0.400  -0.588 -0.230  -0.504 -0.060  -0.421 0.110  -0.338 0.280  -0.255 0.450  -0.171 0.620  -0.088 0.790  -0.005 0.960  0.157 0.959  0.344 0.952  0.523 0.895  0.707 0.873  0.863 0.793  1.037 0.732  1.187 0.619  1.284 0.481  1.284 0.292  1.242 0.113  1.137 -0.045  1.017 -0.190  0.884 -0.324  0.762 -0.463  0.596 -0.554  0.469 -0.689  0.320 -0.801  0.149 -0.879  0.006 -1.002  -0.162 -1.077  -0.317 -1.169  -0.486 -1.236  -0.675 -1.236  -0.865 -1.236
1b#tos#t3#t3067063/E  -0.854 0.882  -0.835 0.848  -0.580 0.864  -0.327 0.889  -0.094 1.000  0.154 1.070  0.398 1.146  0.611 1.275  0.847 1.369  0.913 1.374  0.674 1.274  0.435 1.174  0.196 1.073  -0.044 0.973  -0.269 0.873  -0.333 0.631  -0.372 0.383  -0.406 0.126  -0.438 -0.127  -0.506 -0.376  -0.527 -0.633  -0.578 -0.885  -0.515 -0.751  -0.432 -0.505  -0.350 -0.259  -0.268 -0.012  -0.235 0.056  -0.020 0.139  0.236 0.159  0.447 0.294  0.638 0.366  0.485 0.171  0.314 -0.024  0.143 -0.219  -0.028 -0.414  -0.199 -0.609  -0.371 -0.804  -0.542 -0.999  -0.715 -1.181  -0.796 -1.306  -0.563 -1.210  -0.327 -1.103  -0.093 -0.999  0.112 -0.866  0.337 -0.743  0.560 -0.633  0.801 -0.673  0.951 -0.844  1.120 -1.013  1.246 -1.218
1b#tos#t3#t3067063/F  -0.758 0.693  -0.948 0.693  -1.029 0.584  -0.876 0.584  -0.686 0.584  -0.497 0.589  -0.328 0.657  -0.142 0.675  0.028 0.760  0.217 0.766  0.385 0.842  0.548 0.940  0.726 0.983  0.892 1.074  1.079 1.092  0.958 1.080  0.779 1.017  0.600 0.953  0.421 0.889  0.242 0.825  0.072 0.752  -0.026 0.613  -0.129 0.476  -0.141 0.288  -0.141 0.098  -0.152 -0.090  -0.214 -0.265  -0.214 -0.455  -0.280 -0.633  -0.329 -0.816  -0.381 -0.999  -0.429 -1.183  -0.468 -1.367  -0.540 -1.535  -0.534 -1.675  -0.489 -1.490  -0.444 -1.305  -0.400 -1.121  -0.355 -0.936  -0.310 -0.751  -0.265 -0.566  -0.202 -0.475  -0.028 -0.431  0.125 -0.394  0.315 -0.394  0.497 -0.358  0.683 -0.337  0.871 -0.322  1.061 -0.322  1.236 -0.286
1b#tos#t3#t3067063/G  0.058 0.836  0.023 1.014  -0.013 1.214  -0.214 1.226  -0.414 1.168  -0.549 1.020  -0.684 0.864  -0.797 0.687  -0.893 0.496  -1.009 0.317  -1.100 0.124  -1.148 -0.084  -1.179 -0.291  -1.219 -0.495  -1.219 -0.709  -1.194 -0.918  -1.017 -1.010  -0.803 -1.010  -0.589 -1.010  -0.434 -0.865  -0.248 -0.761  -0.096 -0.613  0.046 -0.454  0.216 -0.325  0.342 -0.175  0.447 -0.014  0.295 0.138  0.144 0.289  -0.043 0.319  0.003 0.268  0.217 0.268  0.416 0.306  0.598 0.403  0.804 0.434  1.003 0.481  1.187 0.565  1.398 0.588  1.212 0.525  1.008 0.461  0.804 0.396  0.600 0.330  0.520 0.174  0.490 -0.035  0.484 -0.248  0.484 -0.462  0.484 -0.676  0.443 -0.880  0.378 -1.079  0.378 -1.293  0.378 -1.507
1b#tos#t3#t3067063/I  -0.491 0.795  -0.646 0.795  -0.796 0.780  -0.690 0.759  -0.535 0.759  -0.379 0.759  -0.225 0.771  -0.073 0.806  0.077 0.844  0.219 0.904  0.374 0.912  0.522 0.957  0.670 1.004  0.794 1.085  0.922 1.113  0.776 1.108  0.623 1.079  0.470 1.050  0.317 1.022  0.270 0.905  0.125 0.894  0.125 0.738  0.089 0.591  0.089 0.435  0.061 0.283  0.048 0.129  0.017 -0.021  -0.000 -0.176  -0.020 -0.330  -0.047 -0.481  -0.062 -0.635  -0.102 -0.783  -0.151 -0.918  -0.292 -0.984  -0.433 -1.050  -0.575 -1.115  -0.720 -1.161  -0.794 -1.197  -0.638 -1.197  -0.502 -1.160  -0.385 -1.088  -0.242 -1.044  -0.099 -0.994  0.038 -0.948  0.152 -0.871  0.272 -0.835  0.352 -0.916  0.445 -1.016  0.488 -1.129  0.560 -1.233
1b#tos#t3#t3067063/P  0.112 0.985  0.065 0.944  0.071 0.732  0.071 0.514  0.030 0.303  -0.012 0.093  -0.021 -0.124  -0.048 -0.341  -0.053 -0.559  -0.084 -0.774  -0.125 -0.988  -0.136 -1.205  -0.136 -1.423  -0.177 -1.636  -0.177 -1.855  -0.217 -1.669  -0.260 -1.455  -0.303 -1.241  -0.346 -1.027  -0.388 -0.813  -0.431 -0.599  -0.474 -0.385  -0.517 -0.171  -0.559 0.042  -0.602 0.256  -0.645 0.470  -0.688 0.684  -0.730 0.898  -0.843 1.027  -0.782 0.944  -0.564 0.944  -0.346 0.944  -0.128 0.944  0.090 0.944  0.308 0.944  0.526 0.944  0.745 0.944  0.932 0.869  1.131 0.794  1.270 0.634  1.219 0.428  1.056 0.308  0.932 0.154  0.757 0.034  0.583 -0.074  0.382 -0.152  0.177 -0.214  -0.016 -0.297  -0.224 -0.338  -0.425 -0.380
1b#tos#t3#t3067063/R  -0.255 0.801  -0.409 0.891  -0.389 0.781  -0.389 0.538  -0.389 0.294  -0.405 0.053  -0.450 -0.186  -0.492 -0.426  -0.543 -0.664  -0.568 -0.904  -0.617 -1.127  -0.703 -1.346  -0.672 -1.195  -0.635 -0.955  -0.598 -0.714  -0.561 -0.474  -0.525 -0.233  -0.488 0.007  -0.451 0.247  -0.414 0.488  -0.377 0.728  -0.378 0.936  -0.426 0.936  -0.183 0.936  0.061 0.936  0.304 0.936  0.547 0.936  0.780 0.980  1.023 0.980  1.266 0.980  1.476 0.966  1.390 0.754  1.172 0.663  1.024 0.476  0.809 0.366  0.604 0.255  0.407 0.166  0.211 0.028  -0.014 -0.049  -0.230 -0.138  -0.469 -0.165  -0.427 -0.272  -0.313 -0.426  -0.143 -0.552  0.035 -0.695  0.170 -0.875  0.277 -1.092  0.377 -1.308  0.477 -1.512  0.505 -1.749
1b#tos#t3#t3067063/U  -0.420 1.281  -0.500 1.317  -0.538 1.205  -0.538 1.083  -0.538 0.962  -0.539 0.841  -0.559 0.721  -0.578 0.602  -0.578 0.480  -0.578 0.359  -0.578 0.238  -0.578 0.116  -0.578 -0.005  -0.578 -0.126  -0.578 -0.247  -0.578 -0.369  -0.578 -0.490  -0.578 -0.611  -0.578 -0.732  -0.574 -0.853  -0.538 -0.969  -0.532 -1.088  -0.464 -1.189  -0.363 -1.235  -0.242 -1.235  -0.121 -1.235  -0.045 -1.172  0.018 -1.072  0.084 -0.973  0.150 -0.871  0.218 -0.770  0.278 -0.665  0.335 -0.559  0.415 -0.469  0.469 -0.360  0.512 -0.247  0.561 -0.137  0.619 -0.030  0.683 0.072  0.712 0.190  0.720 0.310  0.744 0.426  0.799 0.534  0.866 0.635  0.877 0.753  0.877 0.874  0.877 0.995  0.877 1.117  0.877 1.238  0.877 1.359
1b#tos#t3#t3067063/V  -0.595 0.292  -0.692 0.389  -0.789 0.487  -0.801 0.619  -0.801 0.757  -0.801 0.895  -0.843 0.916  -0.748 0.863  -0.706 0.734  -0.654 0.611  -0.600 0.487  -0.540 0.365  -0.507 0.231  -0.474 0.098  -0.429 -0.030  -0.427 -0.167  -0.366 -0.290  -0.347 -0.423  -0.347 -0.561  -0.264 -0.664  -0.259 -0.802  -0.226 -0.935  -0.222 -1.072  -0.181 -1.193  -0.174 -1.328  -0.134 -1.445  -0.057 -1.384  -0.042 -1.250  0.003 -1.121  0.026 -0.986  0.071 -0.859  0.132 -0.736  0.194 -0.613  0.265 -0.495  0.330 -0.374  0.381 -0.246  0.416 -0.114  0.451 0.018  0.537 0.125  0.614 0.238  0.658 0.368  0.707 0.496  0.768 0.620  0.830 0.743  0.901 0.860  0.989 0.965  1.062 1.080  1.159 1.177  1.225 1.288  1.308 1.367
1b#tos#t3#t3067063/Y  -0.833 0.472  -0.873 0.517  -0.794 0.415  -0.778 0.266  -0.711 0.131  -0.598 0.039  -0.519 -0.063  -0.434 -0.163  -0.327 -0.270  -0.240 -0.265  -0.142 -0.150  -0.044 -0.035  0.054 0.081  0.152 0.196  0.250 0.311  0.348 0.426  0.446 0.542  0.544 0.657  0.642 0.772  0.740 0.887  0.838 1.003  0.935 1.118  1.033 1.233  1.016 1.180  0.953 1.078  0.846 0.971  0.790 0.846  0.687 0.745  0.598 0.637  0.479 0.551  0.379 0.441  0.268 0.341  0.173 0.225  0.062 0.129  -0.018 0.014  -0.151 -0.057  -0.254 -0.158  -0.296 -0.303  -0.373 -0.419  -0.401 -0.554  -0.401 -0.705  -0.401 -0.856  -0.401 -1.007  -0.401 -1.159  -0.401 -1.310  -0.440 -1.455  -0.476 -1.602  -0.489 -1.750  -0.519 -1.895  -0.519 -2.046
