3#app#app25#app2584/A  -1.638 -0.985  -1.500 -0.848  -1.362 -0.710  -1.197 -0.639  -1.118 -0.523  -1.021 -0.369  -0.945 -0.206  -0.848 -0.071  -0.674 0.016  -0.521 0.132  -0.371 0.254  -0.197 0.341  -0.035 0.444  0.099 0.584  0.186 0.758  0.282 0.919  0.466 0.945  0.603 1.083  0.741 1.220  0.878 1.358  0.959 1.357  0.959 1.162  0.959 0.968  0.959 0.773  0.959 0.578  0.825 0.439  0.786 0.261  0.786 0.066  0.779 -0.126  0.642 -0.264  0.613 -0.446  0.611 -0.640  0.474 -0.778  0.439 -0.959  0.439 -1.153  0.285 -1.048  0.127 -0.935  -0.032 -0.822  -0.190 -0.709  -0.348 -0.596  -0.507 -0.483  -0.665 -0.369  -0.744 -0.236  -0.657 -0.062  -0.534 0.053  -0.339 0.053  -0.145 0.053  0.050 0.053  0.245 0.053  0.439 0.053
3#app#app25#app2584/c  1.710 0.683  1.596 0.683  1.483 0.683  1.369 0.683  1.256 0.683  1.143 0.683  1.029 0.683  0.916 0.683  0.802 0.683  0.689 0.683  0.576 0.683  0.462 0.683  0.349 0.683  0.235 0.683  0.122 0.683  0.009 0.683  -0.105 0.683  -0.186 0.604  -0.266 0.524  -0.346 0.444  -0.451 0.424  -0.564 0.424  -0.626 0.372  -0.626 0.258  -0.645 0.164  -0.759 0.164  -0.872 0.164  -0.885 0.064  -0.885 -0.049  -0.885 -0.163  -0.885 -0.276  -0.885 -0.390  -0.885 -0.503  -0.883 -0.614  -0.770 -0.614  -0.657 -0.614  -0.626 -0.697  -0.626 -0.811  -0.576 -0.874  -0.462 -0.874  -0.349 -0.874  -0.236 -0.874  -0.122 -0.874  -0.009 -0.874  0.105 -0.874  0.218 -0.874  0.331 -0.874  0.445 -0.874  0.558 -0.874  0.672 -0.874
3#app#app25#app2584/q  1.002 1.030  0.781 1.141  0.545 1.188  0.298 1.188  0.099 1.072  -0.131 1.030  -0.258 0.910  -0.453 0.836  -0.574 0.639  -0.574 0.392  -0.574 0.144  -0.386 0.085  -0.139 0.085  0.108 0.085  0.214 0.226  0.424 0.294  0.529 0.498  0.708 0.579  0.844 0.769  0.844 1.016  0.844 0.797  0.837 0.558  0.590 0.558  0.529 0.686  0.410 0.558  0.224 0.410  0.139 0.242  -0.060 0.126  -0.235 -0.049  -0.409 -0.224  -0.473 -0.445  -0.648 -0.619  -0.822 -0.794  -0.889 -1.014  -1.046 -1.196  -1.046 -1.443  -1.005 -1.648  -0.796 -1.555  -0.576 -1.491  -0.354 -1.429  -0.258 -1.221  -0.070 -1.144  0.057 -0.950  0.214 -0.860  0.372 -0.678  0.372 -0.431  0.372 -0.184  0.372 0.063  0.146 0.085  -0.101 0.085
3#app#app25#app2584/u  0.146 1.105  0.146 1.309  -0.009 1.358  -0.213 1.358  -0.361 1.302  -0.361 1.098  -0.361 0.894  -0.523 0.852  -0.614 0.739  -0.678 0.599  -0.867 0.584  -0.867 0.380  -1.036 0.346  -1.120 0.225  -1.120 0.021  -1.120 -0.182  -1.120 -0.386  -1.120 -0.590  -0.992 -0.667  -0.867 -0.745  -0.837 -0.920  -0.633 -0.920  -0.483 -0.789  -0.339 -0.645  -0.195 -0.501  -0.027 -0.413  0.177 -0.413  0.381 -0.413  0.399 -0.228  0.535 -0.160  0.714 -0.098  0.858 0.046  0.905 0.230  0.993 0.346  1.158 0.385  1.158 0.589  1.158 0.405  1.055 0.243  0.911 0.099  0.767 -0.045  0.611 -0.160  0.407 -0.160  0.399 -0.356  0.295 -0.517  0.151 -0.661  0.146 -0.863  0.293 -0.920  0.497 -0.920  0.701 -0.920  0.905 -0.920
3#app#app25#app2584/i  -0.120 0.336  -0.120 0.213  -0.177 0.146  -0.301 0.146  -0.310 0.032  -0.358 -0.044  -0.482 -0.044  -0.501 -0.149  -0.501 -0.273  -0.501 -0.396  -0.596 -0.424  -0.691 -0.454  -0.691 -0.577  -0.691 -0.701  -0.691 -0.824  -0.691 -0.948  -0.636 -1.049  -0.549 -1.137  -0.445 -1.185  -0.322 -1.185  -0.198 -1.185  -0.088 -1.153  -0.000 -1.065  0.094 -0.995  0.218 -0.995  0.266 -0.914  0.274 -0.790  0.282 -0.667  0.290 -0.544  0.298 -0.420  0.307 -0.297  0.315 -0.174  0.323 -0.050  0.331 0.073  0.340 0.197  0.348 0.320  0.356 0.443  0.364 0.567  0.373 0.690  0.381 0.813  0.389 0.937  0.397 1.060  0.405 1.184  0.414 1.307  0.422 1.430  0.430 1.554  0.438 1.677  0.447 1.801  0.517 1.858  0.641 1.858
3#app#app25#app2584/r  1.280 1.495  1.280 1.331  1.190 1.256  1.026 1.256  0.862 1.256  0.802 1.152  0.773 1.017  0.609 1.017  0.563 0.899  0.520 0.778  0.355 0.778  0.324 0.645  0.283 0.498  0.167 0.382  0.085 0.252  0.085 0.088  -0.052 0.061  -0.198 0.017  -0.314 -0.099  -0.430 -0.215  -0.546 -0.331  -0.632 -0.460  -0.632 -0.624  -0.632 -0.788  -0.689 -0.894  -0.854 -0.894  -0.871 -1.042  -0.943 -1.133  -1.107 -1.133  -1.109 -0.972  -1.109 -0.807  -1.097 -0.655  -0.933 -0.655  -0.799 -0.584  -0.683 -0.468  -0.540 -0.417  -0.376 -0.417  -0.212 -0.417  -0.154 -0.310  -0.122 -0.178  0.042 -0.178  0.085 -0.057  0.131 0.061  0.295 0.061  0.459 0.061  0.623 0.061  0.787 0.061  0.802 -0.088  0.802 -0.252  0.802 -0.417
3#app#app25#app2584/e  0.019 0.276  0.164 0.276  0.308 0.276  0.453 0.276  0.596 0.279  0.698 0.381  0.807 0.467  0.952 0.467  0.974 0.588  0.974 0.733  0.945 0.849  0.801 0.849  0.783 0.975  0.703 1.040  0.558 1.040  0.414 1.040  0.269 1.040  0.150 0.979  0.048 0.877  -0.085 0.849  -0.213 0.808  -0.315 0.706  -0.363 0.581  -0.393 0.467  -0.537 0.467  -0.644 0.376  -0.746 0.274  -0.849 0.172  -0.936 0.063  -0.936 -0.081  -0.936 -0.226  -0.936 -0.370  -0.936 -0.515  -0.936 -0.659  -0.811 -0.679  -0.745 -0.757  -0.713 -0.870  -0.569 -0.870  -0.554 -1.000  -0.471 -1.061  -0.326 -1.061  -0.182 -1.061  -0.037 -1.061  0.107 -1.061  0.252 -1.061  0.396 -1.061  0.541 -1.061  0.685 -1.061  0.783 -1.015  0.783 -0.870
3#app#app25#app2584/2  -0.103 1.391  0.046 1.391  0.195 1.391  0.203 1.532  0.340 1.544  0.489 1.544  0.509 1.415  0.634 1.391  0.662 1.270  0.662 1.121  0.662 0.972  0.662 0.823  0.662 0.674  0.662 0.525  0.593 0.405  0.509 0.291  0.509 0.142  0.487 0.015  0.343 0.002  0.238 -0.103  0.132 -0.209  0.027 -0.314  -0.078 -0.419  -0.184 -0.524  -0.303 -0.597  -0.439 -0.627  -0.544 -0.732  -0.686 -0.750  -0.835 -0.750  -0.984 -0.750  -1.133 -0.750  -1.173 -0.641  -1.069 -0.597  -0.949 -0.526  -0.834 -0.444  -0.685 -0.444  -0.536 -0.444  -0.409 -0.422  -0.391 -0.291  -0.256 -0.304  -0.246 -0.444  -0.103 -0.449  -0.101 -0.597  0.047 -0.597  0.154 -0.700  0.259 -0.806  0.368 -0.903  0.517 -0.903  0.666 -0.903  0.814 -0.903
3#app#app25#app2584/%  0.136 1.070  -0.092 1.070  -0.243 0.992  -0.422 0.943  -0.524 0.817  -0.748 0.813  -0.643 0.690  -0.415 0.690  -0.186 0.690  -0.005 0.803  0.218 0.817  0.319 0.943  0.548 0.943  0.776 0.943  1.004 0.943  1.232 0.943  1.273 0.756  1.237 0.564  1.135 0.438  0.907 0.438  0.805 0.311  0.629 0.185  0.434 0.104  0.262 0.021  0.123 -0.068  -0.071 -0.149  -0.270 -0.221  -0.457 -0.320  -0.685 -0.320  -0.865 -0.437  -0.963 -0.573  -1.138 -0.699  -1.254 -0.812  -1.293 -0.810  -1.069 -0.769  -0.844 -0.728  -0.620 -0.687  -0.395 -0.647  -0.171 -0.606  -0.022 -0.605  -0.117 -0.794  -0.243 -0.895  -0.198 -1.078  0.030 -1.078  0.136 -0.956  0.360 -0.952  0.589 -0.952  0.641 -0.777  0.641 -0.549  0.515 -0.447
3#app#app25#app2584/M  -1.522 -1.066  -1.522 -0.863  -1.407 -0.706  -1.303 -0.606  -1.155 -0.470  -1.061 -0.305  -0.948 -0.148  -0.831 0.008  -0.741 0.174  -0.601 0.320  -0.534 0.496  -0.465 0.660  -0.294 0.737  -0.220 0.890  -0.141 0.996  -0.141 0.792  -0.141 0.588  -0.173 0.397  -0.256 0.228  -0.256 0.024  -0.361 -0.136  -0.371 -0.336  -0.371 -0.540  -0.371 -0.744  -0.371 -0.948  -0.486 -1.037  -0.363 -0.943  -0.256 -0.783  -0.156 -0.621  -0.017 -0.473  0.075 -0.291  0.205 -0.138  0.273 0.038  0.417 0.182  0.561 0.326  0.665 0.487  0.768 0.648  0.895 0.732  1.056 0.775  1.240 0.795  1.349 0.890  1.355 0.692  1.315 0.505  1.171 0.361  1.115 0.178  1.023 -0.004  0.895 -0.157  0.895 -0.361  0.780 -0.517  0.780 -0.721
3#app#app25#app2584/I  0.621 1.554  0.621 1.481  0.621 1.407  0.621 1.334  0.621 1.261  0.621 1.188  0.621 1.115  0.621 1.042  0.621 0.969  0.621 0.896  0.600 0.831  0.549 0.780  0.497 0.728  0.445 0.676  0.394 0.624  0.342 0.573  0.290 0.521  0.239 0.469  0.187 0.418  0.153 0.359  0.153 0.286  0.153 0.213  0.148 0.141  0.116 0.075  0.083 0.010  0.050 -0.056  0.018 -0.121  -0.015 -0.186  -0.048 -0.252  -0.080 -0.317  -0.132 -0.369  -0.184 -0.421  -0.235 -0.472  -0.287 -0.524  -0.339 -0.576  -0.390 -0.627  -0.442 -0.679  -0.494 -0.731  -0.545 -0.783  -0.549 -0.854  -0.549 -0.927  -0.549 -1.000  -0.587 -1.058  -0.638 -1.109  -0.690 -1.161  -0.742 -1.213  -0.783 -1.269  -0.783 -1.342  -0.783 -1.415  -0.783 -1.488
3#app#app25#app2584/L  0.970 1.784  0.908 1.690  0.845 1.596  0.782 1.502  0.719 1.408  0.656 1.313  0.589 1.223  0.509 1.143  0.429 1.063  0.349 0.983  0.269 0.903  0.189 0.823  0.109 0.743  0.029 0.662  -0.051 0.582  -0.112 0.495  -0.112 0.381  -0.112 0.268  -0.115 0.156  -0.165 0.054  -0.216 -0.047  -0.266 -0.148  -0.293 -0.255  -0.293 -0.368  -0.393 -0.381  -0.507 -0.381  -0.620 -0.381  -0.653 -0.460  -0.666 -0.561  -0.779 -0.561  -0.834 -0.619  -0.834 -0.733  -0.834 -0.846  -0.797 -0.922  -0.684 -0.922  -0.571 -0.922  -0.457 -0.922  -0.344 -0.922  -0.231 -0.922  -0.118 -0.922  -0.036 -0.846  0.044 -0.766  0.124 -0.686  0.204 -0.606  0.299 -0.561  0.412 -0.561  0.525 -0.561  0.630 -0.582  0.710 -0.662  0.790 -0.742
3#app#app25#app2584/K  0.157 1.567  0.081 1.341  0.023 1.112  -0.090 0.920  -0.164 0.712  -0.243 0.506  -0.377 0.323  -0.388 0.089  -0.510 -0.099  -0.631 -0.288  -0.777 -0.388  -0.911 -0.571  -0.911 -0.810  -0.991 -0.968  -1.081 -1.138  -1.178 -1.337  -1.122 -1.188  -0.940 -1.033  -0.758 -0.878  -0.576 -0.724  -0.394 -0.569  -0.213 -0.415  -0.031 -0.260  0.151 -0.106  0.333 0.049  0.515 0.203  0.697 0.358  0.878 0.513  1.060 0.667  1.242 0.822  1.424 0.976  1.341 1.034  1.224 0.912  1.025 0.834  0.856 0.665  0.648 0.591  0.447 0.500  0.272 0.348  0.081 0.233  -0.105 0.104  -0.341 0.099  -0.496 -0.034  -0.257 -0.034  -0.074 -0.168  0.023 -0.309  0.023 -0.547  0.023 -0.786  0.157 -0.891  0.319 -0.968  0.557 -0.968
3#app#app25#app2584/f  1.675 1.090  1.522 1.090  1.369 1.090  1.216 1.090  1.064 1.090  0.911 1.090  0.895 0.952  0.800 0.895  0.647 0.895  0.505 0.884  0.505 0.731  0.384 0.700  0.310 0.620  0.273 0.505  0.120 0.505  0.115 0.357  0.115 0.204  0.051 0.115  -0.080 0.093  -0.080 -0.060  -0.080 -0.213  -0.080 -0.365  -0.080 -0.518  -0.080 -0.671  -0.080 -0.824  -0.196 -0.860  -0.275 -0.935  -0.298 -1.078  -0.406 -1.186  -0.532 -1.250  -0.685 -1.250  -0.838 -1.250  -0.860 -1.119  -0.860 -0.966  -0.860 -0.813  -0.860 -0.660  -0.860 -0.507  -0.860 -0.355  -0.860 -0.202  -0.860 -0.049  -0.860 0.104  -0.718 0.115  -0.565 0.115  -0.412 0.115  -0.259 0.115  -0.106 0.115  0.047 0.115  0.200 0.115  0.352 0.115  0.505 0.115
3#app#app25#app2584/o  1.000 0.882  0.842 0.882  0.684 0.882  0.526 0.882  0.368 0.882  0.209 0.882  0.051 0.882  -0.107 0.882  -0.241 0.824  -0.353 0.712  -0.464 0.600  -0.576 0.488  -0.577 0.330  -0.577 0.172  -0.656 0.094  -0.814 0.094  -0.971 0.092  -0.971 -0.066  -0.971 -0.224  -0.971 -0.382  -0.971 -0.541  -0.971 -0.699  -0.971 -0.857  -0.971 -1.015  -0.887 -1.089  -0.729 -1.089  -0.570 -1.089  -0.412 -1.089  -0.254 -1.089  -0.096 -1.089  0.062 -1.089  0.212 -1.080  0.212 -0.922  0.212 -0.764  0.275 -0.632  0.386 -0.520  0.498 -0.408  0.610 -0.296  0.722 -0.185  0.834 -0.073  0.946 0.039  1.000 0.175  1.000 0.333  0.998 0.490  0.886 0.602  0.775 0.714  0.663 0.825  0.528 0.882  0.370 0.882  0.212 0.882
3#app#app25#app2584/r  1.108 1.210  0.923 1.210  0.738 1.210  0.588 1.175  0.588 0.991  0.588 0.806  0.519 0.690  0.334 0.690  0.149 0.690  0.068 0.586  0.068 0.402  0.068 0.217  -0.070 0.170  -0.237 0.125  -0.367 -0.005  -0.498 -0.136  -0.629 -0.267  -0.713 -0.417  -0.713 -0.602  -0.713 -0.786  -0.813 -0.871  -0.998 -0.871  -1.183 -0.871  -1.233 -1.006  -1.233 -1.071  -1.233 -0.886  -1.063 -0.871  -0.973 -0.776  -0.954 -0.611  -0.769 -0.611  -0.584 -0.611  -0.453 -0.557  -0.453 -0.372  -0.289 -0.351  -0.192 -0.263  -0.180 -0.090  0.005 -0.090  0.190 -0.090  0.328 -0.043  0.328 0.142  0.484 0.170  0.588 0.251  0.594 0.430  0.779 0.430  0.964 0.430  1.108 0.389  1.108 0.204  1.258 0.170  1.443 0.170  1.628 0.170
