2#app#app13#app1308/A  -0.149 0.873  -0.165 0.608  -0.273 0.382  -0.286 0.116  -0.397 -0.109  -0.397 -0.380  -0.510 -0.605  -0.563 -0.865  -0.645 -1.123  -0.679 -1.360  -0.769 -1.427  -0.769 -1.156  -0.769 -0.884  -0.768 -0.614  -0.645 -0.393  -0.535 -0.148  -0.521 0.120  -0.397 0.340  -0.348 0.599  -0.227 0.842  -0.149 1.095  -0.003 1.311  0.083 1.569  0.099 1.837  0.223 1.746  0.347 1.526  0.347 1.255  0.347 0.984  0.347 0.713  0.347 0.441  0.405 0.194  0.471 -0.050  0.471 -0.321  0.471 -0.592  0.471 -0.863  0.595 -1.083  0.595 -1.354  0.712 -1.468  0.597 -1.222  0.482 -0.976  0.368 -0.731  0.253 -0.485  0.138 -0.239  0.024 0.007  -0.091 0.253  -0.139 0.253  0.132 0.253  0.404 0.253  0.623 0.377  0.843 0.501
2#app#app13#app1308/Q  -0.450 1.069  -0.544 0.954  -0.617 0.787  -0.680 0.604  -0.780 0.494  -0.795 0.300  -0.836 0.108  -0.910 -0.071  -0.910 -0.280  -0.910 -0.489  -0.798 -0.652  -0.795 -0.860  -0.631 -0.934  -0.483 -1.082  -0.288 -1.115  -0.086 -1.096  0.083 -1.000  0.240 -0.947  0.371 -0.819  0.514 -0.681  0.621 -0.504  0.699 -0.327  0.754 -0.140  0.814 0.044  0.814 0.253  0.814 0.462  0.814 0.672  0.814 0.881  0.799 1.084  0.651 1.232  0.503 1.380  0.308 1.414  0.106 1.396  -0.042 1.248  -0.219 1.180  -0.172 0.976  -0.125 0.772  -0.078 0.568  -0.031 0.364  0.016 0.160  0.063 -0.043  0.110 -0.247  0.010 -0.340  0.125 -0.434  0.125 -0.643  0.125 -0.853  0.125 -1.062  0.166 -1.230  0.240 -1.324  0.354 -1.230
2#app#app13#app1308/u  -0.934 0.909  -0.934 0.805  -0.934 0.702  -0.934 0.598  -0.934 0.495  -0.934 0.391  -0.934 0.288  -0.934 0.185  -0.934 0.081  -0.934 -0.022  -0.934 -0.126  -0.934 -0.229  -0.934 -0.333  -0.934 -0.436  -0.844 -0.450  -0.741 -0.450  -0.663 -0.475  -0.663 -0.578  -0.663 -0.682  -0.599 -0.721  -0.495 -0.721  -0.392 -0.721  -0.289 -0.721  -0.185 -0.721  -0.082 -0.721  0.022 -0.721  0.125 -0.721  0.206 -0.668  0.279 -0.594  0.353 -0.521  0.426 -0.448  0.499 -0.375  0.572 -0.302  0.645 -0.229  0.696 -0.146  0.696 -0.043  0.696 0.061  0.746 0.143  0.819 0.217  0.892 0.290  0.965 0.363  0.967 0.465  0.967 0.569  0.992 0.662  1.065 0.735  1.139 0.808  1.212 0.881  1.239 0.973  1.239 1.077  1.239 1.180
2#app#app13#app1308/i  -0.071 -0.382  0.031 -0.382  0.115 -0.401  0.115 -0.504  0.115 -0.606  0.115 -0.709  0.115 -0.811  0.115 -0.913  0.115 -1.016  0.115 -1.118  0.115 -1.220  0.115 -1.323  0.115 -1.425  0.113 -1.464  0.106 -1.362  0.100 -1.259  0.094 -1.157  0.087 -1.055  0.081 -0.953  0.074 -0.851  0.068 -0.749  0.062 -0.647  0.055 -0.544  0.049 -0.442  0.042 -0.340  0.036 -0.238  0.030 -0.136  0.023 -0.034  0.017 0.069  0.011 0.171  0.004 0.273  -0.002 0.375  -0.009 0.477  -0.015 0.579  -0.021 0.681  -0.028 0.784  -0.034 0.886  -0.041 0.988  -0.047 1.090  -0.053 1.192  -0.060 1.294  -0.066 1.397  -0.097 1.473  -0.199 1.473  -0.301 1.473  -0.404 1.473  -0.378 1.473  -0.276 1.473  -0.173 1.473  -0.071 1.473
2#app#app13#app1308/c  0.481 1.094  0.364 1.094  0.248 1.094  0.131 1.094  0.015 1.094  -0.102 1.094  -0.219 1.094  -0.294 1.053  -0.294 0.936  -0.375 0.900  -0.490 0.897  -0.573 0.815  -0.655 0.733  -0.682 0.627  -0.683 0.511  -0.766 0.428  -0.848 0.346  -0.876 0.241  -0.876 0.124  -0.876 0.007  -0.876 -0.109  -0.876 -0.226  -0.876 -0.342  -0.873 -0.457  -0.757 -0.457  -0.652 -0.486  -0.570 -0.569  -0.487 -0.651  -0.405 -0.734  -0.323 -0.816  -0.218 -0.844  -0.101 -0.844  0.016 -0.844  0.132 -0.844  0.249 -0.844  0.343 -0.789  0.425 -0.707  0.518 -0.651  0.635 -0.651  0.729 -0.596  0.812 -0.514  0.905 -0.457  1.021 -0.457  1.062 -0.381  1.062 -0.265  1.177 -0.263  1.256 -0.225  1.256 -0.109  1.333 -0.069  1.450 -0.069
2#app#app13#app1308/k  -0.541 1.738  -0.541 1.551  -0.541 1.365  -0.541 1.178  -0.541 0.991  -0.541 0.805  -0.541 0.618  -0.541 0.431  -0.661 0.294  -0.730 0.137  -0.730 -0.050  -0.730 -0.237  -0.787 -0.400  -0.919 -0.532  -0.919 -0.718  -0.919 -0.905  -0.919 -1.091  -0.799 -0.966  -0.675 -0.827  -0.550 -0.688  -0.425 -0.550  -0.300 -0.411  -0.175 -0.272  -0.050 -0.133  0.074 0.005  0.199 0.144  0.324 0.283  0.449 0.421  0.574 0.560  0.699 0.699  0.722 0.792  0.535 0.792  0.405 0.736  0.351 0.603  0.215 0.552  0.181 0.380  0.049 0.248  0.026 0.071  0.026 -0.116  0.132 -0.259  0.264 -0.391  0.396 -0.523  0.528 -0.655  0.687 -0.721  0.874 -0.721  1.060 -0.721  1.222 -0.781  1.355 -0.910  1.542 -0.910  1.728 -0.910
2#app#app13#app1308/B  -0.403 0.729  -0.403 0.517  -0.403 0.305  -0.403 0.093  -0.403 -0.119  -0.403 -0.332  -0.465 -0.518  -0.511 -0.711  -0.511 -0.923  -0.543 -1.104  -0.619 -0.968  -0.619 -0.756  -0.619 -0.544  -0.619 -0.332  -0.619 -0.120  -0.619 0.093  -0.568 0.293  -0.511 0.492  -0.511 0.704  -0.456 0.893  -0.382 1.075  -0.295 1.251  -0.188 1.419  -0.041 1.484  0.161 1.460  0.311 1.310  0.492 1.236  0.567 1.055  0.675 0.951  0.783 0.783  0.732 0.622  0.565 0.514  0.364 0.466  0.189 0.351  -0.002 0.298  -0.080 0.164  0.013 -0.010  0.163 -0.160  0.313 -0.310  0.464 -0.457  0.568 -0.566  0.736 -0.673  0.857 -0.820  0.891 -1.024  0.869 -1.223  0.679 -1.318  0.497 -1.391  0.300 -1.428  0.088 -1.428  -0.080 -1.320
2#app#app13#app1308/r  -0.458 0.165  -0.458 0.046  -0.458 -0.072  -0.458 -0.190  -0.458 -0.309  -0.458 -0.427  -0.458 -0.545  -0.458 -0.664  -0.458 -0.782  -0.458 -0.900  -0.458 -1.019  -0.458 -1.137  -0.458 -1.255  -0.458 -1.374  -0.458 -1.343  -0.458 -1.225  -0.458 -1.107  -0.458 -0.988  -0.363 -0.965  -0.244 -0.965  -0.232 -0.859  -0.232 -0.741  -0.232 -0.623  -0.232 -0.504  -0.232 -0.386  -0.218 -0.273  -0.135 -0.190  -0.051 -0.106  -0.006 -0.006  -0.006 0.112  -0.006 0.230  -0.006 0.349  0.028 0.459  0.081 0.565  0.134 0.671  0.187 0.777  0.264 0.843  0.382 0.843  0.446 0.898  0.446 1.016  0.511 1.069  0.630 1.069  0.672 1.145  0.672 1.263  0.759 1.295  0.877 1.295  0.995 1.295  1.114 1.295  1.124 1.187  1.124 1.069
2#app#app13#app1308/o  -0.628 -0.082  -0.628 -0.197  -0.654 -0.286  -0.769 -0.286  -0.832 -0.338  -0.832 -0.453  -0.832 -0.568  -0.832 -0.683  -0.832 -0.798  -0.832 -0.913  -0.832 -1.028  -0.789 -1.101  -0.674 -1.101  -0.559 -1.101  -0.444 -1.101  -0.329 -1.101  -0.216 -1.096  -0.135 -1.015  -0.053 -0.934  0.028 -0.852  0.109 -0.771  0.191 -0.690  0.272 -0.608  0.353 -0.527  0.391 -0.428  0.391 -0.313  0.453 -0.223  0.534 -0.142  0.595 -0.052  0.595 0.063  0.595 0.178  0.595 0.293  0.595 0.408  0.595 0.523  0.595 0.638  0.595 0.753  0.595 0.868  0.595 0.983  0.595 1.098  0.522 1.141  0.407 1.141  0.391 1.240  0.381 1.345  0.266 1.345  0.187 1.308  0.187 1.193  0.125 1.141  0.010 1.141  -0.017 1.052  -0.017 0.937
2#app#app13#app1308/w  -1.217 0.628  -1.217 0.503  -1.217 0.379  -1.217 0.254  -1.217 0.130  -1.217 0.005  -1.217 -0.119  -1.217 -0.244  -1.193 -0.358  -1.105 -0.446  -1.025 -0.537  -1.025 -0.662  -0.956 -0.718  -0.832 -0.718  -0.744 -0.630  -0.656 -0.542  -0.568 -0.453  -0.480 -0.365  -0.448 -0.254  -0.440 -0.133  -0.352 -0.045  -0.264 0.043  -0.176 0.131  -0.088 0.219  -0.064 0.333  -0.041 0.435  0.083 0.435  0.208 0.435  0.321 0.424  0.321 0.300  0.321 0.175  0.321 0.051  0.409 -0.037  0.497 -0.125  0.513 -0.243  0.547 -0.334  0.672 -0.334  0.770 -0.269  0.858 -0.181  0.966 -0.141  1.090 -0.141  1.090 -0.017  1.130 0.091  1.218 0.179  1.306 0.267  1.394 0.355  1.474 0.447  1.474 0.571  1.542 0.628  1.667 0.628
2#app#app13#app1308/n  -1.139 0.709  -1.139 0.582  -1.139 0.455  -1.139 0.328  -1.091 0.250  -0.964 0.250  -0.909 0.177  -0.909 0.051  -0.909 -0.076  -0.909 -0.203  -0.909 -0.330  -0.909 -0.456  -0.909 -0.583  -0.909 -0.710  -0.909 -0.836  -0.844 -0.897  -0.717 -0.897  -0.616 -0.834  -0.527 -0.744  -0.451 -0.649  -0.451 -0.522  -0.420 -0.408  -0.331 -0.318  -0.241 -0.229  -0.151 -0.139  -0.062 -0.050  0.028 0.040  0.118 0.130  0.207 0.219  0.297 0.309  0.386 0.398  0.467 0.492  0.467 0.619  0.504 0.709  0.631 0.709  0.757 0.709  0.884 0.709  1.011 0.709  1.138 0.709  1.155 0.599  1.155 0.473  1.155 0.346  1.155 0.219  1.155 0.092  1.155 -0.034  1.155 -0.161  1.155 -0.288  1.155 -0.414  1.155 -0.541  1.155 -0.668
