1d#tos#f3#f3011063/#  -0.572 0.285  -1.016 0.285  -1.212 0.086  -0.784 0.152  -0.409 0.261  0.030 0.324  0.399 0.526  0.833 0.551  1.249 0.617  1.177 0.492  0.783 0.288  0.389 0.085  -0.006 -0.119  -0.400 -0.322  -0.720 -0.601  -0.966 -0.970  -1.369 -1.014  -0.971 -0.976  -0.662 -0.800  -0.232 -0.702  0.132 -0.458  0.559 -0.345  0.969 -0.176  1.094 0.020  0.787 0.341  0.481 0.662  0.174 0.983  -0.132 1.304  -0.506 1.296  -0.506 0.853  -0.506 0.409  -0.506 -0.035  -0.506 -0.479  -0.506 -0.923  -0.485 -1.254  -0.330 -0.839  -0.174 -0.423  -0.018 -0.008  0.138 0.408  0.294 0.823  0.450 1.239  0.362 1.547  0.358 1.107  0.358 0.664  0.358 0.220  0.358 -0.224  0.358 -0.668  0.358 -1.112  0.424 -1.540  0.623 -1.840
1d#tos#f3#f3011063/$  0.367 0.522  0.611 0.531  0.858 0.673  0.823 0.839  0.537 0.850  0.250 0.850  0.046 0.705  -0.175 0.541  -0.444 0.440  -0.688 0.293  -0.911 0.193  -0.752 0.099  -0.504 0.006  -0.217 0.006  0.059 -0.041  0.307 -0.135  0.594 -0.135  0.827 -0.266  0.977 -0.472  0.977 -0.759  0.977 -1.046  0.717 -1.095  0.431 -1.118  0.144 -1.120  -0.143 -1.120  -0.420 -1.055  -0.665 -0.919  -0.623 -0.637  -0.548 -0.360  -0.474 -0.083  -0.399 0.194  -0.325 0.471  -0.250 0.748  -0.175 1.025  -0.101 1.303  -0.026 1.580  -0.149 1.724  -0.149 1.471  -0.149 1.184  -0.149 0.897  -0.149 0.610  -0.149 0.323  -0.149 0.036  -0.114 -0.249  -0.102 -0.535  -0.102 -0.822  -0.102 -1.109  -0.092 -1.394  -0.055 -1.677  -0.055 -1.964
1d#tos#f3#f3011063/%  -0.746 0.752  -0.746 0.730  -0.926 0.671  -0.962 0.440  -0.879 0.284  -0.676 0.320  -0.494 0.377  -0.350 0.504  -0.350 0.743  -0.574 0.788  -0.813 0.788  -0.802 0.807  -0.566 0.843  -0.330 0.878  -0.094 0.914  0.143 0.950  0.379 0.985  0.615 1.021  0.852 1.057  0.910 1.014  0.719 0.890  0.550 0.746  0.489 0.527  0.317 0.364  0.148 0.210  0.077 -0.009  -0.084 -0.185  -0.221 -0.379  -0.358 -0.574  -0.446 -0.795  -0.494 -1.026  -0.559 -1.225  -0.773 -1.332  -0.782 -1.296  -0.623 -1.182  -0.420 -1.056  -0.217 -0.930  -0.014 -0.804  0.189 -0.678  0.392 -0.552  0.595 -0.425  0.694 -0.342  0.622 -0.560  0.640 -0.795  0.820 -0.868  1.037 -0.814  1.162 -0.627  1.162 -0.388  0.983 -0.328  0.802 -0.436
1d#tos#f3#f3011063/(  0.559 1.446  0.483 1.421  0.407 1.396  0.382 1.337  0.302 1.337  0.230 1.329  0.196 1.282  0.120 1.278  0.120 1.198  0.090 1.126  0.045 1.060  -0.002 0.995  -0.045 0.932  -0.077 0.865  -0.121 0.800  -0.155 0.727  -0.155 0.647  -0.180 0.572  -0.210 0.499  -0.210 0.419  -0.210 0.339  -0.210 0.258  -0.210 0.178  -0.210 0.098  -0.210 0.017  -0.210 -0.063  -0.210 -0.143  -0.264 -0.201  -0.265 -0.281  -0.265 -0.361  -0.245 -0.422  -0.210 -0.467  -0.210 -0.547  -0.210 -0.628  -0.202 -0.704  -0.155 -0.765  -0.137 -0.842  -0.101 -0.913  -0.100 -0.993  -0.052 -1.026  0.007 -1.078  0.063 -1.134  0.120 -1.191  0.156 -1.263  0.175 -1.339  0.183 -1.411  0.264 -1.411  0.344 -1.411  0.395 -1.440  0.395 -1.521
1d#tos#f3#f3011063/)  -0.474 1.264  -0.555 1.237  -0.583 1.261  -0.494 1.264  -0.402 1.264  -0.310 1.264  -0.310 1.172  -0.235 1.154  -0.160 1.114  -0.091 1.083  -0.037 1.045  0.056 1.045  0.073 0.971  0.073 0.879  0.113 0.826  0.128 0.749  0.187 0.717  0.237 0.675  0.237 0.583  0.293 0.525  0.347 0.466  0.347 0.374  0.347 0.282  0.347 0.190  0.347 0.098  0.347 0.006  0.347 -0.086  0.347 -0.178  0.347 -0.270  0.347 -0.362  0.337 -0.452  0.296 -0.534  0.292 -0.625  0.292 -0.718  0.248 -0.782  0.183 -0.834  0.181 -0.925  0.089 -0.925  0.073 -1.001  0.015 -1.034  -0.055 -1.071  -0.102 -1.144  -0.146 -1.192  -0.176 -1.253  -0.268 -1.253  -0.361 -1.253  -0.427 -1.315  -0.492 -1.380  -0.557 -1.445  -0.638 -1.472
1d#tos#f3#f3011063/*  0.223 1.481  -0.028 1.420  0.097 1.149  0.097 0.838  0.097 0.526  0.097 0.214  0.223 -0.045  0.223 -0.357  0.223 -0.669  0.234 -0.969  0.286 -1.229  0.217 -1.472  0.054 -1.240  -0.077 -0.957  -0.207 -0.674  -0.337 -0.391  -0.467 -0.107  -0.597 0.176  -0.727 0.459  -0.857 0.742  -1.098 0.852  -1.348 0.915  -1.305 0.747  -1.154 0.514  -0.897 0.339  -0.708 0.095  -0.427 -0.034  -0.213 -0.238  0.070 -0.365  0.318 -0.551  0.537 -0.753  0.679 -0.839  0.752 -0.536  0.826 -0.233  0.899 0.070  0.973 0.373  1.046 0.676  1.120 0.978  1.047 1.167  0.977 0.925  0.735 0.736  0.568 0.490  0.373 0.249  0.189 0.002  -0.031 -0.218  -0.136 -0.501  -0.368 -0.635  -0.569 -0.838  -0.719 -1.061  -0.908 -1.221
1d#tos#f3#f3011063/  -0.913 0.076  -0.992 0.076  -1.071 0.076  -1.150 0.076  -1.228 0.076  -1.237 0.006  -1.237 -0.073  -1.271 -0.118  -1.349 -0.118  -1.305 -0.118  -1.226 -0.118  -1.147 -0.118  -1.068 -0.118  -0.989 -0.118  -0.911 -0.118  -0.832 -0.118  -0.753 -0.118  -0.674 -0.118  -0.596 -0.118  -0.517 -0.118  -0.439 -0.112  -0.362 -0.093  -0.286 -0.074  -0.210 -0.055  -0.133 -0.036  -0.057 -0.017  0.020 0.002  0.097 0.012  0.176 0.012  0.255 0.012  0.334 0.012  0.411 0.022  0.485 0.046  0.560 0.071  0.638 0.076  0.717 0.076  0.796 0.076  0.874 0.076  0.953 0.076  1.032 0.076  1.111 0.076  1.189 0.076  1.268 0.076  1.347 0.076  1.426 0.076  1.505 0.076  1.579 0.093  1.650 0.128  1.726 0.141  1.804 0.141
1d#tos#f3#f3011063/.  -0.144 1.096  0.189 1.096  0.522 1.096  0.827 1.030  1.062 0.794  1.213 0.524  1.213 0.191  1.213 -0.142  0.998 -0.261  0.760 -0.356  0.760 -0.689  0.452 -0.713  0.174 -0.580  -0.061 -0.344  -0.144 -0.046  -0.240 0.191  -0.573 0.191  -0.597 0.501  -0.597 0.834  -0.526 1.096  -0.193 1.096  0.140 1.096  0.308 0.932  0.308 0.599  0.308 0.266  0.308 -0.067  0.169 -0.261  -0.164 -0.261  -0.497 -0.261  -0.830 -0.261  -1.163 -0.261  -1.496 -0.261  -1.502 0.066  -1.294 0.191  -0.961 0.191  -0.628 0.191  -0.295 0.191  0.038 0.191  0.371 0.191  0.704 0.191  0.760 -0.085  0.760 -0.418  0.722 -0.713  0.389 -0.713  0.056 -0.713  -0.203 -0.832  -0.352 -1.129  -0.501 -1.427  -0.716 -1.618  -1.049 -1.618
1d#tos#f3#f3011063/;  0.136 1.215  0.136 1.082  0.112 0.958  0.001 0.905  -0.116 0.866  -0.249 0.866  -0.382 0.866  -0.388 0.993  -0.388 1.126  -0.368 1.255  -0.282 1.331  -0.149 1.331  -0.016 1.331  0.096 1.296  0.136 1.172  0.136 1.039  0.118 0.924  -0.015 0.924  -0.085 0.874  -0.055 0.744  -0.025 0.614  0.005 0.485  0.035 0.355  0.065 0.225  0.094 0.095  0.124 -0.034  0.154 -0.164  0.184 -0.294  0.214 -0.423  0.244 -0.553  0.214 -0.647  0.081 -0.647  0.078 -0.777  0.078 -0.910  0.078 -1.043  0.033 -1.158  -0.037 -1.229  -0.170 -1.229  -0.213 -1.139  -0.213 -1.006  -0.114 -0.938  -0.013 -0.886  0.081 -0.822  0.136 -0.899  0.136 -1.032  0.136 -1.166  0.136 -1.299  0.116 -1.424  0.022 -1.518  -0.039 -1.636
1d#tos#f3#f3011063/=  -0.872 0.914  -1.040 0.894  -1.164 0.770  -1.148 0.765  -0.972 0.765  -0.809 0.723  -0.662 0.625  -0.489 0.616  -0.313 0.616  -0.137 0.616  0.039 0.616  0.215 0.616  0.391 0.616  0.567 0.616  0.743 0.616  0.919 0.616  1.095 0.616  1.271 0.616  1.278 0.576  1.120 0.498  0.963 0.419  0.805 0.340  0.648 0.261  0.490 0.183  0.333 0.104  0.175 0.025  0.018 -0.054  -0.140 -0.132  -0.297 -0.211  -0.454 -0.290  -0.612 -0.369  -0.769 -0.447  -0.933 -0.498  -1.095 -0.513  -1.095 -0.689  -1.100 -0.721  -0.924 -0.721  -0.747 -0.721  -0.571 -0.721  -0.395 -0.721  -0.219 -0.721  -0.046 -0.753  0.126 -0.787  0.301 -0.796  0.478 -0.796  0.654 -0.796  0.830 -0.796  1.006 -0.796  1.182 -0.796  1.358 -0.796
1d#tos#f3#f3011063/>  -0.478 1.368  -0.583 1.368  -0.664 1.344  -0.606 1.287  -0.573 1.187  -0.483 1.137  -0.433 1.045  -0.341 0.997  -0.247 0.950  -0.153 0.903  -0.078 0.828  0.011 0.774  0.034 0.684  0.122 0.647  0.223 0.620  0.267 0.533  0.354 0.477  0.445 0.423  0.529 0.361  0.627 0.343  0.705 0.278  0.796 0.242  0.872 0.184  0.904 0.128  0.839 0.064  0.734 0.064  0.733 -0.040  0.663 -0.076  0.562 -0.091  0.474 -0.148  0.400 -0.222  0.338 -0.305  0.282 -0.394  0.217 -0.476  0.151 -0.558  0.067 -0.618  0.004 -0.695  -0.043 -0.789  -0.126 -0.843  -0.219 -0.887  -0.293 -0.961  -0.393 -0.994  -0.452 -1.068  -0.499 -1.155  -0.597 -1.194  -0.694 -1.233  -0.740 -1.315  -0.829 -1.369  -0.932 -1.379  -0.897 -1.426
