1b#apb#apb14#app1425/E  1.174 1.078  0.989 1.078  0.773 1.093  0.558 1.116  0.344 1.149  0.128 1.172  -0.082 1.220  -0.279 1.305  -0.456 1.430  -0.515 1.281  -0.547 1.067  -0.587 0.854  -0.632 0.642  -0.683 0.431  -0.736 0.221  -0.777 0.008  -0.820 -0.204  -0.872 -0.414  -0.899 -0.627  -0.794 -0.805  -0.594 -0.876  -0.381 -0.916  -0.165 -0.901  0.051 -0.893  0.268 -0.886  0.483 -0.868  0.700 -0.863  0.913 -0.857  1.109 -0.870  0.939 -0.832  0.734 -0.761  0.529 -0.691  0.324 -0.621  0.119 -0.551  -0.086 -0.481  -0.291 -0.411  -0.496 -0.341  -0.701 -0.270  -0.906 -0.200  -0.868 -0.086  -0.669 0.002  -0.453 0.003  -0.236 0.003  -0.019 0.003  0.197 0.003  0.414 0.003  0.631 0.003  0.848 0.003  1.064 0.003  1.251 0.054
1b#apb#apb14#app1425/C  0.279 0.663  0.298 0.694  0.276 0.559  0.257 0.425  0.252 0.289  0.275 0.158  0.376 0.231  0.446 0.348  0.513 0.466  0.549 0.592  0.549 0.729  0.530 0.863  0.504 0.996  0.422 1.095  0.304 1.163  0.180 1.186  0.052 1.139  -0.075 1.092  -0.187 1.014  -0.299 0.937  -0.411 0.859  -0.488 0.749  -0.562 0.634  -0.636 0.520  -0.703 0.402  -0.767 0.282  -0.832 0.161  -0.883 0.038  -0.896 -0.098  -0.906 -0.234  -0.886 -0.368  -0.865 -0.503  -0.816 -0.625  -0.733 -0.733  -0.645 -0.835  -0.536 -0.917  -0.423 -0.991  -0.293 -1.034  -0.164 -1.077  -0.030 -1.090  0.106 -1.090  0.242 -1.090  0.378 -1.079  0.513 -1.066  0.644 -1.031  0.773 -0.988  0.899 -0.936  1.025 -0.884  1.143 -0.820  1.250 -0.793
1b#apb#apb14#app1425/R  -1.366 0.780  -1.267 0.643  -1.139 0.531  -1.023 0.407  -0.907 0.283  -0.805 0.148  -0.715 0.003  -0.627 -0.142  -0.551 -0.294  -0.483 -0.450  -0.432 -0.612  -0.413 -0.693  -0.446 -0.526  -0.478 -0.359  -0.510 -0.192  -0.543 -0.025  -0.575 0.142  -0.607 0.309  -0.639 0.476  -0.652 0.643  -0.565 0.776  -0.427 0.876  -0.282 0.961  -0.117 1.005  0.049 1.033  0.218 1.021  0.385 0.991  0.548 0.944  0.651 0.824  0.705 0.667  0.705 0.496  0.627 0.347  0.533 0.208  0.398 0.104  0.266 -0.002  0.152 -0.129  0.051 -0.264  -0.018 -0.416  0.015 -0.578  0.142 -0.691  0.283 -0.785  0.433 -0.865  0.595 -0.915  0.760 -0.949  0.930 -0.949  1.098 -0.972  1.265 -1.006  1.428 -0.971  1.594 -0.949  1.751 -0.885
1b#apb#apb14#app1425/L  -0.396 1.188  -0.396 1.287  -0.406 1.385  -0.420 1.421  -0.420 1.322  -0.421 1.222  -0.429 1.123  -0.436 1.024  -0.444 0.925  -0.444 0.826  -0.444 0.727  -0.444 0.628  -0.453 0.529  -0.477 0.433  -0.501 0.337  -0.528 0.241  -0.559 0.147  -0.591 0.053  -0.625 -0.040  -0.665 -0.131  -0.706 -0.222  -0.750 -0.310  -0.804 -0.394  -0.813 -0.485  -0.742 -0.544  -0.644 -0.562  -0.545 -0.571  -0.447 -0.581  -0.348 -0.574  -0.250 -0.561  -0.151 -0.548  -0.053 -0.535  0.044 -0.515  0.142 -0.496  0.239 -0.476  0.337 -0.464  0.437 -0.464  0.536 -0.464  0.635 -0.464  0.734 -0.464  0.834 -0.464  0.933 -0.464  1.032 -0.464  1.131 -0.464  1.231 -0.464  1.330 -0.464  1.425 -0.479  1.510 -0.530  1.603 -0.548  1.616 -0.608
1b#apb#apb14#app1425/A  -1.333 0.798  -1.189 0.714  -1.082 0.575  -0.996 0.422  -0.914 0.267  -0.840 0.108  -0.794 -0.061  -0.747 -0.231  -0.703 -0.401  -0.677 -0.574  -0.636 -0.744  -0.563 -0.904  -0.555 -1.070  -0.667 -0.967  -0.738 -0.807  -0.777 -0.636  -0.793 -0.464  -0.766 -0.290  -0.738 -0.117  -0.709 0.056  -0.679 0.229  -0.623 0.396  -0.567 0.563  -0.498 0.723  -0.409 0.870  -0.234 0.867  -0.063 0.824  0.094 0.756  0.231 0.646  0.368 0.536  0.479 0.401  0.580 0.258  0.681 0.114  0.807 -0.008  0.936 -0.127  1.058 -0.253  1.164 -0.393  1.294 -0.510  1.423 -0.629  1.536 -0.652  1.488 -0.494  1.371 -0.363  1.247 -0.239  1.113 -0.127  0.964 -0.033  0.812 0.055  0.658 0.139  0.494 0.202  0.329 0.260  0.162 0.316
1b#apb#apb14#app1425/M  -1.393 0.382  -1.267 0.345  -1.200 0.184  -1.122 0.028  -1.094 -0.143  -1.070 -0.316  -1.036 -0.487  -0.983 -0.652  -0.945 -0.819  -0.907 -0.867  -0.907 -0.693  -0.862 -0.526  -0.810 -0.359  -0.764 -0.191  -0.713 -0.024  -0.658 0.142  -0.583 0.297  -0.483 0.441  -0.400 0.594  -0.274 0.562  -0.205 0.409  -0.182 0.236  -0.161 0.063  -0.141 -0.110  -0.129 -0.284  -0.110 -0.458  -0.104 -0.583  -0.054 -0.419  0.022 -0.262  0.096 -0.104  0.166 0.056  0.247 0.210  0.335 0.361  0.423 0.512  0.508 0.664  0.613 0.801  0.745 0.909  0.918 0.924  1.070 0.855  1.149 0.712  1.185 0.541  1.201 0.368  1.218 0.194  1.229 0.020  1.239 -0.155  1.249 -0.329  1.258 -0.503  1.244 -0.677  1.240 -0.851  1.203 -0.999
1b#apb#apb14#app1425/S  0.416 1.240  0.464 1.363  0.346 1.362  0.218 1.327  0.102 1.266  -0.007 1.191  -0.116 1.116  -0.225 1.041  -0.325 0.953  -0.424 0.866  -0.523 0.778  -0.622 0.690  -0.724 0.605  -0.826 0.520  -0.927 0.436  -1.014 0.336  -1.079 0.227  -1.062 0.107  -0.938 0.060  -0.813 0.018  -0.686 -0.021  -0.559 -0.058  -0.427 -0.058  -0.294 -0.058  -0.162 -0.058  -0.030 -0.058  0.103 -0.058  0.235 -0.058  0.368 -0.058  0.500 -0.058  0.633 -0.058  0.765 -0.058  0.890 -0.094  0.999 -0.161  1.028 -0.285  1.028 -0.417  0.966 -0.528  0.884 -0.631  0.791 -0.725  0.684 -0.802  0.576 -0.879  0.466 -0.952  0.348 -1.012  0.229 -1.071  0.108 -1.122  -0.021 -1.154  -0.149 -1.186  -0.276 -1.224  -0.402 -1.265  -0.515 -1.333
1b#apb#apb14#app1425/S  0.906 1.116  0.823 1.228  0.687 1.274  0.547 1.262  0.407 1.232  0.281 1.167  0.162 1.086  0.044 1.005  -0.076 0.926  -0.200 0.853  -0.324 0.780  -0.447 0.707  -0.569 0.630  -0.688 0.551  -0.808 0.471  -0.905 0.366  -0.999 0.257  -1.004 0.148  -0.878 0.092  -0.737 0.067  -0.593 0.066  -0.449 0.066  -0.306 0.066  -0.162 0.066  -0.018 0.066  0.125 0.066  0.269 0.066  0.413 0.066  0.555 0.057  0.690 0.008  0.825 -0.041  0.947 -0.117  1.019 -0.232  0.989 -0.364  0.930 -0.495  0.816 -0.581  0.699 -0.664  0.577 -0.741  0.451 -0.808  0.324 -0.875  0.191 -0.930  0.056 -0.977  -0.080 -1.025  -0.218 -1.065  -0.358 -1.097  -0.497 -1.130  -0.639 -1.153  -0.781 -1.173  -0.925 -1.173  -1.069 -1.173
1b#apb#apb14#app1425/A  -1.172 0.844  -1.037 0.955  -0.971 0.794  -0.943 0.609  -0.917 0.425  -0.917 0.238  -0.917 0.051  -0.917 -0.136  -0.919 -0.322  -0.961 -0.504  -0.993 -0.688  -1.012 -0.695  -0.956 -0.517  -0.889 -0.342  -0.831 -0.165  -0.774 0.013  -0.697 0.183  -0.620 0.353  -0.530 0.516  -0.428 0.673  -0.301 0.802  -0.135 0.883  0.052 0.883  0.192 0.765  0.327 0.636  0.439 0.487  0.551 0.337  0.632 0.169  0.713 0.001  0.794 -0.168  0.874 -0.336  0.954 -0.505  1.030 -0.676  1.104 -0.847  1.174 -1.020  1.289 -1.126  1.357 -0.957  1.323 -0.773  1.241 -0.607  1.150 -0.444  1.011 -0.321  0.867 -0.201  0.712 -0.100  0.544 -0.019  0.375 0.060  0.194 0.106  0.013 0.151  -0.171 0.178  -0.358 0.178  -0.544 0.178
1b#apb#apb14#app1425/U  -0.733 1.046  -0.666 0.963  -0.622 0.858  -0.582 0.752  -0.541 0.646  -0.547 0.535  -0.561 0.422  -0.576 0.310  -0.604 0.200  -0.631 0.090  -0.666 -0.017  -0.731 -0.109  -0.795 -0.202  -0.858 -0.297  -0.927 -0.385  -1.023 -0.445  -1.111 -0.516  -1.140 -0.571  -1.027 -0.571  -0.914 -0.579  -0.801 -0.590  -0.689 -0.605  -0.576 -0.620  -0.464 -0.633  -0.351 -0.642  -0.238 -0.650  -0.125 -0.658  -0.012 -0.666  0.101 -0.662  0.212 -0.642  0.322 -0.614  0.431 -0.583  0.533 -0.540  0.607 -0.456  0.670 -0.362  0.732 -0.267  0.792 -0.171  0.842 -0.070  0.877 0.037  0.914 0.145  0.952 0.251  0.990 0.358  1.034 0.462  1.082 0.565  1.129 0.668  1.172 0.773  1.216 0.878  1.271 0.977  1.313 1.081  1.319 1.105
1b#apb#apb14#app1425/R  -0.968 0.755  -0.860 0.627  -0.787 0.468  -0.730 0.302  -0.675 0.135  -0.629 -0.035  -0.584 -0.204  -0.570 -0.379  -0.556 -0.554  -0.545 -0.730  -0.545 -0.905  -0.629 -1.005  -0.757 -0.897  -0.842 -0.746  -0.877 -0.574  -0.883 -0.401  -0.863 -0.226  -0.834 -0.054  -0.782 0.114  -0.730 0.282  -0.653 0.439  -0.568 0.593  -0.484 0.747  -0.347 0.855  -0.207 0.962  -0.048 1.030  0.120 1.083  0.293 1.079  0.467 1.058  0.622 0.986  0.767 0.887  0.865 0.747  0.898 0.584  0.860 0.413  0.768 0.265  0.666 0.122  0.547 -0.006  0.419 -0.127  0.284 -0.238  0.157 -0.356  0.167 -0.490  0.326 -0.564  0.495 -0.607  0.668 -0.638  0.839 -0.678  1.006 -0.730  1.175 -0.780  1.346 -0.820  1.514 -0.869  1.683 -0.918
