3#app#app31#app3162/L  0.378 1.169  0.504 1.169  0.520 1.278  0.520 1.404  0.520 1.529  0.459 1.594  0.378 1.550  0.378 1.424  0.378 1.299  0.378 1.174  0.378 1.048  0.304 0.953  0.216 0.865  0.127 0.776  0.095 0.664  0.095 0.538  0.074 0.418  0.017 0.306  -0.039 0.194  -0.154 0.177  -0.189 0.086  -0.241 -0.017  -0.330 -0.106  -0.330 -0.231  -0.407 -0.325  -0.472 -0.423  -0.484 -0.544  -0.573 -0.632  -0.662 -0.721  -0.750 -0.810  -0.839 -0.898  -0.897 -1.000  -0.870 -1.098  -0.744 -1.098  -0.619 -1.098  -0.529 -1.013  -0.427 -0.956  -0.310 -0.936  -0.221 -0.847  -0.109 -0.815  -0.002 -0.770  0.087 -0.681  0.209 -0.673  0.334 -0.673  0.378 -0.592  0.443 -0.531  0.569 -0.531  0.694 -0.531  0.819 -0.531  0.945 -0.531
3#app#app31#app3162/o  0.905 0.983  0.753 0.983  0.601 0.983  0.449 0.983  0.297 0.983  0.158 0.953  0.050 0.846  -0.060 0.744  -0.211 0.744  -0.342 0.693  -0.449 0.585  -0.557 0.478  -0.664 0.371  -0.772 0.263  -0.879 0.156  -0.986 0.048  -1.008 -0.095  -1.008 -0.247  -1.008 -0.398  -1.008 -0.550  -1.008 -0.702  -1.008 -0.854  -0.953 -0.983  -0.846 -1.091  -0.726 -1.168  -0.574 -1.168  -0.422 -1.168  -0.276 -1.154  -0.169 -1.046  -0.061 -0.939  0.087 -0.929  0.210 -0.883  0.278 -0.748  0.346 -0.612  0.414 -0.476  0.551 -0.451  0.666 -0.414  0.666 -0.262  0.737 -0.140  0.845 -0.033  0.905 0.094  0.905 0.246  0.905 0.398  0.905 0.550  0.905 0.702  0.795 0.744  0.643 0.744  0.491 0.744  0.339 0.744  0.188 0.744
3#app#app31#app3162/a  0.081 0.728  -0.102 0.728  -0.285 0.728  -0.467 0.728  -0.641 0.706  -0.770 0.577  -0.899 0.447  -1.028 0.318  -1.187 0.261  -1.318 0.210  -1.318 0.027  -1.318 -0.155  -1.318 -0.338  -1.318 -0.521  -1.286 -0.671  -1.104 -0.671  -0.921 -0.671  -0.739 -0.671  -0.556 -0.671  -0.377 -0.663  -0.248 -0.534  -0.110 -0.417  0.054 -0.335  0.217 -0.253  0.366 -0.152  0.496 -0.023  0.625 0.106  0.754 0.235  0.780 0.407  0.847 0.561  0.976 0.691  1.013 0.858  0.934 0.961  0.751 0.961  0.568 0.961  0.547 0.800  0.547 0.617  0.504 0.452  0.375 0.323  0.314 0.166  0.314 -0.017  0.314 -0.200  0.314 -0.382  0.403 -0.528  0.533 -0.657  0.662 -0.786  0.791 -0.915  0.920 -1.044  1.064 -1.138  1.247 -1.138
3#app#app31#app3162/n  -0.806 0.236  -0.645 0.236  -0.595 0.126  -0.655 0.025  -0.806 0.016  -0.806 -0.145  -0.890 -0.270  -1.004 -0.383  -1.016 -0.539  -1.016 -0.699  -1.016 -0.775  -1.016 -0.614  -0.908 -0.499  -0.806 -0.381  -0.806 -0.221  -0.717 -0.097  -0.604 0.016  -0.595 0.173  -0.526 0.305  -0.413 0.418  -0.299 0.532  -0.186 0.645  -0.174 0.800  -0.108 0.933  0.005 1.047  0.119 1.160  0.232 1.273  0.386 1.288  0.458 1.199  0.458 1.039  0.458 0.879  0.458 0.718  0.458 0.558  0.458 0.398  0.458 0.237  0.458 0.077  0.458 -0.083  0.458 -0.243  0.465 -0.396  0.626 -0.396  0.668 -0.514  0.668 -0.674  0.686 -0.817  0.846 -0.817  0.879 -0.945  0.956 -1.027  1.116 -1.027  1.277 -1.027  1.397 -0.930  1.510 -0.817
3#app#app31#app3162/%  -0.356 0.449  -0.464 0.645  -0.641 0.557  -0.895 0.444  -1.003 0.248  -1.110 0.052  -0.948 -0.089  -0.686 0.011  -0.572 0.268  -0.572 0.572  -0.675 0.773  -0.895 0.689  -0.726 0.589  -0.428 0.646  -0.129 0.703  0.169 0.760  0.467 0.817  0.766 0.873  1.064 0.930  1.363 0.987  1.176 1.096  1.031 0.867  0.784 0.696  0.617 0.456  0.466 0.194  0.251 -0.020  0.037 -0.235  -0.217 -0.397  -0.476 -0.545  -0.652 -0.776  -0.896 -0.951  -1.110 -1.103  -1.197 -1.262  -0.938 -1.103  -0.679 -0.945  -0.419 -0.786  -0.160 -0.628  0.099 -0.470  0.358 -0.311  0.618 -0.153  0.539 -0.089  0.314 -0.281  0.290 -0.575  0.467 -0.805  0.755 -0.844  1.055 -0.833  1.152 -0.570  1.152 -0.266  1.025 -0.089  0.829 -0.197
3#app#app31#app3162/'  1.191 1.065  1.116 1.065  1.042 1.065  0.967 1.065  0.892 1.065  0.817 1.065  0.742 1.065  0.673 1.053  0.620 1.000  0.567 0.947  0.514 0.894  0.461 0.842  0.408 0.789  0.356 0.736  0.303 0.683  0.250 0.630  0.197 0.577  0.179 0.510  0.179 0.435  0.179 0.360  0.179 0.285  0.179 0.211  0.179 0.136  0.179 0.061  0.132 0.006  0.079 -0.047  0.026 -0.100  -0.027 -0.153  -0.080 -0.206  -0.133 -0.258  -0.186 -0.311  -0.239 -0.364  -0.291 -0.417  -0.344 -0.470  -0.397 -0.523  -0.450 -0.576  -0.503 -0.629  -0.556 -0.681  -0.609 -0.734  -0.662 -0.787  -0.714 -0.840  -0.767 -0.893  -0.820 -0.946  -0.833 -1.015  -0.833 -1.090  -0.833 -1.165  -0.833 -1.240  -0.833 -1.315  -0.833 -1.389  -0.833 -1.464
3#app#app31#app3162/s  0.485 1.644  0.485 1.531  0.484 1.419  0.371 1.419  0.258 1.419  0.145 1.419  0.033 1.416  -0.047 1.337  -0.126 1.257  -0.188 1.169  -0.188 1.056  -0.188 0.943  -0.188 0.830  -0.188 0.717  -0.188 0.604  -0.188 0.491  -0.188 0.378  -0.166 0.274  -0.086 0.195  -0.006 0.115  0.074 0.035  0.154 -0.045  0.234 -0.125  0.313 -0.205  0.393 -0.285  0.473 -0.365  0.485 -0.473  0.485 -0.586  0.583 -0.602  0.696 -0.602  0.710 -0.700  0.710 -0.813  0.610 -0.826  0.497 -0.826  0.384 -0.826  0.271 -0.826  0.158 -0.826  0.045 -0.826  -0.068 -0.826  -0.181 -0.826  -0.294 -0.826  -0.407 -0.826  -0.520 -0.826  -0.633 -0.826  -0.746 -0.826  -0.859 -0.826  -0.972 -0.826  -1.085 -0.826  -0.975 -0.826  -0.862 -0.826
3#app#app31#app3162/a  0.743 0.353  0.743 0.507  0.627 0.545  0.472 0.545  0.359 0.586  0.356 0.737  0.201 0.737  0.047 0.737  -0.098 0.700  -0.236 0.631  -0.374 0.562  -0.491 0.463  -0.600 0.354  -0.754 0.353  -0.874 0.272  -0.983 0.162  -1.093 0.053  -1.177 -0.066  -1.177 -0.220  -1.284 -0.330  -1.369 -0.449  -1.369 -0.604  -1.219 -0.607  -1.177 -0.720  -1.102 -0.799  -0.948 -0.799  -0.793 -0.799  -0.639 -0.799  -0.485 -0.799  -0.354 -0.744  -0.244 -0.635  -0.101 -0.607  0.030 -0.552  0.139 -0.443  0.282 -0.415  0.428 -0.381  0.566 -0.312  0.704 -0.243  0.821 -0.145  0.931 -0.036  0.935 0.116  1.045 0.161  1.127 0.233  1.162 0.353  1.316 0.353  1.319 0.504  1.206 0.545  1.127 0.469  1.127 0.315  1.127 0.161
3#app#app31#app3162/r  -0.579 -0.785  -0.579 -0.868  -0.579 -0.951  -0.579 -1.033  -0.579 -1.116  -0.579 -1.199  -0.579 -1.281  -0.579 -1.282  -0.579 -1.199  -0.579 -1.116  -0.565 -1.040  -0.506 -0.981  -0.448 -0.923  -0.389 -0.864  -0.331 -0.806  -0.310 -0.732  -0.310 -0.649  -0.310 -0.566  -0.287 -0.493  -0.228 -0.435  -0.170 -0.376  -0.111 -0.318  -0.053 -0.259  -0.041 -0.181  -0.041 -0.099  -0.041 -0.016  -0.041 0.067  -0.041 0.149  -0.041 0.232  -0.024 0.308  0.035 0.366  0.093 0.425  0.152 0.483  0.210 0.542  0.269 0.600  0.327 0.659  0.386 0.717  0.444 0.776  0.497 0.836  0.497 0.919  0.497 1.002  0.497 1.085  0.546 1.147  0.605 1.205  0.663 1.264  0.722 1.322  0.786 1.366  0.869 1.366  0.952 1.366  1.034 1.366
3#app#app31#app3162/e  -0.025 0.145  0.128 0.145  0.208 0.219  0.208 0.373  0.312 0.482  0.421 0.591  0.529 0.699  0.638 0.808  0.777 0.843  0.930 0.843  1.083 0.843  1.138 0.744  1.119 0.610  0.965 0.610  0.812 0.610  0.659 0.610  0.505 0.610  0.352 0.610  0.198 0.610  0.045 0.610  -0.108 0.610  -0.262 0.610  -0.415 0.610  -0.546 0.555  -0.654 0.447  -0.773 0.353  -0.910 0.284  -1.047 0.215  -1.184 0.147  -1.188 -0.004  -1.188 -0.158  -1.188 -0.311  -1.188 -0.464  -1.123 -0.553  -0.970 -0.553  -0.857 -0.651  -0.749 -0.760  -0.606 -0.785  -0.453 -0.785  -0.299 -0.785  -0.146 -0.785  -0.002 -0.808  0.106 -0.917  0.218 -1.018  0.371 -1.018  0.525 -1.018  0.678 -1.018  0.831 -1.018  0.985 -1.018  1.138 -1.018
3#app#app31#app3162/d  -0.276 -0.439  -0.334 -0.295  -0.487 -0.248  -0.639 -0.180  -0.795 -0.193  -0.888 -0.272  -0.968 -0.408  -1.055 -0.540  -1.123 -0.681  -1.116 -0.836  -1.055 -0.990  -0.968 -1.072  -0.859 -1.131  -0.690 -1.131  -0.526 -1.121  -0.389 -1.044  -0.237 -1.005  -0.117 -0.885  0.002 -0.766  0.102 -0.633  0.190 -0.492  0.285 -0.355  0.360 -0.204  0.415 -0.048  0.428 0.118  0.481 0.278  0.548 0.432  0.613 0.587  0.667 0.747  0.720 0.907  0.770 1.068  0.811 1.231  0.848 1.396  0.833 1.549  0.675 1.539  0.609 1.398  0.490 1.278  0.387 1.147  0.312 0.997  0.236 0.846  0.161 0.695  0.156 0.528  0.156 0.359  0.156 0.191  0.156 0.022  0.156 -0.147  0.156 -0.315  0.156 -0.484  0.242 -0.616  0.242 -0.785
