2#app#app31#app3129/Q  0.211 0.866  0.317 0.991  0.317 1.222  0.154 1.290  -0.077 1.290  -0.213 1.195  -0.400 1.103  -0.552 0.931  -0.666 0.732  -0.754 0.537  -0.850 0.345  -0.931 0.148  -0.956 -0.073  -0.956 -0.305  -0.956 -0.536  -0.852 -0.724  -0.688 -0.888  -0.478 -0.939  -0.247 -0.939  -0.015 -0.939  0.172 -0.832  0.297 -0.661  0.423 -0.478  0.530 -0.353  0.530 -0.121  0.530 0.110  0.525 0.339  0.423 0.529  0.328 0.738  0.225 0.944  0.105 1.129  -0.071 1.184  -0.213 1.095  -0.213 0.864  -0.161 0.639  -0.109 0.413  -0.057 0.188  -0.005 -0.038  0.047 -0.263  0.099 -0.488  0.035 -0.338  0.126 -0.429  0.215 -0.624  0.317 -0.813  0.485 -0.939  0.613 -1.106  0.742 -1.288  0.852 -1.473  0.954 -1.662  0.848 -1.575
2#app#app31#app3129/U  -0.902 0.538  -0.786 0.654  -0.760 0.802  -0.638 0.844  -0.638 1.008  -0.743 1.067  -0.770 1.193  -0.770 1.029  -0.770 0.865  -0.770 0.701  -0.770 0.536  -0.770 0.372  -0.770 0.208  -0.770 0.043  -0.770 -0.121  -0.770 -0.285  -0.770 -0.449  -0.703 -0.586  -0.638 -0.723  -0.638 -0.887  -0.542 -1.012  -0.505 -1.161  -0.361 -1.181  -0.196 -1.181  -0.109 -1.104  0.000 -1.048  0.156 -1.040  0.184 -0.887  0.288 -0.766  0.323 -0.616  0.420 -0.492  0.462 -0.345  0.552 -0.218  0.574 -0.058  0.626 0.098  0.678 0.254  0.786 0.375  0.817 0.527  0.817 0.691  0.817 0.855  0.817 0.849  0.817 0.685  0.817 0.521  0.817 0.357  0.874 0.216  0.949 0.083  0.949 -0.082  0.949 -0.246  1.058 -0.365  1.081 -0.520
2#app#app31#app3129/I  -0.099 0.963  0.003 1.069  0.114 1.166  0.220 1.268  0.220 1.087  0.220 0.879  0.164 0.694  0.114 0.507  0.114 0.299  0.114 0.092  0.059 -0.103  0.007 -0.299  0.007 -0.507  0.007 -0.715  0.114 -0.879  0.251 -0.950  0.214 -1.020  0.038 -1.131  -0.139 -1.241  -0.315 -1.351  -0.491 -1.461  -0.418 -1.418  -0.301 -1.259  -0.154 -1.112  0.007 -1.033  0.120 -0.894  0.316 -0.844  0.497 -0.780  0.688 -0.738  0.858 -0.700  0.736 -0.563  0.555 -0.461  0.373 -0.359  0.192 -0.257  0.011 -0.155  -0.170 -0.053  -0.352 0.049  -0.533 0.151  -0.714 0.253  -0.782 0.325  -0.736 0.487  -0.700 0.680  -0.553 0.827  -0.450 1.005  -0.321 1.166  -0.143 1.238  0.004 1.385  0.167 1.494  0.331 1.600  0.539 1.600
2#app#app31#app3129/C  0.587 1.317  0.491 1.317  0.394 1.317  0.298 1.317  0.201 1.317  0.105 1.317  0.017 1.295  -0.051 1.227  -0.119 1.159  -0.187 1.091  -0.235 1.014  -0.235 0.918  -0.295 0.846  -0.363 0.778  -0.372 0.685  -0.415 0.632  -0.509 0.629  -0.509 0.533  -0.509 0.436  -0.509 0.340  -0.509 0.244  -0.509 0.147  -0.509 0.051  -0.509 -0.046  -0.509 -0.142  -0.509 -0.239  -0.509 -0.335  -0.509 -0.431  -0.446 -0.464  -0.372 -0.487  -0.372 -0.584  -0.317 -0.657  -0.248 -0.725  -0.180 -0.794  -0.112 -0.862  -0.021 -0.876  0.065 -0.901  0.133 -0.969  0.211 -1.013  0.308 -1.013  0.404 -1.013  0.501 -1.013  0.597 -1.013  0.693 -1.013  0.790 -1.013  0.861 -0.987  0.861 -0.891  0.942 -0.876  0.998 -0.835  0.998 -0.739
2#app#app31#app3129/K  -0.434 1.627  -0.373 1.433  -0.301 1.243  -0.301 1.023  -0.301 0.804  -0.301 0.584  -0.434 0.420  -0.434 0.200  -0.434 -0.019  -0.434 -0.239  -0.434 -0.459  -0.434 -0.678  -0.434 -0.898  -0.434 -1.118  -0.404 -1.307  -0.301 -1.423  -0.252 -1.623  -0.207 -1.615  -0.294 -1.413  -0.380 -1.211  -0.467 -1.010  -0.553 -0.808  -0.568 -0.591  -0.507 -0.386  -0.434 -0.183  -0.428 0.033  -0.272 0.189  -0.136 0.357  -0.037 0.554  0.116 0.710  0.271 0.866  0.366 1.046  0.527 1.121  0.703 1.227  0.884 1.210  0.739 1.044  0.595 0.879  0.450 0.714  0.306 0.548  0.161 0.383  0.016 0.218  -0.028 0.020  0.139 -0.107  0.322 -0.196  0.477 -0.352  0.632 -0.429  0.774 -0.507  0.899 -0.601  1.080 -0.640  1.299 -0.640
2#app#app31#app3129/L  -0.334 1.508  -0.223 1.508  -0.111 1.508  -0.030 1.580  0.014 1.575  0.014 1.463  0.014 1.352  0.014 1.241  0.000 1.133  -0.049 1.033  -0.099 0.934  -0.102 0.823  -0.102 0.712  -0.170 0.629  -0.218 0.537  -0.218 0.426  -0.242 0.325  -0.320 0.246  -0.334 0.140  -0.373 0.038  -0.423 -0.061  -0.450 -0.166  -0.482 -0.264  -0.561 -0.343  -0.566 -0.452  -0.566 -0.563  -0.566 -0.675  -0.630 -0.759  -0.682 -0.849  -0.649 -0.927  -0.537 -0.927  -0.426 -0.927  -0.320 -0.914  -0.242 -0.835  -0.140 -0.811  -0.029 -0.811  0.082 -0.811  0.187 -0.783  0.286 -0.733  0.389 -0.695  0.493 -0.680  0.572 -0.601  0.675 -0.579  0.786 -0.579  0.876 -0.529  0.960 -0.463  1.072 -0.463  1.183 -0.463  1.289 -0.468  1.289 -0.579
2#app#app31#app3129/Y  -0.808 1.051  -0.915 1.089  -0.915 1.081  -0.834 0.970  -0.807 0.836  -0.705 0.734  -0.639 0.605  -0.562 0.485  -0.460 0.382  -0.357 0.280  -0.275 0.169  -0.208 0.091  -0.168 -0.014  -0.036 -0.041  0.075 -0.123  0.178 -0.060  0.234 0.074  0.289 0.207  0.345 0.341  0.401 0.474  0.456 0.608  0.512 0.742  0.568 0.875  0.623 1.009  0.679 1.143  0.685 1.028  0.658 0.890  0.593 0.761  0.575 0.621  0.473 0.518  0.455 0.378  0.391 0.249  0.303 0.135  0.259 0.009  0.249 -0.132  0.152 -0.236  0.120 -0.368  0.045 -0.481  0.011 -0.618  -0.054 -0.748  -0.076 -0.884  -0.168 -0.991  -0.168 -1.136  -0.168 -1.281  -0.168 -1.425  -0.168 -1.570  -0.168 -1.715  -0.168 -1.860  -0.168 -2.004  -0.168 -2.149
2#app#app31#app3129/F  -0.279 0.788  -0.153 0.669  -0.153 0.424  -0.153 0.179  -0.153 -0.067  -0.153 -0.312  -0.279 -0.505  -0.279 -0.750  -0.285 -0.994  -0.394 -1.214  -0.406 -1.456  -0.406 -1.702  -0.328 -1.869  -0.289 -1.673  -0.302 -1.428  -0.315 -1.183  -0.328 -0.938  -0.341 -0.693  -0.354 -0.448  -0.367 -0.203  -0.380 0.042  -0.393 0.287  -0.405 0.532  -0.406 0.778  -0.279 0.896  -0.052 0.915  0.141 1.041  0.386 1.041  0.505 1.168  0.735 1.232  0.966 1.294  1.211 1.294  1.298 1.235  1.113 1.073  0.929 0.912  0.744 0.750  0.559 0.589  0.375 0.427  0.190 0.266  0.005 0.104  -0.179 -0.058  -0.364 -0.219  -0.548 -0.381  -0.659 -0.378  -0.568 -0.224  -0.322 -0.224  -0.077 -0.224  0.168 -0.224  0.414 -0.224  0.607 -0.351
2#app#app31#app3129/O  0.212 0.983  0.073 0.983  -0.057 0.974  -0.071 0.849  -0.192 0.831  -0.208 0.698  -0.306 0.600  -0.437 0.579  -0.461 0.465  -0.545 0.361  -0.644 0.262  -0.731 0.159  -0.731 0.020  -0.731 -0.119  -0.752 -0.249  -0.850 -0.348  -0.865 -0.480  -0.865 -0.619  -0.865 -0.759  -0.865 -0.898  -0.770 -0.997  -0.671 -1.095  -0.563 -1.171  -0.424 -1.171  -0.285 -1.171  -0.146 -1.171  -0.007 -1.171  0.116 -1.132  0.214 -1.033  0.313 -0.935  0.411 -0.837  0.509 -0.738  0.608 -0.640  0.616 -0.504  0.675 -0.379  0.737 -0.255  0.750 -0.119  0.750 0.020  0.750 0.159  0.750 0.298  0.750 0.437  0.750 0.576  0.654 0.676  0.616 0.799  0.616 0.938  0.616 1.077  0.546 1.187  0.448 1.286  0.350 1.384  0.212 1.387
2#app#app31#app3129/R  -0.465 0.583  -0.337 0.704  -0.337 0.469  -0.337 0.220  -0.337 -0.030  -0.402 -0.252  -0.465 -0.475  -0.465 -0.724  -0.478 -0.968  -0.593 -1.170  -0.465 -1.314  -0.465 -1.064  -0.465 -0.815  -0.465 -0.566  -0.465 -0.317  -0.465 -0.068  -0.465 0.182  -0.465 0.431  -0.465 0.680  -0.465 0.929  -0.593 1.050  -0.517 1.224  -0.268 1.224  -0.019 1.224  0.230 1.224  0.480 1.224  0.688 1.183  0.803 0.981  0.745 0.767  0.569 0.591  0.376 0.455  0.269 0.292  0.059 0.198  -0.158 0.121  -0.387 0.070  -0.593 0.113  -0.686 0.198  -0.437 0.198  -0.316 0.070  -0.108 -0.031  0.068 -0.207  0.244 -0.383  0.421 -0.559  0.597 -0.735  0.773 -0.912  0.951 -1.083  1.163 -1.174  1.343 -1.340  1.585 -1.333  1.585 -1.083
2#app#app31#app3129/G  0.996 0.960  0.976 1.105  0.867 1.211  0.714 1.211  0.561 1.211  0.408 1.211  0.254 1.211  0.101 1.211  -0.007 1.166  -0.058 1.034  -0.181 0.960  -0.311 0.907  -0.406 0.789  -0.475 0.652  -0.563 0.529  -0.634 0.405  -0.691 0.276  -0.759 0.151  -0.797 0.007  -0.866 -0.130  -0.885 -0.279  -0.885 -0.432  -0.885 -0.585  -0.885 -0.738  -0.885 -0.891  -0.797 -1.008  -0.689 -1.116  -0.558 -1.171  -0.405 -1.171  -0.252 -1.171  -0.099 -1.171  0.054 -1.171  0.118 -1.082  0.235 -1.045  0.308 -0.916  0.369 -0.777  0.369 -0.624  0.369 -0.471  0.369 -0.318  0.369 -0.165  0.369 -0.012  0.311 0.083  0.244 0.169  0.244 0.094  0.385 0.083  0.534 0.063  0.671 -0.005  0.815 -0.043  0.968 -0.043  0.996 -0.168
