3#apa#apa14#app1431/A  -0.472 -1.325  -0.626 -1.171  -0.629 -0.954  -0.629 -0.736  -0.625 -0.519  -0.583 -0.305  -0.540 -0.091  -0.497 0.122  -0.450 0.335  -0.397 0.546  -0.344 0.758  -0.315 0.972  -0.315 1.190  -0.218 1.385  -0.120 1.580  -0.023 1.775  0.164 1.811  0.314 1.655  0.335 1.441  0.404 1.234  0.472 1.027  0.515 0.814  0.558 0.600  0.600 0.386  0.628 0.171  0.628 -0.047  0.691 -0.255  0.760 -0.461  0.785 -0.675  0.825 -0.853  0.853 -0.808  0.658 -0.711  0.453 -0.638  0.246 -0.569  0.033 -0.539  -0.185 -0.539  -0.402 -0.539  -0.620 -0.539  -0.838 -0.539  -1.056 -0.539  -0.928 -0.539  -0.710 -0.539  -0.499 -0.495  -0.292 -0.427  -0.082 -0.382  0.136 -0.382  0.354 -0.382  0.572 -0.382  0.782 -0.385  0.628 -0.539
3#apa#apa14#app1431/B  -0.437 0.915  -0.437 1.048  -0.437 0.815  -0.437 0.582  -0.437 0.349  -0.421 0.119  -0.364 -0.107  -0.308 -0.333  -0.254 -0.560  -0.254 -0.793  -0.254 -1.026  -0.326 -0.953  -0.430 -0.745  -0.437 -0.514  -0.437 -0.281  -0.437 -0.048  -0.437 0.185  -0.437 0.418  -0.482 0.640  -0.586 0.848  -0.508 1.027  -0.437 1.231  -0.308 1.410  -0.097 1.464  0.129 1.447  0.294 1.283  0.274 1.055  0.170 0.847  0.112 0.628  0.112 0.395  -0.032 0.222  -0.249 0.183  -0.025 0.183  0.208 0.183  0.441 0.183  0.663 0.122  0.884 0.048  1.027 -0.082  1.121 -0.276  1.210 -0.472  1.210 -0.705  1.007 -0.745  0.813 -0.874  0.620 -1.003  0.422 -1.125  0.214 -1.230  0.005 -1.334  -0.203 -1.438  -0.411 -1.542  -0.620 -1.646
3#apa#apa14#app1431/C  0.645 0.421  0.568 0.498  0.499 0.554  0.499 0.444  0.585 0.421  0.645 0.470  0.639 0.578  0.590 0.676  0.541 0.774  0.488 0.869  0.411 0.946  0.334 1.023  0.256 1.101  0.167 1.149  0.058 1.149  -0.052 1.149  -0.161 1.149  -0.229 1.108  -0.233 1.000  -0.310 0.923  -0.381 0.841  -0.415 0.737  -0.450 0.633  -0.484 0.530  -0.519 0.426  -0.521 0.317  -0.521 0.207  -0.521 0.098  -0.521 -0.011  -0.521 -0.121  -0.521 -0.230  -0.513 -0.339  -0.486 -0.445  -0.460 -0.551  -0.433 -0.657  -0.407 -0.763  -0.380 -0.869  -0.375 -0.978  -0.333 -1.065  -0.242 -1.125  -0.151 -1.186  -0.060 -1.247  0.031 -1.307  0.134 -1.328  0.244 -1.328  0.353 -1.328  0.463 -1.328  0.572 -1.328  0.681 -1.328  0.791 -1.328
3#apa#apa14#app1431/D  -0.391 0.519  -0.182 0.519  -0.181 0.312  -0.181 0.104  -0.090 -0.083  0.003 -0.269  0.028 -0.472  0.028 -0.680  0.135 -0.844  0.238 -1.010  0.194 -1.113  0.047 -0.966  -0.039 -0.778  -0.117 -0.585  -0.194 -0.391  -0.271 -0.198  -0.349 -0.004  -0.426 0.189  -0.504 0.382  -0.581 0.576  -0.658 0.769  -0.736 0.963  -0.801 1.148  -0.600 1.156  -0.594 1.357  -0.385 1.357  -0.177 1.357  0.031 1.357  0.238 1.355  0.239 1.148  0.447 1.148  0.447 0.940  0.593 0.792  0.741 0.645  0.866 0.488  0.866 0.280  0.866 0.072  0.866 -0.137  0.866 -0.345  0.848 -0.546  0.701 -0.693  0.554 -0.841  0.396 -0.973  0.209 -1.066  0.022 -1.157  -0.186 -1.157  -0.394 -1.157  -0.603 -1.157  -0.811 -1.157  -1.019 -1.157
3#apa#apa14#app1431/E  -0.274 0.641  -0.274 0.405  -0.274 0.170  -0.274 -0.065  -0.274 -0.301  -0.274 -0.536  -0.274 -0.771  -0.274 -1.007  -0.274 -1.242  -0.252 -1.455  -0.100 -1.371  0.002 -1.178  0.208 -1.105  0.386 -0.969  0.606 -0.931  0.841 -0.931  0.819 -0.931  0.588 -0.890  0.359 -0.839  0.129 -0.788  -0.101 -0.736  -0.331 -0.685  -0.560 -0.634  -0.790 -0.583  -0.746 -0.407  -0.624 -0.294  -0.450 -0.232  -0.232 -0.190  -0.065 -0.023  0.108 0.133  0.318 0.239  0.529 0.344  0.739 0.449  0.577 0.488  0.343 0.514  0.109 0.540  -0.125 0.566  -0.359 0.592  -0.592 0.618  -0.798 0.669  -0.709 0.815  -0.518 0.921  -0.351 1.088  -0.148 1.165  0.078 1.224  0.301 1.298  0.519 1.387  0.729 1.492  0.905 1.646  1.123 1.689
3#apa#apa14#app1431/F  -0.170 0.901  -0.360 0.957  -0.360 0.979  -0.360 0.733  -0.360 0.488  -0.360 0.242  -0.360 -0.003  -0.360 -0.249  -0.360 -0.494  -0.360 -0.740  -0.360 -0.985  -0.360 -1.231  -0.360 -1.477  -0.360 -1.722  -0.170 -1.778  -0.170 -1.867  -0.170 -1.621  -0.170 -1.376  -0.190 -1.131  -0.211 -0.887  -0.231 -0.642  -0.251 -0.397  -0.272 -0.152  -0.292 0.092  -0.313 0.337  -0.333 0.582  -0.353 0.826  -0.480 1.022  -0.401 1.090  -0.347 1.274  -0.127 1.164  0.101 1.090  0.346 1.090  0.592 1.090  0.837 1.090  0.969 0.976  0.848 0.780  0.674 0.607  0.501 0.433  0.327 0.259  0.154 0.086  -0.020 -0.088  -0.170 -0.204  -0.080 -0.048  0.150 -0.113  0.369 -0.223  0.611 -0.238  0.857 -0.238  1.102 -0.238  1.158 -0.048
3#apa#apa14#app1431/G  0.552 1.335  0.419 1.335  0.394 1.226  0.394 1.263  0.334 1.335  0.200 1.335  0.067 1.335  -0.067 1.335  -0.164 1.249  -0.259 1.155  -0.353 1.060  -0.393 0.944  -0.445 0.863  -0.551 0.835  -0.551 0.701  -0.551 0.568  -0.551 0.434  -0.551 0.301  -0.551 0.168  -0.551 0.034  -0.551 -0.099  -0.551 -0.233  -0.551 -0.366  -0.551 -0.499  -0.551 -0.633  -0.551 -0.766  -0.551 -0.900  -0.546 -1.028  -0.413 -1.028  -0.393 -1.142  -0.303 -1.186  -0.170 -1.186  -0.049 -1.156  0.046 -1.062  0.165 -1.028  0.280 -0.985  0.375 -0.890  0.394 -0.765  0.394 -0.632  0.394 -0.498  0.362 -0.398  0.246 -0.398  0.379 -0.398  0.478 -0.314  0.581 -0.240  0.714 -0.240  0.847 -0.240  0.981 -0.240  1.088 -0.177  1.182 -0.083
3#apa#apa14#app1431/H  -0.466 1.618  -0.645 1.519  -0.487 1.440  -0.645 1.319  -0.645 1.040  -0.645 0.762  -0.645 0.840  -0.645 0.562  -0.645 0.283  -0.645 0.005  -0.645 -0.274  -0.736 -0.531  -0.823 -0.789  -0.823 -1.067  -0.823 -1.346  -0.645 -1.393  -0.578 -1.133  -0.432 -0.896  -0.286 -0.658  -0.140 -0.421  0.006 -0.184  0.152 0.053  0.298 0.291  0.444 0.528  0.590 0.765  0.736 1.002  0.606 1.088  0.606 1.155  0.752 0.937  0.785 0.672  0.785 0.393  0.785 0.115  0.785 -0.164  0.785 -0.442  0.785 -0.721  0.785 -0.999  0.606 -1.099  0.606 -1.103  0.555 -0.854  0.314 -0.716  0.072 -0.578  -0.170 -0.440  -0.412 -0.301  -0.637 -0.161  -0.429 0.010  -0.151 0.010  0.128 0.010  0.406 0.010  0.685 0.010  0.785 -0.168
3#apa#apa14#app1431/I  -0.155 1.708  -0.155 1.636  -0.155 1.563  -0.155 1.491  -0.155 1.419  -0.155 1.346  -0.155 1.274  -0.155 1.202  -0.155 1.129  -0.155 1.057  -0.155 0.985  -0.155 0.912  -0.155 0.840  -0.155 0.768  -0.155 0.695  -0.155 0.623  -0.155 0.551  -0.155 0.478  -0.155 0.406  -0.155 0.334  -0.155 0.261  -0.155 0.189  -0.128 0.128  -0.077 0.077  -0.026 0.026  0.026 -0.026  0.077 -0.077  0.128 -0.128  0.155 -0.189  0.155 -0.261  0.155 -0.334  0.155 -0.406  0.155 -0.478  0.155 -0.551  0.155 -0.623  0.155 -0.695  0.155 -0.768  0.155 -0.840  0.155 -0.912  0.155 -0.985  0.155 -1.057  0.155 -1.129  0.155 -1.202  0.155 -1.274  0.155 -1.346  0.155 -1.419  0.155 -1.491  0.155 -1.563  0.155 -1.636  0.155 -1.708
3#apa#apa14#app1431/J  0.207 1.465  0.144 1.528  0.081 1.591  0.039 1.602  0.039 1.513  0.039 1.423  0.039 1.334  0.039 1.245  0.039 1.155  0.039 1.066  0.039 0.976  0.113 0.960  0.202 0.960  0.207 0.876  0.207 0.787  0.207 0.697  0.207 0.608  0.207 0.518  0.207 0.429  0.207 0.339  0.207 0.250  0.207 0.160  0.207 0.071  0.207 -0.019  0.207 -0.108  0.207 -0.197  0.207 -0.287  0.207 -0.376  0.207 -0.466  0.207 -0.555  0.207 -0.645  0.207 -0.734  0.207 -0.824  0.190 -0.906  0.127 -0.969  0.063 -1.032  0.000 -1.096  -0.063 -1.159  -0.126 -1.222  -0.215 -1.225  -0.297 -1.218  -0.297 -1.129  -0.315 -1.057  -0.404 -1.057  -0.485 -1.037  -0.549 -0.974  -0.612 -0.910  -0.675 -0.847  -0.738 -0.784  -0.802 -0.721
3#apa#apa14#app1431/K  -0.140 1.365  -0.359 1.365  -0.515 1.519  -0.581 1.460  -0.581 1.240  -0.581 1.021  -0.581 0.802  -0.581 0.583  -0.581 0.364  -0.581 0.144  -0.581 -0.075  -0.581 -0.294  -0.581 -0.513  -0.581 -0.733  -0.581 -0.952  -0.581 -1.171  -0.521 -1.184  -0.403 -0.999  -0.285 -0.814  -0.167 -0.629  -0.050 -0.444  0.068 -0.259  0.186 -0.074  0.303 0.110  0.421 0.295  0.539 0.480  0.656 0.665  0.774 0.850  0.892 1.035  0.872 1.145  0.741 1.057  0.702 0.847  0.604 0.651  0.498 0.461  0.343 0.306  0.141 0.264  0.080 0.105  -0.077 0.043  -0.297 0.043  -0.360 -0.112  -0.360 -0.331  -0.252 -0.506  -0.097 -0.661  0.058 -0.816  0.213 -0.971  0.368 -1.126  0.524 -1.278  0.741 -1.281  0.742 -1.499  0.962 -1.499
