2#apb#apb22#app2254/A  -0.633 0.310  -0.785 0.274  -0.762 0.011  -0.661 -0.243  -0.560 -0.496  -0.429 -0.735  -0.321 -0.983  -0.364 -0.789  -0.448 -0.530  -0.502 -0.262  -0.593 -0.005  -0.671 0.255  -0.755 0.515  -0.834 0.775  -0.861 1.045  -0.737 1.281  -0.506 1.401  -0.258 1.317  -0.007 1.210  0.210 1.046  0.390 0.845  0.548 0.623  0.733 0.423  0.900 0.207  1.035 -0.028  1.143 -0.279  1.241 -0.533  1.333 -0.789  1.388 -1.048  1.269 -0.959  1.012 -0.868  0.755 -0.776  0.498 -0.685  0.241 -0.594  -0.016 -0.503  -0.274 -0.412  -0.531 -0.321  -0.788 -0.230  -1.045 -0.139  -1.251 -0.017  -1.027 -0.064  -0.754 -0.064  -0.482 -0.048  -0.212 -0.013  0.057 0.032  0.325 0.083  0.594 0.129  0.863 0.175  1.129 0.227  1.402 0.227
2#apb#apb22#app2254/B  -0.787 0.345  -0.836 0.267  -0.785 0.089  -0.720 -0.086  -0.656 -0.261  -0.599 -0.439  -0.547 -0.617  -0.480 -0.790  -0.508 -0.660  -0.552 -0.479  -0.585 -0.295  -0.614 -0.110  -0.651 0.073  -0.692 0.255  -0.741 0.435  -0.760 0.621  -0.783 0.806  -0.770 0.992  -0.676 1.147  -0.552 1.277  -0.367 1.293  -0.190 1.247  -0.088 1.096  -0.051 0.918  -0.051 0.731  -0.067 0.545  -0.164 0.388  -0.296 0.256  -0.188 0.249  -0.008 0.284  0.174 0.307  0.359 0.286  0.544 0.262  0.730 0.249  0.904 0.181  1.073 0.102  1.212 -0.018  1.328 -0.164  1.400 -0.332  1.396 -0.518  1.329 -0.689  1.175 -0.796  1.014 -0.889  0.844 -0.965  0.671 -1.036  0.490 -1.082  0.308 -1.126  0.122 -1.137  -0.063 -1.128  -0.245 -1.086
2#apb#apb22#app2254/C  0.024 0.969  0.015 1.076  0.049 1.005  0.087 0.901  0.122 0.799  0.122 0.688  0.199 0.617  0.215 0.619  0.246 0.710  0.207 0.814  0.172 0.918  0.127 1.019  0.038 1.068  -0.067 1.042  -0.174 1.018  -0.274 0.986  -0.352 0.908  -0.439 0.839  -0.527 0.772  -0.580 0.675  -0.633 0.578  -0.669 0.474  -0.701 0.368  -0.704 0.258  -0.704 0.147  -0.700 0.036  -0.693 -0.074  -0.686 -0.184  -0.639 -0.282  -0.581 -0.377  -0.523 -0.470  -0.453 -0.556  -0.383 -0.642  -0.300 -0.714  -0.207 -0.773  -0.114 -0.833  -0.016 -0.883  0.086 -0.925  0.189 -0.967  0.293 -1.003  0.401 -1.025  0.510 -1.046  0.619 -1.065  0.729 -1.080  0.838 -1.094  0.948 -1.086  1.059 -1.077  1.169 -1.075  1.276 -1.055  1.380 -1.016
2#apb#apb22#app2254/D  -0.967 0.333  -0.904 0.321  -0.826 0.184  -0.743 0.050  -0.665 -0.087  -0.596 -0.229  -0.530 -0.372  -0.455 -0.511  -0.383 -0.651  -0.294 -0.780  -0.336 -0.751  -0.399 -0.606  -0.462 -0.462  -0.524 -0.317  -0.587 -0.172  -0.650 -0.028  -0.713 0.117  -0.776 0.262  -0.839 0.406  -0.902 0.551  -0.965 0.696  -0.987 0.842  -0.863 0.921  -0.706 0.934  -0.548 0.934  -0.392 0.913  -0.237 0.887  -0.084 0.850  0.069 0.810  0.220 0.765  0.368 0.711  0.517 0.657  0.653 0.578  0.786 0.494  0.897 0.383  1.004 0.267  1.100 0.142  1.188 0.011  1.250 -0.134  1.285 -0.286  1.304 -0.443  1.244 -0.587  1.161 -0.719  1.055 -0.836  0.916 -0.906  0.769 -0.965  0.619 -1.011  0.465 -1.047  0.310 -1.067  0.153 -1.054
2#apb#apb22#app2254/E  0.746 1.195  0.580 1.239  0.394 1.217  0.207 1.215  0.021 1.196  -0.164 1.165  -0.350 1.142  -0.536 1.147  -0.721 1.133  -0.813 1.025  -0.812 0.846  -0.836 0.668  -0.786 0.487  -0.723 0.311  -0.674 0.130  -0.650 -0.055  -0.637 -0.242  -0.596 -0.423  -0.596 -0.610  -0.541 -0.786  -0.492 -0.966  -0.375 -1.076  -0.203 -1.123  -0.016 -1.123  0.170 -1.105  0.356 -1.080  0.542 -1.066  0.714 -1.002  0.886 -0.934  1.071 -0.908  1.248 -0.849  1.261 -0.796  1.098 -0.704  0.935 -0.611  0.772 -0.519  0.609 -0.427  0.446 -0.334  0.283 -0.242  0.120 -0.149  -0.043 -0.057  -0.206 0.035  -0.369 0.128  -0.532 0.220  -0.637 0.305  -0.485 0.341  -0.305 0.384  -0.121 0.402  0.066 0.410  0.253 0.422  0.441 0.422
2#apb#apb22#app2254/F  1.180 1.050  1.264 1.089  1.145 1.117  1.007 1.117  0.870 1.117  0.733 1.109  0.598 1.086  0.462 1.072  0.324 1.072  0.187 1.072  0.050 1.062  -0.087 1.052  -0.221 1.025  -0.356 0.996  -0.489 0.965  -0.550 0.917  -0.506 0.794  -0.462 0.670  -0.438 0.537  -0.398 0.405  -0.367 0.272  -0.349 0.136  -0.306 0.006  -0.262 -0.125  -0.207 -0.250  -0.166 -0.380  -0.146 -0.516  -0.123 -0.651  -0.069 -0.777  -0.017 -0.904  0.032 -1.032  0.072 -1.164  0.105 -1.297  0.167 -1.416  0.182 -1.544  0.126 -1.421  0.062 -1.299  -0.003 -1.178  -0.068 -1.057  -0.133 -0.936  -0.198 -0.815  -0.263 -0.694  -0.328 -0.573  -0.392 -0.452  -0.457 -0.331  -0.504 -0.203  -0.379 -0.193  -0.242 -0.193  -0.106 -0.186  0.026 -0.148
2#apb#apb22#app2254/G  0.018 0.890  0.053 1.028  0.041 1.161  -0.084 1.216  -0.226 1.228  -0.368 1.228  -0.510 1.217  -0.615 1.133  -0.713 1.030  -0.787 0.910  -0.857 0.785  -0.920 0.658  -0.969 0.525  -1.021 0.392  -1.049 0.255  -1.043 0.113  -1.015 -0.026  -0.959 -0.157  -0.863 -0.257  -0.756 -0.349  -0.660 -0.455  -0.555 -0.550  -0.440 -0.634  -0.316 -0.703  -0.180 -0.744  -0.042 -0.780  0.096 -0.815  0.237 -0.830  0.379 -0.836  0.521 -0.831  0.660 -0.799  0.800 -0.782  0.943 -0.782  1.078 -0.738  1.206 -0.678  1.300 -0.588  1.300 -0.446  1.261 -0.315  1.163 -0.214  1.052 -0.125  0.916 -0.084  0.777 -0.051  0.637 -0.026  0.497 -0.004  0.355 0.001  0.212 -0.003  0.071 -0.016  -0.071 -0.031  -0.213 -0.035  -0.338 -0.088
2#apb#apb22#app2254/H  -1.146 0.989  -1.064 0.884  -1.025 0.635  -0.922 0.400  -0.841 0.157  -0.719 -0.069  -0.647 -0.315  -0.574 -0.561  -0.489 -0.804  -0.396 -1.043  -0.357 -1.174  -0.312 -0.921  -0.266 -0.668  -0.221 -0.415  -0.176 -0.162  -0.130 0.091  -0.085 0.344  -0.039 0.597  0.006 0.850  0.052 1.103  0.097 1.356  0.143 1.609  0.192 1.514  0.262 1.271  0.356 1.032  0.437 0.788  0.576 0.572  0.694 0.344  0.793 0.108  0.901 -0.126  1.007 -0.360  1.098 -0.600  1.189 -0.841  1.281 -1.081  1.311 -1.165  1.086 -1.042  0.860 -0.920  0.634 -0.797  0.408 -0.674  0.182 -0.552  -0.044 -0.429  -0.270 -0.306  -0.496 -0.184  -0.722 -0.061  -0.948 0.062  -0.834 0.074  -0.591 0.064  -0.337 0.102  -0.083 0.141  0.170 0.186
2#apb#apb22#app2254/I  -0.330 0.590  -0.187 0.570  -0.113 0.365  -0.036 0.161  0.070 -0.031  0.184 -0.217  0.314 -0.393  0.432 -0.577  0.514 -0.776  0.364 -0.814  0.146 -0.802  -0.072 -0.789  -0.291 -0.777  -0.509 -0.764  -0.727 -0.752  -0.831 -0.831  -0.647 -0.935  -0.429 -0.938  -0.212 -0.912  0.003 -0.877  0.220 -0.846  0.436 -0.813  0.652 -0.775  0.869 -0.755  1.087 -0.745  1.306 -0.745  1.178 -0.634  1.000 -0.507  0.822 -0.381  0.644 -0.254  0.465 -0.127  0.287 -0.000  0.109 0.126  -0.069 0.253  -0.248 0.380  -0.426 0.507  -0.604 0.633  -0.782 0.760  -0.961 0.887  -1.139 1.014  -1.231 1.113  -1.012 1.120  -0.794 1.138  -0.577 1.160  -0.359 1.165  -0.140 1.154  0.078 1.160  0.297 1.171  0.515 1.171  0.734 1.171
2#apb#apb22#app2254/J  0.049 0.583  -0.061 0.573  -0.080 0.452  -0.020 0.309  0.050 0.171  0.134 0.040  0.235 -0.078  0.355 -0.174  0.483 -0.261  0.588 -0.376  0.703 -0.480  0.818 -0.584  0.922 -0.699  1.021 -0.818  1.032 -0.962  0.916 -1.061  0.766 -1.095  0.611 -1.077  0.457 -1.065  0.301 -1.057  0.148 -1.036  -0.005 -1.007  -0.155 -0.967  -0.304 -0.928  -0.460 -0.928  -0.602 -0.869  -0.655 -0.724  -0.685 -0.572  -0.714 -0.419  -0.744 -0.267  -0.774 -0.114  -0.803 0.038  -0.833 0.191  -0.863 0.343  -0.893 0.496  -0.922 0.648  -0.952 0.801  -0.844 0.847  -0.692 0.876  -0.538 0.898  -0.386 0.929  -0.237 0.972  -0.084 0.997  0.071 1.005  0.226 1.019  0.380 1.036  0.533 1.065  0.687 1.084  0.837 1.115  0.981 1.134
2#apb#apb22#app2254/K  -1.106 0.801  -1.182 0.931  -1.118 0.720  -1.026 0.519  -0.924 0.322  -0.831 0.120  -0.741 -0.083  -0.650 -0.286  -0.523 -0.467  -0.402 -0.652  -0.303 -0.851  -0.207 -1.051  -0.135 -1.093  -0.089 -0.875  -0.044 -0.658  0.001 -0.440  0.047 -0.223  0.092 -0.005  0.137 0.212  0.182 0.430  0.228 0.647  0.273 0.865  0.318 1.082  0.364 1.300  0.412 1.516  0.357 1.457  0.232 1.287  0.103 1.109  0.008 0.909  -0.072 0.702  -0.150 0.494  -0.215 0.282  -0.273 0.068  -0.392 -0.119  -0.507 -0.309  -0.612 -0.505  -0.609 -0.513  -0.412 -0.414  -0.199 -0.379  0.002 -0.309  0.204 -0.237  0.426 -0.223  0.648 -0.223  0.829 -0.336  1.003 -0.473  1.157 -0.633  1.303 -0.800  1.394 -0.999  1.459 -1.211  1.544 -1.404
