1d#tos#f1#f1009062/\"  -0.677 0.301  -0.829 0.301  -0.981 0.301  -0.945 0.247  -0.878 0.162  -0.942 0.036  -1.093 0.033  -1.114 0.100  -1.029 0.167  -1.010 0.033  -0.945 -0.053  -1.012 -0.177  -1.107 -0.235  -1.213 -0.189  -1.082 -0.168  -1.079 -0.317  -1.079 -0.469  -1.079 -0.621  -1.018 -0.671  -0.884 -0.598  -0.751 -0.525  -0.617 -0.452  -0.483 -0.379  -0.350 -0.306  -0.216 -0.233  -0.083 -0.161  0.051 -0.088  0.184 -0.015  0.318 0.058  0.451 0.131  0.585 0.204  0.719 0.276  0.852 0.349  0.986 0.422  1.119 0.495  1.135 0.502  1.262 0.440  1.267 0.290  1.246 0.146  1.113 0.100  0.998 0.138  1.055 0.234  1.133 0.160  1.107 0.033  0.998 0.077  1.004 0.100  1.145 0.100  1.230 0.033  1.267 -0.083  1.267 -0.235
1d#tos#f1#f1009062/#  -1.309 0.762  -1.496 0.531  -1.319 0.531  -0.902 0.531  -0.484 0.531  -0.067 0.531  0.350 0.531  0.758 0.608  1.176 0.608  1.180 0.533  0.789 0.387  0.398 0.240  0.008 0.094  -0.383 -0.053  -0.774 -0.199  -1.171 -0.313  -1.355 -0.544  -0.937 -0.544  -0.520 -0.544  -0.103 -0.544  0.313 -0.538  0.686 -0.390  1.103 -0.390  0.894 -0.121  0.606 0.181  0.319 0.484  0.031 0.786  -0.256 1.089  -0.387 0.884  -0.533 0.555  -0.541 0.139  -0.617 -0.261  -0.617 -0.678  -0.611 -1.094  -0.541 -1.495  -0.374 -1.423  -0.199 -1.044  -0.025 -0.664  0.149 -0.285  0.323 0.094  0.498 0.473  0.672 0.852  0.832 1.223  0.688 0.949  0.688 0.532  0.612 0.127  0.612 -0.290  0.612 -0.708  0.612 -1.125  0.612 -1.542
1d#tos#f1#f1009062/$  0.801 0.553  0.658 0.720  0.491 0.831  0.338 0.998  0.079 1.016  -0.162 1.053  -0.328 0.942  -0.589 0.925  -0.644 0.660  -0.700 0.438  -0.589 0.272  -0.386 0.164  -0.108 0.164  0.146 0.108  0.365 0.044  0.579 -0.047  0.690 -0.214  0.901 -0.281  0.912 -0.547  0.912 -0.824  0.702 -0.996  0.568 -1.237  0.357 -1.329  0.087 -1.337  -0.191 -1.337  -0.413 -1.282  -0.621 -1.115  -0.644 -0.860  -0.634 -0.584  -0.548 -0.320  -0.463 -0.056  -0.377 0.208  -0.291 0.473  -0.205 0.737  -0.119 1.001  -0.033 1.265  0.052 1.529  -0.033 1.527  -0.033 1.250  -0.033 0.972  -0.033 0.694  -0.033 0.417  -0.033 0.139  -0.033 -0.139  -0.033 -0.417  -0.033 -0.694  -0.033 -0.972  -0.088 -1.227  -0.088 -1.504  -0.088 -1.782
1d#tos#f1#f1009062/%  0.892 1.925  0.706 1.772  0.623 1.548  0.533 1.307  0.389 1.116  0.280 0.893  0.226 0.648  0.065 0.436  -0.070 0.213  -0.178 -0.023  -0.249 -0.270  -0.364 -0.502  -0.484 -0.733  -0.535 -0.989  -0.633 -1.108  -0.595 -0.843  -0.557 -0.578  -0.520 -0.313  -0.482 -0.048  -0.444 0.217  -0.406 0.482  -0.478 0.651  -0.746 0.651  -0.840 0.864  -0.729 1.059  -0.533 1.161  -0.316 1.110  -0.216 0.932  -0.178 0.673  -0.315 0.504  -0.507 0.461  -0.347 0.246  -0.188 0.031  -0.028 -0.184  0.131 -0.399  0.291 -0.614  0.451 -0.829  0.610 -1.044  0.516 -1.182  0.249 -1.182  0.093 -1.038  0.077 -0.780  0.195 -0.571  0.388 -0.418  0.656 -0.418  0.771 -0.571  0.841 -0.769  0.790 -1.025  0.680 -1.182  0.484 -1.284
1d#tos#f1#f1009062/&  0.710 0.141  0.583 0.039  0.519 -0.175  0.329 -0.262  0.329 -0.491  0.245 -0.685  0.138 -0.807  0.011 -0.983  -0.187 -1.070  -0.402 -1.130  -0.631 -1.130  -0.731 -0.988  -0.931 -0.887  -1.006 -0.690  -1.006 -0.461  -1.070 -0.295  -1.070 -0.066  -0.921 0.014  -0.692 0.014  -0.510 0.129  -0.350 0.205  -0.121 0.205  0.018 0.332  0.245 0.347  0.458 0.429  0.646 0.493  0.768 0.647  0.869 0.777  0.900 0.974  0.875 1.196  0.742 1.381  0.589 1.476  0.360 1.476  0.131 1.476  -0.085 1.444  -0.116 1.228  -0.229 1.046  -0.243 0.823  -0.243 0.594  -0.243 0.365  -0.243 0.135  -0.209 -0.088  -0.119 -0.298  -0.116 -0.526  0.023 -0.697  0.116 -0.896  0.303 -1.003  0.405 -1.130  0.519 -1.245  0.646 -1.384
1d#tos#f1#f1009062/)  -0.523 1.378  -0.569 1.305  -0.623 1.239  -0.609 1.239  -0.517 1.239  -0.424 1.239  -0.337 1.234  -0.332 1.146  -0.242 1.142  -0.201 1.059  -0.158 1.007  -0.066 1.007  -0.058 0.922  -0.011 0.876  0.026 0.821  0.082 0.757  0.082 0.664  0.128 0.618  0.182 0.574  0.226 0.495  0.268 0.445  0.290 0.358  0.314 0.271  0.314 0.178  0.361 0.132  0.361 0.040  0.361 -0.053  0.361 -0.145  0.361 -0.238  0.361 -0.330  0.361 -0.423  0.361 -0.515  0.361 -0.608  0.303 -0.652  0.274 -0.740  0.221 -0.785  0.221 -0.877  0.151 -0.899  0.128 -0.969  0.071 -1.013  0.035 -1.097  -0.023 -1.132  -0.058 -1.189  -0.058 -1.282  -0.111 -1.336  -0.199 -1.364  -0.292 -1.364  -0.337 -1.412  -0.383 -1.458  -0.430 -1.504
1d#tos#f1#f1009062/*  -0.430 0.825  -0.623 0.825  -0.507 0.598  -0.281 0.399  -0.065 0.207  0.173 0.061  0.310 -0.177  0.455 -0.439  0.720 -0.578  0.896 -0.816  1.149 -0.876  1.195 -0.890  1.151 -0.582  1.107 -0.273  1.063 0.035  1.019 0.344  0.975 0.653  0.757 0.761  0.523 0.638  0.402 0.405  0.183 0.256  0.012 0.027  -0.174 -0.182  -0.386 -0.351  -0.454 -0.634  -0.751 -0.702  -0.903 -0.943  -1.010 -1.196  -1.079 -1.133  -0.973 -0.840  -0.867 -0.547  -0.761 -0.254  -0.655 0.040  -0.549 0.333  -0.443 0.626  -0.337 0.919  -0.231 1.212  -0.125 1.505  -0.114 1.676  -0.177 1.428  -0.114 1.131  -0.114 0.819  -0.114 0.508  -0.051 0.206  0.012 -0.079  0.012 -0.391  0.012 -0.703  0.012 -1.015  0.075 -1.263  0.075 -1.575
1d#tos#f1#f1009062/  -1.063 0.111  -1.141 0.107  -1.216 0.082  -1.290 0.058  -1.336 0.012  -1.336 -0.066  -1.387 -0.094  -1.404 -0.033  -1.333 -0.026  -1.255 -0.026  -1.176 -0.026  -1.098 -0.026  -1.019 -0.026  -0.941 -0.026  -0.862 -0.026  -0.784 -0.026  -0.705 -0.026  -0.627 -0.026  -0.548 -0.026  -0.470 -0.026  -0.391 -0.026  -0.313 -0.026  -0.234 -0.026  -0.156 -0.026  -0.077 -0.026  0.001 -0.026  0.080 -0.026  0.158 -0.026  0.237 -0.026  0.316 -0.026  0.394 -0.026  0.473 -0.026  0.551 -0.026  0.630 -0.026  0.708 -0.026  0.787 -0.026  0.865 -0.026  0.944 -0.026  1.022 -0.026  1.101 -0.026  1.179 -0.026  1.187 0.044  1.200 0.111  1.278 0.111  1.357 0.111  1.435 0.111  1.514 0.111  1.557 0.054  1.592 -0.017  1.597 0.042
1d#tos#f1#f1009062/.  1.245 1.096  1.146 1.096  1.047 1.096  0.948 1.096  0.848 1.096  0.749 1.096  0.650 1.096  0.551 1.096  0.452 1.096  0.353 1.096  0.254 1.096  0.155 1.096  0.056 1.096  0.031 1.022  0.031 0.923  0.031 0.824  0.031 0.725  0.031 0.625  0.031 0.526  0.031 0.427  0.031 0.328  0.031 0.229  0.031 0.130  0.031 0.031  0.031 -0.068  0.031 -0.167  0.031 -0.266  0.031 -0.365  0.031 -0.464  0.031 -0.564  0.031 -0.663  -0.006 -0.725  -0.105 -0.725  -0.204 -0.725  -0.303 -0.725  -0.403 -0.725  -0.502 -0.725  -0.576 -0.749  -0.576 -0.848  -0.576 -0.948  -0.576 -1.047  -0.576 -1.146  -0.576 -1.245  -0.576 -1.319  -0.576 -1.220  -0.576 -1.121  -0.576 -1.022  -0.576 -0.923  -0.576 -0.824  -0.576 -0.725
1d#tos#f1#f1009062/  0.985 1.338  0.922 1.296  0.858 1.254  0.788 1.237  0.731 1.217  0.731 1.141  0.668 1.104  0.607 1.061  0.553 1.007  0.529 0.941  0.478 0.916  0.465 0.842  0.441 0.770  0.427 0.696  0.401 0.626  0.371 0.557  0.353 0.483  0.334 0.409  0.290 0.357  0.222 0.322  0.159 0.280  0.095 0.238  0.045 0.182  0.003 0.119  -0.029 0.053  -0.029 -0.023  -0.029 -0.099  -0.068 -0.152  -0.133 -0.188  -0.167 -0.256  -0.213 -0.316  -0.232 -0.384  -0.284 -0.438  -0.336 -0.493  -0.360 -0.566  -0.384 -0.638  -0.384 -0.714  -0.428 -0.763  -0.494 -0.800  -0.547 -0.854  -0.596 -0.911  -0.630 -0.979  -0.679 -1.036  -0.739 -1.058  -0.739 -1.134  -0.739 -1.210  -0.739 -1.286  -0.795 -1.327  -0.841 -1.375  -0.841 -1.451
1d#tos#f1#f1009062/:  0.427 1.342  0.331 1.342  0.235 1.342  0.160 1.321  0.160 1.225  0.093 1.221  0.093 1.317  0.089 1.409  0.059 1.409  0.137 1.365  0.160 1.279  0.157 1.183  0.148 1.087  0.139 0.992  0.130 0.896  0.121 0.800  0.112 0.705  0.103 0.609  0.094 0.514  0.085 0.418  0.077 0.322  0.068 0.227  0.059 0.131  0.050 0.036  0.041 -0.060  0.032 -0.156  0.023 -0.251  0.014 -0.347  0.005 -0.442  -0.004 -0.538  -0.013 -0.633  -0.022 -0.729  -0.031 -0.825  -0.040 -0.920  -0.108 -0.949  -0.108 -1.045  -0.175 -1.075  -0.175 -1.171  -0.175 -1.267  -0.206 -1.332  -0.302 -1.332  -0.308 -1.242  -0.308 -1.146  -0.251 -1.074  -0.241 -0.982  -0.241 -0.886  -0.234 -0.931  -0.175 -0.967  -0.175 -1.063  -0.108 -1.131
