3#apb#apb32#app3201/3  -0.638 0.651  -0.720 0.765  -0.709 0.902  -0.646 1.027  -0.554 1.125  -0.435 1.200  -0.309 1.263  -0.180 1.314  -0.040 1.314  0.099 1.304  0.226 1.244  0.350 1.179  0.463 1.095  0.551 0.990  0.609 0.863  0.623 0.725  0.597 0.588  0.544 0.460  0.462 0.345  0.367 0.245  0.247 0.173  0.127 0.099  0.010 0.021  -0.108 -0.056  -0.231 -0.123  -0.286 -0.162  -0.146 -0.162  -0.007 -0.182  0.130 -0.214  0.261 -0.263  0.393 -0.313  0.519 -0.376  0.636 -0.452  0.740 -0.546  0.747 -0.672  0.654 -0.777  0.551 -0.873  0.445 -0.963  0.311 -1.007  0.176 -1.044  0.039 -1.076  -0.099 -1.103  -0.238 -1.125  -0.378 -1.125  -0.519 -1.122  -0.656 -1.089  -0.793 -1.058  -0.932 -1.039  -1.069 -1.011  -1.186 -0.959
3#apb#apb32#app3201/  0.790 1.451  0.795 1.427  0.759 1.368  0.722 1.308  0.685 1.249  0.647 1.191  0.609 1.133  0.571 1.074  0.534 1.015  0.502 0.954  0.470 0.892  0.438 0.830  0.406 0.768  0.374 0.706  0.339 0.646  0.303 0.587  0.266 0.527  0.230 0.468  0.193 0.409  0.157 0.349  0.121 0.290  0.087 0.229  0.053 0.168  0.019 0.107  -0.014 0.046  -0.048 -0.015  -0.082 -0.076  -0.116 -0.136  -0.149 -0.198  -0.181 -0.259  -0.214 -0.321  -0.246 -0.383  -0.278 -0.444  -0.311 -0.506  -0.343 -0.568  -0.375 -0.629  -0.405 -0.692  -0.431 -0.757  -0.457 -0.822  -0.482 -0.886  -0.508 -0.951  -0.534 -1.016  -0.560 -1.080  -0.580 -1.147  -0.597 -1.214  -0.614 -1.282  -0.631 -1.349  -0.644 -1.417  -0.638 -1.487  -0.632 -1.556
3#apb#apb32#app3201/7  -1.138 0.657  -1.040 0.683  -0.943 0.704  -0.842 0.687  -0.740 0.677  -0.638 0.687  -0.536 0.698  -0.433 0.708  -0.330 0.710  -0.228 0.710  -0.125 0.710  -0.022 0.715  0.079 0.730  0.181 0.746  0.283 0.761  0.383 0.786  0.482 0.812  0.580 0.842  0.670 0.892  0.761 0.941  0.761 0.838  0.736 0.739  0.710 0.639  0.683 0.540  0.649 0.443  0.610 0.348  0.570 0.253  0.531 0.158  0.490 0.063  0.441 -0.027  0.391 -0.117  0.341 -0.207  0.292 -0.297  0.242 -0.387  0.188 -0.475  0.129 -0.558  0.069 -0.642  0.009 -0.726  -0.051 -0.809  -0.111 -0.893  -0.168 -0.978  -0.223 -1.066  -0.277 -1.153  -0.332 -1.240  -0.386 -1.327  -0.438 -1.416  -0.489 -1.505  -0.540 -1.595  -0.590 -1.685  -0.641 -1.774
3#apb#apb32#app3201/6  0.630 1.425  0.665 1.580  0.664 1.668  0.510 1.652  0.391 1.546  0.291 1.423  0.203 1.290  0.114 1.157  0.037 1.018  -0.039 0.877  -0.114 0.737  -0.188 0.596  -0.248 0.448  -0.308 0.300  -0.368 0.152  -0.428 0.004  -0.467 -0.150  -0.498 -0.306  -0.530 -0.463  -0.561 -0.619  -0.589 -0.776  -0.601 -0.935  -0.613 -1.094  -0.625 -1.253  -0.559 -1.395  -0.459 -1.495  -0.307 -1.471  -0.174 -1.382  -0.041 -1.294  0.045 -1.160  0.131 -1.025  0.217 -0.891  0.297 -0.753  0.375 -0.614  0.453 -0.475  0.530 -0.335  0.578 -0.183  0.626 -0.031  0.639 0.124  0.614 0.282  0.530 0.413  0.409 0.492  0.249 0.492  0.122 0.397  -0.005 0.300  -0.119 0.189  -0.232 0.076  -0.335 -0.045  -0.431 -0.173  -0.485 -0.319
3#apb#apb32#app3201/  0.436 1.275  0.501 1.304  0.565 1.335  0.630 1.359  0.668 1.305  0.671 1.236  0.656 1.167  0.631 1.100  0.606 1.033  0.578 0.967  0.547 0.903  0.516 0.838  0.486 0.774  0.454 0.710  0.419 0.647  0.384 0.585  0.350 0.523  0.315 0.460  0.280 0.398  0.245 0.336  0.210 0.274  0.174 0.212  0.138 0.150  0.102 0.088  0.066 0.027  0.030 -0.035  -0.006 -0.097  -0.042 -0.159  -0.079 -0.220  -0.119 -0.279  -0.160 -0.337  -0.201 -0.396  -0.242 -0.454  -0.283 -0.513  -0.324 -0.571  -0.365 -0.630  -0.406 -0.689  -0.444 -0.748  -0.479 -0.811  -0.514 -0.873  -0.549 -0.935  -0.584 -0.997  -0.620 -1.060  -0.654 -1.122  -0.687 -1.185  -0.721 -1.249  -0.754 -1.312  -0.785 -1.376  -0.808 -1.444  -0.831 -1.511
3#apb#apb32#app3201/4  -0.940 0.597  -0.820 0.578  -0.725 0.536  -0.655 0.509  -0.750 0.365  -0.844 0.220  -0.936 0.074  -1.047 -0.058  -1.162 -0.186  -1.236 -0.343  -1.309 -0.499  -1.349 -0.659  -1.236 -0.720  -1.083 -0.640  -0.925 -0.570  -0.766 -0.504  -0.611 -0.428  -0.456 -0.350  -0.294 -0.289  -0.131 -0.235  0.037 -0.195  0.205 -0.152  0.370 -0.155  0.539 -0.179  0.602 -0.034  0.650 0.132  0.697 0.298  0.744 0.465  0.791 0.631  0.838 0.797  0.886 0.963  0.933 1.129  0.980 1.296  1.000 1.143  0.996 0.971  0.947 0.805  0.899 0.639  0.842 0.476  0.781 0.315  0.720 0.153  0.644 -0.002  0.559 -0.152  0.475 -0.303  0.390 -0.454  0.311 -0.607  0.231 -0.761  0.152 -0.914  0.084 -1.073  0.019 -1.233  -0.046 -1.393
3#apb#apb32#app3201/1  0.635 1.482  0.573 1.513  0.565 1.456  0.565 1.386  0.545 1.320  0.522 1.254  0.499 1.189  0.475 1.123  0.452 1.058  0.429 0.992  0.406 0.926  0.383 0.861  0.360 0.795  0.331 0.731  0.301 0.669  0.272 0.606  0.242 0.543  0.212 0.480  0.182 0.417  0.152 0.354  0.123 0.291  0.093 0.228  0.063 0.165  0.034 0.102  0.008 0.038  -0.019 -0.027  -0.045 -0.091  -0.072 -0.156  -0.098 -0.220  -0.124 -0.284  -0.151 -0.349  -0.177 -0.413  -0.203 -0.478  -0.230 -0.542  -0.256 -0.607  -0.282 -0.671  -0.309 -0.735  -0.335 -0.800  -0.362 -0.864  -0.388 -0.928  -0.415 -0.993  -0.441 -1.057  -0.468 -1.122  -0.494 -1.186  -0.521 -1.250  -0.549 -1.314  -0.577 -1.377  -0.606 -1.441  -0.634 -1.505  -0.662 -1.568
3#apb#apb32#app3201/  0.832 1.475  0.808 1.410  0.783 1.345  0.759 1.280  0.733 1.215  0.708 1.150  0.683 1.086  0.652 1.024  0.618 0.963  0.585 0.902  0.551 0.841  0.518 0.780  0.484 0.719  0.452 0.658  0.419 0.597  0.386 0.536  0.353 0.474  0.320 0.413  0.287 0.352  0.250 0.293  0.213 0.234  0.176 0.175  0.139 0.116  0.102 0.057  0.065 -0.001  0.029 -0.060  -0.009 -0.119  -0.050 -0.175  -0.090 -0.232  -0.131 -0.288  -0.171 -0.345  -0.212 -0.401  -0.252 -0.457  -0.293 -0.514  -0.333 -0.570  -0.376 -0.625  -0.422 -0.677  -0.467 -0.730  -0.512 -0.783  -0.557 -0.836  -0.602 -0.888  -0.648 -0.941  -0.693 -0.994  -0.738 -1.047  -0.783 -1.100  -0.828 -1.153  -0.873 -1.206  -0.917 -1.260  -0.955 -1.317  -0.994 -1.375
3#apb#apb32#app3201/1  0.473 1.626  0.442 1.564  0.411 1.502  0.380 1.440  0.352 1.377  0.335 1.310  0.318 1.243  0.301 1.175  0.284 1.108  0.268 1.041  0.251 0.974  0.234 0.906  0.217 0.839  0.200 0.772  0.183 0.704  0.167 0.637  0.151 0.570  0.135 0.502  0.120 0.435  0.104 0.367  0.088 0.299  0.072 0.232  0.056 0.164  0.040 0.097  0.024 0.029  0.008 -0.038  -0.008 -0.106  -0.023 -0.173  -0.039 -0.241  -0.055 -0.308  -0.075 -0.375  -0.096 -0.441  -0.117 -0.507  -0.138 -0.573  -0.159 -0.639  -0.180 -0.705  -0.201 -0.771  -0.222 -0.837  -0.243 -0.903  -0.264 -0.969  -0.285 -1.036  -0.306 -1.102  -0.327 -1.168  -0.348 -1.234  -0.369 -1.300  -0.390 -1.366  -0.411 -1.432  -0.432 -1.498  -0.453 -1.564  -0.474 -1.630
3#apb#apb32#app3201/1  0.139 1.637  0.174 1.576  0.208 1.515  0.243 1.454  0.278 1.393  0.281 1.324  0.281 1.254  0.281 1.183  0.281 1.113  0.281 1.043  0.281 0.973  0.281 0.902  0.281 0.832  0.281 0.762  0.281 0.691  0.281 0.621  0.265 0.553  0.244 0.486  0.224 0.419  0.203 0.352  0.182 0.285  0.161 0.218  0.140 0.151  0.119 0.084  0.099 0.016  0.078 -0.051  0.057 -0.118  0.036 -0.185  0.015 -0.252  -0.006 -0.319  -0.026 -0.386  -0.050 -0.452  -0.079 -0.516  -0.108 -0.580  -0.137 -0.644  -0.167 -0.708  -0.196 -0.772  -0.225 -0.836  -0.254 -0.900  -0.283 -0.964  -0.312 -1.028  -0.341 -1.092  -0.370 -1.156  -0.399 -1.220  -0.428 -1.284  -0.457 -1.348  -0.486 -1.412  -0.515 -1.476  -0.545 -1.540  -0.574 -1.604
3#apb#apb32#app3201/1  0.553 1.485  0.517 1.539  0.490 1.488  0.478 1.420  0.465 1.351  0.453 1.283  0.436 1.215  0.414 1.149  0.392 1.083  0.370 1.017  0.348 0.951  0.326 0.885  0.303 0.819  0.278 0.754  0.252 0.689  0.227 0.624  0.202 0.560  0.176 0.495  0.151 0.430  0.125 0.365  0.100 0.300  0.075 0.235  0.051 0.170  0.028 0.104  0.005 0.038  -0.018 -0.028  -0.041 -0.093  -0.063 -0.159  -0.086 -0.225  -0.109 -0.291  -0.132 -0.357  -0.155 -0.422  -0.179 -0.488  -0.203 -0.553  -0.228 -0.618  -0.252 -0.684  -0.276 -0.749  -0.300 -0.814  -0.324 -0.880  -0.346 -0.946  -0.366 -1.013  -0.385 -1.079  -0.405 -1.146  -0.425 -1.213  -0.444 -1.280  -0.464 -1.347  -0.481 -1.414  -0.496 -1.482  -0.511 -1.550  -0.526 -1.618
