2#tos#t1#t1042062/!  0.106 1.619  0.028 1.619  -0.009 1.619  0.015 1.566  0.015 1.488  0.015 1.410  0.015 1.332  0.015 1.255  0.015 1.177  0.015 1.099  0.015 1.021  0.015 0.943  0.015 0.865  0.015 0.788  0.015 0.710  0.015 0.632  0.015 0.554  0.015 0.476  -0.018 0.412  -0.073 0.357  -0.075 0.280  -0.075 0.202  -0.075 0.124  -0.075 0.047  -0.075 -0.031  -0.075 -0.109  -0.075 -0.187  -0.042 -0.232  -0.005 -0.232  -0.021 -0.284  -0.008 -0.361  0.005 -0.438  0.017 -0.515  0.030 -0.591  0.043 -0.668  0.056 -0.745  0.069 -0.822  0.081 -0.899  0.094 -0.975  0.098 -1.044  0.020 -1.044  -0.030 -1.072  -0.030 -1.150  -0.030 -1.228  -0.030 -1.306  -0.030 -1.384  -0.030 -1.462  -0.030 -1.539  0.015 -1.599  0.015 -1.676
2#tos#t1#t1042062/\"  -0.806 0.840  -0.806 0.682  -0.806 0.525  -0.900 0.461  -0.996 0.399  -0.996 0.242  -0.996 0.084  -0.996 -0.073  -0.996 -0.231  -0.996 -0.388  -0.996 -0.546  -0.996 -0.703  -0.996 -0.861  -0.996 -1.018  -0.884 -1.035  -0.780 -0.916  -0.677 -0.797  -0.574 -0.678  -0.470 -0.559  -0.367 -0.440  -0.264 -0.322  -0.160 -0.203  -0.057 -0.084  0.046 0.035  0.150 0.154  0.253 0.273  0.356 0.391  0.460 0.510  0.563 0.629  0.666 0.748  0.770 0.867  0.873 0.986  0.977 1.105  0.861 1.124  0.804 1.024  0.804 0.866  0.709 0.803  0.709 0.646  0.709 0.488  0.709 0.331  0.709 0.173  0.709 0.016  0.709 -0.142  0.709 -0.299  0.709 -0.457  0.709 -0.614  0.709 -0.772  0.709 -0.929  0.709 -1.087  0.709 -1.244
2#tos#t1#t1042062/&  0.858 -1.118  0.659 -1.158  0.477 -1.118  0.332 -1.010  0.185 -0.870  0.096 -0.699  0.033 -0.557  -0.093 -0.477  -0.169 -0.331  -0.224 -0.148  -0.287 0.015  -0.305 0.219  -0.385 0.345  -0.385 0.551  -0.385 0.758  -0.385 0.964  -0.385 1.170  -0.345 1.360  -0.227 1.524  -0.040 1.569  0.116 1.649  0.282 1.609  0.390 1.482  0.457 1.317  0.457 1.111  0.377 0.962  0.257 0.845  0.137 0.759  0.026 0.612  -0.064 0.461  -0.148 0.280  -0.252 0.125  -0.392 0.005  -0.425 -0.169  -0.465 -0.335  -0.556 -0.487  -0.625 -0.665  -0.625 -0.871  -0.625 -1.077  -0.581 -1.239  -0.374 -1.239  -0.218 -1.158  -0.041 -1.062  0.137 -0.958  0.299 -0.835  0.417 -0.694  0.545 -0.560  0.704 -0.431  0.826 -0.268  0.939 -0.156
2#tos#t1#t1042062/+  -1.284 0.094  -1.430 0.036  -1.578 0.008  -1.619 -0.157  -1.553 -0.251  -1.382 -0.251  -1.212 -0.251  -1.042 -0.251  -0.872 -0.251  -0.702 -0.251  -0.532 -0.251  -0.379 -0.208  -0.240 -0.122  -0.074 -0.089  0.096 -0.078  0.266 -0.078  0.431 -0.037  0.599 -0.021  0.769 -0.021  0.910 0.048  1.062 0.094  1.232 0.094  1.402 0.094  1.296 0.196  1.167 0.308  1.039 0.419  0.910 0.530  0.781 0.641  0.652 0.752  0.524 0.864  0.395 0.975  0.266 1.086  0.133 1.185  0.037 1.066  0.037 0.896  0.037 0.726  0.037 0.556  0.037 0.386  0.037 0.216  0.037 0.045  0.016 -0.120  -0.020 -0.281  -0.020 -0.451  -0.020 -0.622  -0.020 -0.792  -0.020 -0.962  -0.020 -1.132  -0.028 -1.300  -0.078 -1.459  -0.078 -1.629
2#tos#t1#t1042062/.  -0.165 1.304  -0.253 1.304  -0.342 1.304  -0.430 1.304  -0.519 1.304  -0.588 1.286  -0.588 1.197  -0.588 1.109  -0.588 1.020  -0.588 0.932  -0.588 0.843  -0.588 0.755  -0.588 0.666  -0.588 0.578  -0.588 0.490  -0.588 0.401  -0.588 0.313  -0.588 0.224  -0.588 0.136  -0.588 0.047  -0.513 0.034  -0.424 0.034  -0.336 0.034  -0.247 0.034  -0.159 0.034  -0.071 0.034  0.018 0.034  0.106 0.034  0.195 0.034  0.270 0.012  0.309 -0.067  0.349 -0.146  0.388 -0.225  0.428 -0.304  0.467 -0.383  0.507 -0.462  0.546 -0.541  0.586 -0.621  0.626 -0.700  0.665 -0.779  0.682 -0.863  0.682 -0.952  0.682 -1.040  0.682 -1.129  0.682 -1.217  0.682 -1.305  0.682 -1.394  0.682 -1.482  0.682 -1.571  0.682 -1.659
2#tos#t1#t1042062/  0.860 1.411  0.829 1.366  0.815 1.303  0.812 1.228  0.739 1.204  0.678 1.171  0.678 1.094  0.678 1.017  0.624 0.974  0.555 0.939  0.491 0.901  0.456 0.832  0.450 0.756  0.448 0.680  0.394 0.626  0.340 0.571  0.285 0.517  0.231 0.463  0.177 0.408  0.176 0.332  0.176 0.255  0.135 0.201  0.069 0.161  0.003 0.122  -0.052 0.076  -0.052 -0.001  -0.052 -0.078  -0.057 -0.154  -0.081 -0.227  -0.119 -0.288  -0.188 -0.322  -0.257 -0.356  -0.316 -0.404  -0.371 -0.458  -0.422 -0.515  -0.457 -0.584  -0.491 -0.652  -0.509 -0.725  -0.509 -0.802  -0.509 -0.879  -0.509 -0.956  -0.540 -1.025  -0.598 -1.067  -0.671 -1.092  -0.691 -1.154  -0.691 -1.231  -0.703 -1.305  -0.737 -1.374  -0.737 -1.451  -0.782 -1.509
2#tos#t1#t1042062/=  -1.311 0.803  -1.444 0.760  -1.424 0.604  -1.247 0.604  -1.071 0.604  -0.894 0.604  -0.718 0.604  -0.541 0.604  -0.365 0.604  -0.188 0.604  -0.012 0.604  0.164 0.604  0.341 0.604  0.517 0.604  0.694 0.604  0.870 0.604  1.047 0.604  1.223 0.604  1.297 0.604  1.139 0.530  0.982 0.449  0.825 0.368  0.668 0.287  0.511 0.207  0.355 0.126  0.198 0.045  0.041 -0.036  -0.116 -0.117  -0.273 -0.197  -0.430 -0.278  -0.586 -0.359  -0.743 -0.440  -0.900 -0.521  -0.964 -0.681  -1.094 -0.784  -0.955 -0.793  -0.778 -0.793  -0.629 -0.726  -0.453 -0.726  -0.276 -0.726  -0.100 -0.726  0.076 -0.726  0.253 -0.726  0.427 -0.698  0.600 -0.663  0.776 -0.660  0.950 -0.657  1.062 -0.593  1.215 -0.616  1.282 -0.593
2#tos#t1#t1042062/>  -0.600 0.939  -0.724 0.939  -0.845 0.912  -0.966 0.881  -1.012 0.793  -0.947 0.733  -0.823 0.733  -0.698 0.733  -0.587 0.684  -0.480 0.620  -0.374 0.556  -0.257 0.527  -0.133 0.527  -0.008 0.527  0.116 0.527  0.240 0.527  0.365 0.527  0.489 0.527  0.614 0.527  0.738 0.527  0.863 0.527  0.979 0.493  1.095 0.458  1.186 0.424  1.186 0.299  1.131 0.197  1.041 0.115  0.917 0.115  0.858 0.008  0.762 -0.063  0.651 -0.119  0.539 -0.174  0.429 -0.231  0.360 -0.334  0.290 -0.436  0.178 -0.492  0.063 -0.522  -0.037 -0.596  -0.137 -0.671  -0.188 -0.770  -0.224 -0.889  -0.280 -0.984  -0.405 -0.984  -0.529 -0.984  -0.633 -1.052  -0.736 -1.121  -0.737 -1.245  -0.815 -1.337  -0.903 -1.425  -1.012 -1.465
2#tos#t1#t1042062/?  -0.278 0.612  -0.388 0.584  -0.469 0.493  -0.591 0.468  -0.663 0.524  -0.751 0.564  -0.783 0.661  -0.856 0.716  -0.790 0.814  -0.671 0.853  -0.603 0.950  -0.475 0.950  -0.358 0.998  -0.230 0.998  -0.101 0.998  0.027 0.998  0.155 0.998  0.263 0.950  0.349 0.907  0.403 0.805  0.531 0.805  0.541 0.687  0.595 0.612  0.638 0.527  0.638 0.399  0.638 0.271  0.638 0.143  0.570 0.083  0.538 -0.014  0.410 -0.014  0.383 -0.124  0.293 -0.214  0.189 -0.286  0.088 -0.342  -0.004 -0.399  -0.037 -0.495  -0.102 -0.495  -0.085 -0.607  -0.038 -0.688  -0.032 -0.814  -0.012 -0.941  0.008 -1.068  0.028 -1.194  0.048 -1.321  0.068 -1.447  0.088 -1.574  0.107 -1.700  0.060 -1.781  0.012 -1.861  0.012 -1.989
2#tos#t1#t1042062/^  -0.763 -0.247  -0.872 -0.281  -0.914 -0.408  -0.957 -0.534  -0.989 -0.638  -1.122 -0.638  -1.054 -0.634  -0.994 -0.514  -0.958 -0.389  -0.958 -0.255  -0.931 -0.149  -0.797 -0.149  -0.693 -0.079  -0.665 0.043  -0.655 0.175  -0.613 0.302  -0.570 0.429  -0.512 0.549  -0.470 0.672  -0.470 0.806  -0.456 0.925  -0.322 0.925  -0.275 1.011  -0.153 1.023  -0.019 1.023  0.115 1.023  0.238 0.999  0.311 0.895  0.377 0.828  0.441 0.731  0.483 0.604  0.567 0.535  0.604 0.439  0.604 0.305  0.675 0.242  0.702 0.135  0.702 0.002  0.702 -0.132  0.702 -0.265  0.702 -0.399  0.702 -0.533  0.702 -0.666  0.767 -0.735  0.897 -0.738  0.897 -0.872  0.964 -0.964  1.084 -1.024  1.119 -1.126  1.129 -1.126  0.995 -1.126
2#tos#t1#t1042062/_  -1.133 0.327  -1.207 0.327  -1.267 0.292  -1.320 0.239  -1.373 0.187  -1.425 0.134  -1.369 0.127  -1.295 0.127  -1.220 0.127  -1.146 0.127  -1.090 0.083  -1.037 0.031  -0.964 0.027  -0.890 0.027  -0.815 0.027  -0.741 0.027  -0.667 0.027  -0.597 0.008  -0.530 -0.025  -0.464 -0.058  -0.393 -0.073  -0.319 -0.073  -0.244 -0.073  -0.170 -0.073  -0.096 -0.073  -0.021 -0.073  0.053 -0.073  0.127 -0.073  0.202 -0.073  0.276 -0.073  0.350 -0.073  0.425 -0.073  0.499 -0.073  0.573 -0.073  0.648 -0.073  0.722 -0.073  0.797 -0.073  0.871 -0.073  0.945 -0.073  1.020 -0.073  1.094 -0.073  1.168 -0.073  1.243 -0.073  1.317 -0.073  1.391 -0.073  1.466 -0.073  1.540 -0.073  1.614 -0.073  1.689 -0.073  1.763 -0.073
