1c#app#app32#app3232/b  -0.378 1.259  -0.424 1.432  -0.535 1.577  -0.619 1.679  -0.588 1.630  -0.538 1.467  -0.538 1.282  -0.538 1.098  -0.538 0.913  -0.523 0.732  -0.465 0.557  -0.458 0.373  -0.458 0.189  -0.458 0.005  -0.435 -0.176  -0.378 -0.351  -0.378 -0.535  -0.378 -0.720  -0.378 -0.593  -0.378 -0.607  -0.378 -0.706  -0.378 -0.522  -0.314 -0.364  -0.241 -0.210  -0.217 -0.035  -0.103 0.105  -0.000 0.259  0.116 0.400  0.207 0.559  0.337 0.689  0.518 0.697  0.666 0.613  0.714 0.440  0.747 0.264  0.747 0.079  0.818 -0.088  0.827 -0.271  0.827 -0.455  0.827 -0.639  0.757 -0.807  0.666 -0.956  0.616 -1.120  0.586 -1.291  0.454 -1.391  0.270 -1.391  0.166 -1.311  0.074 -1.201  0.024 -1.037  0.024 -0.853  0.024 -0.668
1c#app#app32#app3232/i  -0.040 0.523  -0.040 0.405  -0.040 0.288  -0.040 0.171  -0.040 0.053  -0.040 -0.064  -0.040 -0.181  -0.040 -0.298  -0.040 -0.416  -0.040 -0.533  -0.040 -0.650  -0.040 -0.768  -0.040 -0.885  -0.040 -1.002  -0.040 -1.120  -0.040 -1.237  -0.040 -1.354  0.039 -1.393  0.079 -1.469  0.077 -1.438  0.073 -1.321  0.069 -1.204  0.065 -1.087  0.061 -0.969  0.057 -0.852  0.053 -0.735  0.050 -0.618  0.046 -0.500  0.042 -0.383  0.038 -0.266  0.034 -0.149  0.030 -0.031  0.026 0.086  0.022 0.203  0.018 0.320  0.014 0.438  0.010 0.555  0.007 0.672  0.003 0.789  -0.001 0.906  -0.005 1.024  -0.009 1.141  -0.013 1.258  -0.017 1.375  -0.021 1.493  -0.025 1.610  -0.029 1.727  -0.032 1.844  -0.036 1.962  -0.040 2.079
1c#app#app32#app3232/g  -0.067 1.069  -0.067 1.207  -0.131 1.281  -0.199 1.352  -0.305 1.300  -0.377 1.183  -0.455 1.072  -0.491 0.942  -0.529 0.819  -0.562 0.695  -0.601 0.566  -0.681 0.455  -0.703 0.327  -0.703 0.188  -0.703 0.050  -0.678 -0.062  -0.546 -0.047  -0.431 0.008  -0.380 0.120  -0.307 0.235  -0.226 0.345  -0.178 0.463  -0.080 0.561  -0.033 0.679  0.020 0.786  0.154 0.777  0.216 0.664  0.269 0.539  0.356 0.434  0.387 0.303  0.448 0.179  0.498 0.053  0.509 -0.083  0.569 -0.207  0.569 -0.345  0.631 -0.468  0.640 -0.604  0.640 -0.742  0.640 -0.881  0.640 -1.019  0.640 -1.157  0.569 -1.266  0.520 -1.384  0.420 -1.476  0.304 -1.529  0.173 -1.547  0.035 -1.547  -0.067 -1.511  -0.138 -1.444  -0.208 -1.335
1c#app#app32#app3232/i  -0.263 0.540  -0.263 0.418  -0.148 0.411  -0.134 0.303  -0.134 0.181  -0.134 0.059  -0.134 -0.063  -0.134 -0.186  -0.134 -0.308  -0.134 -0.430  -0.091 -0.534  -0.005 -0.621  -0.005 -0.743  -0.005 -0.865  -0.005 -0.987  -0.005 -1.109  -0.005 -1.231  -0.005 -1.353  -0.005 -1.475  0.071 -1.521  0.121 -1.452  0.117 -1.330  0.112 -1.208  0.108 -1.086  0.103 -0.964  0.099 -0.842  0.094 -0.720  0.089 -0.598  0.085 -0.476  0.080 -0.354  0.076 -0.232  0.071 -0.110  0.067 0.012  0.062 0.134  0.058 0.256  0.053 0.378  0.049 0.500  0.044 0.622  0.040 0.744  0.035 0.866  0.031 0.988  0.026 1.110  0.022 1.232  0.017 1.354  0.013 1.476  0.008 1.598  0.004 1.720  -0.001 1.842  -0.005 1.964  -0.005 2.086
1c#app#app32#app3232/n  -0.642 0.418  -0.653 0.286  -0.713 0.166  -0.753 0.042  -0.753 -0.093  -0.753 -0.227  -0.757 -0.359  -0.852 -0.454  -0.863 -0.583  -0.863 -0.718  -0.863 -0.852  -0.863 -0.986  -0.863 -0.914  -0.863 -0.779  -0.863 -0.645  -0.818 -0.530  -0.753 -0.423  -0.723 -0.295  -0.663 -0.175  -0.642 -0.046  -0.593 0.076  -0.533 0.196  -0.473 0.316  -0.407 0.432  -0.313 0.527  -0.252 0.647  -0.187 0.763  -0.092 0.858  0.003 0.953  0.130 0.970  0.264 0.970  0.384 0.937  0.487 0.860  0.606 0.825  0.701 0.730  0.796 0.635  0.891 0.540  0.986 0.445  1.013 0.323  1.067 0.201  1.124 0.080  1.124 -0.054  1.124 -0.188  1.124 -0.322  1.124 -0.456  1.124 -0.591  1.124 -0.725  1.124 -0.859  1.037 -0.906  1.013 -1.017
1c#app#app32#app3232/k  -0.460 1.753  -0.460 1.532  -0.460 1.311  -0.460 1.090  -0.540 0.888  -0.577 0.676  -0.577 0.454  -0.577 0.233  -0.577 0.012  -0.577 -0.209  -0.577 -0.430  -0.577 -0.651  -0.557 -0.867  -0.460 -1.065  -0.460 -1.286  -0.460 -1.508  -0.386 -1.347  -0.304 -1.142  -0.222 -0.937  -0.140 -0.731  -0.058 -0.526  0.024 -0.321  0.107 -0.115  0.189 0.090  0.271 0.295  0.353 0.500  0.435 0.706  0.517 0.911  0.599 1.116  0.681 1.321  0.731 1.284  0.831 1.163  0.831 0.942  0.667 0.815  0.573 0.675  0.400 0.541  0.211 0.430  0.127 0.244  -0.018 0.083  -0.108 -0.101  -0.225 -0.273  -0.321 -0.454  -0.290 -0.645  -0.213 -0.827  -0.026 -0.909  0.181 -0.944  0.402 -0.944  0.623 -0.944  0.844 -0.944  1.065 -0.944
1c#app#app32#app3232/y  -0.249 1.199  -0.249 1.387  -0.270 1.387  -0.340 1.225  -0.388 1.049  -0.415 0.868  -0.457 0.690  -0.457 0.503  -0.457 0.316  -0.355 0.230  -0.261 0.357  -0.204 0.529  -0.180 0.711  -0.111 0.870  -0.111 1.057  -0.079 1.231  0.023 1.338  0.078 1.167  0.140 0.997  0.235 0.838  0.264 0.658  0.348 0.490  0.374 0.309  0.430 0.131  0.443 -0.055  0.443 -0.242  0.443 -0.429  0.443 -0.617  0.443 -0.804  0.443 -0.991  0.443 -1.179  0.441 -1.366  0.374 -1.537  0.264 -1.679  0.117 -1.777  -0.042 -1.749  -0.111 -1.590  -0.180 -1.419  -0.207 -1.238  -0.249 -1.061  -0.249 -0.873  -0.249 -0.686  -0.249 -0.499  -0.249 -0.311  -0.249 -0.124  -0.221 0.051  -0.111 0.153  0.068 0.161  0.255 0.161  0.443 0.161
1c#app#app32#app3232/d  -0.051 1.736  0.003 1.895  0.158 1.939  0.158 1.759  0.158 1.578  0.158 1.397  0.178 1.218  0.214 1.041  0.249 0.863  0.262 0.684  0.262 0.503  0.262 0.322  0.262 0.141  0.262 -0.040  0.262 -0.221  0.262 -0.402  0.262 -0.582  0.307 -0.753  0.367 -0.919  0.367 -1.100  0.367 -1.281  0.367 -1.117  0.367 -0.936  0.367 -0.755  0.327 -0.584  0.262 -0.418  0.262 -0.237  0.262 -0.056  0.262 0.125  0.241 0.297  0.158 0.443  0.133 0.614  -0.015 0.693  -0.196 0.693  -0.342 0.610  -0.431 0.454  -0.538 0.310  -0.631 0.158  -0.677 -0.012  -0.677 -0.193  -0.677 -0.374  -0.677 -0.555  -0.677 -0.736  -0.677 -0.917  -0.572 -0.993  -0.506 -1.147  -0.378 -1.275  -0.204 -1.289  -0.023 -1.289  0.158 -1.289
1c#app#app32#app3232/e  -0.557 -0.097  -0.426 -0.090  -0.331 0.005  -0.206 0.027  -0.072 0.027  0.026 0.115  0.145 0.151  0.279 0.151  0.383 0.224  0.478 0.319  0.579 0.398  0.703 0.421  0.798 0.516  0.893 0.610  0.928 0.730  0.928 0.864  0.928 0.998  0.928 1.132  0.803 1.141  0.669 1.141  0.535 1.141  0.404 1.126  0.284 1.066  0.169 1.000  0.074 0.905  0.010 0.789  -0.050 0.669  -0.138 0.569  -0.216 0.462  -0.276 0.342  -0.351 0.233  -0.441 0.135  -0.501 0.015  -0.557 -0.106  -0.557 -0.240  -0.578 -0.365  -0.673 -0.460  -0.681 -0.591  -0.681 -0.725  -0.674 -0.858  -0.632 -0.985  -0.590 -1.112  -0.535 -1.232  -0.440 -1.327  -0.433 -1.458  -0.302 -1.465  -0.207 -1.560  -0.082 -1.582  0.052 -1.582  0.186 -1.582
1c#app#app32#app3232/v  -0.670 1.136  -0.670 1.004  -0.670 0.872  -0.670 0.739  -0.582 0.643  -0.535 0.531  -0.535 0.398  -0.508 0.272  -0.449 0.154  -0.399 0.033  -0.399 -0.099  -0.392 -0.230  -0.333 -0.348  -0.274 -0.466  -0.215 -0.585  -0.156 -0.703  -0.129 -0.829  -0.129 -0.961  -0.129 -1.093  -0.129 -1.226  -0.129 -1.358  -0.129 -1.490  -0.129 -1.511  -0.129 -1.379  -0.129 -1.246  -0.096 -1.128  -0.002 -1.034  0.006 -0.905  0.006 -0.773  0.006 -0.641  0.006 -0.508  0.083 -0.408  0.141 -0.300  0.141 -0.168  0.161 -0.040  0.220 0.078  0.278 0.197  0.310 0.326  0.342 0.454  0.374 0.582  0.406 0.711  0.490 0.810  0.547 0.919  0.547 1.051  0.580 1.169  0.673 1.263  0.767 1.357  0.817 1.468  0.859 1.583  0.952 1.677
1c#app#app32#app3232/i  -0.012 0.241  -0.012 0.130  -0.012 0.018  -0.012 -0.093  -0.012 -0.204  -0.012 -0.315  -0.077 -0.400  -0.108 -0.498  -0.108 -0.610  -0.108 -0.721  -0.108 -0.832  -0.108 -0.943  -0.108 -1.055  -0.108 -1.166  -0.028 -1.198  -0.012 -1.293  -0.012 -1.404  -0.011 -1.456  -0.008 -1.345  -0.004 -1.234  -0.001 -1.123  0.002 -1.011  0.006 -0.900  0.009 -0.789  0.012 -0.678  0.015 -0.566  0.019 -0.455  0.022 -0.344  0.025 -0.233  0.028 -0.121  0.032 -0.010  0.035 0.101  0.038 0.212  0.042 0.324  0.045 0.435  0.048 0.546  0.051 0.657  0.055 0.769  0.058 0.880  0.061 0.991  0.064 1.102  0.068 1.213  0.071 1.325  0.074 1.436  0.078 1.547  0.081 1.658  0.084 1.770  -0.012 1.785  -0.029 1.889  -0.108 1.968
