2#tos#f3#f3042066/!  0.334 1.434  0.287 1.462  0.287 1.537  0.287 1.540  0.287 1.465  0.273 1.392  0.249 1.321  0.240 1.247  0.230 1.174  0.202 1.104  0.174 1.034  0.146 0.965  0.145 0.890  0.129 0.817  0.105 0.746  0.097 0.672  0.097 0.597  0.097 0.522  0.085 0.449  0.061 0.377  0.050 0.304  0.050 0.229  0.049 0.154  -0.004 0.101  -0.045 0.042  -0.045 -0.033  -0.045 -0.108  -0.046 -0.183  -0.057 -0.257  -0.068 -0.332  -0.079 -0.406  -0.090 -0.480  -0.101 -0.555  -0.113 -0.629  -0.124 -0.703  -0.135 -0.778  -0.146 -0.852  -0.157 -0.926  -0.168 -1.001  -0.180 -1.075  -0.187 -1.150  -0.187 -1.225  -0.187 -1.300  -0.201 -1.361  -0.277 -1.361  -0.211 -1.361  -0.189 -1.316  -0.242 -1.369  -0.301 -1.408  -0.376 -1.408
2#tos#f3#f3042066/%  -0.624 0.813  -0.826 0.676  -0.826 0.423  -0.586 0.409  -0.336 0.439  -0.115 0.534  -0.060 0.729  -0.234 0.847  -0.487 0.847  -0.740 0.847  -0.727 0.798  -0.478 0.843  -0.229 0.889  0.020 0.935  0.269 0.980  0.518 1.026  0.767 1.072  1.016 1.117  1.123 1.150  0.925 1.043  0.782 0.897  0.622 0.712  0.487 0.498  0.335 0.296  0.173 0.105  0.063 -0.116  -0.116 -0.295  -0.285 -0.484  -0.408 -0.701  -0.578 -0.879  -0.691 -1.106  -0.852 -1.301  -0.960 -1.521  -0.813 -1.447  -0.623 -1.279  -0.434 -1.112  -0.244 -0.944  -0.054 -0.777  0.135 -0.609  0.325 -0.441  0.488 -0.334  0.353 -0.453  0.218 -0.597  0.218 -0.850  0.451 -0.870  0.681 -0.790  0.858 -0.653  0.738 -0.500  0.505 -0.433  0.252 -0.433
2#tos#f3#f3042066/&  1.134 -1.074  0.930 -1.101  0.752 -0.994  0.560 -0.931  0.440 -0.816  0.251 -0.722  0.085 -0.599  -0.087 -0.500  -0.195 -0.317  -0.375 -0.212  -0.520 -0.051  -0.678 0.091  -0.762 0.282  -0.805 0.482  -0.805 0.701  -0.745 0.873  -0.684 1.072  -0.580 1.253  -0.391 1.322  -0.204 1.424  -0.039 1.511  0.179 1.511  0.377 1.459  0.520 1.307  0.574 1.111  0.521 0.912  0.407 0.779  0.312 0.603  0.175 0.441  0.034 0.282  -0.136 0.147  -0.276 -0.016  -0.448 -0.114  -0.547 -0.299  -0.676 -0.471  -0.769 -0.651  -0.805 -0.854  -0.721 -0.988  -0.552 -1.072  -0.335 -1.074  -0.143 -0.988  0.071 -0.952  0.243 -0.860  0.389 -0.699  0.539 -0.542  0.660 -0.385  0.660 -0.167  0.665 0.046  0.833 -0.037  0.962 -0.126
2#tos#f3#f3042066/'  -0.184 0.756  -0.090 0.756  0.005 0.756  0.099 0.756  0.194 0.756  0.288 0.756  0.382 0.756  0.415 0.818  0.415 0.912  0.415 1.007  0.415 1.101  0.455 1.155  0.550 1.155  0.594 1.134  0.527 1.067  0.460 1.001  0.415 0.925  0.415 0.830  0.415 0.736  0.415 0.641  0.415 0.547  0.415 0.453  0.415 0.358  0.350 0.291  0.283 0.224  0.216 0.157  0.186 0.068  0.156 -0.022  0.126 -0.112  0.096 -0.201  0.066 -0.291  0.036 -0.380  -0.000 -0.467  -0.053 -0.545  -0.105 -0.624  -0.158 -0.703  -0.210 -0.781  -0.262 -0.860  -0.315 -0.938  -0.367 -1.017  -0.429 -1.088  -0.496 -1.154  -0.563 -1.221  -0.645 -1.263  -0.735 -1.292  -0.825 -1.322  -0.914 -1.352  -1.004 -1.382  -1.094 -1.412  -1.183 -1.442
2#tos#f3#f3042066/(  0.494 1.207  0.575 1.207  0.630 1.233  0.613 1.298  0.532 1.295  0.460 1.258  0.399 1.207  0.339 1.171  0.312 1.096  0.256 1.071  0.180 1.050  0.122 1.001  0.097 0.924  0.053 0.858  -0.004 0.800  -0.034 0.735  -0.101 0.689  -0.165 0.639  -0.187 0.567  -0.187 0.486  -0.255 0.447  -0.278 0.380  -0.278 0.298  -0.278 0.217  -0.278 0.136  -0.278 0.055  -0.278 -0.027  -0.278 -0.108  -0.278 -0.189  -0.278 -0.270  -0.278 -0.352  -0.278 -0.433  -0.278 -0.514  -0.278 -0.595  -0.278 -0.677  -0.278 -0.758  -0.275 -0.838  -0.217 -0.895  -0.187 -0.964  -0.135 -1.024  -0.084 -1.086  -0.051 -1.159  -0.051 -1.241  0.005 -1.299  0.068 -1.348  0.131 -1.391  0.164 -1.458  0.176 -1.535  0.231 -1.561  0.267 -1.606
2#tos#f3#f3042066/*  -0.150 1.574  -0.204 1.819  -0.231 1.732  -0.231 1.478  -0.231 1.224  -0.231 0.971  -0.231 0.717  -0.173 0.477  -0.150 0.228  -0.150 -0.026  -0.150 -0.279  -0.150 -0.533  -0.150 -0.787  -0.090 -1.016  -0.068 -1.261  0.000 -1.447  -0.120 -1.247  -0.260 -1.036  -0.401 -0.824  -0.542 -0.613  -0.683 -0.402  -0.824 -0.191  -0.964 0.020  -1.136 0.104  -1.032 0.104  -0.778 0.104  -0.524 0.104  -0.307 0.017  -0.103 -0.105  0.054 -0.222  0.282 -0.286  0.484 -0.131  0.685 0.024  0.886 0.179  1.087 0.333  1.288 0.488  1.401 0.645  1.423 0.757  1.238 0.640  1.092 0.447  0.870 0.348  0.700 0.171  0.506 0.024  0.326 -0.155  0.136 -0.318  -0.085 -0.420  -0.241 -0.610  -0.444 -0.761  -0.623 -0.941  -0.803 -1.120
2#tos#f3#f3042066/+  -1.633 -0.335  -1.738 -0.275  -1.654 -0.146  -1.502 -0.112  -1.355 -0.039  -1.196 -0.022  -1.032 -0.022  -0.868 -0.022  -0.705 -0.022  -0.544 -0.006  -0.388 0.046  -0.231 0.083  -0.067 0.083  0.079 0.126  0.217 0.187  0.381 0.187  0.544 0.187  0.708 0.187  0.872 0.187  1.035 0.187  1.199 0.187  1.363 0.187  1.526 0.187  1.515 0.219  1.362 0.276  1.209 0.333  1.056 0.391  0.902 0.448  0.749 0.506  0.596 0.563  0.443 0.621  0.289 0.678  0.136 0.736  -0.017 0.793  -0.173 0.809  -0.173 0.645  -0.173 0.481  -0.173 0.318  -0.173 0.154  -0.173 -0.010  -0.173 -0.173  -0.173 -0.337  -0.173 -0.501  -0.173 -0.664  -0.173 -0.828  -0.173 -0.992  -0.202 -1.151  -0.254 -1.306  -0.340 -1.440  -0.382 -1.586
2#tos#f3#f3042066/,  0.405 1.200  0.467 1.262  0.528 1.324  0.590 1.385  0.608 1.341  0.608 1.254  0.608 1.167  0.608 1.080  0.608 0.993  0.608 0.906  0.608 0.819  0.608 0.732  0.608 0.645  0.608 0.558  0.608 0.471  0.602 0.390  0.515 0.390  0.428 0.390  0.405 0.326  0.405 0.238  0.405 0.151  0.405 0.064  0.398 -0.019  0.321 -0.057  0.243 -0.096  0.165 -0.135  0.087 -0.174  0.009 -0.213  -0.000 -0.294  -0.000 -0.381  -0.000 -0.468  -0.000 -0.556  -0.019 -0.629  -0.101 -0.657  -0.184 -0.684  -0.266 -0.712  -0.349 -0.739  -0.432 -0.767  -0.514 -0.794  -0.597 -0.822  -0.683 -0.826  -0.770 -0.826  -0.857 -0.826  -0.944 -0.826  -1.029 -0.834  -1.107 -0.873  -1.185 -0.912  -1.263 -0.951  -1.341 -0.989  -1.419 -1.028
2#tos#f3#f3042066/.  -0.556 1.719  -0.748 1.719  -0.928 1.708  -0.928 1.517  -0.928 1.325  -0.928 1.134  -0.928 0.943  -0.928 0.752  -0.928 0.560  -0.928 0.369  -0.928 0.178  -0.928 -0.014  -0.861 -0.138  -0.669 -0.138  -0.478 -0.138  -0.287 -0.138  -0.096 -0.138  0.096 -0.138  0.287 -0.138  0.478 -0.138  0.446 -0.138  0.255 -0.138  0.064 -0.138  -0.128 -0.138  -0.051 -0.138  0.140 -0.138  0.331 -0.138  0.523 -0.138  0.714 -0.138  0.905 -0.138  0.929 0.030  0.929 0.221  1.108 0.234  1.299 0.234  1.216 0.064  1.130 -0.107  1.045 -0.278  0.959 -0.449  0.805 -0.509  0.614 -0.509  0.422 -0.509  0.231 -0.509  0.040 -0.509  -0.152 -0.509  -0.185 -0.667  -0.185 -0.858  -0.185 -1.049  -0.185 -1.241  -0.365 -1.252  -0.556 -1.252
2#tos#f3#f3042066/<  1.001 1.303  0.889 1.303  0.818 1.262  0.726 1.241  0.638 1.184  0.545 1.121  0.452 1.059  0.404 0.978  0.300 0.937  0.196 0.895  0.104 0.834  0.015 0.767  -0.079 0.705  -0.184 0.670  -0.293 0.642  -0.346 0.572  -0.346 0.460  -0.434 0.402  -0.534 0.351  -0.613 0.280  -0.673 0.190  -0.774 0.140  -0.853 0.061  -0.897 -0.033  -0.998 -0.044  -0.929 -0.044  -0.878 -0.106  -0.765 -0.106  -0.713 -0.166  -0.635 -0.245  -0.541 -0.289  -0.440 -0.318  -0.342 -0.353  -0.249 -0.415  -0.159 -0.480  -0.109 -0.580  -0.016 -0.638  0.085 -0.688  0.187 -0.732  0.294 -0.768  0.328 -0.856  0.390 -0.906  0.426 -1.013  0.486 -1.085  0.598 -1.085  0.634 -1.162  0.697 -1.229  0.803 -1.264  0.843 -1.356  0.940 -1.392
2#tos#f3#f3042066/=  -0.812 0.847  -0.936 0.724  -0.965 0.570  -0.900 0.570  -0.726 0.570  -0.567 0.607  -0.409 0.671  -0.239 0.708  -0.064 0.708  0.110 0.708  0.285 0.708  0.460 0.708  0.565 0.778  0.740 0.778  0.915 0.778  1.061 0.807  0.947 0.775  0.800 0.682  0.652 0.589  0.505 0.495  0.357 0.402  0.209 0.308  0.062 0.215  -0.086 0.121  -0.233 0.028  -0.381 -0.066  -0.529 -0.159  -0.676 -0.253  -0.824 -0.346  -0.971 -0.440  -1.137 -0.471  -1.228 -0.554  -1.228 -0.729  -1.073 -0.748  -0.898 -0.748  -0.724 -0.748  -0.549 -0.748  -0.374 -0.748  -0.200 -0.748  -0.025 -0.748  0.146 -0.717  0.316 -0.679  0.491 -0.679  0.665 -0.679  0.840 -0.679  1.008 -0.662  1.161 -0.609  1.335 -0.609  1.510 -0.609  1.615 -0.679
