1b#tos#f1#f1078063/A  -1.361 -0.855  -1.508 -1.003  -1.463 -0.917  -1.361 -0.763  -1.258 -0.610  -1.177 -0.483  -1.024 -0.426  -0.963 -0.258  -0.840 -0.090  -0.723 0.077  -0.621 0.252  -0.449 0.366  -0.336 0.537  -0.188 0.685  -0.074 0.847  0.060 0.921  0.171 1.066  0.219 1.263  0.355 1.393  0.477 1.466  0.477 1.258  0.538 1.110  0.545 0.902  0.611 0.704  0.661 0.504  0.661 0.295  0.661 0.086  0.661 -0.123  0.661 -0.331  0.716 -0.531  0.752 -0.732  0.784 -0.933  0.845 -1.116  0.880 -1.191  0.749 -1.029  0.618 -0.867  0.486 -0.704  0.355 -0.542  0.224 -0.380  0.092 -0.218  -0.039 -0.055  -0.191 0.064  -0.400 0.064  -0.520 0.064  -0.312 0.064  -0.103 0.064  0.106 0.064  0.310 0.038  0.514 0.002  0.722 0.002
1b#tos#f1#f1078063/B  -0.091 1.173  -0.152 0.980  -0.152 0.725  -0.203 0.477  -0.309 0.246  -0.368 0.005  -0.459 -0.228  -0.459 -0.483  -0.582 -0.686  -0.582 -0.941  -0.705 -1.145  -0.686 -1.170  -0.644 -0.919  -0.602 -0.668  -0.560 -0.416  -0.519 -0.165  -0.477 0.086  -0.435 0.337  -0.393 0.589  -0.351 0.840  -0.336 1.093  -0.162 1.173  0.083 1.207  0.311 1.296  0.565 1.296  0.820 1.296  0.954 1.129  1.015 0.899  0.927 0.699  0.752 0.559  0.523 0.497  0.355 0.375  0.115 0.313  -0.091 0.228  -0.083 0.190  0.171 0.190  0.401 0.129  0.583 0.011  0.769 -0.106  0.831 -0.299  0.831 -0.554  0.710 -0.751  0.585 -0.916  0.401 -1.038  0.214 -1.147  -0.038 -1.164  -0.263 -1.272  -0.503 -1.346  -0.758 -1.346  -0.951 -1.284
1b#tos#f1#f1078063/C  0.663 0.663  0.551 0.663  0.546 0.770  0.487 0.823  0.456 0.930  0.428 1.038  0.353 1.075  0.240 1.075  0.128 1.075  0.016 1.075  -0.097 1.075  -0.209 1.075  -0.309 1.045  -0.370 0.953  -0.443 0.875  -0.515 0.807  -0.576 0.720  -0.655 0.641  -0.692 0.543  -0.692 0.431  -0.692 0.319  -0.692 0.206  -0.735 0.104  -0.751 -0.004  -0.751 -0.117  -0.751 -0.229  -0.751 -0.341  -0.751 -0.454  -0.701 -0.516  -0.633 -0.560  -0.598 -0.651  -0.497 -0.701  -0.397 -0.752  -0.343 -0.810  -0.231 -0.810  -0.119 -0.810  -0.006 -0.810  0.106 -0.810  0.218 -0.810  0.331 -0.810  0.443 -0.810  0.555 -0.810  0.668 -0.810  0.780 -0.810  0.892 -0.810  1.005 -0.810  1.117 -0.810  1.229 -0.810  1.317 -0.751  1.429 -0.751
1b#tos#f1#f1078063/H  -0.610 1.195  -0.763 1.102  -0.789 0.921  -0.789 0.730  -0.804 0.540  -0.849 0.354  -0.849 0.162  -0.849 -0.029  -0.849 -0.221  -0.909 -0.398  -0.909 -0.590  -0.909 -0.781  -0.909 -0.973  -0.900 -1.116  -0.834 -0.936  -0.768 -0.756  -0.702 -0.576  -0.635 -0.397  -0.569 -0.217  -0.503 -0.037  -0.644 -0.002  -0.836 -0.002  -0.671 -0.002  -0.479 -0.002  -0.295 0.043  -0.106 0.058  0.086 0.058  0.277 0.058  0.469 0.058  0.660 0.058  0.852 0.058  0.887 0.215  0.887 0.406  0.887 0.598  0.887 0.790  0.887 0.981  0.789 1.075  0.767 0.906  0.767 0.714  0.767 0.523  0.887 0.405  0.887 0.214  0.887 0.022  0.887 -0.169  0.887 -0.361  0.887 -0.553  0.887 -0.744  0.887 -0.936  0.887 -1.127  0.887 -1.319
1b#tos#f1#f1078063/M  -0.319 0.818  -0.514 0.818  -0.523 0.632  -0.523 0.437  -0.625 0.306  -0.625 0.111  -0.625 -0.084  -0.704 -0.260  -0.778 -0.437  -0.793 -0.626  -0.829 -0.806  -0.829 -1.001  -0.818 -1.050  -0.787 -0.858  -0.757 -0.665  -0.727 -0.473  -0.696 -0.280  -0.666 -0.088  -0.635 0.105  -0.605 0.297  -0.575 0.490  -0.544 0.682  -0.580 0.818  -0.775 0.818  -0.703 0.768  -0.625 0.615  -0.474 0.511  -0.421 0.370  -0.289 0.307  -0.217 0.184  -0.058 0.144  0.039 -0.019  0.190 -0.101  0.363 -0.065  0.505 0.052  0.671 0.122  0.810 0.256  0.942 0.358  1.013 0.511  1.162 0.557  1.213 0.424  1.264 0.241  1.264 0.046  1.264 -0.149  1.264 -0.344  1.315 -0.517  1.315 -0.712  1.315 -0.907  1.366 -1.081  1.366 -1.276
1b#tos#f1#f1078063/N  -0.426 1.044  -0.537 0.962  -0.537 0.769  -0.537 0.576  -0.601 0.397  -0.648 0.210  -0.655 0.017  -0.701 -0.170  -0.704 -0.363  -0.704 -0.557  -0.704 -0.750  -0.704 -0.943  -0.760 -1.081  -0.748 -1.095  -0.722 -0.903  -0.696 -0.712  -0.670 -0.520  -0.644 -0.329  -0.618 -0.137  -0.593 0.054  -0.567 0.246  -0.541 0.437  -0.515 0.629  -0.489 0.820  -0.617 0.877  -0.609 0.830  -0.524 0.672  -0.425 0.542  -0.318 0.381  -0.210 0.220  -0.036 0.153  0.011 -0.034  0.154 -0.148  0.305 -0.247  0.413 -0.407  0.557 -0.533  0.705 -0.621  0.810 -0.748  0.928 -0.850  1.067 -0.761  1.190 -0.617  1.190 -0.424  1.190 -0.230  1.190 -0.037  1.301 0.087  1.324 0.277  1.357 0.465  1.357 0.658  1.357 0.851  1.357 1.044
1b#tos#f1#f1078063/P  0.199 1.267  -0.023 1.267  -0.095 1.117  -0.099 0.896  -0.142 0.678  -0.166 0.459  -0.227 0.246  -0.272 0.030  -0.312 -0.186  -0.331 -0.406  -0.331 -0.628  -0.396 -0.837  -0.474 -1.045  -0.507 -1.261  -0.507 -1.483  -0.507 -1.705  -0.498 -1.775  -0.471 -1.554  -0.444 -1.334  -0.417 -1.114  -0.390 -0.894  -0.363 -0.674  -0.336 -0.453  -0.309 -0.233  -0.282 -0.013  -0.255 0.207  -0.228 0.427  -0.201 0.648  -0.174 0.868  -0.211 1.032  -0.389 1.075  -0.242 1.149  -0.020 1.149  0.202 1.149  0.406 1.075  0.614 1.025  0.728 0.841  0.896 0.740  1.022 0.597  1.029 0.378  1.081 0.178  1.081 -0.044  0.910 -0.143  0.787 -0.322  0.623 -0.380  0.425 -0.439  0.203 -0.439  -0.018 -0.439  -0.240 -0.439  -0.331 -0.262
1b#tos#f1#f1078063/Q  0.131 -0.833  -0.024 -0.942  -0.243 -0.891  -0.417 -0.814  -0.620 -0.724  -0.772 -0.584  -0.851 -0.385  -0.906 -0.176  -0.906 0.056  -0.906 0.288  -0.906 0.520  -0.830 0.738  -0.797 0.962  -0.684 1.105  -0.478 1.186  -0.355 1.295  -0.164 1.361  0.041 1.405  0.273 1.405  0.484 1.366  0.641 1.204  0.756 1.065  0.853 0.888  0.895 0.666  0.895 0.434  0.786 0.235  0.786 0.003  0.686 -0.192  0.527 -0.342  0.465 -0.548  0.308 -0.669  0.131 -0.766  -0.082 -0.832  -0.314 -0.833  -0.546 -0.833  -0.687 -0.711  -0.742 -0.534  -0.742 -0.302  -0.579 -0.233  -0.511 -0.069  -0.279 -0.069  -0.047 -0.069  0.130 -0.123  0.317 -0.233  0.413 -0.405  0.593 -0.531  0.786 -0.587  0.935 -0.669  1.167 -0.669  1.386 -0.615
1b#tos#f1#f1078063/U  -0.499 1.094  -0.604 1.056  -0.703 0.996  -0.743 0.919  -0.758 0.804  -0.792 0.693  -0.792 0.576  -0.841 0.479  -0.841 0.362  -0.841 0.245  -0.841 0.128  -0.841 0.011  -0.841 -0.106  -0.841 -0.223  -0.841 -0.340  -0.823 -0.452  -0.758 -0.549  -0.743 -0.662  -0.656 -0.731  -0.545 -0.767  -0.443 -0.788  -0.406 -0.899  -0.300 -0.916  -0.203 -0.963  -0.086 -0.963  0.032 -0.963  0.131 -0.921  0.242 -0.896  0.334 -0.845  0.397 -0.753  0.492 -0.688  0.530 -0.594  0.570 -0.502  0.657 -0.430  0.722 -0.332  0.804 -0.249  0.824 -0.140  0.873 -0.043  0.873 0.074  0.873 0.191  0.873 0.308  0.873 0.425  0.873 0.542  0.873 0.659  0.873 0.776  0.831 0.884  0.824 0.999  0.801 1.094  0.738 1.161  0.677 1.241
1b#tos#f1#f1078063/V  -0.937 1.123  -1.023 1.065  -1.110 1.008  -1.100 1.008  -1.051 0.935  -1.026 0.817  -0.979 0.707  -0.937 0.602  -0.905 0.488  -0.851 0.378  -0.796 0.269  -0.722 0.178  -0.621 0.110  -0.593 0.003  -0.540 -0.103  -0.478 -0.206  -0.465 -0.323  -0.379 -0.409  -0.296 -0.498  -0.228 -0.599  -0.141 -0.679  -0.077 -0.761  -0.077 -0.883  -0.020 -0.948  -0.004 -1.054  0.118 -1.054  0.152 -1.142  0.247 -1.169  0.312 -1.077  0.341 -0.962  0.381 -0.850  0.409 -0.739  0.496 -0.653  0.553 -0.555  0.553 -0.433  0.553 -0.311  0.609 -0.224  0.668 -0.138  0.671 -0.017  0.725 0.092  0.725 0.214  0.725 0.336  0.741 0.451  0.827 0.538  0.839 0.655  0.839 0.777  0.946 0.832  0.954 0.950  0.957 1.071  1.011 1.180
1b#tos#f1#f1078063/X  -1.148 0.813  -1.322 0.813  -1.192 0.811  -1.028 0.753  -0.890 0.652  -0.815 0.499  -0.686 0.391  -0.542 0.295  -0.415 0.177  -0.292 0.055  -0.169 -0.068  -0.042 -0.185  0.101 -0.284  0.237 -0.393  0.380 -0.489  0.527 -0.581  0.672 -0.677  0.820 -0.765  0.943 -0.888  1.113 -0.897  1.187 -0.907  1.141 -0.740  1.095 -0.572  1.049 -0.405  1.002 -0.237  0.956 -0.070  0.910 0.097  0.864 0.265  0.818 0.432  0.772 0.600  0.726 0.767  0.680 0.935  0.573 0.965  0.412 0.911  0.296 0.826  0.196 0.690  0.073 0.568  -0.072 0.472  -0.169 0.327  -0.283 0.198  -0.360 0.043  -0.510 -0.041  -0.613 -0.170  -0.691 -0.325  -0.779 -0.471  -0.928 -0.560  -1.025 -0.685  -1.129 -0.824  -1.197 -0.979  -1.246 -1.142
