3#apa#apa13#app1334/)  -0.332 1.517  -0.256 1.517  -0.180 1.517  -0.166 1.455  -0.166 1.379  -0.166 1.303  -0.166 1.227  -0.166 1.151  -0.166 1.075  -0.145 1.021  -0.069 1.021  -0.001 1.013  -0.001 0.937  -0.001 0.861  -0.001 0.785  -0.001 0.709  0.025 0.639  0.059 0.571  0.093 0.503  0.127 0.435  0.161 0.367  0.165 0.292  0.165 0.216  0.165 0.141  0.165 0.065  0.165 -0.011  0.165 -0.087  0.165 -0.163  0.165 -0.239  0.165 -0.315  0.165 -0.391  0.165 -0.467  0.165 -0.543  0.165 -0.619  0.165 -0.695  0.165 -0.771  0.132 -0.834  0.079 -0.887  0.025 -0.941  -0.001 -1.006  -0.001 -1.082  -0.001 -1.158  -0.001 -1.234  -0.009 -1.307  -0.063 -1.360  -0.117 -1.414  -0.171 -1.468  -0.224 -1.521  -0.278 -1.575  -0.332 -1.629
1d#ced#knds0342_s_13/)  -0.401 0.981  -0.443 1.044  -0.489 1.105  -0.550 1.149  -0.594 1.209  -0.657 1.251  -0.681 1.257  -0.634 1.198  -0.582 1.144  -0.539 1.082  -0.497 1.018  -0.450 0.959  -0.407 0.897  -0.365 0.834  -0.318 0.775  -0.272 0.715  -0.228 0.654  -0.186 0.591  -0.149 0.525  -0.112 0.458  -0.073 0.394  -0.033 0.330  0.003 0.263  0.034 0.194  0.064 0.125  0.095 0.056  0.126 -0.013  0.156 -0.083  0.185 -0.153  0.214 -0.222  0.244 -0.292  0.273 -0.362  0.299 -0.433  0.323 -0.505  0.345 -0.577  0.363 -0.651  0.380 -0.724  0.396 -0.798  0.413 -0.872  0.424 -0.947  0.435 -1.022  0.444 -1.097  0.453 -1.172  0.453 -1.248  0.453 -1.323  0.453 -1.399  0.453 -1.475  0.427 -1.546  0.394 -1.613  0.360 -1.681
1d#app#app25#app2591/)  -0.384 1.570  -0.301 1.570  -0.270 1.517  -0.254 1.441  -0.196 1.382  -0.157 1.315  -0.157 1.231  -0.076 1.229  -0.007 1.193  0.052 1.134  0.071 1.059  0.071 0.976  0.071 0.892  0.127 0.832  0.184 0.773  0.184 0.689  0.184 0.606  0.184 0.523  0.184 0.440  0.184 0.356  0.217 0.287  0.276 0.228  0.298 0.153  0.298 0.070  0.298 -0.013  0.298 -0.096  0.298 -0.180  0.298 -0.263  0.298 -0.346  0.298 -0.430  0.298 -0.513  0.294 -0.594  0.235 -0.653  0.184 -0.716  0.184 -0.799  0.138 -0.863  0.080 -0.922  -0.000 -0.931  -0.043 -0.971  -0.053 -1.045  -0.136 -1.045  -0.220 -1.045  -0.293 -1.068  -0.352 -1.127  -0.384 -1.197  -0.392 -1.272  -0.475 -1.272  -0.498 -1.333  -0.528 -1.386  -0.611 -1.386
2#apa#apa20#app2006/)  -0.787 1.321  -0.710 1.321  -0.633 1.321  -0.558 1.306  -0.485 1.282  -0.412 1.258  -0.339 1.233  -0.280 1.186  -0.226 1.132  -0.171 1.077  -0.117 1.023  -0.063 0.968  -0.008 0.914  0.046 0.859  0.051 0.784  0.075 0.713  0.110 0.644  0.144 0.575  0.199 0.521  0.237 0.460  0.237 0.383  0.237 0.306  0.267 0.236  0.302 0.167  0.330 0.097  0.330 0.020  0.330 -0.057  0.330 -0.134  0.330 -0.211  0.323 -0.288  0.305 -0.362  0.286 -0.437  0.267 -0.512  0.248 -0.586  0.237 -0.662  0.231 -0.738  0.197 -0.807  0.162 -0.875  0.128 -0.944  0.093 -1.013  0.059 -1.082  0.010 -1.140  -0.043 -1.196  -0.043 -1.273  -0.088 -1.331  -0.142 -1.385  -0.197 -1.440  -0.229 -1.503  -0.245 -1.564  -0.322 -1.564
2#apa#apa20#app2006/)  -0.912 1.010  -0.912 1.092  -0.912 1.174  -0.836 1.179  -0.754 1.179  -0.672 1.179  -0.590 1.179  -0.527 1.134  -0.470 1.076  -0.412 1.018  -0.341 0.979  -0.268 0.942  -0.203 0.894  -0.145 0.836  -0.087 0.778  -0.030 0.721  0.025 0.660  0.062 0.587  0.098 0.514  0.165 0.472  0.238 0.435  0.273 0.375  0.273 0.293  0.290 0.215  0.327 0.142  0.366 0.071  0.424 0.013  0.443 -0.061  0.443 -0.142  0.443 -0.224  0.443 -0.306  0.443 -0.388  0.443 -0.469  0.443 -0.551  0.443 -0.633  0.420 -0.705  0.362 -0.763  0.358 -0.843  0.358 -0.925  0.309 -0.986  0.251 -1.044  0.193 -1.102  0.135 -1.160  0.077 -1.217  0.020 -1.275  -0.038 -1.333  -0.065 -1.404  -0.094 -1.473  -0.150 -1.532  -0.150 -1.614
2#apa#apa20#app2006/)  -0.641 1.296  -0.641 1.374  -0.578 1.389  -0.549 1.341  -0.516 1.296  -0.444 1.283  -0.389 1.229  -0.334 1.174  -0.279 1.119  -0.242 1.052  -0.207 0.982  -0.169 0.916  -0.114 0.861  -0.051 0.817  0.018 0.782  0.087 0.747  0.127 0.683  0.162 0.614  0.190 0.543  0.190 0.466  0.190 0.388  0.218 0.317  0.252 0.248  0.282 0.178  0.282 0.100  0.282 0.023  0.282 -0.055  0.282 -0.132  0.282 -0.210  0.282 -0.287  0.282 -0.365  0.282 -0.442  0.282 -0.520  0.282 -0.597  0.282 -0.675  0.274 -0.750  0.239 -0.820  0.205 -0.889  0.170 -0.958  0.135 -1.028  0.101 -1.097  0.097 -1.174  0.048 -1.221  -0.021 -1.255  -0.087 -1.292  -0.087 -1.369  -0.117 -1.440  -0.152 -1.509  -0.194 -1.565  -0.272 -1.565
2#apa#apa20#app2006/)  -0.773 1.290  -0.773 1.369  -0.703 1.377  -0.643 1.333  -0.588 1.278  -0.532 1.223  -0.467 1.181  -0.397 1.146  -0.330 1.107  -0.275 1.052  -0.219 0.996  -0.165 0.940  -0.130 0.870  -0.095 0.800  -0.040 0.751  0.030 0.716  0.095 0.676  0.114 0.601  0.133 0.525  0.152 0.449  0.171 0.373  0.198 0.300  0.233 0.230  0.268 0.160  0.303 0.090  0.338 0.020  0.353 -0.055  0.353 -0.133  0.353 -0.211  0.353 -0.289  0.353 -0.368  0.353 -0.446  0.353 -0.524  0.353 -0.602  0.353 -0.681  0.353 -0.759  0.353 -0.837  0.324 -0.904  0.269 -0.959  0.233 -1.028  0.198 -1.098  0.153 -1.161  0.098 -1.217  0.022 -1.222  -0.038 -1.266  -0.093 -1.321  -0.149 -1.377  -0.204 -1.432  -0.262 -1.481  -0.340 -1.481
2#apa#apa20#app2006/)  -0.561 1.199  -0.561 1.275  -0.561 1.351  -0.533 1.398  -0.459 1.395  -0.405 1.342  -0.356 1.286  -0.322 1.218  -0.288 1.150  -0.254 1.082  -0.220 1.015  -0.186 0.947  -0.146 0.884  -0.093 0.830  -0.039 0.777  0.014 0.723  0.036 0.656  0.046 0.583  0.079 0.515  0.113 0.447  0.147 0.380  0.181 0.312  0.215 0.244  0.235 0.173  0.235 0.098  0.235 0.022  0.235 -0.054  0.235 -0.129  0.235 -0.205  0.235 -0.281  0.235 -0.357  0.235 -0.432  0.235 -0.508  0.235 -0.584  0.235 -0.659  0.235 -0.735  0.235 -0.811  0.235 -0.887  0.235 -0.962  0.215 -1.033  0.181 -1.101  0.147 -1.169  0.136 -1.242  0.117 -1.310  0.063 -1.363  0.010 -1.417  -0.044 -1.470  -0.111 -1.490  -0.163 -1.514  -0.163 -1.590
3#app#app18#app1865/)  -0.667 1.597  -0.667 1.516  -0.657 1.438  -0.600 1.380  -0.542 1.323  -0.484 1.265  -0.427 1.207  -0.369 1.150  -0.311 1.092  -0.253 1.034  -0.196 0.976  -0.138 0.919  -0.080 0.861  -0.069 0.784  -0.069 0.703  -0.013 0.644  0.045 0.587  0.102 0.529  0.160 0.471  0.218 0.413  0.231 0.337  0.231 0.256  0.285 0.197  0.343 0.139  0.380 0.073  0.380 -0.009  0.380 -0.090  0.380 -0.172  0.380 -0.254  0.380 -0.335  0.380 -0.417  0.380 -0.498  0.380 -0.580  0.380 -0.661  0.380 -0.743  0.360 -0.816  0.302 -0.874  0.244 -0.932  0.187 -0.989  0.129 -1.047  0.067 -1.095  -0.014 -1.095  -0.069 -1.122  -0.069 -1.204  -0.109 -1.245  -0.191 -1.245  -0.218 -1.299  -0.218 -1.381  -0.286 -1.394  -0.368 -1.394
3#app#app18#app1865/)  -0.665 1.275  -0.753 1.275  -0.707 1.275  -0.619 1.275  -0.556 1.250  -0.552 1.166  -0.464 1.166  -0.397 1.116  -0.333 1.057  -0.246 1.057  -0.229 0.985  -0.179 0.948  -0.120 0.918  -0.114 0.833  -0.052 0.771  0.019 0.730  0.104 0.723  0.166 0.661  0.207 0.590  0.211 0.503  0.250 0.424  0.290 0.346  0.337 0.273  0.399 0.210  0.425 0.133  0.425 0.045  0.425 -0.043  0.425 -0.131  0.425 -0.219  0.425 -0.307  0.425 -0.395  0.425 -0.483  0.425 -0.571  0.425 -0.658  0.382 -0.729  0.320 -0.791  0.258 -0.853  0.207 -0.920  0.207 -1.008  0.148 -1.072  0.081 -1.122  -0.007 -1.122  -0.070 -1.181  -0.137 -1.231  -0.225 -1.231  -0.229 -1.315  -0.292 -1.340  -0.338 -1.382  -0.317 -1.449  -0.229 -1.449
3#app#app18#app1865/)  -0.563 1.239  -0.563 1.326  -0.618 1.359  -0.660 1.359  -0.573 1.359  -0.563 1.281  -0.531 1.207  -0.469 1.145  -0.393 1.120  -0.325 1.101  -0.325 1.014  -0.272 0.948  -0.211 0.886  -0.149 0.825  -0.087 0.763  -0.026 0.701  0.034 0.639  0.034 0.552  0.075 0.482  0.137 0.420  0.198 0.358  0.260 0.297  0.272 0.214  0.289 0.131  0.328 0.053  0.367 -0.025  0.392 -0.106  0.392 -0.193  0.453 -0.255  0.511 -0.318  0.511 -0.406  0.511 -0.493  0.511 -0.580  0.511 -0.667  0.452 -0.730  0.392 -0.792  0.392 -0.879  0.351 -0.950  0.290 -1.012  0.228 -1.073  0.166 -1.135  0.085 -1.148  0.008 -1.174  -0.054 -1.235  -0.127 -1.268  -0.215 -1.268  -0.302 -1.268  -0.389 -1.268  -0.412 -1.268  -0.325 -1.268
