2#apb#apb10#app1044/R  -0.761 0.492  -0.561 0.336  -0.282 0.452  -0.033 0.622  0.179 0.839  0.347 1.092  0.376 1.117  0.235 0.848  0.088 0.582  -0.048 0.310  -0.184 0.039  -0.320 -0.233  -0.462 -0.502  -0.611 -0.766  -0.758 -1.032  -0.900 -1.301  -1.035 -1.573  -1.139 -1.766  -1.008 -1.492  -0.877 -1.218  -0.746 -0.943  -0.614 -0.669  -0.483 -0.395  -0.352 -0.121  -0.221 0.153  -0.090 0.427  0.042 0.701  0.142 0.926  0.379 1.106  0.659 1.217  0.960 1.261  1.260 1.234  1.229 0.964  1.045 0.722  0.832 0.506  0.606 0.303  0.376 0.104  0.136 -0.082  -0.111 -0.258  -0.369 -0.417  -0.457 -0.500  -0.208 -0.327  0.053 -0.179  0.327 -0.050  0.614 0.049  0.831 0.008  0.660 -0.243  0.491 -0.494  0.378 -0.772  0.387 -1.073
2#apb#apb10#app1044/e  -0.342 -0.131  -0.438 -0.131  -0.312 -0.131  -0.187 -0.129  -0.070 -0.084  0.048 -0.040  0.159 0.018  0.263 0.087  0.368 0.157  0.470 0.229  0.569 0.306  0.669 0.383  0.768 0.461  0.872 0.530  0.977 0.600  1.051 0.700  1.089 0.819  1.078 0.939  0.987 1.010  0.870 1.053  0.744 1.053  0.618 1.052  0.504 1.000  0.390 0.948  0.275 0.896  0.175 0.826  0.090 0.733  0.006 0.640  -0.079 0.547  -0.162 0.452  -0.223 0.343  -0.285 0.233  -0.346 0.124  -0.408 0.014  -0.470 -0.095  -0.523 -0.209  -0.572 -0.324  -0.622 -0.439  -0.671 -0.555  -0.715 -0.672  -0.733 -0.796  -0.751 -0.921  -0.768 -1.045  -0.785 -1.169  -0.749 -1.290  -0.713 -1.410  -0.677 -1.530  -0.580 -1.608  -0.479 -1.684  -0.379 -1.759
2#apb#apb10#app1044/m  -1.065 0.062  -1.025 0.119  -0.865 0.217  -0.803 0.208  -0.914 0.055  -1.016 -0.105  -1.112 -0.269  -1.214 -0.428  -1.320 -0.585  -1.393 -0.760  -1.348 -0.713  -1.238 -0.559  -1.128 -0.404  -1.017 -0.250  -0.861 -0.180  -0.688 -0.103  -0.512 -0.032  -0.350 0.066  -0.182 0.153  -0.007 0.225  0.139 0.334  0.075 0.221  -0.019 0.058  -0.121 -0.102  -0.214 -0.268  -0.324 -0.422  -0.390 -0.592  -0.263 -0.522  -0.147 -0.372  -0.031 -0.223  0.022 -0.154  0.175 -0.110  0.347 -0.032  0.512 0.061  0.673 0.160  0.825 0.274  0.978 0.386  1.131 0.497  1.266 0.629  1.397 0.767  1.537 0.894  1.546 0.853  1.449 0.690  1.360 0.523  1.257 0.364  1.154 0.205  1.055 0.043  0.959 -0.120  0.869 -0.286  0.840 -0.474
2#apb#apb10#app1044/e  -0.155 -0.379  -0.085 -0.306  0.018 -0.253  0.119 -0.196  0.219 -0.138  0.324 -0.089  0.431 -0.046  0.539 -0.003  0.646 0.041  0.739 0.110  0.832 0.180  0.924 0.249  1.004 0.333  1.078 0.422  1.140 0.515  1.140 0.631  1.087 0.730  1.022 0.827  0.934 0.886  0.820 0.902  0.705 0.914  0.590 0.903  0.474 0.891  0.359 0.880  0.265 0.816  0.176 0.743  0.086 0.670  -0.004 0.596  -0.092 0.521  -0.170 0.436  -0.249 0.351  -0.327 0.265  -0.406 0.180  -0.484 0.095  -0.555 0.005  -0.612 -0.096  -0.669 -0.197  -0.726 -0.298  -0.783 -0.399  -0.839 -0.500  -0.885 -0.605  -0.908 -0.719  -0.931 -0.833  -0.954 -0.946  -0.976 -1.060  -0.990 -1.174  -0.981 -1.289  -0.972 -1.405  -0.963 -1.520  -0.954 -1.636
2#apb#apb10#app1044/m  -1.375 -0.064  -1.239 0.038  -1.047 0.100  -0.858 0.172  -0.829 0.149  -0.939 -0.022  -1.052 -0.189  -1.179 -0.347  -1.275 -0.525  -1.387 -0.694  -1.362 -0.751  -1.235 -0.593  -1.109 -0.435  -0.982 -0.276  -0.855 -0.118  -0.723 -0.017  -0.538 0.063  -0.345 0.126  -0.151 0.183  0.034 0.263  0.210 0.365  0.381 0.473  0.496 0.576  0.390 0.404  0.276 0.236  0.157 0.072  0.036 -0.090  -0.084 -0.254  -0.199 -0.421  -0.303 -0.594  -0.253 -0.675  -0.143 -0.505  -0.033 -0.334  0.077 -0.164  0.188 -0.023  0.376 0.027  0.557 0.108  0.733 0.209  0.897 0.329  1.077 0.422  1.256 0.515  1.436 0.609  1.620 0.694  1.664 0.631  1.547 0.466  1.418 0.310  1.280 0.161  1.183 -0.017  1.095 -0.199  1.111 -0.393
2#apb#apb10#app1044/b  -0.531 0.745  -0.389 0.686  -0.189 0.712  -0.002 0.789  0.177 0.884  0.351 0.986  0.500 1.123  0.643 1.266  0.752 1.435  0.851 1.610  0.785 1.505  0.693 1.325  0.585 1.153  0.478 0.981  0.374 0.807  0.271 0.632  0.164 0.460  0.047 0.295  -0.070 0.129  -0.187 -0.036  -0.304 -0.202  -0.421 -0.367  -0.537 -0.534  -0.648 -0.703  -0.759 -0.873  -0.866 -1.045  -0.967 -1.220  -0.973 -1.386  -0.883 -1.204  -0.794 -1.022  -0.704 -0.840  -0.614 -0.659  -0.525 -0.477  -0.453 -0.292  -0.283 -0.183  -0.111 -0.078  0.079 -0.008  0.277 0.031  0.478 0.062  0.680 0.062  0.851 -0.016  0.836 -0.215  0.729 -0.387  0.601 -0.543  0.453 -0.678  0.278 -0.781  0.104 -0.884  -0.081 -0.964  -0.274 -1.026  -0.472 -1.053
2#apb#apb10#app1044/e  -0.185 0.087  -0.136 0.187  -0.015 0.190  0.078 0.269  0.170 0.348  0.274 0.408  0.390 0.446  0.506 0.485  0.609 0.549  0.710 0.617  0.764 0.724  0.812 0.836  0.822 0.956  0.822 1.078  0.748 1.169  0.637 1.195  0.515 1.193  0.403 1.145  0.291 1.097  0.203 1.013  0.117 0.926  0.031 0.840  -0.056 0.754  -0.130 0.658  -0.200 0.558  -0.269 0.457  -0.338 0.357  -0.407 0.256  -0.471 0.153  -0.526 0.044  -0.580 -0.065  -0.635 -0.174  -0.689 -0.284  -0.708 -0.404  -0.726 -0.525  -0.745 -0.645  -0.735 -0.761  -0.681 -0.870  -0.626 -0.980  -0.558 -1.076  -0.456 -1.144  -0.355 -1.211  -0.248 -1.269  -0.132 -1.304  -0.015 -1.340  0.102 -1.376  0.221 -1.391  0.343 -1.391  0.465 -1.391  0.587 -1.391
2#apb#apb10#app1044/r  -0.321 0.607  -0.338 0.494  -0.385 0.388  -0.428 0.281  -0.460 0.169  -0.492 0.058  -0.525 -0.053  -0.571 -0.160  -0.617 -0.266  -0.662 -0.373  -0.693 -0.485  -0.721 -0.597  -0.752 -0.709  -0.796 -0.817  -0.839 -0.924  -0.867 -1.036  -0.833 -1.071  -0.804 -0.959  -0.775 -0.847  -0.746 -0.734  -0.716 -0.622  -0.687 -0.510  -0.658 -0.398  -0.629 -0.285  -0.600 -0.173  -0.570 -0.061  -0.541 0.052  -0.490 0.128  -0.376 0.109  -0.260 0.109  -0.145 0.121  -0.032 0.147  0.081 0.173  0.194 0.201  0.307 0.229  0.419 0.257  0.531 0.286  0.641 0.324  0.750 0.363  0.860 0.402  0.970 0.439  1.081 0.470  1.193 0.501  1.305 0.532  1.416 0.566  1.521 0.615  1.626 0.664  1.729 0.716  1.811 0.798  1.893 0.880
2#apb#apb10#app1044/p  0.001 1.035  0.001 0.941  -0.023 0.761  -0.062 0.582  -0.111 0.406  -0.163 0.230  -0.220 0.057  -0.296 -0.110  -0.371 -0.277  -0.443 -0.445  -0.510 -0.616  -0.577 -0.786  -0.653 -0.952  -0.734 -1.116  -0.813 -1.281  -0.879 -1.452  -0.902 -1.597  -0.824 -1.452  -0.768 -1.278  -0.711 -1.104  -0.655 -0.930  -0.598 -0.756  -0.542 -0.582  -0.485 -0.408  -0.428 -0.233  -0.372 -0.059  -0.315 0.115  -0.259 0.289  -0.202 0.463  -0.146 0.637  -0.132 0.814  0.027 0.899  0.205 0.928  0.387 0.918  0.570 0.917  0.753 0.917  0.935 0.895  1.117 0.871  1.296 0.838  1.402 0.713  1.336 0.542  1.206 0.415  1.068 0.296  0.918 0.191  0.762 0.097  0.592 0.028  0.421 -0.036  0.247 -0.091  0.066 -0.113  -0.117 -0.118
2#apb#apb10#app1044/h  -0.531 0.276  -0.372 0.377  -0.229 0.504  -0.067 0.605  0.093 0.707  0.227 0.843  0.329 1.005  0.435 1.164  0.544 1.322  0.648 1.482  0.669 1.473  0.588 1.300  0.492 1.135  0.384 0.977  0.277 0.819  0.176 0.656  0.077 0.492  -0.023 0.329  -0.129 0.170  -0.240 0.014  -0.351 -0.142  -0.461 -0.298  -0.561 -0.462  -0.660 -0.626  -0.759 -0.789  -0.862 -0.951  -0.966 -1.111  -1.074 -1.269  -1.144 -1.418  -1.033 -1.262  -0.922 -1.106  -0.811 -0.950  -0.700 -0.794  -0.667 -0.642  -0.570 -0.500  -0.387 -0.444  -0.211 -0.368  -0.036 -0.291  0.139 -0.213  0.313 -0.134  0.487 -0.053  0.660 0.029  0.834 0.109  1.017 0.159  1.066 0.079  1.001 -0.099  0.927 -0.276  0.853 -0.452  0.743 -0.604  0.786 -0.770
2#apb#apb10#app1044/o  -0.302 0.763  -0.364 0.861  -0.487 0.861  -0.597 0.823  -0.695 0.749  -0.783 0.665  -0.862 0.570  -0.940 0.476  -1.001 0.372  -1.034 0.254  -1.068 0.136  -1.113 0.022  -1.167 -0.087  -1.133 -0.192  -1.065 -0.294  -0.997 -0.396  -0.891 -0.453  -0.779 -0.503  -0.667 -0.553  -0.554 -0.603  -0.437 -0.636  -0.318 -0.669  -0.200 -0.701  -0.081 -0.733  0.037 -0.765  0.155 -0.798  0.274 -0.830  0.392 -0.862  0.511 -0.895  0.618 -0.846  0.723 -0.783  0.819 -0.708  0.905 -0.621  0.979 -0.526  1.018 -0.410  1.057 -0.293  1.042 -0.176  1.008 -0.058  0.974 0.060  0.930 0.175  0.885 0.289  0.839 0.403  0.794 0.516  0.734 0.623  0.663 0.722  0.591 0.822  0.518 0.920  0.431 1.007  0.353 1.101  0.285 1.203
