1d#tos#f2#f2017063/!  0.514 1.593  0.482 1.528  0.479 1.457  0.479 1.385  0.445 1.347  0.445 1.275  0.438 1.206  0.387 1.155  0.376 1.087  0.361 1.020  0.317 0.962  0.274 0.905  0.272 0.833  0.272 0.761  0.244 0.701  0.193 0.649  0.142 0.598  0.116 0.532  0.095 0.463  0.075 0.394  0.054 0.325  0.033 0.256  0.018 0.185  0.004 0.115  -0.017 0.046  -0.050 -0.018  -0.082 -0.083  -0.108 -0.149  -0.108 -0.221  -0.113 -0.292  -0.129 -0.363  -0.145 -0.433  -0.161 -0.503  -0.177 -0.574  -0.194 -0.644  -0.210 -0.714  -0.226 -0.784  -0.242 -0.855  -0.259 -0.925  -0.275 -0.995  -0.291 -1.066  -0.307 -1.136  -0.316 -1.207  -0.347 -1.263  -0.407 -1.303  -0.454 -1.357  -0.497 -1.414  -0.523 -1.478  -0.457 -1.484  -0.419 -1.518
1d#tos#f2#f2017063/\"  -0.224 1.351  -0.224 1.167  -0.224 0.982  -0.224 0.798  -0.224 0.613  -0.328 0.533  -0.361 0.380  -0.361 0.196  -0.361 0.011  -0.361 -0.173  -0.361 -0.358  -0.361 -0.542  -0.361 -0.727  -0.427 -0.876  -0.580 -0.978  -0.734 -1.081  -0.848 -1.222  -0.951 -1.376  -1.032 -1.499  -0.930 -1.345  -0.828 -1.192  -0.725 -1.038  -0.623 -0.884  -0.521 -0.731  -0.418 -0.577  -0.316 -0.424  -0.213 -0.270  -0.111 -0.117  -0.009 0.037  0.094 0.191  0.196 0.344  0.298 0.498  0.401 0.651  0.503 0.805  0.606 0.958  0.708 1.112  0.810 1.266  0.868 1.270  0.868 1.085  0.868 0.901  0.868 0.716  0.731 0.668  0.731 0.484  0.731 0.299  0.731 0.114  0.731 -0.070  0.731 -0.255  0.719 -0.434  0.589 -0.565  0.458 -0.695
1d#tos#f2#f2017063/#  -0.698 0.252  -0.931 0.152  -0.673 0.334  -0.359 0.599  0.010 0.770  0.361 0.989  0.752 1.116  0.977 1.224  0.693 0.924  0.409 0.624  0.125 0.324  -0.160 0.024  -0.444 -0.275  -0.686 -0.600  -0.989 -0.807  -0.929 -1.008  -0.551 -0.879  -0.212 -0.643  0.164 -0.519  0.518 -0.306  0.856 -0.168  1.157 0.027  0.828 0.276  0.499 0.526  0.169 0.776  -0.160 1.025  -0.465 0.943  -0.465 0.530  -0.465 0.117  -0.465 -0.296  -0.465 -0.709  -0.537 -1.105  -0.558 -1.513  -0.605 -1.915  -0.501 -1.662  -0.375 -1.269  -0.249 -0.875  -0.123 -0.482  0.003 -0.088  0.129 0.305  0.255 0.698  0.381 1.092  0.506 1.485  0.464 1.236  0.468 0.824  0.468 0.411  0.468 -0.002  0.468 -0.415  0.468 -0.828  0.468 -1.241
1d#tos#f2#f2017063/$  0.885 1.172  0.633 1.172  0.434 1.083  0.192 1.026  -0.007 0.883  -0.237 0.833  -0.433 0.678  -0.567 0.471  -0.587 0.265  -0.427 0.168  -0.218 0.100  -0.001 0.018  0.205 -0.113  0.451 -0.147  0.514 -0.372  0.678 -0.493  0.670 -0.742  0.569 -0.957  0.479 -1.171  0.258 -1.268  0.021 -1.301  -0.230 -1.301  -0.482 -1.301  -0.525 -1.130  -0.478 -0.883  -0.430 -0.636  -0.383 -0.390  -0.336 -0.143  -0.289 0.104  -0.241 0.350  -0.194 0.597  -0.147 0.843  -0.099 1.090  -0.052 1.337  -0.005 1.583  -0.051 1.620  -0.105 1.397  -0.071 1.152  -0.048 0.904  -0.022 0.656  -0.022 0.405  -0.015 0.154  0.019 -0.092  0.049 -0.341  0.060 -0.591  0.101 -0.837  0.101 -1.088  0.101 -1.339  0.134 -1.587  0.143 -1.837
1d#tos#f2#f2017063/%  1.343 1.572  1.099 1.572  0.855 1.572  0.653 1.529  0.577 1.298  0.485 1.091  0.351 0.889  0.253 0.665  0.110 0.474  0.043 0.239  -0.050 0.014  -0.171 -0.198  -0.319 -0.391  -0.449 -0.598  -0.509 -0.834  -0.578 -1.067  -0.704 -1.273  -0.718 -1.398  -0.689 -1.155  -0.661 -0.913  -0.632 -0.671  -0.603 -0.428  -0.574 -0.186  -0.546 0.056  -0.517 0.299  -0.488 0.541  -0.459 0.783  -0.670 0.784  -0.800 0.579  -0.801 0.336  -0.738 0.155  -0.517 0.209  -0.419 0.390  -0.515 0.538  -0.387 0.459  -0.196 0.306  -0.006 0.154  0.185 0.001  0.375 -0.151  0.566 -0.303  0.756 -0.456  0.704 -0.420  0.501 -0.460  0.424 -0.628  0.389 -0.867  0.464 -1.033  0.708 -1.033  0.881 -0.882  0.998 -0.702  0.998 -0.458
1d#tos#f2#f2017063/&  1.027 -0.737  0.932 -0.874  0.777 -0.871  0.680 -0.731  0.494 -0.657  0.361 -0.530  0.188 -0.440  0.022 -0.357  -0.119 -0.216  -0.252 -0.078  -0.398 0.048  -0.507 0.214  -0.573 0.393  -0.624 0.580  -0.691 0.766  -0.721 0.963  -0.721 1.163  -0.706 1.357  -0.554 1.456  -0.424 1.550  -0.241 1.592  -0.041 1.592  0.111 1.496  0.111 1.295  0.111 1.095  0.104 0.896  0.070 0.700  0.047 0.503  -0.026 0.318  -0.097 0.135  -0.151 -0.043  -0.271 -0.196  -0.305 -0.393  -0.351 -0.582  -0.454 -0.753  -0.471 -0.948  -0.513 -1.138  -0.513 -1.339  -0.351 -1.324  -0.175 -1.255  -0.032 -1.119  0.079 -0.953  0.211 -0.804  0.346 -0.656  0.472 -0.502  0.612 -0.360  0.720 -0.216  0.793 -0.072  0.943 -0.022  1.068 0.053
1d#tos#f2#f2017063/'  -0.163 0.529  -0.163 0.626  -0.163 0.724  -0.103 0.761  -0.005 0.761  0.070 0.784  0.070 0.881  0.070 0.979  0.153 0.993  0.250 0.993  0.348 0.993  0.445 0.993  0.542 0.993  0.640 0.993  0.737 0.993  0.767 0.925  0.767 0.828  0.741 0.744  0.660 0.690  0.579 0.636  0.498 0.582  0.417 0.528  0.335 0.473  0.254 0.419  0.173 0.365  0.092 0.311  0.053 0.228  0.029 0.133  0.005 0.039  -0.018 -0.056  -0.042 -0.150  -0.066 -0.245  -0.089 -0.340  -0.113 -0.434  -0.137 -0.529  -0.160 -0.623  -0.208 -0.708  -0.258 -0.792  -0.308 -0.875  -0.358 -0.959  -0.408 -1.042  -0.458 -1.126  -0.509 -1.210  -0.559 -1.293  -0.609 -1.377  -0.659 -1.460  -0.709 -1.544  -0.759 -1.628  -0.810 -1.711  -0.860 -1.795
1d#tos#f2#f2017063/(  0.780 1.313  0.706 1.276  0.632 1.239  0.555 1.215  0.476 1.225  0.410 1.264  0.377 1.215  0.294 1.215  0.255 1.145  0.238 1.068  0.156 1.068  0.093 1.019  0.035 0.961  -0.024 0.902  -0.054 0.832  -0.054 0.749  -0.086 0.676  -0.132 0.608  -0.152 0.531  -0.152 0.448  -0.198 0.385  -0.253 0.324  -0.284 0.248  -0.315 0.171  -0.345 0.094  -0.348 0.012  -0.348 -0.071  -0.348 -0.153  -0.348 -0.236  -0.348 -0.319  -0.348 -0.401  -0.348 -0.484  -0.348 -0.567  -0.348 -0.649  -0.348 -0.732  -0.300 -0.795  -0.299 -0.877  -0.263 -0.949  -0.217 -1.017  -0.152 -1.065  -0.091 -1.114  -0.054 -1.188  0.029 -1.188  0.099 -1.205  0.125 -1.284  0.171 -1.335  0.250 -1.355  0.329 -1.381  0.407 -1.407  0.486 -1.433
1d#tos#f2#f2017063/*  0.288 1.801  0.017 1.747  0.017 1.469  0.017 1.192  0.061 0.919  0.071 0.643  0.071 0.365  0.071 0.088  0.071 -0.190  0.080 -0.467  0.125 -0.740  0.135 -1.017  0.179 -1.290  0.179 -1.568  0.125 -1.616  0.001 -1.368  -0.123 -1.120  -0.247 -0.871  -0.371 -0.623  -0.496 -0.374  -0.620 -0.126  -0.744 0.122  -0.889 0.337  -1.024 0.282  -0.804 0.188  -0.640 0.029  -0.397 -0.081  -0.253 -0.279  -0.001 -0.350  0.234 -0.495  0.423 -0.395  0.565 -0.156  0.706 0.083  0.848 0.322  0.989 0.561  1.131 0.800  1.142 0.987  0.939 1.062  0.749 1.150  0.533 1.007  0.396 0.775  0.304 0.525  0.101 0.343  -0.023 0.095  -0.188 -0.120  -0.401 -0.298  -0.589 -0.502  -0.762 -0.720  -0.925 -0.944  -1.068 -1.182
1d#tos#f2#f2017063/.  0.396 1.718  0.396 1.639  0.396 1.560  0.396 1.481  0.396 1.402  0.396 1.323  0.396 1.245  0.396 1.166  0.396 1.087  0.396 1.008  0.396 0.929  0.396 0.850  0.396 0.771  0.396 0.692  0.396 0.613  0.396 0.535  0.396 0.456  0.396 0.377  0.396 0.298  0.384 0.224  0.328 0.168  0.272 0.113  0.216 0.057  0.160 0.001  0.105 -0.055  0.049 -0.111  -0.007 -0.166  -0.063 -0.222  -0.119 -0.278  -0.174 -0.334  -0.230 -0.389  -0.286 -0.445  -0.342 -0.501  -0.397 -0.557  -0.453 -0.613  -0.509 -0.668  -0.565 -0.724  -0.592 -0.792  -0.592 -0.871  -0.592 -0.950  -0.592 -1.029  -0.592 -1.108  -0.592 -1.186  -0.571 -1.245  -0.492 -1.245  -0.413 -1.245  -0.335 -1.245  -0.256 -1.245  -0.177 -1.245  -0.098 -1.245
1d#tos#f2#f2017063/:  -0.037 1.535  -0.037 1.460  -0.037 1.384  -0.037 1.308  -0.096 1.264  -0.158 1.222  -0.224 1.188  -0.269 1.157  -0.269 1.081  -0.210 1.042  -0.141 1.014  -0.065 1.014  -0.037 0.966  -0.032 0.893  0.022 0.839  0.075 0.786  0.079 0.712  0.079 0.636  0.077 0.561  0.074 0.485  0.071 0.409  0.067 0.334  0.064 0.258  0.061 0.183  0.057 0.107  0.054 0.032  0.051 -0.044  0.048 -0.120  0.044 -0.195  0.041 -0.271  0.038 -0.346  0.034 -0.422  0.031 -0.497  0.028 -0.573  0.025 -0.649  0.021 -0.724  0.021 -0.800  0.021 -0.875  0.021 -0.951  0.021 -1.027  0.021 -1.102  0.021 -1.178  0.021 -1.254  0.021 -1.329  0.021 -1.405  0.022 -1.480  0.055 -1.548  0.079 -1.618  0.079 -1.694  0.079 -1.769
