3#app#app14#app1483/I  0.059 1.716  0.059 1.645  0.059 1.574  0.059 1.503  0.059 1.432  0.059 1.361  0.059 1.290  0.059 1.219  0.059 1.148  0.059 1.077  0.059 1.006  0.059 0.935  0.059 0.864  0.059 0.793  0.059 0.721  0.059 0.650  0.059 0.579  0.059 0.508  0.059 0.437  0.059 0.366  0.059 0.295  0.059 0.224  0.059 0.153  0.059 0.082  0.059 0.011  0.059 -0.060  0.059 -0.131  0.059 -0.202  0.059 -0.273  0.059 -0.344  0.059 -0.415  0.059 -0.486  0.056 -0.556  0.006 -0.606  -0.045 -0.656  -0.095 -0.707  -0.130 -0.763  -0.130 -0.834  -0.130 -0.905  -0.130 -0.976  -0.130 -1.047  -0.130 -1.119  -0.130 -1.190  -0.130 -1.261  -0.130 -1.332  -0.130 -1.403  -0.130 -1.474  -0.130 -1.545  -0.130 -1.616  -0.130 -1.687
3#app#app14#app1483/'  0.250 1.369  0.250 1.283  0.250 1.196  0.250 1.109  0.250 1.023  0.291 0.977  0.378 0.977  0.464 0.977  0.551 0.977  0.637 0.977  0.560 0.977  0.473 0.977  0.386 0.977  0.300 0.977  0.250 0.941  0.250 0.854  0.250 0.767  0.250 0.681  0.250 0.594  0.250 0.508  0.250 0.421  0.250 0.334  0.250 0.248  0.227 0.171  0.166 0.110  0.105 0.048  0.043 -0.013  -0.018 -0.074  -0.079 -0.135  -0.140 -0.197  -0.142 -0.283  -0.142 -0.369  -0.142 -0.456  -0.142 -0.542  -0.169 -0.618  -0.231 -0.679  -0.292 -0.740  -0.353 -0.801  -0.414 -0.863  -0.476 -0.924  -0.534 -0.986  -0.534 -1.073  -0.534 -1.159  -0.534 -1.246  -0.534 -1.333  -0.534 -1.419  -0.534 -1.506  -0.534 -1.592  -0.534 -1.679  -0.534 -1.766
3#app#app14#app1483/v  -0.606 1.028  -0.606 0.905  -0.606 0.782  -0.606 0.658  -0.606 0.535  -0.606 0.412  -0.606 0.288  -0.606 0.165  -0.606 0.042  -0.606 -0.082  -0.606 -0.205  -0.606 -0.329  -0.606 -0.452  -0.606 -0.575  -0.606 -0.699  -0.606 -0.822  -0.606 -0.945  -0.606 -1.069  -0.606 -1.192  -0.514 -1.223  -0.390 -1.223  -0.284 -1.182  -0.197 -1.095  -0.109 -1.008  -0.043 -0.912  -0.043 -0.788  -0.043 -0.665  0.075 -0.660  0.198 -0.660  0.238 -0.576  0.238 -0.453  0.238 -0.330  0.238 -0.206  0.248 -0.087  0.335 0.000  0.423 0.087  0.510 0.175  0.519 0.294  0.519 0.417  0.553 0.533  0.608 0.643  0.663 0.753  0.719 0.864  0.774 0.974  0.845 1.073  0.932 1.160  1.020 1.247  1.082 1.345  1.082 1.468  1.082 1.591
3#app#app14#app1483/e  -0.588 0.306  -0.588 0.155  -0.546 0.047  -0.396 0.047  -0.245 0.047  -0.094 0.047  0.056 0.047  0.189 0.065  0.189 0.215  0.249 0.306  0.399 0.306  0.520 0.378  0.627 0.484  0.707 0.602  0.707 0.752  0.707 0.903  0.707 1.054  0.707 1.204  0.694 1.342  0.543 1.342  0.448 1.287  0.448 1.136  0.379 1.014  0.273 0.908  0.157 0.824  0.006 0.824  -0.070 0.750  -0.070 0.599  -0.153 0.483  -0.259 0.376  -0.329 0.255  -0.329 0.104  -0.395 -0.019  -0.502 -0.126  -0.588 -0.240  -0.588 -0.391  -0.588 -0.542  -0.588 -0.692  -0.588 -0.843  -0.584 -0.989  -0.434 -0.989  -0.329 -1.035  -0.329 -1.186  -0.267 -1.311  -0.160 -1.417  -0.054 -1.524  0.052 -1.630  0.159 -1.737  0.297 -1.767  0.448 -1.767
3#app#app14#app1483/r  -0.507 0.629  -0.507 0.507  -0.507 0.386  -0.507 0.264  -0.507 0.142  -0.507 0.021  -0.507 -0.101  -0.507 -0.223  -0.507 -0.345  -0.507 -0.466  -0.507 -0.588  -0.507 -0.710  -0.507 -0.831  -0.507 -0.953  -0.507 -1.075  -0.507 -1.196  -0.507 -1.318  -0.403 -1.336  -0.281 -1.336  -0.226 -1.270  -0.226 -1.148  -0.226 -1.026  -0.226 -0.904  -0.226 -0.783  -0.146 -0.694  -0.060 -0.608  0.026 -0.522  0.055 -0.412  0.055 -0.290  0.055 -0.169  0.055 -0.047  0.055 0.075  0.055 0.196  0.055 0.318  0.055 0.440  0.055 0.561  0.093 0.667  0.179 0.753  0.265 0.839  0.351 0.926  0.437 1.012  0.523 1.098  0.609 1.184  0.728 1.191  0.850 1.191  0.972 1.191  1.093 1.191  1.215 1.191  1.337 1.191  1.458 1.191
3#app#app14#app1483/u  -0.846 1.024  -0.765 0.942  -0.683 0.861  -0.602 0.779  -0.599 0.730  -0.714 0.730  -0.829 0.730  -0.846 0.632  -0.846 0.517  -0.846 0.402  -0.846 0.286  -0.846 0.171  -0.846 0.056  -0.846 -0.059  -0.846 -0.175  -0.846 -0.290  -0.846 -0.405  -0.846 -0.520  -0.846 -0.636  -0.832 -0.737  -0.717 -0.737  -0.602 -0.737  -0.487 -0.737  -0.371 -0.737  -0.256 -0.737  -0.141 -0.737  -0.026 -0.737  0.090 -0.737  0.205 -0.737  0.320 -0.737  0.404 -0.661  0.485 -0.579  0.567 -0.498  0.621 -0.405  0.621 -0.290  0.621 -0.175  0.712 -0.150  0.827 -0.150  0.915 -0.122  0.915 -0.007  0.915 0.108  0.971 0.200  1.053 0.282  1.134 0.363  1.208 0.448  1.208 0.563  1.208 0.678  1.208 0.793  1.208 0.909  1.208 1.024
3#app#app14#app1483/n  -0.756 1.014  -0.756 0.889  -0.756 0.763  -0.756 0.638  -0.756 0.512  -0.756 0.387  -0.756 0.261  -0.786 0.148  -0.875 0.060  -0.964 -0.029  -1.035 -0.125  -1.035 -0.251  -1.035 -0.376  -1.035 -0.502  -1.035 -0.627  -0.940 -0.657  -0.814 -0.657  -0.756 -0.590  -0.756 -0.464  -0.728 -0.350  -0.639 -0.262  -0.550 -0.173  -0.462 -0.084  -0.373 0.004  -0.284 0.093  -0.199 0.183  -0.199 0.309  -0.199 0.434  -0.096 0.457  0.029 0.457  0.155 0.457  0.280 0.457  0.392 0.423  0.480 0.335  0.569 0.246  0.667 0.178  0.792 0.178  0.915 0.176  0.915 0.050  0.915 -0.075  1.016 -0.100  1.141 -0.100  1.245 -0.152  1.334 -0.240  1.423 -0.329  1.472 -0.434  1.472 -0.559  1.500 -0.657  1.625 -0.657  1.751 -0.657
3#app#app14#app1483/o  -0.380 0.822  -0.243 0.822  -0.168 0.884  -0.168 1.021  -0.043 1.033  0.094 1.033  0.231 1.033  0.368 1.033  0.494 1.007  0.591 0.910  0.688 0.813  0.784 0.716  0.881 0.619  0.890 0.486  0.890 0.349  0.890 0.212  0.890 0.075  0.890 -0.062  0.890 -0.200  0.890 -0.337  0.879 -0.471  0.818 -0.593  0.757 -0.716  0.695 -0.839  0.579 -0.872  0.449 -0.890  0.352 -0.987  0.255 -1.083  0.118 -1.083  -0.019 -1.083  -0.156 -1.083  -0.256 -0.995  -0.353 -0.898  -0.479 -0.872  -0.591 -0.847  -0.591 -0.710  -0.653 -0.598  -0.750 -0.501  -0.803 -0.386  -0.803 -0.249  -0.803 -0.112  -0.838 0.010  -0.935 0.107  -1.015 0.211  -1.015 0.348  -1.015 0.485  -1.002 0.610  -0.865 0.610  -0.728 0.610  -0.591 0.610
3#app#app14#app1483/u  -1.007 0.800  -1.007 0.693  -1.007 0.586  -1.007 0.479  -1.007 0.372  -1.007 0.265  -1.007 0.158  -1.007 0.051  -1.007 -0.056  -1.007 -0.162  -1.007 -0.269  -1.007 -0.376  -1.007 -0.483  -1.007 -0.590  -0.964 -0.654  -0.857 -0.654  -0.750 -0.654  -0.643 -0.654  -0.536 -0.654  -0.429 -0.654  -0.322 -0.654  -0.215 -0.654  -0.109 -0.654  -0.002 -0.654  0.084 -0.632  0.084 -0.525  0.084 -0.418  0.084 -0.311  0.170 -0.291  0.276 -0.291  0.383 -0.291  0.478 -0.260  0.553 -0.184  0.629 -0.109  0.704 -0.033  0.780 0.043  0.810 0.137  0.810 0.244  0.810 0.351  0.832 0.436  0.939 0.436  1.046 0.436  1.152 0.436  1.174 0.522  1.174 0.629  1.174 0.736  1.174 0.843  1.174 0.950  1.174 1.056  1.174 1.163
3#app#app14#app1483/t  1.169 -0.225  1.013 -0.225  0.856 -0.225  0.700 -0.225  0.543 -0.225  0.387 -0.225  0.230 -0.225  0.074 -0.225  -0.083 -0.225  -0.239 -0.225  -0.396 -0.225  -0.552 -0.225  -0.709 -0.225  -0.654 -0.082  -0.596 0.063  -0.538 0.209  -0.480 0.354  -0.422 0.499  -0.364 0.645  -0.306 0.790  -0.248 0.935  -0.189 1.080  -0.131 1.226  -0.073 1.371  -0.015 1.516  0.041 1.651  0.041 1.494  0.041 1.338  0.041 1.181  0.041 1.025  0.041 0.868  0.041 0.712  0.041 0.555  0.041 0.399  0.041 0.242  0.041 0.086  0.041 -0.071  0.041 -0.227  0.041 -0.384  0.041 -0.540  0.041 -0.697  0.041 -0.853  0.041 -1.010  0.041 -1.166  0.041 -1.323  0.041 -1.480  0.041 -1.636  0.041 -1.792  0.041 -1.949  0.041 -2.106
3#app#app14#app1483/o  -0.589 1.059  -0.461 1.059  -0.332 1.059  -0.203 1.059  -0.074 1.059  0.055 1.059  0.184 1.059  0.312 1.059  0.434 1.042  0.525 0.951  0.617 0.860  0.708 0.769  0.799 0.678  0.890 0.587  0.921 0.471  0.921 0.342  0.921 0.213  0.921 0.084  0.921 -0.044  0.921 -0.173  0.921 -0.302  0.921 -0.431  0.845 -0.528  0.754 -0.619  0.660 -0.704  0.531 -0.704  0.407 -0.715  0.316 -0.806  0.225 -0.897  0.120 -0.956  -0.008 -0.956  -0.137 -0.956  -0.266 -0.956  -0.338 -0.898  -0.338 -0.769  -0.401 -0.704  -0.530 -0.704  -0.638 -0.655  -0.729 -0.564  -0.820 -0.473  -0.841 -0.353  -0.841 -0.224  -0.947 -0.200  -1.075 -0.200  -1.093 -0.089  -1.093 0.040  -1.093 0.169  -1.093 0.297  -0.970 0.303  -0.841 0.303
