2#app#app06#app0614/F  -0.476 1.161  -0.425 0.975  -0.365 0.778  -0.299 0.581  -0.218 0.391  -0.146 0.198  -0.100 -0.004  -0.057 -0.207  -0.007 -0.408  0.043 -0.610  0.094 -0.811  0.146 -1.011  0.222 -1.204  0.246 -1.405  0.293 -1.602  0.341 -1.798  0.371 -1.830  0.260 -1.669  0.188 -1.491  0.081 -1.327  0.016 -1.130  -0.042 -0.931  -0.100 -0.733  -0.165 -0.536  -0.217 -0.335  -0.325 -0.159  -0.391 0.037  -0.425 0.239  -0.527 0.413  -0.566 0.614  -0.578 0.820  -0.578 1.027  -0.517 1.181  -0.382 1.315  -0.175 1.315  0.010 1.237  0.199 1.181  0.401 1.157  0.597 1.110  0.793 1.059  0.678 0.902  0.550 0.739  0.422 0.576  0.295 0.412  0.167 0.249  0.039 0.086  -0.089 -0.077  0.035 -0.141  0.236 -0.166  0.443 -0.166
2#app#app06#app0614/I  -0.371 1.486  -0.442 1.486  -0.506 1.478  -0.506 1.407  -0.506 1.336  -0.506 1.264  -0.506 1.193  -0.493 1.125  -0.462 1.061  -0.430 0.997  -0.398 0.933  -0.371 0.868  -0.371 0.797  -0.371 0.726  -0.355 0.661  -0.304 0.611  -0.254 0.560  -0.222 0.499  -0.199 0.431  -0.176 0.364  -0.154 0.296  -0.131 0.228  -0.109 0.161  -0.080 0.096  -0.048 0.032  -0.019 -0.033  0.007 -0.099  0.034 -0.165  0.060 -0.232  0.087 -0.298  0.111 -0.365  0.134 -0.432  0.156 -0.500  0.183 -0.566  0.215 -0.629  0.254 -0.688  0.304 -0.739  0.335 -0.803  0.367 -0.866  0.399 -0.930  0.431 -0.994  0.463 -1.058  0.495 -1.121  0.505 -1.190  0.542 -1.246  0.585 -1.302  0.617 -1.366  0.640 -1.432  0.657 -1.496  0.707 -1.546
2#app#app06#app0614/R  -0.588 1.050  -0.540 0.865  -0.451 0.682  -0.386 0.489  -0.321 0.296  -0.213 0.123  -0.142 -0.067  -0.067 -0.257  0.005 -0.446  0.059 -0.642  0.118 -0.834  0.163 -1.027  0.206 -1.220  0.206 -1.424  0.113 -1.369  -0.008 -1.208  -0.108 -1.031  -0.221 -0.863  -0.318 -0.689  -0.388 -0.498  -0.472 -0.313  -0.528 -0.117  -0.588 0.078  -0.632 0.274  -0.677 0.468  -0.677 0.671  -0.677 0.875  -0.632 1.069  -0.553 1.254  -0.413 1.401  -0.275 1.535  -0.071 1.535  0.112 1.450  0.206 1.271  0.315 1.098  0.386 0.908  0.427 0.711  0.427 0.507  0.427 0.303  0.383 0.110  0.339 -0.084  0.262 -0.263  0.181 -0.407  0.364 -0.477  0.527 -0.595  0.671 -0.739  0.815 -0.883  0.934 -1.046  1.078 -1.190  1.222 -1.334
2#app#app06#app0614/S  -0.112 1.496  -0.197 1.496  -0.270 1.484  -0.301 1.412  -0.347 1.342  -0.375 1.264  -0.399 1.185  -0.437 1.109  -0.475 1.033  -0.504 0.953  -0.530 0.873  -0.533 0.789  -0.533 0.704  -0.558 0.629  -0.586 0.556  -0.586 0.471  -0.586 0.387  -0.586 0.302  -0.522 0.274  -0.455 0.232  -0.370 0.232  -0.296 0.206  -0.222 0.180  -0.160 0.125  -0.084 0.087  -0.019 0.034  0.053 -0.008  0.114 -0.062  0.152 -0.137  0.223 -0.184  0.293 -0.231  0.338 -0.301  0.376 -0.376  0.414 -0.452  0.467 -0.515  0.467 -0.600  0.520 -0.663  0.558 -0.739  0.572 -0.820  0.610 -0.896  0.625 -0.977  0.625 -1.062  0.617 -1.144  0.557 -1.204  0.519 -1.273  0.510 -1.352  0.434 -1.389  0.407 -1.459  0.341 -1.505  0.256 -1.505
2#app#app06#app0614/T  -0.390 1.228  -0.334 1.094  -0.278 0.959  -0.213 0.817  -0.147 0.675  -0.088 0.529  -0.033 0.381  0.026 0.237  0.114 0.106  0.181 -0.036  0.232 -0.185  0.297 -0.328  0.354 -0.473  0.440 -0.603  0.510 -0.744  0.525 -0.899  0.578 -1.047  0.663 -1.177  0.695 -1.321  0.735 -1.462  0.735 -1.619  0.661 -1.529  0.575 -1.397  0.489 -1.265  0.403 -1.133  0.317 -1.001  0.231 -0.869  0.145 -0.738  0.059 -0.606  -0.027 -0.474  -0.113 -0.342  -0.199 -0.210  -0.285 -0.078  -0.371 0.054  -0.457 0.186  -0.543 0.317  -0.629 0.449  -0.715 0.581  -0.801 0.713  -0.887 0.845  -0.917 0.946  -0.783 1.003  -0.625 1.003  -0.491 1.059  -0.334 1.059  -0.176 1.059  -0.019 1.059  0.139 1.059  0.296 1.059  0.454 1.059
2#app#app06#app0614/M  -0.856 1.360  -0.801 1.081  -0.765 0.792  -0.686 0.511  -0.594 0.233  -0.495 -0.042  -0.392 -0.315  -0.299 -0.593  -0.243 -0.876  -0.134 -1.147  -0.024 -1.398  -0.006 -1.487  -0.172 -1.254  -0.307 -1.002  -0.452 -0.757  -0.528 -0.475  -0.656 -0.214  -0.720 0.067  -0.784 0.351  -0.856 0.632  -0.856 0.924  -0.797 1.193  -0.574 1.134  -0.400 0.901  -0.291 0.629  -0.156 0.374  -0.056 0.101  0.067 -0.164  0.200 -0.422  0.311 -0.691  0.392 -0.964  0.559 -1.188  0.617 -1.067  0.617 -0.775  0.539 -0.497  0.470 -0.215  0.390 0.063  0.332 0.346  0.275 0.629  0.220 0.913  0.163 1.192  0.333 1.259  0.500 1.026  0.610 0.755  0.761 0.505  0.892 0.243  0.999 -0.028  1.079 -0.302  1.219 -0.545  1.353 -0.792
2#app#app06#app0614/A  -0.467 1.435  -0.398 1.356  -0.335 1.112  -0.240 0.872  -0.175 0.622  -0.137 0.367  -0.113 0.110  -0.072 -0.144  -0.054 -0.400  -0.054 -0.658  -0.054 -0.917  -0.054 -1.175  -0.054 -1.434  -0.054 -1.692  -0.172 -1.743  -0.210 -1.494  -0.282 -1.247  -0.290 -0.989  -0.332 -0.737  -0.349 -0.482  -0.349 -0.223  -0.372 0.032  -0.408 0.284  -0.408 0.543  -0.396 0.800  -0.353 1.055  -0.349 1.313  -0.235 1.545  -0.099 1.671  0.133 1.592  0.240 1.359  0.328 1.127  0.379 0.880  0.463 0.637  0.535 0.391  0.537 0.133  0.613 -0.114  0.653 -0.368  0.653 -0.626  0.710 -0.861  0.712 -1.119  0.560 -0.998  0.383 -0.810  0.205 -0.622  0.027 -0.435  -0.151 -0.247  -0.329 -0.059  -0.145 0.021  0.065 0.139  0.299 0.198
2#app#app06#app0614/T  -0.088 1.008  -0.088 0.861  -0.029 0.737  -0.029 0.590  -0.009 0.449  0.073 0.326  0.089 0.183  0.136 0.044  0.169 -0.100  0.198 -0.244  0.240 -0.386  0.265 -0.529  0.282 -0.672  0.324 -0.810  0.362 -0.948  0.382 -1.091  0.441 -1.214  0.496 -1.339  0.511 -1.482  0.559 -1.618  0.495 -1.523  0.423 -1.395  0.351 -1.266  0.279 -1.138  0.207 -1.009  0.135 -0.880  0.063 -0.752  -0.010 -0.623  -0.082 -0.495  -0.154 -0.366  -0.226 -0.237  -0.298 -0.109  -0.370 0.020  -0.442 0.148  -0.514 0.277  -0.587 0.405  -0.659 0.534  -0.731 0.663  -0.793 0.794  -0.757 0.926  -0.652 1.031  -0.546 1.131  -0.419 1.205  -0.288 1.243  -0.140 1.243  0.003 1.259  0.141 1.302  0.288 1.302  0.436 1.302  0.559 1.243
2#app#app06#app0614/E  -0.521 0.752  -0.460 0.556  -0.370 0.329  -0.298 0.083  -0.246 -0.163  -0.213 -0.411  -0.153 -0.653  -0.093 -0.895  -0.014 -1.134  0.074 -1.365  0.027 -1.447  -0.095 -1.230  -0.194 -0.997  -0.300 -0.764  -0.398 -0.528  -0.460 -0.287  -0.531 -0.044  -0.636 0.190  -0.696 0.432  -0.729 0.680  -0.764 0.928  -0.643 1.145  -0.470 1.299  -0.268 1.431  -0.033 1.482  0.224 1.482  0.455 1.421  0.686 1.360  0.736 1.268  0.565 1.077  0.394 0.886  0.223 0.695  0.052 0.504  -0.119 0.313  -0.107 0.204  0.149 0.204  0.391 0.265  0.647 0.265  0.673 0.145  0.526 -0.065  0.379 -0.275  0.232 -0.485  0.085 -0.695  -0.062 -0.905  -0.095 -1.151  0.030 -1.318  0.264 -1.264  0.492 -1.196  0.723 -1.109  0.940 -1.014
2#app#app06#app0614/E  -0.588 1.215  -0.525 1.089  -0.458 0.833  -0.356 0.580  -0.285 0.319  -0.252 0.050  -0.192 -0.216  -0.163 -0.483  -0.103 -0.742  -0.056 -1.003  0.019 -1.247  0.019 -1.520  -0.091 -1.407  -0.163 -1.149  -0.249 -0.894  -0.297 -0.630  -0.383 -0.371  -0.469 -0.112  -0.556 0.146  -0.604 0.411  -0.690 0.670  -0.770 0.925  -0.710 1.172  -0.529 1.335  -0.283 1.397  -0.024 1.336  0.243 1.302  0.491 1.228  0.747 1.204  0.594 0.991  0.408 0.792  0.221 0.594  0.035 0.395  -0.152 0.196  0.062 0.265  0.300 0.365  0.572 0.365  0.694 0.283  0.547 0.053  0.400 -0.176  0.253 -0.406  0.106 -0.636  -0.041 -0.865  -0.188 -1.095  -0.080 -1.213  0.187 -1.189  0.445 -1.106  0.706 -1.051  0.974 -1.031  1.233 -0.970
2#app#app06#app0614/X  0.277 1.607  0.277 1.406  0.277 1.204  0.277 1.003  0.277 0.801  0.239 0.609  0.200 0.417  0.200 0.215  0.200 0.014  0.167 -0.182  0.123 -0.376  0.088 -0.572  0.047 -0.767  0.047 -0.968  -0.016 -1.144  -0.030 -1.339  -0.030 -1.541  -0.030 -1.742  -0.066 -1.604  -0.108 -1.407  -0.150 -1.210  -0.193 -1.013  -0.235 -0.816  -0.277 -0.619  -0.319 -0.422  -0.361 -0.226  -0.404 -0.029  -0.446 0.168  -0.488 0.365  -0.530 0.562  -0.572 0.759  -0.615 0.956  -0.657 1.153  -0.699 1.350  -0.654 1.386  -0.511 1.243  -0.385 1.089  -0.271 0.926  -0.173 0.752  -0.031 0.609  0.003 0.422  0.145 0.280  0.256 0.114  0.346 -0.066  0.455 -0.235  0.584 -0.389  0.758 -0.487  0.891 -0.633  0.997 -0.774  1.122 -0.850
