1c#app#app19#app1952/f  0.475 0.833  0.475 1.012  0.360 1.142  0.221 1.250  0.090 1.348  -0.024 1.412  -0.173 1.482  -0.341 1.508  -0.489 1.478  -0.489 1.300  -0.489 1.122  -0.430 0.968  -0.393 0.805  -0.343 0.638  -0.296 0.471  -0.227 0.309  -0.147 0.149  -0.067 -0.010  0.012 -0.170  0.090 -0.330  0.090 -0.508  0.165 -0.668  0.186 -0.842  0.269 -0.986  0.354 -1.142  0.390 -1.311  0.470 -1.471  0.475 -1.648  0.372 -1.563  0.251 -1.432  0.130 -1.300  0.009 -1.169  -0.112 -1.038  -0.233 -0.907  -0.353 -0.776  -0.474 -0.645  -0.595 -0.514  -0.631 -0.421  -0.489 -0.384  -0.474 -0.212  -0.393 -0.068  -0.296 0.014  -0.179 0.120  -0.037 0.224  0.125 0.272  0.284 0.351  0.463 0.351  0.641 0.351  0.819 0.351  0.958 0.255
1c#app#app19#app1952/a  -0.142 0.303  -0.142 0.478  -0.142 0.652  -0.289 0.680  -0.331 0.813  -0.450 0.869  -0.624 0.869  -0.772 0.804  -0.896 0.681  -1.019 0.557  -1.143 0.434  -1.266 0.311  -1.274 0.139  -1.380 0.008  -1.462 -0.132  -1.431 -0.294  -1.308 -0.417  -1.184 -0.541  -1.050 -0.640  -0.876 -0.640  -0.701 -0.640  -0.527 -0.640  -0.352 -0.640  -0.177 -0.640  -0.003 -0.640  0.135 -0.551  0.269 -0.451  0.443 -0.451  0.616 -0.447  0.740 -0.324  0.801 -0.174  0.801 0.000  0.801 0.175  0.801 0.350  0.768 0.492  0.593 0.492  0.419 0.492  0.244 0.492  0.352 0.375  0.423 0.230  0.477 0.088  0.633 0.010  0.789 -0.068  0.801 -0.236  0.948 -0.263  1.123 -0.263  1.263 -0.347  1.394 -0.451  1.569 -0.451  1.743 -0.451
1c#app#app19#app1952/i  -0.604 1.472  -0.604 1.393  -0.604 1.314  -0.604 1.235  -0.604 1.156  -0.604 1.077  -0.569 1.034  -0.490 1.034  -0.411 1.034  -0.332 1.034  -0.253 1.034  -0.174 1.034  -0.166 0.963  -0.166 0.884  -0.166 0.805  -0.166 0.726  -0.166 0.647  -0.166 0.568  -0.166 0.489  -0.166 0.410  -0.166 0.331  -0.166 0.252  -0.166 0.174  -0.122 0.113  -0.066 0.057  -0.010 0.001  0.046 -0.054  0.101 -0.110  0.157 -0.166  0.213 -0.222  0.269 -0.277  0.272 -0.355  0.272 -0.434  0.272 -0.513  0.272 -0.592  0.272 -0.671  0.272 -0.750  0.272 -0.829  0.272 -0.908  0.272 -0.986  0.272 -1.065  0.272 -1.144  0.319 -1.204  0.375 -1.259  0.430 -1.315  0.486 -1.371  0.542 -1.427  0.598 -1.483  0.654 -1.538  0.709 -1.594
1c#app#app19#app1952/l  -0.639 1.374  -0.565 1.374  -0.492 1.374  -0.418 1.374  -0.344 1.374  -0.298 1.345  -0.298 1.271  -0.294 1.199  -0.242 1.147  -0.190 1.095  -0.138 1.043  -0.128 0.973  -0.128 0.899  -0.128 0.825  -0.128 0.751  -0.128 0.677  -0.128 0.604  -0.128 0.530  -0.128 0.456  -0.128 0.382  -0.128 0.308  -0.128 0.234  -0.114 0.166  -0.062 0.114  -0.009 0.062  0.043 0.010  0.043 -0.064  0.043 -0.138  0.066 -0.207  0.099 -0.273  0.132 -0.339  0.165 -0.405  0.198 -0.471  0.213 -0.541  0.213 -0.615  0.213 -0.689  0.213 -0.763  0.213 -0.836  0.213 -0.910  0.213 -0.984  0.227 -1.056  0.251 -1.126  0.274 -1.196  0.297 -1.266  0.321 -1.336  0.344 -1.406  0.367 -1.476  0.384 -1.547  0.384 -1.621  0.384 -1.695
1c#app#app19#app1952/e  -1.629 -0.310  -1.629 -0.490  -1.466 -0.506  -1.286 -0.506  -1.107 -0.506  -0.927 -0.506  -0.747 -0.506  -0.568 -0.506  -0.388 -0.506  -0.209 -0.506  -0.039 -0.481  0.088 -0.354  0.249 -0.310  0.399 -0.239  0.526 -0.112  0.653 0.015  0.780 0.142  0.907 0.269  1.033 0.396  1.110 0.544  1.110 0.723  1.110 0.903  1.087 1.059  0.908 1.059  0.728 1.059  0.549 1.059  0.369 1.059  0.190 1.059  0.023 1.005  -0.138 0.925  -0.290 0.833  -0.417 0.706  -0.455 0.542  -0.565 0.472  -0.651 0.379  -0.651 0.199  -0.651 0.020  -0.651 -0.160  -0.622 -0.310  -0.446 -0.319  -0.319 -0.446  -0.164 -0.506  -0.008 -0.562  0.119 -0.689  0.293 -0.701  0.430 -0.804  0.571 -0.897  0.751 -0.897  0.931 -0.897  1.110 -0.897
1c#app#app19#app1952/d  0.025 -0.406  -0.023 -0.233  -0.183 -0.156  -0.375 -0.156  -0.568 -0.156  -0.635 -0.281  -0.723 -0.386  -0.771 -0.530  -0.848 -0.646  -0.848 -0.838  -0.847 -1.029  -0.723 -1.098  -0.711 -1.279  -0.519 -1.279  -0.327 -1.279  -0.161 -1.215  -0.025 -1.079  0.080 -0.920  0.150 -0.745  0.223 -0.582  0.275 -0.412  0.275 -0.219  0.275 -0.027  0.275 0.165  0.275 0.358  0.275 0.550  0.263 0.740  0.177 0.912  0.147 1.097  0.061 1.269  0.025 1.453  0.025 1.645  -0.062 1.801  -0.099 1.700  -0.099 1.507  -0.099 1.315  -0.034 1.150  0.025 0.982  0.048 0.795  0.134 0.623  0.220 0.451  0.275 0.272  0.284 0.083  0.413 -0.058  0.499 -0.230  0.585 -0.402  0.676 -0.571  0.783 -0.731  0.889 -0.891  1.023 -1.029
1c#app#app19#app1952/w  -1.434 0.140  -1.316 0.164  -1.316 0.307  -1.316 0.304  -1.316 0.162  -1.316 0.019  -1.316 -0.124  -1.280 -0.251  -1.179 -0.352  -1.079 -0.454  -1.061 -0.589  -0.959 -0.689  -0.817 -0.689  -0.674 -0.689  -0.531 -0.689  -0.417 -0.619  -0.295 -0.570  -0.250 -0.472  -0.164 -0.366  -0.063 -0.265  -0.013 -0.142  -0.013 0.000  -0.013 0.143  -0.040 0.259  -0.132 0.207  -0.132 0.065  -0.032 0.022  0.075 -0.066  0.175 -0.167  0.276 -0.268  0.392 -0.334  0.535 -0.334  0.677 -0.334  0.820 -0.334  0.954 -0.313  1.056 -0.215  1.191 -0.195  1.290 -0.094  1.290 0.049  1.290 0.192  1.290 0.335  1.219 0.448  1.118 0.549  1.017 0.650  0.916 0.751  0.815 0.851  0.679 0.869  0.579 0.970  0.478 1.070  0.342 1.088
1c#app#app19#app1952/i  -0.101 1.721  -0.101 1.649  -0.101 1.577  -0.101 1.505  -0.101 1.433  -0.101 1.361  -0.101 1.289  -0.101 1.217  -0.101 1.145  -0.101 1.073  -0.101 1.002  -0.101 0.930  -0.101 0.858  -0.101 0.786  -0.101 0.714  -0.101 0.642  -0.101 0.570  -0.101 0.498  -0.101 0.426  -0.101 0.354  -0.101 0.282  -0.101 0.210  -0.101 0.138  -0.101 0.066  -0.101 -0.006  -0.101 -0.078  -0.101 -0.150  -0.101 -0.222  -0.101 -0.294  -0.101 -0.366  -0.101 -0.438  -0.053 -0.490  -0.002 -0.541  0.049 -0.592  0.100 -0.642  0.150 -0.693  0.201 -0.744  0.208 -0.814  0.208 -0.886  0.208 -0.958  0.208 -1.029  0.208 -1.101  0.208 -1.173  0.208 -1.245  0.208 -1.317  0.208 -1.389  0.208 -1.461  0.208 -1.533  0.208 -1.605  0.208 -1.677
1c#app#app19#app1952/z  -0.847 1.173  -0.643 1.173  -0.503 1.238  -0.406 1.345  -0.202 1.345  0.002 1.345  0.206 1.345  0.410 1.345  0.529 1.260  0.529 1.055  0.423 0.895  0.357 0.718  0.293 0.529  0.201 0.347  0.185 0.146  0.044 0.001  0.013 -0.191  -0.007 -0.375  -0.159 -0.427  -0.219 -0.606  -0.331 -0.764  -0.331 -0.968  -0.331 -1.173  -0.331 -1.377  -0.157 -1.406  0.048 -1.406  0.252 -1.406  0.427 -1.336  0.571 -1.192  0.722 -1.062  0.910 -1.025  1.033 -0.883  0.860 -0.773  0.688 -0.664  0.516 -0.554  0.344 -0.444  0.171 -0.335  -0.001 -0.225  -0.173 -0.116  -0.345 -0.006  -0.518 0.104  -0.690 0.213  -0.847 0.296  -0.847 0.191  -0.765 0.313  -0.594 0.394  -0.428 0.485  -0.224 0.485  -0.019 0.485  0.185 0.485
1c#app#app19#app1952/a  -0.183 -0.196  -0.015 -0.177  -0.015 0.011  -0.015 0.198  -0.015 0.385  -0.015 0.572  -0.015 0.760  -0.015 0.947  -0.169 0.980  -0.356 0.980  -0.543 0.980  -0.718 0.949  -0.850 0.817  -1.023 0.799  -1.055 0.644  -1.227 0.608  -1.359 0.475  -1.359 0.288  -1.359 0.101  -1.317 -0.069  -1.191 -0.204  -1.163 -0.364  -0.990 -0.397  -0.857 -0.529  -0.676 -0.543  -0.543 -0.675  -0.366 -0.700  -0.179 -0.700  0.008 -0.700  0.196 -0.700  0.365 -0.656  0.499 -0.527  0.667 -0.443  0.825 -0.354  0.855 -0.196  0.993 -0.147  0.993 0.040  0.932 0.202  0.789 0.308  0.601 0.308  0.489 0.233  0.556 0.073  0.701 -0.028  0.825 -0.091  0.884 -0.254  1.016 -0.387  1.148 -0.519  1.330 -0.533  1.413 -0.700  1.497 -0.868
1c#app#app19#app1952/r  -0.465 0.068  -0.337 0.068  -0.298 0.068  -0.426 0.068  -0.465 -0.021  -0.465 -0.149  -0.465 -0.276  -0.465 -0.403  -0.465 -0.531  -0.370 -0.564  -0.254 -0.575  -0.254 -0.703  -0.254 -0.830  -0.254 -0.958  -0.183 -1.056  -0.093 -1.146  -0.043 -1.253  -0.043 -1.380  0.058 -1.407  0.167 -1.389  0.167 -1.261  0.167 -1.134  0.167 -1.006  0.167 -0.879  0.167 -0.751  0.167 -0.624  0.119 -0.516  0.029 -0.426  -0.043 -0.329  -0.043 -0.201  -0.043 -0.074  -0.043 0.054  -0.043 0.181  -0.043 0.309  -0.043 0.436  -0.043 0.564  -0.043 0.691  -0.043 0.819  -0.043 0.946  -0.043 1.074  0.013 1.178  0.104 1.268  0.194 1.358  0.284 1.448  0.374 1.538  0.500 1.542  0.627 1.542  0.755 1.542  0.882 1.542  1.010 1.542
