1c#app#app19#app1981/w  -0.837 -0.242  -0.837 -0.055  -0.837 0.132  -0.837 0.319  -0.837 0.506  -0.837 0.693  -0.915 0.802  -0.967 0.929  -0.967 0.742  -0.967 0.555  -0.967 0.368  -0.967 0.181  -0.967 -0.006  -0.967 -0.193  -0.967 -0.379  -0.967 -0.566  -0.882 -0.718  -0.750 -0.850  -0.581 -0.894  -0.448 -0.765  -0.316 -0.633  -0.259 -0.502  -0.185 -0.390  -0.146 -0.242  -0.054 -0.147  -0.054 0.040  -0.054 0.227  -0.054 0.407  -0.054 0.221  -0.054 0.034  -0.012 -0.111  0.076 -0.210  0.186 -0.351  0.356 -0.391  0.497 -0.502  0.684 -0.502  0.870 -0.502  1.057 -0.502  1.244 -0.502  1.331 -0.340  1.434 -0.188  1.511 -0.032  1.511 0.154  1.450 0.280  1.380 0.398  1.257 0.534  1.125 0.666  0.967 0.715  0.884 0.882  0.728 0.932
1c#app#app19#app1981/a  -0.350 0.455  -0.350 0.647  -0.191 0.679  -0.126 0.806  -0.220 0.903  -0.411 0.903  -0.573 0.874  -0.573 0.683  -0.762 0.679  -0.907 0.569  -1.021 0.425  -1.021 0.233  -1.211 0.232  -1.245 0.074  -1.245 -0.117  -1.245 -0.308  -1.245 -0.500  -1.218 -0.664  -1.026 -0.664  -0.835 -0.664  -0.643 -0.664  -0.452 -0.664  -0.260 -0.664  -0.086 -0.624  0.050 -0.488  0.185 -0.353  0.320 -0.218  0.456 -0.082  0.546 0.072  0.546 0.263  0.546 0.455  0.546 0.646  0.388 0.679  0.322 0.805  0.322 0.810  0.322 0.619  0.322 0.427  0.322 0.236  0.455 0.099  0.546 -0.054  0.576 -0.216  0.767 -0.216  0.770 -0.405  0.880 -0.550  1.025 -0.664  1.216 -0.664  1.218 -0.854  1.375 -0.888  1.530 -0.976  1.665 -1.112
1c#app#app19#app1981/r  -0.403 0.390  -0.490 0.303  -0.577 0.216  -0.602 0.103  -0.602 -0.020  -0.602 -0.144  -0.602 -0.267  -0.602 -0.390  -0.602 -0.513  -0.602 -0.637  -0.602 -0.760  -0.602 -0.883  -0.601 -1.006  -0.514 -1.093  -0.427 -1.180  -0.403 -1.294  -0.397 -1.391  -0.342 -1.281  -0.286 -1.171  -0.231 -1.060  -0.203 -0.944  -0.203 -0.821  -0.203 -0.697  -0.171 -0.606  -0.048 -0.606  -0.004 -0.527  -0.004 -0.404  -0.004 -0.280  -0.004 -0.157  -0.004 -0.034  -0.004 0.089  0.011 0.206  0.098 0.293  0.185 0.380  0.195 0.500  0.195 0.623  0.195 0.746  0.252 0.846  0.339 0.933  0.394 1.033  0.394 1.157  0.487 1.187  0.610 1.187  0.734 1.187  0.857 1.187  0.980 1.187  1.103 1.187  1.216 1.162  1.303 1.075  1.391 0.988
1c#app#app19#app1981/t  0.280 1.606  0.163 1.490  0.162 1.326  0.162 1.161  0.162 0.996  0.162 0.831  0.162 0.667  0.162 0.502  0.162 0.337  0.162 0.172  0.162 0.007  0.162 -0.157  0.230 -0.306  0.280 -0.459  0.280 -0.624  0.383 -0.746  0.398 -0.904  0.430 -1.062  0.504 -1.209  0.529 -1.366  0.646 -1.482  0.746 -1.582  0.637 -1.458  0.529 -1.334  0.420 -1.210  0.312 -1.086  0.203 -0.961  0.095 -0.837  -0.014 -0.713  -0.122 -0.589  -0.231 -0.465  -0.339 -0.341  -0.448 -0.217  -0.556 -0.093  -0.665 0.031  -0.774 0.155  -0.882 0.279  -1.022 0.317  -0.963 0.422  -0.904 0.528  -0.786 0.575  -0.705 0.659  -0.578 0.749  -0.425 0.779  -0.269 0.831  -0.112 0.884  0.050 0.899  0.197 0.973  0.352 1.014  0.517 1.014
1c#app#app19#app1981/y  -0.949 0.236  -0.963 0.366  -1.052 0.366  -0.920 0.337  -0.819 0.235  -0.717 0.134  -0.615 0.032  -0.514 -0.070  -0.412 -0.171  -0.310 -0.273  -0.235 -0.172  -0.162 -0.048  -0.090 0.076  -0.017 0.200  0.055 0.325  0.128 0.449  0.200 0.573  0.272 0.697  0.345 0.821  0.417 0.946  0.490 1.070  0.562 1.194  0.659 1.276  0.677 1.276  0.534 1.276  0.480 1.186  0.480 1.042  0.480 0.898  0.387 0.793  0.350 0.665  0.350 0.521  0.297 0.390  0.233 0.261  0.220 0.120  0.220 -0.024  0.217 -0.167  0.182 -0.307  0.147 -0.446  0.112 -0.586  0.066 -0.721  0.002 -0.850  -0.040 -0.984  -0.040 -1.127  -0.040 -1.271  -0.040 -1.415  -0.040 -1.559  -0.093 -1.690  -0.157 -1.818  -0.170 -1.959  -0.170 -2.103
1c#app#app19#app1981/h  -0.313 1.799  -0.224 1.787  -0.307 1.705  -0.313 1.591  -0.330 1.481  -0.412 1.398  -0.414 1.282  -0.414 1.166  -0.429 1.051  -0.465 0.941  -0.502 0.830  -0.514 0.715  -0.514 0.598  -0.514 0.482  -0.514 0.365  -0.514 0.248  -0.514 0.132  -0.514 0.015  -0.514 -0.102  -0.514 -0.219  -0.514 -0.335  -0.514 -0.452  -0.514 -0.569  -0.514 -0.685  -0.427 -0.714  -0.310 -0.714  -0.199 -0.700  -0.116 -0.618  -0.004 -0.606  0.078 -0.524  0.161 -0.441  0.189 -0.336  0.282 -0.312  0.366 -0.235  0.449 -0.153  0.532 -0.070  0.623 -0.011  0.692 -0.059  0.692 -0.176  0.692 -0.292  0.692 -0.409  0.692 -0.526  0.692 -0.643  0.692 -0.759  0.692 -0.876  0.692 -0.993  0.692 -1.109  0.698 -1.223  0.781 -1.306  0.792 -1.418
1c#app#app19#app1981/u  -0.746 0.819  -0.746 0.950  -0.827 1.001  -0.929 0.972  -0.929 0.840  -1.038 0.819  -1.111 0.760  -1.111 0.629  -1.111 0.497  -1.111 0.366  -1.111 0.235  -1.111 0.103  -1.111 -0.028  -1.081 -0.152  -1.022 -0.270  -0.963 -0.387  -0.891 -0.495  -0.798 -0.588  -0.688 -0.639  -0.557 -0.639  -0.425 -0.639  -0.294 -0.639  -0.163 -0.639  -0.031 -0.639  0.100 -0.639  0.165 -0.573  0.180 -0.457  0.312 -0.457  0.415 -0.389  0.508 -0.296  0.601 -0.204  0.693 -0.111  0.712 0.013  0.766 0.090  0.894 0.093  0.894 0.225  0.894 0.356  0.894 0.487  0.894 0.619  0.894 0.523  0.894 0.392  0.894 0.260  0.894 0.129  0.894 -0.002  0.923 -0.122  1.016 -0.214  1.076 -0.321  1.076 -0.452  1.165 -0.546  1.258 -0.639
1c#app#app19#app1981/m  -1.153 1.111  -1.153 0.916  -1.153 0.721  -1.153 0.526  -1.153 0.331  -1.153 0.135  -1.153 -0.060  -1.153 -0.255  -1.153 -0.450  -1.153 -0.645  -1.066 -0.753  -0.871 -0.753  -0.687 -0.741  -0.636 -0.598  -0.532 -0.506  -0.439 -0.350  -0.376 -0.180  -0.273 -0.028  -0.221 0.146  -0.217 0.339  -0.079 0.477  -0.066 0.667  -0.066 0.862  -0.137 0.884  -0.221 0.724  -0.221 0.529  -0.220 0.334  -0.082 0.196  -0.066 0.008  -0.066 -0.188  0.002 -0.355  0.090 -0.513  0.201 -0.598  0.396 -0.598  0.581 -0.573  0.719 -0.435  0.857 -0.297  0.994 -0.159  1.023 0.025  1.161 0.163  1.177 0.351  1.177 0.546  1.177 0.549  1.177 0.354  1.177 0.158  1.177 -0.037  1.177 -0.232  1.177 -0.427  1.304 -0.569  1.332 -0.753
1c#app#app19#app1981/a  -0.262 0.573  -0.401 0.712  -0.554 0.814  -0.748 0.809  -0.886 0.670  -0.984 0.515  -0.997 0.333  -1.193 0.333  -1.224 0.168  -1.224 -0.028  -1.224 -0.224  -1.224 -0.420  -1.224 -0.616  -1.095 -0.758  -0.946 -0.870  -0.750 -0.870  -0.554 -0.870  -0.358 -0.870  -0.162 -0.870  0.033 -0.870  0.219 -0.859  0.219 -0.664  0.380 -0.629  0.576 -0.629  0.700 -0.557  0.700 -0.361  0.700 -0.165  0.700 0.030  0.700 0.226  0.700 0.422  0.700 0.618  0.700 0.814  0.700 1.010  0.549 1.054  0.460 1.161  0.416 1.251  0.277 1.113  0.219 0.941  0.219 0.745  0.236 0.556  0.374 0.418  0.460 0.257  0.460 0.061  0.460 -0.134  0.460 -0.330  0.557 -0.486  0.695 -0.624  0.700 -0.818  0.802 -0.972  0.941 -1.110
1c#app#app19#app1981/n  -1.025 0.959  -0.853 0.959  -0.821 0.818  -0.821 0.646  -0.900 0.552  -1.025 0.505  -1.025 0.332  -1.025 0.160  -1.025 -0.013  -1.025 -0.185  -1.025 -0.357  -1.025 -0.530  -1.025 -0.702  -1.024 -0.873  -0.851 -0.873  -0.679 -0.873  -0.507 -0.873  -0.414 -0.793  -0.365 -0.670  -0.210 -0.652  -0.210 -0.480  -0.052 -0.466  -0.007 -0.339  0.061 -0.194  0.183 -0.072  0.197 0.094  0.283 0.231  0.400 0.355  0.400 0.527  0.505 0.656  0.604 0.788  0.605 0.959  0.777 0.959  0.808 1.101  0.808 1.052  0.752 0.903  0.630 0.781  0.604 0.620  0.604 0.447  0.604 0.275  0.604 0.102  0.604 -0.070  0.604 -0.242  0.712 -0.370  0.808 -0.503  0.808 -0.675  0.808 -0.848  0.911 -0.977  1.043 -1.077  1.215 -1.077
1c#app#app19#app1981/o  0.093 0.893  0.206 0.780  0.205 0.714  0.045 0.714  -0.107 0.693  -0.220 0.580  -0.362 0.534  -0.522 0.534  -0.666 0.494  -0.779 0.380  -0.892 0.267  -0.984 0.144  -0.984 -0.016  -0.984 -0.176  -0.984 -0.337  -0.984 -0.497  -0.902 -0.624  -0.804 -0.744  -0.801 -0.901  -0.641 -0.901  -0.625 -1.045  -0.500 -1.080  -0.339 -1.080  -0.179 -1.080  -0.019 -1.080  0.142 -1.080  0.293 -1.059  0.407 -0.946  0.548 -0.901  0.686 -0.846  0.799 -0.733  0.811 -0.577  0.936 -0.542  0.990 -0.436  0.990 -0.275  0.990 -0.115  0.968 0.040  0.896 0.184  0.824 0.327  0.811 0.484  0.733 0.612  0.619 0.726  0.506 0.839  0.393 0.952  0.279 1.066  0.122 1.073  -0.039 1.073  -0.199 1.073  -0.332 1.007  -0.445 0.893
