1b#apb#apb29#app2986/A  0.165 1.123  0.095 1.181  -0.018 0.938  -0.147 0.702  -0.263 0.458  -0.363 0.208  -0.480 -0.034  -0.619 -0.265  -0.740 -0.506  -0.863 -0.747  -0.987 -0.985  -1.074 -1.192  -0.935 -0.964  -0.824 -0.718  -0.714 -0.472  -0.598 -0.229  -0.477 0.012  -0.351 0.251  -0.248 0.500  -0.143 0.747  -0.011 0.983  0.129 1.213  0.236 1.460  0.402 1.612  0.517 1.368  0.591 1.117  0.621 0.851  0.691 0.591  0.736 0.326  0.773 0.060  0.841 -0.201  0.938 -0.452  1.040 -0.702  1.140 -0.952  1.183 -1.208  1.037 -1.120  0.791 -1.011  0.544 -0.901  0.298 -0.792  0.052 -0.682  -0.195 -0.573  -0.441 -0.463  -0.688 -0.354  -0.933 -0.244  -0.784 -0.028  -0.519 0.009  -0.253 0.047  0.016 0.036  0.285 0.025  0.546 -0.020
1b#apb#apb29#app2986/B  -0.230 0.879  -0.364 0.827  -0.395 0.583  -0.434 0.338  -0.469 0.093  -0.497 -0.153  -0.517 -0.400  -0.540 -0.647  -0.566 -0.894  -0.581 -1.141  -0.454 -1.077  -0.472 -0.834  -0.508 -0.588  -0.544 -0.343  -0.580 -0.098  -0.616 0.147  -0.652 0.393  -0.688 0.638  -0.675 0.882  -0.517 1.066  -0.307 1.194  -0.064 1.244  0.171 1.317  0.417 1.334  0.599 1.213  0.598 0.971  0.489 0.754  0.314 0.579  0.112 0.436  -0.069 0.267  -0.174 0.116  0.046 0.229  0.235 0.388  0.444 0.519  0.669 0.621  0.900 0.608  0.954 0.367  0.955 0.120  0.934 -0.127  0.913 -0.374  0.889 -0.620  0.810 -0.855  0.732 -1.090  0.586 -1.284  0.404 -1.446  0.158 -1.459  -0.079 -1.402  -0.271 -1.251  -0.434 -1.065  -0.629 -0.974
1b#apb#apb29#app2986/C  0.055 0.352  0.112 0.289  0.207 0.380  0.325 0.439  0.413 0.534  0.498 0.636  0.581 0.738  0.646 0.852  0.708 0.968  0.734 1.092  0.646 1.179  0.522 1.206  0.402 1.168  0.292 1.095  0.179 1.028  0.063 0.965  -0.046 0.894  -0.144 0.805  -0.241 0.716  -0.336 0.625  -0.429 0.532  -0.523 0.439  -0.605 0.336  -0.685 0.232  -0.766 0.128  -0.830 0.013  -0.893 -0.103  -0.952 -0.220  -1.001 -0.342  -1.027 -0.466  -0.989 -0.592  -0.935 -0.710  -0.854 -0.814  -0.757 -0.889  -0.626 -0.906  -0.496 -0.924  -0.364 -0.931  -0.233 -0.931  -0.101 -0.931  0.030 -0.921  0.161 -0.907  0.292 -0.893  0.423 -0.875  0.551 -0.847  0.680 -0.818  0.808 -0.790  0.937 -0.760  1.065 -0.731  1.191 -0.694  1.314 -0.646
1b#apb#apb29#app2986/D  -0.530 0.596  -0.530 0.475  -0.517 0.292  -0.511 0.109  -0.522 -0.073  -0.537 -0.256  -0.549 -0.438  -0.549 -0.622  -0.549 -0.805  -0.553 -0.984  -0.474 -1.102  -0.440 -1.073  -0.453 -0.890  -0.466 -0.708  -0.479 -0.525  -0.492 -0.342  -0.505 -0.159  -0.518 0.023  -0.531 0.206  -0.544 0.389  -0.557 0.571  -0.559 0.752  -0.527 0.930  -0.387 1.036  -0.240 1.139  -0.104 1.261  0.052 1.354  0.231 1.374  0.412 1.368  0.558 1.258  0.703 1.146  0.817 1.004  0.897 0.842  0.950 0.666  0.991 0.488  0.998 0.307  0.984 0.124  0.961 -0.058  0.925 -0.236  0.870 -0.411  0.794 -0.577  0.705 -0.737  0.613 -0.895  0.470 -1.006  0.312 -1.099  0.147 -1.171  -0.014 -1.083  -0.159 -0.974  -0.256 -0.820  -0.336 -0.668
1b#apb#apb29#app2986/E  -0.201 1.112  -0.338 1.084  -0.346 0.858  -0.323 0.635  -0.380 0.410  -0.458 0.193  -0.570 -0.010  -0.700 -0.202  -0.839 -0.388  -0.960 -0.586  -0.978 -0.815  -0.998 -1.038  -0.824 -1.172  -0.600 -1.230  -0.369 -1.240  -0.137 -1.230  0.094 -1.211  0.326 -1.194  0.549 -1.133  0.777 -1.114  0.987 -1.069  0.835 -0.925  0.634 -0.810  0.433 -0.694  0.231 -0.579  0.030 -0.463  -0.171 -0.348  -0.373 -0.232  -0.552 -0.106  -0.510 0.122  -0.305 0.188  -0.081 0.207  0.143 0.206  0.363 0.175  0.594 0.152  0.731 0.071  0.547 0.213  0.363 0.354  0.179 0.495  -0.006 0.636  -0.190 0.777  -0.374 0.918  -0.327 0.986  -0.096 0.997  0.132 1.042  0.358 1.092  0.584 1.145  0.811 1.193  1.039 1.239  1.265 1.289
1b#apb#apb29#app2986/F  -0.064 0.965  -0.064 0.853  -0.048 0.607  -0.008 0.363  -0.005 0.116  -0.044 -0.127  -0.104 -0.367  -0.170 -0.605  -0.238 -0.843  -0.311 -1.080  -0.386 -1.316  -0.461 -1.551  -0.449 -1.777  -0.345 -1.780  -0.394 -1.538  -0.442 -1.295  -0.491 -1.052  -0.539 -0.810  -0.588 -0.567  -0.636 -0.325  -0.685 -0.082  -0.733 0.161  -0.782 0.403  -0.793 0.622  -0.552 0.682  -0.311 0.728  -0.064 0.712  0.176 0.737  0.408 0.824  0.646 0.883  0.893 0.899  1.138 0.930  1.381 0.975  1.520 0.994  1.293 0.910  1.073 0.797  0.853 0.684  0.633 0.571  0.413 0.458  0.193 0.345  -0.028 0.232  -0.248 0.118  -0.468 0.005  -0.657 -0.131  -0.536 -0.234  -0.288 -0.234  -0.041 -0.234  0.207 -0.234  0.453 -0.220  0.696 -0.175
1b#apb#apb29#app2986/G  0.695 1.494  0.577 1.631  0.378 1.618  0.193 1.535  0.017 1.435  -0.149 1.319  -0.320 1.210  -0.485 1.093  -0.642 0.964  -0.780 0.816  -0.908 0.659  -0.993 0.475  -1.055 0.283  -1.063 0.081  -1.034 -0.117  -0.929 -0.281  -0.763 -0.397  -0.577 -0.476  -0.385 -0.539  -0.183 -0.552  0.017 -0.577  0.214 -0.627  0.416 -0.635  0.614 -0.610  0.686 -0.535  0.500 -0.453  0.315 -0.370  0.130 -0.288  -0.056 -0.205  -0.241 -0.123  -0.330 -0.018  -0.175 0.094  0.021 0.143  0.213 0.209  0.406 0.266  0.604 0.304  0.801 0.351  0.917 0.354  0.830 0.171  0.735 -0.008  0.637 -0.185  0.545 -0.366  0.447 -0.543  0.318 -0.700  0.203 -0.865  0.102 -1.042  0.011 -1.222  -0.070 -1.408  -0.155 -1.593  -0.246 -1.774
1b#apb#apb29#app2986/H  -0.141 1.183  -0.141 1.154  -0.239 0.941  -0.335 0.721  -0.446 0.510  -0.576 0.309  -0.704 0.106  -0.832 -0.096  -0.947 -0.306  -1.059 -0.517  -1.172 -0.729  -1.246 -0.951  -1.219 -1.180  -1.023 -1.169  -0.868 -0.988  -0.716 -0.803  -0.564 -0.618  -0.412 -0.433  -0.260 -0.248  -0.108 -0.063  0.044 0.122  0.196 0.307  0.348 0.492  0.500 0.677  0.652 0.862  0.805 1.047  0.957 1.232  1.109 1.417  1.079 1.331  1.044 1.101  0.953 0.881  0.926 0.643  0.872 0.410  0.796 0.183  0.711 -0.041  0.622 -0.263  0.516 -0.477  0.425 -0.697  0.375 -0.931  0.328 -1.163  0.178 -0.981  0.027 -0.795  -0.124 -0.610  -0.275 -0.424  -0.426 -0.238  -0.398 -0.226  -0.158 -0.226  0.081 -0.216  0.312 -0.170  0.530 -0.069
1b#apb#apb29#app2986/I  0.357 1.505  0.391 1.563  0.416 1.518  0.410 1.449  0.395 1.380  0.379 1.312  0.364 1.244  0.346 1.176  0.326 1.109  0.306 1.042  0.286 0.975  0.266 0.908  0.250 0.840  0.233 0.772  0.216 0.704  0.199 0.636  0.182 0.568  0.165 0.501  0.147 0.433  0.127 0.366  0.107 0.299  0.086 0.232  0.066 0.165  0.046 0.098  0.026 0.031  0.006 -0.036  -0.014 -0.103  -0.038 -0.169  -0.065 -0.234  -0.091 -0.298  -0.118 -0.363  -0.145 -0.428  -0.171 -0.492  -0.198 -0.557  -0.225 -0.622  -0.241 -0.690  -0.256 -0.758  -0.271 -0.826  -0.286 -0.895  -0.301 -0.963  -0.317 -1.031  -0.332 -1.100  -0.347 -1.168  -0.364 -1.236  -0.381 -1.304  -0.398 -1.371  -0.396 -1.441  -0.388 -1.510  -0.381 -1.580  -0.373 -1.649
1b#apb#apb29#app2986/J  0.460 0.845  0.504 0.775  0.578 0.639  0.626 0.490  0.644 0.335  0.644 0.179  0.644 0.022  0.651 -0.134  0.661 -0.289  0.647 -0.445  0.644 -0.601  0.623 -0.754  0.569 -0.900  0.482 -1.030  0.353 -1.111  0.209 -1.169  0.056 -1.192  -0.097 -1.176  -0.244 -1.122  -0.370 -1.030  -0.493 -0.935  -0.587 -0.810  -0.687 -0.690  -0.804 -0.587  -0.901 -0.471  -0.955 -0.527  -0.885 -0.667  -0.739 -0.709  -0.703 -0.584  -0.689 -0.428  -0.676 -0.273  -0.662 -0.117  -0.649 0.039  -0.635 0.195  -0.622 0.350  -0.609 0.506  -0.595 0.662  -0.618 0.804  -0.488 0.848  -0.341 0.902  -0.190 0.943  -0.036 0.964  0.120 0.974  0.276 0.974  0.432 0.974  0.586 0.994  0.738 1.029  0.890 1.067  1.042 1.104  1.194 1.139
1b#apb#apb29#app2986/K  -0.478 1.725  -0.397 1.832  -0.293 1.623  -0.231 1.396  -0.224 1.162  -0.224 0.927  -0.284 0.701  -0.349 0.475  -0.415 0.250  -0.482 0.025  -0.547 -0.201  -0.607 -0.428  -0.656 -0.657  -0.656 -0.892  -0.656 -1.127  -0.569 -1.331  -0.382 -1.472  -0.269 -1.276  -0.159 -1.068  -0.049 -0.861  0.061 -0.654  0.171 -0.446  0.281 -0.239  0.392 -0.031  0.502 0.176  0.612 0.384  0.722 0.591  0.832 0.798  0.881 0.992  0.687 0.971  0.508 0.819  0.328 0.669  0.143 0.524  -0.043 0.380  -0.242 0.256  -0.441 0.131  -0.630 -0.009  -0.820 -0.146  -0.833 -0.206  -0.613 -0.152  -0.391 -0.104  -0.161 -0.152  0.043 -0.261  0.225 -0.409  0.426 -0.530  0.622 -0.660  0.832 -0.763  1.051 -0.847  1.276 -0.916  1.504 -0.968
