1b#app#app18#app1829/A  -0.466 -1.598  -0.614 -1.528  -0.614 -1.310  -0.614 -1.093  -0.614 -0.875  -0.614 -0.657  -0.614 -0.440  -0.614 -0.222  -0.614 -0.005  -0.614 0.213  -0.614 0.430  -0.592 0.639  -0.466 0.804  -0.466 1.022  -0.434 1.208  -0.318 1.309  -0.294 1.503  -0.171 1.597  -0.023 1.635  0.063 1.503  0.125 1.347  0.203 1.208  0.272 1.060  0.272 0.842  0.371 0.666  0.420 0.468  0.420 0.251  0.420 0.033  0.465 -0.166  0.568 -0.341  0.568 -0.558  0.632 -0.712  0.715 -0.846  0.715 -1.063  0.842 -1.155  0.863 -0.958  0.752 -0.818  0.548 -0.741  0.344 -0.665  0.141 -0.589  -0.063 -0.512  -0.267 -0.436  -0.466 -0.402  -0.381 -0.269  -0.311 -0.121  -0.116 -0.067  0.063 0.027  0.272 0.034  0.350 0.174  0.568 0.174
1b#app#app18#app1829/B  -0.767 0.604  -0.767 0.888  -0.659 0.757  -0.613 0.519  -0.569 0.253  -0.460 0.014  -0.460 -0.271  -0.460 -0.555  -0.308 -0.777  -0.306 -1.060  -0.306 -1.345  -0.224 -1.547  -0.152 -1.642  -0.009 -1.512  -0.087 -1.239  -0.165 -0.965  -0.243 -0.692  -0.321 -0.419  -0.399 -0.145  -0.477 0.128  -0.556 0.402  -0.613 0.529  -0.613 0.655  -0.585 0.911  -0.456 1.069  -0.255 1.270  -0.012 1.372  0.118 1.525  0.308 1.431  0.308 1.147  0.308 0.863  0.308 0.578  0.198 0.340  0.085 0.143  -0.046 -0.011  0.001 0.013  0.155 0.144  0.287 0.296  0.417 0.450  0.616 0.536  0.814 0.559  1.015 0.358  1.077 0.099  1.077 -0.185  1.077 -0.470  0.923 -0.690  0.784 -0.917  0.570 -1.086  0.286 -1.086  0.155 -1.240
1b#app#app18#app1829/C  0.166 0.780  0.295 0.780  0.237 0.780  0.166 0.838  0.166 0.967  0.166 1.096  0.166 1.225  0.086 1.273  -0.043 1.273  -0.163 1.264  -0.163 1.135  -0.265 1.109  -0.327 1.042  -0.358 0.945  -0.487 0.945  -0.491 0.820  -0.491 0.691  -0.545 0.616  -0.655 0.598  -0.655 0.469  -0.655 0.340  -0.655 0.211  -0.655 0.083  -0.655 -0.046  -0.655 -0.175  -0.655 -0.304  -0.611 -0.414  -0.520 -0.505  -0.491 -0.622  -0.438 -0.698  -0.327 -0.715  -0.327 -0.844  -0.216 -0.862  -0.163 -0.937  -0.123 -1.027  0.006 -1.027  0.135 -1.027  0.263 -1.027  0.392 -1.027  0.521 -1.027  0.650 -1.027  0.659 -0.907  0.743 -0.862  0.823 -0.814  0.836 -0.698  0.965 -0.698  0.987 -0.592  1.058 -0.534  1.152 -0.498  1.152 -0.370
1b#app#app18#app1829/D  -0.522 0.995  -0.522 0.770  -0.522 0.544  -0.522 0.319  -0.522 0.093  -0.489 -0.119  -0.341 -0.283  -0.341 -0.508  -0.341 -0.734  -0.341 -0.959  -0.324 -1.167  -0.161 -1.230  -0.053 -1.347  -0.029 -1.202  -0.101 -0.988  -0.172 -0.774  -0.243 -0.560  -0.315 -0.346  -0.386 -0.133  -0.457 0.081  -0.528 0.295  -0.600 0.509  -0.671 0.723  -0.702 0.943  -0.875 0.995  -0.702 1.034  -0.618 1.175  -0.392 1.175  -0.167 1.175  0.059 1.175  0.284 1.175  0.509 1.175  0.684 1.051  0.843 0.892  0.920 0.698  0.920 0.473  1.100 0.428  1.100 0.202  0.983 0.094  0.920 -0.068  0.892 -0.266  0.740 -0.339  0.740 -0.565  0.576 -0.626  0.412 -0.774  0.200 -0.807  0.155 -0.987  0.019 -1.077  -0.116 -1.167  0.019 -1.167
1b#app#app18#app1829/E  -0.544 0.771  -0.544 1.114  -0.735 1.042  -0.544 0.890  -0.544 0.548  -0.544 0.206  -0.400 0.008  -0.353 -0.288  -0.353 -0.630  -0.353 -0.972  -0.229 -1.263  -0.162 -1.577  -0.144 -1.520  0.028 -1.350  -0.073 -1.024  -0.181 -0.700  -0.289 -0.375  -0.398 -0.050  -0.506 0.274  -0.614 0.599  -0.722 0.924  -0.846 0.771  -0.735 0.842  -0.513 0.962  -0.224 1.091  0.074 1.198  0.355 1.344  0.601 1.518  0.512 1.201  0.331 0.911  0.149 0.621  -0.032 0.331  -0.214 0.040  -0.275 -0.183  0.028 -0.144  0.219 0.008  0.410 0.158  0.712 0.199  0.978 0.384  0.907 0.077  0.726 -0.213  0.544 -0.503  0.363 -0.794  0.181 -1.084  0.028 -1.275  0.229 -1.128  0.496 -0.947  0.769 -0.779  1.067 -0.672  1.365 -0.565
1b#app#app18#app1829/F  -0.187 0.600  -0.187 0.446  -0.284 0.600  -0.390 0.454  -0.390 0.202  -0.390 -0.050  -0.300 -0.212  -0.187 -0.350  -0.187 -0.602  -0.187 -0.854  -0.187 -1.106  -0.187 -1.357  -0.187 -1.609  -0.162 -1.836  0.016 -1.762  -0.106 -1.633  -0.187 -1.461  -0.199 -1.215  -0.377 -1.037  -0.390 -0.790  -0.390 -0.538  -0.390 -0.287  -0.567 -0.212  -0.593 0.014  -0.593 0.266  -0.593 0.517  -0.593 0.769  -0.390 0.818  -0.326 1.006  -0.187 1.119  -0.026 1.209  0.023 1.412  0.275 1.412  0.527 1.412  0.778 1.412  0.828 1.210  0.716 0.985  0.603 0.760  0.491 0.535  0.378 0.309  0.266 0.084  0.153 -0.141  0.040 -0.366  0.016 -0.217  0.250 -0.181  0.430 -0.009  0.682 -0.009  0.828 0.097  0.982 0.194  1.031 -0.009
1b#app#app18#app1829/G  -0.121 1.134  -0.129 1.358  -0.360 1.358  -0.569 1.335  -0.599 1.134  -0.792 1.096  -0.838 0.910  -1.016 0.857  -1.016 0.625  -1.016 0.394  -1.016 0.162  -1.016 -0.069  -0.951 -0.273  -0.792 -0.439  -0.792 -0.670  -0.770 -0.880  -0.569 -0.910  -0.531 -1.103  -0.313 -1.135  -0.149 -1.299  0.071 -1.327  0.302 -1.327  0.473 -1.181  0.672 -1.103  0.774 -0.974  0.774 -0.743  0.919 -0.656  0.998 -0.504  0.998 -0.272  0.998 -0.041  0.998 0.191  0.815 0.239  0.583 0.239  0.352 0.239  0.327 0.033  0.478 -0.136  0.443 -0.137  0.251 -0.009  0.058 0.120  -0.137 0.239  -0.345 0.215  -0.345 0.047  -0.306 0.239  -0.074 0.239  0.141 0.278  0.305 0.441  0.527 0.463  0.759 0.463  0.774 0.679  0.774 0.463
1b#app#app18#app1829/H  -0.593 1.354  -0.593 1.224  -0.757 1.354  -0.806 1.108  -0.806 0.813  -0.806 0.518  -0.806 0.223  -0.806 -0.072  -0.788 -0.349  -0.593 -0.449  -0.593 -0.744  -0.593 -1.039  -0.593 -1.335  -0.590 -1.627  -0.380 -1.542  -0.324 -1.257  -0.224 -0.979  -0.125 -0.701  -0.026 -0.423  0.073 -0.145  0.173 0.133  0.272 0.411  0.371 0.689  0.470 0.966  0.570 1.244  0.669 1.522  0.472 1.533  0.472 1.238  0.472 0.943  0.520 0.668  0.685 0.441  0.685 0.146  0.685 -0.149  0.685 -0.444  0.685 -0.739  0.731 -0.988  0.780 -0.937  0.509 -0.821  0.238 -0.705  -0.034 -0.589  -0.305 -0.473  -0.576 -0.356  -0.380 -0.285  -0.234 -0.136  -0.151 0.077  0.144 0.077  0.439 0.077  0.521 0.290  0.685 0.159  0.472 0.077
1b#app#app18#app1829/I  -0.035 0.911  -0.239 0.992  -0.239 1.277  -0.239 1.077  -0.155 0.827  -0.035 0.592  -0.035 0.307  -0.035 0.023  -0.035 -0.262  -0.035 -0.547  -0.035 -0.832  0.156 -0.926  -0.035 -0.993  -0.035 -1.278  -0.113 -1.120  -0.210 -0.852  -0.307 -0.585  -0.405 -0.317  -0.502 -0.049  -0.599 0.218  -0.697 0.486  -0.794 0.754  -0.969 0.911  -0.857 0.911  -0.647 0.986  -0.492 1.115  -0.207 1.115  0.078 1.115  0.306 1.252  0.563 1.319  0.782 1.254  0.716 0.984  0.589 0.729  0.462 0.475  0.334 0.220  0.207 -0.035  0.080 -0.290  -0.048 -0.544  -0.175 -0.799  -0.303 -1.054  -0.430 -1.309  -0.239 -1.283  -0.107 -1.131  0.169 -1.122  0.259 -0.926  0.544 -0.926  0.755 -0.749  0.986 -0.679  1.110 -0.518  1.190 -0.722
1b#app#app18#app1829/J  0.268 0.734  0.258 0.923  0.079 0.942  0.079 1.084  0.079 0.885  0.079 0.686  0.136 0.545  0.268 0.478  0.268 0.280  0.328 0.106  0.457 -0.039  0.457 -0.238  0.457 -0.436  0.457 -0.635  0.457 -0.833  0.457 -1.032  0.457 -1.230  0.374 -1.346  0.268 -1.438  0.166 -1.535  -0.033 -1.535  -0.196 -1.449  -0.352 -1.346  -0.427 -1.346  -0.315 -1.276  -0.358 -1.082  -0.401 -0.888  -0.444 -0.695  -0.487 -0.501  -0.530 -0.307  -0.573 -0.113  -0.616 0.081  -0.659 0.275  -0.793 0.356  -0.867 0.481  -1.001 0.545  -0.912 0.545  -0.713 0.545  -0.562 0.660  -0.394 0.734  -0.196 0.734  0.003 0.734  0.201 0.734  0.400 0.734  0.457 0.875  0.608 0.923  0.807 0.923  0.835 1.093  0.835 0.932  0.835 0.734
1b#app#app18#app1829/K  -0.329 1.020  -0.542 1.097  -0.542 1.077  -0.542 0.786  -0.542 0.496  -0.542 0.206  -0.542 -0.085  -0.542 -0.375  -0.542 -0.666  -0.542 -0.956  -0.542 -1.246  -0.538 -1.533  -0.342 -1.453  -0.390 -1.167  -0.438 -0.880  -0.486 -0.594  -0.533 -0.307  -0.329 -0.230  -0.433 -0.044  -0.360 -0.044  -0.282 -0.257  -0.028 -0.345  0.211 -0.470  0.309 -0.661  0.522 -0.739  0.656 -0.895  0.735 -1.107  0.936 -1.032  0.892 -0.745  0.847 -0.458  0.803 -0.171  0.759 0.116  0.715 0.404  0.671 0.691  0.627 0.978  0.583 1.265  0.538 1.552  0.705 1.658  0.687 1.445  0.433 1.356  0.309 1.117  0.116 1.020  0.056 0.766  -0.116 0.547  -0.116 0.256  -0.319 0.169  -0.377 -0.092  -0.542 -0.314  -0.407 -0.470  -0.329 -0.682
