1b#app#app06#app0617/Q  -0.828 0.901  -0.701 1.028  -0.574 1.155  -0.424 1.225  -0.293 1.347  -0.142 1.428  0.009 1.498  0.159 1.427  0.257 1.279  0.343 1.123  0.435 0.975  0.496 0.806  0.565 0.648  0.601 0.474  0.645 0.302  0.657 0.124  0.685 -0.053  0.676 -0.230  0.631 -0.399  0.576 -0.560  0.469 -0.699  0.315 -0.791  0.151 -0.850  -0.028 -0.850  -0.206 -0.842  -0.366 -0.762  -0.520 -0.670  -0.620 -0.525  -0.705 -0.368  -0.775 -0.203  -0.835 -0.034  -0.868 0.140  -0.868 0.320  -0.844 0.495  -0.742 0.446  -0.623 0.312  -0.504 0.177  -0.385 0.043  -0.267 -0.092  -0.148 -0.226  -0.029 -0.360  0.090 -0.495  0.212 -0.577  0.335 -0.707  0.429 -0.857  0.515 -1.014  0.605 -1.169  0.700 -1.319  0.813 -1.456  0.923 -1.566
1b#app#app06#app0617/U  -0.615 1.438  -0.690 1.326  -0.727 1.175  -0.727 0.988  -0.727 0.801  -0.727 0.614  -0.727 0.426  -0.727 0.239  -0.727 0.052  -0.672 -0.126  -0.671 -0.313  -0.656 -0.497  -0.615 -0.674  -0.563 -0.850  -0.505 -1.023  -0.446 -1.196  -0.313 -1.328  -0.196 -1.419  -0.055 -1.373  0.022 -1.245  0.110 -1.085  0.145 -0.907  0.169 -0.725  0.169 -0.538  0.221 -0.363  0.225 -0.177  0.225 0.010  0.225 0.197  0.214 0.384  0.183 0.568  0.169 0.754  0.169 0.942  0.132 1.120  0.113 1.303  0.113 1.385  0.169 1.221  0.224 1.047  0.293 0.875  0.330 0.691  0.384 0.512  0.393 0.326  0.466 0.155  0.533 -0.019  0.601 -0.193  0.628 -0.375  0.729 -0.529  0.786 -0.692  0.886 -0.848  0.990 -0.971  1.065 -1.083
1b#app#app06#app0617/I  -0.344 1.391  -0.344 1.463  -0.333 1.525  -0.277 1.508  -0.277 1.435  -0.265 1.366  -0.232 1.301  -0.210 1.234  -0.210 1.162  -0.210 1.089  -0.210 1.017  -0.196 0.947  -0.173 0.878  -0.150 0.810  -0.144 0.739  -0.144 0.666  -0.124 0.597  -0.101 0.529  -0.078 0.460  -0.077 0.388  -0.077 0.315  -0.077 0.243  -0.073 0.171  -0.059 0.100  -0.045 0.029  -0.031 -0.042  -0.016 -0.113  0.003 -0.182  0.026 -0.251  0.048 -0.320  0.057 -0.391  0.057 -0.463  0.083 -0.529  0.115 -0.594  0.123 -0.664  0.123 -0.737  0.152 -0.802  0.185 -0.867  0.190 -0.938  0.190 -1.010  0.193 -1.081  0.245 -1.132  0.257 -1.200  0.300 -1.254  0.323 -1.317  0.323 -1.389  0.323 -1.461  0.379 -1.478  0.390 -1.539  0.390 -1.612
1b#app#app06#app0617/C  0.470 1.258  0.470 1.343  0.470 1.427  0.425 1.403  0.348 1.384  0.287 1.328  0.247 1.255  0.205 1.183  0.145 1.123  0.086 1.064  0.026 1.004  -0.033 0.945  -0.093 0.885  -0.152 0.826  -0.212 0.766  -0.254 0.694  -0.291 0.619  -0.329 0.544  -0.366 0.468  -0.404 0.393  -0.433 0.314  -0.460 0.234  -0.475 0.153  -0.475 0.069  -0.475 -0.015  -0.475 -0.100  -0.475 -0.184  -0.475 -0.268  -0.459 -0.348  -0.422 -0.424  -0.384 -0.499  -0.347 -0.574  -0.309 -0.649  -0.271 -0.725  -0.234 -0.800  -0.180 -0.864  -0.110 -0.909  -0.035 -0.946  0.025 -1.006  0.094 -1.053  0.164 -1.100  0.237 -1.135  0.322 -1.135  0.406 -1.135  0.490 -1.135  0.574 -1.135  0.658 -1.135  0.742 -1.135  0.826 -1.135  0.911 -1.135
1b#app#app06#app0617/K  -0.737 1.333  -0.658 1.205  -0.658 0.999  -0.658 0.793  -0.580 0.606  -0.580 0.400  -0.518 0.204  -0.433 0.016  -0.411 -0.185  -0.344 -0.375  -0.332 -0.578  -0.265 -0.769  -0.246 -0.967  -0.186 -1.148  -0.121 -1.327  -0.108 -1.528  -0.129 -1.580  -0.184 -1.381  -0.239 -1.182  -0.294 -0.984  -0.349 -0.785  -0.405 -0.587  -0.460 -0.388  -0.501 -0.188  -0.374 -0.034  -0.306 0.150  -0.186 0.314  -0.094 0.482  0.035 0.642  0.155 0.809  0.300 0.955  0.443 1.102  0.536 1.269  0.626 1.438  0.597 1.386  0.471 1.223  0.344 1.060  0.218 0.898  0.128 0.722  0.177 0.528  0.249 0.347  0.285 0.155  0.384 -0.024  0.482 -0.199  0.557 -0.391  0.678 -0.554  0.757 -0.742  0.868 -0.902  0.993 -1.056  1.072 -1.183
1b#app#app06#app0617/L  -0.341 1.551  -0.341 1.632  -0.341 1.635  -0.341 1.554  -0.286 1.496  -0.279 1.418  -0.266 1.341  -0.230 1.268  -0.218 1.190  -0.218 1.110  -0.218 1.029  -0.218 0.948  -0.214 0.868  -0.178 0.796  -0.156 0.720  -0.156 0.640  -0.156 0.559  -0.143 0.481  -0.107 0.409  -0.082 0.333  -0.062 0.254  -0.043 0.176  -0.034 0.096  -0.034 0.016  -0.034 -0.065  -0.034 -0.146  0.008 -0.209  0.028 -0.282  0.028 -0.363  0.028 -0.443  0.028 -0.524  0.028 -0.605  0.028 -0.686  0.061 -0.753  0.089 -0.822  0.089 -0.903  0.089 -0.983  0.089 -1.064  0.147 -1.087  0.150 -1.164  0.150 -1.245  0.205 -1.271  0.273 -1.259  0.305 -1.210  0.371 -1.174  0.396 -1.103  0.457 -1.084  0.480 -1.026  0.560 -1.026  0.641 -1.026
1b#app#app06#app0617/Y  0.417 1.383  0.490 1.368  0.448 1.195  0.417 1.018  0.388 0.831  0.341 0.647  0.271 0.473  0.271 0.282  0.271 0.092  0.228 -0.089  0.198 -0.272  0.156 -0.452  0.125 -0.635  0.125 -0.826  0.063 -1.002  0.052 -1.190  0.052 -1.380  0.052 -1.570  0.052 -1.761  0.000 -1.899  -0.039 -1.731  -0.059 -1.541  -0.079 -1.352  -0.099 -1.163  -0.119 -0.973  -0.139 -0.784  -0.160 -0.594  -0.180 -0.405  -0.200 -0.216  -0.220 -0.026  -0.240 0.163  -0.260 0.352  -0.280 0.542  -0.301 0.731  -0.321 0.920  -0.341 1.110  -0.361 1.299  -0.381 1.489  -0.381 1.383  -0.312 1.261  -0.298 1.077  -0.240 0.910  -0.171 0.736  -0.119 0.558  -0.066 0.380  -0.010 0.205  0.073 0.049  0.198 -0.090  0.271 -0.207  0.417 -0.295
1b#app#app06#app0617/F  -0.561 0.561  -0.496 0.431  -0.414 0.267  -0.338 0.087  -0.276 -0.098  -0.236 -0.287  -0.194 -0.475  -0.115 -0.654  -0.051 -0.838  -0.026 -1.028  0.023 -1.212  0.062 -1.398  0.139 -1.566  0.208 -1.747  0.218 -1.868  0.201 -1.676  0.143 -1.495  0.088 -1.312  0.026 -1.132  -0.003 -0.943  -0.042 -0.757  -0.091 -0.573  -0.174 -0.397  -0.213 -0.206  -0.241 -0.014  -0.301 0.167  -0.357 0.349  -0.366 0.542  -0.431 0.711  -0.431 0.906  -0.431 1.101  -0.366 1.232  -0.214 1.275  -0.046 1.210  0.150 1.210  0.338 1.238  0.520 1.296  0.705 1.340  0.741 1.262  0.621 1.108  0.501 0.954  0.381 0.800  0.261 0.645  0.142 0.491  0.022 0.337  -0.098 0.183  -0.017 0.042  0.151 -0.023  0.347 -0.023  0.542 -0.023
1b#app#app06#app0617/O  -0.451 0.623  -0.384 0.697  -0.334 0.813  -0.280 0.917  -0.166 0.982  -0.102 1.064  0.008 1.137  0.149 1.137  0.290 1.137  0.430 1.137  0.530 1.038  0.629 0.938  0.650 0.806  0.724 0.696  0.724 0.555  0.768 0.432  0.797 0.304  0.827 0.168  0.871 0.034  0.871 -0.106  0.871 -0.247  0.813 -0.374  0.724 -0.481  0.674 -0.601  0.650 -0.732  0.560 -0.817  0.500 -0.920  0.374 -0.983  0.271 -1.078  0.156 -1.139  0.045 -1.212  -0.095 -1.212  -0.236 -1.212  -0.356 -1.161  -0.467 -1.107  -0.524 -0.979  -0.550 -0.843  -0.594 -0.709  -0.598 -0.569  -0.598 -0.428  -0.598 -0.288  -0.690 -0.196  -0.807 -0.118  -0.818 0.017  -0.873 0.145  -0.892 0.281  -0.892 0.421  -0.892 0.562  -0.892 0.703  -0.818 0.770
1b#app#app06#app0617/R  -0.503 0.588  -0.391 0.459  -0.365 0.256  -0.325 0.055  -0.278 -0.146  -0.216 -0.341  -0.175 -0.546  -0.143 -0.749  -0.110 -0.950  -0.054 -1.146  -0.054 -1.355  -0.147 -1.228  -0.222 -1.040  -0.336 -0.868  -0.423 -0.678  -0.501 -0.484  -0.532 -0.280  -0.559 -0.075  -0.615 0.120  -0.615 0.329  -0.615 0.538  -0.615 0.747  -0.576 0.947  -0.517 1.147  -0.430 1.334  -0.282 1.482  -0.112 1.598  0.097 1.599  0.296 1.579  0.416 1.409  0.523 1.231  0.564 1.032  0.564 0.823  0.564 0.614  0.508 0.418  0.431 0.231  0.307 0.063  0.168 -0.091  0.035 -0.222  -0.146 -0.218  -0.054 -0.154  0.100 -0.247  0.221 -0.411  0.345 -0.580  0.451 -0.759  0.599 -0.906  0.714 -1.078  0.829 -1.249  0.997 -1.369  1.181 -1.433
1b#app#app06#app0617/G  0.164 1.895  0.075 1.836  -0.006 1.730  -0.107 1.623  -0.213 1.549  -0.299 1.432  -0.362 1.310  -0.466 1.206  -0.529 1.085  -0.597 0.955  -0.644 0.815  -0.654 0.670  -0.674 0.531  -0.712 0.399  -0.712 0.252  -0.712 0.104  -0.712 -0.043  -0.712 -0.190  -0.712 -0.338  -0.667 -0.474  -0.612 -0.601  -0.537 -0.683  -0.465 -0.793  -0.317 -0.793  -0.170 -0.793  -0.023 -0.793  0.100 -0.734  0.217 -0.649  0.352 -0.605  0.456 -0.501  0.560 -0.397  0.444 -0.384  0.301 -0.403  0.163 -0.442  0.016 -0.442  -0.066 -0.384  0.071 -0.360  0.180 -0.267  0.281 -0.220  0.394 -0.154  0.531 -0.113  0.661 -0.121  0.724 -0.243  0.773 -0.374  0.807 -0.513  0.807 -0.661  0.818 -0.804  0.880 -0.925  0.924 -1.054  0.982 -1.143
1b#app#app06#app0617/O  -0.319 1.045  -0.229 1.135  -0.121 1.178  -0.022 1.244  0.104 1.244  0.159 1.163  0.264 1.112  0.357 1.031  0.446 0.942  0.535 0.852  0.615 0.757  0.654 0.637  0.703 0.521  0.739 0.403  0.811 0.306  0.868 0.193  0.871 0.067  0.871 -0.059  0.871 -0.185  0.825 -0.301  0.800 -0.422  0.760 -0.541  0.698 -0.647  0.609 -0.737  0.519 -0.826  0.430 -0.915  0.340 -1.004  0.227 -1.061  0.103 -1.069  -0.023 -1.069  -0.150 -1.069  -0.276 -1.069  -0.397 -1.057  -0.496 -0.981  -0.603 -0.917  -0.683 -0.820  -0.753 -0.715  -0.781 -0.597  -0.813 -0.478  -0.847 -0.360  -0.847 -0.233  -0.847 -0.107  -0.847 0.019  -0.847 0.145  -0.847 0.272  -0.840 0.396  -0.770 0.501  -0.696 0.603  -0.606 0.692  -0.517 0.781
1b#app#app06#app0617/T  0.004 1.099  0.004 0.937  0.004 0.775  0.004 0.614  0.004 0.452  0.004 0.291  0.038 0.134  0.071 -0.022  0.138 -0.168  0.178 -0.325  0.203 -0.483  0.241 -0.636  0.270 -0.791  0.336 -0.925  0.393 -1.073  0.402 -1.232  0.402 -1.394  0.402 -1.556  0.402 -1.717  0.352 -1.641  0.287 -1.493  0.221 -1.345  0.156 -1.197  0.091 -1.049  0.025 -0.901  -0.040 -0.754  -0.105 -0.606  -0.171 -0.458  -0.236 -0.310  -0.301 -0.162  -0.367 -0.014  -0.432 0.133  -0.497 0.281  -0.563 0.429  -0.628 0.577  -0.693 0.725  -0.759 0.873  -0.824 1.021  -0.782 1.099  -0.621 1.099  -0.473 1.039  -0.313 1.032  -0.151 1.032  0.010 1.030  0.156 0.966  0.318 0.966  0.480 0.966  0.637 0.948  0.787 0.900  0.933 0.833
