3#apa#apa04#app0443/B  -0.412 0.985  -0.285 1.130  -0.311 1.085  -0.412 0.854  -0.412 0.581  -0.412 0.308  -0.539 0.088  -0.539 -0.184  -0.539 -0.457  -0.539 -0.730  -0.666 -0.950  -0.666 -1.222  -0.656 -1.107  -0.641 -0.835  -0.627 -0.562  -0.613 -0.290  -0.598 -0.018  -0.584 0.255  -0.570 0.527  -0.555 0.799  -0.541 1.072  -0.306 1.111  -0.160 1.238  0.112 1.238  0.385 1.238  0.604 1.185  0.804 1.111  0.985 0.946  0.985 0.673  0.908 0.477  0.763 0.350  0.561 0.179  0.331 0.076  0.138 -0.116  -0.118 -0.158  -0.338 -0.285  -0.213 -0.285  0.059 -0.285  0.332 -0.285  0.605 -0.285  0.872 -0.299  1.098 -0.412  1.108 -0.669  0.916 -0.862  0.686 -0.965  0.456 -1.068  0.227 -1.174  -0.004 -1.274  -0.266 -1.301  -0.412 -1.428
3#apa#apa04#app0443/r  -0.598 0.454  -0.506 0.363  -0.415 0.271  -0.401 0.148  -0.401 0.018  -0.401 -0.111  -0.401 -0.241  -0.401 -0.370  -0.401 -0.499  -0.401 -0.629  -0.401 -0.758  -0.401 -0.888  -0.401 -1.017  -0.401 -1.146  -0.401 -1.276  -0.401 -1.405  -0.401 -1.490  -0.401 -1.360  -0.401 -1.231  -0.389 -1.107  -0.297 -1.015  -0.206 -0.924  -0.204 -0.795  -0.204 -0.665  -0.204 -0.536  -0.204 -0.407  -0.204 -0.277  -0.204 -0.148  -0.204 -0.018  -0.204 0.111  -0.204 0.240  -0.125 0.337  -0.034 0.428  -0.008 0.547  -0.008 0.676  -0.008 0.806  0.080 0.847  0.209 0.847  0.339 0.847  0.386 0.930  0.401 1.044  0.530 1.044  0.660 1.044  0.789 1.044  0.918 1.044  1.048 1.044  1.177 1.044  1.307 1.044  1.436 1.044  1.565 1.044
3#apa#apa04#app0443/o  -0.205 0.847  -0.205 0.696  -0.277 0.618  -0.428 0.618  -0.578 0.618  -0.729 0.618  -0.880 0.618  -0.891 0.479  -0.952 0.389  -1.102 0.389  -1.253 0.389  -1.349 0.335  -1.349 0.184  -1.349 0.034  -1.315 -0.103  -1.208 -0.209  -1.102 -0.316  -0.995 -0.422  -0.888 -0.526  -0.737 -0.526  -0.587 -0.526  -0.436 -0.526  -0.286 -0.526  -0.135 -0.526  0.015 -0.526  0.166 -0.526  0.317 -0.526  0.467 -0.526  0.618 -0.526  0.768 -0.526  0.919 -0.526  1.069 -0.526  1.220 -0.526  1.370 -0.526  1.397 -0.402  1.397 -0.251  1.397 -0.100  1.278 -0.068  1.168 -0.028  1.168 0.122  1.055 0.160  0.915 0.185  0.808 0.291  0.698 0.389  0.548 0.389  0.397 0.389  0.247 0.389  0.096 0.389  -0.054 0.389  -0.205 0.389
3#apa#apa04#app0443/k  -0.109 2.273  -0.109 2.077  -0.109 1.881  -0.156 1.696  -0.244 1.521  -0.367 1.372  -0.431 1.203  -0.431 1.007  -0.431 0.811  -0.431 0.615  -0.431 0.419  -0.431 0.223  -0.431 0.027  -0.431 -0.169  -0.431 -0.365  -0.431 -0.560  -0.431 -0.756  -0.434 -0.951  -0.573 -1.090  -0.588 -1.266  -0.456 -1.121  -0.325 -0.976  -0.193 -0.831  -0.061 -0.686  0.071 -0.541  0.203 -0.396  0.334 -0.251  0.466 -0.106  0.598 0.039  0.730 0.184  0.861 0.329  0.993 0.473  1.018 0.343  0.825 0.340  0.629 0.340  0.463 0.268  0.304 0.179  0.213 0.074  0.073 0.018  0.039 -0.143  -0.143 -0.177  -0.270 -0.320  -0.270 -0.516  -0.270 -0.712  -0.150 -0.787  0.001 -0.897  0.175 -0.949  0.371 -0.949  0.510 -1.085  0.696 -1.110
3#apa#apa04#app0443/e  -1.056 0.425  -0.899 0.425  -0.741 0.425  -0.584 0.425  -0.426 0.425  -0.268 0.425  -0.111 0.425  0.047 0.425  0.204 0.425  0.347 0.460  0.459 0.572  0.596 0.621  0.704 0.671  0.704 0.829  0.704 0.986  0.572 1.012  0.414 1.012  0.273 0.973  0.162 0.861  0.023 0.817  -0.118 0.777  -0.230 0.665  -0.369 0.621  -0.470 0.564  -0.489 0.425  -0.646 0.425  -0.763 0.327  -0.861 0.210  -0.861 0.053  -0.861 -0.105  -0.861 -0.262  -0.861 -0.420  -0.843 -0.570  -0.731 -0.682  -0.620 -0.793  -0.509 -0.905  -0.367 -0.943  -0.210 -0.943  -0.052 -0.943  0.106 -0.943  0.263 -0.943  0.421 -0.943  0.578 -0.943  0.736 -0.943  0.894 -0.943  1.051 -0.943  1.209 -0.943  1.366 -0.943  1.486 -0.905  1.486 -0.748
3#apa#apa04#app0443/n  -0.907 0.300  -0.907 0.160  -0.952 0.040  -1.051 -0.059  -1.122 -0.168  -1.122 -0.307  -1.122 -0.446  -1.122 -0.585  -1.122 -0.724  -1.122 -0.864  -1.110 -0.990  -0.970 -0.990  -0.907 -0.914  -0.907 -0.775  -0.809 -0.676  -0.710 -0.578  -0.579 -0.560  -0.451 -0.533  -0.352 -0.435  -0.263 -0.333  -0.263 -0.194  -0.209 -0.077  -0.111 0.022  -0.025 0.129  0.037 0.254  0.099 0.378  0.161 0.503  0.293 0.514  0.418 0.550  0.516 0.648  0.597 0.754  0.597 0.893  0.685 0.944  0.812 0.956  0.812 1.095  0.812 1.084  0.812 0.945  0.812 0.805  0.812 0.666  0.812 0.527  0.812 0.388  0.812 0.249  0.812 0.110  0.812 -0.029  0.839 -0.157  0.937 -0.256  1.027 -0.358  1.027 -0.497  1.027 -0.636  1.027 -0.775
3#apa#apa04#app0443/M  -0.512 0.667  -0.515 0.465  -0.612 0.302  -0.725 0.143  -0.818 -0.037  -0.943 -0.194  -1.010 -0.382  -1.080 -0.569  -1.109 -0.765  -1.209 -0.927  -1.284 -1.099  -1.140 -1.124  -0.987 -1.002  -0.910 -0.831  -0.811 -0.669  -0.697 -0.513  -0.612 -0.345  -0.512 -0.183  -0.445 0.005  -0.372 0.194  -0.313 0.387  -0.303 0.588  -0.214 0.771  -0.138 0.942  -0.043 1.065  -0.015 0.890  -0.015 0.687  -0.015 0.484  0.085 0.322  0.085 0.119  0.140 -0.030  0.343 -0.030  0.503 0.080  0.682 0.173  0.781 0.276  0.860 0.447  1.013 0.567  1.080 0.704  1.179 0.808  1.147 0.734  1.076 0.560  0.985 0.378  0.980 0.176  0.980 -0.028  0.935 -0.220  0.881 -0.411  0.881 -0.614  0.881 -0.817  0.881 -1.020  0.980 -1.124
3#apa#apa04#app0443/o  -0.254 0.798  -0.393 0.798  -0.521 0.772  -0.618 0.674  -0.716 0.576  -0.847 0.557  -0.975 0.547  -0.975 0.408  -0.975 0.270  -0.975 0.132  -0.975 -0.007  -0.975 -0.145  -0.975 -0.284  -0.975 -0.422  -0.975 -0.561  -0.919 -0.644  -0.781 -0.644  -0.642 -0.644  -0.504 -0.644  -0.495 -0.772  -0.467 -0.884  -0.329 -0.884  -0.190 -0.884  -0.052 -0.884  0.086 -0.884  0.225 -0.884  0.363 -0.884  0.491 -0.859  0.589 -0.761  0.687 -0.663  0.818 -0.644  0.947 -0.634  0.947 -0.496  0.947 -0.357  0.947 -0.219  0.947 -0.080  0.947 0.058  0.947 0.197  0.934 0.330  0.836 0.428  0.738 0.526  0.706 0.651  0.706 0.789  0.706 0.928  0.678 1.038  0.540 1.038  0.401 1.038  0.263 1.038  0.124 1.038  -0.014 1.038
3#apa#apa04#app0443/o  -0.642 0.350  -0.771 0.350  -0.901 0.350  -1.031 0.350  -1.160 0.350  -1.188 0.249  -1.188 0.119  -1.188 -0.011  -1.188 -0.140  -1.136 -0.248  -1.045 -0.340  -0.953 -0.432  -0.839 -0.470  -0.709 -0.470  -0.642 -0.532  -0.642 -0.661  -0.594 -0.743  -0.464 -0.743  -0.334 -0.743  -0.205 -0.743  -0.075 -0.743  0.055 -0.743  0.184 -0.743  0.314 -0.743  0.443 -0.743  0.573 -0.743  0.703 -0.743  0.801 -0.667  0.893 -0.575  0.984 -0.484  0.998 -0.360  0.998 -0.230  0.998 -0.101  0.998 0.029  0.998 0.159  0.998 0.288  0.998 0.418  0.998 0.548  0.960 0.662  0.869 0.753  0.777 0.845  0.669 0.897  0.539 0.897  0.410 0.897  0.280 0.897  0.150 0.897  0.021 0.897  -0.109 0.897  -0.239 0.897  -0.368 0.897
3#apa#apa04#app0443/n  -0.807 0.105  -0.701 -0.001  -0.619 -0.117  -0.619 -0.268  -0.619 -0.418  -0.728 -0.459  -0.807 -0.531  -0.831 -0.671  -0.937 -0.777  -1.043 -0.884  -1.150 -0.990  -1.081 -1.024  -0.950 -0.978  -0.843 -0.872  -0.807 -0.737  -0.746 -0.647  -0.619 -0.624  -0.619 -0.474  -0.523 -0.363  -0.431 -0.251  -0.431 -0.101  -0.337 0.011  -0.231 0.117  -0.124 0.223  -0.054 0.345  -0.045 0.491  0.061 0.598  0.168 0.704  0.274 0.810  0.322 0.941  0.354 1.078  0.460 1.184  0.589 1.235  0.740 1.235  0.887 1.231  0.887 1.081  0.887 0.931  0.887 0.780  0.887 0.630  0.887 0.480  0.887 0.329  0.887 0.179  0.887 0.029  0.887 -0.122  0.887 -0.272  0.887 -0.423  0.887 -0.573  0.811 -0.647  0.698 -0.685  0.698 -0.836
3#apa#apa04#app0443/s  0.017 1.530  -0.097 1.530  -0.212 1.530  -0.326 1.530  -0.342 1.431  -0.376 1.351  -0.490 1.351  -0.522 1.267  -0.522 1.153  -0.522 1.038  -0.522 0.924  -0.522 0.809  -0.522 0.695  -0.485 0.595  -0.404 0.514  -0.323 0.433  -0.242 0.352  -0.161 0.271  -0.080 0.190  0.001 0.109  0.109 0.093  0.223 0.093  0.338 0.093  0.377 0.017  0.387 -0.087  0.502 -0.087  0.556 -0.147  0.556 -0.261  0.666 -0.266  0.736 -0.311  0.736 -0.425  0.736 -0.540  0.736 -0.654  0.736 -0.769  0.658 -0.805  0.556 -0.818  0.556 -0.933  0.494 -0.985  0.379 -0.985  0.265 -0.985  0.150 -0.985  0.035 -0.985  -0.079 -0.985  -0.194 -0.985  -0.308 -0.985  -0.423 -0.985  -0.537 -0.985  -0.652 -0.985  -0.766 -0.985  -0.881 -0.985
