2#apa#apa04#app0401/o  0.345 0.896  0.501 0.896  0.417 0.896  0.345 0.980  0.297 1.088  0.144 1.080  0.034 0.969  -0.040 0.844  -0.056 0.703  -0.212 0.703  -0.328 0.607  -0.439 0.497  -0.549 0.387  -0.617 0.258  -0.634 0.109  -0.744 -0.001  -0.855 -0.112  -0.965 -0.222  -1.001 -0.363  -1.001 -0.519  -1.001 -0.675  -1.001 -0.832  -1.001 -0.988  -0.919 -1.110  -0.808 -1.220  -0.652 -1.220  -0.496 -1.220  -0.364 -1.160  -0.254 -1.049  -0.107 -1.027  0.040 -0.987  0.180 -0.918  0.319 -0.848  0.435 -0.745  0.545 -0.634  0.656 -0.524  0.729 -0.398  0.741 -0.247  0.851 -0.136  0.922 -0.009  0.922 0.147  0.922 0.303  0.922 0.459  0.818 0.511  0.729 0.579  0.707 0.726  0.596 0.836  0.465 0.896  0.309 0.896  0.153 0.896
2#apa#apa04#app0401/r  -0.369 0.115  -0.369 -0.000  -0.369 -0.116  -0.369 -0.232  -0.369 -0.347  -0.369 -0.463  -0.369 -0.579  -0.369 -0.694  -0.369 -0.810  -0.369 -0.926  -0.369 -1.041  -0.369 -1.157  -0.266 -1.169  -0.209 -1.228  -0.209 -1.316  -0.209 -1.200  -0.293 -1.169  -0.369 -1.130  -0.369 -1.014  -0.369 -0.898  -0.369 -0.783  -0.369 -0.667  -0.369 -0.551  -0.369 -0.436  -0.369 -0.320  -0.369 -0.204  -0.369 -0.089  -0.369 0.027  -0.350 0.135  -0.268 0.216  -0.209 0.308  -0.209 0.423  -0.209 0.539  -0.157 0.623  -0.053 0.674  0.050 0.726  0.145 0.790  0.227 0.871  0.318 0.940  0.421 0.992  0.525 1.044  0.632 1.078  0.748 1.078  0.863 1.078  0.979 1.078  1.095 1.078  1.210 1.078  1.236 1.168  1.281 1.239  1.397 1.239
2#apa#apa04#app0401/*  -0.950 0.527  -0.588 0.360  -0.225 0.194  -0.058 -0.169  0.028 -0.565  0.185 -0.959  0.224 -1.382  0.434 -1.518  0.491 -1.091  0.548 -0.663  0.605 -0.235  0.662 0.193  0.719 0.620  0.776 1.048  0.811 1.142  0.468 0.967  0.163 0.662  -0.142 0.357  -0.309 -0.006  -0.559 -0.334  -0.754 -0.685  -0.754 -1.116  -0.628 -0.946  -0.455 -0.550  -0.282 -0.155  -0.109 0.240  0.063 0.636  0.236 1.031  0.409 1.427  0.582 1.822  0.506 1.592  0.419 1.196  0.311 0.810  0.224 0.414  0.224 -0.018  0.224 -0.449  0.224 -0.881  0.224 -1.312  -0.025 -1.236  -0.365 -0.971  -0.706 -0.706  -1.046 -0.441  -1.387 -0.176  -1.295 -0.060  -0.893 0.066  -0.478 0.136  -0.059 0.190  0.339 0.332  0.770 0.332  1.202 0.332
2#apa#apa04#app0401/Z  -0.912 1.025  -0.782 1.025  -0.713 1.084  -0.623 1.124  -0.493 1.124  -0.364 1.124  -0.234 1.124  -0.105 1.124  0.025 1.124  0.155 1.124  0.284 1.124  0.376 1.033  0.502 1.025  0.618 0.991  0.683 0.888  0.683 0.759  0.683 0.629  0.565 0.607  0.473 0.515  0.382 0.423  0.325 0.307  0.256 0.199  0.165 0.107  0.073 0.016  -0.019 -0.076  -0.110 -0.168  -0.202 -0.259  -0.294 -0.351  -0.385 -0.443  -0.477 -0.534  -0.568 -0.626  -0.660 -0.717  -0.768 -0.770  -0.812 -0.855  -0.797 -0.969  -0.667 -0.969  -0.538 -0.969  -0.419 -0.922  -0.302 -0.870  -0.172 -0.870  -0.043 -0.870  0.087 -0.870  0.216 -0.870  0.346 -0.870  0.449 -0.934  0.564 -0.969  0.693 -0.969  0.823 -0.969  0.953 -0.969  1.082 -0.969
2#apa#apa04#app0401/A  -0.259 0.810  -0.381 0.680  -0.510 0.551  -0.623 0.326  -0.628 0.076  -0.745 -0.127  -0.867 -0.329  -0.867 -0.580  -0.988 -0.782  -1.110 -0.912  -1.089 -1.113  -0.939 -0.915  -0.867 -0.680  -0.867 -0.428  -0.745 -0.227  -0.662 0.005  -0.604 0.243  -0.491 0.468  -0.377 0.692  -0.221 0.886  -0.079 1.082  0.105 1.220  0.281 1.296  0.412 1.417  0.663 1.417  0.713 1.215  0.834 1.085  0.834 0.833  0.834 0.581  0.834 0.329  0.834 0.077  0.834 -0.174  0.849 -0.420  0.956 -0.628  0.956 -0.879  1.077 -1.010  1.081 -0.966  0.847 -0.872  0.613 -0.779  0.379 -0.685  0.146 -0.592  -0.088 -0.498  -0.322 -0.405  -0.556 -0.311  -0.446 -0.284  -0.194 -0.284  0.008 -0.162  0.259 -0.162  0.463 -0.047  0.713 -0.041
2#apa#apa04#app0401/P  -0.142 0.493  -0.142 0.688  -0.256 0.672  -0.267 0.482  -0.369 0.329  -0.374 0.135  -0.421 -0.054  -0.468 -0.243  -0.543 -0.421  -0.597 -0.603  -0.597 -0.798  -0.684 -0.957  -0.710 -1.141  -0.710 -1.335  -0.710 -1.530  -0.700 -1.606  -0.668 -1.414  -0.636 -1.222  -0.604 -1.030  -0.572 -0.838  -0.540 -0.646  -0.508 -0.454  -0.476 -0.262  -0.444 -0.070  -0.412 0.123  -0.380 0.315  -0.348 0.507  -0.316 0.699  -0.284 0.891  -0.234 1.061  -0.039 1.061  0.135 1.011  0.303 0.947  0.498 0.947  0.693 0.947  0.875 0.893  1.055 0.834  1.208 0.733  1.334 0.590  1.334 0.396  1.334 0.201  1.221 0.120  1.107 0.039  0.994 -0.042  0.831 -0.075  0.637 -0.075  0.442 -0.075  0.247 -0.075  0.052 -0.075  -0.142 -0.075
2#apa#apa04#app0401/*  -0.979 0.449  -0.734 0.252  -0.388 0.042  -0.130 -0.142  0.083 -0.416  0.395 -0.728  0.708 -1.040  0.794 -1.446  0.773 -1.155  0.747 -0.714  0.721 -0.273  0.695 0.167  0.669 0.608  0.643 1.049  0.617 1.490  0.597 1.725  0.491 1.328  0.284 1.040  0.088 0.727  -0.085 0.357  -0.191 -0.041  -0.191 -0.482  -0.191 -0.924  -0.191 -1.365  -0.173 -1.236  -0.145 -0.795  -0.118 -0.354  -0.090 0.087  -0.063 0.527  -0.035 0.968  -0.008 1.409  0.203 1.609  0.203 1.168  0.203 0.726  0.203 0.285  0.203 -0.157  0.203 -0.598  0.203 -1.040  0.086 -1.219  -0.244 -0.926  -0.574 -0.632  -0.904 -0.339  -1.234 -0.046  -1.565 0.248  -1.332 0.055  -0.890 0.055  -0.449 0.055  -0.061 -0.075  0.353 -0.142  0.794 -0.142
2#apa#apa04#app0401/,  -0.203 1.440  -0.125 1.440  -0.048 1.440  0.007 1.417  0.007 1.340  0.007 1.262  0.052 1.229  0.129 1.229  0.207 1.229  0.218 1.162  0.218 1.085  0.218 1.007  0.218 0.930  0.218 0.852  0.218 0.775  0.218 0.697  0.218 0.620  0.218 0.542  0.218 0.465  0.218 0.387  0.218 0.310  0.218 0.232  0.218 0.155  0.218 0.077  0.218 -0.000  0.218 -0.078  0.218 -0.155  0.218 -0.233  0.218 -0.311  0.218 -0.388  0.212 -0.464  0.177 -0.534  0.143 -0.603  0.108 -0.672  0.073 -0.742  0.039 -0.811  0.002 -0.879  -0.053 -0.934  -0.108 -0.989  -0.162 -1.043  -0.217 -1.098  -0.272 -1.153  -0.327 -1.208  -0.382 -1.263  -0.446 -1.294  -0.524 -1.294  -0.601 -1.294  -0.679 -1.294  -0.756 -1.294  -0.834 -1.294
2#apa#apa04#app0401/*  -0.535 0.516  -0.179 0.371  -0.002 0.095  0.203 -0.115  0.379 -0.397  0.517 -0.755  0.520 -1.170  0.738 -1.256  0.776 -0.842  0.814 -0.429  0.851 -0.015  0.889 0.398  0.926 0.812  0.727 0.857  0.517 0.652  0.319 0.318  0.307 -0.092  0.178 -0.454  0.096 -0.835  0.013 -1.167  -0.109 -1.299  -0.081 -0.885  -0.054 -0.470  -0.026 -0.056  0.002 0.359  0.029 0.773  0.057 1.187  0.085 1.602  0.096 1.539  -0.114 1.334  -0.114 0.919  -0.114 0.504  -0.114 0.088  -0.113 -0.327  0.096 -0.655  -0.205 -0.626  -0.590 -0.472  -0.976 -0.317  -1.362 -0.163  -1.747 -0.009  -2.007 -0.040  -1.667 -0.115  -1.288 -0.027  -0.923 0.095  -0.508 0.095  -0.093 0.095  0.323 0.095  0.738 0.095  1.153 0.095  1.569 0.095
2#apa#apa04#app0401/K  -0.619 1.599  -0.619 1.365  -0.619 1.131  -0.619 0.897  -0.619 0.664  -0.619 0.430  -0.619 0.196  -0.619 -0.038  -0.619 -0.272  -0.619 -0.505  -0.619 -0.739  -0.757 -0.916  -0.757 -1.150  -0.839 -1.302  -0.786 -1.162  -0.643 -0.977  -0.499 -0.792  -0.356 -0.608  -0.212 -0.423  -0.069 -0.239  0.075 -0.054  0.219 0.130  0.362 0.315  0.506 0.499  0.649 0.684  0.793 0.869  0.936 1.053  0.971 1.185  0.785 1.069  0.718 0.864  0.522 0.770  0.346 0.632  0.210 0.534  0.016 0.494  -0.079 0.356  -0.281 0.279  -0.447 0.114  -0.619 0.032  -0.615 -0.200  -0.450 -0.366  -0.261 -0.473  -0.027 -0.473  0.167 -0.569  0.384 -0.611  0.617 -0.611  0.851 -0.611  1.071 -0.644  1.262 -0.749  1.453 -0.792  1.591 -0.887
2#apa#apa04#app0401/A  -0.667 1.403  -0.515 1.184  -0.654 0.960  -0.667 0.684  -0.667 0.403  -0.667 0.122  -0.667 -0.160  -0.667 -0.441  -0.667 -0.722  -0.759 -0.966  -0.850 -1.209  -0.892 -1.250  -0.800 -1.007  -0.667 -0.781  -0.515 -0.562  -0.515 -0.281  -0.431 -0.014  -0.315 0.237  -0.212 0.475  -0.212 0.757  -0.148 1.011  -0.060 1.256  0.036 1.498  0.294 1.554  0.395 1.375  0.399 1.095  0.547 0.875  0.547 0.594  0.547 0.312  0.659 0.077  0.699 -0.187  0.699 -0.469  0.826 -0.697  0.851 -0.968  0.902 -1.229  0.899 -1.236  0.690 -1.048  0.481 -0.860  0.272 -0.672  0.063 -0.483  -0.146 -0.295  -0.356 -0.107  -0.515 -0.030  -0.319 -0.115  -0.038 -0.115  0.244 -0.115  0.462 0.037  0.743 0.037  1.025 0.037  1.306 0.037
