3#apa#apa04#app0400/A  -0.908 -0.818  -0.908 -1.037  -0.783 -1.009  -0.674 -0.835  -0.657 -0.623  -0.657 -0.404  -0.599 -0.199  -0.531 0.004  -0.531 0.224  -0.474 0.429  -0.359 0.613  -0.231 0.788  -0.122 0.976  -0.027 1.155  0.099 1.322  0.291 1.388  0.485 1.448  0.602 1.550  0.798 1.574  0.854 1.411  0.813 1.199  0.744 0.991  0.652 0.792  0.602 0.585  0.569 0.374  0.476 0.176  0.429 -0.032  0.351 -0.232  0.351 -0.452  0.351 -0.671  0.476 -0.838  0.476 -1.057  0.602 -1.224  0.723 -1.322  0.552 -1.200  0.372 -1.075  0.192 -0.950  0.012 -0.826  -0.169 -0.701  -0.349 -0.576  -0.529 -0.451  -0.709 -0.327  -0.889 -0.202  -0.712 -0.189  -0.619 -0.063  -0.526 0.063  -0.307 0.063  -0.088 0.063  0.131 0.063  0.351 0.063
3#apa#apa04#app0400/c  0.948 1.384  0.869 1.305  0.789 1.226  0.709 1.148  0.597 1.148  0.485 1.148  0.372 1.148  0.260 1.148  0.240 1.056  0.240 0.944  0.159 0.912  0.047 0.912  -0.045 0.863  -0.124 0.784  -0.204 0.704  -0.264 0.612  -0.315 0.511  -0.365 0.411  -0.415 0.310  -0.465 0.210  -0.543 0.129  -0.622 0.050  -0.702 -0.030  -0.781 -0.109  -0.861 -0.188  -0.940 -0.268  -0.940 -0.380  -0.940 -0.492  -0.840 -0.504  -0.728 -0.504  -0.615 -0.504  -0.503 -0.504  -0.468 -0.582  -0.468 -0.694  -0.402 -0.740  -0.290 -0.740  -0.178 -0.740  -0.065 -0.740  0.047 -0.740  0.159 -0.740  0.272 -0.740  0.384 -0.740  0.490 -0.754  0.570 -0.834  0.649 -0.913  0.735 -0.976  0.847 -0.976  0.960 -0.976  1.072 -0.976  1.184 -0.976
3#apa#apa04#app0400/q  0.522 1.186  0.332 1.186  0.197 1.053  0.032 0.993  -0.157 0.993  -0.247 0.893  -0.345 0.801  -0.507 0.734  -0.641 0.600  -0.775 0.466  -0.932 0.363  -1.101 0.278  -1.208 0.154  -1.208 -0.036  -1.208 -0.225  -1.208 -0.415  -1.148 -0.545  -0.958 -0.545  -0.769 -0.545  -0.579 -0.545  -0.392 -0.529  -0.212 -0.469  -0.032 -0.409  0.146 -0.344  0.280 -0.210  0.449 -0.160  0.604 -0.078  0.739 0.056  0.873 0.191  0.907 0.366  0.907 0.556  0.907 0.746  0.907 0.936  0.907 0.861  0.815 0.710  0.681 0.575  0.547 0.441  0.522 0.262  0.414 0.116  0.330 -0.038  0.299 -0.221  0.214 -0.391  0.137 -0.562  0.137 -0.752  0.137 -0.942  0.137 -1.132  0.137 -1.321  0.137 -1.511  0.137 -1.701  0.137 -1.891
3#apa#apa04#app0400/u  -0.459 1.090  -0.459 0.976  -0.460 0.862  -0.541 0.781  -0.622 0.700  -0.709 0.636  -0.823 0.636  -0.913 0.611  -0.913 0.497  -0.913 0.383  -0.913 0.269  -0.913 0.155  -0.913 0.040  -0.913 -0.074  -0.913 -0.188  -0.913 -0.302  -0.913 -0.416  -0.881 -0.499  -0.767 -0.499  -0.686 -0.532  -0.686 -0.646  -0.651 -0.726  -0.537 -0.726  -0.423 -0.726  -0.309 -0.726  -0.195 -0.726  -0.080 -0.726  0.034 -0.726  0.148 -0.726  0.262 -0.726  0.376 -0.726  0.478 -0.696  0.559 -0.615  0.640 -0.534  0.720 -0.454  0.801 -0.373  0.882 -0.292  0.902 -0.186  0.902 -0.072  0.902 0.042  0.902 0.156  0.965 0.244  1.045 0.325  1.126 0.406  1.129 0.519  1.129 0.633  1.129 0.747  1.129 0.861  1.129 0.976  1.129 1.090
3#apa#apa04#app0400/i  -0.002 -0.448  -0.002 -0.541  -0.002 -0.635  -0.002 -0.729  -0.036 -0.788  -0.130 -0.788  -0.208 -0.825  -0.275 -0.891  -0.341 -0.957  -0.343 -1.050  -0.343 -1.144  -0.343 -1.238  -0.311 -1.300  -0.217 -1.300  -0.166 -1.251  -0.155 -1.158  -0.143 -1.065  -0.131 -0.972  -0.120 -0.879  -0.108 -0.786  -0.096 -0.693  -0.085 -0.600  -0.073 -0.507  -0.062 -0.414  -0.050 -0.321  -0.038 -0.228  -0.027 -0.135  -0.015 -0.042  -0.003 0.051  0.008 0.144  0.020 0.237  0.031 0.330  0.043 0.423  0.055 0.516  0.066 0.609  0.078 0.702  0.090 0.795  0.101 0.888  0.113 0.981  0.124 1.074  0.136 1.167  0.148 1.260  0.159 1.353  0.182 1.440  0.248 1.507  0.315 1.573  0.398 1.597  0.492 1.597  0.509 1.674  0.509 1.768
3#apa#apa04#app0400/r  -0.288 0.198  -0.288 0.082  -0.288 -0.034  -0.288 -0.150  -0.288 -0.266  -0.288 -0.381  -0.288 -0.497  -0.288 -0.613  -0.317 -0.717  -0.399 -0.799  -0.481 -0.881  -0.509 -0.985  -0.509 -1.101  -0.509 -1.217  -0.509 -1.333  -0.412 -1.352  -0.296 -1.352  -0.288 -1.244  -0.288 -1.128  -0.288 -1.012  -0.279 -0.900  -0.197 -0.818  -0.115 -0.736  -0.066 -0.640  -0.066 -0.524  -0.066 -0.408  -0.066 -0.292  -0.066 -0.176  -0.066 -0.060  -0.066 0.056  -0.066 0.172  -0.066 0.287  -0.066 0.403  0.004 0.490  0.086 0.572  0.155 0.659  0.155 0.775  0.155 0.891  0.155 1.007  0.183 1.112  0.265 1.194  0.347 1.276  0.451 1.305  0.567 1.305  0.683 1.305  0.798 1.305  0.914 1.305  1.030 1.305  1.146 1.305  1.262 1.305
3#apa#apa04#app0400/e  -0.484 0.340  -0.484 0.178  -0.324 0.175  -0.162 0.175  0.000 0.175  0.163 0.175  0.325 0.175  0.445 0.278  0.581 0.340  0.673 0.411  0.741 0.506  0.838 0.571  0.794 0.715  0.680 0.830  0.565 0.944  0.426 1.001  0.264 1.001  0.101 1.001  -0.040 0.950  -0.155 0.836  -0.317 0.836  -0.433 0.722  -0.574 0.671  -0.711 0.609  -0.825 0.495  -0.940 0.380  -1.055 0.265  -1.145 0.140  -1.145 -0.023  -1.145 -0.185  -1.126 -0.339  -1.011 -0.454  -0.980 -0.604  -0.865 -0.651  -0.702 -0.651  -0.540 -0.651  -0.409 -0.726  -0.284 -0.816  -0.121 -0.816  0.041 -0.816  0.203 -0.816  0.366 -0.816  0.528 -0.816  0.690 -0.816  0.853 -0.816  1.015 -0.816  1.177 -0.816  1.340 -0.816  1.502 -0.816  1.665 -0.816
3#apa#apa04#app0400/2  -0.833 0.974  -0.706 0.974  -0.579 0.974  -0.489 1.064  -0.377 1.102  -0.250 1.102  -0.123 1.102  0.004 1.102  0.131 1.102  0.258 1.102  0.385 1.102  0.513 1.102  0.566 1.028  0.566 0.901  0.566 0.774  0.514 0.668  0.418 0.593  0.297 0.578  0.207 0.488  0.117 0.399  0.028 0.309  -0.062 0.219  -0.152 0.129  -0.242 0.039  -0.335 -0.043  -0.459 -0.051  -0.549 -0.141  -0.639 -0.231  -0.729 -0.321  -0.819 -0.410  -0.833 -0.532  -0.833 -0.659  -0.758 -0.755  -0.652 -0.806  -0.525 -0.806  -0.414 -0.844  -0.323 -0.934  -0.196 -0.934  -0.069 -0.934  0.058 -0.934  0.185 -0.934  0.312 -0.934  0.439 -0.934  0.567 -0.934  0.694 -0.934  0.821 -0.934  0.948 -0.934  1.075 -0.934  1.075 -1.061  1.202 -1.061
3#apa#apa04#app0400/%  -0.561 0.948  -0.800 0.948  -1.022 0.876  -1.193 0.722  -1.193 0.483  -1.016 0.422  -0.777 0.422  -0.561 0.444  -0.561 0.683  -0.561 0.922  -0.773 0.948  -0.847 0.843  -0.609 0.843  -0.370 0.843  -0.131 0.843  0.108 0.843  0.347 0.843  0.400 0.843  0.271 0.727  0.177 0.527  0.071 0.393  0.032 0.171  -0.063 -0.029  -0.232 -0.198  -0.401 -0.367  -0.456 -0.583  -0.589 -0.766  -0.758 -0.935  -0.772 -1.168  -0.653 -1.185  -0.454 -1.053  -0.256 -0.920  -0.057 -0.788  0.142 -0.655  0.341 -0.523  0.539 -0.390  0.738 -0.258  0.914 -0.259  0.733 -0.316  0.598 -0.421  0.493 -0.616  0.610 -0.738  0.849 -0.738  1.088 -0.738  1.298 -0.670  1.441 -0.490  1.377 -0.316  1.243 -0.211  1.048 -0.105  0.809 -0.105
3#apa#apa04#app0400/M  -0.637 0.629  -0.720 0.445  -0.738 0.234  -0.738 0.016  -0.738 -0.203  -0.837 -0.380  -0.840 -0.598  -0.860 -0.808  -1.014 -0.963  -1.097 -1.147  -1.091 -1.091  -1.042 -0.922  -0.957 -0.788  -0.941 -0.586  -0.858 -0.401  -0.738 -0.233  -0.709 -0.021  -0.619 0.178  -0.550 0.385  -0.458 0.583  -0.360 0.778  -0.221 0.944  -0.067 1.098  0.071 1.011  0.071 0.792  0.071 0.574  -0.030 0.397  -0.030 0.179  -0.030 -0.040  -0.030 -0.258  0.138 -0.215  0.300 -0.079  0.439 0.049  0.577 0.158  0.685 0.332  0.780 0.511  0.881 0.628  1.035 0.783  1.132 0.933  1.185 0.767  1.185 0.549  1.185 0.330  1.061 0.157  0.992 -0.050  0.982 -0.267  0.936 -0.475  0.881 -0.680  0.803 -0.866  0.780 -1.075  0.780 -1.294
3#apa#apa04#app0400/I  0.396 1.652  0.396 1.578  0.396 1.504  0.396 1.431  0.396 1.357  0.396 1.283  0.396 1.210  0.396 1.136  0.396 1.062  0.394 0.989  0.342 0.937  0.290 0.885  0.237 0.833  0.231 0.762  0.231 0.688  0.198 0.628  0.146 0.576  0.093 0.524  0.066 0.462  0.066 0.388  0.066 0.314  0.066 0.241  0.066 0.167  0.066 0.093  0.066 0.020  0.026 -0.038  -0.026 -0.090  -0.078 -0.142  -0.099 -0.207  -0.099 -0.281  -0.111 -0.351  -0.143 -0.417  -0.176 -0.483  -0.209 -0.549  -0.242 -0.615  -0.264 -0.684  -0.264 -0.758  -0.264 -0.831  -0.264 -0.905  -0.264 -0.979  -0.264 -1.052  -0.264 -1.126  -0.297 -1.186  -0.349 -1.238  -0.401 -1.290  -0.429 -1.353  -0.429 -1.426  -0.429 -1.500  -0.429 -1.574  -0.429 -1.647
3#apa#apa04#app0400/L  0.243 1.759  0.243 1.657  0.243 1.555  0.243 1.453  0.212 1.382  0.118 1.375  0.118 1.273  0.057 1.197  -0.012 1.123  -0.058 1.032  -0.103 0.941  -0.149 0.850  -0.194 0.759  -0.240 0.668  -0.259 0.570  -0.259 0.469  -0.268 0.371  -0.340 0.299  -0.384 0.215  -0.391 0.115  -0.436 0.024  -0.482 -0.067  -0.509 -0.162  -0.526 -0.247  -0.628 -0.247  -0.635 -0.342  -0.635 -0.444  -0.635 -0.546  -0.635 -0.648  -0.634 -0.749  -0.562 -0.821  -0.482 -0.874  -0.380 -0.874  -0.279 -0.874  -0.177 -0.874  -0.075 -0.874  0.027 -0.874  0.128 -0.874  0.230 -0.874  0.306 -0.811  0.382 -0.749  0.484 -0.749  0.585 -0.749  0.687 -0.749  0.789 -0.749  0.884 -0.734  0.956 -0.662  1.042 -0.623  1.144 -0.623  1.246 -0.623
3#apa#apa04#app0400/K  -0.693 1.235  -0.579 1.070  -0.589 0.859  -0.657 0.657  -0.762 0.479  -0.808 0.285  -0.867 0.086  -0.923 -0.114  -0.923 -0.327  -0.923 -0.539  -0.923 -0.752  -0.923 -0.965  -0.920 -1.170  -0.785 -1.005  -0.650 -0.840  -0.515 -0.676  -0.381 -0.511  -0.246 -0.346  -0.111 -0.181  0.024 -0.017  0.158 0.148  0.293 0.313  0.428 0.477  0.563 0.642  0.698 0.807  0.832 0.972  0.967 1.136  1.102 1.301  1.142 1.201  1.129 0.993  0.979 0.843  0.828 0.692  0.678 0.542  0.510 0.432  0.314 0.362  0.144 0.238  -0.007 0.088  -0.190 0.018  -0.349 -0.062  -0.444 -0.236  -0.349 -0.393  -0.234 -0.491  -0.131 -0.600  0.073 -0.639  0.255 -0.745  0.433 -0.829  0.598 -0.944  0.774 -1.035  0.929 -1.173  1.027 -1.288
3#apa#apa04#app0400/f  1.415 1.115  1.399 1.242  1.304 1.336  1.170 1.336  1.036 1.336  0.923 1.287  0.815 1.226  0.702 1.176  0.607 1.082  0.512 0.987  0.418 0.892  0.323 0.798  0.258 0.682  0.198 0.562  0.104 0.468  0.038 0.352  -0.022 0.233  -0.082 0.113  -0.139 -0.007  -0.181 -0.134  -0.224 -0.261  -0.293 -0.371  -0.355 -0.480  -0.355 -0.613  -0.355 -0.747  -0.355 -0.881  -0.355 -1.015  -0.355 -1.148  -0.355 -1.282  -0.355 -1.416  -0.393 -1.315  -0.435 -1.188  -0.478 -1.061  -0.520 -0.934  -0.562 -0.807  -0.605 -0.680  -0.647 -0.553  -0.689 -0.426  -0.731 -0.300  -0.774 -0.173  -0.739 -0.102  -0.605 -0.102  -0.471 -0.102  -0.337 -0.102  -0.215 -0.073  -0.116 0.009  0.018 0.009  0.152 0.009  0.286 0.009  0.419 0.009
3#apa#apa04#app0400/o  -0.406 0.811  -0.406 0.667  -0.469 0.585  -0.613 0.585  -0.632 0.460  -0.676 0.360  -0.820 0.360  -0.858 0.253  -0.883 0.134  -1.027 0.134  -1.083 0.046  -1.083 -0.098  -1.083 -0.242  -1.083 -0.386  -1.083 -0.530  -0.990 -0.636  -0.888 -0.738  -0.757 -0.768  -0.612 -0.768  -0.468 -0.768  -0.324 -0.768  -0.180 -0.768  -0.036 -0.768  0.108 -0.768  0.253 -0.768  0.397 -0.768  0.541 -0.768  0.685 -0.768  0.798 -0.693  0.900 -0.591  1.024 -0.543  1.168 -0.543  1.173 -0.404  1.173 -0.259  1.173 -0.115  1.173 0.029  1.146 0.162  1.044 0.264  0.942 0.366  0.840 0.468  0.738 0.569  0.636 0.671  0.534 0.773  0.406 0.811  0.262 0.815  0.133 0.880  0.004 0.944  -0.125 1.009  -0.262 1.037  -0.406 1.037
3#apa#apa04#app0400/r  -0.607 0.041  -0.607 -0.068  -0.607 -0.176  -0.607 -0.285  -0.607 -0.394  -0.593 -0.496  -0.516 -0.573  -0.440 -0.650  -0.432 -0.755  -0.432 -0.864  -0.432 -0.972  -0.432 -1.081  -0.432 -1.189  -0.432 -1.298  -0.396 -1.318  -0.319 -1.242  -0.258 -1.158  -0.258 -1.050  -0.258 -0.941  -0.258 -0.833  -0.258 -0.724  -0.258 -0.616  -0.258 -0.507  -0.258 -0.399  -0.258 -0.290  -0.258 -0.182  -0.258 -0.073  -0.258 0.035  -0.185 0.114  -0.108 0.190  -0.083 0.289  -0.078 0.395  -0.001 0.472  0.075 0.548  0.091 0.650  0.106 0.753  0.182 0.830  0.259 0.906  0.336 0.983  0.413 1.060  0.510 1.087  0.618 1.087  0.727 1.087  0.835 1.087  0.944 1.087  1.052 1.087  1.161 1.087  1.269 1.087  1.378 1.087  1.486 1.087
3#apa#apa04#app0400/<  0.963 1.299  0.963 1.188  0.897 1.143  0.792 1.128  0.714 1.049  0.628 0.988  0.518 0.988  0.407 0.988  0.301 0.968  0.201 0.918  0.102 0.868  0.009 0.811  -0.070 0.732  -0.158 0.677  -0.269 0.677  -0.280 0.578  -0.319 0.483  -0.397 0.405  -0.492 0.366  -0.603 0.366  -0.714 0.366  -0.747 0.288  -0.771 0.187  -0.849 0.108  -0.902 0.019  -0.902 -0.092  -0.902 -0.202  -0.902 -0.313  -0.888 -0.411  -0.778 -0.411  -0.690 -0.467  -0.612 -0.546  -0.509 -0.566  -0.398 -0.566  -0.287 -0.566  -0.177 -0.566  -0.083 -0.608  -0.005 -0.687  0.092 -0.722  0.198 -0.733  0.276 -0.812  0.360 -0.877  0.471 -0.877  0.557 -0.937  0.635 -1.016  0.739 -1.033  0.838 -1.063  0.916 -1.141  1.008 -1.188  1.119 -1.188
3#apa#apa04#app0400/<  1.103 1.063  1.103 0.952  1.040 0.904  0.929 0.904  0.818 0.904  0.707 0.904  0.596 0.904  0.485 0.904  0.401 0.839  0.322 0.760  0.218 0.744  0.106 0.744  -0.005 0.744  -0.116 0.744  -0.227 0.744  -0.336 0.740  -0.415 0.661  -0.494 0.585  -0.605 0.585  -0.651 0.519  -0.668 0.425  -0.779 0.425  -0.867 0.369  -0.946 0.290  -0.970 0.189  -0.950 0.086  -0.871 0.008  -0.793 -0.071  -0.714 -0.149  -0.636 -0.228  -0.557 -0.306  -0.473 -0.372  -0.362 -0.372  -0.332 -0.453  -0.299 -0.532  -0.188 -0.532  -0.105 -0.599  -0.027 -0.678  0.052 -0.756  0.131 -0.835  0.235 -0.851  0.334 -0.879  0.413 -0.958  0.492 -1.036  0.570 -1.115  0.625 -1.203  0.625 -1.315  0.625 -1.426  0.673 -1.488  0.784 -1.488
3#apa#apa04#app0400/$  1.088 0.596  0.836 0.596  0.583 0.596  0.383 0.722  0.130 0.722  -0.123 0.722  -0.354 0.670  -0.533 0.491  -0.681 0.374  -0.681 0.122  -0.614 -0.103  -0.436 -0.282  -0.238 -0.416  -0.038 -0.542  0.212 -0.550  0.330 -0.753  0.180 -0.944  -0.029 -1.047  -0.230 -1.174  -0.350 -1.324  -0.579 -1.427  -0.705 -1.553  -0.749 -1.415  -0.650 -1.182  -0.552 -0.949  -0.454 -0.717  -0.355 -0.484  -0.257 -0.251  -0.158 -0.018  -0.060 0.214  0.039 0.447  0.137 0.680  0.236 0.912  0.334 1.145  0.432 1.378  0.531 1.610  0.702 1.733  0.583 1.540  0.522 1.297  0.456 1.055  0.436 0.807  0.323 0.581  0.210 0.355  0.204 0.104  0.204 -0.149  0.097 -0.376  0.040 -0.616  -0.049 -0.847  -0.176 -1.048  -0.176 -1.300
