2#tos#f2#f2068065/!  0.046 1.635  -0.018 1.603  -0.075 1.583  -0.062 1.514  -0.039 1.446  -0.035 1.376  -0.035 1.305  -0.035 1.233  -0.035 1.162  -0.035 1.091  -0.035 1.020  -0.035 0.948  -0.035 0.877  -0.035 0.806  -0.035 0.735  -0.035 0.663  -0.035 0.592  -0.035 0.521  -0.035 0.450  -0.035 0.378  -0.035 0.307  -0.035 0.236  -0.035 0.165  -0.035 0.093  -0.035 0.022  -0.035 -0.049  -0.035 -0.120  -0.035 -0.192  -0.035 -0.263  -0.035 -0.334  -0.035 -0.405  -0.024 -0.476  -0.009 -0.545  0.006 -0.615  0.021 -0.684  0.036 -0.754  0.051 -0.824  0.066 -0.893  0.082 -0.963  0.097 -1.033  0.112 -1.102  0.127 -1.172  0.142 -1.241  0.157 -1.311  0.149 -1.372  0.093 -1.417  0.037 -1.461  -0.018 -1.506  -0.035 -1.550  -0.035 -1.479
2#tos#f2#f2068065/#  -0.812 0.427  -1.088 0.394  -0.856 0.317  -0.547 0.317  -0.272 0.427  0.030 0.483  0.336 0.500  0.627 0.593  0.936 0.593  1.023 0.677  0.727 0.765  0.431 0.853  0.135 0.940  -0.162 1.028  -0.462 1.090  -0.480 0.800  -0.480 0.491  -0.536 0.195  -0.536 -0.114  -0.511 -0.419  -0.480 -0.723  -0.480 -1.032  -0.590 -1.205  -0.892 -1.140  -1.194 -1.076  -1.031 -0.989  -0.796 -0.842  -0.532 -0.732  -0.224 -0.732  0.033 -0.605  0.317 -0.511  0.590 -0.382  0.894 -0.345  0.956 -0.160  0.870 0.137  0.784 0.433  0.698 0.730  0.612 1.027  0.526 1.323  0.332 1.198  0.274 0.905  0.206 0.603  0.182 0.297  0.182 -0.012  0.182 -0.321  0.182 -0.630  0.182 -0.939  0.182 -1.248  0.235 -1.550  0.293 -1.836
2#tos#f2#f2068065/%  -0.446 0.548  -0.567 0.465  -0.773 0.465  -0.863 0.579  -0.742 0.734  -0.552 0.799  -0.347 0.799  -0.279 0.662  -0.354 0.482  -0.404 0.286  -0.554 0.173  -0.742 0.131  -0.657 0.246  -0.508 0.387  -0.359 0.527  -0.209 0.668  -0.060 0.808  0.090 0.949  0.239 1.090  0.388 1.230  0.538 1.371  0.640 1.402  0.627 1.201  0.497 1.042  0.367 0.883  0.247 0.719  0.162 0.532  0.077 0.345  -0.005 0.157  -0.088 -0.030  -0.177 -0.215  -0.257 -0.404  -0.335 -0.594  -0.384 -0.789  -0.475 -0.972  -0.434 -1.124  -0.229 -1.131  -0.024 -1.139  0.181 -1.146  0.386 -1.154  0.591 -1.162  0.484 -1.163  0.443 -1.014  0.556 -0.875  0.716 -0.829  0.858 -0.923  0.890 -1.115  0.781 -1.241  0.636 -1.330  0.431 -1.330
2#tos#f2#f2068065/&  0.402 -0.769  0.260 -0.586  0.036 -0.530  0.008 -0.256  -0.025 0.018  -0.025 0.297  0.078 0.545  0.208 0.772  0.375 0.951  0.557 1.108  0.707 0.996  0.561 0.817  0.414 0.634  0.151 0.562  -0.036 0.390  -0.266 0.271  -0.463 0.074  -0.660 -0.124  -0.901 -0.261  -1.106 -0.447  -1.277 -0.666  -1.305 -0.936  -1.187 -1.131  -0.971 -1.196  -0.692 -1.194  -0.443 -1.068  -0.211 -0.913  0.005 -0.739  0.217 -0.566  0.471 -0.455  0.668 -0.342  0.947 -0.342  1.226 -0.342  1.505 -0.342  1.584 -0.453  1.316 -0.374  1.049 -0.295  0.781 -0.216  0.513 -0.138  0.246 -0.059  -0.022 0.020  -0.290 0.098  -0.562 0.146  -0.633 0.389  -0.696 0.642  -0.696 0.921  -0.696 1.200  -0.583 1.366  -0.330 1.340  -0.208 1.183
2#tos#f2#f2068065/'  0.780 1.427  0.700 1.427  0.660 1.387  0.660 1.306  0.660 1.226  0.619 1.187  0.540 1.185  0.540 1.105  0.540 1.025  0.538 0.946  0.466 0.910  0.394 0.874  0.322 0.838  0.300 0.772  0.300 0.692  0.300 0.611  0.300 0.531  0.293 0.452  0.257 0.381  0.221 0.309  0.185 0.237  0.111 0.227  0.060 0.198  0.060 0.117  0.029 0.044  -0.007 -0.027  -0.043 -0.099  -0.060 -0.175  -0.062 -0.254  -0.134 -0.290  -0.206 -0.326  -0.278 -0.362  -0.300 -0.428  -0.300 -0.509  -0.300 -0.589  -0.300 -0.669  -0.312 -0.745  -0.368 -0.802  -0.420 -0.860  -0.420 -0.941  -0.454 -1.007  -0.511 -1.064  -0.578 -1.094  -0.659 -1.094  -0.660 -1.172  -0.660 -1.253  -0.660 -1.333  -0.660 -1.413  -0.700 -1.454  -0.780 -1.454
2#tos#f2#f2068065/(  0.859 1.342  0.798 1.281  0.736 1.224  0.660 1.201  0.589 1.166  0.503 1.166  0.417 1.166  0.389 1.108  0.331 1.081  0.280 1.031  0.199 1.004  0.155 0.951  0.125 0.872  0.081 0.799  0.037 0.731  0.037 0.646  -0.040 0.638  -0.126 0.638  -0.162 0.568  -0.189 0.487  -0.256 0.461  -0.256 0.376  -0.310 0.344  -0.315 0.263  -0.315 0.177  -0.349 0.099  -0.373 0.019  -0.373 -0.066  -0.373 -0.152  -0.373 -0.238  -0.373 -0.324  -0.373 -0.409  -0.373 -0.495  -0.373 -0.581  -0.373 -0.667  -0.345 -0.741  -0.285 -0.801  -0.256 -0.875  -0.250 -0.959  -0.212 -1.036  -0.159 -1.103  -0.099 -1.163  -0.038 -1.224  -0.019 -1.302  0.044 -1.358  0.120 -1.381  0.191 -1.416  0.213 -1.480  0.245 -1.534  0.331 -1.534
2#tos#f2#f2068065/)  -0.496 1.307  -0.449 1.229  -0.350 1.197  -0.248 1.169  -0.167 1.121  -0.115 1.036  -0.012 1.018  0.089 0.984  0.162 0.945  0.137 0.882  0.044 0.935  -0.048 0.988  -0.141 1.041  -0.222 1.074  -0.222 0.967  -0.169 0.890  -0.078 0.833  0.012 0.777  0.103 0.720  0.193 0.663  0.217 0.570  0.238 0.484  0.272 0.412  0.272 0.305  0.272 0.198  0.272 0.092  0.272 -0.015  0.275 -0.119  0.327 -0.174  0.327 -0.280  0.278 -0.339  0.217 -0.384  0.217 -0.491  0.217 -0.597  0.217 -0.704  0.184 -0.777  0.107 -0.808  0.107 -0.914  0.083 -0.997  0.053 -1.073  0.034 -1.161  -0.057 -1.177  -0.069 -1.271  -0.169 -1.300  -0.222 -1.374  -0.222 -1.481  -0.302 -1.544  -0.392 -1.600  -0.496 -1.603  -0.551 -1.655
2#tos#f2#f2068065/+  1.292 0.057  1.313 -0.026  1.070 -0.007  0.828 0.012  0.585 0.030  0.343 0.049  0.100 0.068  -0.142 0.086  -0.385 0.105  -0.627 0.124  -0.870 0.142  -1.084 0.117  -1.092 -0.119  -1.335 -0.119  -1.207 -0.207  -0.963 -0.207  -0.724 -0.198  -0.550 -0.031  -0.307 -0.031  -0.064 -0.031  0.179 -0.031  0.423 -0.031  0.643 0.025  0.785 0.145  1.028 0.145  1.271 0.145  1.269 0.221  1.068 0.358  0.867 0.496  0.666 0.633  0.466 0.770  0.265 0.908  0.064 1.045  -0.136 1.182  -0.346 1.289  -0.468 1.168  -0.468 0.925  -0.468 0.682  -0.380 0.475  -0.380 0.232  -0.292 0.025  -0.292 -0.218  -0.292 -0.461  -0.292 -0.704  -0.292 -0.948  -0.246 -1.180  -0.204 -1.413  -0.204 -1.656  -0.204 -1.900  -0.204 -2.143
2#tos#f2#f2068065/,  0.564 1.659  0.564 1.574  0.564 1.489  0.564 1.404  0.564 1.319  0.564 1.233  0.564 1.148  0.564 1.063  0.564 0.978  0.541 0.916  0.456 0.916  0.415 0.871  0.415 0.786  0.415 0.701  0.415 0.616  0.415 0.530  0.415 0.445  0.415 0.360  0.383 0.288  0.322 0.228  0.262 0.168  0.202 0.108  0.142 0.047  0.118 -0.028  0.118 -0.113  0.118 -0.198  0.108 -0.274  0.023 -0.274  -0.062 -0.274  -0.147 -0.274  -0.180 -0.327  -0.180 -0.412  -0.254 -0.423  -0.333 -0.432  -0.371 -0.508  -0.409 -0.585  -0.448 -0.661  -0.477 -0.739  -0.477 -0.824  -0.518 -0.869  -0.603 -0.869  -0.626 -0.931  -0.626 -1.016  -0.626 -1.101  -0.626 -1.186  -0.626 -1.272  -0.668 -1.315  -0.753 -1.315  -0.838 -1.315  -0.923 -1.315
2#tos#f2#f2068065/  -0.707 0.262  -0.790 0.262  -0.873 0.262  -0.957 0.262  -1.040 0.262  -1.123 0.262  -1.207 0.262  -1.243 0.214  -1.243 0.131  -1.243 0.048  -1.243 -0.035  -1.243 -0.119  -1.181 -0.140  -1.097 -0.140  -1.014 -0.140  -0.931 -0.140  -0.848 -0.140  -0.764 -0.140  -0.681 -0.140  -0.598 -0.140  -0.514 -0.140  -0.431 -0.140  -0.348 -0.140  -0.265 -0.140  -0.181 -0.140  -0.098 -0.140  -0.015 -0.140  0.068 -0.140  0.152 -0.140  0.235 -0.138  0.309 -0.101  0.383 -0.063  0.458 -0.026  0.536 -0.006  0.620 -0.006  0.703 -0.006  0.786 -0.006  0.870 -0.006  0.953 -0.006  1.036 -0.006  1.119 -0.006  1.203 -0.006  1.286 -0.006  1.362 0.024  1.436 0.061  1.511 0.099  1.587 0.128  1.671 0.128  1.754 0.128  1.837 0.128
2#tos#f2#f2068065/.  0.000 1.698  0.000 1.628  0.000 1.559  0.000 1.490  0.000 1.421  0.000 1.351  0.000 1.282  0.000 1.213  0.000 1.143  0.000 1.074  0.000 1.005  0.000 0.935  0.000 0.866  0.000 0.797  0.000 0.728  0.000 0.658  0.000 0.589  0.000 0.520  0.000 0.450  0.000 0.381  0.000 0.312  0.000 0.243  0.000 0.173  0.000 0.104  0.000 0.035  0.000 -0.035  0.000 -0.104  0.000 -0.173  0.000 -0.243  0.000 -0.312  0.000 -0.381  0.000 -0.450  0.000 -0.520  0.000 -0.589  0.000 -0.658  0.000 -0.728  0.000 -0.797  0.000 -0.866  0.000 -0.935  0.000 -1.005  0.000 -1.074  0.000 -1.143  0.000 -1.213  0.000 -1.282  0.000 -1.351  0.000 -1.421  0.000 -1.490  0.000 -1.559  0.000 -1.628  0.000 -1.698
