3#apa#apa01#app0122/k  -1.046 1.326  -0.917 1.426  -0.917 1.255  -0.795 1.075  -0.787 0.849  -0.787 0.619  -0.765 0.399  -0.658 0.213  -0.658 -0.016  -0.658 -0.246  -0.573 -0.440  -0.529 -0.652  -0.400 -0.752  -0.400 -0.982  -0.400 -1.211  -0.342 -1.088  -0.270 -0.870  -0.197 -0.652  -0.124 -0.434  -0.052 -0.216  0.021 0.001  0.093 0.219  0.166 0.437  0.239 0.655  0.311 0.873  0.384 1.091  0.457 1.309  0.506 1.380  0.506 1.151  0.488 0.938  0.376 0.821  0.288 0.680  0.247 0.491  0.118 0.390  0.116 0.161  -0.012 -0.015  -0.117 -0.201  -0.141 -0.421  -0.270 -0.522  -0.135 -0.607  0.044 -0.484  0.273 -0.484  0.503 -0.484  0.603 -0.613  0.779 -0.743  0.893 -0.858  1.023 -0.959  1.081 -1.130  1.152 -1.289  1.281 -1.389
3#apa#apa01#app0122/e  -0.536 0.030  -0.389 0.030  -0.242 0.030  -0.217 0.152  -0.108 0.190  -0.057 0.286  0.002 0.409  0.103 0.514  0.103 0.661  0.103 0.808  0.103 0.955  0.103 1.102  0.032 1.219  -0.078 1.309  -0.224 1.309  -0.371 1.309  -0.376 1.167  -0.468 1.058  -0.536 0.939  -0.536 0.792  -0.561 0.670  -0.696 0.658  -0.696 0.511  -0.696 0.364  -0.696 0.217  -0.696 0.070  -0.696 -0.077  -0.696 -0.224  -0.696 -0.371  -0.647 -0.498  -0.543 -0.602  -0.399 -0.609  -0.376 -0.733  -0.265 -0.769  -0.217 -0.867  -0.131 -0.928  0.016 -0.928  0.163 -0.928  0.310 -0.928  0.457 -0.928  0.604 -0.928  0.751 -0.928  0.898 -0.928  1.003 -0.827  1.126 -0.769  1.222 -0.717  1.260 -0.609  1.407 -0.609  1.541 -0.596  1.541 -0.449
3#apa#apa01#app0122/e  -0.310 -0.068  -0.152 -0.068  -0.126 0.065  -0.050 0.192  0.063 0.299  0.222 0.299  0.241 0.439  0.241 0.597  0.329 0.667  0.424 0.730  0.424 0.888  0.412 1.034  0.253 1.034  0.241 1.179  0.121 1.217  -0.038 1.217  -0.126 1.148  -0.171 1.034  -0.310 1.015  -0.310 0.856  -0.462 0.850  -0.494 0.724  -0.565 0.595  -0.677 0.483  -0.677 0.325  -0.810 0.299  -0.861 0.192  -0.861 0.033  -0.861 -0.125  -0.829 -0.251  -0.677 -0.258  -0.677 -0.416  -0.677 -0.574  -0.597 -0.699  -0.481 -0.802  -0.323 -0.802  -0.310 -0.948  -0.190 -0.986  -0.031 -0.986  0.127 -0.986  0.285 -0.986  0.443 -0.986  0.602 -0.986  0.760 -0.986  0.918 -0.986  1.076 -0.986  1.235 -0.986  1.342 -0.935  1.368 -0.802  1.526 -0.802
3#apa#apa01#app0122/p  -0.621 0.814  -0.621 0.593  -0.621 0.372  -0.554 0.217  -0.471 0.078  -0.471 -0.143  -0.471 -0.364  -0.322 -0.437  -0.322 -0.658  -0.271 -0.828  -0.173 -0.951  -0.173 -1.173  -0.089 -1.359  -0.024 -1.554  -0.024 -1.775  -0.024 -1.749  -0.024 -1.528  -0.024 -1.307  -0.053 -1.097  -0.173 -0.926  -0.173 -0.704  -0.206 -0.496  -0.322 -0.323  -0.322 -0.102  -0.322 0.119  -0.322 0.341  -0.322 0.562  -0.322 0.784  -0.322 1.005  -0.209 1.113  -0.137 1.262  -0.024 1.370  0.157 1.412  0.378 1.412  0.574 1.386  0.671 1.262  0.723 1.092  0.816 0.964  0.872 0.799  0.872 0.578  0.872 0.356  0.872 0.135  0.723 0.063  0.646 -0.081  0.424 -0.081  0.352 -0.231  0.173 -0.129  -0.029 -0.081  -0.250 -0.081  -0.322 0.068
3#apa#apa01#app0122/v  -1.274 0.843  -1.274 0.711  -1.172 0.681  -1.039 0.681  -0.949 0.639  -0.941 0.510  -0.847 0.416  -0.786 0.309  -0.786 0.177  -0.786 0.044  -0.668 0.030  -0.624 -0.058  -0.583 -0.173  -0.489 -0.267  -0.461 -0.388  -0.398 -0.458  -0.298 -0.490  -0.297 -0.622  -0.203 -0.716  -0.110 -0.809  -0.016 -0.903  0.027 -1.018  0.027 -1.150  0.038 -1.271  0.171 -1.271  0.189 -1.157  0.189 -1.024  0.189 -0.892  0.213 -0.783  0.345 -0.783  0.352 -0.657  0.352 -0.525  0.352 -0.393  0.377 -0.270  0.470 -0.177  0.515 -0.063  0.515 0.070  0.515 0.202  0.515 0.334  0.593 0.434  0.677 0.532  0.677 0.664  0.677 0.797  0.677 0.929  0.733 1.006  0.840 1.031  0.840 1.164  0.930 1.259  1.002 1.361  1.002 1.494
3#apa#apa01#app0122/e  -0.235 -0.040  -0.073 -0.040  0.089 -0.040  0.101 0.110  0.245 0.128  0.408 0.128  0.438 0.260  0.438 0.422  0.523 0.549  0.606 0.677  0.606 0.839  0.574 0.970  0.438 0.996  0.418 1.138  0.255 1.138  0.093 1.138  -0.069 1.138  -0.231 1.138  -0.394 1.138  -0.404 0.986  -0.550 0.970  -0.572 0.829  -0.667 0.706  -0.741 0.575  -0.741 0.412  -0.787 0.296  -0.909 0.256  -0.909 0.094  -0.909 -0.069  -0.909 -0.231  -0.893 -0.377  -0.741 -0.387  -0.736 -0.546  -0.574 -0.546  -0.572 -0.706  -0.418 -0.714  -0.299 -0.819  -0.163 -0.882  -0.001 -0.882  0.101 -0.943  0.156 -1.051  0.318 -1.051  0.480 -1.051  0.642 -1.051  0.805 -1.051  0.943 -1.026  0.961 -0.882  1.123 -0.882  1.286 -0.882  1.448 -0.882
3#apa#apa01#app0122/x  -1.083 1.169  -0.929 1.015  -0.898 0.810  -0.712 0.778  -0.660 0.612  -0.526 0.527  -0.444 0.344  -0.341 0.168  -0.267 -0.019  -0.155 -0.191  -0.063 -0.317  0.031 -0.441  0.031 -0.659  0.216 -0.691  0.252 -0.874  0.402 -0.942  0.502 -1.059  0.720 -1.059  0.762 -0.895  0.746 -0.677  0.731 -0.460  0.715 -0.243  0.700 -0.025  0.684 0.192  0.669 0.410  0.653 0.627  0.638 0.844  0.622 1.062  0.606 1.279  0.591 1.497  0.588 1.366  0.442 1.209  0.402 1.007  0.265 0.846  0.216 0.648  0.035 0.612  0.002 0.426  -0.155 0.365  -0.155 0.147  -0.155 -0.071  -0.155 -0.289  -0.341 -0.321  -0.366 -0.528  -0.521 -0.682  -0.526 -0.898  -0.583 -1.059  -0.712 -1.148  -0.712 -1.366  -0.865 -1.431  -0.898 -1.616
3#apa#apa01#app0122/i  -0.291 0.329  -0.207 0.245  -0.124 0.161  -0.096 0.055  -0.096 -0.064  -0.096 -0.182  -0.096 -0.300  -0.096 -0.419  -0.012 -0.453  0.100 -0.460  0.100 -0.578  0.100 -0.696  0.100 -0.815  0.100 -0.933  0.100 -1.051  0.100 -1.170  0.100 -1.288  0.100 -1.406  0.194 -1.431  0.292 -1.414  0.273 -1.297  0.254 -1.180  0.234 -1.063  0.215 -0.947  0.195 -0.830  0.176 -0.713  0.156 -0.597  0.137 -0.480  0.117 -0.363  0.098 -0.246  0.078 -0.130  0.059 -0.013  0.040 0.104  0.020 0.221  0.001 0.337  -0.019 0.454  -0.038 0.571  -0.058 0.687  -0.077 0.804  -0.097 0.921  -0.116 1.038  -0.136 1.154  -0.155 1.271  -0.174 1.388  -0.194 1.505  -0.213 1.621  -0.233 1.738  -0.252 1.855  -0.272 1.971  -0.291 2.088
3#apa#apa01#app0122/n  -1.187 0.417  -1.070 0.300  -0.994 0.167  -0.966 0.031  -0.801 0.030  -0.801 -0.134  -0.704 -0.259  -0.608 -0.384  -0.608 -0.549  -0.608 -0.714  -0.471 -0.742  -0.415 -0.850  -0.415 -1.015  -0.415 -1.180  -0.415 -1.297  -0.415 -1.132  -0.415 -0.968  -0.415 -0.803  -0.415 -0.638  -0.415 -0.473  -0.415 -0.308  -0.415 -0.144  -0.415 0.021  -0.415 0.186  -0.415 0.351  -0.415 0.516  -0.415 0.680  -0.372 0.803  -0.222 0.817  -0.222 0.982  -0.071 0.996  0.094 0.996  0.259 0.996  0.424 0.996  0.588 0.996  0.744 0.986  0.744 0.822  0.744 0.657  0.861 0.610  0.937 0.520  0.937 0.355  0.970 0.224  1.130 0.219  1.130 0.054  1.130 -0.111  1.130 -0.276  1.130 -0.440  1.130 -0.605  1.130 -0.770  1.130 -0.935
3#apa#apa01#app0122/g  0.111 0.489  0.207 0.603  0.207 0.756  0.207 0.909  0.207 1.063  0.153 1.161  0.096 1.257  -0.058 1.257  -0.173 1.165  -0.272 1.109  -0.286 0.969  -0.368 0.899  -0.400 0.777  -0.464 0.688  -0.464 0.535  -0.453 0.393  -0.368 0.324  -0.272 0.267  -0.185 0.201  -0.080 0.250  0.026 0.297  0.111 0.365  0.207 0.422  0.294 0.489  0.303 0.633  0.303 0.786  0.303 0.807  0.303 0.654  0.303 0.501  0.303 0.347  0.303 0.194  0.303 0.041  0.217 -0.077  0.207 -0.226  0.207 -0.379  0.207 -0.533  0.207 -0.686  0.207 -0.839  0.207 -0.992  0.207 -1.146  0.207 -1.299  0.111 -1.356  0.033 -1.431  -0.025 -1.527  -0.082 -1.623  -0.235 -1.623  -0.293 -1.718  -0.446 -1.718  -0.599 -1.718  -0.752 -1.718
3#apa#apa01#app0122/m  -1.301 0.525  -1.170 0.466  -1.052 0.394  -1.038 0.217  -1.038 0.027  -1.038 -0.163  -1.038 -0.354  -0.934 -0.500  -0.907 -0.680  -0.907 -0.870  -0.907 -0.783  -0.907 -0.592  -0.907 -0.402  -0.907 -0.212  -0.907 -0.022  -0.880 0.158  -0.775 0.305  -0.674 0.394  -0.624 0.545  -0.480 0.657  -0.289 0.657  -0.118 0.638  -0.118 0.448  0.014 0.389  0.014 0.199  0.100 0.044  0.145 -0.128  0.145 -0.318  0.145 -0.508  0.277 -0.567  0.277 -0.560  0.277 -0.369  0.277 -0.179  0.277 0.011  0.277 0.201  0.277 0.392  0.408 0.451  0.524 0.525  0.714 0.525  0.904 0.525  1.095 0.525  1.197 0.437  1.208 0.252  1.329 0.111  1.329 -0.079  1.426 -0.229  1.460 -0.405  1.509 -0.575  1.592 -0.731  1.723 -0.790
