2#apa#apa02#app0201/w  -1.454 0.879  -1.313 0.866  -1.313 0.713  -1.286 0.571  -1.177 0.462  -1.167 0.317  -1.032 0.298  -1.032 0.144  -1.000 0.004  -0.892 -0.105  -0.879 -0.246  -0.751 -0.271  -0.751 -0.424  -0.751 -0.578  -0.687 -0.668  -0.610 -0.744  -0.610 -0.719  -0.508 -0.668  -0.470 -0.552  -0.342 -0.527  -0.329 -0.386  -0.316 -0.246  -0.188 -0.220  -0.188 -0.066  -0.188 0.087  -0.124 0.176  -0.048 0.254  0.043 0.317  0.093 0.213  0.209 0.176  0.233 0.047  0.374 0.034  0.384 -0.115  0.493 -0.224  0.601 -0.332  0.732 -0.386  0.796 -0.476  0.898 -0.527  0.936 -0.411  1.065 -0.386  1.077 -0.245  1.087 -0.096  1.195 0.013  1.218 0.157  1.218 0.311  1.322 0.421  1.358 0.559  1.358 0.713  1.358 0.866  1.358 1.020
2#apa#apa02#app0201/a  0.264 -0.062  0.439 -0.062  0.456 0.095  0.456 0.270  0.456 0.444  0.380 0.587  0.264 0.714  0.264 0.888  0.097 0.895  -0.078 0.895  -0.252 0.895  -0.427 0.895  -0.601 0.895  -0.775 0.895  -0.884 0.829  -0.933 0.703  -1.098 0.681  -1.221 0.557  -1.267 0.402  -1.267 0.227  -1.267 0.053  -1.267 -0.121  -1.224 -0.253  -1.075 -0.279  -1.067 -0.445  -0.892 -0.445  -0.767 -0.562  -0.623 -0.636  -0.448 -0.636  -0.274 -0.636  -0.100 -0.636  0.075 -0.636  0.249 -0.636  0.264 -0.477  0.264 -0.302  0.390 -0.253  0.456 -0.145  0.456 0.029  0.530 0.129  0.705 0.129  0.839 0.089  0.855 -0.079  0.979 -0.202  1.030 -0.355  1.030 -0.530  1.098 -0.636  1.221 -0.687  1.255 -0.828  1.430 -0.828  1.604 -0.828
2#apa#apa02#app0201/s  -0.246 1.157  -0.389 1.157  -0.421 1.045  -0.502 0.982  -0.596 0.932  -0.614 0.807  -0.758 0.807  -0.902 0.807  -0.946 0.707  -1.014 0.632  -1.121 0.595  -1.117 0.453  -1.015 0.351  -0.900 0.282  -0.761 0.292  -0.659 0.394  -0.541 0.457  -0.397 0.457  -0.254 0.457  -0.110 0.457  0.034 0.457  0.178 0.457  0.322 0.457  0.455 0.446  0.455 0.303  0.578 0.282  0.722 0.282  0.805 0.221  0.834 0.107  0.978 0.107  0.980 -0.035  0.980 -0.179  0.980 -0.322  0.980 -0.466  0.980 -0.610  0.980 -0.754  0.851 -0.768  0.736 -0.838  0.634 -0.939  0.492 -0.943  0.455 -1.050  0.379 -1.119  0.236 -1.119  0.092 -1.119  -0.052 -1.119  -0.196 -1.119  -0.246 -1.025  -0.308 -0.943  -0.452 -0.943  -0.596 -0.943
2#apa#apa02#app0201/o  -0.622 0.678  -0.717 0.582  -0.816 0.494  -0.951 0.494  -0.988 0.397  -1.037 0.311  -1.172 0.310  -1.172 0.175  -1.172 0.041  -1.172 -0.094  -1.172 -0.229  -1.046 -0.239  -0.988 -0.316  -0.960 -0.422  -0.825 -0.422  -0.724 -0.504  -0.628 -0.599  -0.496 -0.606  -0.384 -0.660  -0.288 -0.756  -0.167 -0.789  -0.032 -0.789  0.103 -0.789  0.238 -0.789  0.373 -0.789  0.508 -0.789  0.643 -0.789  0.778 -0.789  0.845 -0.721  0.859 -0.592  0.954 -0.497  1.028 -0.392  1.028 -0.257  1.028 -0.122  1.028 0.012  1.028 0.147  1.028 0.282  1.028 0.417  0.987 0.535  0.892 0.631  0.776 0.678  0.662 0.698  0.662 0.833  0.555 0.861  0.420 0.861  0.285 0.861  0.150 0.861  0.015 0.861  -0.120 0.861  -0.255 0.861
2#apa#apa02#app0201/n  -1.102 0.121  -1.102 -0.027  -0.968 -0.042  -0.938 -0.161  -0.938 -0.309  -0.850 -0.370  -0.774 -0.443  -0.733 -0.574  -0.628 -0.679  -0.611 -0.821  -0.502 -0.861  -0.447 -0.767  -0.502 -0.641  -0.608 -0.536  -0.611 -0.389  -0.611 -0.240  -0.611 -0.092  -0.710 -0.042  -0.774 0.042  -0.774 0.190  -0.774 0.339  -0.747 0.476  -0.642 0.581  -0.537 0.686  -0.425 0.776  -0.277 0.776  -0.128 0.776  0.020 0.776  0.132 0.864  0.250 0.940  0.398 0.940  0.535 0.928  0.535 0.779  0.680 0.776  0.829 0.776  0.862 0.661  0.862 0.512  0.862 0.364  0.862 0.215  0.862 0.066  0.890 -0.071  0.996 -0.176  1.026 -0.312  1.026 -0.460  1.026 -0.609  1.026 -0.757  1.026 -0.906  1.056 -1.024  1.205 -1.024  1.353 -1.024
2#apa#apa02#app0201/l  -0.314 1.679  -0.314 1.605  -0.314 1.531  -0.314 1.456  -0.314 1.382  -0.314 1.308  -0.314 1.234  -0.265 1.180  -0.213 1.127  -0.164 1.073  -0.164 0.999  -0.164 0.925  -0.164 0.850  -0.163 0.777  -0.110 0.724  -0.058 0.672  -0.014 0.615  -0.014 0.541  -0.014 0.467  -0.014 0.393  -0.014 0.318  -0.014 0.244  -0.014 0.170  -0.014 0.096  -0.014 0.021  -0.014 -0.053  -0.011 -0.126  0.042 -0.178  0.094 -0.231  0.136 -0.288  0.136 -0.362  0.136 -0.436  0.136 -0.510  0.136 -0.585  0.136 -0.659  0.136 -0.733  0.136 -0.807  0.136 -0.882  0.136 -0.956  0.136 -1.030  0.136 -1.104  0.136 -1.179  0.136 -1.253  0.140 -1.322  0.215 -1.322  0.286 -1.326  0.286 -1.400  0.286 -1.474  0.286 -1.548  0.286 -1.623
2#apa#apa02#app0201/y  -1.156 0.748  -1.156 0.595  -1.069 0.479  -0.974 0.365  -0.974 0.213  -0.833 0.201  -0.713 0.122  -0.603 0.019  -0.450 0.019  -0.297 0.019  -0.145 0.019  -0.063 -0.052  -0.021 -0.163  0.131 -0.163  0.284 -0.163  0.302 -0.028  0.302 0.125  0.302 0.278  0.302 0.430  0.302 0.583  0.302 0.736  0.302 0.889  0.302 1.041  0.302 1.194  0.302 1.347  0.302 1.455  0.302 1.302  0.302 1.149  0.302 0.997  0.302 0.844  0.302 0.691  0.302 0.538  0.302 0.386  0.302 0.233  0.302 0.080  0.261 -0.063  0.192 -0.199  0.124 -0.336  0.119 -0.488  0.119 -0.640  0.119 -0.793  0.119 -0.946  0.119 -1.099  0.119 -1.251  0.119 -1.404  0.119 -1.557  0.119 -1.709  0.119 -1.862  0.119 -2.015  0.119 -2.168
2#apa#apa02#app0201/t  -0.453 1.959  -0.317 1.823  -0.253 1.657  -0.157 1.560  -0.054 1.471  0.004 1.303  0.140 1.167  0.145 0.977  0.145 0.784  0.145 0.592  0.145 0.400  0.145 0.207  0.145 0.015  0.247 -0.135  0.345 -0.287  0.345 -0.479  0.345 -0.672  0.345 -0.864  0.363 -1.049  0.499 -1.185  0.544 -1.359  0.666 -1.429  0.743 -1.314  0.659 -1.163  0.509 -1.042  0.359 -0.922  0.208 -0.802  0.058 -0.682  -0.092 -0.562  -0.242 -0.442  -0.392 -0.321  -0.543 -0.201  -0.693 -0.081  -0.843 0.039  -0.993 0.159  -1.143 0.279  -1.210 0.325  -1.074 0.189  -0.892 0.165  -0.699 0.165  -0.549 0.063  -0.397 -0.034  -0.205 -0.034  -0.012 -0.034  0.180 -0.034  0.372 -0.034  0.565 -0.034  0.757 -0.034  0.949 -0.034  1.142 -0.034
2#apa#apa02#app0201/o  -0.444 0.593  -0.592 0.593  -0.644 0.497  -0.688 0.392  -0.836 0.392  -0.845 0.252  -0.845 0.104  -0.880 -0.008  -1.028 -0.008  -1.045 -0.140  -1.045 -0.288  -1.018 -0.409  -0.870 -0.409  -0.845 -0.533  -0.794 -0.660  -0.690 -0.765  -0.560 -0.810  -0.444 -0.842  -0.444 -0.990  -0.316 -1.010  -0.168 -1.010  -0.019 -1.010  0.129 -1.010  0.277 -1.010  0.405 -0.963  0.510 -0.858  0.558 -0.729  0.587 -0.610  0.735 -0.610  0.758 -0.485  0.758 -0.337  0.773 -0.195  0.878 -0.090  0.959 0.025  0.959 0.173  0.959 0.321  0.959 0.469  0.959 0.618  0.959 0.766  0.838 0.793  0.758 0.862  0.742 0.993  0.594 0.993  0.445 0.993  0.297 0.993  0.149 0.993  0.001 0.993  -0.147 0.993  -0.296 0.993  -0.444 0.993
2#apa#apa02#app0201/o  -1.053 0.623  -1.053 0.482  -1.053 0.340  -1.053 0.199  -1.053 0.057  -1.053 -0.084  -1.053 -0.225  -1.053 -0.367  -0.978 -0.432  -0.842 -0.438  -0.842 -0.580  -0.764 -0.643  -0.631 -0.652  -0.631 -0.793  -0.551 -0.854  -0.410 -0.854  -0.269 -0.854  -0.127 -0.854  0.014 -0.854  0.156 -0.854  0.297 -0.854  0.438 -0.854  0.580 -0.854  0.635 -0.768  0.647 -0.631  0.747 -0.531  0.846 -0.431  0.846 -0.290  0.846 -0.148  0.849 -0.010  0.990 -0.010  1.057 0.065  1.057 0.206  1.057 0.348  1.057 0.489  1.052 0.628  0.952 0.728  0.852 0.828  0.713 0.834  0.571 0.834  0.430 0.834  0.289 0.834  0.147 0.834  0.006 0.834  -0.136 0.834  -0.277 0.834  -0.418 0.834  -0.560 0.834  -0.631 0.764  -0.631 0.623
2#apa#apa02#app0201/p  -0.693 0.567  -0.477 0.567  -0.382 0.447  -0.382 0.231  -0.382 0.015  -0.382 -0.200  -0.347 -0.401  -0.227 -0.567  -0.227 -0.783  -0.227 -0.998  -0.176 -1.193  -0.071 -1.365  -0.071 -1.581  -0.040 -1.764  0.084 -1.672  -0.023 -1.501  -0.071 -1.306  -0.109 -1.105  -0.227 -0.939  -0.227 -0.723  -0.346 -0.557  -0.382 -0.356  -0.382 -0.141  -0.474 0.037  -0.538 0.226  -0.538 0.442  -0.538 0.657  -0.538 0.873  -0.382 0.933  -0.301 1.115  -0.116 1.189  -0.055 1.344  0.160 1.344  0.376 1.344  0.579 1.315  0.743 1.189  0.861 1.092  0.862 0.877  1.015 0.724  1.017 0.509  1.017 0.294  0.891 0.130  0.843 -0.055  0.627 -0.055  0.452 -0.153  0.260 -0.210  0.102 -0.073  -0.106 -0.055  -0.227 0.040  -0.227 0.256
