1c#app#app13#app1396/v  -0.647 1.285  -0.647 1.419  -0.647 1.471  -0.647 1.337  -0.647 1.204  -0.647 1.070  -0.647 0.937  -0.634 0.806  -0.575 0.687  -0.515 0.568  -0.455 0.448  -0.421 0.323  -0.421 0.189  -0.421 0.056  -0.421 -0.078  -0.421 -0.211  -0.389 -0.332  -0.295 -0.426  -0.200 -0.521  -0.194 -0.652  -0.194 -0.785  -0.194 -0.919  -0.143 -1.031  -0.048 -1.125  0.032 -1.226  0.032 -1.359  0.092 -1.432  0.226 -1.432  0.258 -1.331  0.258 -1.198  0.258 -1.064  0.293 -0.945  0.387 -0.851  0.482 -0.756  0.485 -0.624  0.485 -0.490  0.485 -0.357  0.485 -0.223  0.485 -0.090  0.485 0.044  0.485 0.177  0.485 0.311  0.485 0.444  0.485 0.578  0.485 0.711  0.485 0.845  0.485 0.978  0.523 1.096  0.617 1.191  0.711 1.285
1c#app#app13#app1396/e  -0.843 0.132  -0.693 0.132  -0.556 0.144  -0.556 0.293  -0.533 0.419  -0.384 0.419  -0.235 0.419  -0.085 0.419  0.018 0.465  0.018 0.614  0.075 0.706  0.224 0.706  0.353 0.754  0.459 0.860  0.564 0.965  0.591 1.103  0.591 1.252  0.468 1.279  0.319 1.279  0.209 1.184  0.104 1.079  -0.001 0.973  -0.107 0.868  -0.212 0.762  -0.269 0.637  -0.269 0.488  -0.326 0.362  -0.431 0.257  -0.537 0.151  -0.556 0.010  -0.556 -0.139  -0.556 -0.288  -0.556 -0.437  -0.411 -0.441  -0.269 -0.449  -0.269 -0.598  -0.269 -0.747  -0.269 -0.896  -0.238 -1.015  -0.089 -1.015  0.047 -1.045  0.153 -1.150  0.258 -1.255  0.388 -1.301  0.537 -1.301  0.687 -1.301  0.836 -1.301  0.953 -1.377  1.059 -1.483  1.164 -1.588
1c#app#app13#app1396/x  -1.492 1.143  -1.492 0.932  -1.492 0.721  -1.353 0.649  -1.142 0.649  -0.951 0.602  -0.802 0.453  -0.653 0.303  -0.504 0.154  -0.354 0.005  -0.205 -0.144  -0.056 -0.293  -0.011 -0.485  -0.011 -0.696  0.064 -0.832  0.275 -0.832  0.483 -0.834  0.483 -1.045  0.483 -1.256  0.511 -1.187  0.552 -0.980  0.593 -0.774  0.635 -0.567  0.676 -0.360  0.717 -0.153  0.759 0.053  0.800 0.260  0.841 0.467  0.883 0.674  0.924 0.880  0.965 1.087  0.976 0.988  0.976 0.777  0.894 0.649  0.683 0.649  0.473 0.649  0.262 0.649  0.051 0.649  -0.011 0.500  -0.011 0.289  -0.088 0.155  -0.299 0.155  -0.504 0.150  -0.504 -0.061  -0.504 -0.272  -0.504 -0.482  -0.504 -0.693  -0.504 -0.904  -0.504 -1.115  -0.504 -1.326
1c#app#app13#app1396/i  -0.153 -1.571  -0.153 -1.492  -0.153 -1.412  -0.153 -1.332  -0.153 -1.252  -0.142 -1.183  -0.062 -1.183  0.018 -1.183  0.098 -1.183  0.178 -1.183  0.233 -1.161  0.222 -1.082  0.211 -1.003  0.199 -0.924  0.188 -0.845  0.177 -0.766  0.165 -0.687  0.154 -0.608  0.143 -0.529  0.131 -0.449  0.120 -0.370  0.109 -0.291  0.098 -0.212  0.086 -0.133  0.075 -0.054  0.064 0.025  0.052 0.104  0.041 0.183  0.030 0.263  0.018 0.342  0.007 0.421  -0.004 0.500  -0.015 0.579  -0.027 0.658  -0.038 0.737  -0.049 0.816  -0.061 0.895  -0.072 0.975  -0.083 1.054  -0.095 1.133  -0.106 1.212  -0.117 1.291  -0.128 1.370  -0.140 1.449  -0.151 1.528  -0.153 1.470  -0.153 1.390  -0.153 1.310  -0.153 1.230  -0.153 1.150
1c#app#app13#app1396/n  -0.582 -0.051  -0.582 -0.190  -0.582 -0.328  -0.582 -0.466  -0.582 -0.605  -0.582 -0.743  -0.582 -0.881  -0.582 -1.020  -0.582 -1.158  -0.582 -1.296  -0.582 -1.435  -0.582 -1.348  -0.582 -1.209  -0.545 -1.108  -0.406 -1.108  -0.268 -1.108  -0.230 -1.008  -0.230 -0.870  -0.230 -0.732  -0.230 -0.593  -0.230 -0.455  -0.230 -0.317  -0.230 -0.178  -0.230 -0.040  -0.230 0.098  -0.230 0.237  -0.177 0.353  -0.079 0.451  0.018 0.549  0.116 0.647  0.123 0.782  0.123 0.921  0.123 1.059  0.123 1.197  0.123 1.336  0.239 1.357  0.377 1.357  0.475 1.317  0.475 1.178  0.475 1.040  0.548 0.932  0.646 0.834  0.744 0.736  0.827 0.633  0.827 0.494  0.827 0.356  0.886 0.242  0.984 0.144  1.081 0.046  1.179 -0.051
1c#app#app13#app1396/g  -0.233 1.009  -0.329 1.009  -0.421 0.998  -0.489 0.930  -0.557 0.862  -0.641 0.832  -0.738 0.832  -0.834 0.832  -0.930 0.832  -0.941 0.747  -0.937 0.655  -0.840 0.655  -0.744 0.655  -0.648 0.655  -0.551 0.655  -0.455 0.655  -0.359 0.655  -0.263 0.655  -0.166 0.655  -0.070 0.655  0.026 0.655  0.122 0.654  0.190 0.586  0.258 0.518  0.298 0.438  0.298 0.342  0.298 0.245  0.298 0.149  0.349 0.074  0.417 0.006  0.475 -0.067  0.475 -0.163  0.475 -0.259  0.475 -0.356  0.475 -0.452  0.475 -0.548  0.475 -0.644  0.475 -0.741  0.475 -0.837  0.475 -0.933  0.475 -1.030  0.475 -1.126  0.475 -1.222  0.475 -1.319  0.475 -1.415  0.445 -1.499  0.377 -1.567  0.309 -1.635  0.217 -1.646  0.121 -1.646
1c#app#app13#app1396/d  0.388 -0.256  0.388 -0.037  0.313 0.107  0.206 0.220  0.072 0.356  -0.124 0.454  -0.339 0.470  -0.494 0.315  -0.649 0.160  -0.702 -0.037  -0.831 -0.203  -0.884 -0.400  -0.884 -0.619  -0.884 -0.838  -0.884 -1.057  -0.884 -1.277  -0.778 -1.452  -0.590 -1.528  -0.371 -1.528  -0.207 -1.395  -0.157 -1.197  -0.025 -1.032  0.071 -0.841  0.141 -0.633  0.206 -0.425  0.242 -0.220  0.388 -0.062  0.388 0.158  0.388 0.377  0.388 0.596  0.388 0.815  0.388 1.034  0.348 1.237  0.206 1.397  0.206 1.616  0.113 1.742  0.024 1.611  0.024 1.392  0.024 1.173  0.068 0.972  0.206 0.810  0.225 0.594  0.295 0.386  0.364 0.178  0.388 -0.037  0.388 -0.256  0.543 -0.411  0.569 -0.620  0.596 -0.828  0.751 -0.983
1c#app#app13#app1396/a  -0.134 1.075  -0.260 1.075  -0.386 1.075  -0.512 1.075  -0.639 1.075  -0.765 1.075  -0.891 1.075  -0.958 1.016  -0.958 0.890  -0.958 0.764  -0.958 0.638  -0.958 0.512  -0.958 0.385  -0.958 0.259  -0.958 0.133  -0.958 0.007  -0.958 -0.119  -0.874 -0.161  -0.748 -0.161  -0.622 -0.161  -0.496 -0.161  -0.369 -0.161  -0.243 -0.161  -0.117 -0.161  0.009 -0.161  0.135 -0.161  0.261 -0.161  0.278 -0.052  0.278 0.074  0.278 0.200  0.354 0.251  0.480 0.251  0.606 0.251  0.690 0.209  0.690 0.083  0.690 -0.043  0.690 -0.170  0.690 -0.296  0.690 -0.422  0.690 -0.548  0.690 -0.674  0.690 -0.800  0.690 -0.926  0.757 -0.985  0.883 -0.985  1.010 -0.985  1.102 -1.019  1.102 -1.145  1.102 -1.271  1.102 -1.397
1c#app#app13#app1396/f  0.503 1.134  0.503 1.246  0.419 1.275  0.362 1.330  0.336 1.416  0.223 1.416  0.111 1.416  -0.001 1.416  -0.114 1.416  -0.202 1.392  -0.202 1.280  -0.278 1.199  -0.343 1.114  -0.343 1.001  -0.343 0.889  -0.343 0.777  -0.343 0.664  -0.343 0.552  -0.343 0.440  -0.298 0.338  -0.248 0.238  -0.202 0.136  -0.202 0.024  -0.202 -0.089  -0.181 -0.198  -0.146 -0.304  -0.110 -0.411  -0.075 -0.517  -0.061 -0.627  -0.061 -0.740  -0.053 -0.849  0.026 -0.928  0.080 -1.018  0.080 -1.131  0.080 -1.243  0.080 -1.355  0.103 -1.346  0.145 -1.242  0.187 -1.138  0.228 -1.033  0.270 -0.929  0.312 -0.825  0.354 -0.721  0.362 -0.789  0.301 -0.841  0.189 -0.841  0.077 -0.838  -0.002 -0.759  -0.090 -0.700  -0.202 -0.700
1c#app#app13#app1396/t  0.678 -0.105  0.532 -0.105  0.387 -0.105  0.242 -0.105  0.097 -0.105  -0.049 -0.105  -0.194 -0.105  -0.339 -0.105  -0.484 -0.105  -0.630 -0.105  -0.723 -0.073  -0.658 0.057  -0.593 0.187  -0.528 0.316  -0.463 0.446  -0.398 0.576  -0.333 0.706  -0.268 0.836  -0.203 0.966  -0.138 1.096  -0.073 1.226  -0.008 1.356  0.057 1.486  0.111 1.570  0.111 1.425  0.111 1.280  0.111 1.135  0.111 0.989  0.111 0.844  0.111 0.699  0.111 0.554  0.111 0.409  0.111 0.263  0.111 0.118  0.111 -0.027  0.111 -0.172  0.111 -0.318  0.111 -0.463  0.111 -0.608  0.111 -0.753  0.111 -0.899  0.111 -1.044  0.111 -1.189  0.111 -1.334  0.111 -1.480  0.184 -1.595  0.286 -1.697  0.389 -1.800  0.394 -1.943  0.394 -2.089
1c#app#app13#app1396/j  -0.018 0.803  0.099 0.791  0.099 0.661  0.099 0.531  0.099 0.401  0.099 0.271  0.099 0.141  0.099 0.012  0.099 -0.118  0.099 -0.248  0.099 -0.378  0.099 -0.508  0.099 -0.638  0.099 -0.768  0.099 -0.898  0.099 -1.028  0.099 -1.158  0.099 -1.288  0.000 -1.318  -0.018 -1.430  -0.024 -1.554  -0.136 -1.536  -0.131 -1.406  -0.126 -1.276  -0.122 -1.147  -0.117 -1.017  -0.112 -0.887  -0.108 -0.757  -0.103 -0.627  -0.099 -0.497  -0.094 -0.368  -0.089 -0.238  -0.085 -0.108  -0.080 0.022  -0.075 0.152  -0.071 0.282  -0.066 0.411  -0.061 0.541  -0.057 0.671  -0.052 0.801  -0.048 0.931  -0.043 1.061  -0.038 1.190  -0.034 1.320  -0.029 1.450  -0.024 1.580  -0.020 1.710  0.075 1.746  0.099 1.852  0.217 1.864
