2#app#app25#app2549/t  1.239 1.081  1.097 1.223  0.954 1.204  0.804 1.081  0.626 1.057  0.611 0.862  0.469 0.719  0.287 0.672  0.217 0.540  0.126 0.376  -0.029 0.263  -0.230 0.263  -0.432 0.263  -0.601 0.230  -0.631 0.058  -0.806 0.032  -0.806 -0.170  -0.820 -0.365  -0.963 -0.508  -1.010 -0.690  -1.010 -0.891  -0.919 -1.055  -0.765 -1.169  -0.563 -1.169  -0.361 -1.169  -0.160 -1.169  0.042 -1.169  0.243 -1.169  0.445 -1.169  0.646 -1.169  0.819 -1.155  0.696 -0.996  0.572 -0.837  0.448 -0.677  0.324 -0.518  0.201 -0.359  0.077 -0.200  -0.047 -0.041  -0.171 0.118  -0.294 0.277  -0.418 0.436  -0.542 0.595  -0.527 0.746  -0.379 0.876  -0.178 0.876  0.024 0.876  0.225 0.876  0.421 0.870  0.424 0.672  0.626 0.672
2#app#app25#app2549/h  1.044 2.006  0.945 1.857  0.845 1.707  0.745 1.557  0.645 1.407  0.521 1.278  0.431 1.135  0.411 0.964  0.284 0.836  0.226 0.680  0.226 0.501  0.177 0.370  0.022 0.345  0.022 0.165  0.022 -0.014  -0.133 -0.039  -0.275 -0.132  -0.402 -0.259  -0.529 -0.386  -0.592 -0.540  -0.659 -0.653  -0.839 -0.653  -1.018 -0.653  -1.198 -0.653  -1.206 -0.826  -1.058 -0.858  -0.878 -0.858  -0.797 -0.759  -0.723 -0.653  -0.557 -0.618  -0.430 -0.491  -0.387 -0.329  -0.320 -0.177  -0.193 -0.050  -0.017 -0.039  0.022 0.101  0.138 0.165  0.226 0.257  0.293 0.370  0.431 0.328  0.431 0.148  0.431 -0.032  0.431 -0.212  0.431 -0.392  0.431 -0.572  0.431 -0.752  0.431 -0.932  0.431 -1.112  0.455 -1.267  0.635 -1.267
2#app#app25#app2549/e  0.031 0.434  0.185 0.434  0.243 0.338  0.282 0.223  0.436 0.223  0.590 0.223  0.666 0.300  0.686 0.434  0.840 0.434  0.960 0.516  1.069 0.625  1.090 0.771  1.023 0.858  0.869 0.858  0.714 0.858  0.560 0.858  0.406 0.858  0.252 0.858  0.098 0.858  -0.056 0.858  -0.201 0.837  -0.310 0.728  -0.419 0.619  -0.528 0.510  -0.651 0.434  -0.805 0.434  -0.816 0.291  -0.901 0.223  -1.027 0.194  -1.027 0.040  -1.027 -0.114  -1.027 -0.268  -1.027 -0.422  -1.027 -0.576  -1.027 -0.730  -0.979 -0.836  -0.825 -0.836  -0.671 -0.836  -0.517 -0.836  -0.363 -0.836  -0.209 -0.836  -0.055 -0.836  0.079 -0.884  0.188 -0.993  0.320 -1.048  0.474 -1.048  0.628 -1.048  0.782 -1.048  0.936 -1.048  1.090 -1.048
2#app#app25#app2549/m  -1.815 -0.480  -1.741 -0.422  -1.682 -0.327  -1.557 -0.216  -1.453 -0.084  -1.286 0.062  -1.168 0.181  -1.064 0.313  -0.960 0.445  -0.723 0.445  -0.619 0.577  -0.492 0.687  -0.279 0.710  -0.043 0.710  0.037 0.553  0.037 0.316  -0.064 0.181  -0.168 0.048  -0.272 -0.084  -0.376 -0.216  -0.492 -0.336  -0.717 -0.348  -0.757 -0.417  -0.625 -0.313  -0.492 -0.209  -0.381 -0.084  -0.208 0.069  -0.018 0.181  0.086 0.313  0.323 0.313  0.559 0.313  0.698 0.216  0.698 -0.021  0.657 -0.216  0.433 -0.229  0.316 -0.348  0.257 -0.348  0.494 -0.348  0.682 -0.232  0.849 -0.065  1.016 0.102  1.183 0.269  1.401 0.313  1.491 0.167  1.491 -0.070  1.401 -0.216  1.315 -0.392  1.227 -0.369  1.310 -0.480  1.491 -0.613
2#app#app25#app2549/o  0.216 1.057  0.062 1.057  0.029 0.936  -0.060 0.871  -0.198 0.831  -0.307 0.722  -0.445 0.684  -0.530 0.615  -0.556 0.472  -0.665 0.363  -0.717 0.230  -0.751 0.090  -0.860 -0.019  -0.904 -0.155  -0.904 -0.309  -0.932 -0.435  -1.086 -0.435  -1.090 -0.585  -1.090 -0.739  -1.005 -0.808  -0.866 -0.846  -0.757 -0.955  -0.620 -0.995  -0.466 -0.995  -0.312 -0.995  -0.157 -0.995  -0.003 -0.995  0.151 -0.995  0.216 -0.906  0.273 -0.808  0.420 -0.791  0.529 -0.682  0.638 -0.573  0.747 -0.464  0.776 -0.322  0.856 -0.249  0.962 -0.200  0.962 -0.046  0.962 0.108  0.962 0.262  0.962 0.416  0.962 0.570  0.922 0.684  0.776 0.692  0.776 0.846  0.646 0.871  0.492 0.871  0.402 0.936  0.370 1.057  0.216 1.057
2#app#app25#app2549/c  1.228 0.811  1.228 0.931  1.204 1.027  1.084 1.027  0.964 1.027  0.845 1.027  0.725 1.027  0.605 1.027  0.485 1.027  0.366 1.027  0.246 1.027  0.134 1.009  0.049 0.924  -0.036 0.840  -0.064 0.732  -0.064 0.612  -0.168 0.596  -0.280 0.588  -0.280 0.468  -0.302 0.358  -0.387 0.273  -0.472 0.189  -0.556 0.104  -0.641 0.019  -0.710 -0.072  -0.710 -0.191  -0.756 -0.265  -0.876 -0.265  -0.926 -0.335  -0.926 -0.455  -0.926 -0.575  -0.926 -0.694  -0.807 -0.696  -0.688 -0.696  -0.568 -0.696  -0.448 -0.696  -0.329 -0.696  -0.280 -0.767  -0.280 -0.886  -0.185 -0.911  -0.065 -0.911  0.055 -0.911  0.174 -0.911  0.294 -0.911  0.414 -0.911  0.534 -0.911  0.653 -0.911  0.773 -0.911  0.797 -0.816  0.797 -0.696
2#app#app25#app2549/k  0.480 2.065  0.480 1.821  0.437 1.596  0.267 1.423  0.234 1.213  0.009 1.168  -0.159 0.994  -0.184 0.761  -0.356 0.589  -0.372 0.353  -0.410 0.147  -0.586 0.079  -0.655 -0.135  -0.827 -0.307  -0.999 -0.479  -1.012 -0.718  -0.981 -0.888  -0.809 -0.716  -0.609 -0.578  -0.406 -0.443  -0.204 -0.309  -0.001 -0.174  0.201 -0.039  0.404 0.096  0.606 0.231  0.808 0.366  1.011 0.501  1.006 0.573  0.762 0.573  0.570 0.450  0.364 0.360  0.120 0.360  0.054 0.184  -0.153 0.147  -0.372 0.123  -0.427 -0.066  -0.586 -0.150  -0.586 -0.394  -0.586 -0.347  -0.410 -0.279  -0.167 -0.279  0.007 -0.446  0.231 -0.492  0.267 -0.700  0.435 -0.874  0.480 -1.098  0.480 -1.342  0.508 -1.557  0.734 -1.598  0.906 -1.770
2#app#app25#app2549/j  0.569 0.735  0.569 0.586  0.569 0.437  0.548 0.309  0.462 0.245  0.462 0.096  0.356 0.054  0.356 -0.095  0.266 -0.207  0.249 -0.349  0.206 -0.480  0.143 -0.603  0.040 -0.649  -0.002 -0.756  -0.128 -0.813  -0.233 -0.918  -0.283 -1.047  -0.400 -1.085  -0.509 -1.182  -0.658 -1.182  -0.807 -1.182  -0.849 -1.075  -0.922 -0.999  -0.922 -0.850  -0.922 -0.701  -0.922 -0.552  -0.823 -0.444  -0.678 -0.436  -0.529 -0.436  -0.380 -0.436  -0.283 -0.489  -0.245 -0.456  -0.186 -0.319  -0.126 -0.182  -0.067 -0.046  -0.008 0.091  0.052 0.228  0.111 0.364  0.171 0.501  0.230 0.637  0.289 0.774  0.349 0.911  0.408 1.047  0.468 1.184  0.527 1.321  0.586 1.457  0.646 1.594  0.705 1.731  0.765 1.867  0.782 1.800
2#app#app25#app2549/u  0.082 1.450  -0.125 1.444  -0.138 1.243  -0.333 1.224  -0.358 1.035  -0.540 1.004  -0.540 0.790  -0.584 0.621  -0.748 0.570  -0.804 0.413  -0.955 0.350  -0.955 0.137  -1.031 -0.002  -1.163 -0.083  -1.163 -0.297  -1.163 -0.511  -1.163 -0.725  -1.056 -0.832  -0.842 -0.832  -0.628 -0.832  -0.415 -0.832  -0.333 -0.699  -0.195 -0.624  -0.125 -0.479  0.025 -0.417  0.193 -0.305  0.289 -0.132  0.373 -0.002  0.587 -0.002  0.801 -0.002  0.984 0.071  1.119 0.229  1.119 0.442  1.119 0.656  1.119 0.786  1.071 0.621  0.912 0.566  0.869 0.370  0.718 0.219  0.566 0.068  0.415 -0.083  0.254 -0.209  0.082 -0.251  0.082 -0.465  0.082 -0.679  0.125 -0.874  0.276 -1.026  0.484 -1.039  0.698 -1.039  0.912 -1.039
2#app#app25#app2549/r  0.942 1.485  0.764 1.485  0.694 1.377  0.668 1.211  0.542 1.085  0.417 0.959  0.291 0.834  0.199 0.694  0.199 0.517  0.044 0.494  -0.049 0.409  -0.049 0.231  -0.049 0.054  -0.171 -0.001  -0.296 -0.054  -0.296 -0.232  -0.410 -0.362  -0.535 -0.488  -0.709 -0.497  -0.792 -0.592  -0.810 -0.762  -0.935 -0.888  -1.061 -1.013  -1.186 -1.139  -1.263 -1.215  -1.137 -1.090  -1.040 -0.952  -1.040 -0.775  -0.892 -0.744  -0.737 -0.690  -0.611 -0.564  -0.486 -0.438  -0.360 -0.313  -0.235 -0.187  -0.109 -0.062  0.017 0.064  0.142 0.190  0.199 0.344  0.226 0.494  0.404 0.494  0.447 0.359  0.512 0.246  0.689 0.246  0.867 0.246  1.045 0.246  1.190 0.214  1.190 0.036  1.190 -0.141  1.190 -0.319  1.190 -0.497
2#app#app25#app2549/y  -0.052 1.318  -0.052 1.140  -0.093 1.003  -0.209 0.941  -0.292 0.846  -0.366 0.743  -0.366 0.565  -0.511 0.532  -0.523 0.366  -0.544 0.197  -0.670 0.071  -0.680 -0.102  -0.654 -0.254  -0.476 -0.254  -0.298 -0.254  -0.121 -0.254  0.057 -0.254  0.105 -0.124  0.256 -0.097  0.272 0.070  0.398 0.196  0.524 0.322  0.680 0.375  0.821 0.462  0.947 0.588  1.073 0.714  1.199 0.839  1.205 0.992  1.183 0.823  1.057 0.698  0.931 0.572  0.805 0.446  0.680 0.320  0.554 0.195  0.428 0.069  0.302 -0.057  0.177 -0.183  0.051 -0.308  -0.075 -0.434  -0.201 -0.560  -0.326 -0.686  -0.452 -0.811  -0.578 -0.937  -0.680 -1.072  -0.734 -1.197  -0.837 -1.271  -0.932 -1.354  -0.995 -1.470  -0.995 -1.647  -0.995 -1.825
