1b#tos#t1#t1002062/A  -0.779 -0.667  -0.940 -0.818  -1.153 -0.901  -1.300 -1.042  -1.268 -0.968  -1.155 -0.772  -1.015 -0.609  -0.897 -0.422  -0.793 -0.222  -0.652 -0.052  -0.574 0.167  -0.460 0.369  -0.338 0.564  -0.190 0.728  -0.028 0.891  0.087 1.068  0.207 1.244  0.380 1.389  0.442 1.603  0.579 1.637  0.582 1.406  0.582 1.174  0.582 0.941  0.582 0.708  0.582 0.476  0.582 0.243  0.582 0.010  0.582 -0.223  0.582 -0.455  0.582 -0.688  0.629 -0.910  0.634 -1.140  0.676 -1.355  0.598 -1.266  0.492 -1.060  0.386 -0.853  0.279 -0.646  0.173 -0.439  0.066 -0.232  -0.040 -0.025  -0.147 0.182  -0.302 0.145  -0.527 0.089  -0.517 0.084  -0.292 0.131  -0.059 0.131  0.174 0.131  0.399 0.084  0.631 0.084  0.770 0.084
1b#tos#t1#t1002062/C  0.794 0.653  0.713 0.614  0.601 0.622  0.601 0.742  0.601 0.862  0.592 0.980  0.562 1.093  0.506 1.169  0.395 1.206  0.285 1.232  0.180 1.197  0.069 1.160  -0.044 1.120  -0.114 1.032  -0.219 0.984  -0.286 0.886  -0.371 0.801  -0.404 0.695  -0.428 0.579  -0.501 0.490  -0.595 0.415  -0.635 0.314  -0.642 0.195  -0.665 0.078  -0.713 -0.025  -0.713 -0.145  -0.713 -0.265  -0.713 -0.385  -0.713 -0.505  -0.675 -0.619  -0.674 -0.739  -0.660 -0.857  -0.595 -0.933  -0.495 -0.999  -0.426 -1.086  -0.315 -1.125  -0.195 -1.125  -0.075 -1.125  0.015 -1.053  0.122 -1.001  0.231 -0.954  0.332 -0.892  0.446 -0.854  0.524 -0.812  0.584 -0.717  0.696 -0.700  0.798 -0.656  0.883 -0.572  0.983 -0.508  1.064 -0.468
1b#tos#t1#t1002062/D  0.342 1.378  0.204 1.277  0.115 1.077  0.024 0.902  -0.068 0.727  -0.149 0.531  -0.210 0.319  -0.312 0.122  -0.340 -0.097  -0.451 -0.275  -0.542 -0.474  -0.599 -0.687  -0.691 -0.889  -0.753 -1.090  -0.825 -1.296  -0.746 -1.285  -0.664 -1.076  -0.583 -0.868  -0.501 -0.660  -0.420 -0.451  -0.338 -0.243  -0.257 -0.034  -0.175 0.174  -0.093 0.382  -0.012 0.591  0.070 0.799  0.151 1.008  0.233 1.216  0.135 1.302  0.320 1.302  0.529 1.266  0.695 1.145  0.793 0.982  0.908 0.858  0.937 0.641  0.946 0.419  0.934 0.207  0.870 0.047  0.765 -0.114  0.660 -0.288  0.568 -0.462  0.455 -0.572  0.266 -0.607  0.188 -0.774  0.013 -0.866  -0.122 -0.963  -0.304 -1.038  -0.451 -1.144  -0.651 -1.189  -0.866 -1.227
1b#tos#t1#t1002062/E  -0.586 1.178  -0.804 1.178  -0.556 1.178  -0.314 1.211  -0.070 1.238  0.170 1.278  0.418 1.278  0.652 1.244  0.732 1.230  0.494 1.163  0.255 1.096  0.016 1.029  -0.223 0.962  -0.436 0.911  -0.511 0.693  -0.550 0.452  -0.585 0.212  -0.586 -0.036  -0.586 -0.285  -0.586 -0.533  -0.552 -0.773  -0.494 -0.991  -0.451 -1.051  -0.422 -0.805  -0.393 -0.558  -0.364 -0.312  -0.335 -0.065  -0.419 0.071  -0.532 -0.023  -0.312 0.043  -0.064 0.043  0.185 0.043  0.433 0.043  0.667 0.077  0.585 -0.075  0.423 -0.263  0.261 -0.451  0.099 -0.639  -0.063 -0.827  -0.236 -0.975  -0.444 -1.091  -0.226 -1.057  0.023 -1.057  0.251 -0.991  0.483 -0.924  0.715 -0.908  0.938 -0.857  1.086 -0.757  1.301 -0.791  1.516 -0.757
1b#tos#t1#t1002062/G  0.541 0.787  0.464 0.941  0.363 1.093  0.273 1.256  0.121 1.363  0.002 1.475  -0.229 1.475  -0.439 1.437  -0.578 1.301  -0.682 1.131  -0.780 0.963  -0.878 0.806  -0.940 0.584  -1.026 0.377  -1.026 0.146  -0.990 -0.080  -0.949 -0.305  -0.887 -0.521  -0.782 -0.718  -0.656 -0.898  -0.436 -0.932  -0.206 -0.932  0.007 -0.855  0.159 -0.724  0.245 -0.550  0.383 -0.436  0.388 -0.210  0.352 -0.015  0.141 0.078  -0.077 0.138  -0.267 0.019  -0.353 -0.053  -0.138 -0.015  0.054 0.023  0.285 0.023  0.516 0.023  0.746 0.023  0.977 0.023  1.174 0.023  0.947 -0.016  0.723 -0.067  0.495 -0.092  0.388 -0.215  0.388 -0.446  0.388 -0.677  0.388 -0.907  0.369 -1.134  0.312 -1.354  0.342 -1.581  0.388 -1.773
1b#tos#t1#t1002062/H  -0.659 1.155  -0.795 1.119  -0.823 0.973  -0.829 0.801  -0.850 0.630  -0.850 0.457  -0.877 0.288  -0.877 0.115  -0.905 -0.054  -0.905 -0.227  -0.905 -0.400  -0.903 -0.573  -0.877 -0.742  -0.877 -0.915  -0.823 -1.034  -0.775 -0.891  -0.737 -0.722  -0.698 -0.553  -0.659 -0.384  -0.621 -0.216  -0.582 -0.047  -0.724 -0.022  -0.639 -0.022  -0.470 0.005  -0.297 0.006  -0.124 0.006  0.049 0.006  0.218 0.033  0.364 0.061  0.509 0.033  0.639 0.086  0.711 0.243  0.782 0.401  0.854 0.559  0.926 0.716  0.997 0.874  0.963 0.964  0.929 0.825  0.929 0.652  0.929 0.479  0.929 0.306  0.929 0.132  0.929 -0.041  0.929 -0.214  0.929 -0.387  0.929 -0.560  0.929 -0.733  0.929 -0.907  0.929 -1.080  0.929 -1.198
1b#tos#t1#t1002062/K  -0.337 2.054  -0.454 1.884  -0.428 1.676  -0.376 1.479  -0.376 1.260  -0.376 1.041  -0.415 0.839  -0.415 0.620  -0.415 0.401  -0.454 0.192  -0.454 -0.027  -0.454 -0.246  -0.454 -0.464  -0.454 -0.683  -0.415 -0.886  -0.376 -1.088  -0.376 -1.307  -0.298 -1.448  -0.294 -1.330  -0.222 -1.123  -0.150 -0.917  -0.078 -0.710  -0.005 -0.504  0.067 -0.297  0.139 -0.091  0.211 0.116  0.283 0.322  0.355 0.529  0.427 0.735  0.499 0.942  0.528 1.117  0.447 0.926  0.272 0.813  0.153 0.632  0.026 0.466  -0.121 0.325  -0.254 0.169  -0.337 -0.020  -0.180 0.044  -0.041 0.110  0.011 -0.086  0.068 -0.262  0.223 -0.379  0.344 -0.553  0.457 -0.731  0.600 -0.854  0.735 -1.008  0.902 -1.127  1.079 -1.207  1.185 -1.342
1b#tos#t1#t1002062/L  -0.322 1.671  -0.363 1.671  -0.354 1.593  -0.354 1.506  -0.354 1.419  -0.354 1.331  -0.354 1.244  -0.354 1.157  -0.354 1.070  -0.354 0.982  -0.354 0.895  -0.354 0.808  -0.354 0.721  -0.354 0.633  -0.354 0.546  -0.354 0.459  -0.354 0.372  -0.354 0.285  -0.354 0.197  -0.354 0.110  -0.354 0.023  -0.354 -0.064  -0.354 -0.152  -0.354 -0.239  -0.363 -0.325  -0.386 -0.408  -0.386 -0.495  -0.386 -0.583  -0.386 -0.670  -0.344 -0.715  -0.257 -0.715  -0.202 -0.747  -0.115 -0.747  -0.028 -0.747  0.060 -0.747  0.147 -0.747  0.234 -0.747  0.321 -0.747  0.409 -0.747  0.496 -0.747  0.583 -0.747  0.670 -0.747  0.758 -0.747  0.845 -0.747  0.932 -0.747  1.006 -0.780  1.093 -0.780  1.180 -0.780  1.268 -0.780  1.323 -0.747
1b#tos#t1#t1002062/O  0.310 1.008  0.156 1.008  0.044 1.049  -0.108 1.043  -0.231 0.955  -0.367 0.891  -0.451 0.776  -0.543 0.709  -0.625 0.589  -0.665 0.453  -0.766 0.360  -0.828 0.227  -0.828 0.074  -0.868 -0.070  -0.909 -0.214  -0.909 -0.367  -0.909 -0.521  -0.909 -0.674  -0.909 -0.827  -0.842 -0.955  -0.703 -0.992  -0.634 -1.120  -0.486 -1.145  -0.333 -1.145  -0.180 -1.145  -0.026 -1.145  0.110 -1.104  0.222 -1.037  0.350 -0.983  0.432 -0.880  0.510 -0.768  0.571 -0.649  0.675 -0.552  0.716 -0.439  0.790 -0.340  0.847 -0.233  0.878 -0.087  0.912 0.033  0.919 0.179  0.919 0.333  0.872 0.439  0.838 0.558  0.716 0.613  0.632 0.683  0.594 0.798  0.457 0.846  0.309 0.866  0.210 0.967  0.057 0.967  -0.015 0.967
1b#tos#t1#t1002062/S  0.793 0.812  0.759 0.781  0.759 0.922  0.649 0.977  0.621 1.096  0.523 1.170  0.387 1.190  0.280 1.224  0.139 1.224  -0.002 1.224  -0.134 1.216  -0.249 1.190  -0.321 1.121  -0.427 1.035  -0.478 0.915  -0.546 0.803  -0.634 0.709  -0.684 0.592  -0.684 0.451  -0.674 0.312  -0.615 0.185  -0.502 0.154  -0.409 0.057  -0.277 0.024  -0.179 -0.047  -0.041 -0.059  0.095 -0.081  0.207 -0.150  0.280 -0.219  0.415 -0.224  0.458 -0.322  0.526 -0.411  0.553 -0.535  0.587 -0.662  0.587 -0.803  0.587 -0.944  0.518 -1.056  0.437 -1.138  0.312 -1.180  0.173 -1.184  0.073 -1.249  -0.068 -1.249  -0.209 -1.249  -0.306 -1.205  -0.409 -1.167  -0.478 -1.095  -0.541 -0.980  -0.588 -0.857  -0.615 -0.723  -0.649 -0.596
1b#tos#t1#t1002062/V  -0.935 1.193  -1.068 1.193  -1.067 1.117  -0.971 1.040  -0.900 0.932  -0.865 0.807  -0.813 0.691  -0.761 0.569  -0.716 0.454  -0.657 0.339  -0.596 0.230  -0.553 0.109  -0.483 0.045  -0.483 -0.088  -0.449 -0.214  -0.406 -0.321  -0.355 -0.428  -0.310 -0.542  -0.246 -0.612  -0.240 -0.740  -0.139 -0.817  -0.136 -0.949  -0.117 -1.063  -0.067 -1.146  0.003 -1.210  0.037 -1.309  0.072 -1.273  0.107 -1.154  0.109 -1.021  0.159 -0.897  0.223 -0.807  0.246 -0.683  0.265 -0.553  0.280 -0.422  0.350 -0.331  0.395 -0.209  0.419 -0.081  0.471 0.014  0.515 0.137  0.558 0.233  0.612 0.345  0.634 0.468  0.732 0.548  0.811 0.648  0.867 0.766  0.940 0.856  1.009 0.947  1.113 0.976  1.154 1.089  1.252 1.124
