3#app#app08#app0893/I  0.045 1.504  0.045 1.576  0.045 1.564  0.045 1.493  0.045 1.421  0.007 1.365  -0.043 1.314  -0.057 1.248  -0.057 1.176  -0.057 1.105  -0.057 1.033  -0.057 0.961  -0.057 0.890  -0.057 0.818  -0.057 0.746  -0.057 0.675  -0.057 0.603  -0.057 0.531  -0.057 0.460  -0.057 0.388  -0.057 0.316  -0.057 0.245  -0.057 0.173  -0.057 0.101  -0.057 0.030  -0.057 -0.042  -0.057 -0.114  -0.057 -0.185  -0.057 -0.257  -0.057 -0.329  -0.057 -0.400  -0.057 -0.472  -0.057 -0.544  -0.057 -0.615  -0.057 -0.687  -0.042 -0.752  0.009 -0.803  0.045 -0.860  0.045 -0.931  0.045 -1.003  0.045 -1.075  0.046 -1.146  0.078 -1.210  0.110 -1.274  0.142 -1.339  0.147 -1.409  0.147 -1.481  0.147 -1.552  0.198 -1.603  0.249 -1.654
3#app#app08#app0893/'  -0.447 1.494  -0.368 1.494  -0.289 1.494  -0.209 1.494  -0.130 1.494  -0.094 1.451  -0.094 1.372  -0.094 1.292  -0.094 1.213  -0.094 1.134  -0.094 1.055  -0.094 0.975  -0.094 0.896  -0.094 0.817  -0.094 0.738  -0.094 0.659  -0.094 0.579  -0.094 0.500  -0.094 0.421  -0.094 0.342  -0.094 0.262  -0.094 0.183  -0.094 0.104  -0.094 0.025  -0.094 -0.054  -0.094 -0.134  -0.094 -0.213  -0.094 -0.292  -0.094 -0.371  -0.094 -0.451  -0.094 -0.530  -0.094 -0.609  -0.029 -0.623  0.050 -0.623  0.129 -0.623  0.208 -0.623  0.259 -0.652  0.259 -0.731  0.259 -0.811  0.259 -0.890  0.259 -0.969  0.259 -1.048  0.259 -1.128  0.259 -1.207  0.259 -1.286  0.259 -1.365  0.259 -1.444  0.259 -1.524  0.259 -1.603  0.259 -1.682
3#app#app08#app0893/v  -1.227 1.118  -1.106 1.118  -1.084 1.019  -1.084 0.898  -1.045 0.794  -0.960 0.708  -0.942 0.595  -0.889 0.496  -0.804 0.411  -0.800 0.292  -0.734 0.198  -0.652 0.111  -0.598 0.003  -0.544 -0.105  -0.476 -0.203  -0.390 -0.288  -0.373 -0.401  -0.320 -0.500  -0.235 -0.586  -0.150 -0.671  -0.088 -0.766  -0.079 -0.883  0.006 -0.968  0.106 -1.017  0.196 -1.047  0.205 -1.159  0.326 -1.159  0.447 -1.159  0.481 -1.073  0.481 -0.952  0.512 -0.844  0.597 -0.759  0.623 -0.649  0.623 -0.528  0.623 -0.408  0.623 -0.287  0.623 -0.166  0.623 -0.046  0.623 0.075  0.623 0.196  0.623 0.316  0.623 0.437  0.623 0.558  0.623 0.678  0.623 0.799  0.623 0.920  0.623 1.040  0.623 1.161  0.623 1.282  0.623 1.402
3#app#app08#app0893/e  -0.524 0.783  -0.628 0.679  -0.629 0.575  -0.525 0.471  -0.421 0.367  -0.296 0.313  -0.149 0.313  -0.017 0.350  0.087 0.454  0.227 0.470  0.259 0.585  0.365 0.626  0.483 0.694  0.572 0.805  0.572 0.952  0.570 1.098  0.466 1.202  0.340 1.252  0.193 1.252  0.102 1.196  0.069 1.063  -0.035 0.959  -0.139 0.855  -0.211 0.737  -0.227 0.594  -0.293 0.463  -0.358 0.331  -0.457 0.223  -0.524 0.104  -0.524 -0.043  -0.524 -0.190  -0.524 -0.337  -0.524 -0.484  -0.524 -0.631  -0.524 -0.778  -0.524 -0.925  -0.429 -1.033  -0.367 -1.155  -0.318 -1.252  -0.171 -1.252  -0.024 -1.252  0.123 -1.252  0.270 -1.252  0.418 -1.252  0.565 -1.252  0.712 -1.252  0.820 -1.160  0.935 -1.070  1.066 -1.005  1.198 -0.939
3#app#app08#app0893/r  -0.953 0.735  -0.862 0.644  -0.796 0.543  -0.793 0.415  -0.735 0.300  -0.678 0.185  -0.639 0.065  -0.630 -0.059  -0.539 -0.150  -0.448 -0.241  -0.357 -0.332  -0.324 -0.448  -0.324 -0.576  -0.324 -0.705  -0.324 -0.833  -0.198 -0.836  -0.167 -0.934  -0.167 -1.062  -0.138 -1.179  -0.048 -1.270  -0.010 -1.383  -0.010 -1.417  -0.010 -1.288  -0.010 -1.160  -0.010 -1.031  -0.010 -0.902  -0.010 -0.774  -0.010 -0.645  -0.010 -0.517  -0.010 -0.388  0.023 -0.265  0.064 -0.143  0.104 -0.021  0.145 0.101  0.147 0.230  0.189 0.348  0.247 0.463  0.304 0.578  0.304 0.707  0.375 0.806  0.461 0.899  0.461 1.028  0.537 1.125  0.618 1.220  0.618 1.349  0.732 1.363  0.861 1.363  0.989 1.363  1.118 1.363  1.247 1.363
3#app#app08#app0893/u  -0.810 1.318  -0.810 1.166  -0.934 1.139  -0.989 1.041  -0.989 0.889  -0.989 0.737  -0.989 0.585  -0.989 0.434  -0.989 0.282  -0.989 0.130  -0.989 -0.022  -0.989 -0.174  -0.966 -0.316  -0.859 -0.424  -0.810 -0.555  -0.771 -0.691  -0.663 -0.798  -0.525 -0.831  -0.396 -0.776  -0.289 -0.669  -0.144 -0.652  -0.022 -0.580  0.086 -0.473  0.086 -0.321  0.174 -0.206  0.265 -0.091  0.265 0.060  0.265 0.212  0.350 0.329  0.444 0.442  0.444 0.594  0.444 0.746  0.527 0.863  0.623 0.944  0.623 0.792  0.623 0.640  0.623 0.488  0.623 0.336  0.623 0.184  0.623 0.033  0.623 -0.119  0.623 -0.271  0.714 -0.385  0.802 -0.501  0.802 -0.652  0.910 -0.760  1.017 -0.867  1.124 -0.975  1.232 -1.082  1.339 -1.189
3#app#app08#app0893/n  -0.647 1.505  -0.647 1.324  -0.647 1.143  -0.647 0.962  -0.647 0.781  -0.647 0.600  -0.647 0.419  -0.647 0.239  -0.647 0.058  -0.647 -0.123  -0.647 -0.304  -0.647 -0.485  -0.647 -0.666  -0.647 -0.847  -0.647 -1.028  -0.647 -1.209  -0.568 -1.311  -0.446 -1.253  -0.446 -1.072  -0.446 -0.891  -0.446 -0.710  -0.320 -0.581  -0.245 -0.431  -0.245 -0.251  -0.245 -0.070  -0.235 0.107  -0.107 0.235  -0.044 0.390  -0.044 0.571  -0.007 0.736  0.121 0.864  0.158 1.030  0.266 1.103  0.359 1.014  0.359 0.834  0.406 0.700  0.560 0.673  0.560 0.492  0.560 0.311  0.728 0.298  0.761 0.150  0.761 -0.030  0.837 -0.180  0.962 -0.309  0.962 -0.490  0.962 -0.671  1.106 -0.708  1.163 -0.831  1.236 -0.982  1.364 -1.110
3#app#app08#app0893/o  -0.794 0.451  -0.794 0.314  -0.794 0.177  -0.794 0.040  -0.794 -0.097  -0.794 -0.234  -0.794 -0.371  -0.794 -0.508  -0.794 -0.645  -0.750 -0.764  -0.653 -0.861  -0.527 -0.888  -0.459 -0.957  -0.421 -1.055  -0.284 -1.055  -0.147 -1.055  -0.009 -1.055  0.128 -1.055  0.259 -1.031  0.381 -0.969  0.504 -0.908  0.609 -0.823  0.706 -0.726  0.803 -0.629  0.879 -0.524  0.879 -0.387  0.879 -0.250  0.879 -0.113  0.879 0.024  0.879 0.161  0.879 0.298  0.879 0.436  0.879 0.573  0.838 0.700  0.777 0.822  0.716 0.945  0.583 0.953  0.446 0.953  0.309 0.953  0.172 0.953  0.035 0.953  -0.102 0.953  -0.239 0.953  -0.376 0.953  -0.459 0.899  -0.483 0.785  -0.620 0.785  -0.719 0.694  -0.824 0.618  -0.961 0.618
3#app#app08#app0893/u  -0.713 0.927  -0.713 0.816  -0.808 0.800  -0.896 0.745  -0.967 0.664  -0.967 0.553  -0.967 0.442  -0.967 0.332  -0.967 0.221  -0.967 0.110  -0.967 -0.001  -0.950 -0.104  -0.871 -0.182  -0.840 -0.280  -0.840 -0.391  -0.816 -0.492  -0.738 -0.570  -0.637 -0.594  -0.544 -0.637  -0.466 -0.715  -0.460 -0.823  -0.373 -0.848  -0.263 -0.848  -0.152 -0.848  -0.041 -0.848  0.067 -0.838  0.166 -0.789  0.265 -0.739  0.372 -0.721  0.466 -0.683  0.545 -0.604  0.623 -0.526  0.681 -0.440  0.690 -0.332  0.768 -0.254  0.808 -0.160  0.808 -0.049  0.808 0.061  0.811 0.172  0.860 0.271  0.910 0.370  0.935 0.474  0.935 0.585  0.935 0.696  0.935 0.806  0.935 0.917  0.935 1.028  0.935 1.139  0.886 1.132  0.808 1.054
3#app#app08#app0893/t  -0.039 2.126  -0.039 1.954  -0.058 1.790  -0.180 1.669  -0.198 1.505  -0.198 1.333  -0.198 1.161  -0.198 0.989  -0.198 0.818  -0.198 0.646  -0.198 0.474  -0.198 0.302  -0.198 0.131  -0.198 -0.041  -0.198 -0.213  -0.103 -0.346  -0.039 -0.491  -0.039 -0.663  -0.039 -0.834  0.082 -0.885  0.214 -0.980  0.277 -1.126  0.345 -1.269  0.404 -1.331  0.275 -1.217  0.147 -1.103  0.018 -0.989  -0.110 -0.875  -0.238 -0.761  -0.367 -0.647  -0.495 -0.533  -0.623 -0.418  -0.752 -0.304  -0.880 -0.190  -0.966 -0.092  -0.794 -0.092  -0.622 -0.092  -0.450 -0.092  -0.301 -0.037  -0.172 0.066  -0.001 0.066  0.171 0.066  0.343 0.066  0.515 0.066  0.686 0.066  0.858 0.066  1.030 0.066  1.202 0.066  1.373 0.066  1.545 0.066
3#app#app08#app0893/o  -0.189 0.642  -0.295 0.748  -0.431 0.780  -0.465 0.665  -0.591 0.642  -0.603 0.504  -0.669 0.371  -0.736 0.237  -0.741 0.089  -0.788 -0.052  -0.835 -0.194  -0.878 -0.336  -0.878 -0.486  -0.878 -0.635  -0.844 -0.770  -0.738 -0.875  -0.633 -0.981  -0.527 -1.087  -0.404 -1.149  -0.255 -1.149  -0.105 -1.149  0.044 -1.149  0.193 -1.149  0.308 -1.065  0.413 -0.960  0.519 -0.854  0.625 -0.749  0.730 -0.643  0.836 -0.538  0.931 -0.425  0.998 -0.291  1.051 -0.154  1.051 -0.005  1.051 0.144  1.022 0.287  0.956 0.420  0.913 0.559  0.866 0.689  0.755 0.780  0.615 0.803  0.509 0.908  0.364 0.918  0.215 0.918  0.066 0.918  -0.084 0.918  -0.228 0.898  -0.362 0.832  -0.499 0.780  -0.635 0.748  -0.740 0.642
