3#apb#apb23#app2347/4  0.519 1.608  0.505 1.612  0.442 1.397  0.341 1.193  0.235 0.992  0.115 0.799  -0.006 0.606  -0.126 0.413  -0.266 0.235  -0.418 0.065  -0.569 -0.104  -0.720 -0.274  -0.871 -0.444  -1.021 -0.615  -1.182 -0.776  -1.352 -0.927  -1.407 -0.969  -1.208 -0.863  -0.998 -0.778  -0.774 -0.739  -0.550 -0.699  -0.325 -0.664  -0.101 -0.628  0.119 -0.573  0.335 -0.501  0.552 -0.437  0.779 -0.420  1.006 -0.411  1.120 -0.324  0.892 -0.324  0.772 -0.186  0.716 0.034  0.660 0.255  0.604 0.475  0.548 0.695  0.491 0.916  0.435 1.136  0.316 1.276  0.290 1.050  0.263 0.824  0.234 0.598  0.176 0.379  0.114 0.160  0.052 -0.059  -0.006 -0.279  -0.063 -0.499  -0.118 -0.719  -0.146 -0.945  -0.175 -1.170  -0.231 -1.391
3#apb#apb23#app2347/  0.308 1.280  0.324 1.350  0.339 1.420  0.356 1.489  0.363 1.434  0.350 1.364  0.336 1.294  0.319 1.225  0.301 1.156  0.284 1.087  0.267 1.018  0.247 0.949  0.226 0.881  0.205 0.813  0.184 0.745  0.163 0.676  0.142 0.608  0.123 0.540  0.104 0.471  0.086 0.402  0.068 0.333  0.050 0.264  0.031 0.195  0.013 0.126  -0.005 0.057  -0.022 -0.012  -0.038 -0.082  -0.053 -0.151  -0.069 -0.221  -0.085 -0.291  -0.100 -0.360  -0.116 -0.430  -0.131 -0.499  -0.147 -0.569  -0.164 -0.638  -0.181 -0.707  -0.199 -0.776  -0.217 -0.846  -0.235 -0.915  -0.253 -0.984  -0.271 -1.053  -0.287 -1.122  -0.298 -1.193  -0.308 -1.263  -0.319 -1.334  -0.329 -1.404  -0.337 -1.475  -0.343 -1.546  -0.349 -1.617  -0.333 -1.687
3#apb#apb23#app2347/9  -0.447 -0.470  -0.416 -0.555  -0.210 -0.488  -0.014 -0.382  0.162 -0.247  0.332 -0.103  0.486 0.057  0.630 0.227  0.722 0.421  0.756 0.641  0.762 0.864  0.745 1.083  0.646 1.282  0.453 1.344  0.236 1.334  0.037 1.234  -0.162 1.134  -0.340 1.000  -0.517 0.864  -0.679 0.715  -0.805 0.531  -0.931 0.347  -1.043 0.155  -1.130 -0.050  -1.198 -0.261  -1.204 -0.465  -1.002 -0.527  -0.785 -0.493  -0.578 -0.410  -0.389 -0.300  -0.232 -0.143  -0.074 0.015  0.084 0.173  0.233 0.338  0.377 0.508  0.500 0.692  0.622 0.674  0.622 0.451  0.584 0.233  0.527 0.017  0.474 -0.199  0.423 -0.416  0.367 -0.632  0.306 -0.846  0.258 -1.064  0.215 -1.282  0.161 -1.498  0.122 -1.718  0.088 -1.937  0.228 -1.848
3#apb#apb23#app2347/1  0.161 0.878  0.182 0.952  0.204 1.027  0.225 1.102  0.247 1.177  0.272 1.251  0.245 1.287  0.269 1.361  0.274 1.344  0.265 1.267  0.257 1.189  0.248 1.112  0.239 1.035  0.218 0.960  0.197 0.885  0.175 0.810  0.154 0.735  0.132 0.660  0.111 0.585  0.090 0.511  0.072 0.435  0.057 0.358  0.042 0.282  0.026 0.206  0.011 0.129  -0.004 0.053  -0.019 -0.023  -0.035 -0.100  -0.044 -0.177  -0.053 -0.254  -0.061 -0.332  -0.070 -0.409  -0.079 -0.487  -0.087 -0.564  -0.096 -0.641  -0.104 -0.719  -0.113 -0.796  -0.134 -0.871  -0.160 -0.944  -0.186 -1.017  -0.212 -1.091  -0.239 -1.164  -0.265 -1.237  -0.291 -1.311  -0.315 -1.385  -0.331 -1.461  -0.346 -1.537  -0.361 -1.614  -0.376 -1.690  -0.392 -1.766
3#apb#apb23#app2347/2  -0.336 1.045  -0.336 1.179  -0.268 1.292  -0.193 1.404  -0.140 1.512  -0.013 1.470  0.111 1.420  0.231 1.360  0.352 1.300  0.447 1.206  0.542 1.111  0.624 1.007  0.677 0.884  0.710 0.759  0.679 0.628  0.649 0.497  0.619 0.366  0.564 0.246  0.493 0.132  0.423 0.017  0.352 -0.097  0.268 -0.199  0.169 -0.290  0.070 -0.381  -0.029 -0.471  -0.130 -0.559  -0.250 -0.619  -0.370 -0.679  -0.490 -0.739  -0.610 -0.799  -0.740 -0.833  -0.871 -0.862  -1.003 -0.880  -1.133 -0.878  -1.038 -0.783  -0.939 -0.697  -0.806 -0.687  -0.672 -0.677  -0.538 -0.666  -0.404 -0.662  -0.270 -0.662  -0.135 -0.662  -0.001 -0.662  0.133 -0.662  0.267 -0.653  0.400 -0.640  0.534 -0.628  0.668 -0.615  0.801 -0.602  0.935 -0.589
3#apb#apb23#app2347/  0.509 1.491  0.513 1.549  0.490 1.491  0.470 1.425  0.449 1.358  0.429 1.291  0.404 1.226  0.380 1.161  0.355 1.096  0.330 1.031  0.305 0.965  0.280 0.900  0.257 0.834  0.239 0.767  0.221 0.700  0.203 0.633  0.185 0.565  0.167 0.498  0.149 0.431  0.131 0.363  0.111 0.297  0.087 0.231  0.064 0.165  0.040 0.100  0.017 0.034  -0.007 -0.032  -0.030 -0.097  -0.054 -0.163  -0.077 -0.229  -0.100 -0.295  -0.122 -0.361  -0.144 -0.427  -0.166 -0.493  -0.188 -0.559  -0.210 -0.625  -0.232 -0.691  -0.254 -0.758  -0.276 -0.824  -0.299 -0.889  -0.322 -0.955  -0.345 -1.021  -0.368 -1.087  -0.391 -1.153  -0.414 -1.218  -0.426 -1.287  -0.436 -1.356  -0.447 -1.425  -0.459 -1.493  -0.501 -1.549  -0.518 -1.613
3#apb#apb23#app2347/2  -0.996 0.490  -0.970 0.626  -0.876 0.737  -0.781 0.847  -0.665 0.934  -0.548 1.021  -0.420 1.087  -0.284 1.137  -0.147 1.186  -0.004 1.201  0.141 1.201  0.286 1.201  0.422 1.163  0.549 1.093  0.675 1.021  0.756 0.900  0.836 0.779  0.887 0.649  0.887 0.504  0.887 0.358  0.845 0.222  0.784 0.090  0.723 -0.042  0.656 -0.170  0.562 -0.281  0.468 -0.392  0.375 -0.503  0.280 -0.613  0.157 -0.691  0.035 -0.769  -0.088 -0.847  -0.208 -0.929  -0.327 -1.013  -0.446 -1.096  -0.587 -1.108  -0.732 -1.103  -0.860 -1.053  -0.906 -0.916  -0.856 -0.808  -0.739 -0.720  -0.620 -0.641  -0.479 -0.602  -0.339 -0.564  -0.197 -0.536  -0.052 -0.524  0.093 -0.513  0.238 -0.504  0.383 -0.504  0.528 -0.504  0.674 -0.504
3#apb#apb23#app2347/1  0.317 1.256  0.317 1.328  0.317 1.400  0.354 1.456  0.340 1.443  0.306 1.382  0.285 1.314  0.264 1.245  0.242 1.176  0.221 1.108  0.200 1.039  0.179 0.971  0.158 0.902  0.137 0.834  0.116 0.765  0.097 0.696  0.089 0.625  0.080 0.553  0.072 0.482  0.064 0.411  0.055 0.340  0.047 0.268  0.038 0.197  0.030 0.126  0.022 0.055  0.013 -0.017  0.005 -0.088  -0.004 -0.159  -0.013 -0.230  -0.033 -0.299  -0.053 -0.368  -0.073 -0.437  -0.092 -0.506  -0.112 -0.575  -0.132 -0.644  -0.151 -0.713  -0.171 -0.782  -0.191 -0.851  -0.211 -0.920  -0.230 -0.989  -0.241 -1.060  -0.252 -1.131  -0.263 -1.202  -0.274 -1.273  -0.285 -1.344  -0.295 -1.415  -0.306 -1.485  -0.317 -1.556  -0.328 -1.627  -0.339 -1.698
3#apb#apb23#app2347/  0.563 1.463  0.550 1.511  0.489 1.476  0.432 1.438  0.404 1.374  0.377 1.310  0.349 1.246  0.321 1.182  0.297 1.117  0.278 1.050  0.258 0.983  0.239 0.916  0.219 0.849  0.199 0.782  0.180 0.715  0.159 0.648  0.139 0.581  0.118 0.514  0.098 0.448  0.077 0.381  0.057 0.314  0.036 0.248  0.017 0.181  -0.002 0.113  -0.021 0.046  -0.041 -0.021  -0.060 -0.088  -0.079 -0.155  -0.098 -0.222  -0.116 -0.290  -0.131 -0.358  -0.145 -0.426  -0.160 -0.494  -0.174 -0.563  -0.189 -0.631  -0.204 -0.699  -0.218 -0.767  -0.235 -0.835  -0.252 -0.903  -0.269 -0.971  -0.286 -1.038  -0.303 -1.106  -0.320 -1.174  -0.334 -1.242  -0.343 -1.311  -0.352 -1.381  -0.361 -1.450  -0.373 -1.519  -0.388 -1.587  -0.403 -1.655
3#apb#apb23#app2347/9  -0.418 -0.951  -0.296 -0.757  -0.140 -0.587  0.017 -0.417  0.180 -0.254  0.344 -0.090  0.510 0.070  0.680 0.227  0.850 0.384  0.900 0.605  0.931 0.834  0.924 1.061  0.726 1.180  0.516 1.240  0.288 1.202  0.060 1.164  -0.141 1.058  -0.335 0.932  -0.529 0.807  -0.711 0.664  -0.892 0.520  -1.065 0.369  -1.201 0.182  -1.322 -0.013  -1.388 -0.234  -1.406 -0.463  -1.276 -0.634  -1.077 -0.721  -0.846 -0.721  -0.627 -0.659  -0.412 -0.573  -0.206 -0.471  -0.011 -0.347  0.149 -0.186  0.280 0.004  0.412 0.193  0.545 0.383  0.648 0.588  0.699 0.778  0.673 0.548  0.630 0.321  0.582 0.095  0.530 -0.130  0.477 -0.355  0.422 -0.580  0.363 -0.803  0.303 -1.026  0.247 -1.251  0.207 -1.477  0.207 -1.708
3#apb#apb23#app2347/1  0.065 1.310  0.116 1.361  0.149 1.419  0.149 1.490  0.149 1.479  0.149 1.408  0.149 1.336  0.149 1.264  0.147 1.193  0.141 1.121  0.136 1.050  0.130 0.978  0.125 0.907  0.119 0.836  0.114 0.764  0.108 0.693  0.097 0.622  0.085 0.552  0.072 0.481  0.060 0.410  0.047 0.340  0.035 0.269  0.023 0.199  0.010 0.128  -0.002 0.058  -0.015 -0.013  -0.025 -0.084  -0.034 -0.155  -0.043 -0.226  -0.052 -0.297  -0.060 -0.368  -0.069 -0.439  -0.078 -0.510  -0.087 -0.581  -0.096 -0.652  -0.104 -0.724  -0.112 -0.795  -0.119 -0.866  -0.126 -0.937  -0.133 -1.009  -0.140 -1.080  -0.145 -1.151  -0.145 -1.223  -0.145 -1.295  -0.145 -1.366  -0.145 -1.438  -0.145 -1.509  -0.138 -1.580  -0.120 -1.650  -0.103 -1.719
