1b#tos#f3#f3073065/B  0.023 1.007  -0.039 0.777  -0.092 0.546  -0.176 0.325  -0.223 0.091  -0.310 -0.131  -0.386 -0.358  -0.436 -0.591  -0.493 -0.823  -0.583 -1.037  -0.626 -1.257  -0.640 -1.129  -0.657 -0.890  -0.674 -0.652  -0.691 -0.414  -0.708 -0.175  -0.725 0.063  -0.742 0.301  -0.759 0.539  -0.766 0.778  -0.715 0.986  -0.558 1.157  -0.355 1.278  -0.158 1.378  0.081 1.378  0.320 1.378  0.547 1.317  0.711 1.157  0.719 0.920  0.719 0.682  0.604 0.483  0.399 0.360  0.278 0.161  0.064 0.054  -0.027 -0.060  0.209 -0.032  0.446 -0.013  0.685 -0.013  0.924 -0.013  1.090 -0.122  1.090 -0.360  1.048 -0.587  0.893 -0.767  0.695 -0.899  0.479 -1.000  0.276 -1.122  0.062 -1.219  -0.177 -1.219  -0.395 -1.198  -0.255 -1.034
1b#tos#f3#f3073065/C  1.028 1.038  0.935 1.038  0.843 1.038  0.751 1.038  0.674 1.077  0.588 1.091  0.496 1.091  0.403 1.091  0.311 1.091  0.219 1.091  0.130 1.084  0.075 1.010  0.019 0.936  -0.042 0.869  -0.121 0.821  -0.201 0.774  -0.280 0.726  -0.333 0.651  -0.384 0.575  -0.426 0.493  -0.468 0.410  -0.506 0.327  -0.541 0.241  -0.575 0.155  -0.600 0.068  -0.600 -0.025  -0.600 -0.117  -0.600 -0.209  -0.600 -0.302  -0.600 -0.394  -0.600 -0.486  -0.600 -0.579  -0.554 -0.657  -0.503 -0.734  -0.422 -0.775  -0.337 -0.809  -0.251 -0.844  -0.175 -0.894  -0.101 -0.950  -0.027 -1.005  0.055 -1.047  0.138 -1.089  0.224 -1.114  0.316 -1.114  0.409 -1.114  0.501 -1.114  0.593 -1.114  0.686 -1.114  0.778 -1.114  0.870 -1.114
1b#tos#f3#f3073065/E  -0.533 1.348  -0.443 1.228  -0.268 1.156  -0.076 1.133  0.115 1.113  0.310 1.113  0.504 1.113  0.570 1.064  0.392 1.143  0.215 1.222  0.037 1.301  -0.154 1.315  -0.233 1.167  -0.302 0.988  -0.438 0.876  -0.470 0.685  -0.521 0.498  -0.600 0.323  -0.600 0.129  -0.600 -0.066  -0.600 -0.260  -0.600 -0.454  -0.556 -0.639  -0.499 -0.822  -0.480 -1.012  -0.369 -1.170  -0.193 -1.213  -0.011 -1.243  0.184 -1.243  0.378 -1.243  0.572 -1.243  0.764 -1.222  0.956 -1.209  0.918 -1.115  0.778 -0.979  0.639 -0.844  0.500 -0.708  0.361 -0.573  0.221 -0.438  0.082 -0.302  -0.057 -0.167  -0.197 -0.032  -0.297 -0.184  -0.463 -0.233  -0.277 -0.186  -0.105 -0.096  0.083 -0.065  0.269 -0.024  0.451 0.036  0.645 0.036
1b#tos#f3#f3073065/F  -0.650 0.965  -0.558 0.887  -0.388 0.887  -0.218 0.887  -0.049 0.896  0.119 0.924  0.284 0.963  0.454 0.965  0.624 0.965  0.794 0.965  0.964 0.965  0.998 0.896  0.833 0.936  0.667 0.975  0.502 1.015  0.336 1.054  0.183 1.052  0.046 0.983  -0.035 0.834  -0.116 0.693  -0.140 0.525  -0.143 0.355  -0.171 0.187  -0.227 0.028  -0.294 -0.128  -0.324 -0.296  -0.348 -0.464  -0.369 -0.633  -0.375 -0.803  -0.380 -0.972  -0.434 -1.133  -0.454 -1.300  -0.454 -1.470  -0.454 -1.640  -0.444 -1.677  -0.419 -1.508  -0.394 -1.340  -0.369 -1.172  -0.344 -1.004  -0.319 -0.835  -0.297 -0.667  -0.297 -0.497  -0.228 -0.370  -0.090 -0.326  0.075 -0.291  0.243 -0.274  0.410 -0.251  0.580 -0.251  0.750 -0.251  0.920 -0.251
1b#tos#f3#f3073065/H  -0.655 0.970  -0.704 0.904  -0.788 0.762  -0.795 0.593  -0.849 0.431  -0.914 0.274  -0.966 0.115  -0.967 -0.055  -1.043 -0.207  -1.101 -0.368  -1.144 -0.531  -1.183 -0.690  -1.233 -0.845  -1.148 -0.717  -1.057 -0.573  -0.967 -0.428  -0.876 -0.283  -0.788 -0.138  -0.709 -0.031  -0.560 0.048  -0.398 0.097  -0.234 0.124  -0.063 0.124  0.107 0.124  0.278 0.124  0.448 0.124  0.619 0.124  0.789 0.124  0.960 0.124  1.038 0.130  1.047 0.300  1.056 0.471  1.065 0.641  1.074 0.811  1.068 0.970  0.940 0.895  0.907 0.728  0.874 0.561  0.818 0.401  0.742 0.249  0.665 0.096  0.635 -0.067  0.633 -0.237  0.569 -0.396  0.528 -0.560  0.502 -0.729  0.502 -0.899  0.482 -1.067  0.432 -1.230  0.368 -1.388
1b#tos#f3#f3073065/I  0.483 1.163  0.529 1.216  0.529 1.289  0.519 1.357  0.461 1.392  0.438 1.343  0.438 1.270  0.438 1.198  0.438 1.125  0.438 1.052  0.438 0.980  0.438 0.907  0.417 0.839  0.388 0.772  0.360 0.706  0.331 0.639  0.303 0.572  0.270 0.507  0.238 0.442  0.206 0.378  0.173 0.313  0.141 0.248  0.108 0.183  0.076 0.118  0.043 0.053  0.011 -0.012  -0.022 -0.077  -0.054 -0.142  -0.086 -0.206  -0.119 -0.271  -0.151 -0.336  -0.184 -0.401  -0.212 -0.468  -0.232 -0.538  -0.252 -0.607  -0.272 -0.677  -0.292 -0.747  -0.323 -0.812  -0.359 -0.875  -0.395 -0.937  -0.431 -1.000  -0.467 -1.063  -0.498 -1.129  -0.525 -1.197  -0.551 -1.264  -0.580 -1.331  -0.612 -1.396  -0.645 -1.461  -0.677 -1.525  -0.710 -1.590
1b#tos#f3#f3073065/K  -0.448 2.017  -0.394 1.852  -0.394 1.634  -0.394 1.415  -0.394 1.196  -0.396 0.978  -0.432 0.762  -0.448 0.545  -0.448 0.326  -0.448 0.107  -0.448 -0.111  -0.448 -0.330  -0.448 -0.549  -0.442 -0.767  -0.394 -0.979  -0.394 -1.198  -0.376 -1.409  -0.251 -1.302  -0.135 -1.116  -0.019 -0.931  0.097 -0.746  0.213 -0.560  0.329 -0.375  0.445 -0.189  0.560 -0.004  0.676 0.182  0.792 0.367  0.908 0.553  1.032 0.729  1.120 0.893  0.944 0.935  0.746 0.885  0.562 0.804  0.431 0.629  0.255 0.502  0.080 0.371  -0.111 0.265  -0.264 0.117  -0.414 -0.040  -0.575 -0.183  -0.672 -0.378  -0.719 -0.586  -0.614 -0.742  -0.408 -0.796  -0.190 -0.796  0.029 -0.796  0.248 -0.796  0.467 -0.796  0.685 -0.796  0.904 -0.796
1b#tos#f3#f3073065/N  -0.684 0.866  -0.763 1.028  -0.694 0.863  -0.684 0.668  -0.684 0.473  -0.648 0.282  -0.601 0.093  -0.601 -0.103  -0.601 -0.299  -0.601 -0.494  -0.601 -0.690  -0.601 -0.886  -0.577 -1.072  -0.559 -0.919  -0.590 -0.727  -0.628 -0.535  -0.642 -0.341  -0.711 -0.161  -0.767 0.021  -0.767 0.217  -0.769 0.412  -0.809 0.602  -0.794 0.782  -0.603 0.755  -0.469 0.621  -0.316 0.504  -0.209 0.361  -0.152 0.175  -0.064 0.000  0.057 -0.154  0.129 -0.329  0.199 -0.509  0.314 -0.665  0.467 -0.787  0.619 -0.909  0.786 -1.006  0.982 -1.006  1.128 -0.938  1.147 -0.745  1.147 -0.550  1.147 -0.354  1.142 -0.159  1.088 0.029  1.049 0.220  1.021 0.414  0.997 0.608  0.980 0.803  0.980 0.999  0.913 1.174  0.897 1.365
1b#tos#f3#f3073065/O  0.003 0.633  -0.156 0.633  -0.314 0.633  -0.473 0.632  -0.577 0.538  -0.577 0.379  -0.577 0.221  -0.577 0.062  -0.577 -0.096  -0.577 -0.255  -0.577 -0.413  -0.577 -0.572  -0.540 -0.726  -0.495 -0.878  -0.424 -1.018  -0.312 -1.105  -0.154 -1.105  0.005 -1.105  0.163 -1.105  0.321 -1.096  0.477 -1.070  0.627 -1.026  0.763 -0.944  0.873 -0.839  0.944 -0.697  1.037 -0.569  1.109 -0.434  1.109 -0.276  1.109 -0.117  1.109 0.041  1.109 0.200  1.109 0.358  0.991 0.458  0.864 0.553  0.737 0.648  0.592 0.697  0.435 0.717  0.277 0.737  0.119 0.738  -0.040 0.738  -0.198 0.738  -0.357 0.738  -0.515 0.738  -0.673 0.732  -0.830 0.709  -0.987 0.687  -1.087 0.568  -1.186 0.445  -1.262 0.317  -1.262 0.159
1b#tos#f3#f3073065/P  -0.446 1.214  -0.446 1.431  -0.340 1.350  -0.340 1.133  -0.336 0.917  -0.305 0.702  -0.272 0.487  -0.236 0.273  -0.235 0.057  -0.235 -0.160  -0.235 -0.377  -0.235 -0.594  -0.235 -0.811  -0.213 -1.026  -0.182 -1.241  -0.182 -1.458  -0.163 -1.670  -0.155 -1.596  -0.193 -1.383  -0.232 -1.169  -0.270 -0.956  -0.308 -0.742  -0.347 -0.529  -0.385 -0.315  -0.423 -0.101  -0.462 0.112  -0.498 0.326  -0.498 0.543  -0.498 0.760  -0.498 0.977  -0.308 1.003  -0.091 1.003  0.126 1.003  0.343 1.003  0.559 0.985  0.771 0.946  0.924 0.792  1.086 0.649  1.188 0.486  1.188 0.269  1.186 0.053  1.012 -0.077  0.839 -0.207  0.667 -0.340  0.497 -0.473  0.281 -0.500  0.069 -0.533  -0.116 -0.646  -0.318 -0.727  -0.498 -0.841
1b#tos#f3#f3073065/R  -0.225 1.199  -0.437 1.160  -0.494 0.929  -0.522 0.682  -0.522 0.431  -0.522 0.180  -0.522 -0.071  -0.522 -0.321  -0.522 -0.572  -0.479 -0.819  -0.421 -1.052  -0.355 -1.236  -0.380 -0.986  -0.405 -0.737  -0.429 -0.487  -0.485 -0.285  -0.736 -0.285  -0.946 -0.244  -0.946 0.007  -0.946 0.257  -0.946 0.508  -0.853 0.738  -0.638 0.866  -0.445 1.022  -0.224 1.129  0.022 1.157  0.273 1.157  0.523 1.157  0.774 1.157  0.912 0.957  1.005 0.734  1.005 0.484  0.990 0.234  0.905 0.002  0.746 -0.186  0.557 -0.351  0.396 -0.541  0.194 -0.678  -0.053 -0.709  -0.293 -0.683  -0.310 -0.439  -0.160 -0.256  0.086 -0.242  0.337 -0.242  0.544 -0.374  0.750 -0.518  0.955 -0.662  1.113 -0.855  1.262 -1.054  1.386 -1.260
