3#app#app18#app1833/V  -1.049 0.571  -1.049 0.722  -1.049 0.874  -1.049 0.918  -1.043 0.771  -0.892 0.771  -0.848 0.663  -0.848 0.511  -0.838 0.370  -0.686 0.370  -0.648 0.257  -0.648 0.105  -0.632 -0.031  -0.480 -0.031  -0.394 -0.137  -0.326 -0.272  -0.258 -0.408  -0.246 -0.557  -0.170 -0.633  -0.046 -0.660  -0.046 -0.811  -0.046 -0.963  -0.046 -1.115  -0.046 -1.202  -0.046 -1.050  -0.046 -1.169  0.040 -1.234  0.155 -1.197  0.155 -1.045  0.155 -0.893  0.246 -0.833  0.355 -0.790  0.355 -0.639  0.355 -0.487  0.424 -0.364  0.531 -0.256  0.556 -0.115  0.556 0.037  0.556 0.188  0.556 0.340  0.642 0.456  0.749 0.563  0.756 0.712  0.756 0.864  0.800 0.972  0.952 0.972  0.957 1.118  0.957 1.270  0.957 1.324  0.957 1.172
3#app#app18#app1833/E  -0.427 1.000  -0.622 1.083  -0.622 1.028  -0.622 0.750  -0.622 0.472  -0.622 0.194  -0.622 -0.084  -0.622 -0.363  -0.622 -0.641  -0.622 -0.919  -0.622 -1.197  -0.488 -1.341  -0.427 -1.123  -0.427 -0.845  -0.427 -0.567  -0.427 -0.289  -0.427 -0.010  -0.427 0.268  -0.427 0.546  -0.427 0.824  -0.427 1.102  -0.241 1.195  0.037 1.195  0.315 1.195  0.593 1.195  0.743 1.323  0.938 1.373  0.878 1.115  0.711 0.892  0.544 0.670  0.377 0.447  0.210 0.225  0.044 0.002  -0.123 -0.220  -0.232 -0.269  -0.053 -0.171  0.149 0.015  0.423 0.024  0.701 0.024  0.625 -0.181  0.487 -0.423  0.349 -0.664  0.211 -0.906  0.073 -1.147  0.018 -1.341  0.158 -1.203  0.379 -1.146  0.657 -1.146  0.879 -1.010  1.133 -0.951
3#app#app18#app1833/X  -1.147 0.611  -1.179 0.798  -1.334 0.863  -1.334 0.888  -1.205 0.798  -1.032 0.683  -0.842 0.611  -0.772 0.461  -0.590 0.423  -0.565 0.217  -0.410 0.061  -0.254 -0.094  -0.210 -0.296  -0.022 -0.328  0.012 -0.514  0.165 -0.581  0.264 -0.702  0.353 -0.833  0.517 -0.889  0.549 -1.076  0.728 -1.035  0.728 -0.815  0.728 -0.595  0.728 -0.375  0.728 -0.155  0.728 0.065  0.728 0.284  0.728 0.504  0.728 0.724  0.728 0.944  0.728 1.164  0.728 1.337  0.672 1.173  0.540 1.085  0.419 0.986  0.353 0.832  0.221 0.667  0.165 0.470  0.165 0.250  0.020 0.090  -0.022 -0.112  -0.022 -0.332  -0.022 -0.552  -0.092 -0.702  -0.210 -0.804  -0.210 -1.024  -0.328 -1.195  -0.520 -1.264  -0.430 -1.264  -0.397 -1.451
3#app#app18#app1833/I  0.096 0.935  0.096 1.068  0.096 0.801  0.096 0.535  0.096 0.268  0.096 0.002  0.096 -0.265  0.096 -0.531  0.096 -0.798  0.295 -0.862  0.119 -0.661  -0.057 -0.461  -0.232 -0.260  -0.408 -0.060  -0.583 0.141  -0.759 0.342  -0.934 0.542  -1.103 0.725  -1.103 0.612  -0.959 0.735  -0.703 0.746  -0.626 0.935  -0.360 0.935  -0.115 1.029  0.126 1.135  0.393 1.135  0.611 1.251  0.843 1.335  0.887 1.122  0.747 0.895  0.608 0.668  0.468 0.441  0.328 0.214  0.188 -0.013  0.049 -0.240  -0.091 -0.467  -0.231 -0.694  -0.370 -0.921  -0.510 -1.148  -0.650 -1.375  -0.539 -1.463  -0.473 -1.263  -0.235 -1.194  -0.022 -1.063  0.201 -0.958  0.428 -0.863  0.695 -0.863  0.895 -0.797  1.028 -0.663  1.294 -0.663
3#app#app18#app1833/N  -0.720 -0.998  -0.720 -1.139  -0.819 -1.182  -0.904 -1.125  -0.904 -0.984  -0.904 -0.843  -0.904 -0.701  -0.904 -0.560  -0.904 -0.418  -0.904 -0.277  -0.904 -0.135  -0.904 0.006  -0.904 0.148  -0.904 0.289  -0.904 0.431  -0.904 0.572  -0.904 0.605  -0.893 0.475  -0.751 0.475  -0.642 0.397  -0.542 0.297  -0.403 0.291  -0.288 0.227  -0.188 0.127  -0.055 0.107  0.087 0.107  0.200 0.079  0.200 -0.063  0.327 -0.077  0.444 -0.137  0.544 -0.237  0.568 -0.368  0.633 -0.445  0.768 -0.461  0.868 -0.561  0.936 -0.585  0.936 -0.444  0.936 -0.302  0.936 -0.161  0.936 -0.019  0.936 0.122  0.936 0.264  0.936 0.405  0.936 0.547  0.936 0.688  0.936 0.830  0.936 0.971  0.936 1.113  0.936 1.254  0.936 1.395
3#app#app18#app1833/G  0.031 1.140  0.031 0.921  0.021 1.140  -0.209 1.140  -0.438 1.140  -0.642 1.114  -0.673 0.916  -0.866 0.880  -0.907 0.692  -1.090 0.645  -1.090 0.416  -1.090 0.187  -1.090 -0.043  -1.090 -0.272  -1.090 -0.502  -1.013 -0.653  -0.866 -0.736  -0.778 -0.878  -0.576 -0.943  -0.412 -1.102  -0.183 -1.102  0.047 -1.102  0.276 -1.102  0.505 -1.102  0.704 -1.071  0.740 -0.878  0.957 -0.848  1.119 -0.686  1.152 -0.470  1.152 -0.241  1.152 -0.012  1.012 0.160  0.817 0.243  0.588 0.243  0.479 0.122  0.479 -0.107  0.362 -0.146  0.157 -0.044  -0.049 0.059  -0.254 0.162  -0.417 0.197  -0.366 0.019  -0.193 0.076  -0.131 0.243  0.098 0.243  0.327 0.243  0.534 0.298  0.696 0.460  0.923 0.468  1.152 0.468
3#app#app18#app1833/D  0.081 1.151  0.052 1.352  -0.120 1.295  -0.120 1.066  -0.006 0.951  0.081 0.809  0.081 0.580  0.081 0.351  0.081 0.122  0.081 -0.107  0.081 -0.336  0.081 -0.564  0.081 -0.793  0.251 -0.852  0.281 -0.653  0.120 -0.491  -0.041 -0.329  -0.203 -0.167  -0.365 -0.006  -0.527 0.156  -0.689 0.318  -0.850 0.480  -1.012 0.642  -1.121 0.825  -1.018 0.951  -0.789 0.951  -0.561 0.951  -0.332 0.951  -0.108 0.939  0.054 0.777  0.272 0.751  0.495 0.737  0.657 0.575  0.875 0.550  0.882 0.328  0.882 0.099  0.882 -0.129  0.882 -0.358  0.786 -0.547  0.624 -0.709  0.481 -0.879  0.426 -1.052  0.281 -1.136  0.169 -1.253  0.081 -1.394  -0.089 -1.453  -0.317 -1.453  -0.480 -1.293  -0.692 -1.253  -0.721 -1.453
3#app#app18#app1833/A  -0.622 -1.085  -0.823 -1.085  -0.840 -0.902  -0.840 -0.702  -0.840 -0.502  -0.710 -0.431  -0.622 -0.319  -0.622 -0.119  -0.622 0.081  -0.622 0.281  -0.622 0.482  -0.622 0.682  -0.622 0.882  -0.622 1.082  -0.488 1.227  -0.323 1.310  -0.187 1.375  -0.140 1.528  0.060 1.528  0.248 1.516  0.248 1.316  0.248 1.115  0.374 0.967  0.466 0.805  0.466 0.605  0.466 0.405  0.466 0.205  0.466 0.005  0.607 -0.137  0.684 -0.306  0.684 -0.506  0.684 -0.706  0.684 -0.906  0.684 -1.106  0.688 -1.302  0.888 -1.302  0.758 -1.183  0.604 -1.055  0.450 -0.926  0.297 -0.798  0.143 -0.670  -0.011 -0.542  -0.165 -0.414  -0.318 -0.286  -0.405 -0.126  -0.335 0.004  -0.134 0.004  0.066 0.004  0.266 0.004  0.466 0.004
3#app#app18#app1833/F  -0.415 0.286  -0.415 0.043  -0.415 -0.201  -0.415 -0.444  -0.415 -0.687  -0.286 -0.877  -0.156 -1.067  -0.156 -1.310  -0.156 -1.554  -0.156 -1.770  -0.156 -1.527  -0.156 -1.284  -0.156 -1.040  -0.305 -0.859  -0.415 -0.661  -0.415 -0.417  -0.415 -0.174  -0.415 0.069  -0.415 0.313  -0.415 0.556  -0.415 0.800  -0.415 1.043  -0.415 1.286  -0.206 1.321  0.037 1.321  0.103 1.499  0.265 1.580  0.509 1.580  0.567 1.459  0.468 1.237  0.369 1.015  0.270 0.792  0.171 0.570  0.073 0.347  -0.026 0.125  -0.125 -0.097  -0.224 -0.320  -0.323 -0.542  -0.397 -0.749  -0.156 -0.747  -0.156 -0.503  -0.156 -0.260  0.059 -0.231  0.302 -0.231  0.492 -0.101  0.682 0.027  0.925 0.027  1.169 0.027  1.397 0.043  1.397 0.286
3#app#app18#app1833/T  0.289 0.592  0.289 0.775  0.150 0.819  0.061 0.725  0.061 0.541  0.065 0.359  0.195 0.230  0.289 0.085  0.289 -0.098  0.289 -0.282  0.289 -0.465  0.289 -0.649  0.289 -0.832  0.289 -1.016  0.289 -1.199  0.289 -1.383  0.396 -1.459  0.469 -1.418  0.331 -1.297  0.193 -1.176  0.055 -1.055  -0.083 -0.935  -0.221 -0.814  -0.359 -0.693  -0.497 -0.572  -0.635 -0.451  -0.773 -0.330  -0.911 -0.210  -1.050 -0.089  -1.188 0.032  -1.306 0.162  -1.306 0.345  -1.141 0.364  -0.958 0.364  -0.774 0.364  -0.623 0.396  -0.623 0.579  -0.452 0.592  -0.268 0.592  -0.085 0.592  0.099 0.592  0.282 0.592  0.466 0.592  0.611 0.685  0.740 0.815  0.922 0.819  1.106 0.819  1.200 0.908  1.245 1.047  1.428 1.047
3#app#app18#app1833/J  0.413 0.682  0.392 0.853  0.241 0.812  0.241 0.620  0.241 0.427  0.345 0.339  0.413 0.214  0.413 0.022  0.413 -0.170  0.545 -0.308  0.584 -0.484  0.584 -0.676  0.584 -0.868  0.556 -1.032  0.378 -1.067  0.242 -1.203  0.050 -1.204  -0.102 -1.163  -0.163 -1.032  -0.355 -1.032  -0.444 -0.929  -0.568 -0.861  -0.471 -0.861  -0.444 -1.026  -0.535 -0.869  -0.628 -0.701  -0.722 -0.533  -0.815 -0.365  -0.908 -0.197  -1.002 -0.029  -1.095 0.139  -1.188 0.307  -1.282 0.475  -1.150 0.511  -0.958 0.511  -0.765 0.511  -0.573 0.511  -0.381 0.511  -0.189 0.511  0.004 0.511  0.159 0.600  0.317 0.682  0.509 0.682  0.702 0.682  0.853 0.780  1.015 0.853  1.098 0.962  1.228 1.025  1.119 1.025  1.098 0.853
3#app#app18#app1833/I  0.073 1.054  0.293 1.096  0.293 1.192  0.293 0.930  0.293 0.668  0.293 0.406  0.274 0.151  0.088 -0.034  0.073 -0.290  0.073 -0.552  0.175 -0.712  0.200 -0.604  0.030 -0.404  -0.141 -0.205  -0.312 -0.006  -0.482 0.193  -0.653 0.392  -0.824 0.591  -0.995 0.790  -0.826 0.833  -0.564 0.833  -0.302 0.833  -0.039 0.833  0.179 0.940  0.394 1.054  0.656 1.054  0.918 1.054  1.174 1.052  0.989 0.866  0.803 0.681  0.618 0.495  0.433 0.310  0.247 0.125  0.062 -0.061  -0.124 -0.246  -0.309 -0.432  -0.495 -0.617  -0.680 -0.803  -0.866 -0.988  -1.032 -1.182  -0.963 -1.375  -0.811 -1.265  -0.659 -1.154  -0.397 -1.154  -0.134 -1.154  0.128 -1.154  0.390 -1.154  0.514 -1.016  0.694 -0.933  0.956 -0.933
3#app#app18#app1833/M  -0.666 0.212  -0.722 0.034  -0.844 0.147  -0.675 0.212  -0.844 0.259  -0.844 0.286  -0.844 0.053  -0.844 -0.181  -0.844 -0.415  -0.844 -0.649  -0.864 -0.874  -1.021 -1.042  -1.021 -1.142  -1.021 -0.908  -1.021 -0.674  -0.963 -0.499  -0.844 -0.384  -0.844 -0.151  -0.795 0.034  -0.666 0.139  -0.666 0.373  -0.461 0.417  -0.289 0.567  -0.133 0.489  0.001 0.389  0.044 0.199  0.044 -0.035  0.133 -0.232  0.222 -0.429  0.222 -0.662  0.222 -0.456  0.222 -0.223  0.222 0.011  0.399 0.067  0.399 0.301  0.502 0.492  0.577 0.695  0.759 0.749  0.924 0.914  0.977 1.100  1.110 0.999  1.110 0.765  1.110 0.531  1.202 0.389  1.287 0.241  1.287 0.008  1.287 -0.226  1.386 -0.419  1.465 -0.620  1.465 -0.854
