3#apb#apb14#app1421/A  -0.022 1.065  -0.044 1.345  -0.044 1.341  -0.066 1.062  -0.116 0.785  -0.220 0.524  -0.333 0.266  -0.459 0.015  -0.583 -0.238  -0.691 -0.497  -0.799 -0.757  -0.901 -1.019  -1.009 -1.279  -0.867 -1.301  -0.764 -1.040  -0.665 -0.777  -0.566 -0.513  -0.467 -0.250  -0.368 0.013  -0.269 0.277  -0.170 0.540  -0.071 0.803  0.028 1.067  0.127 1.330  0.226 1.593  0.293 1.513  0.394 1.251  0.477 0.983  0.523 0.706  0.580 0.430  0.630 0.153  0.667 -0.126  0.699 -0.405  0.727 -0.685  0.745 -0.966  0.792 -1.242  0.635 -1.251  0.390 -1.113  0.145 -0.975  -0.100 -0.837  -0.346 -0.699  -0.591 -0.561  -0.618 -0.388  -0.357 -0.282  -0.097 -0.175  0.161 -0.064  0.423 0.034  0.702 0.072  0.980 0.114  1.258 0.160
3#apb#apb14#app1421/B  -0.476 0.726  -0.477 0.655  -0.494 0.464  -0.534 0.276  -0.574 0.087  -0.611 -0.101  -0.647 -0.290  -0.667 -0.481  -0.684 -0.673  -0.696 -0.865  -0.681 -1.055  -0.669 -0.889  -0.696 -0.698  -0.700 -0.506  -0.700 -0.314  -0.700 -0.122  -0.694 0.070  -0.673 0.262  -0.640 0.451  -0.588 0.635  -0.507 0.810  -0.380 0.952  -0.238 1.081  -0.091 1.205  0.088 1.273  0.274 1.320  0.462 1.328  0.636 1.253  0.740 1.092  0.791 0.907  0.757 0.719  0.689 0.541  0.599 0.371  0.478 0.222  0.349 0.080  0.211 -0.052  0.315 -0.078  0.506 -0.096  0.696 -0.109  0.854 -0.212  0.952 -0.371  0.967 -0.558  0.915 -0.740  0.815 -0.904  0.681 -1.040  0.538 -1.169  0.393 -1.295  0.212 -1.360  0.036 -1.437  -0.139 -1.366
3#apb#apb14#app1421/C  0.450 0.685  0.506 0.770  0.571 0.847  0.636 0.924  0.661 1.022  0.717 1.107  0.691 1.185  0.598 1.204  0.499 1.178  0.401 1.149  0.309 1.106  0.216 1.063  0.124 1.020  0.037 0.966  -0.048 0.910  -0.133 0.853  -0.212 0.791  -0.269 0.706  -0.326 0.621  -0.382 0.537  -0.439 0.452  -0.480 0.358  -0.518 0.264  -0.557 0.169  -0.596 0.075  -0.631 -0.020  -0.640 -0.122  -0.649 -0.224  -0.658 -0.325  -0.668 -0.427  -0.653 -0.527  -0.630 -0.626  -0.607 -0.726  -0.571 -0.818  -0.496 -0.887  -0.421 -0.956  -0.346 -1.025  -0.253 -1.056  -0.152 -1.070  -0.051 -1.085  0.050 -1.099  0.151 -1.096  0.250 -1.073  0.350 -1.051  0.449 -1.028  0.549 -1.006  0.646 -0.975  0.743 -0.944  0.841 -0.914  0.938 -0.883
3#apb#apb14#app1421/D  -0.591 0.862  -0.570 1.052  -0.479 0.989  -0.460 0.799  -0.437 0.609  -0.425 0.418  -0.436 0.227  -0.445 0.036  -0.454 -0.155  -0.463 -0.346  -0.481 -0.537  -0.502 -0.727  -0.517 -0.918  -0.531 -1.109  -0.570 -1.294  -0.567 -1.112  -0.570 -0.920  -0.567 -0.729  -0.524 -0.543  -0.482 -0.356  -0.429 -0.172  -0.368 0.009  -0.308 0.191  -0.250 0.373  -0.192 0.556  -0.112 0.728  -0.017 0.895  0.085 1.057  0.216 1.184  0.396 1.246  0.585 1.256  0.772 1.212  0.933 1.116  1.036 0.968  1.080 0.782  1.091 0.593  1.072 0.403  1.034 0.217  0.955 0.043  0.876 -0.131  0.769 -0.288  0.645 -0.434  0.521 -0.579  0.397 -0.726  0.274 -0.872  0.151 -1.019  -0.024 -1.096  -0.199 -1.174  -0.367 -1.265  -0.549 -1.317
3#apb#apb14#app1421/F  -0.215 1.257  -0.145 1.124  -0.162 0.893  -0.190 0.663  -0.220 0.433  -0.245 0.202  -0.284 -0.025  -0.354 -0.246  -0.423 -0.467  -0.490 -0.689  -0.558 -0.910  -0.584 -1.140  -0.608 -1.371  -0.610 -1.602  -0.560 -1.709  -0.546 -1.477  -0.531 -1.246  -0.517 -1.015  -0.503 -0.783  -0.489 -0.552  -0.475 -0.321  -0.460 -0.090  -0.446 0.142  -0.432 0.373  -0.418 0.604  -0.404 0.836  -0.275 1.014  -0.050 1.063  0.181 1.071  0.412 1.063  0.643 1.048  0.875 1.047  1.100 1.005  1.319 0.929  1.352 0.822  1.165 0.684  0.979 0.547  0.792 0.409  0.606 0.272  0.419 0.134  0.233 -0.003  0.046 -0.141  -0.140 -0.278  -0.327 -0.416  -0.318 -0.520  -0.091 -0.557  0.141 -0.557  0.371 -0.527  0.601 -0.503  0.832 -0.488
3#apb#apb14#app1421/G  0.414 0.835  0.428 0.975  0.436 1.108  0.338 1.181  0.199 1.161  0.069 1.120  -0.048 1.042  -0.162 0.959  -0.272 0.871  -0.382 0.783  -0.476 0.679  -0.570 0.574  -0.664 0.470  -0.743 0.354  -0.810 0.230  -0.877 0.106  -0.944 -0.017  -0.985 -0.152  -1.026 -0.286  -1.055 -0.422  -1.039 -0.562  -1.023 -0.701  -0.942 -0.815  -0.857 -0.927  -0.735 -0.988  -0.602 -1.033  -0.464 -1.038  -0.324 -1.021  -0.187 -0.993  -0.055 -0.946  0.066 -0.879  0.171 -0.785  0.240 -0.667  0.284 -0.534  0.284 -0.393  0.273 -0.253  0.250 -0.115  0.172 -0.005  0.199 0.114  0.338 0.135  0.478 0.142  0.618 0.125  0.758 0.109  0.898 0.099  1.038 0.091  1.178 0.075  1.318 0.058  1.458 0.052  1.599 0.052  1.738 0.033
3#apb#apb14#app1421/H  -0.450 1.261  -0.475 1.231  -0.462 0.956  -0.479 0.684  -0.546 0.416  -0.586 0.143  -0.627 -0.130  -0.687 -0.400  -0.728 -0.672  -0.751 -0.947  -0.767 -1.222  -0.673 -1.065  -0.558 -0.814  -0.443 -0.563  -0.329 -0.312  -0.214 -0.061  -0.099 0.190  0.016 0.441  0.130 0.692  0.245 0.943  0.360 1.195  0.474 1.446  0.548 1.641  0.697 1.424  0.761 1.158  0.790 0.883  0.749 0.610  0.709 0.337  0.673 0.064  0.638 -0.210  0.602 -0.484  0.564 -0.757  0.513 -1.029  0.499 -1.303  0.566 -1.570  0.392 -1.404  0.198 -1.208  0.005 -1.011  -0.189 -0.814  -0.382 -0.617  -0.576 -0.420  -0.770 -0.224  -0.853 -0.001  -0.598 0.088  -0.328 0.147  -0.056 0.195  0.215 0.243  0.489 0.281  0.763 0.308  1.035 0.263
3#apb#apb14#app1421/I  0.224 1.053  0.177 0.896  0.177 0.664  0.165 0.434  0.098 0.212  0.032 -0.011  -0.027 -0.235  -0.081 -0.460  -0.108 -0.691  -0.102 -0.919  -0.031 -1.138  -0.093 -0.950  -0.189 -0.739  -0.284 -0.528  -0.380 -0.317  -0.476 -0.105  -0.572 0.106  -0.668 0.317  -0.763 0.528  -0.859 0.739  -0.917 0.955  -0.723 1.065  -0.498 1.122  -0.269 1.153  -0.038 1.168  0.191 1.202  0.422 1.214  0.653 1.198  0.878 1.145  1.073 1.040  1.072 0.863  0.908 0.699  0.744 0.535  0.580 0.371  0.416 0.207  0.252 0.043  0.088 -0.121  -0.076 -0.285  -0.240 -0.449  -0.404 -0.613  -0.568 -0.777  -0.732 -0.941  -0.662 -1.114  -0.456 -1.218  -0.232 -1.254  -0.000 -1.254  0.232 -1.254  0.461 -1.230  0.688 -1.185  0.916 -1.139
3#apb#apb14#app1421/J  0.147 0.494  0.235 0.618  0.291 0.758  0.418 0.702  0.491 0.573  0.516 0.423  0.520 0.272  0.511 0.120  0.499 -0.032  0.481 -0.183  0.460 -0.333  0.400 -0.474  0.341 -0.614  0.278 -0.752  0.200 -0.883  0.122 -1.013  0.020 -1.126  -0.087 -1.234  -0.199 -1.337  -0.320 -1.424  -0.465 -1.412  -0.595 -1.336  -0.695 -1.229  -0.702 -1.077  -0.709 -0.925  -0.716 -0.773  -0.723 -0.621  -0.730 -0.469  -0.737 -0.316  -0.744 -0.164  -0.751 -0.012  -0.758 0.140  -0.765 0.292  -0.772 0.444  -0.790 0.594  -0.683 0.641  -0.538 0.681  -0.399 0.740  -0.252 0.767  -0.099 0.767  0.052 0.772  0.202 0.797  0.353 0.822  0.503 0.847  0.653 0.872  0.803 0.895  0.955 0.904  1.107 0.913  1.258 0.933  1.409 0.956
3#apb#apb14#app1421/K  -0.041 1.941  -0.116 1.859  -0.147 1.662  -0.174 1.464  -0.196 1.266  -0.218 1.068  -0.240 0.870  -0.262 0.672  -0.300 0.476  -0.341 0.281  -0.381 0.086  -0.421 -0.110  -0.460 -0.305  -0.499 -0.501  -0.550 -0.693  -0.607 -0.884  -0.663 -1.075  -0.683 -1.274  -0.688 -1.473  -0.666 -1.317  -0.642 -1.119  -0.618 -0.921  -0.593 -0.723  -0.569 -0.525  -0.545 -0.328  -0.551 -0.135  -0.417 0.010  -0.257 0.129  -0.084 0.222  0.107 0.279  0.297 0.338  0.484 0.408  0.671 0.477  0.860 0.540  1.054 0.572  1.108 0.550  0.917 0.491  0.727 0.433  0.536 0.374  0.345 0.315  0.169 0.234  0.114 0.044  0.204 -0.127  0.285 -0.309  0.356 -0.495  0.469 -0.659  0.583 -0.823  0.733 -0.954  0.881 -1.087  1.030 -1.220
3#apb#apb14#app1421/L  0.227 1.601  0.283 1.660  0.241 1.675  0.211 1.597  0.192 1.511  0.170 1.426  0.146 1.341  0.122 1.256  0.098 1.172  0.078 1.086  0.060 1.000  0.042 0.913  0.024 0.827  0.006 0.741  -0.028 0.660  -0.062 0.579  -0.097 0.498  -0.132 0.417  -0.166 0.336  -0.201 0.255  -0.232 0.172  -0.263 0.090  -0.295 0.008  -0.326 -0.075  -0.357 -0.157  -0.383 -0.241  -0.402 -0.327  -0.421 -0.413  -0.440 -0.499  -0.459 -0.585  -0.470 -0.672  -0.480 -0.760  -0.471 -0.846  -0.447 -0.931  -0.382 -0.979  -0.301 -1.014  -0.214 -1.021  -0.126 -1.021  -0.038 -1.021  0.050 -1.021  0.136 -1.002  0.222 -0.984  0.309 -0.965  0.395 -0.946  0.480 -0.926  0.566 -0.907  0.652 -0.887  0.740 -0.880  0.828 -0.873  0.915 -0.865
3#apb#apb14#app1421/M  -0.577 0.888  -0.482 0.901  -0.473 0.654  -0.520 0.414  -0.631 0.192  -0.742 -0.030  -0.848 -0.255  -0.938 -0.486  -1.029 -0.718  -1.121 -0.948  -1.213 -1.179  -1.195 -1.159  -1.018 -0.988  -0.914 -0.762  -0.800 -0.542  -0.685 -0.322  -0.591 -0.092  -0.497 0.138  -0.391 0.363  -0.284 0.588  -0.170 0.808  -0.053 1.028  0.099 1.224  0.286 1.216  0.329 0.972  0.329 0.723  0.298 0.477  0.251 0.234  0.200 -0.010  0.109 -0.240  0.013 -0.469  -0.098 -0.692  -0.191 -0.922  -0.083 -0.745  0.060 -0.542  0.195 -0.333  0.326 -0.122  0.457 0.089  0.585 0.302  0.716 0.513  0.868 0.710  1.057 0.865  1.133 0.647  1.156 0.400  1.183 0.153  1.212 -0.094  1.212 -0.342  1.177 -0.588  1.147 -0.835  1.144 -1.083
3#apb#apb14#app1421/N  -0.373 0.909  -0.393 1.085  -0.400 0.897  -0.439 0.713  -0.480 0.529  -0.540 0.350  -0.600 0.171  -0.664 -0.007  -0.729 -0.184  -0.794 -0.361  -0.859 -0.538  -0.919 -0.717  -0.972 -0.898  -1.018 -1.080  -0.901 -0.988  -0.820 -0.818  -0.737 -0.649  -0.647 -0.483  -0.568 -0.311  -0.491 -0.139  -0.428 0.038  -0.378 0.220  -0.328 0.402  -0.265 0.579  -0.203 0.758  -0.150 0.939  -0.106 0.915  -0.091 0.727  -0.091 0.539  -0.099 0.350  -0.110 0.162  -0.112 -0.027  -0.107 -0.215  -0.058 -0.397  -0.005 -0.578  0.064 -0.749  0.239 -0.812  0.425 -0.802  0.598 -0.737  0.749 -0.624  0.870 -0.480  0.996 -0.339  1.129 -0.206  1.261 -0.071  1.388 0.068  1.493 0.223  1.577 0.392  1.641 0.569  1.707 0.746  1.741 0.929
