2#app#app14#app1446/0  -0.536 0.669  -0.417 0.704  -0.368 0.837  -0.244 0.907  -0.117 0.970  0.013 1.025  0.166 1.025  0.320 1.025  0.473 1.025  0.531 0.931  0.623 0.815  0.765 0.788  0.769 0.639  0.769 0.486  0.769 0.333  0.769 0.180  0.769 0.026  0.769 -0.127  0.769 -0.280  0.769 -0.433  0.719 -0.566  0.633 -0.687  0.584 -0.833  0.536 -0.978  0.433 -1.090  0.324 -1.198  0.216 -1.306  0.079 -1.347  -0.074 -1.347  -0.227 -1.347  -0.380 -1.347  -0.417 -1.231  -0.485 -1.093  -0.548 -0.954  -0.596 -0.809  -0.645 -0.664  -0.654 -0.512  -0.654 -0.359  -0.654 -0.206  -0.654 -0.052  -0.654 0.101  -0.654 0.254  -0.654 0.407  -0.654 0.560  -0.654 0.713  -0.599 0.844  -0.472 0.907  -0.319 0.907  -0.170 0.896  -0.061 0.788
2#app#app14#app1446/1  -0.183 1.533  -0.113 1.533  -0.043 1.533  0.007 1.514  0.007 1.443  0.007 1.373  0.007 1.303  0.007 1.233  0.007 1.163  0.007 1.093  0.007 1.023  0.007 0.953  0.007 0.883  0.007 0.813  0.007 0.743  0.007 0.673  0.007 0.603  0.007 0.533  0.007 0.463  0.007 0.393  0.007 0.323  0.007 0.252  0.007 0.182  0.007 0.112  0.007 0.042  0.007 -0.028  0.007 -0.098  0.007 -0.168  0.007 -0.238  0.007 -0.308  0.007 -0.378  0.007 -0.448  0.007 -0.518  0.007 -0.588  0.007 -0.658  0.007 -0.728  0.007 -0.798  0.007 -0.869  0.007 -0.939  0.007 -1.009  0.007 -1.079  0.007 -1.149  0.007 -1.219  0.007 -1.289  0.007 -1.359  0.007 -1.429  0.007 -1.499  0.007 -1.569  0.007 -1.639  0.007 -1.709
2#app#app14#app1446/  0.384 1.650  0.384 1.579  0.365 1.513  0.334 1.450  0.302 1.387  0.284 1.321  0.284 1.250  0.284 1.179  0.265 1.113  0.233 1.050  0.202 0.987  0.184 0.921  0.184 0.850  0.184 0.780  0.184 0.709  0.180 0.639  0.157 0.572  0.135 0.505  0.113 0.438  0.091 0.371  0.068 0.305  0.046 0.238  0.024 0.171  0.001 0.104  -0.015 0.036  -0.015 -0.035  -0.015 -0.105  -0.015 -0.176  -0.016 -0.246  -0.038 -0.313  -0.060 -0.380  -0.083 -0.447  -0.105 -0.514  -0.115 -0.583  -0.115 -0.653  -0.115 -0.724  -0.138 -0.789  -0.169 -0.852  -0.201 -0.915  -0.232 -0.978  -0.264 -1.042  -0.296 -1.105  -0.314 -1.171  -0.314 -1.241  -0.314 -1.312  -0.333 -1.378  -0.364 -1.441  -0.396 -1.504  -0.414 -1.571  -0.414 -1.641
2#app#app14#app1446/2  -0.792 0.541  -0.792 0.420  -0.792 0.455  -0.767 0.566  -0.681 0.652  -0.582 0.706  -0.463 0.709  -0.463 0.830  -0.382 0.870  -0.272 0.898  -0.186 0.984  -0.085 1.035  0.034 1.039  0.120 1.125  0.211 1.199  0.333 1.199  0.454 1.199  0.524 1.148  0.524 1.026  0.524 0.905  0.524 0.783  0.524 0.662  0.524 0.540  0.524 0.419  0.488 0.305  0.434 0.197  0.380 0.088  0.305 -0.006  0.219 -0.092  0.156 -0.195  0.102 -0.303  0.047 -0.412  -0.029 -0.505  -0.115 -0.591  -0.176 -0.695  -0.231 -0.803  -0.285 -0.912  -0.363 -1.004  -0.449 -1.090  -0.463 -1.205  -0.405 -1.269  -0.284 -1.269  -0.162 -1.269  -0.041 -1.269  0.081 -1.269  0.202 -1.269  0.324 -1.269  0.445 -1.269  0.567 -1.269  0.689 -1.269
2#app#app14#app1446/3  -1.035 1.078  -0.930 1.078  -0.825 1.078  -0.720 1.078  -0.616 1.078  -0.511 1.078  -0.406 1.078  -0.301 1.078  -0.197 1.078  -0.092 1.078  0.013 1.078  0.118 1.078  0.223 1.078  0.277 1.027  0.277 0.922  0.277 0.818  0.277 0.713  0.254 0.618  0.180 0.544  0.106 0.469  0.032 0.395  -0.042 0.321  -0.116 0.247  -0.191 0.173  -0.265 0.099  -0.339 0.025  -0.345 -0.049  -0.271 -0.123  -0.197 -0.197  -0.160 -0.287  -0.160 -0.392  -0.116 -0.453  -0.012 -0.453  0.083 -0.477  0.157 -0.551  0.231 -0.626  0.277 -0.711  0.277 -0.816  0.308 -0.890  0.413 -0.890  0.496 -0.912  0.496 -1.017  0.496 -1.121  0.496 -1.226  0.493 -1.330  0.419 -1.404  0.345 -1.478  0.277 -1.555  0.277 -1.660  0.277 -1.764
2#app#app14#app1446/  0.107 1.702  0.107 1.632  0.107 1.562  0.107 1.491  0.107 1.421  0.107 1.351  0.107 1.280  0.107 1.210  0.107 1.140  0.107 1.069  0.107 0.999  0.107 0.929  0.107 0.859  0.107 0.788  0.107 0.718  0.107 0.648  0.107 0.577  0.107 0.507  0.107 0.437  0.107 0.367  0.107 0.296  0.107 0.226  0.107 0.156  0.107 0.085  0.107 0.015  0.107 -0.055  0.107 -0.126  0.085 -0.192  0.063 -0.259  0.041 -0.326  0.018 -0.392  -0.002 -0.460  -0.019 -0.528  -0.036 -0.596  -0.053 -0.664  -0.070 -0.732  -0.087 -0.801  -0.111 -0.866  -0.142 -0.929  -0.174 -0.992  -0.197 -1.057  -0.197 -1.127  -0.197 -1.197  -0.197 -1.268  -0.197 -1.338  -0.243 -1.389  -0.293 -1.439  -0.299 -1.507  -0.299 -1.577  -0.299 -1.647
2#app#app14#app1446/4  -0.903 1.014  -0.903 0.827  -0.903 0.640  -0.903 0.453  -0.913 0.276  -1.100 0.276  -1.149 0.138  -1.149 -0.050  -1.129 -0.217  -0.942 -0.217  -0.903 -0.365  -0.814 -0.463  -0.657 -0.493  -0.657 -0.680  -0.499 -0.709  -0.312 -0.709  -0.136 -0.681  -0.004 -0.549  0.148 -0.463  0.335 -0.463  0.522 -0.463  0.575 -0.328  0.575 -0.141  0.575 0.046  0.575 0.233  0.575 0.420  0.575 0.607  0.575 0.794  0.575 0.982  0.575 1.169  0.575 1.356  0.575 1.470  0.575 1.283  0.458 1.144  0.328 1.011  0.328 0.824  0.328 0.637  0.328 0.449  0.328 0.262  0.328 0.075  0.328 -0.112  0.328 -0.299  0.328 -0.486  0.328 -0.673  0.328 -0.861  0.328 -1.048  0.328 -1.235  0.328 -1.422  0.442 -1.562  0.575 -1.694
2#app#app14#app1446/5  -0.422 1.002  -0.422 0.836  -0.539 0.718  -0.590 0.572  -0.590 0.406  -0.656 0.267  -0.735 0.165  -0.590 0.144  -0.570 -0.003  -0.409 -0.016  -0.291 -0.134  -0.140 -0.170  -0.087 -0.284  0.013 -0.388  0.162 -0.463  0.319 -0.505  0.415 -0.575  0.415 -0.742  0.415 -0.908  0.415 -1.075  0.415 -1.241  0.369 -1.389  0.252 -1.506  0.134 -1.624  0.068 -1.589  0.046 -1.424  0.024 -1.259  0.002 -1.094  -0.020 -0.929  -0.042 -0.764  -0.064 -0.599  -0.086 -0.434  -0.108 -0.269  -0.130 -0.104  -0.152 0.061  -0.174 0.226  -0.196 0.391  -0.218 0.556  -0.240 0.721  -0.203 0.835  -0.087 0.885  -0.053 1.037  0.065 1.155  0.225 1.170  0.349 1.272  0.489 1.337  0.634 1.389  0.752 1.505  0.918 1.504  0.918 1.337
2#app#app14#app1446/`  -0.754 0.538  -0.637 0.538  -0.520 0.538  -0.403 0.538  -0.286 0.538  -0.252 0.621  -0.252 0.738  -0.252 0.855  -0.252 0.971  -0.300 1.040  -0.417 1.040  -0.534 1.040  -0.651 1.040  -0.754 1.026  -0.754 0.909  -0.754 0.792  -0.754 0.675  -0.754 0.558  -0.657 0.538  -0.540 0.538  -0.423 0.538  -0.306 0.538  -0.252 0.476  -0.252 0.359  -0.252 0.242  -0.252 0.125  -0.224 0.037  -0.107 0.037  0.010 0.037  0.127 0.037  0.244 0.037  0.250 -0.074  0.250 -0.191  0.250 -0.308  0.250 -0.425  0.304 -0.519  0.386 -0.602  0.469 -0.684  0.552 -0.767  0.634 -0.850  0.717 -0.932  0.751 -1.035  0.751 -1.152  0.751 -1.269  0.751 -1.385  0.785 -1.468  0.902 -1.468  1.019 -1.468  1.136 -1.468  1.253 -1.468
2#app#app14#app1446/i  -0.104 0.383  -0.104 0.268  -0.104 0.154  -0.104 0.039  -0.104 -0.076  -0.104 -0.190  -0.104 -0.305  -0.104 -0.419  -0.057 -0.514  0.024 -0.595  0.105 -0.676  0.108 -0.789  0.108 -0.904  0.108 -1.019  0.108 -1.133  0.108 -1.248  0.108 -1.362  0.108 -1.477  0.104 -1.464  0.098 -1.350  0.091 -1.235  0.084 -1.121  0.077 -1.007  0.071 -0.892  0.064 -0.778  0.057 -0.664  0.051 -0.549  0.044 -0.435  0.037 -0.321  0.030 -0.206  0.024 -0.092  0.017 0.022  0.010 0.137  0.003 0.251  -0.003 0.365  -0.010 0.480  -0.017 0.594  -0.023 0.708  -0.030 0.823  -0.037 0.937  -0.044 1.051  -0.050 1.166  -0.057 1.280  -0.064 1.395  -0.071 1.509  -0.077 1.623  -0.084 1.738  -0.091 1.852  -0.097 1.966  -0.104 2.081
2#app#app14#app1446/s  0.253 1.705  0.253 1.604  0.253 1.504  0.222 1.416  0.151 1.345  0.080 1.274  0.009 1.202  -0.062 1.131  -0.133 1.060  -0.204 0.989  -0.264 0.913  -0.264 0.812  -0.264 0.712  -0.324 0.671  -0.424 0.671  -0.523 0.669  -0.523 0.568  -0.523 0.467  -0.523 0.367  -0.523 0.266  -0.523 0.165  -0.433 0.154  -0.333 0.154  -0.264 0.122  -0.264 0.022  -0.264 -0.079  -0.189 -0.104  -0.088 -0.104  0.007 -0.117  0.078 -0.188  0.149 -0.259  0.221 -0.331  0.292 -0.402  0.363 -0.473  0.434 -0.544  0.505 -0.615  0.512 -0.713  0.512 -0.814  0.512 -0.914  0.512 -1.015  0.512 -1.116  0.457 -1.193  0.385 -1.265  0.314 -1.336  0.239 -1.397  0.138 -1.397  0.038 -1.397  -0.063 -1.397  -0.163 -1.397  -0.264 -1.397
