3#apa#apa20#app2059/S  0.296 0.855  0.281 0.966  0.196 1.046  0.105 1.072  0.056 1.142  -0.061 1.142  -0.179 1.142  -0.291 1.128  -0.375 1.046  -0.492 1.046  -0.610 1.046  -0.661 0.979  -0.750 0.950  -0.852 0.935  -0.852 0.817  -0.852 0.700  -0.795 0.606  -0.711 0.522  -0.628 0.439  -0.537 0.376  -0.434 0.340  -0.344 0.266  -0.239 0.213  -0.128 0.185  -0.033 0.131  0.061 0.063  0.167 0.010  0.257 -0.063  0.340 -0.146  0.424 -0.230  0.512 -0.306  0.617 -0.359  0.679 -0.438  0.679 -0.556  0.744 -0.646  0.775 -0.751  0.775 -0.869  0.775 -0.987  0.775 -1.104  0.708 -1.155  0.590 -1.155  0.472 -1.155  0.355 -1.155  0.237 -1.155  0.119 -1.155  0.001 -1.155  -0.116 -1.155  -0.234 -1.155  -0.352 -1.155  -0.469 -1.155
3#apa#apa20#app2059/e  -0.394 -0.269  -0.517 -0.146  -0.535 -0.023  -0.412 0.099  -0.290 0.013  -0.153 -0.076  0.020 -0.076  0.194 -0.076  0.367 -0.076  0.540 -0.076  0.714 -0.076  0.851 0.012  0.981 0.117  1.149 0.122  1.149 0.295  1.149 0.469  1.051 0.602  0.921 0.714  0.766 0.791  0.611 0.869  0.442 0.889  0.301 0.966  0.176 1.082  0.002 1.082  -0.171 1.082  -0.345 1.082  -0.482 0.995  -0.604 0.872  -0.727 0.750  -0.878 0.696  -0.973 0.618  -0.973 0.444  -0.973 0.271  -0.973 0.098  -0.973 -0.076  -0.896 -0.231  -0.818 -0.386  -0.718 -0.524  -0.595 -0.647  -0.472 -0.770  -0.350 -0.892  -0.227 -1.015  -0.064 -1.041  -0.008 -1.158  0.089 -1.233  0.263 -1.233  0.436 -1.233  0.610 -1.233  0.783 -1.233  0.956 -1.233
3#apa#apa20#app2059/e  -0.256 0.051  -0.429 0.051  -0.442 0.211  -0.589 0.236  -0.627 0.371  -0.505 0.422  -0.364 0.344  -0.236 0.236  -0.064 0.236  0.109 0.236  0.282 0.236  0.455 0.236  0.628 0.236  0.801 0.236  0.857 0.353  0.857 0.526  0.857 0.698  0.802 0.848  0.679 0.971  0.510 0.978  0.337 0.978  0.164 0.978  -0.009 0.978  -0.182 0.978  -0.355 0.978  -0.442 0.893  -0.515 0.793  -0.670 0.750  -0.792 0.628  -0.813 0.464  -0.813 0.291  -0.813 0.118  -0.813 -0.055  -0.813 -0.228  -0.813 -0.400  -0.765 -0.554  -0.643 -0.676  -0.521 -0.798  -0.384 -0.896  -0.220 -0.951  -0.056 -1.006  0.108 -1.060  0.232 -1.180  0.377 -1.248  0.549 -1.248  0.722 -1.248  0.895 -1.248  1.068 -1.248  1.241 -1.248  1.414 -1.248
3#apa#apa20#app2059/?  -0.387 0.570  -0.477 0.660  -0.590 0.680  -0.624 0.773  -0.691 0.832  -0.776 0.874  -0.793 0.985  -0.758 1.077  -0.631 1.077  -0.504 1.077  -0.378 1.077  -0.261 1.052  -0.166 0.975  -0.039 0.975  0.088 0.975  0.187 0.909  0.299 0.874  0.396 0.801  0.485 0.711  0.596 0.671  0.627 0.576  0.627 0.449  0.595 0.335  0.497 0.266  0.424 0.212  0.345 0.164  0.229 0.117  0.115 0.063  0.019 0.033  -0.037 -0.039  -0.083 -0.119  -0.188 -0.143  -0.277 -0.233  -0.204 -0.323  -0.143 -0.432  -0.090 -0.547  -0.037 -0.663  0.016 -0.778  0.070 -0.893  0.123 -1.008  0.176 -1.123  0.229 -1.238  0.282 -1.353  0.335 -1.468  0.388 -1.584  0.382 -1.661  0.256 -1.661  0.221 -1.568  0.108 -1.548  0.019 -1.458
3#apa#apa20#app2059/\"  -0.544 1.725  -0.544 1.610  -0.544 1.495  -0.544 1.380  -0.544 1.265  -0.544 1.150  -0.544 1.035  -0.544 0.921  -0.544 0.806  -0.544 0.691  -0.544 0.576  -0.544 0.461  -0.544 0.346  -0.544 0.231  -0.544 0.116  -0.544 0.001  -0.544 -0.114  -0.544 -0.229  -0.544 -0.343  -0.544 -0.458  -0.544 -0.573  -0.544 -0.688  -0.538 -0.800  -0.456 -0.882  -0.375 -0.963  -0.294 -1.044  -0.213 -1.125  -0.131 -1.207  -0.061 -1.129  0.008 -1.037  0.077 -0.945  0.145 -0.853  0.214 -0.761  0.283 -0.669  0.352 -0.577  0.421 -0.486  0.490 -0.394  0.559 -0.302  0.628 -0.210  0.697 -0.118  0.766 -0.026  0.835 0.066  0.904 0.158  0.973 0.250  1.042 0.342  1.111 0.434  1.135 0.391  1.135 0.276  1.135 0.161  1.135 0.046
3#apa#apa20#app2059/s  0.570 0.268  0.570 0.437  0.551 0.586  0.411 0.614  0.411 0.783  0.364 0.904  0.212 0.944  0.093 1.063  -0.075 1.063  -0.243 1.063  -0.412 1.063  -0.569 1.037  -0.688 0.917  -0.851 0.904  -1.019 0.904  -1.026 0.739  -1.145 0.620  -1.178 0.465  -1.086 0.335  -1.019 0.194  -0.936 0.109  -0.767 0.109  -0.599 0.109  -0.430 0.109  -0.262 0.109  -0.094 0.109  0.075 0.109  0.243 0.109  0.411 0.109  0.580 0.109  0.729 0.091  0.757 -0.050  0.888 -0.087  0.888 -0.256  0.888 -0.424  0.888 -0.592  0.813 -0.685  0.729 -0.770  0.729 -0.938  0.626 -1.003  0.570 -1.116  0.484 -1.249  0.345 -1.321  0.177 -1.321  0.034 -1.261  -0.094 -1.162  -0.251 -1.136  -0.370 -1.017  -0.383 -0.854  -0.542 -0.844
3#apa#apa20#app2059/c  1.024 0.840  0.922 0.840  0.820 0.840  0.718 0.840  0.675 0.899  0.675 1.002  0.586 1.015  0.484 1.015  0.382 1.015  0.280 1.015  0.177 1.015  0.075 1.015  -0.027 1.015  -0.129 1.015  -0.198 0.982  -0.198 0.880  -0.242 0.796  -0.314 0.724  -0.373 0.646  -0.373 0.544  -0.422 0.491  -0.524 0.491  -0.547 0.412  -0.547 0.310  -0.547 0.208  -0.547 0.106  -0.547 0.004  -0.547 -0.098  -0.547 -0.200  -0.547 -0.303  -0.547 -0.405  -0.547 -0.507  -0.547 -0.609  -0.547 -0.711  -0.465 -0.731  -0.366 -0.738  -0.294 -0.810  -0.222 -0.882  -0.149 -0.954  -0.077 -1.027  0.003 -1.080  0.105 -1.080  0.191 -1.120  0.263 -1.192  0.339 -1.255  0.441 -1.255  0.543 -1.255  0.645 -1.255  0.747 -1.255  0.849 -1.255
3#apa#apa20#app2059/r  -0.494 1.038  -0.631 1.038  -0.709 0.979  -0.709 0.842  -0.709 0.705  -0.709 0.568  -0.709 0.431  -0.641 0.323  -0.544 0.226  -0.494 0.110  -0.494 -0.027  -0.494 -0.164  -0.473 -0.296  -0.412 -0.419  -0.351 -0.541  -0.290 -0.664  -0.278 -0.798  -0.255 -0.926  -0.158 -1.023  -0.062 -1.120  -0.062 -1.257  -0.062 -1.394  -0.062 -1.531  -0.062 -1.432  -0.062 -1.295  -0.062 -1.158  0.007 -1.049  0.103 -0.953  0.153 -0.836  0.153 -0.699  0.153 -0.562  0.153 -0.425  0.153 -0.288  0.153 -0.151  0.153 -0.014  0.153 0.123  0.213 0.235  0.310 0.332  0.369 0.444  0.369 0.581  0.419 0.706  0.480 0.829  0.541 0.951  0.584 1.078  0.584 1.215  0.683 1.253  0.820 1.253  0.957 1.253  1.094 1.253  1.231 1.253
3#apa#apa20#app2059/e  -1.028 0.207  -0.864 0.207  -0.700 0.207  -0.536 0.207  -0.372 0.207  -0.209 0.207  -0.045 0.207  0.119 0.207  0.283 0.207  0.365 0.125  0.365 -0.039  0.496 -0.072  0.660 -0.072  0.824 -0.072  0.988 -0.072  1.151 -0.072  1.200 0.043  1.200 0.207  1.200 0.371  1.200 0.535  1.200 0.699  1.101 0.764  0.937 0.764  0.774 0.764  0.610 0.764  0.446 0.764  0.282 0.764  0.118 0.764  -0.046 0.764  -0.210 0.764  -0.373 0.764  -0.518 0.717  -0.634 0.601  -0.749 0.485  -0.749 0.321  -0.749 0.157  -0.749 -0.007  -0.749 -0.170  -0.749 -0.334  -0.749 -0.498  -0.749 -0.662  -0.749 -0.826  -0.691 -0.966  -0.575 -1.081  -0.471 -1.202  -0.471 -1.366  -0.405 -1.464  -0.242 -1.464  -0.192 -1.579  -0.192 -1.743
3#apa#apa20#app2059/e  -0.365 0.068  -0.225 0.068  -0.086 0.068  0.053 0.068  0.193 0.068  0.332 0.068  0.471 0.068  0.610 0.068  0.750 0.068  0.889 0.068  0.968 0.128  0.968 0.267  0.968 0.407  0.968 0.546  0.968 0.685  0.905 0.798  0.806 0.897  0.692 0.957  0.553 0.957  0.413 0.957  0.274 0.957  0.135 0.957  -0.005 0.957  -0.144 0.957  -0.283 0.957  -0.405 0.916  -0.504 0.818  -0.597 0.715  -0.659 0.590  -0.721 0.466  -0.784 0.341  -0.809 0.208  -0.809 0.069  -0.809 -0.071  -0.809 -0.210  -0.809 -0.349  -0.809 -0.489  -0.788 -0.619  -0.690 -0.718  -0.591 -0.816  -0.493 -0.915  -0.394 -1.013  -0.296 -1.112  -0.197 -1.210  -0.099 -1.309  -0.000 -1.407  0.106 -1.487  0.245 -1.487  0.385 -1.487  0.524 -1.487
3#apa#apa20#app2059/c  1.169 0.591  1.169 0.686  1.169 0.781  1.128 0.835  1.033 0.835  0.938 0.835  0.843 0.835  0.748 0.835  0.653 0.835  0.558 0.835  0.463 0.835  0.368 0.835  0.273 0.835  0.178 0.835  0.083 0.835  -0.012 0.835  -0.107 0.835  -0.202 0.835  -0.296 0.834  -0.296 0.739  -0.296 0.644  -0.296 0.549  -0.296 0.454  -0.296 0.359  -0.354 0.288  -0.421 0.221  -0.488 0.154  -0.540 0.080  -0.540 -0.015  -0.540 -0.110  -0.540 -0.205  -0.540 -0.300  -0.540 -0.395  -0.540 -0.490  -0.540 -0.584  -0.540 -0.679  -0.540 -0.774  -0.540 -0.869  -0.449 -0.874  -0.354 -0.874  -0.280 -0.906  -0.237 -0.991  -0.195 -1.076  -0.152 -1.161  -0.110 -1.246  -0.067 -1.331  -0.009 -1.405  0.058 -1.472  0.125 -1.539  0.192 -1.606
