1b#ceb#Cheng/N  -0.389 1.541  -0.234 1.436  -0.151 1.258  -0.120 1.064  -0.109 0.868  -0.109 0.672  -0.128 0.476  -0.152 0.281  -0.189 0.088  -0.228 -0.105  -0.278 -0.295  -0.331 -0.484  -0.385 -0.673  -0.444 -0.861  -0.505 -1.048  -0.577 -1.231  -0.644 -1.416  -0.716 -1.599  -0.675 -1.428  -0.617 -1.240  -0.554 -1.054  -0.489 -0.868  -0.426 -0.682  -0.363 -0.495  -0.300 -0.309  -0.224 -0.128  -0.149 0.054  -0.075 0.236  -0.003 0.419  0.069 0.602  0.139 0.786  0.212 0.968  0.294 1.147  0.386 1.321  0.508 1.464  0.570 1.293  0.589 1.097  0.606 0.901  0.612 0.705  0.601 0.508  0.584 0.312  0.562 0.117  0.536 -0.078  0.501 -0.271  0.460 -0.464  0.414 -0.655  0.386 -0.849  0.379 -1.045  0.486 -1.193  0.671 -1.141
1b#ceb#Cheng/T  -1.091 0.427  -0.985 0.450  -0.878 0.471  -0.772 0.494  -0.666 0.521  -0.561 0.549  -0.456 0.579  -0.351 0.610  -0.246 0.641  -0.142 0.672  -0.037 0.703  0.068 0.733  0.172 0.764  0.277 0.795  0.382 0.826  0.487 0.855  0.592 0.885  0.697 0.915  0.802 0.944  0.872 0.952  0.790 0.881  0.707 0.809  0.624 0.738  0.542 0.667  0.459 0.595  0.377 0.524  0.303 0.446  0.257 0.347  0.217 0.246  0.180 0.143  0.148 0.039  0.117 -0.066  0.088 -0.171  0.065 -0.278  0.039 -0.384  0.013 -0.490  -0.013 -0.596  -0.043 -0.700  -0.077 -0.804  -0.111 -0.908  -0.145 -1.012  -0.175 -1.116  -0.205 -1.222  -0.234 -1.327  -0.264 -1.432  -0.298 -1.535  -0.331 -1.639  -0.365 -1.743  -0.398 -1.847  -0.431 -1.951
1b#ceb#Cheng/U  -0.210 1.076  -0.214 1.133  -0.267 1.030  -0.317 0.926  -0.368 0.822  -0.418 0.717  -0.467 0.613  -0.517 0.508  -0.565 0.402  -0.613 0.297  -0.660 0.191  -0.707 0.085  -0.753 -0.021  -0.798 -0.128  -0.841 -0.235  -0.880 -0.344  -0.911 -0.456  -0.934 -0.569  -0.946 -0.684  -0.929 -0.798  -0.888 -0.905  -0.807 -0.980  -0.696 -1.005  -0.584 -0.986  -0.478 -0.939  -0.373 -0.890  -0.273 -0.832  -0.174 -0.773  -0.077 -0.709  0.019 -0.645  0.111 -0.574  0.203 -0.503  0.291 -0.429  0.380 -0.354  0.465 -0.275  0.548 -0.195  0.630 -0.112  0.706 -0.026  0.783 0.061  0.856 0.151  0.929 0.241  1.001 0.332  1.071 0.424  1.140 0.517  1.208 0.611  1.268 0.710  1.316 0.814  1.314 0.925  1.243 0.907  1.183 0.876
1b#ceb#Cheng/G  0.451 1.598  0.299 1.749  0.087 1.741  -0.090 1.610  -0.240 1.447  -0.365 1.264  -0.483 1.078  -0.585 0.881  -0.684 0.684  -0.767 0.478  -0.849 0.273  -0.916 0.062  -0.964 -0.154  -1.006 -0.371  -1.026 -0.591  -1.030 -0.812  -0.981 -1.027  -0.819 -1.162  -0.611 -1.129  -0.426 -1.010  -0.256 -0.868  -0.108 -0.703  0.036 -0.536  0.168 -0.359  0.297 -0.178  0.419 0.006  0.539 0.192  0.652 0.382  0.609 0.261  0.543 0.050  0.489 -0.164  0.440 -0.380  0.413 -0.600  0.404 -0.821  0.419 -1.041  0.496 -1.245  0.535 -1.085  0.461 -0.878  0.361 -0.680  0.262 -0.482  0.162 -0.285  0.063 -0.087  -0.037 0.111  -0.135 0.308  0.079 0.367  0.297 0.403  0.517 0.420  0.738 0.430  0.959 0.439  1.178 0.417
1b#ceb#Cheng/T  -1.455 0.266  -1.334 0.239  -1.209 0.232  -1.085 0.232  -0.960 0.235  -0.835 0.240  -0.712 0.259  -0.589 0.280  -0.467 0.306  -0.346 0.333  -0.226 0.368  -0.107 0.406  0.011 0.446  0.129 0.487  0.246 0.529  0.362 0.576  0.477 0.624  0.591 0.673  0.706 0.722  0.821 0.771  0.935 0.821  1.045 0.880  1.107 0.962  1.019 0.881  0.930 0.794  0.841 0.706  0.752 0.619  0.663 0.532  0.574 0.444  0.486 0.357  0.397 0.269  0.308 0.182  0.219 0.094  0.130 0.007  0.061 -0.092  0.028 -0.212  -0.005 -0.333  -0.039 -0.453  -0.073 -0.573  -0.108 -0.692  -0.149 -0.810  -0.191 -0.928  -0.232 -1.045  -0.273 -1.163  -0.314 -1.281  -0.352 -1.399  -0.387 -1.519  -0.424 -1.638  -0.466 -1.755  -0.499 -1.876
1b#ceb#Cheng/R  -1.528 -0.580  -1.422 -0.527  -1.330 -0.452  -1.238 -0.377  -1.149 -0.299  -1.059 -0.222  -0.971 -0.143  -0.883 -0.063  -0.796 0.017  -0.712 0.100  -0.630 0.186  -0.547 0.271  -0.467 0.358  -0.392 0.449  -0.316 0.541  -0.247 0.637  -0.183 0.736  -0.121 0.837  -0.075 0.946  -0.036 1.057  -0.028 1.174  -0.105 1.141  -0.043 1.045  0.049 0.970  0.147 0.904  0.245 0.837  0.341 0.768  0.428 0.687  0.511 0.603  0.592 0.516  0.648 0.412  0.694 0.304  0.711 0.187  0.718 0.070  0.707 -0.048  0.690 -0.165  0.663 -0.281  0.635 -0.396  0.602 -0.509  0.568 -0.623  0.528 -0.734  0.486 -0.845  0.443 -0.955  0.402 -1.066  0.382 -1.183  0.398 -1.292  0.507 -1.312  0.618 -1.270  0.728 -1.227  0.838 -1.184
1b#ceb#Cheng/P  0.117 1.485  0.092 1.297  0.074 1.108  0.051 0.920  0.027 0.732  0.003 0.543  -0.028 0.356  -0.060 0.169  -0.095 -0.018  -0.134 -0.204  -0.174 -0.389  -0.222 -0.573  -0.269 -0.757  -0.319 -0.940  -0.369 -1.123  -0.413 -1.308  -0.453 -1.494  -0.488 -1.680  -0.489 -1.853  -0.441 -1.670  -0.409 -1.482  -0.385 -1.294  -0.357 -1.106  -0.326 -0.919  -0.295 -0.732  -0.265 -0.544  -0.234 -0.357  -0.203 -0.169  -0.173 0.018  -0.142 0.205  -0.111 0.393  -0.080 0.580  -0.050 0.767  -0.019 0.955  0.012 1.142  0.119 1.284  0.294 1.354  0.480 1.333  0.639 1.236  0.749 1.085  0.792 0.901  0.769 0.712  0.719 0.529  0.649 0.353  0.563 0.185  0.448 0.033  0.325 -0.111  0.190 -0.243  0.033 -0.349  -0.140 -0.360
1b#ceb#Cheng/F  -0.505 0.837  -0.340 0.818  -0.159 0.822  0.021 0.834  0.202 0.849  0.382 0.863  0.562 0.882  0.743 0.899  0.923 0.911  1.104 0.915  1.285 0.907  1.165 0.861  0.985 0.843  0.805 0.824  0.625 0.806  0.445 0.787  0.265 0.769  0.085 0.750  -0.095 0.732  -0.273 0.709  -0.314 0.534  -0.341 0.355  -0.367 0.175  -0.394 -0.004  -0.425 -0.182  -0.458 -0.360  -0.494 -0.537  -0.533 -0.714  -0.573 -0.891  -0.618 -1.066  -0.662 -1.242  -0.703 -1.418  -0.731 -1.597  -0.649 -1.594  -0.590 -1.425  -0.562 -1.246  -0.533 -1.067  -0.504 -0.888  -0.476 -0.709  -0.447 -0.531  -0.419 -0.352  -0.390 -0.173  -0.259 -0.142  -0.081 -0.173  0.098 -0.199  0.278 -0.220  0.459 -0.235  0.640 -0.241  0.821 -0.241  1.002 -0.234
1b#ceb#Cheng/I  -0.709 1.290  -0.699 1.327  -0.599 1.336  -0.499 1.349  -0.398 1.355  -0.297 1.355  -0.196 1.355  -0.097 1.346  -0.002 1.312  0.086 1.261  0.146 1.182  0.181 1.089  0.192 0.989  0.191 0.888  0.170 0.790  0.149 0.691  0.131 0.591  0.110 0.493  0.083 0.395  0.056 0.298  0.024 0.202  -0.008 0.106  -0.039 0.011  -0.070 -0.086  -0.101 -0.182  -0.135 -0.277  -0.171 -0.371  -0.207 -0.465  -0.243 -0.560  -0.279 -0.654  -0.322 -0.746  -0.365 -0.837  -0.411 -0.927  -0.471 -1.007  -0.437 -1.040  -0.336 -1.037  -0.235 -1.031  -0.134 -1.029  -0.033 -1.022  0.067 -1.017  0.168 -1.011  0.269 -1.001  0.368 -0.987  0.466 -0.962  0.561 -0.929  0.651 -0.883  0.740 -0.836  0.817 -0.771  0.895 -0.706  0.972 -0.641
1b#ceb#Cheng/I  -0.878 1.325  -0.778 1.387  -0.656 1.397  -0.533 1.404  -0.411 1.401  -0.289 1.391  -0.167 1.375  -0.047 1.350  0.072 1.318  0.189 1.284  0.304 1.243  0.311 1.129  0.290 1.008  0.269 0.887  0.243 0.767  0.217 0.647  0.189 0.527  0.162 0.408  0.128 0.290  0.094 0.172  0.060 0.054  0.028 -0.064  -0.001 -0.183  -0.024 -0.304  -0.046 -0.425  -0.077 -0.543  -0.108 -0.662  -0.121 -0.784  -0.142 -0.904  -0.177 -1.022  -0.248 -1.090  -0.327 -0.999  -0.397 -0.898  -0.468 -0.798  -0.551 -0.709  -0.571 -0.697  -0.461 -0.748  -0.343 -0.782  -0.223 -0.806  -0.101 -0.817  0.022 -0.824  0.144 -0.824  0.267 -0.824  0.389 -0.821  0.510 -0.800  0.631 -0.780  0.751 -0.756  0.865 -0.709  0.961 -0.637  1.048 -0.550
1b#ceb#Cheng/E  -0.585 0.963  -0.397 0.988  -0.209 1.011  -0.021 1.035  0.167 1.062  0.355 1.083  0.542 1.111  0.728 1.149  0.914 1.185  1.014 1.199  0.837 1.132  0.659 1.065  0.482 0.998  0.305 0.931  0.127 0.864  -0.050 0.797  -0.167 0.665  -0.241 0.490  -0.309 0.313  -0.380 0.138  -0.449 -0.039  -0.520 -0.214  -0.593 -0.390  -0.661 -0.567  -0.723 -0.746  -0.773 -0.928  -0.789 -1.116  -0.744 -1.297  -0.603 -1.419  -0.420 -1.444  -0.244 -1.373  -0.075 -1.289  0.102 -1.220  0.278 -1.150  0.299 -1.015  0.164 -0.883  0.028 -0.750  -0.107 -0.617  -0.243 -0.485  -0.378 -0.352  -0.514 -0.219  -0.392 -0.192  -0.203 -0.182  -0.015 -0.158  0.173 -0.128  0.359 -0.094  0.544 -0.055  0.728 -0.007  0.910 0.046  1.091 0.103
