3#app#app18#app1892/t  -0.049 1.561  -0.049 1.740  -0.187 1.779  -0.267 1.681  -0.342 1.521  -0.376 1.351  -0.376 1.172  -0.376 0.994  -0.376 0.816  -0.376 0.638  -0.376 0.459  -0.376 0.281  -0.376 0.103  -0.376 -0.075  -0.376 -0.253  -0.300 -0.408  -0.201 -0.557  -0.113 -0.711  -0.024 -0.864  0.102 -0.990  0.253 -1.057  0.431 -1.057  0.609 -1.057  0.787 -1.057  0.950 -0.993  1.096 -0.894  1.240 -0.794  1.335 -0.721  1.163 -0.678  0.990 -0.635  0.817 -0.591  0.644 -0.548  0.471 -0.505  0.298 -0.462  0.125 -0.419  -0.048 -0.375  -0.221 -0.332  -0.393 -0.289  -0.566 -0.246  -0.739 -0.202  -0.915 -0.184  -0.922 -0.013  -0.797 0.050  -0.671 0.176  -0.528 0.274  -0.359 0.331  -0.194 0.398  -0.038 0.482  0.100 0.580  0.278 0.580
3#app#app18#app1892/h  -0.812 1.820  -0.785 1.707  -0.699 1.652  -0.699 1.511  -0.699 1.371  -0.699 1.231  -0.699 1.090  -0.699 0.950  -0.651 0.821  -0.588 0.696  -0.587 0.556  -0.587 0.415  -0.587 0.275  -0.587 0.135  -0.580 -0.005  -0.536 -0.138  -0.491 -0.271  -0.474 -0.409  -0.474 -0.549  -0.474 -0.689  -0.449 -0.824  -0.386 -0.949  -0.301 -1.059  -0.183 -1.112  -0.070 -1.046  0.029 -0.946  0.107 -0.834  0.152 -0.701  0.196 -0.568  0.202 -0.428  0.218 -0.292  0.281 -0.166  0.360 -0.052  0.428 0.060  0.428 0.200  0.428 0.340  0.541 0.368  0.541 0.425  0.541 0.285  0.609 0.173  0.653 0.051  0.653 -0.089  0.713 -0.216  0.766 -0.344  0.801 -0.470  0.879 -0.578  0.919 -0.701  1.019 -0.800  1.118 -0.900  1.217 -0.999
3#app#app18#app1892/e  -0.123 -0.749  -0.299 -0.730  -0.337 -0.572  -0.532 -0.572  -0.652 -0.497  -0.746 -0.395  -0.716 -0.395  -0.521 -0.395  -0.326 -0.395  -0.180 -0.276  -0.008 -0.219  0.148 -0.125  0.309 -0.042  0.476 0.027  0.614 0.165  0.752 0.303  0.936 0.318  0.955 0.506  1.093 0.644  1.113 0.831  1.113 1.026  1.085 1.193  0.889 1.193  0.694 1.193  0.499 1.193  0.303 1.193  0.144 1.107  -0.007 0.986  -0.181 0.899  -0.363 0.840  -0.534 0.782  -0.672 0.644  -0.810 0.506  -0.948 0.368  -1.005 0.196  -1.005 0.001  -1.005 -0.194  -1.005 -0.390  -0.871 -0.530  -0.733 -0.668  -0.571 -0.749  -0.405 -0.819  -0.254 -0.925  -0.059 -0.925  0.137 -0.925  0.332 -0.925  0.527 -0.925  0.722 -0.925  0.918 -0.925  1.113 -0.925
3#app#app18#app1892/m  -1.264 -0.170  -1.264 -0.057  -1.264 -0.219  -1.264 -0.380  -1.264 -0.541  -1.264 -0.703  -1.257 -0.861  -1.143 -0.975  -0.991 -0.988  -0.971 -0.834  -0.857 -0.720  -0.784 -0.577  -0.708 -0.435  -0.594 -0.321  -0.580 -0.165  -0.551 -0.033  -0.443 0.021  -0.443 0.182  -0.371 0.314  -0.306 0.449  -0.211 0.515  -0.170 0.634  -0.306 0.644  -0.306 0.483  -0.306 0.321  -0.249 0.184  -0.170 0.055  -0.096 -0.033  -0.033 -0.131  0.090 -0.170  0.251 -0.170  0.413 -0.170  0.557 -0.127  0.671 -0.013  0.785 0.101  0.802 0.255  0.916 0.369  0.934 0.523  1.048 0.637  1.062 0.793  1.062 0.896  1.062 0.735  1.062 0.573  1.062 0.412  1.152 0.288  1.199 0.146  1.199 -0.016  1.301 -0.135  1.336 -0.282  1.473 -0.306
3#app#app18#app1892/o  0.853 0.116  0.853 0.327  0.853 0.539  0.832 0.729  0.620 0.729  0.408 0.729  0.197 0.729  -0.015 0.729  -0.227 0.729  -0.438 0.729  -0.650 0.729  -0.783 0.650  -0.869 0.525  -1.053 0.459  -1.192 0.304  -1.192 0.093  -1.192 -0.119  -1.192 -0.331  -1.147 -0.498  -0.987 -0.549  -0.928 -0.702  -0.736 -0.749  -0.586 -0.899  -0.378 -0.907  -0.166 -0.907  0.045 -0.907  0.257 -0.907  0.469 -0.907  0.680 -0.907  0.892 -0.907  1.104 -0.907  1.262 -0.853  1.262 -0.642  1.262 -0.430  1.262 -0.218  1.189 -0.052  0.999 0.043  0.819 0.150  0.669 0.299  0.466 0.320  0.310 0.454  0.128 0.525  -0.084 0.525  -0.296 0.525  -0.507 0.525  -0.719 0.525  -0.783 0.377  -0.673 0.211  -0.523 0.061  -0.374 -0.089
3#app#app18#app1892/c  0.763 0.315  0.763 0.438  0.763 0.562  0.727 0.650  0.604 0.650  0.595 0.765  0.524 0.817  0.404 0.829  0.293 0.884  0.183 0.939  0.070 0.984  -0.053 0.984  -0.177 0.984  -0.242 0.926  -0.256 0.817  -0.380 0.817  -0.503 0.817  -0.577 0.767  -0.583 0.650  -0.706 0.650  -0.744 0.564  -0.773 0.453  -0.861 0.366  -0.911 0.263  -0.911 0.140  -0.911 0.016  -0.911 -0.107  -0.881 -0.218  -0.794 -0.305  -0.744 -0.408  -0.737 -0.529  -0.650 -0.616  -0.563 -0.703  -0.476 -0.790  -0.380 -0.857  -0.256 -0.857  -0.133 -0.857  -0.009 -0.857  0.114 -0.857  0.237 -0.857  0.361 -0.857  0.484 -0.857  0.608 -0.857  0.731 -0.857  0.855 -0.857  0.978 -0.857  1.101 -0.855  1.211 -0.800  1.322 -0.745  1.432 -0.689
3#app#app18#app1892/k  -0.433 0.727  -0.463 0.882  -0.527 1.029  -0.527 1.192  -0.527 1.354  -0.554 1.505  -0.620 1.640  -0.714 1.620  -0.714 1.458  -0.714 1.296  -0.714 1.133  -0.714 0.971  -0.707 0.810  -0.617 0.675  -0.527 0.540  -0.527 0.378  -0.527 0.216  -0.519 0.055  -0.446 -0.090  -0.433 -0.249  -0.357 -0.380  -0.339 -0.535  -0.326 -0.692  -0.245 -0.821  -0.163 -0.950  -0.044 -1.055  0.088 -0.992  0.191 -0.866  0.294 -0.740  0.396 -0.615  0.499 -0.489  0.602 -0.363  0.705 -0.238  0.808 -0.112  0.846 -0.057  0.709 -0.117  0.562 -0.154  0.423 -0.211  0.317 -0.268  0.192 -0.305  0.130 -0.405  0.130 -0.568  0.235 -0.680  0.397 -0.680  0.560 -0.680  0.686 -0.767  0.846 -0.774  0.998 -0.798  1.132 -0.867  1.255 -0.961
3#app#app18#app1892/j  -0.118 1.328  -0.118 1.418  -0.118 1.508  -0.182 1.534  -0.224 1.583  -0.246 1.514  -0.224 1.433  -0.182 1.360  -0.182 1.270  -0.177 1.180  -0.155 1.093  -0.134 1.005  -0.106 0.920  -0.066 0.839  -0.055 0.751  -0.055 0.661  -0.030 0.577  0.010 0.496  0.039 0.410  0.067 0.325  0.096 0.239  0.124 0.153  0.153 0.068  0.181 -0.018  0.201 -0.105  0.201 -0.195  0.209 -0.284  0.249 -0.364  0.282 -0.448  0.311 -0.534  0.344 -0.617  0.384 -0.698  0.392 -0.787  0.392 -0.877  0.392 -0.967  0.392 -1.057  0.356 -1.133  0.292 -1.196  0.213 -1.224  0.123 -1.224  0.037 -1.206  -0.044 -1.166  -0.125 -1.125  -0.200 -1.078  -0.269 -1.021  -0.350 -0.981  -0.419 -0.924  -0.482 -0.860  -0.546 -0.796  -0.629 -0.777
3#app#app18#app1892/u  -1.375 0.362  -1.234 0.362  -1.233 0.502  -1.372 0.503  -1.375 0.366  -1.375 0.225  -1.375 0.085  -1.279 -0.016  -1.233 -0.137  -1.233 -0.277  -1.159 -0.343  -1.059 -0.409  -0.997 -0.535  -0.913 -0.626  -0.772 -0.626  -0.632 -0.626  -0.492 -0.626  -0.351 -0.626  -0.211 -0.626  -0.071 -0.626  0.037 -0.593  0.069 -0.484  0.200 -0.462  0.299 -0.363  0.431 -0.343  0.495 -0.238  0.540 -0.105  0.584 0.028  0.662 0.141  0.742 0.248  0.742 0.388  0.725 0.521  0.626 0.620  0.601 0.751  0.496 0.786  0.460 0.890  0.460 0.823  0.460 0.683  0.460 0.543  0.460 0.402  0.531 0.292  0.630 0.192  0.729 0.093  0.829 -0.006  0.928 -0.105  1.028 -0.202  1.168 -0.202  1.309 -0.202  1.449 -0.202  1.589 -0.202
3#app#app18#app1892/r  -0.240 0.955  -0.394 0.955  -0.422 0.829  -0.422 0.674  -0.422 0.520  -0.422 0.365  -0.422 0.211  -0.422 0.056  -0.422 -0.099  -0.422 -0.253  -0.422 -0.408  -0.382 -0.546  -0.273 -0.655  -0.240 -0.796  -0.240 -0.950  -0.240 -1.105  -0.223 -1.252  -0.114 -1.362  -0.057 -1.493  -0.010 -1.601  0.125 -1.581  0.125 -1.427  0.125 -1.272  0.125 -1.118  0.125 -0.963  0.082 -0.827  -0.028 -0.717  -0.057 -0.575  -0.057 -0.421  -0.057 -0.266  -0.078 -0.120  -0.187 -0.011  -0.240 0.122  -0.240 0.277  -0.240 0.431  -0.240 0.586  -0.240 0.740  -0.240 0.895  -0.146 0.955  0.009 0.955  0.152 0.982  0.261 1.092  0.397 1.138  0.551 1.138  0.696 1.115  0.806 1.005  0.939 0.955  1.094 0.955  1.249 0.955  1.403 0.955
3#app#app18#app1892/y  -1.021 0.629  -1.021 0.722  -1.021 0.599  -0.976 0.521  -0.913 0.461  -0.860 0.360  -0.759 0.305  -0.636 0.305  -0.535 0.251  -0.434 0.197  -0.311 0.197  -0.214 0.255  -0.133 0.348  -0.052 0.440  0.030 0.533  0.111 0.626  0.192 0.719  0.273 0.811  0.354 0.904  0.435 0.997  0.529 1.062  0.549 1.062  0.425 1.062  0.384 0.980  0.287 0.954  0.276 0.841  0.276 0.718  0.276 0.595  0.254 0.477  0.199 0.367  0.168 0.251  0.168 0.127  0.168 0.004  0.168 -0.119  0.168 -0.242  0.168 -0.366  0.168 -0.489  0.168 -0.612  0.168 -0.735  0.168 -0.859  0.168 -0.982  0.168 -1.105  0.174 -1.227  0.213 -1.344  0.252 -1.461  0.276 -1.581  0.276 -1.704  0.276 -1.827  0.276 -1.950  0.276 -2.074
3#app#app18#app1892/b  -0.630 1.639  -0.664 1.532  -0.736 1.464  -0.736 1.323  -0.736 1.182  -0.736 1.041  -0.736 0.900  -0.736 0.759  -0.736 0.618  -0.736 0.478  -0.736 0.337  -0.736 0.196  -0.736 0.055  -0.736 -0.086  -0.736 -0.227  -0.736 -0.368  -0.736 -0.508  -0.703 -0.636  -0.604 -0.684  -0.523 -0.576  -0.496 -0.442  -0.433 -0.316  -0.343 -0.209  -0.243 -0.110  -0.144 -0.010  -0.044 0.090  0.039 0.201  0.102 0.327  0.224 0.358  0.365 0.358  0.506 0.358  0.647 0.358  0.784 0.345  0.910 0.282  0.971 0.178  1.047 0.069  1.078 -0.059  1.078 -0.200  1.078 -0.341  1.078 -0.482  1.064 -0.617  0.971 -0.719  0.940 -0.847  0.831 -0.923  0.697 -0.953  0.571 -1.016  0.433 -1.030  0.292 -1.030  0.152 -1.030  0.011 -1.030
3#app#app18#app1892/o  0.032 0.598  -0.113 0.598  -0.224 0.517  -0.330 0.422  -0.475 0.422  -0.620 0.422  -0.765 0.422  -0.891 0.377  -0.993 0.275  -1.096 0.172  -1.197 0.070  -1.197 -0.075  -1.197 -0.220  -1.197 -0.365  -1.159 -0.494  -1.056 -0.597  -0.936 -0.674  -0.806 -0.739  -0.677 -0.804  -0.533 -0.807  -0.388 -0.807  -0.243 -0.807  -0.098 -0.807  0.047 -0.807  0.192 -0.807  0.337 -0.807  0.482 -0.807  0.619 -0.777  0.749 -0.712  0.879 -0.647  0.910 -0.522  0.989 -0.456  1.086 -0.408  1.086 -0.263  1.086 -0.118  1.086 0.027  1.086 0.172  1.016 0.247  0.910 0.286  0.904 0.428  0.802 0.531  0.699 0.633  0.597 0.736  0.477 0.815  0.348 0.879  0.218 0.944  0.088 1.009  -0.041 1.074  -0.174 1.125  -0.319 1.125
