1c#apa#apa03#app0339/s  0.964 0.724  0.964 0.875  0.856 0.917  0.705 0.917  0.554 0.917  0.403 0.917  0.253 0.917  0.102 0.917  -0.049 0.917  -0.193 0.910  -0.193 0.759  -0.308 0.724  -0.459 0.724  -0.578 0.756  -0.578 0.906  -0.719 0.917  -0.771 0.819  -0.771 0.668  -0.785 0.531  -0.936 0.531  -0.964 0.409  -0.884 0.338  -0.744 0.311  -0.638 0.205  -0.511 0.146  -0.368 0.128  -0.261 0.021  -0.139 -0.047  0.012 -0.047  0.163 -0.047  0.278 -0.132  0.385 -0.239  0.535 -0.240  0.579 -0.347  0.644 -0.433  0.771 -0.456  0.771 -0.607  0.771 -0.757  0.682 -0.819  0.579 -0.866  0.573 -1.011  0.422 -1.011  0.305 -1.092  0.198 -1.199  0.065 -1.268  -0.070 -1.336  -0.206 -1.397  -0.357 -1.397  -0.472 -1.483  -0.578 -1.590
1c#apa#apa03#app0339/c  0.370 0.769  0.370 0.878  0.370 0.988  0.370 1.097  0.317 1.153  0.208 1.153  0.099 1.153  -0.010 1.153  -0.088 1.078  -0.166 1.001  -0.259 0.961  -0.368 0.961  -0.397 0.881  -0.397 0.772  -0.472 0.694  -0.550 0.617  -0.627 0.539  -0.704 0.462  -0.781 0.385  -0.781 0.276  -0.781 0.166  -0.781 0.057  -0.781 -0.052  -0.781 -0.161  -0.781 -0.270  -0.781 -0.380  -0.781 -0.489  -0.756 -0.574  -0.647 -0.574  -0.543 -0.596  -0.446 -0.645  -0.348 -0.694  -0.250 -0.743  -0.146 -0.766  -0.037 -0.766  0.072 -0.766  0.181 -0.766  0.290 -0.766  0.400 -0.766  0.509 -0.766  0.618 -0.766  0.727 -0.766  0.836 -0.766  0.946 -0.766  1.023 -0.688  1.100 -0.611  1.194 -0.574  1.303 -0.574  1.412 -0.574  1.521 -0.574
1c#apa#apa03#app0339/r  -0.909 0.878  -0.771 0.878  -0.689 0.823  -0.689 0.685  -0.610 0.579  -0.512 0.482  -0.469 0.362  -0.469 0.224  -0.469 0.086  -0.469 -0.052  -0.469 -0.190  -0.469 -0.328  -0.445 -0.442  -0.307 -0.442  -0.249 -0.521  -0.249 -0.659  -0.249 -0.797  -0.249 -0.935  -0.249 -1.073  -0.249 -1.211  -0.249 -1.349  -0.249 -1.487  -0.249 -1.459  -0.248 -1.322  -0.187 -1.198  -0.125 -1.075  -0.063 -0.951  -0.028 -0.822  -0.028 -0.684  -0.028 -0.546  -0.004 -0.418  0.093 -0.320  0.191 -0.223  0.192 -0.085  0.192 0.053  0.192 0.191  0.241 0.317  0.303 0.440  0.364 0.564  0.434 0.681  0.532 0.779  0.629 0.876  0.632 1.013  0.684 1.099  0.822 1.099  0.852 1.207  0.878 1.319  1.016 1.319  1.154 1.319  1.292 1.319
1c#apa#apa03#app0339/e  -0.515 0.519  -0.515 0.333  -0.346 0.314  -0.310 0.164  -0.177 0.110  -0.105 -0.004  -0.009 -0.095  0.178 -0.095  0.305 -0.036  0.346 0.110  0.510 0.133  0.515 0.314  0.701 0.314  0.714 0.488  0.870 0.519  0.919 0.657  0.919 0.843  0.818 0.929  0.714 1.012  0.650 1.134  0.463 1.134  0.276 1.134  0.093 1.127  -0.039 0.995  -0.199 0.929  -0.310 0.853  -0.367 0.724  -0.542 0.696  -0.674 0.564  -0.806 0.432  -0.924 0.294  -0.924 0.108  -0.924 -0.079  -0.924 -0.266  -0.924 -0.452  -0.790 -0.505  -0.719 -0.621  -0.621 -0.710  -0.515 -0.789  -0.453 -0.915  -0.279 -0.945  -0.147 -1.077  0.022 -1.119  0.100 -1.228  0.191 -1.324  0.377 -1.324  0.564 -1.324  0.751 -1.324  0.937 -1.324  1.124 -1.324
1c#apa#apa03#app0339/a  0.222 0.665  0.222 0.822  0.120 0.938  -0.010 1.006  -0.167 1.006  -0.315 0.982  -0.426 0.871  -0.569 0.835  -0.699 0.769  -0.811 0.657  -0.922 0.546  -1.033 0.434  -1.145 0.323  -1.145 0.165  -1.145 0.008  -1.145 -0.150  -1.145 -0.308  -1.145 -0.465  -1.080 -0.596  -0.968 -0.707  -0.857 -0.819  -0.722 -0.873  -0.564 -0.873  -0.406 -0.873  -0.291 -0.831  -0.262 -0.702  -0.120 -0.686  -0.118 -0.531  0.040 -0.531  0.155 -0.427  0.266 -0.316  0.378 -0.204  0.393 -0.053  0.480 0.069  0.563 0.192  0.563 0.349  0.563 0.507  0.563 0.664  0.675 0.553  0.734 0.420  0.777 0.280  0.888 0.169  0.905 0.018  0.990 -0.104  1.102 -0.215  1.213 -0.327  1.247 -0.471  1.315 -0.600  1.417 -0.715  1.417 -0.873
1c#apa#apa03#app0339/m  -1.294 0.594  -1.159 0.570  -1.159 0.411  -1.159 0.252  -1.159 0.093  -1.159 -0.066  -1.159 -0.226  -1.159 -0.385  -1.159 -0.544  -1.075 -0.620  -1.024 -0.513  -0.892 -0.485  -0.874 -0.335  -0.761 -0.223  -0.744 -0.071  -0.632 0.042  -0.615 0.194  -0.502 0.307  -0.484 0.458  -0.349 0.482  -0.316 0.561  -0.214 0.444  -0.214 0.285  -0.214 0.126  -0.214 -0.033  -0.214 -0.193  -0.117 -0.312  -0.079 -0.455  0.012 -0.576  0.125 -0.551  0.237 -0.438  0.326 -0.316  0.367 -0.174  0.480 -0.061  0.592 0.051  0.609 0.203  0.722 0.316  0.834 0.428  0.947 0.541  1.084 0.594  1.135 0.487  1.267 0.460  1.270 0.303  1.302 0.158  1.405 0.041  1.405 -0.118  1.405 -0.277  1.492 -0.350  1.540 -0.461  1.540 -0.620
1c#apa#apa03#app0339/e  -0.876 -0.023  -0.754 -0.144  -0.619 -0.234  -0.447 -0.234  -0.275 -0.234  -0.103 -0.234  0.069 -0.234  0.241 -0.234  0.413 -0.234  0.585 -0.234  0.757 -0.234  0.814 -0.119  0.867 0.031  0.989 0.152  1.025 0.309  1.025 0.481  1.025 0.653  1.022 0.822  0.850 0.822  0.814 0.958  0.717 1.033  0.545 1.033  0.374 1.033  0.202 1.033  0.030 1.033  -0.142 1.033  -0.314 1.033  -0.477 1.010  -0.598 0.888  -0.720 0.767  -0.842 0.645  -0.876 0.487  -0.876 0.315  -0.876 0.143  -0.876 -0.029  -0.876 -0.201  -0.876 -0.373  -0.776 -0.445  -0.664 -0.506  -0.650 -0.671  -0.528 -0.793  -0.387 -0.868  -0.223 -0.887  -0.101 -1.008  0.020 -1.130  0.142 -1.252  0.298 -1.290  0.470 -1.290  0.642 -1.290  0.814 -1.290
1c#apa#apa03#app0339/d  0.104 1.900  0.243 1.876  0.276 1.727  0.382 1.608  0.382 1.445  0.382 1.283  0.382 1.120  0.382 0.957  0.382 0.794  0.382 0.631  0.382 0.468  0.382 0.305  0.382 0.142  0.382 -0.021  0.382 -0.184  0.382 -0.347  0.382 -0.510  0.382 -0.542  0.382 -0.379  0.382 -0.216  0.382 -0.053  0.368 0.104  0.252 0.219  0.104 0.239  0.070 0.368  -0.093 0.368  -0.256 0.368  -0.419 0.368  -0.544 0.277  -0.687 0.229  -0.816 0.145  -0.931 0.030  -1.011 -0.100  -1.011 -0.263  -1.011 -0.426  -1.011 -0.589  -0.871 -0.612  -0.851 -0.767  -0.736 -0.882  -0.621 -0.997  -0.469 -1.025  -0.306 -1.025  -0.143 -1.025  0.020 -1.025  0.182 -1.025  0.345 -1.025  0.508 -1.025  0.671 -1.025  0.824 -1.001  0.939 -0.886
1c#apa#apa03#app0339/a  0.754 0.905  0.751 1.075  0.585 1.081  0.575 1.244  0.403 1.244  0.230 1.244  0.076 1.226  0.054 1.075  -0.119 1.075  -0.291 1.075  -0.433 1.044  -0.457 0.881  -0.579 0.759  -0.702 0.637  -0.772 0.493  -0.848 0.396  -0.942 0.317  -0.942 0.145  -0.942 -0.028  -0.942 -0.201  -0.942 -0.374  -0.942 -0.546  -0.942 -0.719  -0.871 -0.862  -0.749 -0.984  -0.626 -1.107  -0.463 -1.130  -0.291 -1.130  -0.161 -1.027  -0.016 -0.961  0.076 -0.879  0.076 -0.707  0.163 -0.621  0.310 -0.557  0.415 -0.428  0.415 -0.256  0.415 -0.083  0.448 0.057  0.585 0.093  0.585 0.266  0.585 0.354  0.585 0.181  0.619 0.023  0.741 -0.099  0.754 -0.267  0.754 -0.439  0.754 -0.612  0.754 -0.785  0.754 -0.958  0.754 -1.130
1c#apa#apa03#app0339/t  0.112 1.418  0.210 1.515  0.252 1.636  0.174 1.696  0.112 1.772  0.112 1.761  0.112 1.623  0.112 1.485  0.112 1.347  0.112 1.209  0.112 1.071  0.112 0.933  0.112 0.795  0.067 0.676  -0.027 0.577  -0.027 0.439  -0.027 0.301  -0.027 0.163  -0.027 0.025  -0.027 -0.113  -0.027 -0.251  -0.027 -0.389  -0.027 -0.527  -0.027 -0.665  0.066 -0.765  0.112 -0.883  0.112 -1.021  0.161 -1.139  0.252 -1.240  0.260 -1.369  0.396 -1.363  0.494 -1.266  0.466 -1.172  0.363 -1.080  0.259 -0.989  0.156 -0.897  0.053 -0.805  -0.050 -0.714  -0.153 -0.622  -0.256 -0.530  -0.359 -0.439  -0.462 -0.347  -0.565 -0.255  -0.669 -0.164  -0.678 -0.160  -0.579 -0.254  -0.441 -0.254  -0.303 -0.254  -0.165 -0.254  -0.027 -0.254
1c#apa#apa03#app0339/h  -0.884 1.416  -0.778 1.437  -0.778 1.564  -0.778 1.562  -0.778 1.435  -0.778 1.307  -0.778 1.180  -0.758 1.058  -0.701 0.944  -0.672 0.823  -0.652 0.698  -0.621 0.575  -0.590 0.452  -0.544 0.336  -0.457 0.245  -0.400 0.131  -0.356 0.014  -0.356 -0.113  -0.356 -0.241  -0.356 -0.368  -0.304 -0.483  -0.250 -0.598  -0.250 -0.725  -0.250 -0.852  -0.200 -0.959  -0.144 -1.063  -0.144 -1.049  -0.079 -0.949  0.011 -0.859  0.088 -0.760  0.145 -0.646  0.173 -0.525  0.235 -0.424  0.325 -0.334  0.384 -0.231  0.384 -0.104  0.445 -0.002  0.490 0.107  0.576 0.148  0.703 0.146  0.793 0.056  0.806 -0.065  0.823 -0.186  0.913 -0.276  1.003 -0.366  1.018 -0.487  1.108 -0.577  1.124 -0.698  1.214 -0.788  1.229 -0.908
