1d#app#app14#app1422/!  -0.242 -1.771  -0.242 -1.641  -0.170 -1.688  -0.086 -1.759  -0.080 -1.630  -0.074 -1.500  -0.068 -1.371  -0.062 -1.242  -0.057 -1.113  -0.051 -0.984  -0.045 -0.854  -0.039 -0.725  -0.033 -0.596  -0.027 -0.467  -0.021 -0.338  -0.015 -0.208  -0.010 -0.079  -0.004 0.050  0.002 0.179  0.008 0.309  0.014 0.438  0.020 0.567  0.026 0.696  0.032 0.825  0.037 0.955  0.043 1.084  0.049 1.213  0.055 1.342  0.061 1.471  0.067 1.601  0.069 1.585  0.069 1.456  0.069 1.326  0.069 1.197  0.069 1.068  0.069 0.938  0.069 0.809  0.069 0.680  0.069 0.550  0.069 0.421  0.069 0.292  0.069 0.162  0.069 0.033  0.069 -0.096  0.069 -0.226  0.069 -0.355  0.017 -0.472  -0.040 -0.588  -0.086 -0.706  -0.086 -0.836
1d#app#app14#app1422/@  0.224 0.902  0.306 0.902  0.090 0.835  -0.120 0.745  -0.246 0.639  -0.374 0.461  -0.538 0.297  -0.560 0.074  -0.560 -0.157  -0.524 -0.353  -0.403 -0.464  -0.217 -0.509  -0.016 -0.436  0.181 -0.353  0.192 -0.196  0.067 -0.302  0.067 -0.534  0.167 -0.666  0.397 -0.658  0.604 -0.555  0.825 -0.509  0.886 -0.318  1.008 -0.138  1.008 0.094  1.008 0.326  0.952 0.544  0.846 0.750  0.687 0.917  0.583 1.124  0.408 1.215  0.236 1.360  0.010 1.372  -0.089 1.240  -0.282 1.180  -0.430 1.005  -0.534 0.798  -0.567 0.574  -0.671 0.367  -0.717 0.146  -0.717 -0.086  -0.717 -0.317  -0.717 -0.549  -0.636 -0.747  -0.560 -0.947  -0.530 -1.166  -0.366 -1.330  -0.202 -1.494  -0.017 -1.607  0.171 -1.711  0.381 -1.764
1d#app#app14#app1422/#  1.318 0.403  0.976 0.574  0.606 0.631  0.223 0.631  -0.160 0.631  -0.543 0.631  -0.926 0.631  -0.859 0.332  -0.547 0.109  -0.235 -0.114  0.076 -0.336  0.388 -0.559  0.635 -0.814  0.401 -0.963  0.018 -0.963  -0.365 -0.963  -0.726 -0.947  -0.616 -0.580  -0.506 -0.213  -0.396 0.154  -0.286 0.520  -0.176 0.887  -0.066 1.254  -0.274 1.087  -0.275 0.704  -0.275 0.321  -0.381 -0.037  -0.503 -0.391  -0.503 -0.774  -0.503 -1.157  -0.503 -1.540  -0.454 -1.874  -0.226 -1.676  -0.133 -1.304  -0.040 -0.933  0.053 -0.561  0.146 -0.190  0.239 0.182  0.332 0.553  0.424 0.925  0.517 1.297  0.610 1.668  0.635 1.490  0.429 1.314  0.408 0.952  0.408 0.569  0.408 0.186  0.408 -0.197  0.408 -0.580  0.408 -0.963
1d#app#app14#app1422/$  0.712 1.079  0.489 0.924  0.141 0.794  -0.137 0.540  -0.327 0.304  -0.352 -0.007  -0.128 -0.162  0.186 -0.317  0.402 -0.479  0.349 -0.836  0.191 -1.149  -0.083 -1.402  -0.306 -1.558  -0.511 -1.622  -0.441 -1.250  -0.370 -0.879  -0.299 -0.507  -0.228 -0.135  -0.157 0.237  -0.086 0.609  -0.016 0.981  0.055 1.353  0.092 1.361  0.024 1.011  -0.063 0.668  -0.063 0.290  -0.063 -0.089  -0.063 -0.467  -0.161 -0.823  -0.218 -1.188  -0.218 -1.567  -0.188 -1.482  -0.139 -1.107  -0.090 -0.731  -0.041 -0.356  0.008 0.019  0.056 0.395  0.105 0.770  0.154 1.145  0.203 1.521  0.289 1.855  0.292 1.700  0.247 1.366  0.206 0.997  0.092 0.645  0.092 0.267  0.092 -0.112  0.092 -0.490  0.092 -0.869  0.092 -1.247
1d#app#app14#app1422/%  -0.784 0.929  -0.517 0.929  -0.278 0.957  -0.189 1.187  -0.110 1.421  0.059 1.350  0.059 1.084  0.059 0.817  -0.090 0.612  -0.110 0.353  -0.229 0.135  -0.307 -0.083  -0.447 -0.209  -0.615 -0.195  -0.615 0.072  -0.615 0.339  -0.615 0.606  -0.536 0.840  -0.312 0.968  -0.055 1.041  0.202 1.114  0.458 1.188  0.715 1.261  0.677 1.042  0.565 0.821  0.419 0.615  0.291 0.382  0.228 0.130  0.070 -0.071  -0.053 -0.307  -0.110 -0.560  -0.279 -0.757  -0.398 -0.996  -0.604 -1.094  -0.545 -1.212  -0.328 -1.057  -0.110 -0.902  0.107 -0.747  0.324 -0.592  0.541 -0.437  0.733 -0.489  0.733 -0.756  0.733 -1.023  0.595 -1.232  0.526 -1.470  0.312 -1.600  0.099 -1.471  0.059 -1.221  0.059 -0.954  0.228 -0.757
1d#app#app14#app1422/^  -0.978 -1.569  -0.978 -1.411  -0.978 -1.253  -0.978 -1.095  -0.978 -0.937  -0.962 -0.795  -0.804 -0.795  -0.646 -0.795  -0.590 -0.692  -0.590 -0.534  -0.590 -0.376  -0.590 -0.218  -0.590 -0.059  -0.472 -0.020  -0.314 -0.020  -0.203 0.028  -0.203 0.186  -0.203 0.344  -0.203 0.502  -0.203 0.660  -0.140 0.755  0.018 0.755  0.176 0.755  0.184 0.905  0.184 1.063  0.184 1.221  0.184 1.379  0.184 1.521  0.184 1.363  0.184 1.205  0.184 1.047  0.184 0.889  0.184 0.731  0.184 0.573  0.184 0.415  0.295 0.367  0.453 0.367  0.572 0.328  0.572 0.170  0.572 0.012  0.572 -0.146  0.572 -0.304  0.572 -0.463  0.572 -0.621  0.572 -0.779  0.714 -0.795  0.872 -0.795  0.959 -0.866  0.959 -1.024  0.959 -1.182
1d#app#app14#app1422/&  0.033 -1.837  0.033 -1.657  -0.088 -1.527  -0.155 -1.375  -0.209 -1.217  -0.336 -1.090  -0.344 -0.913  -0.344 -0.734  -0.344 -0.554  -0.344 -0.374  -0.344 -0.194  -0.344 -0.014  -0.262 0.132  -0.155 0.268  -0.155 0.448  -0.144 0.616  0.033 0.619  0.033 0.799  0.156 0.928  0.222 1.081  0.301 1.183  0.411 1.252  0.472 1.371  0.652 1.371  0.832 1.371  0.977 1.337  0.951 1.183  0.776 1.170  0.649 1.043  0.522 0.916  0.411 0.782  0.401 0.606  0.273 0.479  0.146 0.352  0.033 0.218  0.021 0.050  -0.155 0.047  -0.155 -0.133  -0.279 -0.262  -0.432 -0.327  -0.533 -0.406  -0.603 -0.516  -0.722 -0.577  -0.669 -0.705  -0.533 -0.748  -0.498 -0.893  -0.318 -0.893  -0.138 -0.893  0.042 -0.893  0.222 -0.893
1d#app#app14#app1422/*  -1.274 0.766  -0.886 0.711  -0.589 0.433  -0.206 0.365  0.084 0.074  0.375 -0.217  0.666 -0.507  1.053 -0.566  1.058 -0.826  1.058 -0.415  1.058 -0.003  1.058 -0.208  0.672 -0.233  0.274 -0.174  -0.093 0.009  -0.483 0.100  -0.895 0.100  -0.916 -0.213  -0.600 0.051  -0.284 0.314  0.031 0.577  0.347 0.840  0.663 1.104  0.979 1.367  1.058 1.123  0.686 1.061  0.396 0.770  0.105 0.479  -0.186 0.189  -0.275 -0.186  -0.532 -0.491  -0.823 -0.781  -0.941 -1.144  -0.941 -1.555  -0.814 -1.185  -0.684 -0.795  -0.554 -0.405  -0.424 -0.015  -0.294 0.375  -0.164 0.766  -0.034 1.156  0.058 1.313  0.058 0.902  0.058 0.490  0.058 0.079  0.058 -0.332  0.058 -0.743  0.173 -1.128  0.357 -1.495  0.392 -1.898
1d#app#app14#app1422/(  0.566 1.585  0.508 1.527  0.449 1.469  0.391 1.411  0.347 1.346  0.347 1.264  0.347 1.182  0.298 1.149  0.216 1.149  0.134 1.149  0.129 1.071  0.129 0.988  0.129 0.906  0.129 0.824  0.129 0.741  0.092 0.675  0.033 0.616  -0.025 0.558  -0.083 0.500  -0.089 0.420  -0.089 0.338  -0.098 0.258  -0.135 0.184  -0.172 0.110  -0.209 0.037  -0.245 -0.037  -0.282 -0.111  -0.307 -0.187  -0.307 -0.269  -0.307 -0.352  -0.307 -0.434  -0.307 -0.516  -0.307 -0.599  -0.307 -0.681  -0.307 -0.763  -0.307 -0.845  -0.307 -0.928  -0.307 -1.010  -0.249 -1.034  -0.167 -1.034  -0.089 -1.039  -0.089 -1.121  -0.089 -1.203  -0.056 -1.253  0.026 -1.253  0.109 -1.253  0.173 -1.296  0.231 -1.355  0.289 -1.413  0.347 -1.471
1d#app#app14#app1422/)  -0.739 1.366  -0.653 1.366  -0.566 1.366  -0.519 1.327  -0.519 1.240  -0.519 1.154  -0.440 1.146  -0.354 1.146  -0.298 1.115  -0.298 1.028  -0.298 0.941  -0.228 0.925  -0.141 0.925  -0.078 0.902  -0.078 0.816  -0.078 0.729  -0.034 0.661  0.028 0.599  0.089 0.538  0.143 0.474  0.143 0.387  0.143 0.301  0.178 0.229  0.239 0.168  0.300 0.106  0.361 0.045  0.363 -0.041  0.363 -0.127  0.363 -0.214  0.363 -0.301  0.363 -0.387  0.363 -0.474  0.363 -0.560  0.334 -0.618  0.248 -0.618  0.161 -0.618  0.143 -0.686  0.143 -0.773  0.143 -0.859  0.143 -0.946  0.143 -1.032  0.143 -1.119  0.143 -1.206  0.134 -1.288  0.072 -1.350  0.011 -1.411  -0.050 -1.472  -0.078 -1.547  -0.078 -1.634  -0.078 -1.720
1d#app#app14#app1422/`  1.161 -1.085  1.074 -1.085  0.988 -1.085  0.901 -1.085  0.814 -1.085  0.728 -1.085  0.641 -1.085  0.588 -1.051  0.588 -0.965  0.588 -0.878  0.588 -0.791  0.588 -0.705  0.588 -0.618  0.588 -0.531  0.521 -0.513  0.434 -0.513  0.347 -0.513  0.261 -0.513  0.174 -0.513  0.087 -0.513  0.016 -0.498  0.016 -0.411  0.016 -0.324  0.016 -0.238  0.016 -0.151  0.016 -0.064  0.016 0.022  -0.019 0.095  -0.080 0.156  -0.141 0.217  -0.203 0.278  -0.264 0.340  -0.325 0.401  -0.386 0.462  -0.448 0.523  -0.509 0.585  -0.557 0.651  -0.557 0.738  -0.557 0.825  -0.557 0.911  -0.557 0.998  -0.557 1.085  -0.557 1.171  -0.610 1.205  -0.696 1.205  -0.783 1.205  -0.870 1.205  -0.956 1.205  -1.043 1.205  -1.129 1.205
