2#apb#apb38#app3817/S  0.514 1.518  0.423 1.457  0.333 1.397  0.242 1.336  0.162 1.263  0.084 1.186  0.005 1.111  -0.083 1.046  -0.170 0.980  -0.255 0.911  -0.336 0.839  -0.417 0.766  -0.499 0.694  -0.581 0.622  -0.660 0.547  -0.729 0.462  -0.738 0.359  -0.679 0.278  -0.573 0.251  -0.464 0.248  -0.355 0.248  -0.246 0.248  -0.136 0.248  -0.027 0.248  0.080 0.231  0.187 0.210  0.290 0.176  0.386 0.125  0.478 0.067  0.558 -0.007  0.610 -0.097  0.631 -0.204  0.626 -0.312  0.614 -0.420  0.570 -0.519  0.521 -0.617  0.464 -0.710  0.405 -0.802  0.347 -0.894  0.274 -0.976  0.201 -1.056  0.128 -1.137  0.045 -1.208  -0.041 -1.276  -0.126 -1.344  -0.216 -1.404  -0.315 -1.451  -0.413 -1.498  -0.511 -1.546  -0.609 -1.595
2#apb#apb38#app3817/w  -1.267 0.833  -1.279 0.727  -1.283 0.597  -1.281 0.466  -1.271 0.336  -1.259 0.207  -1.234 0.080  -1.181 -0.039  -1.118 -0.153  -1.044 -0.260  -0.968 -0.366  -0.863 -0.416  -0.764 -0.331  -0.709 -0.215  -0.662 -0.093  -0.614 0.028  -0.564 0.148  -0.513 0.268  -0.428 0.367  -0.324 0.443  -0.209 0.482  -0.118 0.393  -0.054 0.283  -0.025 0.156  0.006 0.030  0.038 -0.097  0.076 -0.221  0.120 -0.344  0.176 -0.461  0.239 -0.575  0.308 -0.686  0.389 -0.788  0.502 -0.853  0.630 -0.869  0.757 -0.847  0.837 -0.745  0.915 -0.641  0.968 -0.522  1.021 -0.403  1.044 -0.276  1.054 -0.146  1.064 -0.016  1.069 0.114  1.069 0.245  1.079 0.375  1.086 0.505  1.086 0.635  1.113 0.762  1.164 0.882  1.220 0.999
2#apb#apb38#app3817/a  0.676 0.753  0.558 0.812  0.438 0.866  0.314 0.903  0.182 0.903  0.052 0.885  -0.075 0.851  -0.203 0.817  -0.316 0.750  -0.429 0.682  -0.542 0.613  -0.651 0.538  -0.759 0.463  -0.868 0.389  -0.951 0.286  -1.033 0.183  -1.109 0.075  -1.185 -0.033  -1.212 -0.162  -1.229 -0.291  -1.193 -0.418  -1.157 -0.545  -1.070 -0.638  -0.966 -0.719  -0.839 -0.747  -0.709 -0.769  -0.578 -0.790  -0.448 -0.773  -0.318 -0.752  -0.187 -0.732  -0.067 -0.681  0.051 -0.622  0.169 -0.563  0.272 -0.480  0.372 -0.394  0.472 -0.308  0.554 -0.205  0.633 -0.099  0.715 0.004  0.802 0.103  0.826 0.226  0.826 0.290  0.929 0.212  1.014 0.113  1.100 0.015  1.204 -0.066  1.311 -0.143  1.421 -0.216  1.541 -0.271  1.663 -0.320
2#apb#apb38#app3817/r  -0.235 -0.452  -0.205 -0.541  -0.175 -0.630  -0.168 -0.722  -0.175 -0.816  -0.183 -0.910  -0.184 -1.003  -0.173 -1.097  -0.164 -1.190  -0.164 -1.284  -0.164 -1.378  -0.140 -1.379  -0.140 -1.285  -0.140 -1.191  -0.140 -1.097  -0.157 -1.005  -0.176 -0.913  -0.194 -0.820  -0.212 -0.728  -0.224 -0.635  -0.235 -0.542  -0.247 -0.448  -0.259 -0.355  -0.270 -0.262  -0.282 -0.168  -0.294 -0.075  -0.305 0.018  -0.292 0.111  -0.279 0.204  -0.266 0.297  -0.247 0.389  -0.222 0.479  -0.196 0.570  -0.170 0.660  -0.116 0.735  -0.054 0.806  0.009 0.876  0.077 0.941  0.146 1.003  0.216 1.066  0.291 1.123  0.374 1.167  0.456 1.212  0.539 1.256  0.627 1.288  0.718 1.313  0.808 1.338  0.901 1.350  0.995 1.358  1.088 1.367
2#apb#apb38#app3817/z  -0.878 1.018  -0.761 1.037  -0.624 1.031  -0.488 1.020  -0.353 1.039  -0.217 1.058  -0.081 1.076  0.054 1.095  0.191 1.096  0.328 1.096  0.460 1.066  0.591 1.026  0.713 0.965  0.831 0.896  0.915 0.804  0.915 0.667  0.825 0.564  0.733 0.463  0.629 0.375  0.522 0.290  0.414 0.205  0.297 0.134  0.181 0.062  0.064 -0.009  -0.057 -0.075  -0.177 -0.140  -0.297 -0.206  -0.412 -0.279  -0.521 -0.362  -0.630 -0.445  -0.741 -0.525  -0.856 -0.598  -0.966 -0.679  -1.061 -0.774  -0.992 -0.855  -0.861 -0.893  -0.724 -0.893  -0.587 -0.893  -0.450 -0.893  -0.313 -0.893  -0.177 -0.893  -0.040 -0.893  0.097 -0.893  0.234 -0.888  0.371 -0.879  0.507 -0.868  0.643 -0.852  0.779 -0.836  0.916 -0.834  1.053 -0.834
2#apb#apb38#app3817/e  -0.133 0.062  -0.015 0.114  0.107 0.159  0.231 0.199  0.355 0.236  0.461 0.311  0.566 0.386  0.670 0.464  0.763 0.552  0.840 0.657  0.897 0.772  0.931 0.896  0.926 1.022  0.853 1.118  0.731 1.151  0.605 1.121  0.483 1.080  0.369 1.018  0.256 0.954  0.146 0.885  0.036 0.816  -0.068 0.739  -0.171 0.660  -0.274 0.581  -0.369 0.493  -0.464 0.405  -0.559 0.317  -0.654 0.229  -0.747 0.139  -0.817 0.030  -0.887 -0.079  -0.921 -0.204  -0.948 -0.331  -0.937 -0.460  -0.913 -0.587  -0.882 -0.712  -0.793 -0.806  -0.698 -0.894  -0.594 -0.970  -0.483 -1.036  -0.363 -1.087  -0.241 -1.128  -0.113 -1.150  0.015 -1.171  0.144 -1.171  0.274 -1.171  0.404 -1.171  0.533 -1.171  0.660 -1.146  0.787 -1.119
2#apb#apb38#app3817/T  0.215 0.398  0.143 0.286  0.095 0.161  0.076 0.028  0.061 -0.105  0.039 -0.238  0.017 -0.370  -0.004 -0.502  -0.024 -0.635  -0.042 -0.768  -0.051 -0.902  -0.060 -1.036  -0.072 -1.169  -0.090 -1.302  -0.104 -1.435  -0.117 -1.566  -0.152 -1.437  -0.187 -1.307  -0.221 -1.178  -0.256 -1.048  -0.291 -0.919  -0.326 -0.789  -0.361 -0.659  -0.396 -0.530  -0.431 -0.400  -0.466 -0.271  -0.501 -0.141  -0.536 -0.012  -0.571 0.118  -0.605 0.248  -0.640 0.377  -0.675 0.507  -0.723 0.580  -0.596 0.622  -0.471 0.672  -0.346 0.720  -0.218 0.759  -0.090 0.798  0.039 0.837  0.167 0.876  0.296 0.914  0.425 0.950  0.554 0.986  0.684 1.022  0.811 1.064  0.938 1.106  1.067 1.144  1.199 1.169  1.331 1.189  1.465 1.189
2#apb#apb38#app3817/h  -0.326 1.919  -0.379 1.883  -0.405 1.766  -0.420 1.647  -0.427 1.528  -0.431 1.408  -0.425 1.288  -0.419 1.168  -0.413 1.049  -0.408 0.929  -0.403 0.809  -0.398 0.689  -0.397 0.569  -0.397 0.449  -0.397 0.329  -0.397 0.209  -0.373 0.092  -0.348 -0.025  -0.324 -0.143  -0.302 -0.261  -0.286 -0.380  -0.270 -0.498  -0.254 -0.617  -0.248 -0.737  -0.241 -0.857  -0.239 -0.976  -0.251 -1.096  -0.264 -1.171  -0.259 -1.055  -0.221 -0.942  -0.173 -0.832  -0.125 -0.722  -0.077 -0.613  -0.004 -0.518  0.073 -0.426  0.158 -0.341  0.251 -0.267  0.355 -0.209  0.443 -0.127  0.535 -0.052  0.646 -0.035  0.745 -0.097  0.809 -0.199  0.866 -0.304  0.915 -0.413  0.953 -0.527  0.979 -0.643  0.989 -0.763  0.993 -0.883  0.993 -1.003
2#apb#apb38#app3817/o  0.006 1.059  -0.086 0.991  -0.177 0.924  -0.269 0.857  -0.361 0.790  -0.453 0.722  -0.532 0.642  -0.609 0.558  -0.686 0.474  -0.763 0.390  -0.835 0.303  -0.894 0.205  -0.952 0.108  -1.011 0.010  -1.047 -0.098  -1.083 -0.205  -1.088 -0.311  -1.033 -0.410  -0.979 -0.510  -0.924 -0.610  -0.835 -0.677  -0.739 -0.738  -0.643 -0.799  -0.544 -0.843  -0.433 -0.819  -0.322 -0.794  -0.211 -0.769  -0.100 -0.745  0.011 -0.719  0.119 -0.683  0.227 -0.647  0.335 -0.611  0.443 -0.576  0.540 -0.519  0.631 -0.451  0.722 -0.383  0.813 -0.314  0.892 -0.235  0.955 -0.140  1.018 -0.045  1.062 0.057  1.079 0.169  1.097 0.281  1.114 0.394  1.118 0.507  1.118 0.621  1.118 0.735  1.103 0.846  1.063 0.952  1.023 1.059
2#apb#apb38#app3817/r  0.018 -1.656  0.071 -1.604  0.018 -1.565  0.018 -1.491  0.018 -1.417  0.018 -1.343  0.010 -1.271  -0.014 -1.200  -0.037 -1.130  -0.061 -1.060  -0.084 -0.990  -0.105 -0.919  -0.124 -0.847  -0.144 -0.776  -0.163 -0.705  -0.183 -0.633  -0.202 -0.562  -0.222 -0.490  -0.241 -0.419  -0.260 -0.348  -0.273 -0.275  -0.286 -0.202  -0.299 -0.129  -0.313 -0.056  -0.299 0.016  -0.284 0.089  -0.270 0.161  -0.254 0.234  -0.233 0.305  -0.212 0.375  -0.190 0.446  -0.166 0.516  -0.133 0.582  -0.100 0.648  -0.067 0.714  -0.034 0.781  0.005 0.843  0.057 0.895  0.109 0.948  0.162 1.000  0.214 1.052  0.266 1.105  0.322 1.153  0.378 1.202  0.433 1.251  0.489 1.299  0.558 1.327  0.627 1.354  0.695 1.382  0.764 1.409
2#apb#apb38#app3817/n  -0.861 1.102  -0.891 0.983  -0.924 0.866  -0.965 0.753  -0.931 0.635  -0.914 0.516  -0.914 0.394  -0.914 0.272  -0.892 0.153  -0.860 0.035  -0.839 -0.083  -0.859 -0.204  -0.879 -0.324  -0.899 -0.444  -0.918 -0.565  -0.935 -0.686  -0.921 -0.677  -0.825 -0.601  -0.729 -0.525  -0.634 -0.449  -0.538 -0.373  -0.443 -0.297  -0.347 -0.222  -0.252 -0.146  -0.156 -0.070  -0.061 0.006  0.012 0.103  0.080 0.204  0.151 0.303  0.226 0.400  0.301 0.496  0.372 0.595  0.450 0.680  0.565 0.659  0.643 0.575  0.677 0.462  0.737 0.356  0.809 0.258  0.884 0.162  0.957 0.064  1.024 -0.038  1.072 -0.149  1.115 -0.264  1.177 -0.369  1.240 -0.473  1.287 -0.584  1.314 -0.703  1.349 -0.819  1.397 -0.931  1.461 -1.035
2#apb#apb38#app3817/t  0.191 0.767  0.191 0.618  0.191 0.468  0.188 0.318  0.166 0.170  0.145 0.022  0.127 -0.127  0.109 -0.275  0.083 -0.423  0.057 -0.570  0.045 -0.719  0.036 -0.868  0.002 -1.013  -0.051 -1.152  -0.093 -1.296  -0.157 -1.392  -0.235 -1.264  -0.313 -1.136  -0.391 -1.008  -0.469 -0.880  -0.547 -0.752  -0.625 -0.624  -0.703 -0.497  -0.780 -0.369  -0.858 -0.241  -0.936 -0.113  -1.014 0.015  -1.092 0.143  -1.170 0.271  -1.094 0.312  -0.945 0.321  -0.796 0.338  -0.648 0.358  -0.501 0.384  -0.353 0.411  -0.206 0.438  -0.059 0.465  0.088 0.493  0.236 0.520  0.382 0.553  0.527 0.589  0.672 0.625  0.817 0.664  0.961 0.705  1.105 0.746  1.252 0.767  1.401 0.767  1.548 0.781  1.685 0.842  1.834 0.847
2#apb#apb38#app3817/o  0.337 1.088  0.284 1.171  0.174 1.176  0.064 1.118  -0.040 1.052  -0.145 0.985  -0.243 0.909  -0.340 0.832  -0.436 0.754  -0.533 0.676  -0.628 0.597  -0.723 0.518  -0.805 0.427  -0.874 0.324  -0.943 0.220  -0.965 0.100  -0.979 -0.023  -0.994 -0.146  -0.979 -0.268  -0.953 -0.389  -0.922 -0.508  -0.860 -0.615  -0.797 -0.722  -0.707 -0.799  -0.596 -0.855  -0.485 -0.910  -0.366 -0.943  -0.245 -0.967  -0.123 -0.992  -0.003 -0.963  0.116 -0.931  0.235 -0.898  0.349 -0.849  0.463 -0.800  0.570 -0.740  0.662 -0.657  0.753 -0.573  0.827 -0.475  0.888 -0.368  0.950 -0.260  0.982 -0.142  0.999 -0.020  1.016 0.103  1.016 0.227  1.016 0.351  0.964 0.458  0.891 0.558  0.811 0.652  0.710 0.723  0.608 0.794
2#apb#apb38#app3817/n  -0.911 0.506  -0.919 0.389  -0.942 0.274  -0.965 0.158  -0.989 0.043  -1.014 -0.072  -1.024 -0.188  -1.024 -0.306  -1.018 -0.423  -1.006 -0.541  -0.992 -0.657  -0.969 -0.772  -0.900 -0.822  -0.817 -0.739  -0.773 -0.630  -0.730 -0.520  -0.687 -0.411  -0.645 -0.301  -0.600 -0.192  -0.554 -0.083  -0.496 0.018  -0.436 0.120  -0.373 0.219  -0.308 0.317  -0.229 0.404  -0.150 0.492  -0.060 0.567  0.033 0.639  0.133 0.701  0.234 0.762  0.340 0.808  0.457 0.807  0.574 0.794  0.679 0.748  0.773 0.678  0.856 0.596  0.914 0.494  0.957 0.385  0.991 0.272  1.034 0.163  1.074 0.052  1.097 -0.063  1.117 -0.179  1.135 -0.295  1.149 -0.412  1.158 -0.529  1.168 -0.647  1.180 -0.764  1.215 -0.875  1.259 -0.984
2#apb#apb38#app3817/U  -0.839 0.933  -0.891 0.854  -0.891 0.753  -0.891 0.652  -0.891 0.552  -0.899 0.451  -0.910 0.351  -0.917 0.250  -0.917 0.149  -0.917 0.048  -0.916 -0.052  -0.891 -0.150  -0.865 -0.248  -0.840 -0.345  -0.799 -0.438  -0.758 -0.530  -0.713 -0.619  -0.642 -0.691  -0.570 -0.762  -0.490 -0.821  -0.402 -0.871  -0.312 -0.912  -0.211 -0.912  -0.111 -0.905  -0.013 -0.882  0.073 -0.834  0.150 -0.769  0.224 -0.700  0.295 -0.629  0.365 -0.556  0.425 -0.475  0.486 -0.394  0.542 -0.311  0.596 -0.226  0.650 -0.140  0.700 -0.053  0.749 0.036  0.798 0.124  0.832 0.218  0.862 0.315  0.891 0.411  0.918 0.508  0.944 0.606  0.969 0.704  0.988 0.803  1.007 0.902  1.020 1.002  1.020 1.102  1.001 1.200  0.994 1.300
